br.com.objectos.oss-java8	objectos-more-logging	1.0.0		c832dbf983d1d69867a5a9c99f6c34a864c2ce9b
com.daml	ledger-api-auth_2.13	1.11.2-snapshot.20210610.6432.0.ac4a2848		8ca6dc8df2cb97ed8bdf6b034bb828cbecb20274
com.daml	ledger-api-auth_2.13	1.11.2-snapshot.20210610.6433.0.a08f6ea2		8ca6dc8df2cb97ed8bdf6b034bb828cbecb20274
com.daml	ledger-api-auth_2.13	1.11.2-snapshot.20210610.6433.1.a08f6ea2		8ca6dc8df2cb97ed8bdf6b034bb828cbecb20274
com.daml	ledger-api-auth_2.13	1.11.3		8ca6dc8df2cb97ed8bdf6b034bb828cbecb20274
com.daml	ledger-api-auth_2.13	1.11.3-snapshot.20211110.6439.0.632ba5a7		8ca6dc8df2cb97ed8bdf6b034bb828cbecb20274
com.daml	ledger-api-auth_2.13	1.11.3-snapshot.20211111.6441.0.eed4ad32		8ca6dc8df2cb97ed8bdf6b034bb828cbecb20274
com.daml	ledger-api-auth_2.13	1.11.3-snapshot.20211123.6448.0.c679b4ab		8ca6dc8df2cb97ed8bdf6b034bb828cbecb20274
com.daml	ledger-api-auth_2.13	1.12.0		8ca6dc8df2cb97ed8bdf6b034bb828cbecb20274
com.daml	ledger-api-auth_2.13	1.12.0-snapshot.20210309.6463.0.f7abca91		8ca6dc8df2cb97ed8bdf6b034bb828cbecb20274
com.daml	ledger-api-auth_2.13	1.12.0-snapshot.20210311.6483.0.5cb857d9		8ca6dc8df2cb97ed8bdf6b034bb828cbecb20274
com.daml	ledger-api-auth_2.13	1.12.0-snapshot.20210311.6490.0.8e25227c		8ca6dc8df2cb97ed8bdf6b034bb828cbecb20274
com.daml	ledger-api-auth_2.13	1.12.0-snapshot.20210312.6493.0.9a7e2465		8ca6dc8df2cb97ed8bdf6b034bb828cbecb20274
com.daml	ledger-api-auth_2.13	1.12.0-snapshot.20210312.6498.0.707c86aa		8ca6dc8df2cb97ed8bdf6b034bb828cbecb20274
com.daml	ledger-api-auth_2.13	1.12.0-snapshot.20210316.6523.0.b382fc45		8ca6dc8df2cb97ed8bdf6b034bb828cbecb20274
com.daml	ledger-api-auth_2.13	1.12.0-snapshot.20210317.6528.0.493e2154		8ca6dc8df2cb97ed8bdf6b034bb828cbecb20274
com.daml	ledger-api-auth_2.13	1.12.0-snapshot.20210323.6567.0.90c5ce70		8ca6dc8df2cb97ed8bdf6b034bb828cbecb20274
com.daml	ledger-api-auth_2.13	1.12.0-snapshot.20210330.6619.0.007b8674		8ca6dc8df2cb97ed8bdf6b034bb828cbecb20274
com.daml	ledger-api-auth_2.13	1.12.0-snapshot.20210330.6622.0.eef158d6		8ca6dc8df2cb97ed8bdf6b034bb828cbecb20274
com.daml	ledger-api-auth_2.13	1.12.0-snapshot.20210331.6626.0.29a68134		8ca6dc8df2cb97ed8bdf6b034bb828cbecb20274
com.daml	ledger-api-auth_2.13	1.12.0-snapshot.20210331.6634.0.b98a3881		8ca6dc8df2cb97ed8bdf6b034bb828cbecb20274
com.daml	ledger-api-auth_2.13	1.12.0-snapshot.20210331.6640.0.4b807899		8ca6dc8df2cb97ed8bdf6b034bb828cbecb20274
com.daml	ledger-api-auth_2.13	1.12.0-snapshot.20210406.6646.0.631db446		8ca6dc8df2cb97ed8bdf6b034bb828cbecb20274
com.daml	ledger-api-auth_2.13	1.13.0		9b74b4482118252385072badd2209d2e51b3ee6f
com.daml	ledger-api-auth_2.13	1.13.0-snapshot.20210413.6706.0.2dc09ba2		8ca6dc8df2cb97ed8bdf6b034bb828cbecb20274
com.daml	ledger-api-auth_2.13	1.13.0-snapshot.20210419.6730.0.8c3a8c04		8ca6dc8df2cb97ed8bdf6b034bb828cbecb20274
com.daml	ledger-api-auth_2.13	1.13.0-snapshot.20210426.6770.0.ca66061b		8ca6dc8df2cb97ed8bdf6b034bb828cbecb20274
com.daml	ledger-api-auth_2.13	1.13.0-snapshot.20210503.6809.0.ca012c3b		9b74b4482118252385072badd2209d2e51b3ee6f
com.daml	ledger-api-auth_2.13	1.13.0-snapshot.20210504.6833.0.9ae787d0		9b74b4482118252385072badd2209d2e51b3ee6f
com.daml	ledger-api-auth_2.13	1.13.1		9b74b4482118252385072badd2209d2e51b3ee6f
com.daml	ledger-api-auth_2.13	1.13.1-snapshot.20210512.6834.0.5f532380		9b74b4482118252385072badd2209d2e51b3ee6f
com.daml	ledger-api-auth_2.13	1.13.1-snapshot.20210512.6834.1.5f532380		9b74b4482118252385072badd2209d2e51b3ee6f
com.daml	ledger-api-auth_2.13	1.14.0		9b74b4482118252385072badd2209d2e51b3ee6f
com.daml	ledger-api-auth_2.13	1.14.0-snapshot.20210511.6892.0.ca9e89b3		9b74b4482118252385072badd2209d2e51b3ee6f
com.daml	ledger-api-auth_2.13	1.14.0-snapshot.20210518.6953.0.a6c7b86a		9b74b4482118252385072badd2209d2e51b3ee6f
com.daml	ledger-api-auth_2.13	1.14.0-snapshot.20210526.7024.0.aedb9a82		9b74b4482118252385072badd2209d2e51b3ee6f
com.daml	ledger-api-auth_2.13	1.14.0-snapshot.20210601.7081.0.7d716e6d		9b74b4482118252385072badd2209d2e51b3ee6f
com.daml	ledger-api-auth_2.13	1.14.0-snapshot.20210602.7086.0.f36f556b		9b74b4482118252385072badd2209d2e51b3ee6f
com.daml	ledger-api-auth_2.13	1.14.0-snapshot.20210608.7123.0.3cb8d5c2		9b74b4482118252385072badd2209d2e51b3ee6f
com.daml	ledger-api-auth_2.13	1.14.0-snapshot.20210615.7124.0.d1b54ff0		9b74b4482118252385072badd2209d2e51b3ee6f
com.daml	ledger-api-auth_2.13	1.14.0-snapshot.20210615.7169.0.adeba206		9b74b4482118252385072badd2209d2e51b3ee6f
com.daml	ledger-api-auth_2.13	1.14.1		9b74b4482118252385072badd2209d2e51b3ee6f
com.daml	ledger-api-auth_2.13	1.14.1-snapshot.20210706.7133.0.8ec16e94		9b74b4482118252385072badd2209d2e51b3ee6f
com.daml	ledger-api-auth_2.13	1.14.2		9b74b4482118252385072badd2209d2e51b3ee6f
com.daml	ledger-api-auth_2.13	1.14.2-snapshot.20210708.7135.0.aa297840		9b74b4482118252385072badd2209d2e51b3ee6f
com.daml	ledger-api-auth_2.13	1.15.0		9b74b4482118252385072badd2209d2e51b3ee6f
com.daml	ledger-api-auth_2.13	1.15.0-snapshot.20210615.7169.0.adeba206		9b74b4482118252385072badd2209d2e51b3ee6f
com.daml	ledger-api-auth_2.13	1.15.0-snapshot.20210623.7217.0.5b73813d		9b74b4482118252385072badd2209d2e51b3ee6f
com.daml	ledger-api-auth_2.13	1.15.0-snapshot.20210630.7261.0.84e1f3a7		9b74b4482118252385072badd2209d2e51b3ee6f
com.daml	ledger-api-auth_2.13	1.15.0-snapshot.20210705.7286.0.62aabcc4		9b74b4482118252385072badd2209d2e51b3ee6f
com.daml	ledger-api-auth_2.13	1.16.0		9b74b4482118252385072badd2209d2e51b3ee6f
com.daml	ledger-api-auth_2.13	1.16.0-snapshot.20210713.7343.0.1f35db17		9b74b4482118252385072badd2209d2e51b3ee6f
com.daml	ledger-api-auth_2.13	1.16.0-snapshot.20210720.7404.0.b7cf42d1		9b74b4482118252385072badd2209d2e51b3ee6f
com.daml	ledger-api-auth_2.13	1.16.0-snapshot.20210727.7476.0.b5e9d861		9b74b4482118252385072badd2209d2e51b3ee6f
com.daml	ledger-api-auth_2.13	1.16.0-snapshot.20210802.7499.0.5157ad6d		9b74b4482118252385072badd2209d2e51b3ee6f
com.daml	ledger-api-auth_2.13	1.16.0-snapshot.20210805.7501.0.48050ad7		9b74b4482118252385072badd2209d2e51b3ee6f
com.daml	ledger-api-auth_2.13	1.17.0		6a0cbf0e4b48cae82df2b7611ec22cf652389737
com.daml	ledger-api-auth_2.13	1.17.0-snapshot.20210811.7565.0.f1a55aa4		9b74b4482118252385072badd2209d2e51b3ee6f
com.daml	ledger-api-auth_2.13	1.17.0-snapshot.20210817.7604.0.0c187853		6a0cbf0e4b48cae82df2b7611ec22cf652389737
com.daml	ledger-api-auth_2.13	1.17.0-snapshot.20210824.7647.0.640fb683		6a0cbf0e4b48cae82df2b7611ec22cf652389737
com.daml	ledger-api-auth_2.13	1.17.0-snapshot.20210831.7702.0.f058c2f1		6a0cbf0e4b48cae82df2b7611ec22cf652389737
com.daml	ledger-api-auth_2.13	1.17.0-snapshot.20210907.7759.0.35a853fd		6a0cbf0e4b48cae82df2b7611ec22cf652389737
com.daml	ledger-api-auth_2.13	1.17.0-snapshot.20210910.7786.0.976ca400		6a0cbf0e4b48cae82df2b7611ec22cf652389737
com.daml	ledger-api-auth_2.13	1.17.0-snapshot.20210915.7841.0.b4328b3d		6a0cbf0e4b48cae82df2b7611ec22cf652389737
com.daml	ledger-api-auth_2.13	1.17.0-snapshot.20210922.7849.0.49a75801		6a0cbf0e4b48cae82df2b7611ec22cf652389737
com.daml	ledger-api-auth_2.13	1.17.1		6a0cbf0e4b48cae82df2b7611ec22cf652389737
com.daml	ledger-api-auth_2.13	1.17.1-snapshot.20211006.7852.0.fbc4bc00		6a0cbf0e4b48cae82df2b7611ec22cf652389737
com.daml	ledger-api-auth_2.13	1.17.1-snapshot.20211006.7853.0.e05be365		6a0cbf0e4b48cae82df2b7611ec22cf652389737
com.daml	ledger-api-auth_2.13	1.17.2-snapshot.20211124.7857.0.b33b94b8		6a0cbf0e4b48cae82df2b7611ec22cf652389737
com.daml	ledger-api-auth_2.13	1.18.0		6b567fba38b7546f31ed9744bc448b0960d011da
com.daml	ledger-api-auth_2.13	1.18.0-snapshot.20210921.7889.0.1b473c2b		6a0cbf0e4b48cae82df2b7611ec22cf652389737
com.daml	ledger-api-auth_2.13	1.18.0-snapshot.20210921.7889.1.1b473c2b		6a0cbf0e4b48cae82df2b7611ec22cf652389737
com.daml	ledger-api-auth_2.13	1.18.0-snapshot.20210922.7908.0.ced4a272		6a0cbf0e4b48cae82df2b7611ec22cf652389737
com.daml	ledger-api-auth_2.13	1.18.0-snapshot.20210928.7948.0.b4d00317		6a0cbf0e4b48cae82df2b7611ec22cf652389737
com.daml	ledger-api-auth_2.13	1.18.0-snapshot.20211006.8003.0.cfcdc13c		6a0cbf0e4b48cae82df2b7611ec22cf652389737
com.daml	ledger-api-auth_2.13	1.18.0-snapshot.20211013.8071.0.514e8b50		6a0cbf0e4b48cae82df2b7611ec22cf652389737
com.daml	ledger-api-auth_2.13	1.18.0-snapshot.20211019.8113.0.8ff347d8		f8c6467315771dce16aad868299ba3bd3a7e8837
com.daml	ledger-api-auth_2.13	1.18.0-snapshot.20211026.8179.0.e474b2d1		abd829826f06f364292a0f8f48b24ef1534440d8
com.daml	ledger-api-auth_2.13	1.18.0-snapshot.20211102.8257.0.7391a3cd		abd829826f06f364292a0f8f48b24ef1534440d8
com.daml	ledger-api-auth_2.13	1.18.0-snapshot.20211109.8328.0.92181161		abd829826f06f364292a0f8f48b24ef1534440d8
com.daml	ledger-api-auth_2.13	1.18.0-snapshot.20211110.8337.0.c5a1f0bb		abd829826f06f364292a0f8f48b24ef1534440d8
com.daml	ledger-api-auth_2.13	1.18.0-snapshot.20211111.8349.0.d938a44c		6b567fba38b7546f31ed9744bc448b0960d011da
com.daml	ledger-api-auth_2.13	1.18.0-snapshot.20211117.8399.0.a05a40ae		6b567fba38b7546f31ed9744bc448b0960d011da
com.daml	ledger-api-auth_2.13	1.18.0-snapshot.20211124.8419.0.39d9afcd		6b567fba38b7546f31ed9744bc448b0960d011da
com.daml	ledger-api-auth_2.13	1.18.0-snapshot.20211206.8423.0.2c945fcb		6b567fba38b7546f31ed9744bc448b0960d011da
com.daml	ledger-api-auth_2.13	1.18.1		6b567fba38b7546f31ed9744bc448b0960d011da
com.daml	ledger-api-auth_2.13	1.18.1-snapshot.20220106.8429.0.ea344666		6b567fba38b7546f31ed9744bc448b0960d011da
com.daml	ledger-api-auth_2.13	1.18.1-snapshot.20220110.8433.0.e8e25a11		6b567fba38b7546f31ed9744bc448b0960d011da
com.daml	ledger-api-auth_2.13	1.18.1-snapshot.20220113.8434.0.1724373f		6b567fba38b7546f31ed9744bc448b0960d011da
com.daml	ledger-api-auth_2.13	1.18.1-snapshot.20220113.8434.1.1724373f		6b567fba38b7546f31ed9744bc448b0960d011da
com.daml	ledger-api-auth_2.13	1.18.2		6b567fba38b7546f31ed9744bc448b0960d011da
com.daml	ledger-api-auth_2.13	1.18.2-snapshot.20220310.8437.1.5221a5d1		6b567fba38b7546f31ed9744bc448b0960d011da
com.daml	ledger-api-auth_2.13	1.18.2-snapshot.20220324.8440.0.5cfb1a21		6b567fba38b7546f31ed9744bc448b0960d011da
com.daml	ledger-api-auth_2.13	1.18.3		6b567fba38b7546f31ed9744bc448b0960d011da
com.daml	ledger-api-auth_2.13	1.18.3-snapshot.20220620.8442.0.c7424302		6b567fba38b7546f31ed9744bc448b0960d011da
com.daml	ledger-api-auth_2.13	2.0.0		684fdabe43ec4fc634e16e785e1c91ee35a4d7f3
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20211123.8463.0.bd2a6852		6b567fba38b7546f31ed9744bc448b0960d011da
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20211201.8538.0.1d0ff3cc		6b567fba38b7546f31ed9744bc448b0960d011da
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20211207.8589.1.85e2fa55		6b567fba38b7546f31ed9744bc448b0960d011da
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20211207.8589.2.85e2fa55		6b567fba38b7546f31ed9744bc448b0960d011da
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20211207.8589.3.85e2fa55		6b567fba38b7546f31ed9744bc448b0960d011da
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20211207.8608.0.c4d82f72		6b567fba38b7546f31ed9744bc448b0960d011da
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20211209.8636.0.0a17087b		6b567fba38b7546f31ed9744bc448b0960d011da
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20211209.8636.1.0a17087b		6b567fba38b7546f31ed9744bc448b0960d011da
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20211210.8653.0.35beb44c		6b567fba38b7546f31ed9744bc448b0960d011da
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20211220.8735.0.606a8ef0		bd5139c96c2b8216a5e885e62dbf9e78a3a0736c
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20211220.8736.0.040f1a93		bd5139c96c2b8216a5e885e62dbf9e78a3a0736c
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20220104.8767.0.d3101e01		bd5139c96c2b8216a5e885e62dbf9e78a3a0736c
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20220105.8777.0.cb15ab5a		bd5139c96c2b8216a5e885e62dbf9e78a3a0736c
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20220110.8812.0.3a08380b		ed4e3daade7f662687a6387557bf8be140946b3a
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20220111.8828.0.7ec55d7f		ed4e3daade7f662687a6387557bf8be140946b3a
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20220117.8894.0.502b21f8		cf2784a200181699230fa4e645d248d0758b093b
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20220117.8897.0.36a93ef0		cf2784a200181699230fa4e645d248d0758b093b
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20220118.8919.0.d0813e61		185e38b9705ff167307965b05e1f434340ce29b3
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20220119.8939.0.ebd3827c		6c12b496717ab5ad662972bca82a7175fe6ccd0a
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20220124.8981.0.a150737d		5a247f31b6b63e7a4455303ca8bb055add144b9e
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20220125.9008.0.ed33c0d5		1442e72f4a33269e177b481d8e6c8a5e117ab4f4
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20220126.9017.0.159f3847		1442e72f4a33269e177b481d8e6c8a5e117ab4f4
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20220126.9029.0.42cf70b1		1442e72f4a33269e177b481d8e6c8a5e117ab4f4
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20220127.9042.0.4038d0a7		1442e72f4a33269e177b481d8e6c8a5e117ab4f4
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20220127.9049.0.345e2679		1442e72f4a33269e177b481d8e6c8a5e117ab4f4
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20220201.9108.0.aa2494f1		0ffccf8652107d8d0cd872d10223db27bb086d99
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20220204.9165.0.225c58f4		18f53c84567ad07c5d58ea31a2f006a352006eb6
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20220207.9186.0.f63165aa		18f53c84567ad07c5d58ea31a2f006a352006eb6
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20220207.9190.0.89c9c5d3		18f53c84567ad07c5d58ea31a2f006a352006eb6
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20220208.9197.0.8182602f		2e157eb47d62aa6da8e080dd929028e154b98575
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20220208.9207.0.7b70711c		2e157eb47d62aa6da8e080dd929028e154b98575
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20220209.9212.0.b7fc9f57		2e157eb47d62aa6da8e080dd929028e154b98575
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20220210.9222.0.f2797795		2e157eb47d62aa6da8e080dd929028e154b98575
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20220210.9244.0.6a91fdfe		2e157eb47d62aa6da8e080dd929028e154b98575
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20220211.9260.0.3dccabf6		2e157eb47d62aa6da8e080dd929028e154b98575
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20220212.9261.0.3ebd9d7b		2e157eb47d62aa6da8e080dd929028e154b98575
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20220214.9284.0.dc5f2033		2e157eb47d62aa6da8e080dd929028e154b98575
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20220215.9307.0.55fef9cf		8b7016570ea84724300cb4342c7f2e1deece9451
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20220216.9321.0.eb45a4ce		8b7016570ea84724300cb4342c7f2e1deece9451
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20220217.9331.0.a9fd5497		684fdabe43ec4fc634e16e785e1c91ee35a4d7f3
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20220221.9339.0.6d268fdc		684fdabe43ec4fc634e16e785e1c91ee35a4d7f3
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20220222.9362.0.1af680cd		684fdabe43ec4fc634e16e785e1c91ee35a4d7f3
com.daml	ledger-api-auth_2.13	2.0.0-snapshot.20220225.9368.0.b291a57e		684fdabe43ec4fc634e16e785e1c91ee35a4d7f3
com.daml	ledger-api-auth_2.13	2.0.1		684fdabe43ec4fc634e16e785e1c91ee35a4d7f3
com.daml	ledger-api-auth_2.13	2.0.1-snapshot.20220322.9371.0.d9f46c43		684fdabe43ec4fc634e16e785e1c91ee35a4d7f3
com.daml	ledger-api-auth_2.13	2.0.1-snapshot.20220322.9371.1.d9f46c43		684fdabe43ec4fc634e16e785e1c91ee35a4d7f3
com.daml	ledger-api-auth_2.13	2.0.1-snapshot.20220331.9373.0.4a445be6		684fdabe43ec4fc634e16e785e1c91ee35a4d7f3
com.daml	ledger-api-auth_2.13	2.0.1-snapshot.20220419.9374.0.44df8f12		684fdabe43ec4fc634e16e785e1c91ee35a4d7f3
com.daml	ledger-api-auth_2.13	2.0.2-snapshot.20230421.9377.0.cb87f482		684fdabe43ec4fc634e16e785e1c91ee35a4d7f3
com.daml	ledger-api-auth_2.13	2.1.0		884a7c7d33d6e6e06481f56f55bb28134bc6c204
com.daml	ledger-api-auth_2.13	2.1.0-snapshot.20220223.9363.0.d96b7bdc		684fdabe43ec4fc634e16e785e1c91ee35a4d7f3
com.daml	ledger-api-auth_2.13	2.1.0-snapshot.20220223.9379.0.2f86d8d3		684fdabe43ec4fc634e16e785e1c91ee35a4d7f3
com.daml	ledger-api-auth_2.13	2.1.0-snapshot.20220224.9392.0.786906f2		684fdabe43ec4fc634e16e785e1c91ee35a4d7f3
com.daml	ledger-api-auth_2.13	2.1.0-snapshot.20220225.9408.0.1783146c		d745ffdeef9c23701eb7949af335899a5c7d530a
com.daml	ledger-api-auth_2.13	2.1.0-snapshot.20220228.9413.0.ef8a0e66		d745ffdeef9c23701eb7949af335899a5c7d530a
com.daml	ledger-api-auth_2.13	2.1.0-snapshot.20220301.9419.0.091a5ac7		d745ffdeef9c23701eb7949af335899a5c7d530a
com.daml	ledger-api-auth_2.13	2.1.0-snapshot.20220302.9431.0.96029b7c		d745ffdeef9c23701eb7949af335899a5c7d530a
com.daml	ledger-api-auth_2.13	2.1.0-snapshot.20220303.9441.0.e6db3271		d745ffdeef9c23701eb7949af335899a5c7d530a
com.daml	ledger-api-auth_2.13	2.1.0-snapshot.20220304.9449.0.1f1e5051		9dafbbd31c2f48d9d1b269d0565d63c81b5e55d0
com.daml	ledger-api-auth_2.13	2.1.0-snapshot.20220307.9459.0.878754e9		9ed395cc61525f8ae61ab1822431b171c39a2bce
com.daml	ledger-api-auth_2.13	2.1.0-snapshot.20220308.9472.0.1f24348e		36c524946f672cbf65b162bde459db507e783827
com.daml	ledger-api-auth_2.13	2.1.0-snapshot.20220309.9493.0.9a27edd6		36c524946f672cbf65b162bde459db507e783827
com.daml	ledger-api-auth_2.13	2.1.0-snapshot.20220310.9512.0.e1030365		36c524946f672cbf65b162bde459db507e783827
com.daml	ledger-api-auth_2.13	2.1.0-snapshot.20220311.9514.0.ab6e085f		36c524946f672cbf65b162bde459db507e783827
com.daml	ledger-api-auth_2.13	2.1.0-snapshot.20220314.9530.0.2056f0a5		884a7c7d33d6e6e06481f56f55bb28134bc6c204
com.daml	ledger-api-auth_2.13	2.1.0-snapshot.20220315.9543.0.0b5ad7a7		884a7c7d33d6e6e06481f56f55bb28134bc6c204
com.daml	ledger-api-auth_2.13	2.1.0-snapshot.20220316.9555.0.f1949b44		884a7c7d33d6e6e06481f56f55bb28134bc6c204
com.daml	ledger-api-auth_2.13	2.1.0-snapshot.20220317.9559.0.1118a7fb		884a7c7d33d6e6e06481f56f55bb28134bc6c204
com.daml	ledger-api-auth_2.13	2.1.0-snapshot.20220318.9568.0.d37a63f5		884a7c7d33d6e6e06481f56f55bb28134bc6c204
com.daml	ledger-api-auth_2.13	2.1.0-snapshot.20220321.9580.0.49e950dc		884a7c7d33d6e6e06481f56f55bb28134bc6c204
com.daml	ledger-api-auth_2.13	2.1.0-snapshot.20220322.9591.0.d10f6785		884a7c7d33d6e6e06481f56f55bb28134bc6c204
com.daml	ledger-api-auth_2.13	2.1.0-snapshot.20220323.9607.0.a88079e4		884a7c7d33d6e6e06481f56f55bb28134bc6c204
com.daml	ledger-api-auth_2.13	2.1.0-snapshot.20220324.9615.0.467b8fbb		884a7c7d33d6e6e06481f56f55bb28134bc6c204
com.daml	ledger-api-auth_2.13	2.1.0-snapshot.20220325.9626.0.4a483381		884a7c7d33d6e6e06481f56f55bb28134bc6c204
com.daml	ledger-api-auth_2.13	2.1.0-snapshot.20220328.9630.0.66c37bad		884a7c7d33d6e6e06481f56f55bb28134bc6c204
com.daml	ledger-api-auth_2.13	2.1.0-snapshot.20220329.9638.0.f24a39d2		884a7c7d33d6e6e06481f56f55bb28134bc6c204
com.daml	ledger-api-auth_2.13	2.1.0-snapshot.20220330.9647.0.7000875e		884a7c7d33d6e6e06481f56f55bb28134bc6c204
com.daml	ledger-api-auth_2.13	2.1.0-snapshot.20220331.9659.0.4bf0de89		884a7c7d33d6e6e06481f56f55bb28134bc6c204
com.daml	ledger-api-auth_2.13	2.1.0-snapshot.20220404.9660.0.4b71431b		884a7c7d33d6e6e06481f56f55bb28134bc6c204
com.daml	ledger-api-auth_2.13	2.1.0-snapshot.20220405.9667.0.17bca6b1		884a7c7d33d6e6e06481f56f55bb28134bc6c204
