br.ufrn.sinfo	JApi	1.0.0		N/A
com.github.lamba92	core-tvossimulatorarm64	1.0.0		N/A
com.github.lamba92	core-tvossimulatorarm64	1.0.0	metadata	9d86b28963aff9590df93053a06eca76b5338ffb
com.github.lamba92	core-tvossimulatorarm64	1.0.0-RC.3		N/A
com.github.lamba92	core-tvossimulatorarm64	1.0.0-RC.3	metadata	b19f39e63fbe37bd0c41f4b4845c156a22ee0e32
com.github.lamba92	core-tvossimulatorarm64	1.0.0-RC.4		N/A
com.github.lamba92	core-tvossimulatorarm64	1.0.0-RC.4	metadata	26c0e0d029f76380186d296178d7e2ca2bbf29b6
com.github.lamba92	core-tvossimulatorarm64	1.0.1		N/A
com.github.lamba92	core-tvossimulatorarm64	1.0.1	metadata	1c3d61888aa01ff805943a1e6d1bb185019aff1a
com.github.lamba92	core-tvossimulatorarm64	1.0.2		N/A
com.github.lamba92	core-tvossimulatorarm64	1.0.2	metadata	84c76764abb126a08e3a97f62af3159a0c9fa08a
com.github.lamba92	core-tvossimulatorarm64	1.0.3		N/A
com.github.lamba92	core-tvossimulatorarm64	1.0.3	metadata	b0185a9b703d184635e5ca71ef63a717656694eb
com.github.lamba92	core-tvossimulatorarm64	1.0.4		N/A
com.github.lamba92	core-tvossimulatorarm64	1.0.4	metadata	906ed7d6ce94e60fb28fa04c7eac8073c1ed4014
com.github.myst3r10n	msgpack-rpcx-interface_2.9.1	0.1.0		0ce93c7b1d644690aa09fbf8831424575ca3992b
com.github.yoshiyoshifujii	kamon-mackerel_2.12	0.1.0		eebccac168a2249db1c2c238d470d4842c769fd7
com.java-adventures.rsc	extended-demo-app	1.1.0		N/A
com.logitags	cibet-springsecurity	2.0		efd2fe86c52099dcd158a7a6531012928179796c
com.logitags	cibet-springsecurity	2.1		71ee0f04996a2ae3487fa4e8acc0562d8a12c1b3
com.logitags	cibet-springsecurity	2.2		7296d4abbadeb5f01dfbf97f9b693fbcb4c8e5f9
com.logitags	cibet-springsecurity	2.2.1		4bd61f5c5c11723c545dd38ca109dc09a28cab9c
com.logitags	cibet-springsecurity	2.2.2		99675024c0f6f0cfa4393bcfbd40e666b41b5db1
com.malliina	okclient_2.11	1.3.3		c8bbb924bd41390ffcdbc54e83b1c9f1aa2228ae
com.malliina	okclient_2.11	1.3.4		3edccc4d6bd3a79e24a38770b1c6e6fbe49f58c6
com.malliina	okclient_2.11	1.3.5		308c959e04393081003913ad1eb7a9c96ff0797c
com.malliina	okclient_2.11	1.6.2		254191b94f696396f36aaee08a08dd39dbf7e76a
com.malliina	okclient_2.11	1.6.3		c2a27f4aedcc2505122dab701d5416ebb3587db9
com.malliina	okclient_2.11	1.7.0		c970a98193cbfef0394cd8053380b910313e3eeb
com.malliina	okclient_2.11	1.7.1		f5f06026369e78cd801274a5fe1d496acabb6c92
com.malliina	okclient_2.11	1.8.1		0185601560b08173d605b6fb26ff8a5f3316fa53
com.malliina	okclient_2.11	1.9.0		0b75059fd8c778f27aca5f4be00399538c537fd3
com.masabi.kotlinbuilder	kotlinbuilder	0.0.1		5ceef841b4c790262a84ce0944504140313cab1c
com.mesosphere.mesos.rx.java	mesos-rxjava-test	0.1.0		974f0d3d957001e65b31019d33ceb89068defc95
com.mesosphere.mesos.rx.java	mesos-rxjava-test	0.1.1		8607d066057fc79ca64f786d9c5bfc516a73f388
com.mesosphere.mesos.rx.java	mesos-rxjava-test	0.1.2		ff883df71e74504e4a8a058437d0abdca40915fe
com.mesosphere.mesos.rx.java	mesos-rxjava-test	0.2.0		48c85f3f22d26a1fda80d94d6e3c021193701446
com.metreeca	metreeca-rest	0.0.1		982134e22f0394291c4b32a69fd34b653d16b1dc
com.metreeca	metreeca-rest	0.52.0		b837e7d634e6c8ad8291dee894b2899fa798d319
com.metreeca	metreeca-rest	0.53.0		0a3250b94fbf3a3b02618c4e05e3bccc9abf99dd
com.metreeca	metreeca-rest	0.54.0		68dcd47bd89f336f730fe58686aa328845d97d79
com.metreeca	metreeca-rest	0.54.1		99c014665287a2bd4a9ec36f663fd4b77ac8ef32
com.metreeca	metreeca-rest	0.55.0		f75499386f12b2e5f1b6a15b74a71b154239aafa
com.metreeca	metreeca-rest	1.0.1		1110f462211931653f69965db81150bc128b3636
com.metreeca	metreeca-rest	1.0.2		8b4eb0d4a4bed1896ad76f309777d1169e69639f
com.metreeca	metreeca-rest	1.0.3		b2cfa0ec84f540eac8ae8bee17936b3f961ab125
com.michaelpollmeier	console_3	2.0.365+25-98122e9b		8ad5aff1c02cb4e2c5643ef0a1fc199fe6b54760
com.michaelpollmeier	console_3	2.0.365+26-3e49c273		d7026cfd5e61984991b12763421f9a112101fa9b
com.michaelpollmeier	console_3	2.0.381+25-cf0f1be4		9ebdcff5023ab707390cef663e4ec81ae12a74cd
com.michaelpollmeier	console_3	2.0.428+7-e0ebe60f		38c70d951837752dff752be1bff2e10ed14d4cd1
com.michaelpollmeier	console_3	2.0.431+5-e48d4785		b3f21dc8001adb2d3148bfcc3d40eaa64414a334
com.michaelpollmeier	console_3	2.0.440+7-e7df7a79		df9faee8ef9ad6a4982979bdf71b8634b3b5fbf8
com.outr.query	outrquery-orm_2.10	1.0.0		5a06b0f1a89732ddbb895b631e9d23596ca26bb2
cz.pumpitup.pn5	jamulator-remote-client	0.4.20		fd768dca0e6cad359a0697bdb91624a2b553894a
cz.pumpitup.pn5	jamulator-remote-client	0.4.21		76778e834cd8de7643062a5b5705dc71bc21c7c4
cz.pumpitup.pn5	jamulator-remote-client	0.4.22		c81da27f507e2496bd788aad999b94a3ef56a913
cz.pumpitup.pn5	jamulator-remote-client	0.4.23		710263d2d4e70d5704f0240f6c4a8604df6b7988
cz.pumpitup.pn5	jamulator-remote-client	0.4.24		47291e7cc0137672168d46c04f783d068ce17c9d
cz.pumpitup.pn5	jamulator-remote-client	0.4.25		63c91135f447f795910e33e34fed98d4427b6d95
cz.pumpitup.pn5	jamulator-remote-client	0.4.26		3997421d81042ddd52ca3e82358afc3f2ce50ed1
cz.pumpitup.pn5	jamulator-remote-client	0.4.27		dbaf5678c1d9c1afbc3034585fc42e34d0cdb866
cz.pumpitup.pn5	jamulator-remote-client	0.4.28		b560d064484dc7d5a58606051c41cc3c3d07c39d
cz.pumpitup.pn5	jamulator-remote-client	0.4.29		62a9d1f669fafd1603973b16cea8cebc841c26ac
cz.pumpitup.pn5	jamulator-remote-client	0.4.30		d71fda73dae99af78726d55caf5e667c0da53210
cz.pumpitup.pn5	jamulator-remote-client	0.4.31		f4773790caa5123073965e1a0eb601750676453c
cz.pumpitup.pn5	jamulator-remote-client	0.4.32		9c7beeee43b5066647c2edd457847ca0f6d52ab5
cz.pumpitup.pn5	jamulator-remote-client	0.4.33		965b611c159a4c8ce3da0e3bd193843e3e59b275
cz.pumpitup.pn5	jamulator-remote-client	0.4.34		ae01a29ae88d8194a09f2070294735eac2334c1f
cz.pumpitup.pn5	jamulator-remote-client	0.4.35		05dda7f26235cab8becc598a4ce756f0c6f03c3d
cz.pumpitup.pn5	jamulator-remote-client	0.5.0		18e8e890287cbf91c202a6fc557963d83694f8b3
cz.pumpitup.pn5	jamulator-remote-client	0.5.1		a634095c86cdd21b9a6fc7747291fe8b703abdd9
cz.pumpitup.pn5	jamulator-remote-client	0.5.10		d545efe5effbb95958969cbf27639f28d730325b
cz.pumpitup.pn5	jamulator-remote-client	0.5.11		26d498033ee0d00f1e51137c7198fcdd1de12358
cz.pumpitup.pn5	jamulator-remote-client	0.5.12		bda0c3f6f95c1bc260c96e0536f7eb904d0e1670
cz.pumpitup.pn5	jamulator-remote-client	0.5.13		6aed6acece8738b0dcab872aa3d1ada2234d6885
cz.pumpitup.pn5	jamulator-remote-client	0.5.14		79cd4b75f8e4780cfff960d5633d76d9d7527fb6
cz.pumpitup.pn5	jamulator-remote-client	0.5.16		2d12e524b45d4e33497c49b3f2fd95f7c22f8d17
cz.pumpitup.pn5	jamulator-remote-client	0.5.2		c2e99238df1e7117b2f16467fc0ef61d8b172caf
cz.pumpitup.pn5	jamulator-remote-client	0.5.3		c3d35a383c043d5910233d37830d4769e2a7da40
cz.pumpitup.pn5	jamulator-remote-client	0.5.4		a51e0289d5c6bb927c8118f1a1811869107d4a85
cz.pumpitup.pn5	jamulator-remote-client	0.5.5		8428972593cbbb205ea0bd4419f0895ce169e472
cz.pumpitup.pn5	jamulator-remote-client	0.5.6		53912e0e482b22000a22ec04ce31b0490d030d1f
cz.pumpitup.pn5	jamulator-remote-client	0.5.7		0a603aeecc04ac58b2f44b98c8122afc35574d80
cz.pumpitup.pn5	jamulator-remote-client	0.5.8		7c89e2eb5728453ba3c8e2ba1d96daea54b3e6ae
cz.pumpitup.pn5	jamulator-remote-client	0.5.9		5239cc416c7a5167cacd2c3ef44528a1e517102c
dev.vhonta	scala-ql-csv_3	0.2.0-RC1		01300c43857f6a66fd6b9c0a6f2222c0eab5c218
dev.vhonta	scala-ql-csv_3	0.2.0-RC2		9791d791cf063384e96ff9d872b799d491a4929b
dev.vhonta	scala-ql-csv_3	0.2.0-RC3		4f6e2f0488ce5c7e4d39fc82b9f4c7476de87821
io.cloudsoft.jclouds.labs	cloudsigma2-wdc	1.7.2-ea-brooklyn.1		be0510c79b85b3df896c2c9876cda4d61362418a
io.cloudsoft.jclouds.labs	cloudsigma2-wdc	1.7.2-ea-brooklyn.2		ee101a0ff6de66eb083d700de85f7bdbb37b1275
io.cloudsoft.jclouds.labs	cloudsigma2-wdc	1.7.2-ea-brooklyn.3		049f862dd1d8cae35cbe94e27a78d2c4f3eae757
io.cloudsoft.jclouds.labs	cloudsigma2-wdc	1.7.2-ea-brooklyn.4		80bcf812cec2d0e08c0389394db13775cb5a5bfb
io.cloudsoft.jclouds.labs	cloudsigma2-wdc	1.7.2-ea-brooklyn.5		c63ccb0d1b13b6f29ecb0a685dd4d3ae5b563b77
io.cloudsoft.jclouds.labs	cloudsigma2-wdc	1.7.4-ea-brooklyn.1		ff07530a58bac815d081224e770474769764aebe
io.eventuate.local.java	eventuate-client-java-spring-autoconfigure	0.35.0.RELEASE		d31133f2d39ba5e55ec045fdcbac678e4e31994e
io.eventuate.local.java	eventuate-client-java-spring-autoconfigure	0.36.0.RELEASE		9d52dcb8d9e88225f785635e40b7c2831a5371bd
io.eventuate.local.java	eventuate-client-java-spring-autoconfigure	0.37.0.RELEASE		1eec783afc822247f554cbb88cf3c73b5fd5bd48
io.eventuate.local.java	eventuate-client-java-spring-autoconfigure	0.38.0.RELEASE		a67b6d5dd29bb6a4cb38b0faa2cf297c94d83f6d
io.eventuate.local.java	eventuate-client-java-spring-autoconfigure	0.39.0.RELEASE		3bd87d1da9dc40acd646af9fdaae5c568d99d821
io.eventuate.local.java	eventuate-client-java-spring-autoconfigure	0.40.0.RELEASE		1bcc0d3187766e6ef9ec8c0567a2229f83719ffa
io.eventuate.local.java	eventuate-client-java-spring-autoconfigure	0.41.0.RELEASE		7a7a46cd98af92704b3b6694b603965536a95ebd
io.eventuate.local.java	eventuate-client-java-spring-autoconfigure	0.42.0.RELEASE		2eb4e20c743ffc06217609b01497dc1e2a275db1
io.eventuate.local.java	eventuate-client-java-spring-autoconfigure	0.43.0.RELEASE		883c6ac204ddd405f3c0e9bb01bed46802fd31c7
io.github.alexgladkov	odyssey-compose-iosX64	1.3.30		N/A
io.github.alexgladkov	odyssey-compose-iosX64	1.3.30	metadata	aefd9a52859a2eebf2b907f62d84f77bca0c7266
io.github.alexgladkov	odyssey-compose-iosX64	1.3.31		N/A
io.github.alexgladkov	odyssey-compose-iosX64	1.3.31	metadata	ddd434274248068165c9ce6d1d464950550113f3
io.github.alexgladkov	odyssey-compose-iosX64	1.3.32		N/A
io.github.alexgladkov	odyssey-compose-iosX64	1.3.32	metadata	fb94d004b48ec58f6975a5c835959d8e22225d6e
io.github.alexgladkov	odyssey-compose-iosX64	1.3.33		N/A
io.github.alexgladkov	odyssey-compose-iosX64	1.3.33	metadata	453da3eafa46991e023e55e4d44f094db92279e7
io.github.alexgladkov	odyssey-compose-iosX64	1.3.40		N/A
io.github.alexgladkov	odyssey-compose-iosX64	1.3.40	metadata	bb8bcc45855103aed83d863afe1206a8e495e552
io.github.alexgladkov	odyssey-compose-iosX64	1.3.50		N/A
io.github.alexgladkov	odyssey-compose-iosX64	1.3.50	metadata	dce25962ed0f0e44c10c42c15bc3d7830c13e274
io.github.alexgladkov	odyssey-compose-iosX64	1.3.60		N/A
io.github.alexgladkov	odyssey-compose-iosX64	1.3.60	metadata	6b919efb18cb9c8788d92831fd6d0e0da9505b7f
io.github.alexgladkov	odyssey-compose-iosX64	1.3.61		N/A
io.github.alexgladkov	odyssey-compose-iosX64	1.3.61	metadata	8cbdd8c2545289e41374360c423f4ca94960f7f1
io.github.alexgladkov	odyssey-compose-iosX64	1.4.0-alpha05		N/A
io.github.alexgladkov	odyssey-compose-iosX64	1.4.0-alpha05	metadata	bc7bb005b989bc31c18fc9672a51f13eb2a3cc66
io.github.felipecarrillo100	rapidproxyserver	1.0.0		f97486c64309cc3d6ef4df11548554d6433ce4f1
io.github.felipecarrillo100	rapidproxyserver	1.0.1		c67027f13aabc337f4ce6299ec9152cc563e4308
io.github.icodegarden	commons-nio-java	0.0.1		e15787977cc6bd28f587edc10384ac796cf33b2c
io.github.icodegarden	commons-nio-java	0.0.2		385364f0c4f145915d2e954533a14cfe35e8e1aa
io.github.icodegarden	commons-nio-java	0.1.0		7013dfce07a51b6e027a7a20e2deb75b7dea640f
io.github.icodegarden	commons-nio-java	0.1.1		0f20d368db9c091618e86ae175f512354fc1694b
io.github.icodegarden	commons-nio-java	0.1.2		8944dfdad391db0cc18674cb142a90193169a44b
io.github.icodegarden	commons-nio-java	0.1.3		70418dff995fade5eac5fde211a2eadc84b0e3b7
io.github.icodegarden	commons-nio-java	0.1.4		841e453d5faafe7ab68f6c681a24b1dfb5040fe4
io.github.icodegarden	commons-nio-java	0.1.5		6773e4a63155197fe9632d170a0881151b1d7de0
io.github.icodegarden	commons-nio-java	0.1.6		27661e7e5ce40d689e116540a5192cc377c02495
io.github.icodegarden	commons-nio-java	0.2.0		f72b36f21af751447c4a7fe7ac2d0b52fcd935a8
io.github.icodegarden	commons-nio-java	0.2.1		338b0816f3e40a085cc920bc8af29db0d8a6b6f6
io.github.icodegarden	commons-nio-java	0.2.2		7151338d3054d18fa1b80ea9bd15b91d7b4fb3f0
io.github.icodegarden	commons-nio-java	0.3.0		dc39973ad301cd09437aa4fd096b6058e09751d2
io.github.icodegarden	commons-nio-java	0.3.1		36aee223151cb19068f46eaa75c63c6303731a92
io.github.icodegarden	commons-nio-java	1.0.0		b92bae84edcd7f49eba60d9adf7f646c1d8a0c43
io.github.icodegarden	commons-nio-java	1.1.0		a006b6ba6a93db8c9d18e6669b49a4fb16242c0b
io.github.icodegarden	commons-nio-java	1.2.0		73714ce0f1d118bbdceeec90e99d8fd2d5bdfd90
io.github.icodegarden	commons-nio-java	1.2.1		95f138e59568761071ee15abe98c90c82467664f
io.github.icodegarden	commons-nio-java	2.0.0		da46b7a24f64a47a2b306c915042786447dab3bb
io.github.pg-liudong	kafka-spring-boot-starter	1.0.0		5e356f58416a1e538aea24250e915d79b0c99a0d
io.github.pg-liudong	kafka-spring-boot-starter	1.0.2		16d98614af7dcb569ec69de1df083439c09d4e1a
io.github.pg-liudong	kafka-spring-boot-starter	1.0.3		N/A
io.github.pg-liudong	kafka-spring-boot-starter	1.0.4		39672052e0c26c09c12cb45f9b523a3c822c3f6c
io.github.pg-liudong	kafka-spring-boot-starter	1.0.5		e5274493191410b52d159aae2236256453e5240b
io.github.pityka	tasks-jsoniter_2.12	0.0.14		bd3f35daf881baa1ff2a15a47ba5b508c1ccc9ba
io.github.pityka	tasks-jsoniter_2.12	0.0.15		1e44822155fd3eb25632e33d3b118f5e291acb5e
io.github.pityka	tasks-jsoniter_2.12	0.0.17		b1fbead7ea90b9e2371843c1bc3e4fb9328d6e5f
io.github.pityka	tasks-jsoniter_2.12	0.0.18		b7c79494d4be2278e4b9a554191c8bcd69644454
io.github.pityka	tasks-jsoniter_2.12	0.0.19		dcff73d31d6673f67258dec276de64b296e7b0d3
io.github.pityka	tasks-jsoniter_2.12	0.0.20		0452d473f5d8542f793bdd3836c8f59ca385fcd2
io.github.pityka	tasks-jsoniter_2.12	0.0.23		5f9488f9f29fa46338d15b11c360f2f08e44b51a
io.github.pityka	tasks-jsoniter_2.12	0.0.24		500f7e19bd7330af5e3a81df848b32c08e097db4
io.github.pityka	tasks-jsoniter_2.12	0.0.26		1f52390f0dac0b63fa0846cbb003812dd390f561
io.github.pityka	tasks-jsoniter_2.12	0.0.59		32778dd8b0a67d28d24dc4b8fc80709602368b88
io.github.pityka	tasks-jsoniter_2.12	0.0.60		6e66fa210a5782b5ad6d6cf8c9c9dda2f5d911da
io.github.pityka	tasks-jsoniter_2.12	0.1.2		2a139be24a453e1c1775f75131cbd9b36fc063fd
io.github.pityka	tasks-jsoniter_2.12	0.1.5		a11e02ad3c65f6a33be4a70a0e0956ae764b7df1
io.github.pityka	tasks-jsoniter_2.12	0.1.6		b022fce38b72ca6de3984e40d176b7f78dd5f2b9
io.github.pityka	tasks-jsoniter_2.12	0.2.0		8cd95ebf7a7ddac56d1f19e25ddf5108a6caa3b3
io.github.pityka	tasks-jsoniter_2.12	0.2.1		f48813576b242aa11367e0126440bc3b63db9c33
io.github.pityka	tasks-jsoniter_2.12	0.2.2		5686366858442a1862e971928255f44a422648ed
io.github.pityka	tasks-jsoniter_2.12	0.3.0		68eb747e1b6e82bb8a5fe5984b1535bf91f3af32
io.github.pityka	tasks-jsoniter_2.12	0.3.2		c195dd4e939240acd6a3997ac55bed75a9ce3fbc
io.github.pityka	tasks-jsoniter_2.12	1.0.0-M1		a770ee491e1a384f7f7c5855b034bfcf2adf87b1
io.github.pityka	tasks-jsoniter_2.12	1.0.0-M2		e64eb87aaae7d286018cfe80177b89c8461ad815
io.github.shabinder	fuzzywuzzy-macosx64	1.1		N/A
io.github.shabinder	fuzzywuzzy-macosx64	1.1	metadata	58c10d4525565ee4a12c9f8862b82612328213ff
io.gitlab.spring-cattle.framework	cattle-aop	1.0.1		4c14b9c344ea62f2645b4f2ef9fbcf161f6e2386
io.gitlab.spring-cattle.framework	cattle-aop	1.0.2		c9e38ad37d6392d56417b32f49511edf726a0631
io.gitlab.spring-cattle.framework	cattle-aop	1.0.3		e8e452e3ba3ac3c13742b890ec8b986099ff444e
io.gitlab.spring-cattle.framework	cattle-aop	1.0.4		d31df22bf52128e69b88dc8e9549f91001b66b31
io.pixeloutlaw.mythicdrops	mythicdrops	7.0.0		a78d54d2c4867209b6b3f2944aa319404ac02d49
io.pixeloutlaw.mythicdrops	mythicdrops	7.0.0	all	619fc5dc103d40843ce2a231345f698900ca8a4b
io.pixeloutlaw.mythicdrops	mythicdrops	7.0.0-dev.0.uncommitted+78ea946		N/A
