cloud.piranha.webapp	piranha-admin-webapp	20.2.0		N/A
co.touchlab.skie	gradle-plugin-shim-impl-kgp_1.8.0__gradle_8.1	0.8.4		03f4b94ce624ae3c2f61d63449970673b66fb5d8
com.assemblyai	assemblyai-java	0.0.3-beta		50c99e9f3e4b6678b9cec0e4b11dda30e64bff43
com.assemblyai	assemblyai-java	0.0.4-beta		ff93ea9e0b7d020b2e06c59808cdf3b619a74ef8
com.assemblyai	assemblyai-java	0.0.5-beta10		25e9c95d1787330e4e4c652f47194942bd8a7885
com.assemblyai	assemblyai-java	0.0.5-beta11		a3fe0e52657dab667e780e113b7c0d2fe9098163
com.assemblyai	assemblyai-java	0.0.5-beta2		68da7dfc0aeec5026e5e04ebdeb91b261cf13601
com.assemblyai	assemblyai-java	0.0.5-beta3		a3192d57b460612b4ae60bbe4212289fdf3afecc
com.assemblyai	assemblyai-java	0.0.5-beta4		fb861684b938ce8eea425c39c08783b59f33928c
com.assemblyai	assemblyai-java	0.0.5-beta5		024eaea4fe1301b9397b0f86907fd276ad9c4d6a
com.assemblyai	assemblyai-java	0.0.5-beta8		c6de45b0a2dda5dfec15537f568aeda32d318c6a
com.assemblyai	assemblyai-java	0.0.5-beta9		ba5d88d88337cff2b918fb59515d39d3ed123fbc
com.assemblyai	assemblyai-java	1.0.0		210f6d674fc63c37f1af15343a77b92ba0dfdeb1
com.assemblyai	assemblyai-java	1.0.1		57d4bb58f49284661c180670c0542e6fd73f034f
com.assemblyai	assemblyai-java	1.0.10		f18587c931d30ef3ec942f57ea8327860ab4ea6b
com.assemblyai	assemblyai-java	1.0.2		4f8327b3ff7884975ff1c32ce65ba21dc44c3f8c
com.assemblyai	assemblyai-java	1.0.6		ac5974e22a89f3a0808a66a2c252e235eb7869ac
com.assemblyai	assemblyai-java	1.0.7		57ba6d2066cb9d216c9b6beb9b16dde1a8103c93
com.assemblyai	assemblyai-java	1.0.8		4b9f820ed1c0ef3b5b315b57555f513730105801
com.assemblyai	assemblyai-java	1.0.9		cc1b6554afa8ab43cf6ed33726740d36a42844fc
com.assemblyai	assemblyai-java	1.1.0		646b35178716ae0b04abeba4fae5df4d6035c34f
com.assemblyai	assemblyai-java	1.1.1		05f62d70a532dabc1928bb7b699ea1196322144a
com.assemblyai	assemblyai-java	1.1.2		685dcc50b7765e219d036b57870a97adac1bef46
com.assemblyai	assemblyai-java	1.1.3		baf170e82c73be4c75a46ed4c0dacbeb5c528dc0
com.assemblyai	assemblyai-java	1.2.0		8c2aa9e872e909735a887483388d36e2678d5bc6
com.assemblyai	assemblyai-java	2.0.0		77accdb7b6608d89f87b13bc3047327ab28b6440
com.assemblyai	assemblyai-java	2.0.1		08bfc0e7ddba5e96b467578375d19f19d91381a1
com.assemblyai	assemblyai-java	2.1.0		ee6b934032cf5caacc98774fc0284c2bf4aa2212
com.assemblyai	assemblyai-java	2.1.1		46e3a2dd8a8c6eb6ed1859991cf60156883d2fa0
com.assemblyai	assemblyai-java	2.1.2		f3f6d67b8e0bc26da9fe7632fbb2a34055d0fb64
com.assemblyai	assemblyai-java	2.2.0		0f43913e3eb8cae02af1a2ff127ae6bcf6e38036
com.assemblyai	assemblyai-java	2.3.0		3e82a851de0c0df0e89326e8a31544d9d336b954
com.assemblyai	assemblyai-java	2.3.1		5e3c8b1277f598f159ee2638f6c9e9526a857359
com.assemblyai	assemblyai-java	3.0.0		107767daf15a9c159f752d288a64353471d9bb44
com.assemblyai	assemblyai-java	4.0.0		f1fee863a66466159f742d1cd3e318f16ea85dcd
com.assemblyai	assemblyai-java	4.0.1		9bef2bcf6395eff27041704adda48fe26e5e28a8
com.batoulapps.adhan	adhan2-ios	0.0.1		N/A
com.batoulapps.adhan	adhan2-ios	0.0.2		N/A
com.cedarsoft.open.serialization.neo4j	neo4j	8.9.1		65a57d6d5368a09edc9b4679a9ace00ad6318f6c
com.cedarsoft.open.serialization.neo4j	neo4j	8.9.2		0aba5068d07c6b45feb03f4782a8a53937270bd1
com.colisweb	logic_2.13	2.8.4-RC4		d8c5996477deb55da55497096f5050daef5e3616
com.colisweb	logic_2.13	2.8.4-rc6		6cce9ffda19921b41e8da848f01cb73ebb3d0cde
com.contentgrid.thunx	thunx-gateway-spring-boot-starter	0.10.0		8b1aba8085f33fd80c359109cb1a90392d5a1567
com.contentgrid.thunx	thunx-gateway-spring-boot-starter	0.11.0		0a357a3d5b4f014ff709e565bd96f494eb3c9778
com.contentgrid.thunx	thunx-gateway-spring-boot-starter	0.11.1		4dc125b5c30eee9d4154242dfe7240e97d63773a
com.contentgrid.thunx	thunx-gateway-spring-boot-starter	0.12.0		36c0db69e9e2e4cb48fdd4c926af470aa7e3d9eb
com.contentgrid.thunx	thunx-gateway-spring-boot-starter	0.4.0		36bdf5c8464c40e26c83fdda27e64a3ae71cc176
com.contentgrid.thunx	thunx-gateway-spring-boot-starter	0.4.1		80b009c3e9692f041112423f82e31d257771f306
com.contentgrid.thunx	thunx-gateway-spring-boot-starter	0.4.2		fe85a3736427e57ad3420b7b65fb9d0a10e9fb4d
com.contentgrid.thunx	thunx-gateway-spring-boot-starter	0.5.0		ae6e1552bbba419ea59ac2aeae113fbe97990204
com.contentgrid.thunx	thunx-gateway-spring-boot-starter	0.6.0		1f557ece976d5f72376eaa7c267b26fd144fa9e5
com.contentgrid.thunx	thunx-gateway-spring-boot-starter	0.6.1		a05147217d5efaeabcf6cba73bd5f12e3e55ca59
com.contentgrid.thunx	thunx-gateway-spring-boot-starter	0.6.2		c94a5428c508c8b58ecfb85eb69c5c1b96a45797
com.contentgrid.thunx	thunx-gateway-spring-boot-starter	0.7.0		b8d3518ff3b7cb646b05cb5974f6a9bf6e095c85
com.contentgrid.thunx	thunx-gateway-spring-boot-starter	0.7.1		066a92e8fab7da55ba7cad99a64fb2d36225b46d
com.contentgrid.thunx	thunx-gateway-spring-boot-starter	0.8.0		2f62f4ef62e19c26e74b4a33e9622b179499f6b9
com.contentgrid.thunx	thunx-gateway-spring-boot-starter	0.9.0		84d4e1e82dcc9e55e896181bc7fd4f20728333ef
com.dell.cpsd	credential-service-api	1.3.0		182159e1e5dc4afae0d876c404a20215fbf43240
com.dell.cpsd	credential-service-api	1.3.1		4a2f1557bedb4588d1878d32fcc0f8ebbd54797a
com.dell.cpsd	credential-service-api	1.3.2		5f908e6e74d897ec03e8996360bfbb05fd9c2439
com.easyinnova	tiffimplementationchecker	0.1		7a0b478ee85497f9f7a1860b17f211b65e5fce5e
com.easyinnova	tiffimplementationchecker	0.2		de5c18ad80208e85137e1500ee83f7a2f2cb4677
com.easyinnova	tiffimplementationchecker	1.0		b5db95370f804c637e30ca7c4fc321d47b99bfcd
com.easyinnova	tiffimplementationchecker	1.0	jar-with-dependencies	3b12c74e27570b2f1ad0c8a13182c3efc0284e1c
com.easyinnova	tiffimplementationchecker	1.0.1		1bb18ec5f50e92430e0222b4f8dade026f0a6a2c
com.easyinnova	tiffimplementationchecker	1.0.1	jar-with-dependencies	7d3f068c6ddb5c8acf523cc06b2bb5c776117b94
com.easyinnova	tiffimplementationchecker	1.0.2		ef3f3824eb5cc91c86f844cd1fb3282f6a79c56e
com.easyinnova	tiffimplementationchecker	1.0.2	jar-with-dependencies	87c56193449b868f80b8a5996ff27db9138cdd7b
com.easyinnova	tiffimplementationchecker	1.0.3		7387be854ddda42cc1f2cd85758bf2cceab87941
com.easyinnova	tiffimplementationchecker	1.0.3	jar-with-dependencies	f25a55a212263038527e2033098a75508ce38352
com.easyinnova	tiffimplementationchecker	1.0.4		e92234c776266ea32633283dc16023b2c4a22f7c
com.easyinnova	tiffimplementationchecker	1.0.4	jar-with-dependencies	b222603119b23a5a24f3fdbacb4ddc6d8d30d9f8
com.easyinnova	tiffimplementationchecker	1.1		4b9661f982f029ac6356bb8597eafe6222865197
com.easyinnova	tiffimplementationchecker	1.1	jar-with-dependencies	d76979289c3898cc17e4b553187ea8437ec945bf
com.easyinnova	tiffimplementationchecker	1.2		c9529528c8aa276e5b1d73cc3722104d0f7de936
com.easyinnova	tiffimplementationchecker	1.2	jar-with-dependencies	6eedc1c90a183c411484f60cafdf198da3bcbee4
com.easyinnova	tiffimplementationchecker	1.2.1		094f2e46c092215eccbc280fe952da1fa96760df
com.easyinnova	tiffimplementationchecker	1.2.1	jar-with-dependencies	228bcb0a95183b01d70cf93b600c44fca380a30c
com.easyinnova	tiffimplementationchecker	1.2.2		7bd979c0167ac33cef79ece95fecd7e5b5632c47
com.easyinnova	tiffimplementationchecker	1.2.2	jar-with-dependencies	cf6c499ae482ac0b28e02ecf9f528a328608cbe3
com.easyinnova	tiffimplementationchecker	1.2.3		c59bd4e0c931cad42764871cd82b0f1100e56a9a
com.easyinnova	tiffimplementationchecker	1.2.3	jar-with-dependencies	203ac045d98a558140689796176eb86e21457a86
com.easyinnova	tiffimplementationchecker	1.2.4		4636e8d8314e4b3940271505426b6828665a31a4
com.easyinnova	tiffimplementationchecker	1.2.4	jar-with-dependencies	1f2b251076894452d68cbd3fcad216964fbb0ab1
com.easyinnova	tiffimplementationchecker	1.2.5		d1f713f785f71a31e573dbd7b971e3fe8a0e618e
com.easyinnova	tiffimplementationchecker	1.2.5	jar-with-dependencies	7839471803264ce2cfca97c5843d1c1a2252f049
com.easyinnova	tiffimplementationchecker	1.2.6		174513035154d414f17294a28ca32781cdccb3b4
com.easyinnova	tiffimplementationchecker	1.2.6	jar-with-dependencies	23da41db3aa1349b12245eaa6ad5d077ec19b252
com.easyinnova	tiffimplementationchecker	1.2.7		dec38b3f61d5b5c78bce2f905b8ff8daca1deb89
com.easyinnova	tiffimplementationchecker	1.2.7	jar-with-dependencies	e1bf4a0ad3ad89984b7214bb8e34362afd3e63a9
com.easyinnova	tiffimplementationchecker	1.2.8		dd1e111cec91e8268df06e4b726c64356bd291e0
com.easyinnova	tiffimplementationchecker	1.2.8	jar-with-dependencies	2ed674f8de8ee86b34d3049d0e43c2929d09ccd1
com.faendir.discord4j-command-parser	processor	1.0.1		154f3aef9e037aff35f7b60024eafe052af65b76
com.faendir.discord4j-command-parser	processor	1.0.2		bda4eff66076e7a9eec016b78b61b841c3bd38f9
com.faendir.discord4j-command-parser	processor	1.0.3		a37e110947f8667f0685d988845e0dbc8fac9db5
com.faendir.discord4j-command-parser	processor	1.0.5		5a33beaa9af94858b852ea70494f441a09f49a1d
com.faendir.discord4j-command-parser	processor	1.0.6		a1a3604e52cf71be490995de1794c96cf8261845
com.faendir.discord4j-command-parser	processor	1.1.0		69abc429b529f96506b023d3312bd322ebbc91b2
com.faendir.discord4j-command-parser	processor	1.1.1		e319072d3f52363844e5e6dff89f219e764577a2
com.faendir.discord4j-command-parser	processor	1.2.0		9b9c9b6a16a280654224e864d6c0c395b80fe529
com.faendir.discord4j-command-parser	processor	1.3.0		5c5885a1b04a1c4b284da92d99433f2a1d6b8fe0
com.faendir.discord4j-command-parser	processor	1.3.1		9c98715beb1c292d0e4494817669cb3307a9c648
com.faendir.discord4j-command-parser	processor	1.3.2		8bb9208eec2ce4ffd974bb50e29776a769712710
com.faendir.discord4j-command-parser	processor	1.3.3		3c321b88ee5c8fa251518e0b324fbbe85ae50001
com.faendir.discord4j-command-parser	processor	1.3.4		b15b114585676a363d44e64627afcb84ead8b6d3
com.faendir.discord4j-command-parser	processor	1.3.6		ffb143977611ef6a6dbab57c08a954899aa8e389
com.faendir.discord4j-command-parser	processor	1.3.7		00cc5aa6fb82652c7c4aae7b641559c1e346ea9d
com.faendir.discord4j-command-parser	processor	1.4.0		f64d84e66ba7719000b64962ff4f836518de6efe
com.faendir.discord4j-command-parser	processor	1.4.1		e0c63ac855b95427164df9368e1d76f4a597bbd8
com.github.aaronp	donovan_2.12	0.0.4		147766ed48bff47a7018350ea7cec92f22148d97
com.github.aaronp	donovan_2.12	0.0.5		882a7c3491f2b8bacf79ebbe68629b2072b310d1
com.github.aaronp	donovan_2.12	0.0.6		72c0accc04ee852910d2140c47200452605ce3a8
com.github.aaronp	donovan_2.12	0.0.7		072d372e17efdb9786bc716e0b91db7dc4a186d2
com.github.aaronp	donovan_2.12	0.0.8		86ab22094c63c91f0a6ff6dbd2e5328ef2dbe7a9
com.github.aaronp	donovan_2.12	0.1.0		b96b4e22f0ac6b07cdf6f7d74b40cdd1cc04bff7
com.github.aaronp	donovan_2.12	0.1.1		d44f90556e3cc6c30c43103c9750b6f1472c83f8
com.github.aaronp	donovan_2.12	0.1.4		3056b1ddd5d09c1bdf01dd9c34526a7545bb7df5
com.github.aaronp	donovan_2.12	0.1.6		8f449bbef7f2348dc172f54b0f426cfaf6819a70
com.github.aaronp	donovan_2.12	0.13.0		ec55cbe32b054954de3c0f47beb4093a2d5d74e0
com.github.aaronp	donovan_2.12	0.13.1		295f44bb55d81a612a40065dc71bd5b2d75da0c3
com.github.aaronp	donovan_2.12	0.13.2		3ea198a8de29233cee03a2155d9bca88d8a85364
com.github.aaronp	donovan_2.12	0.14.0		8b4afb2ef421cdcb7eedd4bde3ffa87f383dae21
com.github.davide-maestroni	jroutine-android-channel	6.0.0		N/A
com.github.davide-maestroni	jroutine-android-channel	6.0.1		N/A
com.github.hyukjinkwon.hcatalog	hive-hcatalog-core	1.2.1.spark2		353d109a917e8aee3dc8721e69d921e519436748
com.github.j5ik2o	reactive-aws-sqs-test_2.12	1.1.0		c15d3de085b0251ce503e441b2a4e8c1aca9c493
com.github.j5ik2o	reactive-aws-sqs-test_2.12	1.1.1		d3e8a4f98279d9fb06146225da7f938e080a86b5
com.github.j5ik2o	reactive-aws-sqs-test_2.12	1.1.3		ecc65cdf3a9d1b91ab1188e2c178c14d59dd9a36
com.github.j5ik2o	reactive-aws-sqs-test_2.12	1.1.4		38419e7951145de38163349e32a2cfbcbf2b8e2f
com.github.j5ik2o	reactive-aws-sqs-test_2.12	1.1.5		c85cab4b44c0addfab28335c9e36ae1790af9c71
com.github.j5ik2o	reactive-aws-sqs-test_2.12	1.1.6		e0b1b61559ec60eab29f5e0a8bc537dd8561e335
com.github.j5ik2o	reactive-aws-sqs-test_2.12	1.1.7		31d0d18665e035f23f546d8fecf61c1323a361f9
com.github.j5ik2o	reactive-aws-sqs-test_2.12	1.1.8		1593a6e815a7dff0165eec8e2a8c21b9dd18b992
com.github.j5ik2o	reactive-aws-sqs-test_2.12	1.2.0		564f5c86d076c987e6f46cdc7a5dff0033884abe
com.github.j5ik2o	reactive-aws-sqs-test_2.12	1.2.1		1b8160a616cee888f9ec4371d07bf7071430bc68
com.github.j5ik2o	reactive-aws-sqs-test_2.12	1.2.3		a04b7c7db8e5ec8ae4d6463c44bd2da1de323abb
com.github.j5ik2o	reactive-aws-sqs-test_2.12	1.2.6		c471a22f68e1c76b762d2367d7e8279cd2295af0
com.github.jherculesqz	core-fw-spring-security	1.0		7f1e7b8a2d23838b78cac1d246c311c9e4b7ecb6
com.github.jherculesqz	core-fw-spring-security	1.0.2		27541dbbf69e04b3000721d9204c6acf9cd38b3a
com.github.menglim	DbUtils	1.0		7e0914b2752382625e9317d98af7ff6e9b5099d7
com.github.menglim	DbUtils	1.2.1		3f5ecb5c85f5e3bdd84759b421b07c5f1499517f
com.github.menglim	DbUtils	1.2.10		fd59fcdd065235c6ea82d28ed6fcd51143b32908
com.github.menglim	DbUtils	1.2.11		e9f8b20cc3551ef59553004b3cb6b5b06dc6739e
com.github.menglim	DbUtils	1.2.13		4e65a1b78baa2c5a1e33c3eb8c6595b075e96963
com.github.menglim	DbUtils	1.2.17		2f259e81be99d711004fb99230f057f74970ffad
com.github.menglim	DbUtils	1.2.18		ad33ce8460e1e5adb24fc24510e32c676a88fb31
com.github.menglim	DbUtils	1.2.2		c440b59033fceb23e4062ca64eb483d2584c523b
com.github.menglim	DbUtils	1.2.3		56c964dc5e072fc2c69c9fb2b4717894608b44a3
com.github.menglim	DbUtils	1.2.5		f2a0938755bda90659fd506fabbb3e546d2bde3c
com.github.menglim	DbUtils	1.2.6		0b25ddef2568c5f74d0d6338ae7e42729573d047
com.github.menglim	DbUtils	1.2.7		c3844c2b8689d4e92ed0a9d3b1b6ed5a3dbd566b
com.github.menglim	DbUtils	1.2.8		8ca440bcb12706962de30c418e08b63f5bf5340a
com.github.swissquote	carnotzet-file-merger-json	1.7.10		30d995c5109c9c37e7d5060e784fd9ec6f5c202b
com.github.swissquote	carnotzet-file-merger-json	1.7.9		9ac1a3ce4c4653d353f5b97914b4ec0aec3bce2f
com.github.swissquote	carnotzet-file-merger-json	1.8.0		a749e5da18a46dc466639d559dc58f6d610a1d0b
com.github.swissquote	carnotzet-file-merger-json	1.8.1		171c714a13bf37f7eb45aa9dc86f2a21882a5608
com.github.swissquote	carnotzet-file-merger-json	1.8.2		aa1b0a7355a7bed30ef62c587f87cfba9b1033ee
com.github.swissquote	carnotzet-file-merger-json	1.8.3		51e939d338f3382690db62782698d27b0718cb69
com.github.swissquote	carnotzet-file-merger-json	1.8.4		be4ef8dc535e83ab136e5cdcc548a0249de49929
com.github.swissquote	carnotzet-file-merger-json	1.8.5		06dba8bde7366aa9672210f4e3f6f612b065e683
com.github.swissquote	carnotzet-file-merger-json	1.8.6		9cdb0860189b657332dc4e7ea8e8f5c6a7a35c95
com.github.swissquote	carnotzet-file-merger-json	1.8.7		de87f655a4e31c51625d065e7494906d14faecc9
com.github.swissquote	carnotzet-file-merger-json	1.8.8		8f446d1977ae35ec46d4bfd402e91e8c1ce32d55
com.github.tackfast	jarboot-common-core	1.0.1		d104bc31c1b0c8739a4499b70fa632131b2beee8
com.github.tackfast	jarboot-common-core	1.0.2		5cab15da8be2dd4d554884bdf3f7a6f3bd628056
com.github.tackfast	jarboot-common-core	1.0.3		56bc405b8398709429721346ee684b5da01ee347
com.github.tackfast	jarboot-common-core	1.0.4		fcefc485ce020a6f84a7994b04012c5836709af9
com.github.tackfast	jarboot-common-core	1.0.5		ae3990cce32e302ed17fe8c44e428737808c90fc
com.github.winx402	river	1.0		124c29f18ad08e3600bcd42d6c1c70d099aabe8f
com.github.winx402	river	1.0-snapshot		769d21469c5bf3752fdf530cb8c7e3af87662b62
com.github.winx402	river	1.1		d83de7b94ddf39120310e0c398dd2a69af7c86b5
com.github.winx402	river	1.1.1		461344ea720f3aebf13b950147bf925d72ff0145
com.github.winx402	river	1.1.2		bc7713afe9cefd289d05dcba0d70cd36050253e5
com.github.woki	payments-adyen-api	1.0.0		8e6465174b7ebf8b15fad450d6df9c844cba944c
com.github.woki	payments-adyen-api	1.1.0		efd2e482c7b493f22ee8f66c5f35a8c7a1b9bd05
com.github.woki	payments-adyen-api	1.1.1		5780ae6ea43e7933342a7e93b008ec42e9c53533
com.github.woki	payments-adyen-api	1.2.0		433fb9bd721dec08dc2f5c9495a289f10488fe29
com.github.woki	payments-adyen-api	1.2.1		0e35f110554b7206ccd4eaa2deb35b077e1612bb
com.github.woki	payments-adyen-api	1.3.0		2927babeafc0ba1df1976c914e804280344742f4
com.github.woki	payments-adyen-api	1.3.1		32d33df778d14f68ab9f7c915e375d182f49d5b2
com.github.woki	payments-adyen-api	2.18.0		1bf4365c354d34f12466f4cdf37c2fec63445649
com.github.woki	payments-adyen-api	2.18.1		b39625e3986c01c4536a72f11ab7cda715dd85ef
com.github.woki	payments-adyen-api	2.25.0		c238ef7588a58374d288cd59d497fe0fee46d6b9
com.github.woki	payments-adyen-api	2.25.1		60f64b59d64a830971e18cfc1687f6344b0e05c9
com.groupon.odo	client	1.0.0-beta.10		7d8e72ca941e6e4ebf2e984a25cbd91eeb82c76d
com.groupon.odo	client	1.0.0-beta.11		1a799b40fe112fbc1d910f53682e50eabb3074ec
com.groupon.odo	client	1.0.0-beta.3		06143b15310efb68d62bd24c34a5ec712eec2b60
com.groupon.odo	client	1.0.0-beta.5		ce009543cf59c3293a7883ea726c2d80c5a0bd7c
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.autoSecurity-1.0	18.0.0.2		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.autoSecurity-1.0	18.0.0.3		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.autoSecurity-1.0	18.0.0.4		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.autoSecurity-1.0	19.0.0.1		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.autoSecurity-1.0	19.0.0.10		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.autoSecurity-1.0	19.0.0.11		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.autoSecurity-1.0	19.0.0.12		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.autoSecurity-1.0	19.0.0.2		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.autoSecurity-1.0	19.0.0.3		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.autoSecurity-1.0	19.0.0.4		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.autoSecurity-1.0	19.0.0.5		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.autoSecurity-1.0	19.0.0.6		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.autoSecurity-1.0	19.0.0.7		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.autoSecurity-1.0	19.0.0.8		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.autoSecurity-1.0	19.0.0.9		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.autoSecurity-1.0	20.0.0.1		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.autoSecurity-1.0	20.0.0.2		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.autoSecurity-1.0	20.0.0.3		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.autoSecurity-1.0	20.0.0.4		N/A
com.lightbend.cinnamon	sbt-cinnamon_2.12_1.0	2.19.0		9d41234e6fadedae83a081167fb3527b904802d4
com.lightbend.cinnamon	sbt-cinnamon_2.12_1.0	2.19.1		2cfc3ccf430c2a4531822d36a4b07ac3cf9bc27a
com.lightbend.cinnamon	sbt-cinnamon_2.12_1.0	2.19.2		c41407d8b4e50278cef678d2f5f6c3b829a68070
com.lightbend.cinnamon	sbt-cinnamon_2.12_1.0	2.19.3		373eb5088f7c9ec7aada0729f0b79aea57a1d97c
com.lightbend.cinnamon	sbt-cinnamon_2.12_1.0	2.19.4		3bf41b68d64d0736ba8982295828b2df8f892f30
com.lightbend.cinnamon	sbt-cinnamon_2.12_1.0	2.19.4-20240418-891096e		e4e2afb6fd2df62530e3185245bfe93c80c0f5bf
com.lightbend.cinnamon	sbt-cinnamon_2.12_1.0	2.20.0		97b01905deed9125fc9632473f37698451f6630b
com.lightbend.cinnamon	sbt-cinnamon_2.12_1.0	2.20.0-20231121-57e00d1		0406cfb9040213c487f124cb9022b2ef44feea69
com.lightbend.cinnamon	sbt-cinnamon_2.12_1.0	2.20.0-20231212-6d9b4e2		bb054f36fdefc449640b4214baf97317dbe549ad
com.lightbend.cinnamon	sbt-cinnamon_2.12_1.0	2.20.0-20240118-6502fd7		34edc2a2f28b0038934b81a85c58d5548ef6f63b
com.lightbend.cinnamon	sbt-cinnamon_2.12_1.0	2.20.0-20240319-7bbab67		a83c6ed64f14710a68e8c772f5e910d24ad1c797
com.lightbend.cinnamon	sbt-cinnamon_2.12_1.0	2.20.1		00018e7c9b828f01966d51b1c0057c1f4ea16599
com.lightbend.cinnamon	sbt-cinnamon_2.12_1.0	2.20.2		4d9da29a212ce2b93bd1d94c98f07477a9074b46
com.lightbend.cinnamon	sbt-cinnamon_2.12_1.0	2.20.3		5428442efacc3f6e0534df97c3279ff8636a8905
com.lightbend.cinnamon	sbt-cinnamon_2.12_1.0	2.20.3-20240730-bf9b8d8		67498c5db28cfd1429b9e9fd23ca019cb8f295db
com.lightbend.cinnamon	sbt-cinnamon_2.12_1.0	2.20.3-20240731-40b9a00		fe0934a0331e9c91ae90a1320fed61fb5df32f8d
com.lightbend.cinnamon	sbt-cinnamon_2.12_1.0	2.20.4		79ed856d88be9a14842179d6a6c6187b15e2f4ef
com.lightbend.cinnamon	sbt-cinnamon_2.12_1.0	2.20.4-20241120-c6582fc		a3f55abcd327457ea0a489b4e07dc85eadff1193
com.lightbend.cinnamon	sbt-cinnamon_2.12_1.0	2.21.0-20241202-1916e66		fa7e49c5fc4c65a3943f139c6ec3b03794e03c6a
com.lightbend.cinnamon	sbt-cinnamon_2.12_1.0	2.21.0-20241202-79aa0ee		2b3c5f7518e3c580dbb36fc417ebc5e52973fae6
com.lightbend.cinnamon	sbt-cinnamon_2.12_1.0	2.21.0-20241202-862e13b		3694c6ae2354c6a260e1baf9472975314692e31f
com.lightbend.cinnamon	sbt-cinnamon_2.12_1.0	2.21.2		795f3e31c80e242c25320bac65ff70e73fcae537
com.lightbend.cinnamon	sbt-cinnamon_2.12_1.0	2.21.3-20250408-0269a7e		cfa44188e25db8fd3931f9a6f9cc0a6e685a42ff
com.nwagu.forms	forms-iosarm32	2.0.0-alpha07		N/A
com.nwagu.forms	forms-iosarm32	2.0.0-alpha07	metadata	6700022398b78565a64f2bc435529c1663939757
com.pingidentity.sdks	journey-plugin	1.1.0		N/A
com.remondis.limbus	limbus-depchain-host	2.0.1		N/A
com.remondis.limbus	limbus-depchain-host	3.0.1		N/A
com.remondis.limbus	limbus-depchain-host	3.1.0		N/A
com.rollbar	rollbar-spring-webmvc	1.10.0		f2bfd096748cae0fb95edcb2a9cc24aebd067821
