ai.hypergraph	kaliningraph-js	0.2.1		N/A
com.github.japgolly.scalajs-react	util-dummy-defaults_sjs1_2.13	3.0.0-beta10		75a2e0f868cf89886c432a92058f444fadb12992
com.github.japgolly.scalajs-react	util-dummy-defaults_sjs1_2.13	3.0.0-beta12		28f6f874ca2e2377edada936b6dc61c604529558
com.github.japgolly.scalajs-react	util-dummy-defaults_sjs1_2.13	3.0.0-beta3		e972b9f5a84fc7854502d2563b2c167af3fa2ffb
com.github.japgolly.scalajs-react	util-dummy-defaults_sjs1_2.13	3.0.0-beta4		cc3edaeb18f7fda9a4a0f72679e91c8497b11bd0
com.github.japgolly.scalajs-react	util-dummy-defaults_sjs1_2.13	3.0.0-beta5		3d5a57abbd6eda98614e5a88823ffbd54f249907
com.github.japgolly.scalajs-react	util-dummy-defaults_sjs1_2.13	3.0.0-beta6		bfceaeee5e33c953f3664647692f272899e32c76
com.github.japgolly.scalajs-react	util-dummy-defaults_sjs1_2.13	3.0.0-beta7		c904291f3238283abd75b6fed4f6a7ee73f428c7
com.github.japgolly.scalajs-react	util-dummy-defaults_sjs1_2.13	3.0.0-beta8		870968fd9cc909a6293cf4d0f44b08e35d1369cc
com.github.japgolly.scalajs-react	util-dummy-defaults_sjs1_2.13	3.0.0-beta9		8f627d28b1dd6db58b65ee7419c27be7323eb860
com.github.langhoangal	injectable-recyclerview-adapter	0.0.1		N/A
com.github.langhoangal	injectable-recyclerview-adapter	0.0.2		N/A
com.github.ooftf	hi-http	4.2.6		N/A
com.github.ooftf	hi-http	4.2.7		N/A
com.github.pierrenodet	spark-ensemble_2.12	0.5.0		21dd9c6997be66ad168a49b1eccaa8481e89f36c
com.github.pierrenodet	spark-ensemble_2.12	0.5.1		3ed7092fa5e9d6112692dc35585e514d3b2350d2
com.github.pierrenodet	spark-ensemble_2.12	0.5.2		3c2230f8a0eb23db66b7e337aa0f376653a8847d
com.github.pierrenodet	spark-ensemble_2.12	0.5.3		40e502a6cf80d830e3b46ba3f6b1d7af1c9d43fb
com.github.pierrenodet	spark-ensemble_2.12	0.5.4		d4459482ca33c0c1617d84498386e52da6406700
com.github.pierrenodet	spark-ensemble_2.12	0.6.0		785ff6a57821c551b516ffdf1bc95c1b25ba75d2
com.github.pierrenodet	spark-ensemble_2.12	0.6.1		59b71c2a96f69b7539259c2b44ab05b6877c492d
com.github.pierrenodet	spark-ensemble_2.12	0.7.0		ce3c49ee93c0a25f004a643350f6685237129c3b
com.github.pierrenodet	spark-ensemble_2.12	0.7.1		5feba966ec6dbe8540cfc7326908b7cc0ca7cf1c
com.github.pierrenodet	spark-ensemble_2.12	0.7.2		a24903dbff8267bc9e2a3f6c9c033577aafce128
com.github.pierrenodet	spark-ensemble_2.12	0.8.0		5c8cc75db7d3ab8b9036b6d6377e05fdebafa492
com.github.pierrenodet	spark-ensemble_2.12	0.9.0		35fff2d8d0d0af7cfb65d04546b440157d2405e8
com.github.pierrenodet	spark-ensemble_2.12	0.9.1		3bbe3d3c3992c9a84e003399e5a020bd7e166b2a
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.29.0		4c1e5515171f3deba11790716a32d5c83f6b3a21
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.29.1		c1f9d5cfb649eb204f43ed0cb737f9914ca2f448
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.29.10		de449ee25cd4edbe7393be31b9d891c71eb47a8b
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.29.11		48a3fa3c99ff5f120a746fc414e6c48e78b686a1
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.29.12		be1daae0ff94efe9cd340c0f912fab8d3c9fbcaf
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.29.13		d5355027c7c1a727e04ad100a9d6dff99d7dc30b
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.29.14		9fc568685db5ac6a834d0ec365dceaad81348b2d
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.29.15		55ab870308990e219b8b3ae6edfc1bec282f41bc
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.29.16		9429b842c92ba5a199ba5dc5d890de68e9e402b6
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.29.17		301ba95596fb0b106b9d1974ffe232778e35bfea
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.29.18		f4bfa877a1ccb074e277d5f08d42450577df907a
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.29.19		0065de060c0e6bcc73cbad6df44eebb7616df23c
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.29.2		7ca232efc9bcd4fdc420fc6108f28d9bf9235e6f
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.29.20		caca348a39ac2d5961672b431b99d9c883d4709d
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.29.21		025d3654f65a6ffd1e565e726d0b2e49aaf951cf
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.29.22		e1f056bf190a8cc8a238e1dee58dc1772dea920f
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.29.3		43eadd74b75110b1a1f45dd0e5db9d419a68eafc
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.29.4		4103ffff65658d95d74b3a0b3bec66ea97f89f1c
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.29.5		d2496100b39e567ced466ccca839205bbb854acf
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.29.6		3e56d66f0330e7562dbe9a7d1e86400812a2c7a4
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.29.7		73ec6fb88df3b7311c1dcbd84041b886968956dc
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.29.8		9dbd2cdd9b5f19844852b78f5feb0f374fa51ce5
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.29.9		3713c02a7e566154e28500dd25ec996706f289e5
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.30.0		dd86cdd2e21c46a4ed3624642fbfbf6fa841d8cd
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.30.1		3aaa29234e027e55f4a5dd98cf393cef3885700e
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.31.0		4a4b7d81121a902556ada9f807da192b789f948a
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.31.1		b830ae7a5dac96deb159becefda2e49f6a2512b7
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.31.2		7ae639d84b7e696f09047791c769bb30c0df3097
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.31.3		7ec464c1f3f5eab7619bb1c2dc52d561fb7dc12a
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.32.0		0230838f0d53aa9396b797293a468163b0e588af
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.32.1		b7e3f583bf3de814eb1100f1b221aac3a0560630
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.33.0		e6b0edfb9ca724f625d723db6fc507b45109da53
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.34.0		41659a129f1b2b9b6ea1c98438a78704a0fe9180
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.34.1		1ec86bfe769108ee12faf33215561a1394d1b78f
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.35.0		bcbcc750bb8b538848583f9d70a04de5b9ed50e2
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.36.0		7eecec69f0ad8eb48c092c5780aeb403edcb79a2
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.36.1		196101c8286e20e2b00b6c7f4bae891d986d09ea
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.36.10		acea2bae783687c13b1bcafff622e2509ec9ee4d
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.36.2		c72f029bc04f3c308785bf041f3ff56b11a95417
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.36.3		6851e478075077febd792e441e4d180888657d02
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.36.4		eaf12395fb8f2d9b1d34dbfa8654c23301fa6f2e
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.36.5		137068a2b8e8c73504429f8f79fef1a116cf4be3
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.36.6		1cefebb4d4b2449383d3cdf4ad223b900f8539ab
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.36.7		86a24ac4ef39c6c55724d911fb5964fb52f3dc11
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.36.8		b847e1fb67130d71984f3782a638689873aed277
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.36.9		6eed4e88a84d8ef3369edb65f880948ed685bf21
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.37.0		f7b2aa8b5bbe5ef9f6aeda282a36e0adc3785a89
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.37.1		34e619d375f75cbd6669f934d5ba183f34f265d5
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.37.2		963573ecc9c8b33848bb6fad6c908767bdcd3f9d
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.37.3		9094498a6a69b84a5667530c5ae7c2e0e172d3c6
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.37.4		96ff298edb2909521346d4e9a7e1a9881e882833
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.37.5		959c8f743912c0e0150618dc4f75036a590300da
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.37.6		b2f1d3fb12ddc7cc8bf7016a1c5cd29c20aa701f
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.37.7		9e0d9258a27192463d630bb0997f457e62bd4fa7
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.37.8		40ddcc9d662255342166a9fb4f0e9d92046acf4d
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.38.0		9b3a570a9f60090d545dc84bba8b0aa27c3248f8
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.39.0		49d37a83b81110a13a1bb7544ad3bead979d9db5
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-macros_2.12	0.40.0		af3db3a98f9d25ed20f5fb0fa4e44a5b471bfe93
