ai.begin	beginai	0.0.1b		ef29441207765032a19a2c6da68712271eb3b79d
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.5-1-2.2		ccecb44fe8114945c79bb52841218f47fc0cf06c
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.5-1-2.2	scaladoc	71d417ad6d6e57709c1e3633f4884e6d0ea02ef7
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.5-1-2.3		c66ff556a3eb6ae0d2215738d9e6c47dce3d1961
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.5-1-2.3	scaladoc	ad52bda6340ac3af7890d78e194a0588c439cb57
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.5-1-2.4		29ad360e83cbdc71e96fb00ab95018cdba2f4cb6
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.5-1-2.4	scaladoc	69be0a0f26db1918f773985d4fa3dc433e3926a8
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.6-1-2.1		3e93578d7fb5d349c19a4781914a35d6684738ec
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.6-1-2.1	scaladoc	297863631e3af5da2f65658a99ea576628fa5604
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.6-1-2.2		1e596941933916949c9560b0dcefa2a392b89505
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.6-1-2.2	scaladoc	03c95c902181cb3e53090677e7e5cac3046b8e8d
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.6-1-2.3		847f55e36b1c79ddc4931bec28c74d7f1913fe6b
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.6-1-2.3	scaladoc	6d9c8bf34e4de2578a99455033061c5ceb0162a6
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.6-1-2.4		b3cba9b3d50fb12431e15938038b5c4b13b9590a
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.6-1-2.4	scaladoc	2fd5dccd1bf9b2fd88b01356421478dc492c9667
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.7-1-2.1		656fc7ba016557ea4a0e875557f8c4e396104a9f
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.7-1-2.1	scaladoc	3684706cd26678c060866b20a27ff7af1ed25b6d
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.7-1-2.2		a9c0797c86e3001de5758ebd4f013d1c226fdf70
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.7-1-2.2	scaladoc	c63ab51b199f5d9098d80203b7e196f6a036ace7
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.7-1-2.3		529af8debfb23b2911fdea9796405a5c30712626
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.7-1-2.3	scaladoc	7167be6bea47bd3c898f597d17f2be4374e8e4d9
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.7-1-2.4		2a3615509410ab45c10f697a366b7d4d348fe2d7
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.7-1-2.4	scaladoc	623f656224a13fb584fe7b0a134d56de87aef604
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.1-1-2.2		71224b216602725472ceb4b9789826cc0c65cac5
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.1-1-2.2	scaladoc	0175f2c8d685d1955a3150a96af44e2ef0967294
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.1-1-2.3		abcfd9df80d4e0c94544687a2e8abf14f6834adb
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.1-1-2.3	scaladoc	9a5d4698531c0d146491cfc83548e0808a3d0d8f
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.1-1-2.4		4861aaa26efc66190a2e3a066c185e70b550ebf2
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.1-1-2.4	scaladoc	8c643f25a452669398b2460e96be7cb3a6164a40
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.3-1-2.2		07e2d98a1c78048b4adfcd7d436c79f062532ed6
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.3-1-2.2	scaladoc	41ad76d145d87afe023f2f093682596e549b7856
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.3-1-2.3		e3a6ba2a0615a861c3585f938b88906e4809f296
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.3-1-2.3	scaladoc	b03a07fd428f6871aa12f8e369c6e1b4352a3d51
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.3-1-2.4		69908234269c5a1ba76c5dbbd31c730ec6bf74d7
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.3-1-2.4	scaladoc	8a7de09730d914a61713d8dc9726e3be9ec0e52a
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.4-1-2.2		75fbb102e21ddb9e61e8e83128bf8c886ecb34d3
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.4-1-2.2	scaladoc	041ae80c3cd5586c3243390eeefde84a6ccbf327
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.4-1-2.3		1c527fa86a6b0dfa9d5bdab094d2779d3152bde8
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.4-1-2.3	scaladoc	5cbda83ab516fcefaa07b606e0c45727fe5225dd
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.4-1-2.4		ebeb07243d056031e7b5306945f43e7335e13f5e
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.4-1-2.4	scaladoc	5cbda83ab516fcefaa07b606e0c45727fe5225dd
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.6-1-2.2		e9fdbd00e1ef488083a6f599f0a5c09e9d948688
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.6-1-2.2	scaladoc	f979a50d18473f1b730357ba4ff60592c187a6ff
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.6-1-2.3		06a67d2a3ccf44d625963295bf114b99b1acc574
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.6-1-2.3	scaladoc	dcc5e0e241a0d5d1995a988f67faf2617fb86516
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.6-1-2.4		30aee9a7cd242e750b606433a901cce46047af52
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.6-1-2.4	scaladoc	1afac2ef5e35e3b2c7533013050044c8a8e8b418
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.7-1-2.2		bebccd4e14c52a6ba6a29c665075da71717fb532
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.7-1-2.2	scaladoc	0b6b57c865a00d9003a0b7aca1cacf0b13edf40d
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.7-1-2.3		fce37c705dbf7137ffe90f77970d8861b1daec2e
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.7-1-2.3	scaladoc	d32bf76fffe9b057906a558af4d6e6fcecc6a5f9
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.7-1-2.4		bfcc1cac66505f29a3bc82ee9c370ce85af7cabf
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.7-1-2.4	scaladoc	d32bf76fffe9b057906a558af4d6e6fcecc6a5f9
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.8-1-2.2		496ca48ad8ee6fc5ddf8cfa3ce50ed93855de228
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.8-1-2.2	scaladoc	b7fc617de8dd505c951eb41300af7e2be50f0734
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.8-1-2.3		57909484fea948ede38725902e9091fb0d08878c
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.8-1-2.3	scaladoc	952ede456a802f0b4c40e64c178f627a7e034b3d
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.8-1-2.4		6f9075e7ee34603e79272e6e2fa73f7de63fc164
ai.h2o	sparkling-water-scoring-package_2.11	3.34.0.8-1-2.4	scaladoc	36061a192b688406e798d5a46c6dcfcb6702eefd
ai.h2o	sparkling-water-scoring-package_2.11	3.36.0.1-1-2.2		e12e97aebb6620e210cb547a4f0d245ab2c88dde
ai.h2o	sparkling-water-scoring-package_2.11	3.36.0.1-1-2.2	scaladoc	8d48344a1c98e43760c944ce9ac0e1b4efbac806
ai.h2o	sparkling-water-scoring-package_2.11	3.36.0.1-1-2.3		c19f6673ec88f4bb8c4e96f778682d7047009fc0
ai.h2o	sparkling-water-scoring-package_2.11	3.36.0.1-1-2.3	scaladoc	cd9f80e71c7a6bb45b3a9679a938f410dbc645bf
ai.h2o	sparkling-water-scoring-package_2.11	3.36.0.1-1-2.4		a4d22c610995b1d847c5810893f1c17c456a9e14
ai.h2o	sparkling-water-scoring-package_2.11	3.36.0.1-1-2.4	scaladoc	ce94b217617b05756634f33dfc4fae96f9e2d649
ai.h2o	sparkling-water-scoring-package_2.11	3.36.0.2-1-2.2		6ab96d07318f733e1f0ba23f98c715904accba9b
ai.h2o	sparkling-water-scoring-package_2.11	3.36.0.2-1-2.2	scaladoc	2a545582936846b879b7e777c828d3ee5d8bebb9
ai.h2o	sparkling-water-scoring-package_2.11	3.36.0.2-1-2.3		609a2d705cb4045c5de39540fdb5bd5297827af9
ai.h2o	sparkling-water-scoring-package_2.11	3.36.0.2-1-2.3	scaladoc	cd9612b2b7b6b2526c3d6aa22120954b10a9f784
ai.h2o	sparkling-water-scoring-package_2.11	3.36.0.2-1-2.4		e93d148bec224464887c1a806d651cd90cf40158
ai.h2o	sparkling-water-scoring-package_2.11	3.36.0.2-1-2.4	scaladoc	aa849c17356661a9a676cc9cb77787ce92fe9069
ai.h2o	sparkling-water-scoring-package_2.11	3.36.0.3-1-2.2		0ac0135e2bea6d1a3102e068c5d4a7273e2566eb
ai.h2o	sparkling-water-scoring-package_2.11	3.36.0.3-1-2.2	scaladoc	84651a24860726c367ca8285d2f4c2704e6cabac
ai.h2o	sparkling-water-scoring-package_2.11	3.36.0.3-1-2.3		c21b1dfb1149499f8fb4be2607f0350deba65478
ai.h2o	sparkling-water-scoring-package_2.11	3.36.0.3-1-2.3	scaladoc	d7fcac76865173bfaee0a6ef36906ef3825efa7b
ai.h2o	sparkling-water-scoring-package_2.11	3.36.0.3-1-2.4		186a7f1090ed89486d87003c1deb8eb2c0cdafaa
ai.h2o	sparkling-water-scoring-package_2.11	3.36.0.3-1-2.4	scaladoc	694051ea78dfd5a999817a4d29fadd286250a68b
ai.h2o	sparkling-water-scoring-package_2.11	3.36.0.4-1-2.2		670bb7127bdb7c2a9273b14f4f77211f081b462d
ai.h2o	sparkling-water-scoring-package_2.11	3.36.0.4-1-2.2	scaladoc	766839cd3ca10c67036d1f1461d671dd10a71f63
ai.h2o	sparkling-water-scoring-package_2.11	3.36.0.4-1-2.3		679b6aef350aa7fea1366013b183a79ea1176059
ai.h2o	sparkling-water-scoring-package_2.11	3.36.0.4-1-2.3	scaladoc	aca30676b07ca9d1dab4bc11f1c2c4bfb23cd0c8
ai.h2o	sparkling-water-scoring-package_2.11	3.36.0.4-1-2.4		1d456e796a1fde5536a14e3462d44005d65175b6
ai.h2o	sparkling-water-scoring-package_2.11	3.36.0.4-1-2.4	scaladoc	28d99e860c7c1546b9a5ecbf89bc70743e577f52
ai.h2o	sparkling-water-scoring-package_2.11	3.36.1.1-1-2.2		4e0e0f512c16c6a4b8b2362a8b66040e7d14fa05
ai.h2o	sparkling-water-scoring-package_2.11	3.36.1.1-1-2.2	scaladoc	dc0ccb2eda5d43c5522ac4b5596515ddbf9571f6
ai.h2o	sparkling-water-scoring-package_2.11	3.36.1.1-1-2.3		11eca98b8aeba3988b7bb0d66232132ff42db3b3
ai.h2o	sparkling-water-scoring-package_2.11	3.36.1.1-1-2.3	scaladoc	5656a7eb071efd1e3d8783eb38e8f260f76c27a1
ai.h2o	sparkling-water-scoring-package_2.11	3.36.1.1-1-2.4		4251a2f625bbdfa17c5dd5271b1e03aff9a3482c
ai.h2o	sparkling-water-scoring-package_2.11	3.36.1.1-1-2.4	scaladoc	fc3786df7c9e3204315d3c73374ba90a3469b2ab
ai.h2o	sparkling-water-scoring-package_2.11	3.36.1.2-1-2.2		f03b86273c1cf80c36b97d643c4dbaaf5d8367d8
ai.h2o	sparkling-water-scoring-package_2.11	3.36.1.2-1-2.2	scaladoc	2ecf6e21bd1cdba43283f7b83a79459fa0b9ddc3
ai.h2o	sparkling-water-scoring-package_2.11	3.36.1.2-1-2.3		d28ff3d3ada6e178ffd8b9c1076e1a9f8124f740
ai.h2o	sparkling-water-scoring-package_2.11	3.36.1.2-1-2.3	scaladoc	0cb7da6cac81df198695722f4997428f316e8994
ai.h2o	sparkling-water-scoring-package_2.11	3.36.1.2-1-2.4		274e9b0f14287c4b4379456cb7bbfb4af3cc0922
ai.h2o	sparkling-water-scoring-package_2.11	3.36.1.2-1-2.4	scaladoc	2de7b0aa19977782d25958ad84e88b0d3666b3f1
ai.h2o	sparkling-water-scoring-package_2.11	3.36.1.3-1-2.2		fb9409f6a1192d9718981c82d567139e0e4c0373
ai.h2o	sparkling-water-scoring-package_2.11	3.36.1.3-1-2.2	scaladoc	d38772008eedefb2ea69270f00cc96bbc1ceea2f
ai.h2o	sparkling-water-scoring-package_2.11	3.36.1.3-1-2.3		f8111214320b953fb4c279412ec79c73427e24ee
ai.h2o	sparkling-water-scoring-package_2.11	3.36.1.3-1-2.3	scaladoc	78d1677d9b8401478efbc1e0c50defde7dd72852
ai.h2o	sparkling-water-scoring-package_2.11	3.36.1.3-1-2.4		1ff3ddcdab2689f20be6f23aba6f2448e54e02f1
ai.h2o	sparkling-water-scoring-package_2.11	3.36.1.3-1-2.4	scaladoc	3579e165c24ef550e5bcb340b5dc37618ed4d161
ai.h2o	sparkling-water-scoring-package_2.11	3.36.1.4-1-2.2		b94f79683f62a6288a5b1f4ab463ae68f6f2e39b
ai.h2o	sparkling-water-scoring-package_2.11	3.36.1.4-1-2.2	scaladoc	fb893c772a051b591d139a2dce1f645260143c4d
ai.h2o	sparkling-water-scoring-package_2.11	3.36.1.4-1-2.3		bd3e1fbfa2501390f775b5b90d80cc5e75c3ca0f
ai.h2o	sparkling-water-scoring-package_2.11	3.36.1.4-1-2.3	scaladoc	15187bf09be10091162ffe6fc44cd47fad7632a1
ai.h2o	sparkling-water-scoring-package_2.11	3.36.1.4-1-2.4		6e6aee68f9b284e2999ebc9784e66add321bcbe8
ai.h2o	sparkling-water-scoring-package_2.11	3.36.1.4-1-2.4	scaladoc	70e38d0538169e47c146b5354dc91819b826c95c
ai.h2o	sparkling-water-scoring-package_2.11	3.36.1.5-1-2.2		6993a2f7c638d6391edd348eb0597fd8e9fcb81f
ai.h2o	sparkling-water-scoring-package_2.11	3.36.1.5-1-2.2	scaladoc	34d4c622b03b6aba469b9c331d1e063f936357e4
ai.h2o	sparkling-water-scoring-package_2.11	3.36.1.5-1-2.3		38d70ba0593d79112e744afd624e7c4ce1939bb1
ai.h2o	sparkling-water-scoring-package_2.11	3.36.1.5-1-2.3	scaladoc	67c2993e82b95d51edcdedd1fde909cd59a9f23d
ai.h2o	sparkling-water-scoring-package_2.11	3.36.1.5-1-2.4		6eef6ac4fd69d3a5dc5c85d9b8d9e845487efdb0
ai.h2o	sparkling-water-scoring-package_2.11	3.36.1.5-1-2.4	scaladoc	84fef0f879083b8f2a6daab44d09b7e2979213f0
ai.h2o	sparkling-water-scoring-package_2.11	3.38.0.1-1-2.3		97fadceba4464fd3be33942ce4b7da3804d82243
ai.h2o	sparkling-water-scoring-package_2.11	3.38.0.1-1-2.3	scaladoc	e9b343436fb9d91828c516b74f5352abc5affa77
ai.h2o	sparkling-water-scoring-package_2.11	3.38.0.1-1-2.4		f79621b01a82c6ac6e95dc2c04e4a31a681a73e3
ai.h2o	sparkling-water-scoring-package_2.11	3.38.0.1-1-2.4	scaladoc	79962081697007bdf62ab64c2861ab5a087558a5
ai.h2o	sparkling-water-scoring-package_2.11	3.38.0.2-1-2.3		95277670334856b7aca0a3dedf70234536cd50c7
ai.h2o	sparkling-water-scoring-package_2.11	3.38.0.2-1-2.3	scaladoc	64dde1cfa08db32073389f99da458cff9e9f5fdb
ai.h2o	sparkling-water-scoring-package_2.11	3.38.0.2-1-2.4		57e638c8cc9f050a44213589ca64f25a17fdcff0
ai.h2o	sparkling-water-scoring-package_2.11	3.38.0.2-1-2.4	scaladoc	86dd8ded7c55d37718f977d9d25c097b52152618
ai.h2o	sparkling-water-scoring-package_2.11	3.38.0.3-1-2.3		22c5fddb02e47fd6833b3ba4a37b10a740d6b2c2
ai.h2o	sparkling-water-scoring-package_2.11	3.38.0.3-1-2.3	scaladoc	f18a642ebad8186386e83669361276b5a2e3971f
ai.h2o	sparkling-water-scoring-package_2.11	3.38.0.3-1-2.4		f9d3e2b3844c03786f525811fe2f825969a9b5d6
ai.h2o	sparkling-water-scoring-package_2.11	3.38.0.3-1-2.4	scaladoc	186d08b4df85364c30d76b9d6fca02a7656a9720
ai.h2o	sparkling-water-scoring-package_2.11	3.38.0.4-1-2.3		5d3214e2c458aaf7340bf56e5163c74a583132ac
ai.h2o	sparkling-water-scoring-package_2.11	3.38.0.4-1-2.3	scaladoc	81f9215fb7732c3bee5eb9dd5acf67cf2dadff93
ai.h2o	sparkling-water-scoring-package_2.11	3.38.0.4-1-2.4		9d894f45f8d0e13936879aeb982b5b516bffc852
ai.h2o	sparkling-water-scoring-package_2.11	3.38.0.4-1-2.4	scaladoc	838edc9834f1e5a1cc7bd40c2fdd9960deeda999
ai.h2o	sparkling-water-scoring-package_2.11	3.40.0.1-1-2.3		77fe740e65b99966a93c5bbcaf38daea911f64c5
ai.h2o	sparkling-water-scoring-package_2.11	3.40.0.1-1-2.3	scaladoc	7a25e146d4e5143f15dc63cb9485a113dc6a6213
ai.h2o	sparkling-water-scoring-package_2.11	3.40.0.1-1-2.4		47dfeec786d707aa6fa55360acb4cbab68b7f74c
ai.h2o	sparkling-water-scoring-package_2.11	3.40.0.1-1-2.4	scaladoc	7248509b9aa766786417983917fdc38588b0e83c
ai.h2o	sparkling-water-scoring-package_2.11	3.40.0.2-1-2.3		766075acab6601b2ab2635054b02f8d4586fc31d
ai.h2o	sparkling-water-scoring-package_2.11	3.40.0.2-1-2.3	scaladoc	af7d952aa3e23e25d9d7a230a1cb3dae0ff6f351
ai.h2o	sparkling-water-scoring-package_2.11	3.40.0.2-1-2.4		d732e2cbbd5f12453f140f1c819d393d422653cc
ai.h2o	sparkling-water-scoring-package_2.11	3.40.0.2-1-2.4	scaladoc	fb17076e545a07991c21ec87e5cd08b60a8c1076
ai.h2o	sparkling-water-scoring-package_2.11	3.40.0.3-1-2.3		57e1a739846b7d545f6269fdaecabd982e1437c8
ai.h2o	sparkling-water-scoring-package_2.11	3.40.0.3-1-2.3	scaladoc	5c4b157140ab2f651e1285ba61e7a98a2df38480
ai.h2o	sparkling-water-scoring-package_2.11	3.40.0.3-1-2.4		72e8195e392ee7b63982d9c0c321cc7e8201ceab
ai.h2o	sparkling-water-scoring-package_2.11	3.40.0.3-1-2.4	scaladoc	3e14440a65de691291b91d4457e7429f4b869487
ai.h2o	sparkling-water-scoring-package_2.11	3.40.0.4-1-2.3		2721cacad71ee8c4ae10a44f49ae18b9fcfbc0c6
ai.h2o	sparkling-water-scoring-package_2.11	3.40.0.4-1-2.3	scaladoc	6cf478c43b17ac467cc92c9bf6e5e1e2604aacbb
ai.h2o	sparkling-water-scoring-package_2.11	3.40.0.4-1-2.4		78f0a62e30690c2b769c4827fa69cc33be0ac366
ai.h2o	sparkling-water-scoring-package_2.11	3.40.0.4-1-2.4	scaladoc	c0c261ad892070471cf792644895d147add19831
ai.h2o	sparkling-water-scoring-package_2.11	3.42.0.1-1-2.3		be4de8f28e7b35367ee4ea1a8b43392712d3321b
ai.h2o	sparkling-water-scoring-package_2.11	3.42.0.1-1-2.3	scaladoc	98637dbce15d9b8aaea8324b6fa5abfaef05cff0
ai.h2o	sparkling-water-scoring-package_2.11	3.42.0.1-1-2.4		d9f1d01f2df6f4695f7e07a92cfe7c24721df256
ai.h2o	sparkling-water-scoring-package_2.11	3.42.0.1-1-2.4	scaladoc	98637dbce15d9b8aaea8324b6fa5abfaef05cff0
ai.h2o	sparkling-water-scoring-package_2.11	3.42.0.2-1-2.3		8681a479c90f2d4aa3e28d9f7d94d06a062f2089
ai.h2o	sparkling-water-scoring-package_2.11	3.42.0.2-1-2.3	scaladoc	3fe3af0d939d5c5750b08473b8aae853b359f7ec
ai.h2o	sparkling-water-scoring-package_2.11	3.42.0.2-1-2.4		fac1b57132e3fb72974fc33ea925073a1e3ceeef
ai.h2o	sparkling-water-scoring-package_2.11	3.42.0.2-1-2.4	scaladoc	c51c05d2f9a4067126a2496f45fca0e8f653c285
ai.h2o	sparkling-water-scoring-package_2.11	3.42.0.3-1-2.3		feefe2204b5d12d114af2d4cd07fefd80a64ea44
ai.h2o	sparkling-water-scoring-package_2.11	3.42.0.3-1-2.3	scaladoc	8cbbd884a69c79f76bb1b6fe71f23b721941e8e9
ai.h2o	sparkling-water-scoring-package_2.11	3.42.0.3-1-2.4		2973652e7e570c00fa38734fa045e4ff2d51256e
ai.h2o	sparkling-water-scoring-package_2.11	3.42.0.3-1-2.4	scaladoc	dd92485ccdf3802666e3cb0c0efe52f94520b6e1
ai.h2o	sparkling-water-scoring-package_2.11	3.42.0.4-1-2.3		f2c38f86d0959334e5ddb9fddfb3c41660f4a52a
ai.h2o	sparkling-water-scoring-package_2.11	3.42.0.4-1-2.3	scaladoc	d7aa8dfb9920c9bcf57fc1132bb13dca4c79f040
ai.h2o	sparkling-water-scoring-package_2.11	3.42.0.4-1-2.4		126e018341c523a7c55889c982e017e40d79b62a
ai.h2o	sparkling-water-scoring-package_2.11	3.42.0.4-1-2.4	scaladoc	eca4e5a41f5802bf7d89696dd2a772e434e2b7b6
ai.h2o	sparkling-water-scoring-package_2.11	3.44.0.1-1-2.3		78d8969278155b1d5d1b15f4dceb16f7be08fac8
ai.h2o	sparkling-water-scoring-package_2.11	3.44.0.1-1-2.3	scaladoc	c7b85278b8e48e76ea631827e577efdc8d7d4a2a
ai.h2o	sparkling-water-scoring-package_2.11	3.44.0.1-1-2.4		bcbdfb1054c9efaed1b853c470ad4032ecb4767e
ai.h2o	sparkling-water-scoring-package_2.11	3.44.0.1-1-2.4	scaladoc	62265b78705bfdd3722160ec3961eedbc7e10e9b
ai.h2o	sparkling-water-scoring-package_2.11	3.44.0.2-1-2.3		7f8bb8185ac7a140b40a11017e604e4746c5a0e4
ai.h2o	sparkling-water-scoring-package_2.11	3.44.0.2-1-2.3	scaladoc	f0aade5abc3c08639f8034ea878406b1af9c0134
ai.h2o	sparkling-water-scoring-package_2.11	3.44.0.2-1-2.4		ace4552fdd12676c95204dd973995b1aab149b3b
ai.h2o	sparkling-water-scoring-package_2.11	3.44.0.2-1-2.4	scaladoc	255d4a40d0333022d21de9d6dfd4956b8a750c80
ai.h2o	sparkling-water-scoring-package_2.11	3.44.0.3-1-2.3		aed8c50b1caf8f834a4068cd45d61ce33f502132
