com.google.apis	google-api-services-adsense	v1-rev60-1.13.2-beta		f3ab34c7fc666a4c61d7c1d3b82ec8cd6f941843
com.google.apis	google-api-services-adsense	v1-rev60-1.14.2-beta		f39dad1a67d8532cedd3e2aa759c4519373acb28
com.google.apis	google-api-services-adsense	v1-rev60-1.15.0-rc		82c0abd66b5342c4c88b757e49e3b7c2399ef71b
com.google.apis	google-api-services-adsense	v1-rev62-1.13.2-beta		6f51218c9ea9cbe6de445edeb1573712848abd1c
com.google.apis	google-api-services-adsense	v1-rev62-1.14.2-beta		4d9aa21c33ac45749bccc36e8a597a80965cacb3
com.google.apis	google-api-services-adsense	v1-rev62-1.15.0-rc		005d59d4e1a9d3dc7ec2b4e073b0db7d2609fc73
com.google.apis	google-api-services-adsense	v1-rev63-1.13.2-beta		ad22e7f4b7f896d07d30ac5b077510d8f4421a43
com.google.apis	google-api-services-adsense	v1-rev63-1.14.2-beta		ec1364153547b395fc2eb2927f496bb054d81097
com.google.apis	google-api-services-adsense	v1-rev63-1.15.0-rc		a5e4107e173c0efd7d2d0fd633e1cc9c82e3b4bf
com.google.apis	google-api-services-adsense	v1-rev64-1.13.2-beta		7352dd4c8e1195f5ff7bf108b59a125ce4edf378
com.google.apis	google-api-services-adsense	v1-rev64-1.14.2-beta		f6378c60104a0578aef209acc776af22295fe31d
com.google.apis	google-api-services-adsense	v1-rev64-1.15.0-rc		69f702efe8c481dba1833ab2750ecbb62c7128ce
com.google.apis	google-api-services-adsense	v1-rev65-1.13.2-beta		0aad6db1080fe640f57550b24e1523186927bffd
com.google.apis	google-api-services-adsense	v1-rev65-1.14.2-beta		bfef3237832d426b69a18ff6046984eb52aebfff
com.google.apis	google-api-services-adsense	v1-rev65-1.15.0-rc		d8f4fedb274c9cd43ab20f77759639aa6d8152c2
com.google.apis	google-api-services-adsense	v1-rev66-1.13.2-beta		4f720d9358cde5073dabe67983b75ffb2e75fb4e
com.google.apis	google-api-services-adsense	v1-rev66-1.14.2-beta		d5c2089b6cf4ee85b11eb1dd81d763b8646c4ebd
com.google.apis	google-api-services-adsense	v1-rev66-1.15.0-rc		3e2e65c33a776248e271729456ef112741a6d0c1
com.google.apis	google-api-services-adsense	v1-rev67-1.13.2-beta		948703a91a7e9fbad7f6cd21080224e0e6cd88c7
