cloud.rio	amazonas	0.1.0		f0a4bc1ab8c1f46f0590686912248f811d67ca5b
com.rojoma	simple-arm-v2_2.10	2.3.3		dd667c4da37198835cc5e8b87b8020019e613ad1
com.sdl.web	content-tags	10.0.0-1015		bd46c0a197fbfee4b12d7c921ad0bf76e809f4bc
com.sdl.web	content-tags	10.1.0-1019		87c0e1dbc7623a7ac3423748dfd0b38d821a42ba
com.sdl.web	content-tags	10.1.1-1016		e022773ca0c4f2c496450091caa68a6c2652a762
com.sdl.web	content-tags	8.1.1-1008		673fc98027eb1a15dbf7ef39a738ae661342cfb9
com.sdl.web	content-tags	8.2.0-1009		10b748499dd6f1aefc0ab271bacf7f4391dc9586
com.sdl.web	content-tags	8.3.0-1004		5a0bb0067cefc8f1f899d5d8c78e1171c4d5b6bc
com.sdl.web	content-tags	8.5.0-1013		34505fb29e38b1feafa77a107adcc465abc424c1
com.sdl.web	content-tags	8.5.0-1049		17cc732d271e8754d6747adddcae01aad5ecbe50
com.sdl.web	content-tags	8.5.0-1108		e247523379eb8db8a7b02abdbaecbb1207a0b33d
com.sdl.web	content-tags	8.5.0-1137		4b22350088f00b313ad76273861f344e0c4364ba
com.sdl.web	content-tags	8.5.0-1163		03ba70ba231c225a55843fb9d5eb3f9c7ba38bc9
com.semanticcms	semanticcms-autogit-model-book	1.4.2		3d1503620f4e41c43d4c60caca7212896cf8f74c
com.semanticcms	semanticcms-autogit-model-book	1.4.3		3d03ddf92eb577f26bdd356de602d51bdcc85fe3
com.semanticcms	semanticcms-autogit-model-book	1.4.4		86e0cc6992e100d8be56c7634174224281743ddb
com.semanticcms	semanticcms-autogit-model-book	1.4.5		e08b37455e9c98cda68443fa2eb5e4c2a0175d28
com.semanticcms	semanticcms-autogit-model-book	1.5.0		7696a0b637ded697a1162d5e0f113fadcda40880
com.spotify	scio-neo4j_2.13	0.12.0		bd1d0d69a15ab3dfd6f728b88cf57b606c470492
com.spotify	scio-neo4j_2.13	0.12.0-RC2		563992d1a68c25ea27ddb8ecbc5ef3b4b7184d53
com.spotify	scio-neo4j_2.13	0.12.1		601956348c3a1acc8d0c2bdf1c39f4831b1c3c54
com.spotify	scio-neo4j_2.13	0.12.2		0c39b8924297e60557083390504ea77b7098b6bd
com.spotify	scio-neo4j_2.13	0.12.3		4c05b75e1a52aa898724085e5f2aae968bca92ef
com.spotify	scio-neo4j_2.13	0.12.4		a1c825f47b292a2642708a9e6e59a66bce96c531
com.spotify	scio-neo4j_2.13	0.12.5		654873cafa4a63260f3271b19b0f1fa9fcfafa7b
com.spotify	scio-neo4j_2.13	0.12.6		08d5dccd4d2f7edc007388483f6fc2ead0101b05
com.spotify	scio-neo4j_2.13	0.12.7		56f51baf1917ce072f1830473ea3fd7eae8bc5de
com.spotify	scio-neo4j_2.13	0.12.8		ddc17cc5569a9c423323fe444d96aa04ff3356e9
com.spotify	scio-neo4j_2.13	0.13.0		ed6873ea5a0a63e8434dc5a0c326b4bdaa1fc11b
com.spotify	scio-neo4j_2.13	0.13.0-RC1		908435f93dd8144e112db484b542906a92eb32f8
com.spotify	scio-neo4j_2.13	0.13.1		8440a394df33484e163ac39dc6435687cf62a6d7
com.spotify	scio-neo4j_2.13	0.13.2		5eb05e69a41f1dc41bfa0e88e44dd1301218df9a
com.spotify	scio-neo4j_2.13	0.13.3		9948219f5e4b2fc0dab1240082b6f1116420333f
com.spotify	scio-neo4j_2.13	0.13.4		908ecaaadd2b0b4c11099669ba46cd98b3073964
com.spotify	scio-neo4j_2.13	0.13.5		a209d73a56fdf145c625ca0bf556caa54809f32d
com.spotify	scio-neo4j_2.13	0.13.6		4746bb474faecef47ffa9ad11c7fc3a59ea9c5a6
com.spotify	scio-neo4j_2.13	0.14.0		09edabac4c19cab5c7daa3ffde89f6ad8296963b
com.spotify	scio-neo4j_2.13	0.14.0-dev0		ce811bfe50cb2e810c1591717c2169d7960d3dfb
com.spotify	scio-neo4j_2.13	0.14.0-dev1		af82468fc94d790641ddd32b417a04acf785acdb
com.spotify	scio-neo4j_2.13	0.14.1		66cbad9ddab745520704a4e6c6f4071f348ab72b
com.spotify	scio-neo4j_2.13	0.14.10		f4037d4881f27ee062e53e34569618001663723e
com.spotify	scio-neo4j_2.13	0.14.11		61974c73eed8e7e881d4074bfc405403a7547496
com.spotify	scio-neo4j_2.13	0.14.12		29821faa8df8af276996bb8cff365c4cb84f4110
com.spotify	scio-neo4j_2.13	0.14.13		060e3053ede85b405095957f340698ed9cbf3bbf
com.spotify	scio-neo4j_2.13	0.14.14		9afe47232f4e633c8c1bbc0c2cb9b1ca6450df2d
com.spotify	scio-neo4j_2.13	0.14.15		e1633aa70ff641c45866f632ef2fcd36d6627e2a
com.spotify	scio-neo4j_2.13	0.14.16		f954ee1ab201494f635bb7905d3c5002afb2c778
com.spotify	scio-neo4j_2.13	0.14.2		a239f064db683fb0fb481554ebabfc0cc6bb9593
com.spotify	scio-neo4j_2.13	0.14.3		fcdbe87bc746e6ef4666df7421570216d57e6b6a
com.spotify	scio-neo4j_2.13	0.14.4		cf3c38f110e0b5fddc0251bb8a9a582794ecd01e
com.spotify	scio-neo4j_2.13	0.14.5		28b450cd06f1b7ed53bc1e2ac8859ce081363f4f
com.spotify	scio-neo4j_2.13	0.14.6		480e7ee29495407f6fe7a4b79cf26149a59d09a8
com.spotify	scio-neo4j_2.13	0.14.7		a9d69ec7e0a8667c63e38e371bce7b30a2b27243
com.spotify	scio-neo4j_2.13	0.14.8		a4a601b17b74e451ba8203eed033c5d72c49c7e7
com.spotify	scio-neo4j_2.13	0.14.9		9ea0d7a42374e3eaa6d2c5b944cc24f551d59835
com.springml	marketo-rest-client	1.0.0		185f1a3e32210813196d2ac800188492703db147
com.tethys-json	tethys-jackson212_3	0.28.0		b3274aeb582e95ba91f54f3626071c34bdcdf640
com.tethys-json	tethys-jackson212_3	0.28.1		987f9400ea3bf43c7604cf35cac58a7bd471c5c7
com.tethys-json	tethys-jackson212_3	0.28.2		5d58a8f97ee02d1b98b556562f60e59920896306
com.tethys-json	tethys-jackson212_3	0.28.3		0e19c2996b5c72bc8e751b809ab340e194b02ac0
com.tethys-json	tethys-jackson212_3	0.28.4		14a30e18d145dceef7d8384cf860b5cc89bcd13e
com.tethys-json	tethys-jackson212_3	0.29.0		7585be0840a289c45f2ea8c707a5daa8607fca62
com.tethys-json	tethys-jackson212_3	0.29.1		aa82a317836d12b77c68cc39b2be2bbee3ce7fdc
com.tethys-json	tethys-jackson212_3	0.29.2		c0698805a8f90a7d165089e5a8f3e8722750ae27
com.tethys-json	tethys-jackson212_3	0.29.3		743ee8b9e3c7ea5e6b9ff0ca2a6d389f95f1a1d5
com.tethys-json	tethys-jackson212_3	0.29.4		a21708abe7567e181ab0e8a6b8a88a57db889668
com.tethys-json	tethys-jackson212_3	0.29.5		7929e42c6960df1ed7f8c7fcefb26e14354e8a90
com.typesafe.akka	akka-discovery_2.13.0-RC3	2.5.23		d2ac8daa28a743750c6397a2f7dcbf0fc21e4642
de.mhus.osgi	mhus-osgi-servlets	1.4.1		N/A
de.mhus.osgi	mhus-osgi-servlets	1.4.2		N/A
de.mhus.osgi	mhus-osgi-servlets	1.4.3		N/A
de.mhus.osgi	mhus-osgi-servlets	1.5.0		N/A
de.mhus.osgi	mhus-osgi-servlets	1.6.0		N/A
de.mhus.osgi	mhus-osgi-servlets	1.6.1		N/A
de.mhus.osgi	mhus-osgi-servlets	1.6.2		N/A
de.mhus.osgi	mhus-osgi-servlets	6.3.0		N/A
de.mhus.osgi	mhus-osgi-servlets	7.0.0		N/A
de.mhus.osgi	mhus-osgi-servlets	7.1.0		N/A
de.mhus.osgi	mhus-osgi-servlets	7.2.0		N/A
de.sciss	model_3.0.0-RC2	0.3.5		f151befb9a5754db34d7f7f494f8cf832d30e9b2
dev.evo.elasticmagic	elasticmagic-serde-serialization-json-js	0.0.1		c5cff37ca1f14c36ae632ec0d73751f19f78535f
dev.evo.elasticmagic	elasticmagic-serde-serialization-json-js	0.0.10		N/A
dev.evo.elasticmagic	elasticmagic-serde-serialization-json-js	0.0.11		N/A
dev.evo.elasticmagic	elasticmagic-serde-serialization-json-js	0.0.12		N/A
dev.evo.elasticmagic	elasticmagic-serde-serialization-json-js	0.0.13		N/A
dev.evo.elasticmagic	elasticmagic-serde-serialization-json-js	0.0.14		N/A
dev.evo.elasticmagic	elasticmagic-serde-serialization-json-js	0.0.15		N/A
dev.evo.elasticmagic	elasticmagic-serde-serialization-json-js	0.0.16		N/A
dev.evo.elasticmagic	elasticmagic-serde-serialization-json-js	0.0.17		N/A
dev.evo.elasticmagic	elasticmagic-serde-serialization-json-js	0.0.18		N/A
dev.evo.elasticmagic	elasticmagic-serde-serialization-json-js	0.0.19		N/A
dev.evo.elasticmagic	elasticmagic-serde-serialization-json-js	0.0.2		0da56151ff7b70fc620e07656d70c7b161fd2bf1
dev.evo.elasticmagic	elasticmagic-serde-serialization-json-js	0.0.3		974e6939cee8d87464f117015ae5cfcc0ec70064
dev.evo.elasticmagic	elasticmagic-serde-serialization-json-js	0.0.4		015d9319caee25559fbc2dbb2456c4b5f2efeb0d
dev.evo.elasticmagic	elasticmagic-serde-serialization-json-js	0.0.5		N/A
dev.evo.elasticmagic	elasticmagic-serde-serialization-json-js	0.0.6		N/A
dev.evo.elasticmagic	elasticmagic-serde-serialization-json-js	0.0.7		N/A
dev.evo.elasticmagic	elasticmagic-serde-serialization-json-js	0.0.8		N/A
dev.evo.elasticmagic	elasticmagic-serde-serialization-json-js	0.0.9		N/A
dev.jonpoulton.mandark	mandark-view	2.2.0		N/A
dev.jonpoulton.mandark	mandark-view	2.2.1		N/A
dev.langchain4j	langchain4j-milvus-spring-boot-starter	0.32.0		6199149bc30a7b87625d76915360c61c61f0ecff
dev.langchain4j	langchain4j-milvus-spring-boot-starter	0.33.0		6ecf65a7a8a0c974300fc84e8886ebd873d40e6d
dev.langchain4j	langchain4j-milvus-spring-boot-starter	0.34.0		296d6d5a7e77de7922aefa8071105d10d6467dbe
dev.langchain4j	langchain4j-milvus-spring-boot-starter	0.35.0		6ac8a60e0b293fc283e6da78466a190edff23674
dev.langchain4j	langchain4j-milvus-spring-boot-starter	0.36.0		f0c54d388b46f938e5861cd032717f4621d8f519
dev.langchain4j	langchain4j-milvus-spring-boot-starter	0.36.1		6dcd18452b53151b520140d49c8b3af2c1aa8478
dev.langchain4j	langchain4j-milvus-spring-boot-starter	0.36.2		dee22d7f05629f15e795694d872f4875753cf249
dev.langchain4j	langchain4j-milvus-spring-boot-starter	1.0.0-alpha1		9b1c03eab8ebc1c0e2381bfa4983d30a954eeed1
dev.langchain4j	langchain4j-milvus-spring-boot-starter	1.0.0-beta1		320fec30ba294b63f5757ed5876cb126949dbda7
dev.langchain4j	langchain4j-milvus-spring-boot-starter	1.0.0-beta2		e26c9a0dea90e6bbd41a7ecf15ad760e3d3299b6
dev.langchain4j	langchain4j-milvus-spring-boot-starter	1.0.0-beta3		948d08a6ed00cbdf01f3b879d87e4af60937b375
dev.langchain4j	langchain4j-milvus-spring-boot-starter	1.0.0-beta4		0bcd1ad4ee3f7934dfe3e898a9f7df429954dad3
eu.tripled-framework	eventbus-autoconfigure	0.0.1		5bc933ef1be326280e464679b4ed92109ff3764c
eu.tripled-framework	eventbus-autoconfigure	0.0.2		7f4ac8385eeecaedc0c7be9db778faa55964b85b
info.novatec	camunda-process-instance-migrator	1.0.0		e0c9451087b142ff1098ca97ad8093ebdae24d64
info.novatec	camunda-process-instance-migrator	1.0.1		c5a57bf357157c1879dd22aa37339b634b24e855
info.novatec	camunda-process-instance-migrator	1.0.2		e741981fbf69667a760edce902a9c5b928e6353c
info.novatec	camunda-process-instance-migrator	1.0.3		e5cb461ea047e51b640d82028ef0aa87de241fe9
info.novatec	camunda-process-instance-migrator	1.0.4		b7b9cfabcc4413baf2db1348626f6e28e13780f4
info.novatec	camunda-process-instance-migrator	1.1.0		8400229f4965f2ca485bb3101677828dbf3a5478
info.novatec	camunda-process-instance-migrator	1.1.1		bb08af11575710793a2d560d5eef434db4eec033
io.bartholomews	scala-iso_2.12	0.1.0		1e09fcd61aa8ec130a7fee19d30d56de4fdf7c34
io.bartholomews	scala-iso_2.12	0.1.1		ea9c307e8be5eb81127876658dc2e89cfe192f73
io.bartholomews	scala-iso_2.12	0.1.2		eff55c007f8ec7030d096b3d2a287225c5b3cacf
io.bartholomews	scala-iso_2.12	0.1.3		03b79fde1965738f9020520790bcb2be0cf16a4f
io.data2viz	d2v-delaunay-jvm	0.7.0		0cbc50e5bccce856e8751c4b73ff2c370ee71e52
io.data2viz	d2v-delaunay-jvm	0.7.0-RC3		a8a54f807a5da41773d821e212c55317e3e51960
io.data2viz	d2v-delaunay-jvm	0.7.0-RC4		665521c728076d2f9843cd8840c200c2c4109a41
io.data2viz	d2v-delaunay-jvm	0.7.1		0b7fe3ea82fb24319461c576b6a2d4946e2edab6
io.data2viz	d2v-delaunay-jvm	0.7.1-RC2		b1f4d32bc2a0376397c56f51f27137474951698e
io.data2viz	d2v-delaunay-jvm	0.7.1-RC3		93ff67220765bc7f6a7ce8a8d5350105e864b113
io.data2viz	d2v-delaunay-jvm	0.7.1-RC4		a7aaa68bc8932d03a6e9e04b394c77ed30d3cc79
io.data2viz	d2v-delaunay-jvm	0.7.1-RC5		002c2d7342ae284e748452ee24045f1acac6185b
io.data2viz	d2v-delaunay-jvm	0.7.1-RC6		42d4ad771e68d71436233d9600eac6fb14aca94e
io.data2viz	d2v-delaunay-jvm	0.7.2-RC1		84b0c7333e6eeeb07f700583fa308bd6306eab76
io.data2viz	d2v-delaunay-jvm	0.8.0-RC1		44544ce464728a1ed020c857d1592a7ebfac8649
io.data2viz	d2v-delaunay-jvm	0.8.0-RC2		22feee5437e805b43361da21b648da574ce54127
io.data2viz	d2v-delaunay-jvm	0.8.0-RC3		dce5364836546ae2889ec085e29efdd5f698dfc9
io.data2viz	d2v-delaunay-jvm	0.8.0-RC4		731b628b4550a80393db7fc6f9379d0265e50d31
io.data2viz	d2v-delaunay-jvm	0.8.0-RC5		3b85cd3253e574044dce27acdda6568d5b96daf7
io.github.jonanorman.android	glrenderclient	0.1.0		N/A
io.github.jonanorman.android	glrenderclient	0.2.0		N/A
io.github.kalac2232	easymediaplayer	0.0.7		N/A
io.github.salifu25	RoleManagement	0.0.1		49fada75a0e996bdc548855a76f545cbd3d0c113
io.github.serpro69	kotlin-faker-books	2.0.0-rc.1		45d47398415eff560160e4495b0e62a0e21d82fd
io.github.serpro69	kotlin-faker-books	2.0.0-rc.2		0e095450ddab970d0563a3ac7634b2b5e182c9d0
io.github.serpro69	kotlin-faker-books	2.0.0-rc.3		21f022ae7f530ffe1b0193bdf712d853ceb3ba0b
io.github.serpro69	kotlin-faker-books	2.0.0-rc.4		3c1314f5cb481b63f4cc68b4c4df554aa2e82a5d
io.github.serpro69	kotlin-faker-books	2.0.0-rc.7		6485128f1404ef3dc87be3f3d2af582e278d89a8
io.github.serpro69	kotlin-faker-books	2.0.0-rc.8		7acbe22d698db73d603ea24fa0546637850ffa61
io.github.serpro69	kotlin-faker-books	2.0.0-rc.9		2fa683431ae137e09f99456898827c2cec5e485a
io.github.skolson	kmp-io-iosarm64	0.1.3		N/A
io.github.skolson	kmp-io-iosarm64	0.1.3	metadata	a738a5525223454c644178ae46292dd4c3fa45bf
io.github.skolson	kmp-io-iosarm64	0.1.4		N/A
io.github.skolson	kmp-io-iosarm64	0.1.4	metadata	bfba8b3d43203b2f9cf050c2545b9f19fa484c1a
io.github.skolson	kmp-io-iosarm64	0.1.5		N/A
io.github.skolson	kmp-io-iosarm64	0.1.5	metadata	d04a75d222214a848139db99cf8de34ea9451379
io.github.skolson	kmp-io-iosarm64	0.1.6		N/A
io.github.skolson	kmp-io-iosarm64	0.1.6	metadata	82c4ee1884bb22d5d983cded28763097d342e04e
io.github.vkn	quarkus-mongodb-junit5	0.0.4		ae278f598e035be47d02d233888dfc97b2ded862
io.github.vkn	quarkus-mongodb-junit5	0.0.5		1c631fabaf6f8c7da885c5001e8813a09e1be710
io.github.vkn	quarkus-mongodb-junit5	0.0.6		227e469a5bb2134f8f439dd9683088d0d0cc5da4
io.highlight	highlight-sdk	-b34		823cb88fd1f9d965df1a378f1a3cad5abcd12b31
io.highlight	highlight-sdk	-b36		3e3171238fcf41249ae6ed6b247454499271eeda
io.highlight	highlight-sdk	-b42		51bda1af93ed5ac468ea3d35e1f48faaf2356774
io.highlight	highlight-sdk	-b43		c67ad8dc8d74da2eb7a2d88f70e404eadb5e7c61
io.highlight	highlight-sdk	-b44		7825346ddfcf621cd0e7240a9a67254fc07479fb
io.highlight	highlight-sdk	-b45		5ad58f391daf95a452c5231c596ce355cd0644bf
io.highlight	highlight-sdk	-b46		2f33156851faa0de315d827e12fbd722ba439575
io.highlight	highlight-sdk	-b47		d2ac41f288d1e72081c3372bcebf59d1884042c4
io.highlight	highlight-sdk	-b48		0beb3267e7ef47f3be09de73ef3c390a2e2e24f8
io.highlight	highlight-sdk	-b49		c9a77b32d20e212b1dd3cdef55dde73ec97f2191
io.highlight	highlight-sdk	-b50		8b0f87fbd9fb78202170a4455e198ef965524830
io.highlight	highlight-sdk	-b51		5788d48b7b5126cc9e0fc2315c6e1232945179c7
io.highlight	highlight-sdk	-b52		d7973710753c17324759e6fa7293959034a39f48
io.highlight	highlight-sdk	-b53		8d5caa8c4ac5fe574ca972d61a2d2ea732425b9a
io.highlight	highlight-sdk	-b54		7fa7e42851dbe437b8af343fd73c783ec228c597
io.highlight	highlight-sdk	-b55		c4dd0c75d04f95db218ccf88f564b1bb228012f7
io.highlight	highlight-sdk	-b56		a62f3d660a78d520eac1baefdd919858ecf42b24
io.highlight	highlight-sdk	-b57		1a384026d85e836f7b637a71eb915baed972b2ff
io.highlight	highlight-sdk	-b58		d1bae3555c03fb5fc6f68e52bc79ed57d7580f1c
io.highlight	highlight-sdk	-b59		ffc3f27b47ee38534a89001c20f841508286eb58
io.highlight	highlight-sdk	-b60		76384373d0decf72a99b6c83b16d159ffed20321
