au.net.causal.maven.native-security	maven-native-security-parent	1.0		N/A
cloud.agileframework	agile-log	2.1.0.M46		a02be5dd10918e1e5cfeef0672c91056ca9dc8b8
cloud.agileframework	agile-log	2.1.0.M47		ad927809288aa07f0fb1ffc91e568ea3c8648433
cloud.agileframework	agile-log	2.1.0.M48		9078cea9b3a4bf4b5d76323d133e33fbea436c6e
cloud.agileframework	agile-log	2.1.0.M49		d774866ea708ef94507f1aa7cc6d464af5749289
cloud.agileframework	agile-log	2.1.0.M51		c86fa7ab32e5c4cf7ee2072af552034095940c79
cloud.agileframework	agile-log	2.1.0.M52		9a842dd763f046cadd8fb2d62e79295acf168d40
cloud.agileframework	agile-log	2.1.0.M54		e543f1621146fa1cfcb5f0e0be2f6c0333c63a9c
cloud.agileframework	agile-log	2.1.0.M55		fcd815782f96eb8fb66ab47ebcf4a4535be94d11
cloud.agileframework	agile-log	2.1.0.M56		8b0d2848946c37e98e73377f38f8e27c6121f8d6
cloud.agileframework	agile-log	2.1.0.M57		205fcec307051055e91e01c93e8fbc7399130b6c
cloud.agileframework	agile-log	2.1.0.M58		4bee9977a7b1bb9728678d43cd1893c03f11705d
cloud.agileframework	agile-log	2.1.0.M59		301710d7bae925d5a3a041e87d9bb9efa608afe5
cloud.agileframework	agile-log	2.1.0.M60		73c289a05f35cc0198132531a7c3fefac0e7861c
cloud.agileframework	agile-log	2.1.0.M61		116f4a2ff1af91f545899e09c303232966c10282
cloud.agileframework	agile-log	2.1.0.M62		c3a92c5639fb2169dc4eb40b59d88d17b00843ab
cloud.agileframework	agile-log	2.1.0.M63		9bc48f55d984cd0e5f8d215f0ac5c07c97a5ace6
cloud.agileframework	agile-log	2.1.0.M64		8ce562d68abe26715d31cd90e07085b80c5f6f2d
cloud.agileframework	agile-log	2.1.0.M65		bd717cfad4f5979a37e94b765ec7ad25bb81e28a
cloud.agileframework	agile-log	2.1.0.M66		a5ae62a86991923abaa5bccecce26b7b9a257dc6
cloud.agileframework	agile-log	2.1.0.M67		a2ab4e803a85960642adeef6e03f4f75d80187cc
cloud.agileframework	agile-log	2.1.0.M68		fc3020f41bb58d72a3df0658292299b39a4c6a2c
cloud.agileframework	agile-log	2.1.0.M69		b844f7ccf99055cf8d85ec22cf28a190c48c2373
cloud.agileframework	agile-log	2.1.0.M70		dac3a2e92b24d86b9514226ebae6b15896ba0e11
cloud.agileframework	agile-log	2.1.0.M71		707989b65f3b3f6de69d7e16ebc2b8d1c17b4fc9
cloud.agileframework	agile-log	2.1.0.M72		b2f629aa69e30731e6484baf7fdaf7578207b3f1
cloud.agileframework	agile-log	2.1.0.M73		baa82ae64c5fdae4d0998a3719d8f19a8432fe52
cloud.agileframework	agile-log	2.1.0.M74		4c18737e0cf480f5e490ffc99f19f1bd5c5dbb96
cloud.agileframework	agile-log	2.1.0.M8		56916b17a0f82c13dfad9643d6acfc8975b2aafe
cloud.agileframework	agile-log	2.1.0.M9		de15c55b0e449775a49b1927e8443c5b70c59346
cloud.agileframework	agile-log	2.2.0		846f58273fe4c35188feba591039b7f1e21c8cdd
cloud.agileframework	agile-log	2.2.0.M1		f44c8e13d30b183cc262c00875cde35a43912957
cloud.agileframework	agile-log	2.2.0.M2		38aae69dbb38784488293f108eca2f35cc2b2c3b
cloud.agileframework	agile-log	2.2.0.M3		e9a2687fd3e7f30d82fc1a26cd2470e38df5cfd9
cloud.agileframework	agile-log	2.2.0.M4		2722a05bb8d52e3eedd9b1520553a21c73b75c3b
cloud.agileframework	agile-log	2.2.0.M5		aa4d6afd13eb595fda971ba05c4a2a6ef49ee156
cloud.agileframework	agile-log	2.2.0.M6		e3bef2eeff384df9c076ee518f5bd5742a704ce7
cloud.agileframework	agile-log	2.2.0.M7		e1d05f3b4e7c443a7aa165c7e0d67309670c3b98
cn.bigcore	micro-apollot	11.0.1-RELEASE		3fc7b39807c65b762ab120c3ddef37f71216b3f5
cn.bigcore	micro-apollot	11.0.1.101-RELEASE		e5e2cda029fb8de2125de3fb181b7e7c9e9ab419
cn.bigcore	micro-apollot	11.0.1.102-RELEASE		3db4fda24c2af3a5af59893ae59861f76c5ac71a
cn.bigcore	micro-apollot	11.0.1.104-RELEASE		361839e0e044f725806b048ab8572902d7c48d7f
cn.bigcore	micro-apollot	11.0.1.105-RELEASE		dab6b31ea89a7489f59fdfb7ba251e340d52c91d
cn.bigcore	micro-apollot	11.0.1.106-RELEASE		1560845cac05a518ec05b5c6f1dadaf55e3fe771
cn.bigcore	micro-apollot	11.0.10-RELEASE		f5f327338f61a17a7778c6c92e9ac2b942bc9e99
cn.bigcore	micro-apollot	11.0.12-RELEASE		15a10e978a2d0f0c1536c381f4a2c28063e96e19
cn.bigcore	micro-apollot	11.0.7-RELEASE		df4fe2c927d8b1e0eccf827e6eba8fc285b221f8
cn.bigcore	micro-apollot	11.0.9-RELEASE		d84e52014017ac06a2c6eeed0131b713a8afa4c8
cn.bigcore	micro-apollot	12.0.1-RELEASE		37f3ee96f3743abe5a12157b399ef9aef1351d8a
co.touchlab	stately-isolate	0.10.0		N/A
co.touchlab	stately-isolate	0.10.1		N/A
co.touchlab	stately-isolate	0.10.2		N/A
co.touchlab	stately-isolate	1.0.0-a2		N/A
co.touchlab	stately-isolate	1.0.0-a3		N/A
co.touchlab	stately-isolate	1.0.1-eap		N/A
co.touchlab	stately-isolate	1.0.2-a4		N/A
co.touchlab	stately-isolate	1.0.3-a4		N/A
co.touchlab	stately-isolate	1.0.4-a1-1.4-M2		N/A
co.touchlab	stately-isolate	1.0.4-a1-1.4-M3		N/A
co.touchlab	stately-isolate	1.0.4-a1-1.4.0-rc		N/A
co.touchlab	stately-isolate	1.1.0-a1		N/A
co.touchlab	stately-isolate	1.1.1-a1		N/A
co.touchlab	stately-isolate	1.1.10-a1		3a8506b82aaecade89d6b91becca0b5aed1ce475
co.touchlab	stately-isolate	1.1.10-a1	all	6eb70ea529de953a5cac5087937741e81831acd8
co.touchlab	stately-isolate	1.1.3-a1		eba29963229cea8b01f4d2ac8090bd7c5b14ea5c
co.touchlab	stately-isolate	1.1.4-a1		326bcf15accaf10b521e60a24abfeb1fdd7b180a
co.touchlab	stately-isolate	1.1.5-a1		04115665c4fe736c0c37cf59343fb2825f2fb97e
co.touchlab	stately-isolate	1.1.6-a1		74c7be0a56f34591defec4253b90e655d1c250cc
co.touchlab	stately-isolate	1.1.7-a1		8268a96f3af633af3367070f1e7247030c4cfefe
co.touchlab	stately-isolate	1.1.9-a1		793feb922859896820504c1ee082fac5e0daad57
co.touchlab	stately-isolate	1.1.9-a1	all	3a62b1b4dc32c7b8d1496ebcf92315c0f40f3610
co.touchlab	stately-isolate	1.1.9-a1-hmpp		7a8518492b6b703a2ef493f5324c3081d26d37d7
co.touchlab	stately-isolate	1.1.9-a1-hmpp	all	f10d269326e22ddfa3ca7384fd42136c4575e7d5
co.touchlab	stately-isolate	1.2.0		1432614ebb2fa9f2706114d6215b9b0665f484ef
co.touchlab	stately-isolate	1.2.0	all	342ff85b952f7b63ad6b22b785a1ff05b4beb90b
co.touchlab	stately-isolate	1.2.0-nmm		59fbebc064dc70dfe1d996a30581f574fc455195
co.touchlab	stately-isolate	1.2.0-nmm	all	988ba6dcf719c4017b3b7f772a8e06bb2ce981f2
co.touchlab	stately-isolate	1.2.1		f53717309a143ee63ca7823573fa9fb6be584298
co.touchlab	stately-isolate	1.2.1	all	19c2a7584d87260cb762974b31fe4a9b736f5d0b
co.touchlab	stately-isolate	1.2.2		54cc6fa6397fd89e6b8e871e7aa1cd80c309bba4
co.touchlab	stately-isolate	1.2.3		435809069feba21c61cbfcf22eca871d7f2fc304
co.touchlab	stately-isolate	1.2.3	all	cac677701a5c89f3e56175e7c0d21d3b31ee5e6c
co.touchlab	stately-isolate	1.2.5		9907f14636225ba8ccf4e0a552b331e738061372
co.touchlab	stately-isolate	1.2.5	all	98e1cf8675e9918c6c30851ccac8cb950c046831
co.touchlab	stately-isolate	2.0.0		011214eaa4fc06e928f42e1ebd0b35b43eb0e20e
co.touchlab	stately-isolate	2.0.0-rc1		b73fd5188c5826194ddc3d0ccc51f6199c7c8550
co.touchlab	stately-isolate	2.0.0-rc1	all	a8aba8302690c976064add9712988cc833acf196
co.touchlab	stately-isolate	2.0.0-rc2		a0f79920320868d5091ba720a5382c2d98dc3871
co.touchlab	stately-isolate	2.0.0-rc2	all	2befe3b25a49575a6a79a96cb3c06a8c2f731dd6
co.touchlab	stately-isolate	2.0.0-rc3		0acae5328d875186592d71d07c607365c30755fd
co.touchlab	stately-isolate	2.0.0-rc3	all	8556da3d1b51b6940f84c18d7ead009a69a0839c
co.touchlab	stately-isolate	2.0.2		c2cb9eeb157a372f80c9dd16c3dcf7999ae17d73
co.touchlab	stately-isolate	2.0.3		c2cb9eeb157a372f80c9dd16c3dcf7999ae17d73
co.touchlab	stately-isolate	2.0.4		803f42bda45cf93c1ed33ac7ec41acee1700c670
co.touchlab	stately-isolate	2.0.5		66416ac290908db332f34d6b9d528b8f08042954
co.touchlab	stately-isolate	2.0.6		66416ac290908db332f34d6b9d528b8f08042954
co.touchlab	stately-isolate	2.0.7		c44e75ef08d727c5c18d1da774b94556516f1eee
co.touchlab	stately-isolate	2.1.0		c44e75ef08d727c5c18d1da774b94556516f1eee
com.aallam.similarity	string-similarity-kotlin-androidnativearm64	0.1.0		N/A
com.alibaba.rsocket	alibaba-broker-http-gateway	1.0.0		feaa5cab8b15037fe8c75e29844b03f16640d7aa
com.alibaba.rsocket	alibaba-broker-http-gateway	1.0.0.M1		67e9d2ccbc7cd824ce3052b74dc37024845abfac
com.alibaba.rsocket	alibaba-broker-http-gateway	1.0.0.M2		71a2bc07eac73391b8a00b092c1471ed45009a27
com.alibaba.rsocket	alibaba-broker-http-gateway	1.0.0.M3		08d32d533d705547525f86df1c9250d29d3f824e
com.alibaba.rsocket	alibaba-broker-http-gateway	1.0.0.RC1		58aeb3589b2274ee84191f1d64f52c6251b06384
com.alibaba.rsocket	alibaba-broker-http-gateway	1.0.0.RC2		6faa39831d698265a228cbe86b77fa53caa5843e
com.alibaba.rsocket	alibaba-broker-http-gateway	1.0.0.RC3		9ca0c2095d59ddc0b2299b0deedcdb3fa382e12c
com.alibaba.rsocket	alibaba-broker-http-gateway	1.0.0.RC4		c1eee7f58e4b0ffa13158e0ea1b6bdba596038af
com.alibaba.rsocket	alibaba-broker-http-gateway	1.0.1		7cb13e238824036a7144fc8db9eb6ebb63b0376b
com.alibaba.rsocket	alibaba-broker-http-gateway	1.1.0		85b35575302c2f78d1d2a166d34b29cf7ec2c1c1
com.alibaba.rsocket	alibaba-broker-http-gateway	1.1.1		85e2340197c1cfe438a994c76fae2a3d50224afc
com.alibaba.rsocket	alibaba-broker-http-gateway	1.1.2		e2a6200a9d51e742d6983cc890c0b79678d2e8a0
com.alibaba.rsocket	alibaba-broker-http-gateway	1.1.3		50839943044f04fbb43c9732af159414606665c9
com.alibaba.rsocket	alibaba-broker-http-gateway	1.1.4		67c2965f89e63788317ff93e24d460c99a7804ce
com.alibaba.rsocket	alibaba-broker-http-gateway	1.1.5		5b82ac20d69007e8049a8b1936bbb3360b6cbf96
com.alibaba.rsocket	alibaba-broker-http-gateway	1.1.6		f8c133197225e9990c8e41d571ea86d51513c46f
com.anatawa12	anatawa12CoreLibs	0.0.1		39986599ee92ab988cdb393a40243210cece86eb
com.anatawa12	anatawa12CoreLibs	0.0.2		9a4d4df70192f88a7c78a20148e93e25633fd80b
com.anatawa12	anatawa12CoreLibs	0.0.3		be6bbc175cdd75fdd6dd2528bf78876ec617f319
com.anatawa12	anatawa12CoreLibs	0.0.4		ddad896f7e8a7f0a3aa249b2fb647934f2df36c0
com.anatawa12	anatawa12CoreLibs	0.0.5		8c8ec5f92d5dedf82027ab2486603b8ea0b83f32
com.avast	sst-fs2-kafka-pureconfig_3	0.16.0		c7cf6b6d4df79799766f7daea3b9535641f18400
com.avast	sst-fs2-kafka-pureconfig_3	0.16.1		71177229af0fe7f8a10e99bdfb040dfd2bd4bb8f
com.avast	sst-fs2-kafka-pureconfig_3	0.16.2		f2ce4423be1609bd500cd4b5566ff61f0bd72ed9
com.avast	sst-fs2-kafka-pureconfig_3	0.16.3		2adc52af951ac9fd19a407c7a5300a901a11e598
com.avast	sst-fs2-kafka-pureconfig_3	0.17.0		c206e40544f13857b135dda5e065f5708a193c21
com.avast	sst-fs2-kafka-pureconfig_3	0.17.1		4dd5540679b426b3aa1a2387346f1dbb63c3fd29
com.avast	sst-fs2-kafka-pureconfig_3	0.17.2		c5f96bee31dd20ad3a0b7103bda65d423de66dec
com.avast	sst-fs2-kafka-pureconfig_3	0.18.0		47fc2ce262fe5617a2d4c65481ebd2dcc7c48165
com.avast	sst-fs2-kafka-pureconfig_3	0.18.1		08ab08cdeba29d6449c8bf32e59c04faf2766d4a
com.avast	sst-fs2-kafka-pureconfig_3	0.18.2		db1e9216527c0c2c4671245da44bcbbc7fbc6860
com.avast	sst-fs2-kafka-pureconfig_3	0.18.3		d360474bd45e91783948ed6d1ce2b5acf007cafa
com.avast	sst-fs2-kafka-pureconfig_3	0.18.4		398b6bffb722bee9f81866225de3bb3ec3df950b
com.avast	sst-fs2-kafka-pureconfig_3	0.18.5		2e15bc3637d67f4d83da577945828c7eb4dc75fb
com.avast	sst-fs2-kafka-pureconfig_3	0.18.6		1e36be2bdabb9a1371a668f7c92776f381a8a115
com.avast	sst-fs2-kafka-pureconfig_3	0.19.0		aa42e45e9224a3fdd2faa7a7ced3a554d7175f6a
com.battcn.boot	extend-crypto-spring-boot-starter	2.1.1-RELEASE		372df956251b8535a432b71d8264e05ee1af670f
com.battcn.boot	extend-crypto-spring-boot-starter	2.1.2-RELEASE		bb47a2328adf405749a683c5b5d69564165273ff
com.criteo.lolhttp	loljson_2.11	0.10.0		8996abd04acc88e46ef81f1918f26d1d3a020213
com.criteo.lolhttp	loljson_2.11	0.10.1		56167621baade73967f844dbfcab745319f385c6
com.criteo.lolhttp	loljson_2.11	0.11.0		6cbec1fc8509ed243bf850c9bfb8476b901b94e0
com.criteo.lolhttp	loljson_2.11	0.12.0		a9fa0909f5ca2ba20ca81f00587d35c196d2674f
com.criteo.lolhttp	loljson_2.11	0.13.0		e0b286ed00ab41b89389891db7c69ca6d0cc629d
com.criteo.lolhttp	loljson_2.11	0.13.1		817cf526d182f8b57a4290a9a4681f0a538dab5f
com.criteo.lolhttp	loljson_2.11	0.13.2		319e5f297566cd5c5cc7cadadfecdb9f74584e33
com.criteo.lolhttp	loljson_2.11	0.13.3		8241d914e58fed96140e449144410d51ba9ffbe7
com.criteo.lolhttp	loljson_2.11	0.13.4		6917ac065e3e8166d498707fd16c230e683e7290
com.criteo.lolhttp	loljson_2.11	0.13.5		ed235a69d8d19f4a9e0ffa0c331bb49e82db9601
com.criteo.lolhttp	loljson_2.11	0.13.6		fd981ad6edfdcb987bbe8bda2c09bfd1d2640992
com.criteo.lolhttp	loljson_2.11	0.3.2		aae58cf7d4482288e656990a2b39d390dc81a3ad
com.criteo.lolhttp	loljson_2.11	0.3.3		0b4fe8d9b25b8401987d7ea607d795f712aad9e4
com.criteo.lolhttp	loljson_2.11	0.4.0		5f4e643ea3deb7e3dba5c6e2f0eaf025dcb315e8
com.criteo.lolhttp	loljson_2.11	0.4.1		39e6b553121a6501a477cd144f50ca89683ed311
com.criteo.lolhttp	loljson_2.11	0.4.2		060eec95d58e3e2738755ec10e4225b183664fe6
com.criteo.lolhttp	loljson_2.11	0.4.3		4fed4620871ecd7b5ef4fe514fcb1d718844c22f
com.criteo.lolhttp	loljson_2.11	0.5.0		6006ca56135a1a9ee28006ca077ac6e824f31fc4
com.criteo.lolhttp	loljson_2.11	0.5.1		b533d89e66f0f979ad34276e35b55039bcbfa2e6
com.criteo.lolhttp	loljson_2.11	0.6.0		3649a8f6a83ce1e5f289473d5756b610976ce5fb
com.criteo.lolhttp	loljson_2.11	0.6.1		5c656e2bb7fbf347b1c18b19da37c99a6fff6bd9
com.criteo.lolhttp	loljson_2.11	0.7.1		d290f2f65b34b58d16749e2bad8c72886d9b4c0c
com.criteo.lolhttp	loljson_2.11	0.7.2		5f4d481db6ed6ef1f4c287be83abad38dbfb8637
com.criteo.lolhttp	loljson_2.11	0.7.3		83b2384e7a42282113495ff760fdc75dd773cf2b
com.criteo.lolhttp	loljson_2.11	0.7.4		c18ad76c378fe492e3f7d2e99adf520e385e1423
com.criteo.lolhttp	loljson_2.11	0.8.0		67cdb5ab846d931ebb330d753de6983bd3c17f62
com.criteo.lolhttp	loljson_2.11	0.8.1		085ed639fbe1380e22995595a5776e87610a626b
com.criteo.lolhttp	loljson_2.11	0.9.0		2f7f8bd4f9c1d32feff3c4373cbb8d2a95706e09
com.criteo.lolhttp	loljson_2.11	0.9.1		99cc944b2aa50b1ae2cb740d0a301eb45e51fc29
com.criteo.lolhttp	loljson_2.11	0.9.2		82a8c4b7f56c7b323047ae3dc097988be237ac21
com.criteo.lolhttp	loljson_2.11	0.9.3		e29ef4ca49d28debb1e786f5a5f881f6389354ea
com.criteo.lolhttp	loljson_2.11	0.9.4		e57e0325d1c930495ad55e39657aefc18a8a24ec
com.criteo.lolhttp	loljson_2.11	10.0.0		533d612f4a47f6dd4abb6504bf620d290b7feed8
com.diglol.crypto	cipher-macosarm64	0.1.0		N/A
com.diglol.crypto	cipher-macosarm64	0.1.0	metadata	e78e947b2c1942fc49bc8afe423d10a05a9a2d97
com.diglol.crypto	cipher-macosarm64	0.1.1		N/A
com.diglol.crypto	cipher-macosarm64	0.1.1	metadata	5c41ffa269331078c8c6993309293083d7afe511
com.diglol.crypto	cipher-macosarm64	0.1.2		N/A
com.diglol.crypto	cipher-macosarm64	0.1.2	metadata	d3c0f70c32aaa0f97995e9a2b19df3b41d8ede55
com.diglol.crypto	cipher-macosarm64	0.1.3		N/A
com.diglol.crypto	cipher-macosarm64	0.1.3	metadata	d3c0f70c32aaa0f97995e9a2b19df3b41d8ede55
com.diglol.crypto	cipher-macosarm64	0.1.4		N/A
com.diglol.crypto	cipher-macosarm64	0.1.4	metadata	d46d0588488ea8b9eaf25b4a9999f26d554476e3
com.diglol.crypto	cipher-macosarm64	0.1.5		N/A
com.diglol.crypto	cipher-macosarm64	0.1.5	metadata	129a4c7cd7d3a5f494a43a5b6c4749f69f1b7624
com.diglol.crypto	cipher-macosarm64	0.2.0		N/A
com.diglol.crypto	cipher-macosarm64	0.2.0	metadata	d72c0d5ea75954c1fd6ed6e0ede8e4788f9ab504
com.flipkart	open-replicator	1.0.8		abf9f6dbb34725ae3bc1fc1482e37ad2c081da45
com.geetest.sensebot	sensebot	4.3.1		N/A
com.geetest.sensebot	sensebot	4.3.10		N/A
com.geetest.sensebot	sensebot	4.3.2		N/A
com.geetest.sensebot	sensebot	4.3.3		N/A
com.geetest.sensebot	sensebot	4.3.4		N/A
com.geetest.sensebot	sensebot	4.3.4.1		N/A
com.geetest.sensebot	sensebot	4.3.4.2		N/A
com.geetest.sensebot	sensebot	4.3.4.3		N/A
com.geetest.sensebot	sensebot	4.3.4.4		N/A
com.geetest.sensebot	sensebot	4.3.4.5		N/A
com.geetest.sensebot	sensebot	4.3.4.5.beta1		N/A
com.geetest.sensebot	sensebot	4.3.4.6		N/A
com.geetest.sensebot	sensebot	4.3.4.beta1		N/A
com.geetest.sensebot	sensebot	4.3.5		N/A
com.geetest.sensebot	sensebot	4.3.5.1		N/A
com.geetest.sensebot	sensebot	4.3.5.2		N/A
com.geetest.sensebot	sensebot	4.3.5.3		N/A
com.geetest.sensebot	sensebot	4.3.5.4		N/A
com.geetest.sensebot	sensebot	4.3.5.4.beta1		N/A
com.geetest.sensebot	sensebot	4.3.5.5		N/A
com.geetest.sensebot	sensebot	4.3.5.6		N/A
com.geetest.sensebot	sensebot	4.3.7		N/A
com.geetest.sensebot	sensebot	4.3.7.2		N/A
com.geetest.sensebot	sensebot	4.3.8		N/A
com.geetest.sensebot	sensebot	4.3.8.1		N/A
com.geetest.sensebot	sensebot	4.3.9		N/A
com.geetest.sensebot	sensebot	4.3.9.1		N/A
com.geetest.sensebot	sensebot	4.4.1		N/A
com.geetest.sensebot	sensebot	4.4.2		N/A
com.geetest.sensebot	sensebot	4.4.2.1		N/A
com.geetest.sensebot	sensebot	4.4.4		N/A
com.gemserk.animation4j	animation4j-java2d	0.0.10		78cef346d3d5aed342daec8815e18aab4d811b76
com.gemserk.animation4j	animation4j-java2d	0.0.11		5f5dd2f8a708f0190f1b8aaaa20ebf0c3620d0fd
com.gemserk.animation4j	animation4j-java2d	0.0.14		8a3d3b449e89cd1caaf5249d5b3ee3cb0a48ba2e
com.gemserk.animation4j	animation4j-java2d	0.0.8		7a641997765c4cc7e568b1922d3c5d179a761e87
com.gemserk.animation4j	animation4j-java2d	0.0.9		5794825a570e04f44687e2b54c45bd3fe2284b62
com.gemserk.animation4j	animation4j-java2d	0.1.0		1ebe3765e1e0faad09063b1ef031d81672675576
com.github.andysundar	pojoclasstester	1.0		ecc5bd8f38293545639830bc99c18e1ac10cef60
com.github.andysundar	pojoclasstester	1.0.1		3cd4f5559a36603c03554d29f92755edcead3a4c
com.github.andysundar	pojoclasstester	1.0.2		7b61d0ae8ad502d1bb0079af6844849434fb4b83
com.guicedee.services.extensions	guice-persist	0.70.0.1		c8a0ef3ed4c89dca6f2a8d1f4c5569c8ae163096
com.guicedee.services.extensions	guice-persist	0.70.0.1-rc1		7506a8b7d77f6841cc0200f6d6eeee4e67466aaf
com.guicedee.services.extensions	guice-persist	0.70.0.1-rc13		2a90248ec4a89b41b88f9090d0b3d3fd94e0ed98
com.guicedee.services.extensions	guice-persist	0.70.0.1-rc14		c9e33d4b55661fabb540c61bbeb5775758cf9abc
com.guicedee.services.extensions	guice-persist	0.70.0.1-rc15		f0d51656461cb70f02db9740a397b3f79ab8ad9c
com.guicedee.services.extensions	guice-persist	0.70.0.1-rc2		8c68b92bfc856db802b5cf86b9d811b2353eaf73
com.guicedee.services.extensions	guice-persist	0.70.0.1-rc3		7f977f4d1b9d644f61fb43be828f986148f4e562
com.guicedee.services.extensions	guice-persist	0.70.0.1-rc4		600d0221c2ae4c43480c1e76e269e3ebde24b5f0
com.guicedee.services.extensions	guice-persist	0.70.0.1-rc5		5c895243f8063cb4916c1f55221407bf9b26aa86
com.guicedee.services.extensions	guice-persist	0.70.0.2		8d398060c8b9af6c7f3e03b611307ec050a9d81b
com.guicedee.services.extensions	guice-persist	0.70.0.3		f9f29fff8e599a63717a8b83b336965f973dff3c
com.guicedee.services.extensions	guice-persist	0.70.0.4		f3f9620342f19535f7f3f3645dd6cce0fcfbf6e1
com.guicedee.services.extensions	guice-persist	0.70.0.5		4f47532c1090fe2195e5a61e02ee2b60040c2168
com.guicedee.services.extensions	guice-persist	0.70.0.6		37ec57e3575062bd8f2da2722b5ff17c51cf4779
com.guicedee.services.extensions	guice-persist	0.70.0.7		57fed9020fe7999c6d7ae4a7e095c92bf7b9fa05
com.guicedee.services.extensions	guice-persist	1.0.0.0		86a6b07e5205fc8060e79eb9ad8e64fa92e25c7f
com.guicedee.services.extensions	guice-persist	1.0.1.0		20700d3e17d8902a2c682c9f681771ee2d18c8c0
com.guicedee.services.extensions	guice-persist	1.0.1.0-jre12		821fc06957d08a662b184b059fce19f06c5f33e0
com.guicedee.services.extensions	guice-persist	1.0.1.0-jre13		c788235b103ecb8bbc1df63606e233107fa4510f
com.guicedee.services.extensions	guice-persist	1.0.1.0-jre8		25f13c67dde09d8328578f4d4dda949580fb2294
com.guicedee.services.extensions	guice-persist	1.0.1.1		9adea6817e11702f37c2156ae3f0fbd09f9edef2
com.guicedee.services.extensions	guice-persist	1.0.1.1-jre12		500e959c4a5626603c651d20816b399fcfa5e94d
com.guicedee.services.extensions	guice-persist	1.0.1.1-jre13		0ec6f5b0d3e0cd6bbea6758fca4afe9092ff9075
com.guicedee.services.extensions	guice-persist	1.0.1.1-jre8		4da40d5de94c82f9f5e453ec63722228022b6575
com.guicedee.services.extensions	guice-persist	1.0.1.2		3d54469c1de468f590f20da413e9d9f5d95aaf8f
com.guicedee.services.extensions	guice-persist	1.0.1.3		dff8510cc9f95e3ec041e4b370300139d6d651af
com.guicedee.services.extensions	guice-persist	1.0.1.3-jre12		05295877fc1ff6e772e4988ddc73793abc8b069e
com.guicedee.services.extensions	guice-persist	1.0.1.3-jre13		dad46547c136b58dcf3180dee1d97bba2b81ceb9
com.guicedee.services.extensions	guice-persist	1.0.1.3-jre8		932bc9bff9e6c44337afc6a2ab20b27b738aa3d1
com.guicedee.services.extensions	guice-persist	1.0.1.4		cb0fcd95476578a1958c41fd8891fd00f84abe44
com.guicedee.services.extensions	guice-persist	1.0.1.4-jre12		aa00d60d425d9d30abcbeade2a530c7104ec711c
com.guicedee.services.extensions	guice-persist	1.0.1.4-jre13		cd3d740d3266598a8f94046fc4d132de52ffd8a9
com.guicedee.services.extensions	guice-persist	1.0.1.4-jre8		0cc9c9e6fd184c6eeb0e02679bf4a0b328e11b82
com.guicedee.services.extensions	guice-persist	1.0.1.5		723d34106f0798e5044a5d5fd9a160666631e25a
com.guicedee.services.extensions	guice-persist	1.0.1.5-jre12		36ab650112715e684d71f855a96b9473e1a57309
