ai.mobid	android.sdk	0.1		N/A
aws.sdk.kotlin	applicationcostprofiler-jvm	0.18.0-beta		0b3052c7404e3394d43bdb1619ef2044a40e7b8a
aws.sdk.kotlin	applicationcostprofiler-jvm	0.19.0-beta		1558ac3ec86d994d0983fbc097e03b3532d9b75b
aws.sdk.kotlin	applicationcostprofiler-jvm	0.19.1-beta		f1018ecd38bed64d4e27b7b0da9374a1d8837c19
aws.sdk.kotlin	applicationcostprofiler-jvm	0.19.2-beta		521145ece7706b08f8971c70535e90b37e2eb6cb
aws.sdk.kotlin	applicationcostprofiler-jvm	0.19.3-beta		7c5c093bec4f83edeaec281a2f5b07212d1b3125
aws.sdk.kotlin	applicationcostprofiler-jvm	0.19.4-beta		1e7e3e02251d66e8ca5c92f7cf4596aff1748a79
aws.sdk.kotlin	applicationcostprofiler-jvm	0.19.5-beta		0a3c9cc66142cf58bdbe66854a0a9f9ff3384065
aws.sdk.kotlin	applicationcostprofiler-jvm	0.20.0-beta		3fd1cab94aa96f0c663a3069945cbe9bec44cde3
aws.sdk.kotlin	applicationcostprofiler-jvm	0.20.1-beta		e873b5a76ac61df3cd95a9f5ac713cf9cebb70de
aws.sdk.kotlin	applicationcostprofiler-jvm	0.20.2-beta		1910aedd7051dafd03f7b6697b38b2ab4681792f
aws.sdk.kotlin	applicationcostprofiler-jvm	0.20.3-beta		2c0c6f1743aaa4ddc2b68833b2c28d4faa535918
aws.sdk.kotlin	applicationcostprofiler-jvm	0.21.0-beta		a614c4c2023a14306d6112f8490b817fe66285b7
aws.sdk.kotlin	applicationcostprofiler-jvm	0.21.1-beta		af553ead901a94cab818df0a8edc85dc9783d4d3
aws.sdk.kotlin	applicationcostprofiler-jvm	0.21.2-beta		4236e8c025b5e50f643bc797d510094468fab5ae
aws.sdk.kotlin	applicationcostprofiler-jvm	0.21.3-beta		b85109dd0f90da08ab1b58ba435c574bbc4e6424
aws.sdk.kotlin	applicationcostprofiler-jvm	0.21.4-beta		a4077d76d9ea71b5483e4e9de0ea9249b9b94f40
aws.sdk.kotlin	applicationcostprofiler-jvm	0.21.5-beta		9618b512189bb5f7685773f80d085850df906b36
aws.sdk.kotlin	applicationcostprofiler-jvm	0.22.0-beta		61cbd5bfe5217c3e6961e3ae86b803d53946b9d0
aws.sdk.kotlin	applicationcostprofiler-jvm	0.22.1-beta		a06cdc3abd1eb4db797a1f7484e19d7b3197e787
aws.sdk.kotlin	applicationcostprofiler-jvm	0.23.0-beta		52c5fb275f49dc276f0e0e120b8dc51cc364a364
aws.sdk.kotlin	applicationcostprofiler-jvm	0.24.0-beta		84aa5d77efd0e67515694ca6310a9d4e40562747
aws.sdk.kotlin	applicationcostprofiler-jvm	0.25.0-beta		d1a02daafe5b88c1c22e974121ae79b992e2b97e
aws.sdk.kotlin	applicationcostprofiler-jvm	0.26.0-beta		1faad0566e64ea68b56ff2fa5926f5722cf595fa
aws.sdk.kotlin	applicationcostprofiler-jvm	0.26.1-beta		0bc145552659a83ef9f50d29364588107c767cc0
aws.sdk.kotlin	applicationcostprofiler-jvm	0.27.0-beta		86363066da059f3b89c48e4432ede09e4b3a9e21
aws.sdk.kotlin	applicationcostprofiler-jvm	0.27.1-beta		00894918e34947bc9b005e6204b50bfcdf31ceda
aws.sdk.kotlin	applicationcostprofiler-jvm	0.27.2-beta		58bcf17423676c9637de514ca7b124abcd3c9606
aws.sdk.kotlin	applicationcostprofiler-jvm	0.28.0-beta		eb8aed92bcb8c9263523fc81801bec2ba57c58e9
aws.sdk.kotlin	applicationcostprofiler-jvm	0.28.1-beta		501e42c77b17f0118019b718e25856cf86f4ef94
aws.sdk.kotlin	applicationcostprofiler-jvm	0.28.2-beta		b3f26dabf24c8c65d8775eaf98e8db78b6a2fc19
aws.sdk.kotlin	applicationcostprofiler-jvm	0.29.0-beta		d9e8c921ebb9853d76a4505cb0d6705d429015e3
aws.sdk.kotlin	applicationcostprofiler-jvm	0.29.1-beta		e7ac44c2b4d0943d1d79657609da73a8e417615f
aws.sdk.kotlin	applicationcostprofiler-jvm	0.30.0-beta		2e2568f8b3634ec9def3ea4f49640296a32c8816
aws.sdk.kotlin	applicationcostprofiler-jvm	0.30.1-beta		d1d7e3a861de7475b29d983d687d69fe45adb170
aws.sdk.kotlin	applicationcostprofiler-jvm	0.31.0-beta		31bffad2653da5072fb6e4a0684dd217950a1fc9
aws.sdk.kotlin	applicationcostprofiler-jvm	0.32.0-beta		4a025e2359baf32138643b969bedc318b38a8683
aws.sdk.kotlin	applicationcostprofiler-jvm	0.32.1-beta		743b65208ebfa460afc437275760cf3383d9af26
aws.sdk.kotlin	applicationcostprofiler-jvm	0.32.2-beta		30341962f6f6ccf7f31cd5d8e143ca0d9b7568e6
aws.sdk.kotlin	applicationcostprofiler-jvm	0.32.3-beta		8566fc825d4a3b357998a01f962f9160816c26fe
aws.sdk.kotlin	applicationcostprofiler-jvm	0.32.4-beta		7855ddf9acdaf2f94cbe50d7a0382ea1c8f8c34c
aws.sdk.kotlin	applicationcostprofiler-jvm	0.32.5-beta		106401fbb20bbe46b625baf0495458ba5a228660
aws.sdk.kotlin	applicationcostprofiler-jvm	0.33.0-beta		40a27487864fd8e884c13142ce2c08b0658cd44a
aws.sdk.kotlin	applicationcostprofiler-jvm	0.33.1-beta		b9cff386049933d402f9ad8c11e61414bde4a4ed
aws.sdk.kotlin	applicationcostprofiler-jvm	0.34.0-beta		c25735b8cd9a939720448b338e7ab3ef060c98ee
aws.sdk.kotlin	applicationcostprofiler-jvm	0.34.1-beta		25a5491bbf2c21137ae711658173e16a208089d1
aws.sdk.kotlin	applicationcostprofiler-jvm	0.34.2-beta		c97bfc7c736764a578bc3d091717a2d0d8f5dcdb
aws.sdk.kotlin	applicationcostprofiler-jvm	0.34.3-beta		10e70a5d2c8f5b2d3874b725c5a00fd1d46557ab
aws.sdk.kotlin	applicationcostprofiler-jvm	0.34.4-beta		7e6b48db68f5fcd8ad429da0e7ab4e7542467c23
aws.sdk.kotlin	applicationcostprofiler-jvm	0.34.5-beta		c586f1b5bf557aa95e2e8b56138d3a03fd631687
aws.sdk.kotlin	applicationcostprofiler-jvm	0.34.6-beta		7b8b9bb698903e9acb91d195749a8fceeb315bbc
aws.sdk.kotlin	applicationcostprofiler-jvm	0.34.7-beta		cba1b2cadd05ea5f8333f5545e53c3618bd0a648
aws.sdk.kotlin	applicationcostprofiler-jvm	0.34.8-beta		1931dac311bb28b42b51e7d806f8304bd8e49b45
aws.sdk.kotlin	applicationcostprofiler-jvm	0.34.9-beta		ca13e9251a237efcd5f743029616fe883656461d
aws.sdk.kotlin	applicationcostprofiler-jvm	0.35.0-beta		cedf1db806ceeb154ded1eac1eefeda29c42f622
aws.sdk.kotlin	applicationcostprofiler-jvm	0.35.1-beta		796c464e4b36a825b96de5c46cced5198d1e1b5e
aws.sdk.kotlin	applicationcostprofiler-jvm	0.36.0-beta		7253932c365000c47dde55949f52d6b3e3e2934b
aws.sdk.kotlin	applicationcostprofiler-jvm	0.36.1-beta		9d6508c01c54537a91f5329d1eb7973067a713b6
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.0		19808b08939ee7db9da801ea1192716cdd6cbdbc
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.1		aaa488493f66066114bd48ace9cb88a28605c947
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.10		faf97dbc815a7634b313ef9769354ed90b82f39d
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.11		9a0f71e750c326316d76c51d34b00f9c2c7843a2
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.12		bdee4157c75eb706843f9fe9a883c591f8ed8744
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.13		70b66cca75391a1de58b94d49bfd587cc2f3e6c2
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.14		e42fd8307c9f3744721f91dc97e5b1370c41efe1
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.15		841dfa132a02aca4d060bfa624baed3a851601de
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.16		c4979f4a5e456a66ca72301fee05634c84c6657b
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.17		d2cd3f72e0a9232fadeae61ee5f41798098cd56c
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.18		90ed63a77eba19b3a3b79be7a1f310998a941417
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.19		b4d391e689e942cd1ebec2099144e05bafe2c772
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.2		523dc33b96dd520efc6aaf785f68f2ea98c126ca
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.20		e09fec3bc7fb13766972d194af32bf612f21fda5
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.21		54e3085f01e5dcf7bb1fa72824e3f7edb0126ba3
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.22		11d80e2868599b7cbc9d2d6aa260dbac9ec62a16
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.23		f944500866bda33003e1c8450dac3a5337b9a9ce
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.24		b62be12d9dfa6cfdaa1c4bc8c415f33e1bc8f8fc
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.25		b28e43241dbbf4223b60cccd2c5c2a83baea7108
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.26		799335702786e158f628836d29cc23dfef2008d3
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.27		460751460da819cd1db5ca9dafe1857ec2d337f5
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.28		8719c60e854db31a06289f30b850585023933a45
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.29		41b5d415d3971529e37b3fea19067b0a38fc8561
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.3		ba3495ad272ca479005e249be13493af42f1f7e3
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.30		1f0c1f3d95b2054adbd6a15ecfbf7833f66f8e98
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.31		dbce9d04af69a76c8538c5c213d190f5e8ba6789
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.32		5149b90db5c5d4440b3242995864332ed8e5e142
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.33		903f18c348c6a63f8ce3b33dc2cca4f7f558f916
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.34		2d4bdf64e4d191e478ef0a2e4a8dcf8a12d595bc
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.35		fa9a0d2bfbf6ddee66f9da4cf25c8e28a5fd6547
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.36		278205b87f55b893da018198da7cb0901b4082f8
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.37		c6245ca28638886d0101bc46b53c0da1d38f8da8
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.38		9d6593e5760426545a1b4d7e9eb93faf595efe0d
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.39		dd674f85c4a4e88caa9a8366b202872c4a7e45eb
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.4		0a841cc388794cbeddc36864389f6ec24fbc8fcf
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.40		840e5b20c9ca43a549601531a934a87ab52b8f1c
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.41		4a890644455f79db2a59ca8aeca7c7e40750098c
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.42		f691848005fd91d73f654ac756498029ae091860
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.43		46eaa63ffdf5bb5ff5abce44e21b101d218573d0
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.44		159c59539f74bb3fc729df75abe66421fbe7721c
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.45		224668c7420284e458939ece07ba6569b7507484
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.46		70db11ca86891685a12d9d14893d310f1c6b4791
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.47		0966af5b23f7250063a7e3775ab3ad02338bbd9f
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.48		da836e9c5e5e2d9e0c6e0d563f4bea3bd41d29d4
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.49		16119cdaac240dd47e1a3ef2b12515275dc58797
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.5		60c71a1dc87e4de66b614db7503fd4fa774d9b52
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.50		6a369be9ac08928412e66a1d0b7ae9ad568a8ab8
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.51		6c05f2e04123484a8c8f75b0b958aa12b9938384
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.52		08d8475258dd6c4695c722f65ebfacd717c96fd3
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.53		f256c614d0679d93fb9b190ac36787cfd49f085a
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.54		e0f8fc94c30b2b09de2bd3d41fc467699633d048
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.55		96cc16a42567fd5608fae78eef7a78b4bb0f7545
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.56		8a9f588c8cea045b5134f4cc49ed3a03386884d7
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.57		e90e4d9323e2add08f873b5da5e1ece4e2a449d6
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.58		0a76294383f46902107151150a0bc8560edbbd11
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.59		806f14d3679b408a68858a57db65ac3c7851eee5
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.6		0a4d4166e8d70dafe9e5b40f68ab06443d846dc5
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.60		2754cee27225498ea04a1e7d37808cd4bf0408aa
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.61		4adbc3bf31bab18f836afabaf480497cf7543b4f
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.62		2d1f4b8ca2357f64c5bd25de4033e09c3f8adfcb
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.63		424c505f2f5f7eb118b199bc9ef6d0ae68a00951
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.64		bc76bcee1d467213d30b2aa47d1567c55fcbcba1
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.65		c05cf2b1086590187f3e04c006cedcd26167ddcf
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.66		3e138aed94c79f5dd72654fd111e633e3fab77d2
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.67		10c13fbcb5879e6d43ce7dee87bf5782265357bb
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.68		20bfdf90e95e7d49a16dae46f6d97a133849be95
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.69		0f4478bf9a3c6bf7aa9f4c1ce00733af3f098f5d
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.7		54cd3afaaed801bfe2c11ca91e1ed2abfc7282de
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.70		900d2c7ebf291db46f146384f6b320e5cc0bd366
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.71		729fd62715fedd04684acba2fa97cbff7b0ffd55
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.72		5574396590683e83924dfc269e25e8e68118c591
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.73		213eb97a44803323c7bd671366fdaadd5ae2dea2
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.74		d27f332d02ddc4bd794f4e709dc9fc95be8ece9e
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.75		a5cd1f11aa998d4094543ccb65e61d69ef8b0971
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.76		3fba994e6f654fc9bc1f8cedf5b78e6dcf2b8eaa
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.77		a82c5b03cdab84f8d30b5dcbfb60c8f9b94093f5
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.78		a6719058253cc3ba4f5a251018e7347e64dfccb9
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.79		7ccb822e87fa7fa4b4e48464dc7727db198ff759
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.8		fe99c31ebece0bd4988db59e3355c4ff3a02340d
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.80		2003c38827d647683c5db63a01e6aa2fa5650dbf
aws.sdk.kotlin	applicationcostprofiler-jvm	1.0.9		112d94a3cbfe4256f2b0d304cdac790b142007cd
aws.sdk.kotlin	applicationcostprofiler-jvm	1.1.0		42a797df0cba82782a4cd34cb4729211c00aeaf0
aws.sdk.kotlin	applicationcostprofiler-jvm	1.1.1		23d54f6203bbc5a0c07168e2780e25f4f3ed2a58
aws.sdk.kotlin	applicationcostprofiler-jvm	1.1.10		365b416fccb2af3b41ad4f9125af25bd3fc7d618
aws.sdk.kotlin	applicationcostprofiler-jvm	1.1.11		2c3ed091a3aeb18ff5b7c0dc4ad2c2eb20b824e7
aws.sdk.kotlin	applicationcostprofiler-jvm	1.1.12		d540af2e46acdeae0b471a9153edbffecded0037
aws.sdk.kotlin	applicationcostprofiler-jvm	1.1.13		00bacaf7fd1efab69855a4c6f236a5f2f750d68c
aws.sdk.kotlin	applicationcostprofiler-jvm	1.1.15		278d1376d82f75d7b0745d5c2d109192a300b302
aws.sdk.kotlin	applicationcostprofiler-jvm	1.1.16		76d257447f6ea887ed6359c6a4b1eaaa8a760526
aws.sdk.kotlin	applicationcostprofiler-jvm	1.1.17		856547ae8c29b273b73accce4c3f73616ef51c71
aws.sdk.kotlin	applicationcostprofiler-jvm	1.1.18		d6ee2b97cfbfcee7ed40c6177dcc4bf620133159
aws.sdk.kotlin	applicationcostprofiler-jvm	1.1.19		84ba9fab22b6439755a499e7295795d4212a4232
aws.sdk.kotlin	applicationcostprofiler-jvm	1.1.2		90ef1d57458d12dc8c3b25355b477593cf91008f
aws.sdk.kotlin	applicationcostprofiler-jvm	1.1.20		517fab5a00e0e6f298fd559803e19a52ea4beaa4
aws.sdk.kotlin	applicationcostprofiler-jvm	1.1.21		4ef42a0ac6939c63271b4b6056ed014269dd4c7b
aws.sdk.kotlin	applicationcostprofiler-jvm	1.1.22		4e560647c8cd9bdad16e7cc636f7ac7284630c70
aws.sdk.kotlin	applicationcostprofiler-jvm	1.1.23		547a8fd99843465e99c4cd60a152a6b61763efe7
aws.sdk.kotlin	applicationcostprofiler-jvm	1.1.24		ee1e46442d49577d851f0fcb97b333ad4c47d27c
aws.sdk.kotlin	applicationcostprofiler-jvm	1.1.25		49d09dd6a61e3797b867b723b0140ae323ae467b
aws.sdk.kotlin	applicationcostprofiler-jvm	1.1.26		d26bd4f2379a2654a334059cd62e48e65528895f
aws.sdk.kotlin	applicationcostprofiler-jvm	1.1.27		8c99953e1ca08599718f151bd4a032ebf23c3121
aws.sdk.kotlin	applicationcostprofiler-jvm	1.1.3		e7fadc2a04b2813fb616b0d7e04db5eef2c00ebf
aws.sdk.kotlin	applicationcostprofiler-jvm	1.1.4		7fa9ea520657de33269f5cba5765d666a99517e0
aws.sdk.kotlin	applicationcostprofiler-jvm	1.1.5		89148871be81a98abd5e58149734520fae179759
aws.sdk.kotlin	applicationcostprofiler-jvm	1.1.6		135ea684b05b05706e5001070541f440c5427532
aws.sdk.kotlin	applicationcostprofiler-jvm	1.1.7		38d280a81693da8ae9cbf2eacfa33509dad636dc
aws.sdk.kotlin	applicationcostprofiler-jvm	1.1.8		cf09602276c7f43b97fdb497b9415d8b923bb69f
aws.sdk.kotlin	applicationcostprofiler-jvm	1.1.9		046fa0d343f8ba12b2d23801e2eb9b965b6fe1d2
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.0		285687aa17c203fd23bdf43e8fefbd2e490b2465
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.1		64377e4b599f6cf8e7554651c917128ab0b2f25b
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.10		87f0b76af7304a9eb89310e6eae51802eccae8d5
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.11		1a0897ad9826fd88cd8852bdbd4b43125ab1c10b
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.12		8f15c689ee9bf2267a79760d8252d7de0f6e5e51
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.13		390a3d3f600ab7bc0b4c079b207538f450310b8d
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.14		c51db9fa8a18fd0b0379e17a95db5e85b29b8bc7
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.15		e384fc5325f062ef59977198cea7a89d69e883be
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.16		1321f116ff78864452164af241d89a9d7b233c4d
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.17		441d03c25216058374142fd4424c9210599bdadd
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.18		511dadf257b3330b3be9bd51dcd4ad66be4b4666
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.19		6aa97ef88dd5b6b553b088b60e367061969f1976
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.2		4892bd74508f1cf97d14deb3874fd1823f6370dd
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.20		f1e2aab61564844093fc55beff5807701e7698db
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.21		16fda81949cbf8511b5479ca79e70ebd2085c8c6
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.22		b43f922d837f60454e498e91383dd04d40095c8d
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.23		30b82343e9bdcec6587a2a622339d31eaed69bff
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.24		65f03ae5b0670d3f9c32920abcb92613c4a853af
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.25		adaec3025b4f0ead3febea473d838c55af0a98e9
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.26		70e405183387263acc06ef666da8b95a57928a11
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.27		4c1907a44de502d62cad4db56e6bbd8e824748d7
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.28		19959bd96c5de9b2b2ffed8ed56d090fa294cc97
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.29		9a94fa46ae0e0d073457d13c0c05640faec6dba7
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.3		9eda1fffbfec032fd5149d0528b8e2a5186e669b
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.30		22b45186b628347f490a3165551e115450c2e05c
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.31		6d57f63e58c2be54a642abd94be3149f5ceca94d
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.32		b007fbd0e8c5bcef5b0e8433af5b0c171b982b11
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.33		7f857ad046f7719ae72f3645aba67c6633bc5c13
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.34		b606ff9f2d362adba6fac84e77ae0230ab8632e3
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.35		d19bc3292f364c9426449bd147aa251c2733ce88
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.36		8b084a5ad5855864ed8f5fab5c863e69676c685c
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.37		fc3c0c295db3a8acf0bceeaf2fa3d5de0200f9c7
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.38		a3f0dbc206a0890e9c6db3fad6d9b160a0699a69
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.39		beae093fd2dba8073c00233ae3f201a9574799c3
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.4		a04ae6c52422b103721e00ae65fd30705ce22819
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.40		2173e6a5861e54302daa7f3cdf2d6ff21e586b31
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.41		5ae74a5205a1977b0b070901c112d9035f41b444
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.42		1b1a09404bca9df43a55d3913d53cd63244d812c
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.43		b80656128312d8128cdc853751da58e26c13c77f
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.44		c788e2d3c957a0cb5519c16e31353e4ff9739ffc
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.45		492555524218b58cbac1b6c9b9658ac940a669ba
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.46		e789a96cbcdfb8c172e3cb0d162d7297bc5684c0
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.47		22f66ec8b000ff425508c34f0643daeeaec44642
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.48		ce3669b40ecbb418a48333e3adf27e14e675e8b9
aws.sdk.kotlin	applicationcostprofiler-jvm	1.2.49		59f094fb35c6d3d03b9848182af154a3b35d3e4c
