com.digitalpebble.stormcrawler	storm-crawler-archetype	1.16		9530a5272704105ea78588e702ee89022493af64
com.digitalpebble.stormcrawler	storm-crawler-archetype	1.17		0a71fc7d4ea7a759c1ea225905f173fffb9d7e0b
com.digitalpebble.stormcrawler	storm-crawler-archetype	1.18		b5b3e0c9d2bec03777eeff2347a002eeb8afc9eb
com.digitalpebble.stormcrawler	storm-crawler-archetype	1.2		2a37a28e77e9fb46b80499b5b63a8ceb641b6165
com.digitalpebble.stormcrawler	storm-crawler-archetype	1.3		e45a8679f332d4cc28d852b66e640f149ce66246
com.digitalpebble.stormcrawler	storm-crawler-archetype	1.4		8b39c0aacd06904fc67067dc92e8fb4fecebf398
com.digitalpebble.stormcrawler	storm-crawler-archetype	1.5		529eab07f1ee90e4f3ab0a5da83ad420e04ab82b
com.digitalpebble.stormcrawler	storm-crawler-archetype	1.5.1		2988a86dd9b79caf81f8c98fa530dacd818ebc5a
com.digitalpebble.stormcrawler	storm-crawler-archetype	1.6		bcdcb94e8c57e1c25cbe71d8aba1c885f595e2a5
com.digitalpebble.stormcrawler	storm-crawler-archetype	1.7		43b36890971926802a4d140e271b31d423ce4b6f
com.digitalpebble.stormcrawler	storm-crawler-archetype	1.8		48fb5774e9b862cec7b8c909755703b7f1112846
com.digitalpebble.stormcrawler	storm-crawler-archetype	1.9		a9129888b6ae3ca46b80253942f64fe4e9683fc5
com.digitalpebble.stormcrawler	storm-crawler-archetype	2.0		b76b89fa6c0c67f10ecefb7b4167c1d9a59d129f
com.digitalpebble.stormcrawler	storm-crawler-archetype	2.1		fcd94938e3e47820f811e5fabc6a68164450c43b
com.digitalpebble.stormcrawler	storm-crawler-archetype	2.10		88d1669911cd346e775d6d805f94956311ccc6e4
com.digitalpebble.stormcrawler	storm-crawler-archetype	2.11		4eb71cc3cd3b7787e474a3c2c61953385ffd3ee9
com.digitalpebble.stormcrawler	storm-crawler-archetype	2.2		b56f8755d24ce80af311de11489586e6355ae8d6
com.digitalpebble.stormcrawler	storm-crawler-archetype	2.3		11ffcbbd68446cf47255bb6f78dae6bfcadb465e
com.digitalpebble.stormcrawler	storm-crawler-archetype	2.4		c338040d9462eafda1b786dd32007de55a7c77a9
