com.vaadin	vaadin-details-flow	22.1.5		3d12b132e3ee2ee4c71305dcd8b988a1f49de9c6
com.vaadin	vaadin-details-flow	22.1.6		f3f88819da412ffa63ba6bafe46149f692d66f9f
com.vaadin	vaadin-details-flow	22.2.0		1546d59f7a49b8af3d214876be14f4fe0a7070fd
com.vaadin	vaadin-details-flow	22.2.1		fa9e8b501b5a00f8583d56907be40de606ae5df0
com.vaadin	vaadin-details-flow	22.2.2		099fd2768518ae0a7a9d2d011b25ece7baca45a8
com.vaadin	vaadin-details-flow	23.0.0		f8e0481859cc1442e0b3e9115df57219605dcd4e
com.vaadin	vaadin-details-flow	23.0.1		5adb3dbaa558b1d4a018414632ba5f0550a659a6
com.vaadin	vaadin-details-flow	23.0.10		b23d61281cd6448541570bcbfb57d27a44a22002
com.vaadin	vaadin-details-flow	23.0.11		aef4148bbc2425e333354c02fdd8cab9216eb4b1
com.vaadin	vaadin-details-flow	23.0.12		38fffce53b826bcdfcf3e753de584fa2c8e244ca
com.vaadin	vaadin-details-flow	23.0.13		14c10758d7a2ab48c069e8a436fb5f67218a40ac
com.vaadin	vaadin-details-flow	23.0.14		ce4973d52dc0337866e1d46fff1d0b91538f3edf
com.vaadin	vaadin-details-flow	23.0.15		c48887fb0be2f46646e88be72ec745b1bffa5a94
com.vaadin	vaadin-details-flow	23.0.16		6bd897c54fa304f825f16b97777906ea7d5181f4
com.vaadin	vaadin-details-flow	23.0.2		eee7fdb5ff895fa8c9d7059e652927d71c1cdd55
com.vaadin	vaadin-details-flow	23.0.3		26960e9d48908f9ca35faa563cae8deef3721d78
com.vaadin	vaadin-details-flow	23.0.4		df56fa98f0cdc48ce5560403aa4ed2095f33b137
com.vaadin	vaadin-details-flow	23.0.5		e3ffa8aa4b76f4b6af080d6d72fe52f003b5ee4f
com.vaadin	vaadin-details-flow	23.0.6		339bf3c91900c8a2f944316a997ed3b23337c7eb
com.vaadin	vaadin-details-flow	23.0.7		e0bb87fba620979732d06616dcaa05701e14dd11
com.vaadin	vaadin-details-flow	23.0.8		9091cd5b57831b25ee41fcf58eb5d8a01e281436
