be.vlaanderen.informatievlaanderen.ldes.ldi	ldi-core	2.12.0		N/A
com.github.ksoichiro	gradle-android-git	0.1.1		25a7f293d0f1bde2791f97947abbf6e24903945b
com.github.ksoichiro	gradle-android-git	0.1.2		e7d36e1ebaa2606d83069f098bd6397333800578
com.github.ksoichiro	gradle-android-git	0.1.3		da933b852df59ab4c969e9cd025776c1978067b4
com.github.ksoichiro	gradle-android-git	0.1.4		571d93817ffbca6efb21d538f1ced69371271e3c
com.github.ksoichiro	gradle-android-git	0.1.5		bb01c145b43cf656b1bea49fbe23f7e866a11eb7
com.github.ksoichiro	gradle-android-git	0.1.6		e91ca0c3178f89911f1693b351eaaf0f15dc6945
com.github.mrpowers	spark-fast-tests_2.12	0.21.3		c1f02f28dfa20c27778affe3fdbbc3cb8fbdede7
com.github.mrpowers	spark-fast-tests_2.12	0.22.0		88710e7cf98f6c205344b3e73c7c86b4d636e54f
com.github.mrpowers	spark-fast-tests_2.12	0.23.0		d59e1cebec815d925aa2a397049aece14101ae93
com.github.mrpowers	spark-fast-tests_2.12	1.0.0		c320abd9372c2e0ce7d3ff4a99230aee43f9fff4
com.github.mrpowers	spark-fast-tests_2.12	1.0.1		4e9c377908146b3ae30b545e10a4f52bcafed9c9
com.github.mrpowers	spark-fast-tests_2.12	1.1.0		7ba6e73d2abe282017578597740e08dd00d98489
com.github.mrpowers	spark-fast-tests_2.12	1.2.0		1b193956793876d6442ed2b54bc63ff5cf3a5ceb
com.github.mrpowers	spark-fast-tests_2.12	1.3.0		fb5e61ed2a04db159528d7fd682920b3f9727bd9
com.github.rnett.krosstalk	krosstalk-client-macosx64	1.0.0		N/A
com.github.rnett.krosstalk	krosstalk-client-macosx64	1.0.0	metadata	cc5cae6d43bbc7ea64de972b3bf8038cef0de23f
com.github.rnett.krosstalk	krosstalk-client-macosx64	1.1.0		N/A
com.github.rnett.krosstalk	krosstalk-client-macosx64	1.1.0	metadata	a2e9af4059cada5bc12240d2b83e9c51b395815d
com.github.rnett.krosstalk	krosstalk-client-macosx64	1.1.1		N/A
com.github.rnett.krosstalk	krosstalk-client-macosx64	1.1.1	metadata	93668ebf0df1e6ec28451320782a1e7fe3e7726f
com.github.rnett.krosstalk	krosstalk-client-macosx64	1.1.2		N/A
com.github.rnett.krosstalk	krosstalk-client-macosx64	1.1.2	metadata	03c5745accb1dec8395a3247b50674df0a10e0e2
com.github.rnett.krosstalk	krosstalk-client-macosx64	1.2.0		N/A
com.github.rnett.krosstalk	krosstalk-client-macosx64	1.2.0	metadata	90a8cc2dabcf9886d3276fa82f283f2e51659709
com.github.rnett.krosstalk	krosstalk-client-macosx64	1.2.1		N/A
com.github.rnett.krosstalk	krosstalk-client-macosx64	1.2.1	metadata	575532620bc55d24a4661dac79e256faf03e37f0
com.github.rnett.krosstalk	krosstalk-client-macosx64	1.2.2		N/A
com.github.rnett.krosstalk	krosstalk-client-macosx64	1.2.2	metadata	0d80008b02577fa92a318102c583324a86aeecc4
com.github.rnett.krosstalk	krosstalk-client-macosx64	1.2.3		N/A
com.github.rnett.krosstalk	krosstalk-client-macosx64	1.2.3	metadata	17eb467be4427a004c778138dcf4d02ba0feef47
com.github.rnett.krosstalk	krosstalk-client-macosx64	1.3.0		N/A
com.github.rnett.krosstalk	krosstalk-client-macosx64	1.3.0	metadata	d66f6411da7e25844662d90dc6fcdb5b54751f40
com.github.rnett.krosstalk	krosstalk-client-macosx64	1.4.0		N/A
com.github.rnett.krosstalk	krosstalk-client-macosx64	1.4.0	metadata	8c1c9c7e11f57e31a505d58f218edf6f79398fac
com.google.cloud	google-cloud-dataproc-metastore-bom	0.1.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	0.2.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	1.0.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	1.0.1		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	1.0.2		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.0.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.0.1		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.0.2		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.1.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.1.1		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.1.2		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.1.3		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.1.4		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.1.5		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.1.6		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.1.7		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.1.8		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.1.9		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.10.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.11.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.12.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.13.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.14.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.15.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.16.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.17.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.18.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.19.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.2.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.2.1		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.20.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.21.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.22.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.23.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.24.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.25.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.28.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.29.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.3.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.3.1		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.30.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.31.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.32.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.33.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.34.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.35.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.36.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.37.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.38.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.39.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.4.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.4.1		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.4.2		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.4.3		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.4.4		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.40.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.41.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.42.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.43.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.44.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.45.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.46.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.47.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.48.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.49.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.5.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.50.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.52.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.53.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.54.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.55.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.56.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.57.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.58.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.59.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.6.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.60.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.61.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.62.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.7.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.8.0		N/A
com.google.cloud	google-cloud-dataproc-metastore-bom	2.9.0		N/A
com.google.cloud	google-cloud-iot	0.100.0-beta		5e80218c51bd6a8c7671d532c5883cae8bec8040
com.google.cloud	google-cloud-iot	0.101.0-beta		71046b1328d22b2dcb66cb341d76ee63490759f9
com.google.cloud	google-cloud-iot	0.102.0-beta		951fec475bae9c646f59981854f613accb0ee504
com.google.cloud	google-cloud-iot	0.103.0-beta		cd0851cb46fa29a38366264c9257b310d92a5c0b
com.google.cloud	google-cloud-iot	0.104.0-beta		6b50816408db9c2face47b7e716e0b7b6ad5283c
com.google.cloud	google-cloud-iot	0.105.0-beta		c729446f4864cdaae014a29625361ebc9ae29712
com.google.cloud	google-cloud-iot	0.106.0-beta		8100bb333d7829df5152529dfcaef6a4af73899e
com.google.cloud	google-cloud-iot	0.107.0-beta		365e5393cd2ce5c698d055bf1dd7ad567342da59
com.google.cloud	google-cloud-iot	0.108.0-beta		fe38a94cdae7377344b12f95b67ea9f4aaa81458
com.google.cloud	google-cloud-iot	0.109.0-beta		9139464e492049a1ef71a6f7cd1195762f1a3ce3
com.google.cloud	google-cloud-iot	0.110.0-beta		71f42411767f5db0a733940a1a56ca1638d77e79
com.google.cloud	google-cloud-iot	0.111.0-beta		87cbfe21f16986c66c4c5922f0807f56cae3a436
com.google.cloud	google-cloud-iot	0.114.0-beta		9d6c2f8071e1f2fd22cae0121950c5965d5c582a
com.google.cloud	google-cloud-iot	0.115.0-beta		e2e5834397852ed45e90ee2ddba978cf02fa13d9
com.google.cloud	google-cloud-iot	0.116.0-beta		2420bc025186982f10a8e280235ddd1a8c51da07
com.google.cloud	google-cloud-iot	0.117.1-beta		f25b9de1476c0dafe7f9b2169ad5e41b495bfdf5
com.google.cloud	google-cloud-iot	0.48.0-beta		46619584b8e4505ead02d4cd6b2a43d557ce14fd
com.google.cloud	google-cloud-iot	0.49.0-beta		ea205a2770f8cd6b91b1ec7a2c4bd3879d82fec0
com.google.cloud	google-cloud-iot	0.50.0-beta		209fdf19d96d1497ce0e0d860f59bfac4eb2bb79
com.google.cloud	google-cloud-iot	0.51.0-beta		ca575aea966945f731e2ce3a4ce37c91b83698de
com.google.cloud	google-cloud-iot	0.52.0-beta		2590626b063f91d5d514e5a13d790a0b73c997c8
com.google.cloud	google-cloud-iot	0.53.0-beta		7cc67c1b8ec79c552049ac7abbcb84172370116c
com.google.cloud	google-cloud-iot	0.54.0-beta		02d21e53cc861534aaed6c6a0f39ca54ae522d20
com.google.cloud	google-cloud-iot	0.55.0-beta		547f5f32a4e306d98cadcf5d4eb22216698a0215
com.google.cloud	google-cloud-iot	0.55.1-beta		2e9bd394c356faecf1190e3028f5e2061c5a1262
com.google.cloud	google-cloud-iot	0.56.0-beta		ebaf4908c622f80bdbd52f353117f345039634ef
com.google.cloud	google-cloud-iot	0.57.0-beta		39002dcd7cc4d53498a73a0199f7c2e4b89f840d
com.google.cloud	google-cloud-iot	0.58.0-beta		b403e5f2ed0eaae0e0676a8da8d8dc774e6258f6
com.google.cloud	google-cloud-iot	0.59.0-beta		dfc90071f70ab5fff80f08855fe0cc01060b3323
com.google.cloud	google-cloud-iot	0.60.0-beta		f44f07e845f5448390893bc28235cf252453198d
com.google.cloud	google-cloud-iot	0.61.0-beta		fbf3f7d7f6ef100b9ce4946ea49d85ba136a9342
com.google.cloud	google-cloud-iot	0.62.0-beta		da793a351da2046346187b0cb1b7c75d40d6a152
com.google.cloud	google-cloud-iot	0.63.0-beta		80030bf6d6f36a8a97e15c438f6dd3b3339fa54e
com.google.cloud	google-cloud-iot	0.64.0-beta		90369b226bdd22fbe388b5fe1874963bf13f7358
com.google.cloud	google-cloud-iot	0.65.0-beta		7cb84282f916991eb12cf2151ce9ea7d4f67e06d
com.google.cloud	google-cloud-iot	0.66.0-beta		8c59d570cf6cc4112297bfb7fab73f15dc952923
com.google.cloud	google-cloud-iot	0.67.0-beta		073a351d1d4f5483eed618f06b5e26ee9cd83a69
com.google.cloud	google-cloud-iot	0.68.0-beta		8d3a4d9a7dc4e91fba6c49cf56369fcc6f0a17ac
com.google.cloud	google-cloud-iot	0.69.0-beta		1f9ff2215199c16e46d0611354c16748116ef33c
com.google.cloud	google-cloud-iot	0.70.0-beta		d9903352eacbca0ddef0f00f843a71cb14f560c9
com.google.cloud	google-cloud-iot	0.71.0-beta		c3fc41b9bf0dc732f51428cb49dfdf180e3bbd77
com.google.cloud	google-cloud-iot	0.72.0-beta		41f14f5d4b7671a53b1d5dfad257a74b44a07533
com.google.cloud	google-cloud-iot	0.73.0-beta		627bb0d239f49e32c8e28589cb96757c3d52edea
com.google.cloud	google-cloud-iot	0.74.0-beta		b3f1c535d37ff1aed75c11dab9dc052447488af6
com.google.cloud	google-cloud-iot	0.75.0-beta		fa53c0fa8a9328e8c992c1fa8183bbe304ff7b3e
com.google.cloud	google-cloud-iot	0.76.0-beta		b58b88ee905ff11b1b13e62d74026fae06d6bebb
com.google.cloud	google-cloud-iot	0.77.0-beta		78e6c52e204c1bb21cfb052729f49228f144f0d6
com.google.cloud	google-cloud-iot	0.78.0-beta		04304cec9f1c45f0ae42cb74dd681513765ea1e8
com.google.cloud	google-cloud-iot	0.79.0-beta		3fa22ede9506a08ced4fe45d2c56760b26b15766
com.google.cloud	google-cloud-iot	0.80.0-beta		c1736ce5490ad6aede6b220057f53fadcacf7d20
com.google.cloud	google-cloud-iot	0.81.0-beta		f543e61fc98d977b600902a2448e718ae34799c8
com.google.cloud	google-cloud-iot	0.82.0-beta		fe4846c222305086c3fb555f83db39fb7c1fbf30
com.google.cloud	google-cloud-iot	0.83.0-beta		ecac1db6a4ba2ce712973ef7fb31bf12ff1e09bc
com.google.cloud	google-cloud-iot	0.84.0-beta		0efc7c47e2ed66a69d5c44bffb6134cdfa42f5e7
com.google.cloud	google-cloud-iot	0.85.0-beta		1636758b31254a18d7bb5d32b07fe13543cff5f9
com.google.cloud	google-cloud-iot	0.86.0-beta		523fcece8b4b09a23153dd08bee00ffaf9ac496a
com.google.cloud	google-cloud-iot	0.87.0-beta		b50724ea842f6a0c2aefa6e9706ee2e81aa6fa30
com.google.cloud	google-cloud-iot	0.88.0-beta		ef994b0258718b525cd5d4ac20ac5d7f023b53ad
com.google.cloud	google-cloud-iot	0.89.0-beta		607718901ffe81e3ea17106c872275ef1d8b95b4
com.google.cloud	google-cloud-iot	0.90.0-beta		29e5f610f672dc367eb54a0ca3ed67af02e72839
com.google.cloud	google-cloud-iot	0.91.0-beta		0eb7cc52a0de9378697768c2bafd49247f69f8a4
com.google.cloud	google-cloud-iot	0.92.0-beta		646b8337a48125dccfdd6246ca23e8dceea0040f
com.google.cloud	google-cloud-iot	0.93.0-beta		99a80c558ead0b63f16fb65e5609939d4f46e24d
com.google.cloud	google-cloud-iot	0.94.0-beta		27dbb8febe4283514bcda993144bf31498918c68
com.google.cloud	google-cloud-iot	0.95.0-beta		9160e50a923019e97fefc41aa6481a346d885d2c
com.google.cloud	google-cloud-iot	0.96.0-beta		634eef924695993ca71b6468d8609ac1c2ca8550
com.google.cloud	google-cloud-iot	0.97.0-beta		d514877664796592c768fb31ef0f2586f77017b2
com.google.cloud	google-cloud-iot	0.98.0-beta		d91f523e3d902fa0b62b8111d7804b2b0e6d7b66
com.google.cloud	google-cloud-iot	0.99.0-beta		38cf9713b018696fafbd65f6096581be4e3156d0
com.google.cloud	google-cloud-iot	1.0.0		289976a6726761890e8e75bb37c49504df87cdb6
com.google.cloud	google-cloud-iot	1.0.1		173011a2f4f86f3562c222667c88dfa7dbd90bb2
com.google.cloud	google-cloud-iot	1.0.2		7b64c05ac469ac930809a6a19f43007ac0e0170a
com.google.cloud	google-cloud-iot	1.1.0		e3d186fdd691e99509c875a5c915a1549a1b0969
com.google.cloud	google-cloud-iot	1.1.10		502e2d54a2543fc64dfdc73c97db6bf2e8a0cc46
com.google.cloud	google-cloud-iot	1.1.11		d9f5e3ac807c864939a3cb19b39d868b8dfb16af
com.google.cloud	google-cloud-iot	1.1.12		d6e3f18f891f358cf20e2d7883c2e2e796d1ddd3
com.google.cloud	google-cloud-iot	1.1.13		d4f24c7ce1f1e718641474e0a26acce1c310b959
com.google.cloud	google-cloud-iot	1.1.14		8c8e41a2d972713cb50b412aca1a7c0482523d6e
com.google.cloud	google-cloud-iot	1.1.2		71e07e34f243820ba9a180c06a96e250360c9dbb
com.google.cloud	google-cloud-iot	1.1.3		b80dc32211c042049614f2ab4f345970a28428f8
com.google.cloud	google-cloud-iot	1.1.4		6a845ee072e1ce2e69046895ee93ea600e25d1db
com.google.cloud	google-cloud-iot	1.1.5		e6a50d5d0ef1bdc8b2af6514a821c7fc65574bb3
com.google.cloud	google-cloud-iot	1.1.6		be87ced7347d0af51569e26c0f53d65e47d93d2b
com.google.cloud	google-cloud-iot	1.1.7		e666c4e2a934878a5f8bb491f446b757d2f80e3e
com.google.cloud	google-cloud-iot	1.1.8		2aec1105724ca57303d7a0363a2435a058040680
com.google.cloud	google-cloud-iot	1.2.0		2a99ba464b58dba45e322a6b4448a6ec929d7ce2
com.google.cloud	google-cloud-iot	1.2.1		b766a330be76110f44d7cf4ff02f9431af4c9591
com.google.cloud	google-cloud-iot	1.2.2		0c993f57a7983edb0f770123ae1232ec36d23feb
com.google.cloud	google-cloud-iot	1.2.3		a498e20b85ca1f5ab3c2b0d632bead0393f6afdb
com.google.cloud	google-cloud-iot	1.3.0		fbf1aabef2877364667244023a053101af38ddf8
com.google.cloud	google-cloud-iot	1.3.1		e77d7018ba0d0d8ee62a7eb9963fe429932342ce
com.google.cloud	google-cloud-iot	1.3.2		22826f5ce0e0fdd5a56314970e5e03a6902551ec
com.google.cloud	google-cloud-iot	2.0.0		0c648cb4437e6348e042ac26a366b99ea49c4fa6
com.google.cloud	google-cloud-iot	2.0.1		3953743138304e2637a722e528f9f4d98a25def9
com.google.cloud	google-cloud-iot	2.0.2		fe063d266b6cbdff4d7ed263f30783ed2c13c724
com.google.cloud	google-cloud-iot	2.1.0		e08c6174890b513eb9934350dcfbbc6ea378ffae
com.google.cloud	google-cloud-iot	2.1.1		b2e3a26e8964bf1ef4d3298b3e96044ac32000a3
com.google.cloud	google-cloud-iot	2.1.10		6fb4014b44112f1c6a6825855e8f664d0535107a
com.google.cloud	google-cloud-iot	2.1.2		71efffc4481479e76b1ab92fe156fbd529e30a46
com.google.cloud	google-cloud-iot	2.1.3		951cf839af2784e6f8989a48ff13ec8d0abe53bb
com.google.cloud	google-cloud-iot	2.1.4		9d517aaa493314a9f5337930c4b800b5a55af657
com.google.cloud	google-cloud-iot	2.1.5		b297d876af4f6c100732b68096f5362830df93a4
com.google.cloud	google-cloud-iot	2.1.6		f0b5fe3bf101b0d1b2a215caf973e6b6dcf6c8da
com.google.cloud	google-cloud-iot	2.1.7		0ce74f8fca4dcafc94fe925a5ce182e877fb4888
com.google.cloud	google-cloud-iot	2.1.8		76375940fb0ccca7b5b7e0796ddc541d070beec5
com.google.cloud	google-cloud-iot	2.1.9		97323af44f9a92f423f8e5b160af9c41cc3925df
com.google.cloud	google-cloud-iot	2.10.0		27355b2bc97c8bcdf42c52871e26f60c3cbc7af1
com.google.cloud	google-cloud-iot	2.11.0		d945d059fb54194d4b6be9ce7490fc612ea8fa69
com.google.cloud	google-cloud-iot	2.12.0		4d8d6fa1a5d6e4fb72277ccc0208ee825a535050
com.google.cloud	google-cloud-iot	2.13.0		1f61327a17ac5ffe0df4aa52b2bc2ac23763a933
com.google.cloud	google-cloud-iot	2.14.0		bc7e02a8c39683d231d890aa42dbaf9106a6c5b3
com.google.cloud	google-cloud-iot	2.15.0		12dacc739f8c66b79be1e101217ce73532cb114e
com.google.cloud	google-cloud-iot	2.16.0		8676713f042f074a053a4a3e5eb4732e98946eff
com.google.cloud	google-cloud-iot	2.17.0		0636fc58b7df30130b45de37868e105ba4cec3b4
com.google.cloud	google-cloud-iot	2.18.0		7fac4051f157181bb5415898fdced6ba9e2b576a
com.google.cloud	google-cloud-iot	2.19.0		170622b2ab77c436ce4d0113a533f3e3115edb67
com.google.cloud	google-cloud-iot	2.2.0		2c717eb812671d15e0dda777dcbf649573f8a61d
com.google.cloud	google-cloud-iot	2.2.1		da362bac4366a7e428845ff8b1845942b40060b6
com.google.cloud	google-cloud-iot	2.20.0		49c62cae8098192c9d1686a531d0ccf3d3b76e63
com.google.cloud	google-cloud-iot	2.21.0		0a9be24d8745e8da93dab5bfca02f7d2338040e5
com.google.cloud	google-cloud-iot	2.22.0		fb4858ecf3437331bb15fdb1298f99f7b49af8ff
com.google.cloud	google-cloud-iot	2.23.0		4c4d317714df5760ece5c96efd09a0dca425cca0
com.google.cloud	google-cloud-iot	2.24.0		c00146934d1d44d287ee1f9c8e51354ef8624b2d
com.google.cloud	google-cloud-iot	2.27.0		80f5d3f4e447f81abc88ec7fe0808ca926f038b1
