at.bestsolution.fx.test	at.bestsolution.fx.test	0.0.1		N/A
com.google.cloud	spring-cloud-gcp-starter-vision	4.3.1		36e516bfd47d6998970ad7a74c01ac63aa834966
com.google.cloud	spring-cloud-gcp-starter-vision	4.4.0		6131df91f06e7f83f25ab79feb1e41fedf530fc4
com.google.cloud	spring-cloud-gcp-starter-vision	4.5.0		63310d9f7105038e1a88aca67ef3bf1b976ab6b2
com.google.cloud	spring-cloud-gcp-starter-vision	4.5.1		5ebfd92c1668b7e39aad4b89901356847ba8674d
com.google.cloud	spring-cloud-gcp-starter-vision	4.6.0		4026781a86e34ec02a2d455048ce39581473d3bd
com.google.cloud	spring-cloud-gcp-starter-vision	4.7.0		5e314ef041abb5c891bf2535a0d34c8247b28ac9
com.google.cloud	spring-cloud-gcp-starter-vision	4.7.1		d5470884ac224413728a6c62bcd0a0c948b02a07
com.google.cloud	spring-cloud-gcp-starter-vision	4.7.2		0826ab5e19b5a0bb3019d9b694f8921135d28e73
com.google.cloud	spring-cloud-gcp-starter-vision	4.8.0		b24ac38d3287ac834547a20b0ce807653b2769fa
com.google.cloud	spring-cloud-gcp-starter-vision	4.8.1		624a636b285672a832e6647609615a29f2d55d0e
com.google.cloud	spring-cloud-gcp-starter-vision	4.8.2		c0286d1bce4cf7eacc202daeeabcd8792486ed10
com.google.cloud	spring-cloud-gcp-starter-vision	4.8.3		c963f0b9f1be812c5a59706a56b49d4634d03474
com.google.cloud	spring-cloud-gcp-starter-vision	4.8.4		9022e223a729bdbcd1dde4aa4bf7e99542923b8b
com.google.cloud	spring-cloud-gcp-starter-vision	4.9.0		0067452f30e4c9ff6ed94e05c0fec777e2c71982
com.google.cloud	spring-cloud-gcp-starter-vision	4.9.1		8749d582d4a75d3033918694c7fd277fdb3ab3bf
com.google.cloud	spring-cloud-gcp-starter-vision	4.9.2		9ef4aa97b7010dca4be03ea3b17aa5847b20d5a8
com.google.cloud	spring-cloud-gcp-starter-vision	4.9.3		0e44bc223dd7c4a82ae5498e1bdbfaf25c1f3185
com.google.cloud	spring-cloud-gcp-starter-vision	4.9.4		a79687b8811e50e9ebcdf9e1b84d425e766a6f61
com.google.cloud	spring-cloud-gcp-starter-vision	5.0.0		e3ba3ff875dd9df496b8d57655bdf1cf47b3ce6c
com.google.cloud	spring-cloud-gcp-starter-vision	5.0.1		3cc0e90d31e7ce6627efb129369e3640a833ab03
com.google.cloud	spring-cloud-gcp-starter-vision	5.0.2		7f2010004847edb518443343489dcb956900a711
com.google.cloud	spring-cloud-gcp-starter-vision	5.0.3		08dacf191cd3caaaea18257b6f99da51f939c574
com.google.cloud	spring-cloud-gcp-starter-vision	5.0.4		efb82e34388e62bf75d09a77b1c720465512a90e
com.google.cloud	spring-cloud-gcp-starter-vision	5.1.0		68c3bc6a540e872452b11caf5b216e1c8cc95f51
com.google.cloud	spring-cloud-gcp-starter-vision	5.1.2		3405a28deb6d847be7a7b16e246f38d5463445a4
com.google.cloud	spring-cloud-gcp-starter-vision	5.10.0		8564cc8e9d1c6365c8b6220b89d29b96c8b03dbd
com.google.cloud	spring-cloud-gcp-starter-vision	5.11.0		c3b2876fb91f078cd95aef9cc389181b9b01d1e4
com.google.cloud	spring-cloud-gcp-starter-vision	5.11.1		52fb46e648218bf4b5d532b78c5c74e2b8adb084
com.google.cloud	spring-cloud-gcp-starter-vision	5.11.2		4eff38207855aa905082ff581a12b04cb4528869
com.google.cloud	spring-cloud-gcp-starter-vision	5.11.3		853200e2d7a749aa668378588c355794cfee140d
com.google.cloud	spring-cloud-gcp-starter-vision	5.2.0		350a000319377d97acd4a62d9ac116787a65a7f3
com.google.cloud	spring-cloud-gcp-starter-vision	5.2.1		2398e936a87e3caed3ec279f55dfc36c1a7a9641
com.google.cloud	spring-cloud-gcp-starter-vision	5.3.0		88eb26279705080ad5a57ff274f3a3b82742bf21
com.google.cloud	spring-cloud-gcp-starter-vision	5.4.0		c3ae9dd2fc9f42ffc25280c2dea2e1e76fc2ac44
com.google.cloud	spring-cloud-gcp-starter-vision	5.4.1		086e79c325a9dc47c8470a61b0f193f5382dcb57
com.google.cloud	spring-cloud-gcp-starter-vision	5.4.3		81cff8b25c6ba397e1db0383259532e33df55657
com.google.cloud	spring-cloud-gcp-starter-vision	5.5.0		e18b4ac2b97674d3e8d1fb6c9f4b12433e2a5db9
com.google.cloud	spring-cloud-gcp-starter-vision	5.5.1		f86857c197f2db43ae541278c8276bfea2ee2ecb
com.google.cloud	spring-cloud-gcp-starter-vision	5.6.0		dd6c6b9475f370ed25095eab6ea77b42e85075aa
com.google.cloud	spring-cloud-gcp-starter-vision	5.6.1		e90f17c9d0ca073c5d8e2291bf763f6a24d82f56
com.google.cloud	spring-cloud-gcp-starter-vision	5.7.0		7c2e2e52448b2708dcbfe9f4fb2be130f9d8ba32
com.google.cloud	spring-cloud-gcp-starter-vision	5.8.0		23c881c72a22d8b0ccae79481ee0cafbdfa0363a
com.google.cloud	spring-cloud-gcp-starter-vision	5.9.0		fa4d34d0643b7398d27a1d85c18148e145c4ce2d
com.google.cloud	spring-cloud-gcp-starter-vision	6.0.0		9673122f95e28df7b5d374aa5f660638eb5c6b8f
com.google.cloud	spring-cloud-gcp-starter-vision	6.0.1		0de11aa05735dc5d80837e957159203271408380
com.google.cloud	spring-cloud-gcp-starter-vision	6.1.0		5c910e18959cf5c856a0a9dc0a0bb737f4f82dd5
com.google.cloud	spring-cloud-gcp-starter-vision	6.1.1		f5263a4202a710a7bb18342cef83421e99c0e200
com.halilibo.compose-richtext	richtext-ui-material3-android	0.13.0		N/A
com.halilibo.compose-richtext	richtext-ui-material3-android	0.14.1		N/A
com.halilibo.compose-richtext	richtext-ui-material3-android	0.15.0		N/A
com.halilibo.compose-richtext	richtext-ui-material3-android	0.16.0		N/A
com.halilibo.compose-richtext	richtext-ui-material3-android	0.17.0		N/A
com.halilibo.compose-richtext	richtext-ui-material3-android	0.20.0		N/A
com.halilibo.compose-richtext	richtext-ui-material3-android	1.0.0-alpha01		N/A
com.halilibo.compose-richtext	richtext-ui-material3-android	1.0.0-alpha02		N/A
com.innoventsolutions.birt-spring-boot	birt-engine-workspace	0.0.1		f46e00f7547d5900e8d5ae87368240d07da1cd64
com.jdcloud.jmsf	meshware-registry	1.0.0		N/A
com.jdcloud.jmsf	meshware-registry	1.1.0		N/A
com.jdcloud.jmsf	meshware-registry	1.2.0		N/A
com.jdcloud.jmsf	meshware-registry	1.2.1		N/A
com.jdcloud.jmsf	meshware-registry	1.2.10		N/A
com.jdcloud.jmsf	meshware-registry	1.2.11		N/A
com.jdcloud.jmsf	meshware-registry	1.2.12		N/A
com.jdcloud.jmsf	meshware-registry	1.2.2		N/A
com.jdcloud.jmsf	meshware-registry	1.2.3		N/A
com.jdcloud.jmsf	meshware-registry	1.2.4		N/A
com.jdcloud.jmsf	meshware-registry	1.2.5		N/A
