ch.epfl.scala	sbt-web-scalajs-bundler-0-6_2.10_0.13	0.16.0		74d4fb9dfe6b13606f98b1c9b99b70bf144d6049
co.touchlab	stately-iso-collections-iosarm64	1.1.9-a1		N/A
co.touchlab	stately-iso-collections-iosarm64	1.1.9-a1	metadata	2f38a87e3085389c80d74657733380e1f9edcf5c
co.touchlab	stately-iso-collections-iosarm64	1.1.9-a1-hmpp		N/A
co.touchlab	stately-iso-collections-iosarm64	1.1.9-a1-hmpp	metadata	cce75e6eb8eb8b1c4fddf9edcd1cb590d0d4170a
co.touchlab	stately-iso-collections-iosarm64	1.2.0		N/A
co.touchlab	stately-iso-collections-iosarm64	1.2.0	metadata	47ba24f152629a4f6806eda52796cfaefe00d283
co.touchlab	stately-iso-collections-iosarm64	1.2.0-nmm		N/A
co.touchlab	stately-iso-collections-iosarm64	1.2.0-nmm	metadata	a619d961ae393757725cd245115f5fe30c6676b9
co.touchlab	stately-iso-collections-iosarm64	1.2.1		N/A
co.touchlab	stately-iso-collections-iosarm64	1.2.1	metadata	c1a201d810286ffffd3e5ed854cd340493682603
co.touchlab	stately-iso-collections-iosarm64	1.2.2		N/A
co.touchlab	stately-iso-collections-iosarm64	1.2.2	metadata	7ce26cec91c19cc6f8e6a44fd40adf92d602467f
co.touchlab	stately-iso-collections-iosarm64	1.2.3		N/A
co.touchlab	stately-iso-collections-iosarm64	1.2.3	metadata	0217f0afa6db7a70957f5c71ff39617719a9256d
co.touchlab	stately-iso-collections-iosarm64	1.2.5		N/A
co.touchlab	stately-iso-collections-iosarm64	1.2.5	metadata	dbc95fc2d228f2fb20ed6f91d8954bea89cfd34a
co.touchlab	stately-iso-collections-iosarm64	2.0.0		N/A
co.touchlab	stately-iso-collections-iosarm64	2.0.0	metadata	7ca1ceab638701306ffb17dde5761fadb171c7fb
co.touchlab	stately-iso-collections-iosarm64	2.0.0-rc1		N/A
co.touchlab	stately-iso-collections-iosarm64	2.0.0-rc1	metadata	a39ad25165a6c208e1998fa2d3b98827caf6e8dc
co.touchlab	stately-iso-collections-iosarm64	2.0.0-rc2		N/A
co.touchlab	stately-iso-collections-iosarm64	2.0.0-rc2	metadata	7246f7060000eb478891a35f05afc594d2804e2c
co.touchlab	stately-iso-collections-iosarm64	2.0.0-rc3		N/A
co.touchlab	stately-iso-collections-iosarm64	2.0.0-rc3	metadata	d6f4ac86832a85db7ff0d4eb0803730abd15279f
co.touchlab	stately-iso-collections-iosarm64	2.0.2		N/A
co.touchlab	stately-iso-collections-iosarm64	2.0.2	metadata	a4f582a5ec3f759409d1e6325486108a66227082
co.touchlab	stately-iso-collections-iosarm64	2.0.3		N/A
co.touchlab	stately-iso-collections-iosarm64	2.0.3	metadata	e8c9b5362b6162120999c375a9e4feea4e0a3bac
co.touchlab	stately-iso-collections-iosarm64	2.0.4		N/A
co.touchlab	stately-iso-collections-iosarm64	2.0.4	metadata	d742c68f9b372fab9dced19aa43103284fdff8ac
co.touchlab	stately-iso-collections-iosarm64	2.0.5		N/A
co.touchlab	stately-iso-collections-iosarm64	2.0.5	metadata	7f52be8da1908b94cf419e85e73e14b310da09f9
co.touchlab	stately-iso-collections-iosarm64	2.0.6		N/A
co.touchlab	stately-iso-collections-iosarm64	2.0.6	metadata	c837537a24e924c1b6658098135e67a9cef35ab3
co.touchlab	stately-iso-collections-iosarm64	2.0.7		N/A
co.touchlab	stately-iso-collections-iosarm64	2.0.7	metadata	bf72fe24352336ed902aa6a53273e5abb528c727
co.touchlab	stately-iso-collections-iosarm64	2.1.0		N/A
co.touchlab	stately-iso-collections-iosarm64	2.1.0	metadata	7a48b78c41562851e020b536bfe84fd517ff5121
com.alipay.sofa	sofa-ark-all	0.1.0		7226c122fe5e5cb5349fcf1b98b65a41bd31a78b
com.alipay.sofa	sofa-ark-all	0.2.0		15c60514304526beef163e68291f09089e33c3a1
com.alipay.sofa	sofa-ark-all	0.3.0		6d42c48e362796690b2ea17cae7b5533210088cc
com.alipay.sofa	sofa-ark-all	0.4.0		7d71a889aabf20c723ac6b74b08cbe1e57aa3b70
com.alipay.sofa	sofa-ark-all	0.4.1		641d2145f40a3b6afb13535c56d18441bec63eb3
com.alipay.sofa	sofa-ark-all	0.5.0		5c04f625c482158fa0c430857968632363c7c43b
com.alipay.sofa	sofa-ark-all	0.5.1		d213e14b9460eee47cb9ae74cfd61714cb18380f
com.alipay.sofa	sofa-ark-all	0.5.2		0017c9a231e1d8690407406d64288df929f69eb6
com.alipay.sofa	sofa-ark-all	0.6.0		73b22ca7bb397a47b3db2d5403645eab63d7c07e
com.alipay.sofa	sofa-ark-all	1.0.0		70a156529619404b0033e44866424041dfedb816
com.alipay.sofa	sofa-ark-all	1.1.0		f28f7c29d7a12011f2f4dfb3d77d0e8346c65534
com.alipay.sofa	sofa-ark-all	1.1.1		67c135831825d9a1bf98fcdae271be0fdc6199af
com.alipay.sofa	sofa-ark-all	1.1.2		967295a5443adaefcb14f8adf9930d1cb7869f06
com.alipay.sofa	sofa-ark-all	1.1.3		4ede86ff2f349f43901ae42a3381cec736150069
com.alipay.sofa	sofa-ark-all	1.1.4		5c2af0bc4fe85e25dca24a820251a92b2ab78859
com.alipay.sofa	sofa-ark-all	1.1.5		526412ab6f8766a770048633559e505b949264d8
com.alipay.sofa	sofa-ark-all	1.1.6		4d3f7839eedfe0100fc9cadd7a4308710d9c2d57
com.alipay.sofa	sofa-ark-all	2.0.0		55e662257615f8bfa2a44157c262eded2ccc04fb
com.alipay.sofa	sofa-ark-all	2.0.1		7cdeca3e20e69b3f257117626b10291a270468ab
com.alipay.sofa	sofa-ark-all	2.0.2		fd85bab0797b4467fb7e00e1fc3f50b14cbc3296
com.alipay.sofa	sofa-ark-all	2.0.3		0ae06f7f39b8eea3a055c4bbe0846e435abbe401
com.alipay.sofa	sofa-ark-all	2.0.4		ba1e3ff173764527064f8b8e5201919d3eea8188
com.alipay.sofa	sofa-ark-all	2.0.5		af5cb1371b1f1a75dd50421188a88cf9caeb1985
com.alipay.sofa	sofa-ark-all	2.0.6		9e8e297241bdd79e7273e1d247461504b9291b8e
com.alipay.sofa	sofa-ark-all	2.0.8		d18f83fcbde5ba5b646f52fe625476341ef4b14d
com.alipay.sofa	sofa-ark-all	2.1.0		3d69c520172aa857c62220d9d33edcebf14d42ff
com.alipay.sofa	sofa-ark-all	2.1.1		f403b0fa2c94848b5c8b16db406a73cc5528ba0c
com.alipay.sofa	sofa-ark-all	2.1.2		cb6533cf3b978cea33343db430041b19c1a7e8cd
com.alipay.sofa	sofa-ark-all	2.1.3		27711d2d409b339ce3060962b7be420e6189c621
com.alipay.sofa	sofa-ark-all	2.2.0		5254dabb9201f30093f8ac46f6aa72e68856e44e
com.alipay.sofa	sofa-ark-all	2.2.1		228cb2231a33a6a0aa3793477dee189c49abb7ea
com.alipay.sofa	sofa-ark-all	2.2.10		19681146e1a3e248cc47be080864ce3ecc15fce4
com.alipay.sofa	sofa-ark-all	2.2.11		f421b13b66fea8e5da1924dff2ce709ae2fc3e1a
com.alipay.sofa	sofa-ark-all	2.2.12		e24769af06f74a1f310dd15ce35825334bf99d8c
com.alipay.sofa	sofa-ark-all	2.2.13		9ee112e0f9c702a1639a8c34e5b3690b58908bcf
com.alipay.sofa	sofa-ark-all	2.2.14		b9925714bee097639efe3279279b437ababcdb84
com.alipay.sofa	sofa-ark-all	2.2.15		55c342323825687d61bf351430ed5150768ff755
com.alipay.sofa	sofa-ark-all	2.2.16		dc0cb526ff55e50e5f0ea2641288a0390343b387
com.alipay.sofa	sofa-ark-all	2.2.2		eb5ce847115f8b5eb6931078998e0531f8e201a1
com.alipay.sofa	sofa-ark-all	2.2.3		1e79060de2944488154ca9129aed0e93f4fce0a2
com.alipay.sofa	sofa-ark-all	2.2.4		427f170e08344ce27be69222c7a54c492d187071
com.alipay.sofa	sofa-ark-all	2.2.5		1cc472d2b1487c5eeedf1fa97f510aeff9d9551c
com.alipay.sofa	sofa-ark-all	2.2.6		8315379feaa6068060c29ede2825893333f56f3f
com.alipay.sofa	sofa-ark-all	2.2.7		0d7d4d437d96d2632e2730772d9de62babad3b66
com.alipay.sofa	sofa-ark-all	2.2.8		77dde1263f11c5e7fb3f676b3f4fbc494e32d1c0
com.alipay.sofa	sofa-ark-all	2.2.9		fa18d5c1f72cd70580f39c2163e989ab959dd868
com.alipay.sofa	sofa-ark-all	2.3.0		07f9e148a4770919cb20b39f0852d03186a70088
com.alipay.sofa	sofa-ark-all	2.3.1		bf9581219e143fdf858a1fd16841a65f819c8a87
com.alipay.sofa	sofa-ark-all	3.0.0		8a85c33bdbfbc0eff719f760a57906a48ab26cc0
com.alipay.sofa	sofa-ark-all	3.0.1		6cce130fd89c8eb3ad45e3d56032899ea30a29f2
com.alipay.sofa	sofa-ark-all	3.0.2		af7a3e32f7e6aa2ebb75dd3364b159055ee68917
com.alipay.sofa	sofa-ark-all	3.0.3		b888166abf819b5874116852e0d7251d636114d0
com.alipay.sofa	sofa-ark-all	3.0.4		7551a2b973c387668d65707751b10bf941fa3af4
com.alipay.sofa	sofa-ark-all	3.0.5		828ecd972b8d461605d8c1b70e28dae40047a5c3
com.alipay.sofa	sofa-ark-all	3.0.6		672d8802c7552acf1e30b7b766bd5bef9e04e3a7
com.alipay.sofa	sofa-ark-all	3.0.7		c22a70d048b63e97cdddad3f3bdced8a4a957149
com.alipay.sofa	sofa-ark-all	3.1.0		cff030923788f256f488c679dd0d081c7c1607c4
com.alipay.sofa	sofa-ark-all	3.1.1		3260844c031a2ddc698ff9855943507f837b1123
com.alipay.sofa	sofa-ark-all	3.1.10		dcfd836681760047adbc776786ab4c63cff2c55e
com.alipay.sofa	sofa-ark-all	3.1.2		aaee02c7896463ac3b70c4d74442fbf8a763944e
com.alipay.sofa	sofa-ark-all	3.1.3		806d438a4aba0358d3c9589af02b066ba30ffc48
com.alipay.sofa	sofa-ark-all	3.1.4		0b42d1dcdabc566afc5e70ca8d14b20c42d793a6
com.alipay.sofa	sofa-ark-all	3.1.5		440d6ea095cd210d0ee36fac78ae5915e0822214
com.alipay.sofa	sofa-ark-all	3.1.6		982e73ca5e6fd4d877be8ea832d377b4586396c3
com.alipay.sofa	sofa-ark-all	3.1.7		88db2437bf1ece8930b368de707a65d72b7188ed
com.alipay.sofa	sofa-ark-all	3.1.8		db7c50f27e5d3596d608e4ba825d0eaa22f2cc3e
com.alipay.sofa	sofa-ark-all	3.1.9		ee5e081a24213cded5cd4de300d9696f72b3ce24
com.alipay.sofa	sofa-ark-all	3.1.9.rpa		e3329f0b1f5117e10071740ee7559db37137379f
com.coderslagoon	baselib-swt	1.0.0		15b247ea0b912fe29e8d10b9053d159a3e3a923b
com.coderslagoon	baselib-swt	1.0.1		7ed002a41da92ab36f3e78f1f791b952459f44c1
com.coderslagoon	baselib-swt	1.0.2		e54a9b7b7670e857a027a49c67bf53edc8b26a61
com.cregis	cregis-sdk-core	1.0.0		3e1d114dbb977f08b112ae6ca4554cd880cf4ae4
com.cregis	cregis-sdk-core	1.1.0		a15e5081ff5bfd3bcb2e2e50cd428ca7e57c0518
com.genexus	gxserverlesscommon	4.8.0		8710d569f144016d4d2d944351374cabfd934b95
com.genexus	gxserverlesscommon	4.8.1		8aa9c9ba211e341a1ba60e75e6a4989592c71581
com.genexus	gxserverlesscommon	4.8.2		0d26cccacaed1687898f74ad2489fe6f49939ccf
com.genexus	gxserverlesscommon	4.8.3		d130dd6768f6407517468707cfa0ab3dcde5b733
com.genexus	gxserverlesscommon	4.8.4		eb243c7b5a2492d8fab979540057d8847408b07f
com.genexus	gxserverlesscommon	4.8.5		d2bf565d765e59183a7bd3e926a3e7a4215f451b
com.genexus	gxserverlesscommon	4.8.6		61737619e52c0e4a02d283413583d594a61e341e
com.genexus	gxserverlesscommon	4.8.7		2f95249535e406d36963f455c223b8ee628d03b6
com.genexus	gxserverlesscommon	4.9.0		8c036b1cd43e92075fd2d29d8822192edf1605f5
com.github.ben-manes	gradle-flyway-plugin	0.1		3f7b88b4e14d1bc0028402b832f106846e930e44
com.github.ben-manes	gradle-flyway-plugin	0.2		30b65381845404bea8be380c17071012d212597d
com.github.ben-manes	gradle-flyway-plugin	0.3		bf0ad301cff6dbe7df52d055fd5713f03dfaea0d
com.github.ben-manes	gradle-flyway-plugin	0.4		5eb0776939a872934eec17587a8f6eb3fde4534b
com.github.ben-manes	gradle-flyway-plugin	0.5		495ba9f985c0be451f04ba593384bf85d1768105
com.github.ben-manes	gradle-flyway-plugin	0.6		740e9c9a35a6d0eaf82fbfb6842d47d41634e1fd
com.github.ben-manes	gradle-flyway-plugin	0.7		f3a2927c35dc0ef40448dbaa67a711e310aa40c3
com.github.j-mie6	parsley-debug-json_2.13	0.1.0-M1		2dba7e64406b7c5765bb02fd20437738afde20b6
com.github.klieber	phantomjs-maven-core	0.6		d8c295407e2328c097ea6106e844af472adc907e
com.github.klieber	phantomjs-maven-core	0.7		f6522391a4fd3c69d3d5584fd863b6fe95bf3757
com.github.ljhan2	slf4j-lamba	1.0.1		8a25cb238678c411beb14510f7eecb360cfe43bd
com.github.onikx	pagedtextview	0.1.1		N/A
com.github.onikx	pagedtextview	0.1.2		N/A
com.github.onikx	pagedtextview	0.1.3		N/A
com.github.sdb	xsbt-filter_2.10_0.13	0.4		b31f38081edefbbac5c7ed68ea4bd0c472ae2047
com.google.apis	google-api-services-forms	v1-rev20220307-1.32.1		305a348be1025f8e851aeb02dbb2c399802f881b
com.google.apis	google-api-services-forms	v1-rev20220322-1.32.1		09e5d7cdb8e402a77c519427f88e22b7d2884f91
com.google.apis	google-api-services-forms	v1-rev20220329-1.32.1		b671e42dc7e0fdcbc17f322157755f533ff03cda
com.google.apis	google-api-services-forms	v1-rev20220329-2.0.0		4852007b2574f8c5767bd87f0b9bdf0655be06a8
com.google.apis	google-api-services-forms	v1-rev20220908-2.0.0		4a50167f4fc1c653804d73d1df37c62425af8b13
com.google.apis	google-api-services-forms	v1-rev20241112-2.0.0		f1328a2367c0b5a70c4b64e133c8ddb56298315d
com.google.apis	google-api-services-forms	v1-rev20250121-2.0.0		04284f399b45ef4b622f3fb4b34890336c8737f9
com.google.apis	google-api-services-forms	v1-rev20250211-2.0.0		3800fed1555c6aed07312167f3f8e4edf98721b6
com.google.apis	google-api-services-forms	v1-rev20250218-2.0.0		83cc556d630af8dbd1998377fc938b4df0e08c18
com.google.apis	google-api-services-forms	v1-rev20250415-2.0.0		0a532dae12ee2f2251af5907c16ce665f9a5e992
com.google.apis	google-api-services-forms	v1-rev20250422-2.0.0		68b42b134d83fb36a50e2995b0e55d530a1a2395
com.google.cloud	spanner-cassandra-launcher	0.1.0		1ade6bf83fc568c2c7fdea281bb36cf7be664c98
com.google.cloud	spanner-cassandra-launcher	0.2.0		69cac4a6ea66f406ff2674948cdb0474e2c8eff9
com.google.cloud	spanner-cassandra-launcher	0.3.0		7c8deaadb692e6c63670de398ec55bcd041f31b3
com.harana	scalajs-react-autoresponsive_sjs0.6_2.12	1.0.0		31e8223f6627b3de1bb4dc4455c4b4c88fe96813
com.harana	scalajs-react-autoresponsive_sjs0.6_2.12	1.1.0		4a0036ae8890eb3163dbce4e8aa3da4cf2636684
com.karadzhov	scala-iso-country-i18n-ar_native0.4_2.13	0.3.0		e2c0ba9a99c2f3a86d60ee69baac3dabcc4c236d
com.karadzhov	scala-iso-country-i18n-ar_native0.4_2.13	0.3.1		7a68f351afcf778fff501b6dcd6b067a7a771212
com.karadzhov	scala-iso-country-i18n-ar_native0.4_2.13	0.4.0		5cec53d97ac9eb989e445669afb4312a0d053cc4
com.karadzhov	scala-iso-country-i18n-ar_native0.4_2.13	0.5.0		16ffa118c06c8e2ce69f098da371a6469d15a9f4
com.mosesn	streamer_2.9.1	0.0.1		ab7270add6ac9ed4a073228c7d6df3fdb1d3946b
com.moz.kiji.delegation.kiji-delegation.3.0.0-SNAPSHOT.com.moz.kiji.annotations	annotations	3.0.0		607d65bdc99b10bb713bb39c2e745b1f557112fd
com.mysema.querydsl.contrib	querydsl-contrib	3.6.7		N/A
com.orientechnologies	orientdb-community-spatial	3.0.0RC1		5587f167803044854ec1ce1b965087a35ef621e8
com.orientechnologies	orientdb-community-spatial	3.0.0RC2		9616b242d24148bf81eb2db8b3bbf66d1b30474f
com.orientechnologies	orientdb-community-spatial	3.0.0m1		41a3d11af4a1cbf6c732d18aa359790b607c052e
com.orientechnologies	orientdb-community-spatial	3.0.0m2		bc1db704c653189ac76f210ab54f96e33f257fe3
com.saveourtool.osv4k	osv4k	0.0.8		48c1a80e923fc7065c2ea28e6ea4975936e6a9e8
com.sequoiadb.flink	sdb-flink-connector	3.6.1		597c11dee0e583f55d32fb979861e049594ab57c
com.sksamuel.tabby	tabby-jackson-jvm	1.0.0		04e7a94383c8a5f1f08de568759c372a11d330f7
com.sksamuel.tabby	tabby-jackson-jvm	1.0.1		06cb1b3f13debbd24756622cdc2e71492db5e3eb
com.sksamuel.tabby	tabby-jackson-jvm	1.0.10		f2daf91917f2c4e4f633d733a81eb4ad2d323cc7
com.sksamuel.tabby	tabby-jackson-jvm	1.0.11		99209ec6c3bf96c2823df5996aafcf527ade21e5
com.sksamuel.tabby	tabby-jackson-jvm	1.0.12		82f199f1dc74663a5cbce01dd608ca877d879eab
com.sksamuel.tabby	tabby-jackson-jvm	1.0.13		2de721c7fb2cb8c84915417c421d9044021bb229
com.sksamuel.tabby	tabby-jackson-jvm	1.0.14		6250b136b8e274561eb403690720463a0598b637
com.sksamuel.tabby	tabby-jackson-jvm	1.0.15		a2e26c95ab3634945411af503a96fca5b2bf8794
com.sksamuel.tabby	tabby-jackson-jvm	1.0.16		c39894fbab27b84b9d8ef9ebf4a5bc62ed192ff5
com.sksamuel.tabby	tabby-jackson-jvm	1.0.17		44d1330e1332d7d18e9c665d67f4bae6faaca642
com.sksamuel.tabby	tabby-jackson-jvm	1.0.18		fe65795ba879378ef1e00d4945febc09527aefb5
com.sksamuel.tabby	tabby-jackson-jvm	1.0.19		a2d941c240f68c5a75fc3bdb5a45ab4e098a5c0e
com.sksamuel.tabby	tabby-jackson-jvm	1.0.2		e6ffce11d86da2c854f3b9e0c032b91366b9eb69
com.sksamuel.tabby	tabby-jackson-jvm	1.0.20		893f78dd46cc0df12ed41f047c835e9980c851bf
com.sksamuel.tabby	tabby-jackson-jvm	1.0.21		23bdb6b1f4c2cde8740958502d96882d55c9da92
com.sksamuel.tabby	tabby-jackson-jvm	1.0.22		5a9b053c869327789e6795229640b0a8137f6e08
com.sksamuel.tabby	tabby-jackson-jvm	1.0.23		5a9d52c86122375b5244c626116a4f8c7582a559
com.sksamuel.tabby	tabby-jackson-jvm	1.0.24		e55f374c6ceebc9aa54e32fafa5c1b562aadbc75
com.sksamuel.tabby	tabby-jackson-jvm	1.0.25		581127bb1bf73eb624805a4f6d60074354782e6c
com.sksamuel.tabby	tabby-jackson-jvm	1.0.26		77deba9bed5961ff19f5f7ecf4d6a4681787e52e
com.sksamuel.tabby	tabby-jackson-jvm	1.0.27		7a6dba7cbcab8c2ba43d549556e846369160d764
com.sksamuel.tabby	tabby-jackson-jvm	1.0.28		7043ba6c1ef2dc6e46643dfc8b1e6b7a66a4e3f8
com.sksamuel.tabby	tabby-jackson-jvm	1.0.29		2d459f6020b4bfbd49a7f958a6476cf1be2a88c8
com.sksamuel.tabby	tabby-jackson-jvm	1.0.3		8cbd2d87e930960c22d203c7e89e38a30dbbb275
com.sksamuel.tabby	tabby-jackson-jvm	1.0.30		d93546e6d2ed7aade594653afad405424dec3726
com.sksamuel.tabby	tabby-jackson-jvm	1.0.31		a14aba495eeee061572d114d2c3d1a5ebc32275d
com.sksamuel.tabby	tabby-jackson-jvm	1.0.32		7f13590eef590bcc0a5471eadf08c84e8305cd08
com.sksamuel.tabby	tabby-jackson-jvm	1.0.33		a909f6f432bcebdd9f320e87ae6616d631f67bb0
com.sksamuel.tabby	tabby-jackson-jvm	1.0.34		1e1755a192a151140374700415f6570a940ea498
com.sksamuel.tabby	tabby-jackson-jvm	1.0.35		b21d707e0f2de69600c241f6f06293bfe447cc31
com.sksamuel.tabby	tabby-jackson-jvm	1.0.36		06427fdbc7d22ff725355af54a4978e4178cb865
com.sksamuel.tabby	tabby-jackson-jvm	1.0.37		28139c39ba51f269db39105000c636dd32b48495
com.sksamuel.tabby	tabby-jackson-jvm	1.0.38		e872c8647591fb5bd9cc06ef3efd2b0d2614f89a
com.sksamuel.tabby	tabby-jackson-jvm	1.0.39		8ec531ca1aac2b991378c2ba87ce4c76016469a5
com.sksamuel.tabby	tabby-jackson-jvm	1.0.4		a2d167c578f22fa71f79a2bc1811cb3cb60a0f11
com.sksamuel.tabby	tabby-jackson-jvm	1.0.5		91d252ff238aa80b19481c67d029d23d53e5b9f9
com.sksamuel.tabby	tabby-jackson-jvm	1.0.6		1a786a1c6c5ebe9959f12bebca91bae5ff51d991
com.sksamuel.tabby	tabby-jackson-jvm	1.0.7		cb85427d00263cb8b0a2150be494df7b528086a1
com.sksamuel.tabby	tabby-jackson-jvm	1.0.8		8fc0bff669ba51ff1b323d0247707dced7a6613c
com.sksamuel.tabby	tabby-jackson-jvm	1.0.9		0881aa35abf5ca574eb4da2b02c655a1828eafa7
com.sksamuel.tabby	tabby-jackson-jvm	1.1.0		e973d67546cebbfdfc8e2d2f3f801346acc114aa
com.sksamuel.tabby	tabby-jackson-jvm	1.1.1		73e9fdae0f623b29f46c0fb4678bc81b42e8e4ab
com.sksamuel.tabby	tabby-jackson-jvm	1.1.10		fe17f7288b2a8c2d4438a5bc9a06f71bc7e2bf7e
com.sksamuel.tabby	tabby-jackson-jvm	1.1.2		8139cc79e65c5fe8932de745f94b79a5b319513b
com.sksamuel.tabby	tabby-jackson-jvm	1.1.21		64dfd19e54133220fe9f0f82ed2cb24ea66eca18
com.sksamuel.tabby	tabby-jackson-jvm	1.1.3		70d1c549cced52ebefb30854791dde183ea89d87
com.sksamuel.tabby	tabby-jackson-jvm	1.1.4		76ff9ff9a798cad7b4562b8b8d44162c362a7505
com.sksamuel.tabby	tabby-jackson-jvm	1.1.5		312f5004dcd92fdf483849dbc1cd0b7696b16882
com.sksamuel.tabby	tabby-jackson-jvm	1.1.6		0387e9ac3700b56e187bd1d1b2b3693579c3b562
com.sksamuel.tabby	tabby-jackson-jvm	1.1.7		b09224e78fa66b4b6edec88ed3ca315b104aecfe
com.sksamuel.tabby	tabby-jackson-jvm	1.1.8		d7931492c72ef5b978f2198254896e51934badea
com.sksamuel.tabby	tabby-jackson-jvm	1.1.9		bf89b986efacc8ad8d1196391799b2e87f36bad8
com.sksamuel.tabby	tabby-jackson-jvm	1.2.0		9bf3d42faeef962f726348b280a9f9ac6f9eb70b
com.sksamuel.tabby	tabby-jackson-jvm	1.2.1		08ccf86cc5e10e8be6af6ff548f3247907bb31b5
com.sksamuel.tabby	tabby-jackson-jvm	1.2.2		891ead9339004e9350e6e0550bbdfddc22f5cef2
com.sksamuel.tabby	tabby-jackson-jvm	1.2.3		4a635e1c1a0035fb3ea4558ea25fa83994564a6f
com.sksamuel.tabby	tabby-jackson-jvm	2.0.0		e06b70f78e59c9f7c4b5bab1499460798cf24d54
com.sksamuel.tabby	tabby-jackson-jvm	2.0.1		b14a2e5982596b19fdefb95cc2be61a602bff466
com.sksamuel.tabby	tabby-jackson-jvm	2.0.10		c43e84047f0d813fbf254fcd8df410aae6450a50
com.sksamuel.tabby	tabby-jackson-jvm	2.0.11		3b2a93f259e91a15ac77e3c0828650700296bf46
com.sksamuel.tabby	tabby-jackson-jvm	2.0.12		1ee17b00b57dfbd554ff89ad0c1d95cd1254a7ba
com.sksamuel.tabby	tabby-jackson-jvm	2.0.13		455a71b907913db605272972a9b662bd331df8ae
com.sksamuel.tabby	tabby-jackson-jvm	2.0.14		a697f177316a98215ba52d5c91efcc259f2b200b
com.sksamuel.tabby	tabby-jackson-jvm	2.0.15		d2fc33a079b94913e2509cd71dffba79906372db
com.sksamuel.tabby	tabby-jackson-jvm	2.0.16		4e1e6ceb77ddfd700c52bfc919e9b7daed522cac
