ba.sake	kalem-core_2.13	0.0.1		411234f6035ba1b29c97abf39c428277383d2726
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.69		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.70		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.71		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.72		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.73		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.74		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.75		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.76		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.77		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.78		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.79		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.81		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.82		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.25		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.26		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.27		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.28		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.29		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.30		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.31		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.32		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.33		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.34		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.35		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.36		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.37		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.38		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.39		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.40		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.41		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.42		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.43		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.44		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.45		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.46		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.47		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.48		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.49		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.50		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.51		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.52		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.53		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.54		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.55		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.56		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.57		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.58		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.59		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.60		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.61		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.62		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.63		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.64		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.65		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.66		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.67		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.68		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.69		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.70		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.71		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.72		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.73		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.74		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.75		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.76		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.77		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.78		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.79		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.81		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	0.0.82		N/A
com.eygraber.conventions-publish-github	com.eygraber.conventions-publish-github.gradle.plugin	unspecified		N/A
com.github.jchanghong	jch-all	0.1		aea470ca114637c45eb1abd71a9e8c71ddc2d645
com.github.jchanghong	jch-all	0.1.1		c8251064ac70c97b47514e8a9934830ceebfd49f
com.github.jchanghong	jch-all	0.1.2		f5f7973dafe584c50a64eba456effb447d9d593a
com.github.jchanghong	jch-all	0.1.3		e4a9295ecfabd2fbc22b3f4bee56760a9cf82763
com.github.jchanghong	jch-all	1.0.0		6d8ab86d366d6604f34b2ef41377411b179c89be
com.github.jchanghong	jch-all	1.6.230		d444f6662e23d82a686632ef98c1025c8c62fd4d
com.github.jchanghong	jch-all	1.6.232		85bdad4598cb8f83c120eabaf3ae4b54c5a9679c
com.github.jchanghong	jch-all	1.6.234		a1864d5d68ba98166cc38f32ee15036ee96ed6d2
com.github.jchanghong	jch-all	1.6.235		b67939a69db22665b07765bba36c519c0e78c752
com.github.jchanghong	jch-all	2.3.0		69370330f573586a3dcc5a564748a7a7738dcd75
com.github.jchanghong	jch-all	2.3.1		bbb4e6f8f7f7ac641365146e4bd64f6656788221
com.github.jchanghong	jch-all	2.3.2		152f6abd7f8bbcbf913abc79083fd03b621c974d
com.github.jchanghong	jch-all	2.3.3		d4003a0f858d3f03486a5b6ee5db812965e4f10e
com.github.jchanghong	jch-all	2.3.4		967d8999e19a3a742bd52caf8843b9f44949ca0c
com.github.jchanghong	jch-all	2.3.7		44e4d00804269536b3cdbda3c4382e1454f4b67d
com.github.jchanghong	jch-all	2022.23.0		9c804435d0cc8d0aebbe850171a909a80e4c2f1a
com.github.jchanghong	jch-all	2022.23.1		caa0a1374378e6357b42959133766f2c38766e24
com.github.jchanghong	jch-all	2022.23.2		bfee4c2568beae41188e2eaadc493621f17b579b
com.github.jchanghong	jch-all	2022.23.4		1a7f0a8b9cc93e323017542b7f15446ad0f3f457
com.github.jchanghong	jch-all	2022.23.5		dd774fd11211bb356bd8ff7d34b48b485361413f
com.github.jchanghong	jch-all	2022.23.6		39489f72bdb3031fa1739d67f253c39de654b27d
com.github.jchanghong	jch-all	2022.25.0		7d71a73b06c960d66965000e0174590efa876b6e
com.github.jchanghong	jch-all	2022.25.1		ae980957c24c09a7f18887616827f971471ba8bb
com.github.jchanghong	jch-all	2022.25.4		a7afd1ffc040fff19d4b3328676174536c8bc66e
com.github.jchanghong	jch-all	2022.25.5		af747cc6011135704a9a20979ac7592239df6e80
com.github.jchanghong	jch-all	2022.25.6		6b22f79d55aa9de0d4cb381d98dfbb35b96b274d
com.github.micromix	micromix-boots	0.1		8943b3fcbab1d71ab9b2f052a545de3d130cfa37
com.github.micromix	micromix-boots	0.10		10bd3aba3d5572d0c58eb3b94f564b8964051a88
com.github.micromix	micromix-boots	0.2		172347d839a613d52885cdf325221a46f963fd3a
com.github.micromix	micromix-boots	0.3		601345075a826e67767dbdc6e453d6c5553c25ba
com.github.micromix	micromix-boots	0.4		05f3a409ba6e0c4a0c5cdfee430ef0ae8779ff5e
com.github.micromix	micromix-boots	0.5		f2a6786a5b44d6e5e73838409b686e50d8e13801
com.github.micromix	micromix-boots	0.6		8ff6cd232f2aeb4ab1a3e4ccfdc78895932dd943
com.github.micromix	micromix-boots	0.7		e673721ff237185f65c8034289de7a20d51d4554
com.github.micromix	micromix-boots	0.8		49f2172c02f38d68ea32ec40698cef1f013b82ac
com.github.micromix	micromix-boots	0.9		d467b4ac71d754da40eaf0662a7e1aafe695c3cc
com.github.mike10004	commons-imaging	1.0a1		5ce75ad1f4739dad534b18cf4138911460fe8b06
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-10		dc6bfee997064e5b9b6b077c6eceafd43b9b0e4e
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-11		b47297140cbb7b6272b84fe17c55f20ecc48aa7e
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-12		f2e08ce4dd261c76d3dbda238b4d1af981bd25aa
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-13		a0d38ae652b156a13dc298c0886af8c01a0e4cf7
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-14		390bb832ebf937cb1bbe0784a139556137125d42
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-15		e96d5270145ac3d830ceb16e9810a326e3b2bf64
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-17		20eb4db6f10653dca4bcb0d3c8e22b0083b00a72
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-18		13c8f389e5e6d27ef6704d35436a598cfd863b53
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-19		cbeac6f0fdac5e661a0be1b383241d8c05cac2e8
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-20		28a822003c2d4811e2d4276ea693f8cd1bef1891
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-21		a9f3be139486b233e91cec692b5dfc816c0b4c31
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-22		ba57373f44494dc909b8b23eff12352f11b19f3d
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-23		a08e75d41da9757f332a4b884166dd3646a49f79
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-24		b24b9998df411fe4393514c8de4ac6bad122b847
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-25		0cf2faa2f3d6cab6e58598382a3ca35380572af0
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-26		c09ad2b9176a1304f600f5f24fa5892e9c5a0e01
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-27		54691e91102fdf528af030db394582ac28beba09
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-28		82be76ba0c1691b838781d20bd25f22ab7973800
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-29		30a0b22c83d011102f483418e25684b3c6da3834
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-30		71f57b2a4dfc09db439c3c58fe340b6199e315d8
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-31		134dfd334cdb5af66fb4e12842854e7f5e177172
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-32		c348007fd7fb8b8d1f079b39d93f8f2dbe07b581
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-33		50bbc6c17769e441a379cc2b39e21872bd97d4b9
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-34		0ef041c5d6ce4edde568a168d5de1342b4cdc85d
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-35		e3a60b4fd04389f559493053f857d871ce5c7332
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-36		b3c2a36dd221a3b895c8082fc9a9adf2a2355172
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-37		0160cf1f0de05be95ddaed4dfeada3bda58af27e
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-38		a6c8a2560dd8e6e54295240de5ac71e8ad12b1dc
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-39		094068a2bf8e3451027452847b4b26f49f50f25d
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-4		667e6e8ca1f3ea5850f4bedbc9428d469d7cae3b
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-40		9727cd4459b4350176dbb8439996479143cc8fe2
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-5		c8de574972e2cf030655f73ace4519540a18d6a4
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-6		888df01768757e413d220d7c02541c43a4a54a99
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-7		bf915529814b82584ba43d1609005afe0e62933a
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-8		f9f39e63aeb5702b3417d6a2ce19bae69d189809
com.github.odavid.maven.plugins	maven-ant-tasks	0.1-alpha-9		4447f60dedae6466edf96fcca15490cf7d992695
com.github.vhall.thirdsdk	boxing-impl	1.0.0		N/A
com.github.vhall.thirdsdk	boxing-impl	1.0.1		N/A
com.github.xuwei-k	nobox_native0.4_3	0.3.1		b7945094fa091f68c06d7405ed9ca43d7d435f1d
com.github.xuwei-k	nobox_native0.4_3	0.3.2		eeb15a3fb3e98ea21ef2fac29301d4f9f4723159
com.graphaware.neo4j	graphaware-framework-server	2.3.0.35		afd700b02be822e9eecde22e891d6beac52a50ba
com.graphaware.neo4j	graphaware-framework-server	2.3.1.35		07404007e10132f59aa29232c0994b6d134ef61f
com.graphaware.neo4j	graphaware-framework-server	2.3.1.36		2ef0fdaa5be57dcb6ac7a43eb08d874375877fe0
com.graphaware.neo4j	graphaware-framework-server	2.3.1.37		3df022ccce6a24f4f11c1cb97494beb3f47d8c48
com.graphaware.neo4j	graphaware-framework-server	2.3.2.37		16df5829ad0a6a02903427ee7266562c4255e640
com.graphaware.neo4j	graphaware-framework-server	2.3.3.37		3b90b119e995bac31b57638486e9183c63eed567
com.graphaware.neo4j	graphaware-framework-server	3.0.0.37		2a41818b2b83b80d9e0528e59a51970fcc3eceb8
com.graphaware.neo4j	graphaware-framework-server	3.0.0.38		8982d7527ae4a8b43aa4c3ae2f59e72e8725265f
com.graphaware.neo4j	graphaware-framework-server	3.0.1.38		b17a602b6fc49b82a80fe9e80f082d9a29304d70
com.graphaware.neo4j	graphaware-framework-server	3.0.2.39		544ff5aecc2bb798c68df3027a3b892c6d844707
com.graphaware.neo4j	graphaware-framework-server	3.0.3.39		d6d429a6c2a065f53caf623de45e9aef52a8eb4d
com.graphaware.neo4j	graphaware-framework-server	3.0.4.41		ef80ba5ddc3b2097eb38bc656610dfa009cd46fe
com.graphaware.neo4j	graphaware-framework-server	3.0.4.42		046125443c2f95f149fbc21ebfd082156b7111e8
com.graphaware.neo4j	graphaware-framework-server	3.0.4.43		921890a103b9ee59d0581144dbe1c8c0cdd9b834
com.graphaware.neo4j	graphaware-framework-server	3.0.6.43		e4aea628c824e2abe3a3558fcee19d307945a879
com.graphaware.neo4j	graphaware-framework-server	3.0.7.44		c08708e53f258df65d2e603a2e96d9896e2fd2e1
com.graphaware.neo4j	graphaware-framework-server	3.0.8.44		63722362deaba18ea145532bdad938c2c5020d36
com.graphaware.neo4j	graphaware-framework-server	3.1.0.44		3179fc7ae043e86668566fe92761260cbff53aea
com.graphaware.neo4j	graphaware-framework-server	3.1.3.45		e2783ec946c03a0db0ba50d19735b5fdf87a1c4b
com.graphaware.neo4j	graphaware-framework-server	3.1.3.46		e43180e5a45fcbaccc74fde44ae99e058b627901
com.graphaware.neo4j	graphaware-framework-server	3.1.3.47		ffeead4a62620c779f29d30fb874d18afcd45892
com.graphaware.neo4j	graphaware-framework-server	3.1.3.48		8b18a460bf44645d7e3124b6e43801148b8eb56d
com.graphaware.neo4j	graphaware-framework-server	3.1.4.49		1f7f382bac5ad471a9b05b6f9980574caeca65bb
com.graphaware.neo4j	graphaware-framework-server	3.2.1.50		204d40fed4e626f6e1f54bed26ebfa7a1e6ed290
com.graphaware.neo4j	graphaware-framework-server	3.2.1.51		fc41611f9b951d30e7c85e3f5da0f5f9a900eb0f
com.graphaware.neo4j	graphaware-framework-server	3.2.3.51		fb6b5bc53f65681f07c10f38064ce6912324c066
com.graphaware.neo4j	graphaware-framework-server	3.2.5.51		144428441fc7019e54fb6d7dd22aa64bd73715be
com.graphaware.neo4j	graphaware-framework-server	3.2.6.51		f869dedaa23ce92cd4c75b65adfa7047cec15849
com.graphaware.neo4j	graphaware-framework-server	3.3.0.51		9a948cbd858af0efa74a6090ab2335f0a28f9ced
com.graphaware.neo4j	graphaware-framework-server	3.3.1.51		N/A
com.graphaware.neo4j	graphaware-framework-server	3.3.2.51		N/A
com.graphaware.neo4j	graphaware-framework-server	3.3.2.52		N/A
com.graphaware.neo4j	graphaware-framework-server	3.3.3.52		N/A
com.graphaware.neo4j	graphaware-framework-server	3.3.4.52		N/A
com.graphaware.neo4j	graphaware-framework-server	3.3.5.52		N/A
com.graphaware.neo4j	graphaware-framework-server	3.4.0.52		N/A
com.graphaware.neo4j	graphaware-framework-server	3.4.12.52		N/A
com.graphaware.neo4j	graphaware-framework-server	3.4.3.52		N/A
com.graphaware.neo4j	graphaware-framework-server	3.4.5.52		N/A
com.graphaware.neo4j	graphaware-framework-server	3.4.6.52		N/A
com.graphaware.neo4j	graphaware-framework-server	3.4.7.52		N/A
com.graphaware.neo4j	graphaware-framework-server	3.4.8.52		N/A
com.graphaware.neo4j	graphaware-framework-server	3.4.9.52		N/A
com.graphaware.neo4j	graphaware-framework-server	3.5.0.53		N/A
com.graphaware.neo4j	graphaware-framework-server	3.5.0.53-beta02		N/A
com.graphaware.neo4j	graphaware-framework-server	3.5.0.53-beta03		N/A
com.graphaware.neo4j	graphaware-framework-server	3.5.1.53		N/A
com.graphaware.neo4j	graphaware-framework-server	3.5.10.54		N/A
com.graphaware.neo4j	graphaware-framework-server	3.5.11.54		N/A
com.graphaware.neo4j	graphaware-framework-server	3.5.11.55		N/A
com.graphaware.neo4j	graphaware-framework-server	3.5.12.55		N/A
com.graphaware.neo4j	graphaware-framework-server	3.5.13.55		N/A
com.graphaware.neo4j	graphaware-framework-server	3.5.14.55		N/A
