br.com.objectos	csv-parent	0.1.0		N/A
cn.herodotus.engine	oss-sdk-minio	2.7.7.5		952e910596fb1fbbd755c3c5eda326813525dfd7
cn.herodotus.engine	oss-sdk-minio	2.7.8.0		04a7746272717015a198aec9cc48bf5e03ee8d10
cn.herodotus.engine	oss-sdk-minio	2.7.8.1		ae9d6d016e147e01bdc47c942484cd24515e0570
cn.herodotus.engine	oss-sdk-minio	2.7.9.0		fe60787e6f54ac8df4a8623b9b1da6e40aafcbcf
cn.herodotus.engine	oss-sdk-minio	2.7.9.1		5389268cd350b00b89ce45f36dfac8c560146a2f
cn.herodotus.engine	oss-sdk-minio	2.7.9.2		4eecec4bfef4a6886cdd0181c9da6e5d756361a8
cn.herodotus.engine	oss-sdk-minio	3.0.0-M1		d57390d195c3eb94f2388d59a6f9d53d9e50b7bc
cn.herodotus.engine	oss-sdk-minio	3.0.0-M2		573adcad03023e25a34da419b6a53d1666b38e99
cn.herodotus.engine	oss-sdk-minio	3.0.0-M3		dad600dac42fcb617c410a9f0e1f68a2e62db0a4
cn.herodotus.engine	oss-sdk-minio	3.0.0-M5		700b831433cdd535f8e7fef14d039d73cc24068f
cn.herodotus.engine	oss-sdk-minio	3.0.0-RC1		7a31e8191f209bd2a4f5d94a18ca7045b80bee08
cn.herodotus.engine	oss-sdk-minio	3.0.0-RC2		02571d98537831f50d6f22dad442418336bd3fce
cn.herodotus.engine	oss-sdk-minio	3.0.0-RC3		f80e3b745904b502c429828bffc248d5ee6e7aab
cn.herodotus.engine	oss-sdk-minio	3.0.0.0		1da9b037b066f780bc52b615e6ddccc0b88a2159
cn.herodotus.engine	oss-sdk-minio	3.0.1.0		87c8e5b9a47d53ad53bc3b8828a4df2fb14b5e77
cn.herodotus.engine	oss-sdk-minio	3.0.2.0		3fc7ac4dd557400bb09c2ea253c7ad4fbf8a392a
cn.herodotus.engine	oss-sdk-minio	3.0.2.1		02eb50f1edf96b0fbc9d54d7caad9e46f6a55ae8
cn.herodotus.engine	oss-sdk-minio	3.0.2.2		6997a5f604fcae8ebe2184a75d9714e16e68d6f2
cn.herodotus.engine	oss-sdk-minio	3.0.2.3		eb7dde336a0298e2aa23efb84ff7915870b7e11d
cn.herodotus.engine	oss-sdk-minio	3.0.3.0		e617f27136f2974819d0ef1b81f6dc48b75129d9
cn.herodotus.engine	oss-sdk-minio	3.0.4.0		0bd34f2664761a0638134f63df6bf57447778c78
cn.herodotus.engine	oss-sdk-minio	3.0.4.1		09d9d26a81b912b6a106cd88da97d8930faa2620
cn.herodotus.engine	oss-sdk-minio	3.0.4.2		ab8f3a362bf6a2ee99de4a9cd7a16477df2bd12f
cn.herodotus.engine	oss-sdk-minio	3.0.5.0		28fb0f9a34d493bb3d8102b8cde832e37f8d5f3e
cn.herodotus.engine	oss-sdk-minio	3.0.5.1		ab773aba6d251f713ab359206487ff2a42cdc4bb
cn.herodotus.engine	oss-sdk-minio	3.0.5.2		5744ed413120bbcb6a2aa377696e6e52342b094a
cn.herodotus.engine	oss-sdk-minio	3.0.5.3		6ff58006c79928a2193ecf0af3637c3d6c34872d
cn.herodotus.engine	oss-sdk-minio	3.0.5.4		ce883f60b5a920d59a0903273318be8b65a3fd20
cn.herodotus.engine	oss-sdk-minio	3.0.5.5		e0864c7c9acbf9d1eec57ccc4835a8b6eb54ed2f
cn.herodotus.engine	oss-sdk-minio	3.0.6.0		ec7ccdf52b6bf1d1f0535df7352c2e15bedabeb3
cn.herodotus.engine	oss-sdk-minio	3.0.6.1		420e5313cb81d8b07bc7ccf8b4d6f0e4ba53f946
cn.herodotus.engine	oss-sdk-minio	3.0.6.2		c2c81f7a0b3a6180fd68d4082a4c388cb05e19aa
cn.herodotus.engine	oss-sdk-minio	3.0.6.3		05b2c1bc1d4f87bfc245639b5959b99ea1ece62a
cn.herodotus.engine	oss-sdk-minio	3.0.6.4		4af3c853b24b813b6d14e2768a24af4113dc0b5d
cn.herodotus.engine	oss-sdk-minio	3.0.7.0		4bb000f82efa5a6891cd778525ffac6a2179d73f
cn.herodotus.engine	oss-sdk-minio	3.1.0.0		48017d4d04ee2ab70ca8cd32dbcc64bbc017b7f9
cn.herodotus.engine	oss-sdk-minio	3.1.0.1		9c41248f6e1f4c694da5f4cc1e90991fab3a80bf
cn.herodotus.engine	oss-sdk-minio	3.1.0.2		8d29be66305d5ef442edaaebf7099c6577c32c45
cn.herodotus.engine	oss-sdk-minio	3.1.0.3		8be741a06bcd7ec52afff28c190fe83af78efff7
cn.vonce	vonce-sqlbean-java	1.7.0-beta1		66581d6be0d63287692888faf364a55d5b251f9e
cn.vonce	vonce-sqlbean-java	1.7.0-beta2		6d4d4748a54f152dd67253348edac6bc0a2406b8
com.aoodax.jvm.common	rest-dto	0.0.1		19e01dea336eae089e6ce99834f452877783ac89
com.aoodax.jvm.common	rest-dto	1.0.0		f77da9463ac1ced345133a1d7f8b13c0f38b8d7c
com.cedarsoft.spring	rcp-minimal-non-jide	1.2.1		52df043d0e47c295f0da37121b39a75e19d199da
com.cedarsoft.spring	rcp-minimal-non-jide	1.2.2		f262b00e39283164c2a3ca95d208469f74d4d591
com.datasonnet	datasonnet-mapper	1.0.4		151f984f706024d82decb31174d4555f1ebff4ee
com.datasonnet	datasonnet-mapper	1.0.4	docker-info	c56eb527f93d7088099bc688a089d03df2bb27e1
com.datasonnet	datasonnet-mapper	1.0.4	jar-with-dependencies	6d106f52ca1adcdcfe9e8f010de3c8b0584f63f0
com.datasonnet	datasonnet-mapper	2.0.2		ab3efef8ebb849ee68a68d34910ac5dc9005d934
com.datasonnet	datasonnet-mapper	2.0.2	jar-with-dependencies	7195fd12e12df5ba2f6498fc3e95694681ef8adb
com.datasonnet	datasonnet-mapper	2.1.0		a8f12263faa95576e4aa0e65180106600720e97b
com.datasonnet	datasonnet-mapper	2.1.0	jar-with-dependencies	63eac0ad07a9373a945c627caff965a44085f7fd
com.datasonnet	datasonnet-mapper	2.1.1		5f46bda9433ce61e6246a077e9da4fa1d5d4c5f9
com.datasonnet	datasonnet-mapper	2.1.1	jar-with-dependencies	9aa5655288a3a0b3c981c6b7de500b6935a01b3a
com.datasonnet	datasonnet-mapper	2.1.2		9ee2e0b5483141a9ea1c7fd81f7d7245064a946a
com.datasonnet	datasonnet-mapper	2.1.2	jar-with-dependencies	e62f8cad17882ad97794590a8abf6c238b940073
com.datasonnet	datasonnet-mapper	2.1.3		5c6b5735d45e732403c557dcaff574f5a71a7d89
com.datasonnet	datasonnet-mapper	2.1.3	jar-with-dependencies	daad2390e003ec49dcb5abbc345f9cf929b306e1
com.datasonnet	datasonnet-mapper	2.1.4		287a8390e7f80dfba8902cde8d1ebe2a8a390ec6
com.datasonnet	datasonnet-mapper	2.1.4	jar-with-dependencies	1400a4bc4ee5043da75977b4d7f644da8d99a6e6
com.datasonnet	datasonnet-mapper	2.2.0		9b6dc8e30ea6b88fe20ac22e17c0fde2b0973547
com.datasonnet	datasonnet-mapper	2.2.0	jar-with-dependencies	d416cc98b61d7eec561942cd50d66d5316752b30
com.datasonnet	datasonnet-mapper	2.5		3664ab7dac4ad324659c865a17460bd958f8c531
com.datasonnet	datasonnet-mapper	2.5	jar-with-dependencies	e38d2657a5cd1c296cc23e6f5d68d55d1066aa8d
com.datasonnet	datasonnet-mapper	2.5-jakarta4		be64ee6e7375051fb9b0c87c03be1839e40b0933
com.datasonnet	datasonnet-mapper	2.5-jakarta4	jar-with-dependencies	de70f682784a96e3eac10940b41957653773a5ed
com.datasonnet	datasonnet-mapper	2.5.1		1e1ea198241978e9b52d0b4dd94920b0ac51ddbd
com.datasonnet	datasonnet-mapper	2.5.1	jar-with-dependencies	d5a35fe1d7ebb8be641a5df74c85add14d54debb
com.datasonnet	datasonnet-mapper	2.5.2		aa89592b94ffac7352a9c0d12d2721813c005483
com.datasonnet	datasonnet-mapper	2.5.2	jar-with-dependencies	16c8cf5a5012e14fd1e33aaff98a8e0d028f36ad
com.datasonnet	datasonnet-mapper	2.5.2-jakarta4		b9d9e1d85f71be731c6a4550bd442e13b0d3fb40
com.datasonnet	datasonnet-mapper	2.5.2-jakarta4	jar-with-dependencies	ad1165d08c542560748e271374299347b6ec7683
com.datasonnet	datasonnet-mapper	3.0.0		1f7fad0da09da70d765a24093b0662d1999fbc79
com.datasonnet	datasonnet-mapper	3.0.0	jar-with-dependencies	2a05318704de7312c7ac9b6f4b01622ec7fc63bb
com.datasonnet	datasonnet-mapper	3.0.0-RC1		52fcbd249d01af8bdafe095b0452726802d65365
com.datasonnet	datasonnet-mapper	3.0.0-RC1	jar-with-dependencies	7f812fb54ca8288b444a1a312edc7b4592ea5bad
com.datasonnet	datasonnet-mapper	3.0.0-RC2		9c3645c890081fe1ae31e1cd83d1e12b365a1032
com.datasonnet	datasonnet-mapper	3.0.0-RC2	jar-with-dependencies	bc21b49ae086f628492bc7b7a12abb21def08e3f
com.datasonnet	datasonnet-mapper	3.0.0-RC3		8f9e8240137da3ec59f5fc1af549b97fc97571e2
com.datasonnet	datasonnet-mapper	3.0.0-RC3	jar-with-dependencies	8d2cbc020a2a2fb8da9e263bfbc15840df4a5a89
com.denormans.facebook-gwt	parent	0.5.5		N/A
com.denormans.facebook-gwt	parent	0.5.6		N/A
com.denormans.facebook-gwt	parent	0.5.7		N/A
com.divpundir.mavlink	api-linuxarm64	1.2.0		N/A
com.divpundir.mavlink	api-linuxarm64	1.2.0-alpha		N/A
com.divpundir.mavlink	api-linuxarm64	1.2.0-alpha.2		N/A
com.divpundir.mavlink	api-linuxarm64	1.2.0-alpha.3		N/A
com.divpundir.mavlink	api-linuxarm64	1.2.0-alpha.4		N/A
com.divpundir.mavlink	api-linuxarm64	1.2.0-alpha.5		N/A
com.divpundir.mavlink	api-linuxarm64	1.2.1		N/A
com.divpundir.mavlink	api-linuxarm64	1.2.1-alpha		N/A
com.divpundir.mavlink	api-linuxarm64	1.2.2		N/A
com.divpundir.mavlink	api-linuxarm64	1.2.2-alpha		N/A
com.divpundir.mavlink	api-linuxarm64	1.2.3		N/A
com.divpundir.mavlink	api-linuxarm64	1.2.5		N/A
com.divpundir.mavlink	api-linuxarm64	1.2.6		N/A
com.divpundir.mavlink	api-linuxarm64	1.2.6-alpha		N/A
com.divpundir.mavlink	api-linuxarm64	1.2.7		N/A
com.divpundir.mavlink	api-linuxarm64	1.2.7-alpha		N/A
com.divpundir.mavlink	api-linuxarm64	1.2.8		N/A
com.dua3.meja	meja-swing	2.4		01d6228b87017dc3a36ea2f6388b83a8fe55f4f8
com.dua3.meja	meja-swing	3-BETA10		81cdd2cbdc7180a28989b5fc42ae297020c45744
com.dua3.meja	meja-swing	3-BETA11		05f1bfefac0b7d17d563de928afa3c8e96f16f78
com.dua3.meja	meja-swing	3-BETA12		8d5726b8249cd4ce7448013a8b3bc8e488a44dae
com.dua3.meja	meja-swing	3-BETA13		f6078bd1e58f18c138e7c5da68d55b97d95daa8c
com.dua3.meja	meja-swing	3-BETA15		7960a9ad04795c65dd67447c75f41b6b2e69cfdd
com.dua3.meja	meja-swing	3-BETA16		5ed1de5a4da506fbc77489bb2f2dce9d777e3b18
com.dua3.meja	meja-swing	3-BETA17		faf5093a75959a097cac2e55908b7732983252f6
com.dua3.meja	meja-swing	3-BETA18		f5a524c171f0feb26505b2fa937d5ea6b9badef2
com.dua3.meja	meja-swing	3-BETA19		773f8012210e93045d2e14d8221c1ab69d7b55d3
com.dua3.meja	meja-swing	3-BETA20		c9d1ac97c4771d6c3f094d58e01b95b0141ba4bf
com.dua3.meja	meja-swing	3-BETA21		97f8aa25471e599bfcc906ed898a78c878d0fac9
com.dua3.meja	meja-swing	3-BETA22		3a7e18d977639500df781428ce0f4f10b4b695d1
com.dua3.meja	meja-swing	3-BETA23		7978b8ab3cd2c60265eafa9ecfce357360bed054
com.dua3.meja	meja-swing	3-BETA24		224c05daf9bc32c95f519f0e3b0801f2bb03a3ad
com.dua3.meja	meja-swing	3-BETA25		2bb1f9724ea3d6191542fba0298b99c3975c5cef
com.dua3.meja	meja-swing	3-BETA26		beab8d413921190367ee22b9e641441339740ad6
com.dua3.meja	meja-swing	3-BETA9		22015369731bd9fe54971011a52de5c76482a5ad
com.dua3.meja	meja-swing	3.0.0		7fcf579d5aa5174521fcb4184d5e82765660af32
com.dua3.meja	meja-swing	3.0.0-RC1		a0a65d178e63513bffb825f9b270c06af1cd22bf
com.dua3.meja	meja-swing	3.0.0-RC2		7b7bd15994c5889d427f7d8b9f81ed58468159a5
com.dua3.meja	meja-swing	3.0.0-RC3		e2edf2327ecc339bec55453a7683b312f8642bb5
com.dua3.meja	meja-swing	3.0.0-RC4		d0515c7471678544bbcf651965955096bc1eec05
com.dua3.meja	meja-swing	3.0.0-RC5		8439577d42f584b84e2ff040817ffae728d3d609
com.dua3.meja	meja-swing	3.0.0-beta3		e37bbd3372705b0cbb610a2782b352dd10fcaaf7
com.dua3.meja	meja-swing	3.1.0		41b7a911b15ddae0f14ea8fdde43ff61c1ebbedb
com.dua3.meja	meja-swing	3.1.0-RC1		2a8f047f7763ccb42d3573b3ecbcbc68694f18e1
com.dua3.meja	meja-swing	3.1.1		00e678fb11b4055f97eb4fd9fdbba085be69a488
com.dua3.meja	meja-swing	3.1.2		a320468dab6e967ad5b085c26d68dc5984264884
com.dua3.meja	meja-swing	3.1.3		2f9464f1bb54157d01bbf9cf1b732de7acdc2ae2
com.dua3.meja	meja-swing	3.1.4		ce0a528073ca4a05bfb461b3f4c9be134ac78884
com.dua3.meja	meja-swing	3.1.5		3ad0a3328cf9d7d7fd821b9902cb3a6c911b69d5
com.dua3.meja	meja-swing	3.1.6		60c9fd4686448df5a92b89c389911b9cc5672b3d
com.dua3.meja	meja-swing	3.2.0		f0e980c88b0a9e4c570a6963359548abe3ddfbdd
com.dua3.meja	meja-swing	3.2.1		f39451807089490dbcdfb6f8baf66b98283b9320
com.dua3.meja	meja-swing	4.0.0		51381fdd3429d4d149e67ed028d3dd385544c7ad
com.dua3.meja	meja-swing	4.0.0-M1		99db2e3187edef10ec56608f98de8d4b1e2515bd
com.dua3.meja	meja-swing	4.0.0-M10		aaf6eaf84f1adf7cf14f36a788b8fb6f1b1b41a0
com.dua3.meja	meja-swing	4.0.0-M10.1		388b8bf326911e6fa05732a1553fcd4d80d83210
com.dua3.meja	meja-swing	4.0.0-M11		71afe376a7232827ae2179af75b4285bc2d148a9
com.dua3.meja	meja-swing	4.0.0-M12		c1496abf223b5f27f9dfb72491564da94131f1c7
com.dua3.meja	meja-swing	4.0.0-M2		f3e8a3f3da96f7c49700dd65bb58e831359e372d
com.dua3.meja	meja-swing	4.0.0-M3		854ca325da1524d46f972fd3039574acbe08a9a7
com.dua3.meja	meja-swing	4.0.0-M4		2c2fd348ae98e9e4c197eb67f669b8e0e134c37d
com.dua3.meja	meja-swing	4.0.0-M5		8d47eff0f34d7506cd402c8eccaa85c013f42b01
com.dua3.meja	meja-swing	4.0.0-M6		0152c2373726c67ba9aa399ea914ec800ee2b6f6
com.dua3.meja	meja-swing	4.0.0-M7		cc7c77cd9b4b325407fa890e6f8934f1eca9c28b
com.dua3.meja	meja-swing	4.0.0-M8		23b8ff97b9f0dc91d66b14d5fca7ad44418781fc
com.dua3.meja	meja-swing	4.0.0-M9		61cce6074ccd5cc12a598326aa093861a0db934f
com.dua3.meja	meja-swing	4.0.1		c521c201adae4a3be095e357e52ea125ccdd4dc4
com.dua3.meja	meja-swing	4.0.2		f6f5ed7d4af3367196f16fc6b5275c705d429e6c
com.dua3.meja	meja-swing	4.0.3		1d5463c55329b835f29ff8b8a65b095598d4bed2
com.dua3.meja	meja-swing	4.1.0		17737e84c5c79927c9a3edabf024055d99d56cad
com.dua3.meja	meja-swing	4.1.0-beta1		25fab06873cba487175672df2a931d905b0baa41
com.dua3.meja	meja-swing	4.1.0-beta2		df9742f1a06acbd123b6b90e373dbe39d840fa12
com.dua3.meja	meja-swing	4.1.0-beta3		40636c8728e4f6d74fcd563547647d9d608fe939
com.dua3.meja	meja-swing	4.1.0-beta4		badf514728d017dbe4966bc2047c65ebcc658d68
com.dua3.meja	meja-swing	4.1.1		e47bfbc7dd0d52c618f77a73e0b9db8c5df0d993
com.dua3.meja	meja-swing	4.1.2		6bbbff583738f0e477025cdb1ee625d3d42dd9e0
com.dua3.meja	meja-swing	4.1.3		f29e30e6289f5845dedf8e9e7804b8079576ced5
com.dua3.meja	meja-swing	4.1.4		1a1e39c322465687345e2be4417db805895b0694
com.dua3.meja	meja-swing	4.1.5		9e041b05d4cdee0ea058913a24cc090772525f7c
com.dua3.meja	meja-swing	4.1.6		a35bb763a4c7b4a7d25caac08bb392dc479597ed
com.dua3.meja	meja-swing	5.0		d6748862ed4930cd869531a2b4a6441c8804a6f2
com.dua3.meja	meja-swing	5.0-BETA1		d0099bf5d483df5f742eb152105a45e2da6d90ea
com.dua3.meja	meja-swing	5.0-BETA2		b199a991ae8e604b97960de14b0d5a9b21d08c99
com.dua3.meja	meja-swing	5.0-BETA3		ea9cf9faf3b0d8e3d0bd7d83eea4509c0c32456e
com.dua3.meja	meja-swing	5.0-RC1		d38ed47af3e2a5b44e41645189e9f4df363b0bc4
com.dua3.meja	meja-swing	5.0.1		f12f3e65622888eb7c09cc1b7eeba4c52384bc07
com.dua3.meja	meja-swing	6-BETA-1		fad4183452d5f475b0fe0ea2f521c274b6ce572a
com.dua3.meja	meja-swing	6-beta-2		0bff00eb3f1abfb432bcc1630c8086a620f1d8be
com.dua3.meja	meja-swing	6-rc		0d4e8f76d1a9f45a9266d6913a42d42b5e58b090
com.dua3.meja	meja-swing	6-rc-2		548c9fb414b22d38857e0e55adb4b1f65538a969
com.dua3.meja	meja-swing	6.0.0		f0eb7292502f962a53d7f6e19572f6cbb91cea08
com.dua3.meja	meja-swing	6.1.0		046fddd027dbaa6b65db8801591ef55718f20e64
com.dua3.meja	meja-swing	6.2.0		e0417c3b9b60134fc520b0dbd8daecc12ffd72cb
com.dua3.meja	meja-swing	6.2.1		33cc2930330550f9016e02eddd7644f31f67c1ed
com.dua3.meja	meja-swing	6.3.0		76fab58a3fe17fc63ad07217e5ccef92b65afb62
com.dua3.meja	meja-swing	7		63b20528230f4ad36d27cc65e65075880c44c1bc
com.dua3.meja	meja-swing	7-RC		e625817e8f05fa74475245459ad948d48e75e9cc
com.dua3.meja	meja-swing	7.0.1		b965b600ff8f4c316f2e9555fd6175b9ac1d8393
com.dua3.meja	meja-swing	7.0.2		4e65577e7e6f233b606a144554de2a1be9497f0f
com.dua3.meja	meja-swing	7.1.0		b3c20d7cb608e4d36f4b1ce56d3fc6e3edd1a1f1
com.dua3.meja	meja-swing	7.2.0		ccb5bb821d8ce4e2c771941186b1bf99e7a88baa
com.dua3.meja	meja-swing	7.2.1		88b464ba6930db498cd0b094c0f96e5f314518f4
com.dua3.meja	meja-swing	7.2.2		9f895cb21a7690281f24539a1628d04d92d45913
com.dua3.meja	meja-swing	7.2.3		38490b5a7661390743f9a5547c6a312ab8e145e0
com.dua3.meja	meja-swing	8.0.0		0450c68dafa8201e8c73c79a9cc5ec573352161a
com.dua3.meja	meja-swing	8.0.1		fd28f5f9b4896255048af374e19cf12753ad0a98
com.dua3.meja	meja-swing	8.0.2		3914c2fe51426224e1b16f3ed03d2232c388033c
com.dua3.meja	meja-swing	8.0.3		587c5cfa62f835eac4994880c59271ebd7177418
com.dua3.meja	meja-swing	8.0.4		6ca0660ba1e5c65cc7a2b1e64d0a9c8b3af782cd
com.dua3.meja	meja-swing	8.1.0		4d443f464e11b97ec671b85fb1527ae24a9b2d1d
com.gabrielittner.renderer	connect-flow	0.10.0		N/A
com.gabrielittner.renderer	connect-flow	0.10.1		N/A
