com.codacy	foundation-cmd_2.12	10.5.0_play_2.6		debabd4ccee40b8165900eeef80898cd44d45887
com.codacy	foundation-cmd_2.12	10.5.0_play_2.7		f8bb7a4ebe085b0f1555254fc6731a30e8b05d8a
com.codacy	foundation-cmd_2.12	10.6.0_play_2.6		589c8a4be219bef931bef65e11e2e031ad08d468
com.codacy	foundation-cmd_2.12	10.6.0_play_2.7		5eeb4ea2c4531f6724f3e24f0c09d83950d91035
com.codacy	foundation-cmd_2.12	10.7.0_play_2.6		29d265a72eef815e26070a168f261caed55bf00d
com.codacy	foundation-cmd_2.12	10.7.0_play_2.7		f4f8cf345b0f66be4efcd4e70c0cf9ff4b25f7bd
com.codacy	foundation-cmd_2.12	11.0.0_play_2.6		89f0308dde9d8bca440b9d892a0bb8a1d5fca8bb
com.codacy	foundation-cmd_2.12	11.0.0_play_2.7		ab3681a48518fa12eec56ae2c6802fe708f52ceb
com.codacy	foundation-cmd_2.12	11.0.1_play_2.6		68d2728a7220ea569947f4872db91d41b768b297
com.codacy	foundation-cmd_2.12	11.0.1_play_2.7		6d41549d3850de1488cdf9c1332f4ae56b837e6b
com.codacy	foundation-cmd_2.12	11.1.0-scala213supporttest.2.bca0241_play_2.6		ce92910ea131c2aa71d61455aa7899f94bb03e60
com.codacy	foundation-cmd_2.12	11.1.0-scala213supporttest.2.bca0241_play_2.7		b5d3bc9ee3e527201a449c2deb9ff104b4e3f193
com.codacy	foundation-cmd_2.12	12.0.0_play_2.6		fe3364ba5f0ad9c32bce6c8d1344b46edad3ec6e
com.codacy	foundation-cmd_2.12	12.0.0_play_2.7		e062187d46a3de860748d46076d6057463d5d8a2
com.codacy	foundation-cmd_2.12	13.0.0_play_2.6		b8346122d9af7e5851e7110ded19692debf6fcfb
com.codacy	foundation-cmd_2.12	13.0.0_play_2.7		62f1f57aa34964febe4b135315558178eda8fd58
com.codacy	foundation-cmd_2.12	13.1.0_play_2.6		1041152cbf8e9be476640aab11056e3e8d50cd9c
com.codacy	foundation-cmd_2.12	13.1.0_play_2.7		2d9a807fe8ebe862234fab5d2b8ee38becfea11a
com.codacy	foundation-cmd_2.12	14.0.0_play_2.6		0e02e2036210169195d7ef7613939847f5cde956
com.codacy	foundation-cmd_2.12	14.0.0_play_2.7		40cafaef4a5bcca58326c306976b3d45cb18a025
com.codacy	foundation-cmd_2.12	14.0.0_play_2.8		2fd41364266c7231dc6d5b7a6ab7cd9ab07aab46
com.codacy	foundation-cmd_2.12	14.0.1_play_2.6		d4f24ea62f546724646ca80ad5136e43b38a9135
com.codacy	foundation-cmd_2.12	14.0.1_play_2.7		eb75ec308f49d11bace2e0ea370ce6ec079bae4c
com.codacy	foundation-cmd_2.12	14.0.1_play_2.8		4e4f7b6289de6a526f30016b408331d037400da1
com.codacy	foundation-cmd_2.12	14.0.2_play_2.6		f0fbf0ac395e5b4adcafb92b7ad2c0ccf4aaf51c
com.codacy	foundation-cmd_2.12	14.0.2_play_2.7		032edc8492ec63ce0a1d19cda91e27ba622ff575
com.codacy	foundation-cmd_2.12	14.0.2_play_2.8		339060b53896fed52634a5c221924df26d2e0166
com.codacy	foundation-cmd_2.12	14.0.3_play_2.6		053e35add06485996e2aa757a5d4b483aad48f8c
com.codacy	foundation-cmd_2.12	14.0.3_play_2.7		8124b29a39e3d2a6043ef4bb5df086b85dc0f0a1
com.codacy	foundation-cmd_2.12	14.0.3_play_2.8		74520b0ad02e07537d9b48d3fb9753afeb51350c
com.codacy	foundation-cmd_2.12	14.0.4_play_2.6		033031feb4dcb8268dbd01c06f6569ece445d724
com.codacy	foundation-cmd_2.12	14.0.4_play_2.7		be223ddb3b8605efc8f0219d1da264720fc56107
com.codacy	foundation-cmd_2.12	14.0.4_play_2.8		1465561dd121dae92c4cd4c45d2f65e2cdc79067
com.codacy	foundation-cmd_2.12	15.0.0_play_2.6		a481b07ba5f7773c5f0a3b76fc0a1c4e9f6f6f43
com.codacy	foundation-cmd_2.12	15.0.0_play_2.7		019f0d28cfa54b9cc999219f1a721c30fa57a9b8
com.codacy	foundation-cmd_2.12	15.0.0_play_2.8		ccbaa9f77b76118111d95e24c20430aac7ebdcfe
com.codacy	foundation-cmd_2.12	15.1.0_play_2.6		bbfa842d7fb66fa59d660a1759a3bbaaed4f7a93
com.codacy	foundation-cmd_2.12	15.1.0_play_2.7		17c7e22b253802e27f1c86694dbd176fe868f92e
com.codacy	foundation-cmd_2.12	15.1.0_play_2.8		034d4004b30eb411bed050aef9af6cd5d354cb68
com.codacy	foundation-cmd_2.12	15.1.1_play_2.6		fbc7064f28d2a7fac7ada1fe6df047423af69d97
com.codacy	foundation-cmd_2.12	15.1.1_play_2.7		2ee7e1a02c817d0f54d9a606d75bc5310b001d13
com.codacy	foundation-cmd_2.12	15.1.1_play_2.8		a63486c3e8b8ec7afb05138769c104e75762b455
com.codacy	foundation-cmd_2.12	15.1.2_play_2.6		aca2f44709fd05beb84b087035f77b0e45469f63
com.codacy	foundation-cmd_2.12	15.1.2_play_2.7		c6840f7937840b833a08cdddd40efd2cf9c68f6c
com.codacy	foundation-cmd_2.12	15.1.2_play_2.8		124a249c2f81b337184e21e5c27811468d903d24
com.codacy	foundation-cmd_2.12	15.1.3_play_2.6		459c7dac92edb7a6ce8e7d10d05f1e719257d165
com.codacy	foundation-cmd_2.12	15.1.3_play_2.7		85165f255a5b03a93c1e525267965f2bbdd9f200
com.codacy	foundation-cmd_2.12	15.1.3_play_2.8		9bda64914a99d840609b3a56dc5589986efbde6c
com.codacy	foundation-cmd_2.12	15.2.0_play_2.6		b483db53112f95f9666edce4c7993ee85ce45147
com.codacy	foundation-cmd_2.12	15.2.0_play_2.7		64f275c30e5e31ddc865abfd72f09334cf6ddb35
com.codacy	foundation-cmd_2.12	15.2.0_play_2.8		f85e2211e4a96c3d91dbd55fcc810bd39c4b8a54
com.codacy	foundation-cmd_2.12	16.0.0_play_2.6		e717c20e21bc016ad74e7ce3c01ef5e187a7947e
com.codacy	foundation-cmd_2.12	16.0.0_play_2.7		ae5653975f55d1addf491fbfdaa97680638ad55c
com.codacy	foundation-cmd_2.12	16.0.0_play_2.8		8a237c584a65c0fcfdfd439fa76daa134039dc02
com.codacy	foundation-cmd_2.12	17.0.0_play_2.6		801e77fa1f23d11bdc510e8705425bc5a966dfae
com.codacy	foundation-cmd_2.12	17.0.0_play_2.7		25cde57ef9f7870b0e75a05afb261d3ebed66477
com.codacy	foundation-cmd_2.12	17.0.0_play_2.8		d0701bfc554bb588e8bf634c79d751465949eee5
com.codacy	foundation-cmd_2.12	17.0.1_play_2.6		5e16e9f5e034735365038a42fddc584a08dd8d64
com.codacy	foundation-cmd_2.12	17.0.1_play_2.7		964e1ce1e3dfa09c10bfce3ad31ce3eada3cceb8
com.codacy	foundation-cmd_2.12	17.0.1_play_2.8		00b7a3819c3ebf18f55a221192f7b5eeb1caa269
com.codacy	foundation-cmd_2.12	17.1.0_play_2.6		9225bf440d3e6fcf59f71e8bf7551740ab3bc28b
com.codacy	foundation-cmd_2.12	17.1.0_play_2.7		a2e68f5dcec7e4ab34c1feb90049e45f6d35afbb
com.codacy	foundation-cmd_2.12	17.1.0_play_2.8		f6551ab5d4ae56572b0626df304fd6b402171d6e
com.codacy	foundation-cmd_2.12	17.1.1_play_2.6		a0c50713bae52c5c1167157ce8bb33bb9fe2866b
com.codacy	foundation-cmd_2.12	17.1.1_play_2.7		9a724464e3659ae596f13debfc37ad03d5db39ca
com.codacy	foundation-cmd_2.12	17.1.1_play_2.8		1c166ab6129254f490bf175bdb11e810e774f70a
com.codacy	foundation-cmd_2.12	17.1.2_play_2.6		cad23d7e916fd8f2adc7f43986b619a8e32e226e
com.codacy	foundation-cmd_2.12	17.1.2_play_2.7		05066c1a4ae64cb8d7d3925c4570259c60e206c2
com.codacy	foundation-cmd_2.12	17.1.2_play_2.8		2dfd7cf5652a0005d40b1ecddc51df76c597cc7a
com.disneystreaming.smithy	aws-iotsecuretunneling-spec	2023.02.09		23a2ff1b59409104d2bb617351926d03ba9d92f1
com.disneystreaming.smithy	aws-iotsecuretunneling-spec	2023.02.10		f76ecee512bcdcefd6db39893c7026bcd557e112
com.disneystreaming.smithy	aws-iotsecuretunneling-spec	2023.09.22		8e1428eda792e18e2cefad6df01afb2c8a51e490
com.disneystreaming.smithy	aws-iotsecuretunneling-spec	2023.14.24		c5fe39e85a5d898f6443e37518313f8a52804147
com.disneystreaming.smithy	aws-iotsecuretunneling-spec	2023.22.04		8dbc7c1c75f6ebd1bb638b7e5b8287b2c2fa5091
com.disneystreaming.smithy	aws-iotsecuretunneling-spec	2023.22.13		3cbddc874f5c54fa2f89be141b6325faa574cfa3
com.disneystreaming.smithy	aws-iotsecuretunneling-spec	2023.23.06		7a448c9796dae7ddb356782bc3b2d9470269eadc
com.disneystreaming.smithy	aws-iotsecuretunneling-spec	2023.23.30		e449b8a40e906324af72bfc1aa5ede562f75d972
com.disneystreaming.smithy	aws-iotsecuretunneling-spec	2025.03.31		6595656eaf0a67a65444328cb7d5709a30249aab
com.disneystreaming.smithy	aws-iotsecuretunneling-spec	2025.04.08		1fe9e73223c69103b676dce7f49de9d99c732d79
com.eorionsolution.camunda	user-settings-plugin	1.1.0		de5926b8117fbc111a462324a9265c2e65c7c53e
com.folio-sec	reladomo-scala-twitter-18.7-common_2.11	17.0.0		dee1e7a11098c1bda0da710d08b27aa748ae579c
com.gbasedbt	jdbc	2.0.1.26		e82ee1e156fb9734f05abc03ac762c46ffc953c3
com.gbasedbt	jdbc	2.2.0		33789ed09670ab4aa9eb13a29267bfe1ae0567f7
com.gbasedbt	jdbc	3.3.0.3		d6e4dd367b3d59521765d7de70729febf3c52956
com.gbasedbt	jdbc	3.3.3.11		6b8155900ca2d1c31ba2f7a44f2de867b079b8e0
com.gbasedbt	jdbc	3.5.0.32		53b83a61fc348e8ab8bff5a28c2c09c23f8f967a
com.gbasedbt	jdbc	3.5.1		650aaeb1b1b9bc6d2c46bdcb2dae1a9f354706a8
com.gbasedbt	jdbc	3.5.1.32		d5545c7d74e03976563305d9b5c3b0946c78f023
com.gbasedbt	jdbc	3.6.1.2		e28061f862c867176ae0773036d81c624797ac62
com.gbasedbt	jdbc	3.6.2.2		07073f07136934291a6f5d67aa156660a381912c
com.gbasedbt	jdbc	3.6.3.2		535c0939b68c7c208ff14b53625fbc99f9a21a54
com.gitee.l0km	mtfsdk-base	1.0.0		19de987bc3996b1a3c8cc79517952356d9cfab8c
com.gitee.l0km	mtfsdk-base	1.0.1		88c3ac526b1b1e2fdcb8e47ff38692105f28bfea
com.gitee.l0km	mtfsdk-base	1.0.2		e4b104cb703b059f83c2b333c80a9ea185d9136f
com.gitee.l0km	mtfsdk-base	1.0.3		4a31a1345c92f877329fffebe3b9e1491fffa07d
com.gitee.l0km	mtfsdk-base	1.0.4		1128bf9d4c3e99aea6043185b9f82295bf5d235a
com.gitee.l0km	mtfsdk-base	1.1.0		f172753aed6337d76a74187acc853c26928d57de
com.gitee.l0km	mtfsdk-base	1.2.0		4bc63c2d60488c6c2663220cb6cbe1beb5b28dea
com.gitee.l0km	mtfsdk-base	1.3.0		0908930f26ecf10b1bb82a32babfbc0c9f3f0257
com.gitee.l0km	mtfsdk-base	1.3.1		8f7a681ccd311e1e379063e3aaab555a3561f9d4
com.gitee.l0km	mtfsdk-base	1.3.2		a887958eb687549190c7b2ebb752662869b4efc0
com.gitee.l0km	mtfsdk-base	1.3.3		e079852208ea72880dbf5f7112810151358a0796
com.gitee.l0km	mtfsdk-base	1.3.4		6ae38c104c8b35539b031b9452fc87d1ff5f4f01
com.gitee.l0km	mtfsdk-base	1.3.5		1b2319f5a97b34849512877dbfc2c9caf7fe1072
com.gitee.l0km	mtfsdk-base	1.3.6		40545bee9634e1216dc3b21d8e986663ec49db31
com.github.houbb	idoc-ftl	0.0.1		95e015159e7aace9d08dfdde47107c5f9c34ef17
com.github.houbb	idoc-ftl	0.0.2		124a2108750caeb9cb08daa581393013e2ead198
com.github.houbb	idoc-ftl	0.1.0		27f3f7ba239eb93dd55406595e8a40d8b7b0839f
com.github.houbb	idoc-ftl	0.2.0		bae60a73a25beb03fac38ba26d09163d084a034b
com.github.houbb	idoc-ftl	0.3.0		6d862eab5ae9497e031bd67b7eccacb06114f6aa
com.github.jonasrutishauser	javax-cdi-instance-handle	1.0.0		8e5127e1b64cd9cfcceffffe31e0c3f9bd43247a
com.github.jonasrutishauser	javax-cdi-instance-handle	1.0.1		31d18c29656d55b416bb6e9e6e459898de2984ea
com.github.jonasrutishauser	javax-cdi-instance-handle	1.0.2		35522caf41ab9ae93accf26d67b64960eafdea81
com.github.ljtfreitas	java-restify-oauth2-authentication	2.0.0		7bd2c68151393461ea7a7ca3b774cc2e79b1d978
com.github.ljtfreitas	java-restify-oauth2-authentication	2.1.0		4c3d6b2d2d8bd3f6695948b35ed4eaa7de26a462
com.github.monnetproject	lemon.generator.util	1.18.4		a8ed404cb41f94606e13e18ba5e288d3189d9f3b
com.github.nblair	pipeline	0.2.0-RC1		5a4bb66e3e3dbf43f30da9e1a721f8ff11cc9bc5
com.google.cloud.genomics	gatk-tools-java	1.0		f8dec68b775168e7b3708312c9c819a8236de040
com.google.cloud.genomics	gatk-tools-java	1.1		9f56f8b454c4f92e89635698159fe4152e055f66
com.harium.api	checkip	1.0.0		d39dd670a065c8bc80baeda01fd24075b92cdda4
com.inteligr8.ootbee	beedk-activiti-ext-archetype	1.0.15		e93e58ff86a19bf8a5e34cd44331879f8ce5e7de
com.inteligr8.ootbee	beedk-activiti-ext-archetype	1.0.16		7f42b99a32f94f14545fbef42d3973f018680637
com.inteligr8.ootbee	beedk-activiti-ext-archetype	1.0.17		e343e94634bd95d7940f2dfe67662405a1e36c70
com.inteligr8.ootbee	beedk-activiti-ext-archetype	1.1.0		21a1ce1a88bfad27788557ffe3231994401b089a
com.inteligr8.ootbee	beedk-activiti-ext-archetype	1.1.1		c3983c909ee547060407ec1994b3cf42407500fb
com.inteligr8.ootbee	beedk-activiti-ext-archetype	1.1.10		8d7f13f1ed1cd5b22319d6dd3d4a5e1b943ea736
com.inteligr8.ootbee	beedk-activiti-ext-archetype	1.1.13		a2e9fdfe68b86b0bff37a490b8ed2ebeff4b6e79
com.inteligr8.ootbee	beedk-activiti-ext-archetype	1.1.2		a9fbda564aed0d9c914b127d839fe7923b32e717
com.inteligr8.ootbee	beedk-activiti-ext-archetype	1.1.3		dd44383111532ff0450a933f504137a05b84f181
com.inteligr8.ootbee	beedk-activiti-ext-archetype	1.1.4		055d4bd0255515f2d2eb471021910ca762bbe6d4
com.inteligr8.ootbee	beedk-activiti-ext-archetype	1.1.5		1c26592fb722102a0764034e6369b8e8e2f77635
com.inteligr8.ootbee	beedk-activiti-ext-archetype	1.1.6		9755fec291e821e18ba0888664df65d70ce0be46
com.inteligr8.ootbee	beedk-activiti-ext-archetype	1.1.7		9c190a8c21de6185089d23066112fa52e7dcbce8
com.inteligr8.ootbee	beedk-activiti-ext-archetype	1.1.8		2eabb3a3d6b4c60e4da2b28b3d294a23618e039d
com.inteligr8.ootbee	beedk-activiti-ext-archetype	1.1.9		3f51053fce6b2058149342b692ac2213481df592
com.lihaoyi	ammonite-repl_3.2.2	3.0.0-M0-58-9ccdff7c		2f4314f367b181e5b9bf8cb5ba642ee01eaf6904
com.lihaoyi	ammonite-repl_3.2.2	3.0.0-M0-59-cdeaa580		a4dc1a423242c9fdc47d1d7f842ab679c1d85460
com.lihaoyi	ammonite-repl_3.2.2	3.0.0-M0-60-89836cd8		6356007471d0f101e7a0e15b266197b4a875a258
com.lihaoyi	ammonite-repl_3.2.2	3.0.0-M0-62-e40dcc07		ec12febb7762a9589e73bafa9cf6023403a721bf
com.lihaoyi	ammonite-repl_3.2.2	3.0.0-M0-63-18105caa		a01f8a4a1628fe999ab11f65e28d4e927705fd2d
com.lihaoyi	ammonite-repl_3.2.2	3.0.0-M0-64-1010b536		1af9be70f61556e0a5ad84bcaa7cc7105ef8cda4
com.lihaoyi	ammonite-repl_3.2.2	3.0.0-M0-65-d93dec88		ddfd29e6ca26c46f80fa12cb30858b7129ee8ada
com.lihaoyi	ammonite-repl_3.2.2	3.0.0-M0-66-a7c0365c		ad9a6fd8a4f03d6a433e91266551679f1e2e247a
com.lihaoyi	ammonite-repl_3.2.2	3.0.0-M0-67-b3fea31f		ec9bc05f0b84e17018148b772fe39baaab4782f8
com.lihaoyi	ammonite-repl_3.2.2	3.0.0-M0-68-50d39ec4		c0bdedce2b8a134176edb752b728a81a3d3d01b8
com.lihaoyi	ammonite-repl_3.2.2	3.0.0-M0-69-8d1e4600		f6455f4eca5a338c146133036645dd4fde4ecdba
com.lihaoyi	ammonite-repl_3.2.2	3.0.0-M0-70-45c2ae79		577be9ac5a3cfa44ac412bb85012ae9ba9dacfe3
com.lihaoyi	ammonite-repl_3.2.2	3.0.0-M0-71-1e75159e		73346652f492cc3154217cf6de5e5314b6281753
