beehive	beehive-netui-tags-template	1.0-alpha		107d9b918241826488bcf34a6a1cee5b7a142d70
com.51degrees	device-detection.shared	4.4.10		bf68c063dfecdd6b8253aa9c4709bce50e2ec6f3
com.51degrees	device-detection.shared	4.4.100		8682761f0ea6cfbb6af5e8b7b3239dbec9666af4
com.51degrees	device-detection.shared	4.4.101		f1a5693ae87450476cf686041a6e43f3315972c8
com.51degrees	device-detection.shared	4.4.102		6720fe4fb927904698527f6d0cc90430d1deff26
com.51degrees	device-detection.shared	4.4.103		1f1bac408ba00dd822e466d4d4c763f45388d0a8
com.51degrees	device-detection.shared	4.4.104		6b2387257222e5bff362f334e503c13b5badff40
com.51degrees	device-detection.shared	4.4.105		a6a4b6a6b3e17c58f1bde6ecefeb99bd8f262209
com.51degrees	device-detection.shared	4.4.106		3167389a51e8aa9cbb6b9ab7a2d091ea57455f7f
com.51degrees	device-detection.shared	4.4.107		12092f847bbe757023bd2c758f4fef27aa839f21
com.51degrees	device-detection.shared	4.4.108		1e789f1098ca6c053a2594cd80fd61aff6d4bce2
com.51degrees	device-detection.shared	4.4.109		5df1ee37f2db7eb64ad913bf7c5d2031247e0249
com.51degrees	device-detection.shared	4.4.11		f835799dd6d9a8d0ef09bbfe8100977fff69159a
com.51degrees	device-detection.shared	4.4.110		0303a6de0922964df93a31beeec446814349bcf8
com.51degrees	device-detection.shared	4.4.111		f866b7b8deccadbbed101dffeacf3b12792c22bd
com.51degrees	device-detection.shared	4.4.112		7b24ab3fe5acdff00fbaba66c04398f90b687f51
com.51degrees	device-detection.shared	4.4.113		927c0859dd4ab55f49cd5a159e9f704d95bdce73
com.51degrees	device-detection.shared	4.4.114		e753e5888c67bcf6ef399647359ab1bc38c8e840
com.51degrees	device-detection.shared	4.4.115		eaa7be28f07718a3609590209d9d4d54716dea86
com.51degrees	device-detection.shared	4.4.116		8e8b6b637e110480610efbf115d3d5ee165f0c21
com.51degrees	device-detection.shared	4.4.117		5110788c008d90025c5eedc87adc6953245a4fc9
com.51degrees	device-detection.shared	4.4.118		672a5659233de211fa9b6651af2a1d594414ee5c
com.51degrees	device-detection.shared	4.4.119		de2d5017b78f1b83b5dbe13ea2758df99f42067e
com.51degrees	device-detection.shared	4.4.120		885dece6ea92e1007f904a2210438644eff24ca3
com.51degrees	device-detection.shared	4.4.121		4acc2581e6d9b37c299b026b9a5f1413bd1262be
com.51degrees	device-detection.shared	4.4.122		f550ad7dc70781a49b96c722420411c1b96009be
com.51degrees	device-detection.shared	4.4.123		b9fd2f8ba98390f6601bf06248a27de7b2405d5a
com.51degrees	device-detection.shared	4.4.124		fa442ed77d9079ae1e277b5f0bfad334cd453c4d
com.51degrees	device-detection.shared	4.4.125		c1266b8de03cb235ff7104c445684a06ab7b22a2
com.51degrees	device-detection.shared	4.4.126		35e2a24827d47eff09f4c1e968a03b21c8d8d9c8
com.51degrees	device-detection.shared	4.4.127		a864fc11b8ebd35d1412b96a2b5ca25430a7b3fb
com.51degrees	device-detection.shared	4.4.128		7b4159b05f90d101574b231c3db7de9a67f03c1c
com.51degrees	device-detection.shared	4.4.129		4ea08bb6dcd9076bb06efc6b0cdf5ceb901b526c
com.51degrees	device-detection.shared	4.4.130		07a496003d7b9c1828d620c982e122cb629e8ad4
com.51degrees	device-detection.shared	4.4.131		f19155acc7ef32552a7d088797f54bc662f09cf8
com.51degrees	device-detection.shared	4.4.132		febf372cc67cb016269038525be4979a0ff82627
com.51degrees	device-detection.shared	4.4.133		035886ddca2e46d5c023c88b8bbd1eff3ab776da
com.51degrees	device-detection.shared	4.4.134		c736a61e0fa257b773a8423bb680c4a90467f598
com.51degrees	device-detection.shared	4.4.135		c2bf11575519b3d4c68bc0b6884e067ba536b2af
com.51degrees	device-detection.shared	4.4.136		9fa16f09125ef6f448f4dde81eb03d29ee39a04b
com.51degrees	device-detection.shared	4.4.137		6e781d53be399f8549dd77565a1eeee42d7ac98e
com.51degrees	device-detection.shared	4.4.138		921bdad6a914aecc6748d2e855aa10ad6d36fbae
com.51degrees	device-detection.shared	4.4.139		a40b1dbff4e133b428a1f0342cdcbad88e98fe3b
com.51degrees	device-detection.shared	4.4.14		66edebbd201d6fd5aae28aeacd7d4cf6187b647e
com.51degrees	device-detection.shared	4.4.140		1d3ca792030715f552e5db30076a6be96a54e33b
com.51degrees	device-detection.shared	4.4.141		607a110567c31d053a28f1de8ec5f7e1bdb8f367
com.51degrees	device-detection.shared	4.4.142		0094b732bb4144cda032e6c8142df6f81553aa3c
com.51degrees	device-detection.shared	4.4.143		522bf502b742c2daac6f35b4beaeb3d8f00e74dc
com.51degrees	device-detection.shared	4.4.144		d6e021e8e6d377c6c304126a2814b343a9b25a13
com.51degrees	device-detection.shared	4.4.145		cad6286b111be26d4a2788a3460f6dd6fdf2c42e
com.51degrees	device-detection.shared	4.4.146		5b5de57cf45c0b3c4f84cb95ce498e4f7396c9f7
com.51degrees	device-detection.shared	4.4.147		37c5b8e81c07cef81e41e8c660b4cdd92a8cc58a
com.51degrees	device-detection.shared	4.4.148		b427d8e173ef651bed27ba85cb17523182038434
com.51degrees	device-detection.shared	4.4.149		b23048e605a9d35369a1d443940b678e524e64a4
com.51degrees	device-detection.shared	4.4.15		40f5829bb1b35b8aad0120976fa23e9d19589cf1
com.51degrees	device-detection.shared	4.4.150		35e5a497438cb14f8a1634659a27eda41a782569
com.51degrees	device-detection.shared	4.4.151		a1773c1acb142818e5a74e91c14682ccab1d40d8
com.51degrees	device-detection.shared	4.4.152		df7489111a66edd406c454d89eabbf9d3f4ac045
com.51degrees	device-detection.shared	4.4.153		79e0d6be8254f633728b712d5539634a965d166e
com.51degrees	device-detection.shared	4.4.154		140e999e7557d9eb127c6b4d2c1b7d0902115abb
com.51degrees	device-detection.shared	4.4.155		fa5771d9bcab0ca11488f626dd3d74802d0bd32e
com.51degrees	device-detection.shared	4.4.156		8aa1779dad00c7f679c6783b9e40ecf0ef04a31e
com.51degrees	device-detection.shared	4.4.157		2da5f7d955884541e3e2700baa0178caac76783b
com.51degrees	device-detection.shared	4.4.158		013048a10cc3090db38611a2ca7ccc3d0cb646e9
com.51degrees	device-detection.shared	4.4.159		26d4d76204b9a91f3a4e26f7a3ba31e76d8b28a4
com.51degrees	device-detection.shared	4.4.16		589c0538fd58102200fed0381df1333e363e4748
com.51degrees	device-detection.shared	4.4.160		267027f6c284dcaa35b35a5a6c3e8824a812b794
com.51degrees	device-detection.shared	4.4.161		3c67d691725bcafb68ba879d7e3c8f3e7741fe61
com.51degrees	device-detection.shared	4.4.162		fe5d5d0f32347cbd6500d788d8aacdb29018972b
com.51degrees	device-detection.shared	4.4.163		04bfd04e59538d182e1a3759059fd4bf7b38e8c6
com.51degrees	device-detection.shared	4.4.164		c5252f50d751caa0fab3f749a64fd32b21778aff
com.51degrees	device-detection.shared	4.4.165		86fcb497db8aafd49c0f571bb9cf5647eb6abebb
com.51degrees	device-detection.shared	4.4.166		3e82fcb0922d190e2a351285d66cb7dd3e1b2989
com.51degrees	device-detection.shared	4.4.167		8d3186fc5594cfc8100903b69da046bb80ee73d8
com.51degrees	device-detection.shared	4.4.168		24d4b37ae306a21b055db3b1d34e1b75735b73b1
com.51degrees	device-detection.shared	4.4.169		23568ee89c4246caeee5a696b9b34e123884ea54
com.51degrees	device-detection.shared	4.4.17		fa35fc9b6ec6e3a945fb7463adf3883ea650312a
com.51degrees	device-detection.shared	4.4.170		136a076508e015af16efe16360e9cba09f11abba
com.51degrees	device-detection.shared	4.4.171		23ad6db8c7feac937fa51bde645a2b3cd3736a2e
com.51degrees	device-detection.shared	4.4.172		2e2da5b28620465f29b57d658d9cbab92100bbd8
com.51degrees	device-detection.shared	4.4.173		56af1c81c0c4b2f953e13f90b1ade203efcc7caf
com.51degrees	device-detection.shared	4.4.174		0162f7c5c1dc89d6c3aef11456b8b865fe2afa8b
com.51degrees	device-detection.shared	4.4.175		3ca3778c19a25ed0ff0fc2f2e1effc68d30ea3d3
com.51degrees	device-detection.shared	4.4.176		e554afab1774d18a38bf124ef1b1eac3f6de09d0
com.51degrees	device-detection.shared	4.4.177		5c14e1563b1e7c3f49a5e501901aea932562506e
com.51degrees	device-detection.shared	4.4.178		fe6f3488a01bd73e5b00209883a30ba57a2c67cc
com.51degrees	device-detection.shared	4.4.179		1b8544097965727cf60234f61d36fd5bdeee733d
com.51degrees	device-detection.shared	4.4.18		8e847be8f5029b792a64e734a8ecbba7679276a7
com.51degrees	device-detection.shared	4.4.180		ed895243d557020a1b1157197a4bd347ac3f0ece
com.51degrees	device-detection.shared	4.4.181		e5ef60ffba614951e7f8845c91cabd7fccfac65f
com.51degrees	device-detection.shared	4.4.182		489c80d3e7e560602effc5330aa76ff9f33f0fa9
com.51degrees	device-detection.shared	4.4.183		6f34a17eb1073d729a8f0be444d99db2a61aaf3f
com.51degrees	device-detection.shared	4.4.184		15012f0a43b69cb581bad22b3a8ade9d17b5aced
com.51degrees	device-detection.shared	4.4.185		bc3f6b256969d68feb41814e59c4e9ac914c0e07
com.51degrees	device-detection.shared	4.4.186		33364d7b2f85714bc176f243ac7cbd90d869d5d1
com.51degrees	device-detection.shared	4.4.187		8c07cbbfffd97dfc4d8f69b223e7e118f86b0cc4
com.51degrees	device-detection.shared	4.4.188		1fb89b3a13806224ba596dd9a69e675a5d5186d3
com.51degrees	device-detection.shared	4.4.189		68434c1c6540ed1a4ca8f5180c148f473fe9db85
com.51degrees	device-detection.shared	4.4.19		c12923a2ffd76ba6c1f27c97249d32327a232a10
com.51degrees	device-detection.shared	4.4.190		7677dae3d4a4d877384d1e2aaaeedabb0bd55baa
com.51degrees	device-detection.shared	4.4.191		223d9ee7dedf1d8a32f0b2eef8e0c0419263bda5
com.51degrees	device-detection.shared	4.4.192		425560bf7c058c106136dc4c423803f98609409c
com.51degrees	device-detection.shared	4.4.193		40e512cedb576149e2e94af68aeebaaf8aa7f079
com.51degrees	device-detection.shared	4.4.194		d64ce81b60c727f47dad698318e502ef293093cc
com.51degrees	device-detection.shared	4.4.195		1afdcb3cdacf89d8e8278b493e628237b9c5798b
com.51degrees	device-detection.shared	4.4.196		4174c9de61eeae3aa43e0e27957073890b149c7b
com.51degrees	device-detection.shared	4.4.197		43d62e27bc8ab17e8abc3fcee297f09a27a18e18
com.51degrees	device-detection.shared	4.4.198		d1970a819e250fb265eaaa254cb657e964cbc47f
com.51degrees	device-detection.shared	4.4.199		f8cbb7e9b416cf32507610fb90825d9d72c17cd6
com.51degrees	device-detection.shared	4.4.2		173123e42f04612f38f42299d7767e667c36eb7f
