ai.yda-framework	filesystem-retriever-starter	0.1.0		980cba5698fb60ffa50cfb604c08d07f031ae630
com.codacy	foundation-scala-lang_2.12	17.1.0_play_2.6		046ca037497ceabbee8eeb2bc099e307f49e4855
com.codacy	foundation-scala-lang_2.12	17.1.0_play_2.7		7048a4ebccad8a9e1451a1578800e7b1173652c3
com.codacy	foundation-scala-lang_2.12	17.1.0_play_2.8		173c1cdfbfe25fcef9d669f90280819c5f509f9a
com.codacy	foundation-scala-lang_2.12	17.1.1_play_2.6		52572fc376baf7fae386a55d6884f7c3215cc3d5
com.codacy	foundation-scala-lang_2.12	17.1.1_play_2.7		f1c1e0a9ed85ef8b7cfc6bb99ec137562775d7f0
com.codacy	foundation-scala-lang_2.12	17.1.1_play_2.8		744c7041fb75dc7e18bd4ebd4536f3752c4d41e0
com.codacy	foundation-scala-lang_2.12	17.1.2_play_2.6		b8d5f7c3d1e5987889be492e02e28644e9c9c007
com.codacy	foundation-scala-lang_2.12	17.1.2_play_2.7		acf57d134d3e9c703892b733c08460a1eff21b83
com.codacy	foundation-scala-lang_2.12	17.1.2_play_2.8		e470f0fea7d1b14e2d5b95e41ca54332bf329bc7
com.codacy	foundation-scala-lang_2.12	9.3.1-publishsonatype.14bf3b3		31d82bad5a58eb73fa8c8ad4c5c76bc16fcbacb3
com.codacy	foundation-scala-lang_2.12	9.3.1-publishsonatype.14bf3b3_play_2.5		95fb9fcd21e2940f40a7dedd80b014adde66c9fc
com.codacy	foundation-scala-lang_2.12	9.3.1-publishsonatype.14bf3b3_play_2.6		02ddec8b0d12480238845e30c34ee0f004a0b359
com.codacy	foundation-scala-lang_2.12	9.3.1-publishsonatype.14bf3b3_play_2.7		0ab9c309e491b8d8e6ef0bdae73a16363297a9fe
com.codacy	foundation-scala-lang_2.12	9.3.1-publishsonatype.a27ebe6		55250e4dfe6b334cac000d069947d93cb38254ec
com.codacy	foundation-scala-lang_2.12	9.3.1-publishsonatype.a27ebe6_play_2.5		b5ecbfb06f4779eab208e20c650135ddc815f889
com.codacy	foundation-scala-lang_2.12	9.3.1-publishsonatype.a27ebe6_play_2.6		5014fdf75f0e62533d34f2718cc97c790f832af0
com.codacy	foundation-scala-lang_2.12	9.3.1-publishsonatype.a27ebe6_play_2.7		a11e439178444b4f01a69ceb4b4e0ac9eb569762
com.codacy	foundation-scala-lang_2.12	9.3.2		80eb2e2668c00a977218e7581b61c9ebe5bded2d
com.codacy	foundation-scala-lang_2.12	9.3.2_play_2.5		8c5e76698aa4bafbdf38dc5c4c38d4227b404811
com.codacy	foundation-scala-lang_2.12	9.3.2_play_2.6		65812119396d1692c5cfbf5952547ba02b722671
com.codacy	foundation-scala-lang_2.12	9.3.2_play_2.7		7984a3126f24a904c4b67026c7bdde51a12c66b0
com.codacy	foundation-scala-lang_2.12	9.4.0		9f21cef24dd12cc7d9ad63645aa476f467462257
com.codacy	foundation-scala-lang_2.12	9.4.0-improvehttperror.e3eecfa		3299dd25d2de568d576329cbfab7798b992a509b
com.codacy	foundation-scala-lang_2.12	9.4.0-improvehttperror.e3eecfa_play_2.5		45c9d7a86fcfd9f56e4c9317d7e80015996768b5
com.codacy	foundation-scala-lang_2.12	9.4.0-improvehttperror.e3eecfa_play_2.6		c5970f1394afd151b0d864eafb0e80b9060286e6
com.codacy	foundation-scala-lang_2.12	9.4.0-improvehttperror.e3eecfa_play_2.7		e3f6e503a2f29b7e70c8c809a37475af52e5fafc
com.codacy	foundation-scala-lang_2.12	9.4.0_play_2.5		586c6f6e0f8c56d2d535c37b1802aa2eae53dfc7
com.codacy	foundation-scala-lang_2.12	9.4.0_play_2.6		5b9da761d1a733ba1acbc1f9fda288b4addad2bd
com.codacy	foundation-scala-lang_2.12	9.4.0_play_2.7		55377ccd7ce12a135442d26e767b646105306e66
com.codacy	foundation-scala-lang_2.12	9.5.0		bfb41fbf17537fc02201b210bd8b3c77d6b7ba15
com.codacy	foundation-scala-lang_2.12	9.5.0_play_2.5		a6b71687b1f390ee3bb12eb0138aea27585657e6
com.codacy	foundation-scala-lang_2.12	9.5.0_play_2.6		b75376f9566d6ec957fba39a2f4bff2f8461c5f8
com.codacy	foundation-scala-lang_2.12	9.5.0_play_2.7		45547465fbb22c0c99e9a0cc9c0b833d788640c9
com.codacy	foundation-scala-lang_2.12	9.6.0		af7c7220b6fcf7bc3e83f38631ed827dfa397ec6
com.codacy	foundation-scala-lang_2.12	9.6.0_play_2.5		f89aee30e4aa8b524ed7d3fd6ad052a50042b5f5
com.codacy	foundation-scala-lang_2.12	9.6.0_play_2.6		e969a02f51295431ada04f0a09e6dd75899c641e
com.codacy	foundation-scala-lang_2.12	9.6.0_play_2.7		2826fb9a51b3f29d0885ec5197c5aabb12750b13
com.codacy	foundation-scala-lang_2.12	9.7.0		241621ceb2fd1ef131de07c16efff566a7485928
com.codacy	foundation-scala-lang_2.12	9.7.0_play_2.5		988cc3e20370310d4458b682967323a077a269a0
com.codacy	foundation-scala-lang_2.12	9.7.0_play_2.6		023d408c147e8140d8212d1c66ec1ebdfd0d1481
com.codacy	foundation-scala-lang_2.12	9.7.0_play_2.7		ec0b2ca662cab5d4bfff2e34a41c4ab9b347e006
com.codacy	foundation-scala-lang_2.12	9.7.1		7cff7f0bc0ed05e4b1dada67ee68c64d6e6fcbe3
com.codacy	foundation-scala-lang_2.12	9.7.2		9f107826fb05c451e3c22ef11b05ddad2aba9ae9
com.codacy	foundation-scala-lang_2.12	9.7.3		eb44822b3f93ebf8af313cba8fc14a22cf5aa47a
com.codacy	foundation-scala-lang_2.12	9.7.3-bumpcodacysbt.2.16cec0e		6e7af6d8afc821f8bdd7892aa4e3c14b8631dc16
com.codacy	foundation-scala-lang_2.12	9.7.3-bumpcodacysbt.2.16cec0e_play_2.5		08a6c0c101810276673a0d3d44314bd18162e467
com.codacy	foundation-scala-lang_2.12	9.7.3-bumpcodacysbt.2.16cec0e_play_2.6		74bfc1adb3bb0fd2bfebe9d6d9517f9f8bf9c6d1
com.codacy	foundation-scala-lang_2.12	9.7.3-bumpcodacysbt.2.16cec0e_play_2.7		64ca7cd48ec687e2cf088da1a2350099ab51c7d8
com.codacy	foundation-scala-lang_2.12	9.7.3-bumpcodacysbt.2.56da00c		fe44aa74beb5f76f97bf751177e6fa3c5507ac39
com.codacy	foundation-scala-lang_2.12	9.7.3-bumpcodacysbt.2.56da00c_play_2.5		2b74fdb777c514d1945c9dc55b3160acd6b115ec
com.codacy	foundation-scala-lang_2.12	9.7.3-bumpcodacysbt.2.56da00c_play_2.6		f455e86e87969a79a69566ccfe5b2f78fc212e55
com.codacy	foundation-scala-lang_2.12	9.7.3-bumpcodacysbt.2.56da00c_play_2.7		aadcde4a85d84638eb0eaa8a402ba20f96957516
com.codacy	foundation-scala-lang_2.12	9.7.3_play_2.5		53bd4a8b54054d08fe4fc96380fce3c0266a39ac
com.codacy	foundation-scala-lang_2.12	9.7.3_play_2.6		aa0a967b9dd9e1ce75fa89cf9613ad920d506605
com.codacy	foundation-scala-lang_2.12	9.7.3_play_2.7		9a8211d6859be1ddf68b418a089a807ed3b9c029
com.codacy	foundation-scala-lang_2.12	9.7.4		71c4b0d7e42008b2d1d00003b05907cb24fa0a4d
com.codacy	foundation-scala-lang_2.12	9.7.4_play_2.5		821d43a3b65e6f002dffa5f713e34bcf021eae3a
com.codacy	foundation-scala-lang_2.12	9.7.4_play_2.6		c7c817d2232209693530fdc6bd4617dae290652f
com.codacy	foundation-scala-lang_2.12	9.7.4_play_2.7		55a266bdb9b8f6b0d5f2833095994546df4ff385
com.coherentlogic.coherent.datafeed.client	coherent-datafeed-client-core	1.0.3-RELEASE		98fce6bd58cd453f586f15c9cd0d5d7f87c8dfeb
com.coherentlogic.coherent.datafeed.client	coherent-datafeed-client-core	1.0.4-RELEASE		9657911b95838cce9aa080d93b8815be457375d5
com.coherentlogic.coherent.datafeed.client	coherent-datafeed-client-core	1.0.5-RELEASE		227718279dc786e614cfb456c63d322bf49de086
com.coherentlogic.coherent.datafeed.client	coherent-datafeed-client-core	1.0.6-RELEASE		3a4b28a5f98f6f1a0c91a1ca0be1cd117f2440c8
com.coherentlogic.coherent.datafeed.client	coherent-datafeed-client-core	1.0.7-RELEASE		6a01c5f8728945bf2cd4e0ad45065c3578b45e89
com.coherentlogic.coherent.datafeed.client	coherent-datafeed-client-core	1.0.8-RELEASE		3f731a42036eda9a4914cfada4d4d67565808f1e
com.colinalworth.gwt.websockets	gwt-websockets-parent	0.1		N/A
com.colinalworth.gwt.websockets	gwt-websockets-parent	0.1.1		N/A
com.dipien	google-play-api-plugin	4.0.0		df86ed1ea2af51e2cb11e1b5c3364debe4b7265b
com.dipien	google-play-api-plugin	4.0.1		d01995d939cb924eadb437e0b4e11b514d081864
com.dipien	google-play-api-plugin	4.0.2		4ba58787f51f517a85c402a27598b9056c0b8d3d
com.fastjrun.codeg	apiworld-api	1.0		1a3e1de1d2bd80349ea138ad1651e3c194d7a5cb
com.fastjrun.codeg	apiworld-api	1.1		42a6091404ad7344c4d0b4519914a2e5b068f4e0
com.github.manolo	gwt-pwa-archetype	1.9.3		1ad26d9db033b86dd6b46085c7724f4b383e9347
com.github.pureconfig	pureconfig-core_3.0.0-RC1	0.14.1		3f3f2a1863f849d138f67b829746149452dc8ae3
com.github.pureconfig	pureconfig-core_3.0.0-RC1	0.15.0		3d2a49ce6083319f439182e8ce16224168cc4bf8
com.github.wangjiegulu	discardfile-api	1.0.1		b0e16856dd7b6cd2a3a3fb6d2df64bbb9c085966
com.github.xuwei-k	sbt-shapeless-generic-counter_sbt2.0.0-M4_3	0.1.0		e8129e835489f793a275f2332deeab3faadd81ef
com.github.xuwei-k	sbt-shapeless-generic-counter_sbt2.0.0-M4_3	0.1.1		eaa7c8e0909ca9e8b1d4884ae46dcb58b2b81a12
com.itcoon.boot	common-boot-ex	0.0.3		bbd46854f2a5e499fc28f22fdfc87034f69fe9f1
com.itcoon.boot	common-boot-ex	0.0.4		8e89a810ee1842d1f0f8b98bb6ab47f5bbbad040
com.itcoon.boot	common-boot-ex	0.0.5		e8b73177420c26bd68479c0cb29fa5a1b14f4f40
com.itcoon.boot	common-boot-ex	0.0.6		bb2c42de1b1fe13495bc132e23ea4a7ac20921d0
com.itcoon.boot	common-boot-ex	0.0.7		820c5526ad754c926337aac35be8a4902c228cdf
com.itcoon.boot	common-boot-ex	0.0.8		99e83d659fbc1dff170f034230b457d7b715fef9
com.itcoon.boot	common-boot-ex	1.1.0		4fd6bd81c39e5fda171c30407634feeb2eef3fc4
com.itcoon.boot	common-boot-ex	1.3.0		d142af19fba5efbe2670ffa3e8311eb1c6b53cf7
com.ksc.mission.base	smtp	1.2.4.10		c7d3f875cc41b9a82d4b2c5cc84ad70a856ee6e0
com.ksc.mission.base	smtp	1.2.4.11		976cca80eb5f8a98d3e6e3fd6b7a4eb94cf16dad
com.ksc.mission.base	smtp	1.2.4.12		ccf718352247ee2aec5c703b617afddfcc37b7cd
com.ksc.mission.base	smtp	1.2.6		0fc59a0dea6e0a98db1220b1763075b2b8b1883d
com.ksc.mission.base	smtp	1.2.6.1		fe3ad786b6d039844e8212551f633c0dd3b77579
com.ksc.mission.base	smtp	1.2.6.3		0d6b14ce723a18fa881f0e4c8e9f59f3deb0d027
com.ksc.mission.base	smtp	1.2.6.4		1c64f8d2e90133717738c4a71a72752392ecc96b
com.ksc.mission.base	smtp	1.2.6.5		5c70ee00d640671cf1dd2b1c052a1ce904852ae4
com.ksc.mission.base	smtp	1.2.6.6		a78888841fa8e3158948015bf6c3155598a36d2a
com.ksc.mission.base	smtp	1.2.6.7		07277f5f42d5eb70cbeffb66ada0b0e4add3e5bb
com.ksc.mission.base	smtp	1.2.6.7b		0b1eb75e44015fc8f3ba2befbb81628a536c6c54
com.ksc.mission.base	smtp	1.2.6.7c		268af3d7d8c6d4d935f4caa54d5915efa7c2a57f
com.ksc.mission.base	smtp	1.2.6.7d		ed9f5272788e79de1a6932298f80e09b10809322
com.ksc.mission.base	smtp	1.2.6.7e		911fd55f2036b908d0c3ebce448a2d6f74c995d2
com.ksc.mission.base	smtp	1.2.6.7g		316b81836e75d4623811982283c69f16236b88e9
com.ksc.mission.base	smtp	1.2.6.7i		0beb415b26462ea8cc4d532a5a52522a130c65a2
com.ksc.mission.base	smtp	1.2.6.7j		4b5cf1fb3b76610731c5e262407e2115ade65df6
com.ksc.mission.base	smtp	1.2.6.8		81c520f0d94177661b3748d5d62fff14336f80ed
com.ksc.mission.base	smtp	1.2.6.9		d2162b91a46f0895404ae81da14968a613fde3b3
com.liferay	com.liferay.analytics.batch.exportimport.api	1.0.0		f93f9b6f59503eb033c7f31d5bde448e20e930be
com.liferay	com.liferay.analytics.batch.exportimport.api	1.0.1		0b213491aca5870887f2cce7f6f5de28b8b1960a
com.liferay	com.liferay.analytics.batch.exportimport.api	1.0.2		a9c54733847609f9fa9864f92c7c5932e1cb7733
com.liferay	com.liferay.analytics.batch.exportimport.api	1.1.0		c3c80a31b7236f295996c56c0f281f0e9ffa1641
com.liferay	com.liferay.analytics.batch.exportimport.api	1.1.1		7e39639cf84f3c26bce79ff61b662e637b69c553
com.liferay	com.liferay.analytics.batch.exportimport.api	10.0.0		90e9af71088ba89075424fef23bd680ed6a2f7cb
com.liferay	com.liferay.analytics.batch.exportimport.api	11.0.0		de5d1e5e0ee74fa6011a3f972425ab02fbc9b7a4
com.liferay	com.liferay.analytics.batch.exportimport.api	12.0.0		1021280e3fc2403e590015615a21c21ea069b4f7
com.liferay	com.liferay.analytics.batch.exportimport.api	13.0.0		61ce9aa45ab24058f638b92f441d9266cda1e1d9
com.liferay	com.liferay.analytics.batch.exportimport.api	13.0.1		ac9feedd0c9398f4335575185263332e8ef5149f
com.liferay	com.liferay.analytics.batch.exportimport.api	2.0.0		db1903ab43a03da9a93b7ae4d6980afff5cb899c
com.liferay	com.liferay.analytics.batch.exportimport.api	2.1.0		f7b1992cb81d7179cafbae9a3dca43c08e21d05b
com.liferay	com.liferay.analytics.batch.exportimport.api	3.0.0		de7aaef8b123e9621d5b0d1ce25e6ae0ef00a6b0
com.liferay	com.liferay.analytics.batch.exportimport.api	4.0.0		751a256f8e614a2ccfaf1cf3b8510257f0b10ac0
com.liferay	com.liferay.analytics.batch.exportimport.api	5.0.0		5d861521ec20b565168ddec7782d743e9ae2dd0c
com.liferay	com.liferay.analytics.batch.exportimport.api	6.0.0		73330e9c78db18d04f8fad4db2c5daa6db62a03c
com.liferay	com.liferay.analytics.batch.exportimport.api	6.0.1		5238564fe38145a21d9e715b3742c6938909875c
com.liferay	com.liferay.analytics.batch.exportimport.api	7.0.0		29b762d6ca99235290af04d99e57d407db1a13c3
com.liferay	com.liferay.analytics.batch.exportimport.api	7.0.1		c33e6d9dcc668291f1e9e89e420778ba9259c995
com.liferay	com.liferay.analytics.batch.exportimport.api	7.0.2		98c6b4ca5359782e2168d1eb0c71775f1cc9be26
com.liferay	com.liferay.analytics.batch.exportimport.api	8.0.0		b2bf2b198ff6ed50d46b0a4925598c4366446f2a
com.liferay	com.liferay.analytics.batch.exportimport.api	8.0.1		292ac26d50a091842263cd43b399cde92cec4ad8
com.liferay	com.liferay.analytics.batch.exportimport.api	9.0.0		1c855dfef10ea55c3d3fdf5fa952a0638d5943a5
com.mantledillusion.injection	hura-web	2.0.0		ff76665569705b7e0a1f02900cafd5ece23f8077
com.mantledillusion.injection	hura-web	2.0.0.ALPHA1		018a386517fdcb108414b171375bf8a45041beaf
com.mantledillusion.injection	hura-web	2.0.0.ALPHA10		6e52b704c7cfea4459d7b6b4434e3ca3664cbf30
com.mantledillusion.injection	hura-web	2.0.0.ALPHA2		fc789d3f4470b1b64bfae07f52a9a239dbc1ee70
com.mantledillusion.injection	hura-web	2.0.0.ALPHA3		4e74a552e04bafecbb728e93999363bf178cbbb8
com.mantledillusion.injection	hura-web	2.0.0.ALPHA4		1beeb48812caa0424c8d784ae40ad30da5dab76e
com.mantledillusion.injection	hura-web	2.0.0.ALPHA5		8b4c763b475d7007c3eb64f937ec68d5e2f70ca0
