au.net.causal.shoelaces	shoelaces-assorted-integration-tests-container	2.0	-	44a0e2813586047b264e16fdb63ecfa7366d40b9
ch.ubique.gradle	ubdiag-android	7.4.0	-	153bb39f7af8a53d7b7441c06d88f86de19ccc58
ch.ubique.gradle	ubdiag-android	7.4.1	-	60549dfcef767dfe28195e0cef02fc490ba9bf97
ch.ubique.gradle	ubdiag-android	8.0.0	-	bfc02eceb5e54f01dc8392de2f00efd1700d9a69
ch.ubique.gradle	ubdiag-android	8.1.0	-	2a4e2dd68f166ba951fccb04c002b9eeaef7f875
ch.ubique.gradle	ubdiag-android	8.2.0	-	9566312bcdce9c53a4c3d58b872f00e93f1b7995
ch.ubique.gradle	ubdiag-android	8.2.1	-	2724e2e7924ca7c12c67e7b2c0ff98dcd4b1892c
ch.ubique.gradle	ubdiag-android	8.3.0	-	a9d3324d0a6a57aac26807e76a42ed16da66a576
ch.ubique.gradle	ubdiag-android	8.4.0	-	82c7d5b29484c6868203352fdbe7b755dc2e51d4
ch.ubique.gradle	ubdiag-android	8.5.0	-	a137660e1c1ccfc84b2a0fc5349b5ba847ff75e3
ch.ubique.gradle	ubdiag-android	8.6.0	-	286839945291d3ff1ed274bb284a7cd2bae8417a
city.smartb.cccev	cccev-unit-f2-api	0.15.0	-	54bd3363411785358109b472acdccec165689718
city.smartb.cccev	cccev-unit-f2-api	0.15.0-RC2	-	a0afe3706a419b12ccfc8c02b73ea2342cc924ed
club.gclmit	sabre-utils	1.0.1	-	5826ca8d46c2857e0c3c6cb14417af107b65b811
club.gclmit	sabre-utils	1.0.2	-	2e6674b47239bc4d254b6c4725ce96c362e6424f
club.gclmit	sabre-utils	1.0.2	1.0.2-jar-with-dependencies	3d6681b7fc5b8a0494924583f21660f3a0b27d72
club.gclmit	sabre-utils	1.0.3	-	d44d3a1966043033df08556cc2f2ce9c9faa03ed
cn.asany.chaos	jfantasy-graphql	2.10.0	-	953c03db64229b685137ecd976c40483c865e80b
cn.asany.chaos	jfantasy-graphql	2.10.2	-	7a0aa91f22c9df01b83c0069090d48956be31657
cn.asany.chaos	jfantasy-graphql	2.11.0	-	0ef6f8c99f8e7fc7490329dacba96224ddfb2fac
cn.asany.chaos	jfantasy-graphql	2.8.5	-	eac307123dcf4dcb4c4c0b364fe6a95591c56e11
cn.asany.chaos	jfantasy-graphql	2.8.7	-	eaca1b62a21dd335a6f15b6d1576d97c849ef2e3
cn.asany.chaos	jfantasy-graphql	2.8.9	-	393a4cb5e7a3d9fe8482ded6098f5ddda9202bc7
cn.asany.chaos	jfantasy-graphql	2.9.0	-	0ad32322f917c32505459a75617e6198e74a47dd
cn.asany.chaos	jfantasy-graphql	2.9.1	-	e34bb47521ec93f524f47c703f10fa8c282489fa
cn.asany.chaos	jfantasy-graphql	2.9.10	-	168f7b3cc685c12db624654c59fc0d080874f20a
cn.asany.chaos	jfantasy-graphql	2.9.3	-	74ebc0482ac2b6e538533eb679f62b8d046677fd
cn.asany.chaos	jfantasy-graphql	2.9.4	-	ac071fd7c50ab4f9dafd262c3afed57b425aedc0
cn.asany.chaos	jfantasy-graphql	2.9.5	-	2d50ed32dfd6185a20425215231c3c75de256799
cn.asany.chaos	jfantasy-graphql	2.9.6	-	8cd90fef7a2d2d33ea4916d110cb0ba5f9d2cb7d
cn.asany.chaos	jfantasy-graphql	2.9.7	-	96e60e45910c180f410ca3bde4ce16d17da5377d
cn.asany.chaos	jfantasy-graphql	2.9.9	-	f7779c0fe937403ee6faedea87d8d8cb0c13a27e
cn.bosign	bosign-api-sdk	1.0.1	-	6278a4557214307a982474f61ea5685619cd1983
cn.bosign	bosign-api-sdk	1.0.2	-	9de8abc7fcd42fb702d2ef563048d0697d26d17e
cn.bosign	bosign-api-sdk	1.0.3	-	46472cfe164e621b20e2f0b16e59b7d1e03b675f
cn.bosign	bosign-api-sdk	1.0.5	-	12a3aaf8e40dde1a24faf8e168467a6ba9ed9f97
cn.bosign	bosign-api-sdk	1.0.6	-	8028dc238f9ef0b1391975e6bae99a3c27b5e399
cn.bosign	bosign-api-sdk	1.1.0	-	2da90be8068c6b9ed96b7cfa7b45acc4bd8ccb9f
cn.bosign	bosign-api-sdk	1.1.1	-	7f6a7a9a3f367041cc8a1a0ba35d9148b5e6c95a
cn.bosign	bosign-api-sdk	1.2.0	-	ce99eb28d5a80ab8fec8bb3c9eee8400c0b51626
cn.bosign	bosign-api-sdk	1.2.1	-	23a1ef3334b4e5f84464608b44b208a4566f69d7
cn.xfyun	websdk-java-nlp	1.0.5	-	6a69090168b478c52f35d26301e736ef98baa6b5
cn.xfyun	websdk-java-nlp	2.0.0	-	0f6a9ec0838535ef23db89178aa93d997944ee0d
cn.xfyun	websdk-java-nlp	2.0.1	-	f398b06924dcffd0a2d736ce619bb3e2adbfe9bf
cn.xfyun	websdk-java-nlp	2.0.2	-	887cb898ed7eba3968879d13ad244b021c99824d
cn.xfyun	websdk-java-nlp	2.0.3	-	b56470bd20043eb830993b1b1cc6a2b4b2bb6669
cn.xfyun	websdk-java-nlp	2.0.4	-	df4553df5dca44dbebb8322447e01aa68c85c7d6
co.blocke	ds_lib_3	0.1.2	-	0b9505d35864f409610be2899964bf6950ed1f9f
co.blocke	ds_lib_3	0.1.3	-	d9112b98bef2af8e60cc84d1cdd0058c11911d6f
co.blocke	ds_lib_3	0.1.4	-	ce261948a1626a73810d163474f4628d010f7aec
co.blocke	ds_lib_3	0.1.5	-	caa34f84ca33fc3349710252c1d6160ae6373f56
co.blocke	ds_lib_3	1.0.0	-	5195d488994f4c9fb748ef820818668b99bdabc2
co.early.persista	persista-macosarm64	2.0.0-rc.1	2.0.0-rc.1-metadata	f7e50e88e6112b2440356692138f16ed19a9c5a4
co.early.persista	persista-macosarm64	2.0.0-rc.2	2.0.0-rc.2-metadata	c33ee50599f20a56e1a5f3b26729f34478391b0f
co.pjrt	stags-cli_2.12	0.1.0	-	d612e345454a3a24a391bfdf4b959952a11b1c02
co.pjrt	stags-cli_2.12	0.1.1	-	1a82ce67e11dff2536bbd8677f34ce372cc04f11
co.pjrt	stags-cli_2.12	0.2.1	-	d243c24600a6118b61b3e87e12269b53f453a310
co.pjrt	stags-cli_2.12	0.2.2	-	e1569e06848e5a1b78215abc23706b613bc68ad2
co.pjrt	stags-cli_2.12	0.2.3	-	e389725bae291d643c83076ad629dcf704d3cec6
co.pjrt	stags-cli_2.12	0.2.4	-	1da8f3acbc6af2c93d0d51d8b8e9ce285841a196
co.pjrt	stags-cli_2.12	0.2.5	-	3b168819c5c47ed6f1da346acbb05b01113301cf
co.pjrt	stags-cli_2.12	0.2.6	-	13688293a0a50c220866048642f744090e1b827a
co.pjrt	stags-cli_2.12	0.2.7	-	d5b4444c066b01ec634c075180c391e731f88a16
co.pjrt	stags-cli_2.12	0.2.8	-	dc1a1a9177c0c90ad6b19baddfc9fe30ee109e91
co.pjrt	stags-cli_2.12	0.3.0	-	fd2f98911af76aab8e8bb0f29cb069b82c2b224c
co.pjrt	stags-cli_2.12	0.3.1	-	de0e99d8d0d9386b463fcde4d72786f1a1682be1
co.pjrt	stags-cli_2.12	0.3.2	-	24e78a0e8a296b0d8c6604e6efdb821722614ae7
co.pjrt	stags-cli_2.12	0.3.3	-	f8ae27a3df3b0af66f6d8438db0453a7bbf57311
co.pjrt	stags-cli_2.12	0.4.0	-	061d18df7cf6041d41486681dcccb03e55c19551
co.pjrt	stags-cli_2.12	0.4.1	-	3d7f7d5f2141a0695993323a74ad48c7de534bfd
co.pjrt	stags-cli_2.12	0.4.2	-	ea1896dd0b282ccaa874ec90e8a31800ffe31149
com.47deg	scalacheck-toolbox-datetime_2.13	0.3.1	-	61ae2bf6973c89e724259d0a2db6673269831ff9
com.47deg	scalacheck-toolbox-datetime_2.13	0.3.2	-	55b078428cf576aa73f191f2fa83b19ddda12130
com.47deg	scalacheck-toolbox-datetime_2.13	0.3.3	-	4886e8d22bbb849bc64f0a2b673d976d00fb0941
com.47deg	scalacheck-toolbox-datetime_2.13	0.3.4	-	8e453d5f32393d5edbbb197fc40166fa8f6641eb
com.47deg	scalacheck-toolbox-datetime_2.13	0.3.5	-	f9ebfe1bd4b2dd91877cf5b70ff76564a9c35f5e
com.47deg	scalacheck-toolbox-datetime_2.13	0.4.0	-	981ad21caa5b107748deb8d845e09472c49e584a
com.47deg	scalacheck-toolbox-datetime_2.13	0.5.0	-	ab6b7fe1e27b16defa6179f669ad151c9c53d696
com.47deg	scalacheck-toolbox-datetime_2.13	0.6.0	-	746377cc784bf044fc6c079be74652dcf9c7a534
com.47deg	scalacheck-toolbox-datetime_2.13	0.7.0	-	c2f6343cd4dc7ee28a420c2e5cfbd923094aa9e2
com.adobe	com.adobe.aio.aem.core	0.0.14	-	4f663344c3f2b60fd874729d9a3abd8ca3d31119
com.algolia	algoliasearch-scala_2.11	1.0.0	-	af837dc4fe0b3ef5c35b8c4349071ed40e68bf18
com.algolia	algoliasearch-scala_2.11	1.1.0	-	9a8a8a3132592e9e4005ee760f46cbd0da388df0
com.algolia	algoliasearch-scala_2.11	1.10.0	-	4e610ea43ef5155df189a17ee16a77efa6d26708
com.algolia	algoliasearch-scala_2.11	1.11.0	-	407636e5e452434a276b176634e7b15bf79673f8
com.algolia	algoliasearch-scala_2.11	1.12.0	-	183d86539b45f6065efb1a92d903c6b8a199bf95
com.algolia	algoliasearch-scala_2.11	1.13.0	-	cbb0dcad1865a70bf7f2c60cae46193c7e131017
com.algolia	algoliasearch-scala_2.11	1.13.1	-	b469e1f86dc696b3720bd3b1e5b1c46c04626c37
com.algolia	algoliasearch-scala_2.11	1.14.0	-	984055607a5b271a91cb98a0180cd7d9e66e9a65
com.algolia	algoliasearch-scala_2.11	1.15.0	-	b3cd63bb7304ed2a25241607d6924cdc404f8796
com.algolia	algoliasearch-scala_2.11	1.16.0	-	1ddc1edc0bc1186dea13e2aebba8a1964c382123
com.algolia	algoliasearch-scala_2.11	1.17.0	-	dc5fec8885214049f3454b2d4bd752ef52265c64
com.algolia	algoliasearch-scala_2.11	1.18.0	-	1d4f4c5a13b5e83ae55c6a384234d2470322611b
com.algolia	algoliasearch-scala_2.11	1.19.0	-	04b877eff50c91b6212c8f984e87e91728e364c4
com.algolia	algoliasearch-scala_2.11	1.19.1	-	b0b24186c35eceb2caa4d2e3c37a240b8df2c7b5
com.algolia	algoliasearch-scala_2.11	1.2.0	-	80fb93ed4621326f5aca87946c4b1375198c1638
com.algolia	algoliasearch-scala_2.11	1.20.0	-	e78147e70415ceb1547ca3a366a28657262e3ddd
com.algolia	algoliasearch-scala_2.11	1.21.0	-	673342b8968908c6c4e9160e6d3b8a7e2445a747
com.algolia	algoliasearch-scala_2.11	1.22.0	-	1d0649e8b61867a2d44a9b4de9cf70d49f470726
com.algolia	algoliasearch-scala_2.11	1.22.1	-	e8482522d198485b4101d9a6d4eaf8508ee93718
com.algolia	algoliasearch-scala_2.11	1.23.0	-	c649db2bf7f4c97a97ad56e9c9687bab690744a9
com.algolia	algoliasearch-scala_2.11	1.23.2	-	c5a8e01572841cec0ea2f793ae82b08d153f785a
com.algolia	algoliasearch-scala_2.11	1.24.0	-	cdad54ea199f45719ee77052c0b7a7d2bbf220cd
com.algolia	algoliasearch-scala_2.11	1.24.1	-	87117ae720f80c62c26e8b48f388189a993876e5
com.algolia	algoliasearch-scala_2.11	1.25.0	-	322962d3c08e079e9b20a50dcbd8b19923ab97b9
com.algolia	algoliasearch-scala_2.11	1.26.0	-	8f1be3b74987bbe8cbde76c66f178467d3ac3c4f
com.algolia	algoliasearch-scala_2.11	1.26.1	-	4abea5f50979bd8c97d0cd941e86800d6817a029
com.algolia	algoliasearch-scala_2.11	1.27.0	-	2616cf1fac0d8a5313f0899791373482ae12bc04
com.algolia	algoliasearch-scala_2.11	1.28.0	-	ea5441475abc714623d6d35a347b559d6dbe6b5c
com.algolia	algoliasearch-scala_2.11	1.29.0	-	c1cc0240301c44542cf9f954e09bb2719597f924
com.algolia	algoliasearch-scala_2.11	1.3.0	-	3ea1c8d61e9466c8ae5b3d8a59e06165a8bd6e17
com.algolia	algoliasearch-scala_2.11	1.30.0	-	697582a735ceb2c7f5e3422508697811f637dfd2
com.algolia	algoliasearch-scala_2.11	1.31.0	-	c0c47d4fa105dc9e3d8c597b900caf182295461d
com.algolia	algoliasearch-scala_2.11	1.32.0	-	a32d7cf758d93928bdcd8bbd34c8c15bf9e8c02d
com.algolia	algoliasearch-scala_2.11	1.33.0	-	7a24fd5babc0b0088885a7c24122de6295fe85f4
com.algolia	algoliasearch-scala_2.11	1.34.0	-	237d6f8af9184e33afb598d62fe55bc9a44fd753
com.algolia	algoliasearch-scala_2.11	1.35.0	-	3543a11fab5cb13c8cf5ba4ead41c718eba2f550
com.algolia	algoliasearch-scala_2.11	1.35.1	-	7cce4ee613708c393d53d2284052ab83157c5bf0
com.algolia	algoliasearch-scala_2.11	1.36.0	-	62317275b5f3da61c80b55eaf7f125f090609f08
com.algolia	algoliasearch-scala_2.11	1.37.0	-	0426f4a919df9d0cdef6a7baeaca99f7bd45a778
com.algolia	algoliasearch-scala_2.11	1.38.0	-	0a08ccc06d44f30ec21dd38e77ff5b2ab8723685
com.algolia	algoliasearch-scala_2.11	1.38.1	-	bad0b632ce5a07a6b4ae6d8c8ce6a823f9f97e0b
com.algolia	algoliasearch-scala_2.11	1.38.2	-	0c65c7c7674e644ab5229d2a0b106caf9c1f400f
com.algolia	algoliasearch-scala_2.11	1.39.0	-	8224b9b9302e5433e7954b0c6a7993e69913f814
com.algolia	algoliasearch-scala_2.11	1.39.1	-	393738965e93294084f4ee504dcdbc5da1687cc0
com.algolia	algoliasearch-scala_2.11	1.4.0	-	44dba021005431d0d8f814aa3aa28056d13b2647
com.algolia	algoliasearch-scala_2.11	1.43.0	-	edad02c10d154c6b1041754cd73bdb1ab083d519
com.algolia	algoliasearch-scala_2.11	1.43.1	-	22b5c5c83f85dc2e6850ecbcfbe34adea22078b3
com.algolia	algoliasearch-scala_2.11	1.44.0	-	e2b06eeb0c368332962db434e2e0104c2fe855ad
com.algolia	algoliasearch-scala_2.11	1.44.1	-	813083ac19207aa521a8b2bdf14a47b55e5a7e62
com.algolia	algoliasearch-scala_2.11	1.45.0	-	065ce9077dc149b7992b7652195399b5b54f9bd7
com.algolia	algoliasearch-scala_2.11	1.45.1	-	522789f488f1a78001ca0208cd5ec4698eaccd14
com.algolia	algoliasearch-scala_2.11	1.45.2	-	74afd46939c0f9522dbd6c826aff7e83a9585298
com.algolia	algoliasearch-scala_2.11	1.5	-	ba35ef681dc7cf06f37bb5ad3fb9a73334fd6f20
com.algolia	algoliasearch-scala_2.11	1.6.0	-	ab86d30f71d9e9c5b822d73023ef5568d7808e77
com.algolia	algoliasearch-scala_2.11	1.6.1	-	7d7773a4828be94710c76e9acc5e33760f728ab0
com.algolia	algoliasearch-scala_2.11	1.6.2	-	009cbd567a7921db90fd27d7907ca9740026964a
com.algolia	algoliasearch-scala_2.11	1.7.0	-	a884b7001acc1980dd1bd200c5e1b1dc1a11a1aa
com.algolia	algoliasearch-scala_2.11	1.7.2	-	daf20ede9d3b960c16b6aaf70c93a0bb84946c8f
com.algolia	algoliasearch-scala_2.11	1.8.0	-	b933323ff343753b6124e4f67f29dce0297c17d3
com.algolia	algoliasearch-scala_2.11	1.9.0	-	bb75029de64dbc0f9faf034fdb52b9e0f8f37546
com.alibaba.cloud	spring-cloud-alicloud-sms	1.5.0.RELEASE	-	3dfa3b8f1d796fd6898da50736de6adfb98cd816
com.alibaba.cloud	spring-cloud-alicloud-sms	1.5.1.RELEASE	-	8a75402d4e92c800f248aa4a1185899845cbdacb
com.alibaba.cloud	spring-cloud-alicloud-sms	2.0.0.RELEASE	-	76a77d2f1582a0ac8f22dadb17174b7fc73bea0e
com.alibaba.cloud	spring-cloud-alicloud-sms	2.0.1.RELEASE	-	a0012016a887d695d94219c88ebdafca5df95f4f
com.alibaba.cloud	spring-cloud-alicloud-sms	2.1.0.RELEASE	-	c885866bbbb471211f311aaf770d10d6533e771c
com.alibaba.cloud	spring-cloud-alicloud-sms	2.1.1.RELEASE	-	236f18034b1575580640214b932bbd6268c9bdc8
com.alibaba.cloud	spring-cloud-alicloud-sms	2.2.0.RELEASE	-	8c1eb919a0dede2571c253b03bbc0d775d3714ab
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	1.5.0.RELEASE	-	ab89695eec465e10d2487afd8277fc655828d944
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	1.5.1.RELEASE	-	6b3e7b512f07783acd420fda3c8e5bab91c544aa
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.0.0.RELEASE	-	d56f0d147ef887ad3b6d7d53c781493f08b74731
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.0.1.RELEASE	-	38abb4741a5b8ff191026b25a9c131204ba67ce8
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.0.2.RELEASE	-	e0deccf1003444890764aa64120a922219e62e5c
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.0.3.RELEASE	-	b51223f90f4e7eb56fb79a0c4f285496c35cc9a2
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.0.4.RELEASE	-	71a3928ae28b0057a02352c396d4d85d72006933
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.1.0.RELEASE	-	3102f07d643d9e17764b2b269ade4d0b6452e883
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.1.1.RELEASE	-	0fa2c010f6b6d14cf116a6b72c98eff83dbb2fd5
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.1.2.RELEASE	-	7ad8bc3965605e61b0f0bedc1efd1e6850ec685d
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.1.3.RELEASE	-	3aa20b9d449acff67e61c001b8e925cf21e45d66
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.1.4.RELEASE	-	0a60d415dc76e7d48edad2b73b80a4033b1deca4
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.0.RELEASE	-	2695960b5606f83fb9540c322a3b43c329e8756e
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.1.RELEASE	-	4b4e07e08719888a194a7cd2699b50a35b2d113e
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.10	-	bdb456f847c00619993f21d68f845a68a37f7fd7
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.10-RC1	-	1def8ab2b5cd83e90a82747ed8bb1f829aee5bdc
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.10-RC2	-	395256d9cd2118db3963940eab4c9f032176050b
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.11	-	5c0a1febb4f3bf396e5afa23226c819febfc59a5
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.2.RELEASE	-	86460aa017b6d6bd3c6944827a210b074f0c93a1
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.3.RELEASE	-	0ab093ee707513f35dbe0738be7fc22924cebf79
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.4.RELEASE	-	6b11cd9b68349ec5c11f4c068b2fb3e3cfe4674c
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.5-RocketMQ-RC1	-	f14c80760a8fa7e8270cac71c11d97db2231f55f
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.5.RC1	-	d58b889335313096cc8c7ca6c7e6b43e4620028b
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.5.RC2	-	44be4889856fa887fb426c6f27be0b22048942a1
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.5.RELEASE	-	cfc12358227304d3a81ede68e9140b94eb15412b
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.5.RocketMQ.RC2	-	e88348b5b95fabebf220dae5efe6061b7832d417
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.6.RC1	-	8e38ea71efd9ebc5dd0aece8ac26a421bf9d941a
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.6.RELEASE	-	41ae85aabb8af6771cae0867f12772df6cfde286
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.7.RELEASE	-	c9fba57c88cc6cfda9b9cf29d3cce1ad63902d24
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.8.RELEASE	-	4a92ff027d08ae2d499c13cbd626e57cb6f72ed5
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.9.RELEASE	-	2a43d9c9623b9bec669263fdc1f56ee59b5d088a
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2020.0.RC1	-	b01229b4d43dc367dae0a15c9f9fa9cda306f2ca
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2021.0.1.0	-	07d6fe13406a063bae2ce1911a3424243f1918f4
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2021.0.4.0	-	55265ed865900712aa2cdcc6777ba76d803cb1a7
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2021.0.5.0	-	8fa003c16ea1b3644be0160e03c08b6a3ff376af
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2021.0.6.0	-	e31a5a0547cacbc9d42b22c924b4da31941c2632
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2021.0.6.1	-	6a74f3c5714822a620ee5cb58fd5200b6095cf98
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2021.0.6.2	-	af3d2974f7544c32d98523e9424a6e350c922cf1
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2021.1	-	ca5c55a7377d8d3179b1a609bdf90f37b00f155c
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2022.0.0.0	-	b0d93e904cfa0384a985d83ea44780b61f53e88e
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2022.0.0.0-RC1	-	aac2e91d848143171fa042ce8057d6e815411468
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2022.0.0.0-RC2	-	5dcfe5910100dfbfe0460c9b17fb58b62cb407b2
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2022.0.0.2	-	7b9e774ca9c17aac21e4d68cc56ec9c6f4678d72
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2023.0.0.0-RC1	-	cf2e587cf77b476dd2a71dbc64884f0a7797484c
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2023.0.1.0	-	3717980b4bd4649a720f5b07363961ef9daf3e28
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2023.0.1.2	-	fc481aa12fd96c22fae76baf096b99d3be082b0d
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2023.0.1.3	-	a534ea9821d88ffaa80291edfc1f09e502e3b3fb
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2023.0.3.1	-	d1990c98d93ba7661d3b446816fff42259f4b3a7
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2023.0.3.2	-	379369e8de32459e4cfd3fb9c31cdfd3304e073e
com.aliyun	dashtext-java	1.0.0	-	eeac7156bd8159bed3a7c8a846e44754df9978b7
com.aliyun	green20170823	1.0.0	-	5a3c9736518b50405508c47dfb91d82474ff2ee0
com.aliyun	green20170823	1.0.0	1.0.0-shaded	56ea6129b58f21ab0a22fc13d0a327d2061ecc18
com.aliyun.hbase	alihbase-endpoint	2.0.0	-	aea217538bdd40153101b95927be401c09871d0c
com.aliyun.hbase	alihbase-endpoint	2.0.10	-	181a6c18443e06ec4df6c6e5e919080ac4e92e28
com.aliyun.hbase	alihbase-endpoint	2.0.2	-	a6b62b0faddb56ae170d2b0a5b5a13649eb570a1
com.aliyun.hbase	alihbase-endpoint	2.0.3	-	0db9325fda118ad2bc396b73722797b4a7b6952e
com.aliyun.hbase	alihbase-endpoint	2.0.4	-	a40c7c1c032f2381343d8c51e5e746c561a0f62b
com.aliyun.hbase	alihbase-endpoint	2.0.5	-	86a72520d4a4c8911a87bb8ef9b8997db3871473
com.aliyun.hbase	alihbase-endpoint	2.0.6	-	93126df6cfdcd04d62e82f8bb9f90a2c2b03ac89
com.aliyun.hbase	alihbase-endpoint	2.0.7	-	4c8419b8f8c099a7319b4b990f0046924996008e
com.aliyun.hbase	alihbase-endpoint	2.0.8	-	377e9c3c3156a627b3741726fbf003c312e4c6c2
com.aliyun.hbase	alihbase-endpoint	2.0.9	-	cef03a2e8c6051f5a5a9b7ee7927def63cbbedde
com.aliyun.hbase	alihbase-endpoint	2.8.0	-	9bfc53e6afbb77e731cfdfb48bf5f1f8e544069c
com.aliyun.hbase	alihbase-endpoint	2.8.1	-	2d50be4d46e2f50d257965d801fa6f0c9b40bf04
com.aliyun.hbase	alihbase-endpoint	2.8.2	-	5d5494585f1403cf3c1ac6a700c0761b6542a7f1
