be.ugent.brightspace	valence-sdk-java	1.0.1		f96df3bdeea1cf1c362c1b0f86d48c9897b5e36a
cn.herodotus.oss	oss-solution	3.1.5.7		643dd3c6ea28b3510e5eb26b535d8c10246847da
cn.herodotus.oss	oss-solution	3.1.5.8		363377e85e3e154b6030e8947d53d99fc49e6b33
cn.herodotus.oss	oss-solution	3.1.6.0		97554d50e32f3e5e41a5ac58fefaf3179b845252
cn.herodotus.oss	oss-solution	3.1.6.1		e237b25c3af57ea51738cd9c09977570cd72ed7b
cn.herodotus.oss	oss-solution	3.1.6.2		b06f62ebd34207d320af66adc6c415ea053307d1
cn.herodotus.oss	oss-solution	3.1.6.3		792e24b5dd4ad3a44c47a3538762481d7925d9b0
cn.herodotus.oss	oss-solution	3.1.7.0		9d13b5e816c4e5916f5cf93bf024056083f8f3d6
cn.herodotus.oss	oss-solution	3.1.7.1		8f00c075883d6a1e97af3b5a9fc07698f4cf5779
cn.herodotus.oss	oss-solution	3.1.7.2		593c95c0925919a4d589a8c67ba81def42ae8669
cn.herodotus.oss	oss-solution	3.1.7.3		eba602b315e0f5588985d8894f280e0eec691d21
cn.herodotus.oss	oss-solution	3.1.7.5		913926a40408caa704ddbbb70b5faff1727c9e09
cn.herodotus.oss	oss-solution	3.1.8.0		06f075142d10b9c4d16d791e751a543716a1aaf8
cn.herodotus.oss	oss-solution	3.1.8.1		9aae46f52e1907e41e4d85a56adc275ffe2aab07
cn.herodotus.oss	oss-solution	3.1.8.2		c5b8cb1d44a1879ef4662d52e10c6f71bd4b11ec
cn.herodotus.oss	oss-solution	3.1.8.3		c91b8fa6f8b651c2510cf5aee44acb93a52d8b36
cn.herodotus.oss	oss-solution	3.1.8.4		be405704bf0e2ad6c3a8e3e1a15466c591240846
cn.herodotus.oss	oss-solution	3.1.9.0		c2b3c719b209d98cc14b35602268f5cd4c6260c0
cn.herodotus.oss	oss-solution	3.1.9.1		fbaae56d10a6346f8e782d8e61a1bbd57ff7ae13
cn.herodotus.oss	oss-solution	3.1.9.2		64c4980c08df0eb3281f5a1855180d8f98443c98
cn.herodotus.oss	oss-solution	3.2.0-RC1		386573f241606c6bb66c06373c75074426b4efe6
cn.herodotus.oss	oss-solution	3.2.0-RC2		5855fed01dc2f54f5f82ba74b52b5674608cdff0
cn.herodotus.oss	oss-solution	3.2.0-RC3		27354abdbba44e1ab0feffd1794c093492028a5b
cn.herodotus.oss	oss-solution	3.2.0.0		6144f1827739a5c1c441c827b26ae5b897a4f99c
cn.herodotus.oss	oss-solution	3.2.0.1		e7b059977a7cd8070f8e6924e115ea3a1f916e04
cn.herodotus.oss	oss-solution	3.2.0.2		95e24521289c383257279c5d4118fc2d70c3956a
cn.herodotus.oss	oss-solution	3.2.1.0		bc28ad9bc5dadaaa1b2621d942bbcc0b14e00253
cn.herodotus.oss	oss-solution	3.2.1.1		364841ee682addd61a6bc1db12cb5d02110b8991
cn.herodotus.oss	oss-solution	3.2.1.2		64279f0c3672acc6ddc240491f8ff179c679b18b
cn.herodotus.oss	oss-solution	3.2.1.3		a7dc0ffdf3258b4b15cc4fd67a0446e7d2b80018
cn.herodotus.oss	oss-solution	3.2.1.4		8e2c939d5c7058bef009333b685dc809c6c670ce
cn.herodotus.oss	oss-solution	3.2.1.5		22f9bbbea2a0456bfff9558eff66db52e890be6c
cn.herodotus.oss	oss-solution	3.2.1.6		9f52107247072e3a48c10457be2c99c85aec409f
cn.herodotus.oss	oss-solution	3.2.1.7		b7019fba15bf74da90e7653f3f42bfe0e1901084
cn.herodotus.oss	oss-solution	3.2.2.0		a71e68dec471fadcebb2e436c08d59482ac18ba1
cn.herodotus.oss	oss-solution	3.2.2.1		ed102de9344aef6de8d8ff851cc425691e4fae46
cn.herodotus.oss	oss-solution	3.2.2.2		25392748fac3d7ca1618a9ddef59338d344bc96e
cn.herodotus.oss	oss-solution	3.2.2.3		aa27a189979015ae3949cdffcb8ff8028def79e6
cn.herodotus.oss	oss-solution	3.2.3.0		ce2812e1ed6cecd74ee04c016e04b329b3096967
cn.herodotus.oss	oss-solution	3.2.3.1		6190eb656f075cae8033b091f9aab9c385fc000d
cn.herodotus.oss	oss-solution	3.2.3.2		3e760b391a789522d7af0e55d28ca6dbdcea92f8
cn.herodotus.oss	oss-solution	3.2.3.3		d7b39fd134bef7f2953c9211f0964f92e1343482
cn.herodotus.oss	oss-solution	3.2.4.0		1a6fb4ab04454a50617202afe49e7007211f8454
cn.herodotus.oss	oss-solution	3.2.4.1		467f3663ac6a268d8fa46ec44e67f661abcc0725
cn.herodotus.oss	oss-solution	3.2.4.2		f49660cc08c5d4eba4ebdcd5364984dc1100cb57
cn.herodotus.oss	oss-solution	3.2.4.3		4eccdabdfe15607fa777e087305ad2c30bda4242
cn.herodotus.oss	oss-solution	3.2.5.0		914cf3124478fd0495b7eb0accecdcb41870dbd2
cn.herodotus.oss	oss-solution	3.2.5.1		aaee516bca7fe59c8f04dad8538bd53f0a5504d4
cn.herodotus.oss	oss-solution	3.2.5.2		9fe05fb9ce8c58a0929ad08a61b85f64cf5c92f4
cn.herodotus.oss	oss-solution	3.2.5.3		767f368555c0623cf6de2d4c9260f42a61b14c1e
cn.herodotus.oss	oss-solution	3.2.5.4		d1145aea3cf77e70eb6778956ea547a5c12a60bc
cn.herodotus.oss	oss-solution	3.2.6.0		85956fee58abf33b462951dc6577a9a7d62957ad
cn.herodotus.oss	oss-solution	3.3.0.0		d2f74149f86dd53392248c76bf6d5ef2ff1dae26
cn.herodotus.oss	oss-solution	3.3.0.0-M1		5f9a333a03f62324e62c26c4d1d416a9c7f5db18
cn.herodotus.oss	oss-solution	3.3.0.1		0dd9659a354fe1fb5cb64403112ce3d8752f7f90
cn.herodotus.oss	oss-solution	3.3.0.2		e3d5ca31f2855f63234da2b190fb0d37f5a495ef
cn.herodotus.oss	oss-solution	3.3.0.3		c7bed5df91706eaf3b5ecf3e0cd4b35de690a415
cn.herodotus.oss	oss-solution	3.3.0.4		3d0a1f77feaeed2915d0ee5870bd3f5a99c6796b
cn.herodotus.oss	oss-solution	3.3.0.5		90813800710aae18c10a71be749a0ff9f99f3733
cn.herodotus.oss	oss-solution	3.3.0.6		c78b4b5039a751c4f620c131bf4788d389b05c91
cn.herodotus.oss	oss-solution	3.3.1.0		5098602c873e68434f6945f665a42ad088103932
cn.herodotus.oss	oss-solution	3.3.1.1		acaaccbdec36b4576ffa596a69a0b50640484740
cn.herodotus.oss	oss-solution	3.3.1.2		9b80849aa566a5831ccbc13a839ba4e6625657ab
cn.herodotus.oss	oss-solution	3.3.1.3		4c0e835669b09d1b3dcf892ee9dfc2b516bd16a6
cn.herodotus.oss	oss-solution	3.3.2.0		dac39bcbadf898b9bf51810e0bccc79cbebf2476
cn.herodotus.oss	oss-solution	3.3.2.1		8b726e58de0670da55b696af483c99f45fd5fb4b
cn.herodotus.oss	oss-solution	3.3.2.2		f7aed7545110841041dda9ac8d7be53e6e3142b5
cn.herodotus.oss	oss-solution	3.3.3.0		be873548ad38c2c071807c16ba81e8996969f6bb
cn.herodotus.oss	oss-solution	3.3.3.1		948294b1dbe5c97ae5628ee4e2efaea093b56fb9
cn.herodotus.oss	oss-solution	3.3.3.2		faf53d373af5f8f6723620272ac1d1dbc9bd1421
cn.herodotus.oss	oss-solution	3.3.4.0		70ae03dbafc6ac788306d0464ca21920f295ab03
cn.herodotus.oss	oss-solution	3.3.4.1		fd860c00c88d9ac1188fa2e2b535d7700ffbba8f
cn.herodotus.oss	oss-solution	3.3.4.2		43b371ffa590f80aadba3eeae70d44b5fd658ee0
cn.herodotus.oss	oss-solution	3.3.4.3		ce45f4346dc0268378a868de39e9f11acda5fc3c
cn.herodotus.oss	oss-solution	3.3.5.0		a500180c755167fd02ae8e5485a0b36c653d74ac
cn.herodotus.oss	oss-solution	3.3.5.1		386bf7009e0d9d5b2580093131259fec85c895b3
cn.herodotus.oss	oss-solution	3.3.6.0		7e73ee5cd964c09a5bfea843c4e97f27f75bfe46
cn.herodotus.oss	oss-solution	3.3.6.1		6d1121103c672b025307a5c96029ab3a38cc3e82
cn.herodotus.oss	oss-solution	3.4.0.0		becd16f3c27644b841bc5fb5577907acce541393
cn.herodotus.oss	oss-solution	3.4.0.1		ac1b4261b5ba66560fddb3863bf1afba358a78f3
cn.herodotus.oss	oss-solution	3.4.1.0		5453fa8a1c0b34f0af1e35fc9136026825011a36
cn.herodotus.oss	oss-solution	3.4.1.1		8eaa8d6115e853ee8c2bcecf976825f12c45aa4c
cn.herodotus.oss	oss-solution	3.4.1.2		dd21de9c63fdccc57518abda77e776eea009e796
cn.herodotus.oss	oss-solution	3.4.2.0		27ce371c3d1e51a8eeb6e1a59957b16c2cbce4f9
cn.herodotus.oss	oss-solution	3.4.2.1		0b1a298e7730c8b63221267af4f99033ffd624d4
cn.herodotus.oss	oss-solution	3.4.2.2		5c6cdf3c152447836c968288557f9aa946b9bf9b
cn.herodotus.oss	oss-solution	3.4.3.0		f15fc2a6aa767bdeb70e852258eb24b7e573d720
cn.herodotus.oss	oss-solution	3.4.3.1		a90cc0d087691933e82c6cd017d1dd51dfcc6c60
cn.herodotus.oss	oss-solution	3.4.3.2		429b0ca635cd4d5a1f3cb03462a2dc76fa772b97
cn.herodotus.oss	oss-solution	3.4.3.3		909a9598946e6db48322d4fd8f38e7f290b9e0e6
cn.herodotus.oss	oss-solution	3.4.4.0		6a4fdea038b47eb6a4e8cd67bcb0ede78c8afeac
cn.herodotus.oss	oss-solution	3.4.4.1		24f0f2b9ac93aa64e3425666de2a9e6763a0a0d8
cn.herodotus.oss	oss-solution	3.4.4.2		3eaf97879eaaaddb3e338ed7c26224bb5dc18b3e
cn.herodotus.oss	oss-solution	3.4.5.0		e50fdbbff61cac8b8cab746b60e30a067d78981a
co.windly	limbo-mvvm-dagger	3.0.0		N/A
co.windly	limbo-mvvm-dagger	3.0.1		N/A
co.windly	limbo-mvvm-dagger	3.0.3		N/A
com.aheaditec	functional	0.1.0		54983d3d75aaa454192c8b9c8d7f2d1ee405080b
com.aheaditec	functional	0.1.0	metadata	e3623985a4d83ec13226668b236397c959a158d8
com.aheaditec	functional	0.1.1		54983d3d75aaa454192c8b9c8d7f2d1ee405080b
com.aheaditec	functional	0.3.0		b9d28cc0e071a54fcb8357abea5c2514c3f07f08
com.aheaditec	functional	0.3.1		638781fdb4293dea0257a30777b2046d10737f08
com.aheaditec	functional	1.0.1		066cd4cf20e45bcb3840e23d53bb2ad50f18b359
com.aheaditec	functional	1.0.2		db5afd2bc9b0b1fa1c63e5113bccbc4f1c5ede9f
com.aheaditec	functional	2.0.0		54983d3d75aaa454192c8b9c8d7f2d1ee405080b
com.begcode	diboot-root	2.7.0		N/A
com.begcode	diboot-root	2.7.1		N/A
com.begcode	diboot-root	2.7.2		N/A
com.begcode	diboot-root	2.7.3		N/A
com.begcode	diboot-root	2.7.4		N/A
com.begcode	diboot-root	2.8.0		N/A
com.begcode	diboot-root	2.9.0		N/A
com.begcode	diboot-root	2.9.1		N/A
com.begcode	diboot-root	2.9.2		N/A
com.begcode	diboot-root	2.9.3		N/A
com.begcode	diboot-root	2.9.5		N/A
com.begcode	diboot-root	2.9.6		N/A
com.begcode	diboot-root	2.9.7		N/A
com.begcode	diboot-root	3.1.2		N/A
com.begcode	diboot-root	3.1.2.0		N/A
com.begcode	diboot-root	3.1.2.1		N/A
com.begcode	diboot-root	3.1.2.2		N/A
com.begcode	diboot-root	3.1.2.3		N/A
com.begcode	diboot-root	3.1.2.4		N/A
com.begcode	diboot-root	3.1.2.5		N/A
com.begcode	diboot-root	3.1.2.6		N/A
com.begcode	diboot-root	3.1.2.7		N/A
com.begcode	diboot-root	3.4.0		N/A
com.begcode	diboot-root	3.4.1		N/A
com.begcode	diboot-root	3.4.2		N/A
com.begcode	diboot-root	3.4.3		N/A
com.begcode	diboot-root	3.5.0		N/A
com.bitplan.simplegraph	com.bitplan.simplegraph.mediawiki	0.0.2		2ef30350f7bf5c39abdb750ff27149c9e8eae9da
com.bitplan.simplegraph	com.bitplan.simplegraph.mediawiki	0.0.3		9103e2016a406ea874eb2ef2b20912f3f0103aff
com.bitplan.simplegraph	com.bitplan.simplegraph.mediawiki	0.0.4		795d24f4b37959efee7a6da9a631d61980f167a5
com.bitplan.simplegraph	com.bitplan.simplegraph.mediawiki	0.0.5		7a5e034a9398228cded87c643e52e2350a4f58b8
com.demandware.appsec	stateless-csrf	1.0		863a8a6e1cbc8d067bbcf6d72ecd527c896a22e9
com.demandware.appsec	stateless-csrf	1.1.0		870374271c76e54f8b6cac2696130d97d2c314b6
com.demandware.appsec	stateless-csrf	1.1.1		1addc1bae65ca7c5cf08e8dd5c71d154fa48f831
com.firework.service	common	6.0.0		N/A
com.firework.service	common	6.0.0-RC.1		N/A
com.firework.service	common	6.0.0-RC.2		N/A
com.firework.service	common	6.0.0-RC.3		N/A
com.firework.service	common	6.0.0-beta.2		N/A
com.firework.service	common	6.1.0		N/A
com.firework.service	common	6.1.0-RC.1		N/A
com.firework.service	common	6.1.0-RC.2		N/A
com.firework.service	common	6.1.0-RC.3		N/A
com.firework.service	common	6.1.1		N/A
com.firework.service	common	6.10.0		N/A
com.firework.service	common	6.10.0-RC.2		N/A
com.firework.service	common	6.10.0-RC.3		N/A
com.firework.service	common	6.10.0-RC.4		N/A
com.firework.service	common	6.10.1		N/A
com.firework.service	common	6.10.2		N/A
com.firework.service	common	6.11.0		N/A
com.firework.service	common	6.11.0-RC.1		N/A
com.firework.service	common	6.11.0-RC.2		N/A
com.firework.service	common	6.11.0-RC.3		N/A
com.firework.service	common	6.11.0-RC.4		N/A
com.firework.service	common	6.11.0-RC.5		N/A
com.firework.service	common	6.11.0-RC.6		N/A
com.firework.service	common	6.12.0		N/A
com.firework.service	common	6.12.0-RC.1		N/A
com.firework.service	common	6.12.0-RC.2		N/A
com.firework.service	common	6.12.1		N/A
com.firework.service	common	6.12.2		N/A
com.firework.service	common	6.13.0		N/A
com.firework.service	common	6.13.0-RC.1		N/A
com.firework.service	common	6.13.0-RC.2		N/A
com.firework.service	common	6.13.0-RC.3		N/A
com.firework.service	common	6.13.1		N/A
com.firework.service	common	6.13.1-RC.1		N/A
com.firework.service	common	6.14.0		N/A
com.firework.service	common	6.14.1		N/A
com.firework.service	common	6.14.1-RC.1		N/A
com.firework.service	common	6.14.1-RC.2		N/A
com.firework.service	common	6.14.2		N/A
com.firework.service	common	6.14.3		N/A
com.firework.service	common	6.14.3-RC.1		N/A
com.firework.service	common	6.14.4		N/A
com.firework.service	common	6.14.5		N/A
com.firework.service	common	6.14.6		N/A
com.firework.service	common	6.15.0		N/A
com.firework.service	common	6.15.0-RC.1		N/A
com.firework.service	common	6.15.1		N/A
com.firework.service	common	6.15.2		N/A
com.firework.service	common	6.15.3		N/A
com.firework.service	common	6.16.0		N/A
com.firework.service	common	6.16.0-RC.1		N/A
com.firework.service	common	6.16.0-RC.2		N/A
com.firework.service	common	6.16.1		N/A
com.firework.service	common	6.16.1-RC.1		N/A
com.firework.service	common	6.16.1-RC.2		N/A
com.firework.service	common	6.16.2		N/A
com.firework.service	common	6.16.3		N/A
com.firework.service	common	6.16.4		N/A
com.firework.service	common	6.16.5		N/A
com.firework.service	common	6.16.6		N/A
com.firework.service	common	6.17.0		N/A
com.firework.service	common	6.17.0-RC.1		N/A
com.firework.service	common	6.17.1		N/A
com.firework.service	common	6.17.1-RC.1		N/A
com.firework.service	common	6.18.0		N/A
com.firework.service	common	6.18.0-RC.1		N/A
com.firework.service	common	6.18.0-RC.2		N/A
com.firework.service	common	6.18.0-RC.3		N/A
com.firework.service	common	6.18.1		N/A
com.firework.service	common	6.18.10		N/A
com.firework.service	common	6.18.2		N/A
com.firework.service	common	6.18.2-RC.1		N/A
com.firework.service	common	6.18.2-RC.2		N/A
com.firework.service	common	6.18.3		N/A
com.firework.service	common	6.18.4		N/A
com.firework.service	common	6.18.5		N/A
com.firework.service	common	6.18.6		N/A
com.firework.service	common	6.18.7		N/A
com.firework.service	common	6.18.8		N/A
com.firework.service	common	6.18.9		N/A
com.firework.service	common	6.2.0		N/A
com.firework.service	common	6.2.0-RC.1		N/A
com.firework.service	common	6.2.0-RC.2		N/A
com.firework.service	common	6.2.0-RC.3		N/A
com.firework.service	common	6.2.0-RC.4		N/A
com.firework.service	common	6.2.1		N/A
com.firework.service	common	6.3.0		N/A
com.firework.service	common	6.3.0-RC.1		N/A
com.firework.service	common	6.3.0-RC.18		N/A
com.firework.service	common	6.3.0-RC.6		N/A
com.firework.service	common	6.3.1		N/A
com.firework.service	common	6.3.2		N/A
com.firework.service	common	6.3.3		N/A
com.firework.service	common	6.3.4		N/A
com.firework.service	common	6.4.0		N/A
com.firework.service	common	6.4.0-RC.10		N/A
com.firework.service	common	6.4.0-RC.11		N/A
com.firework.service	common	6.4.0-RC.12		N/A
com.firework.service	common	6.4.0-RC.2		N/A
com.firework.service	common	6.4.0-RC.3		N/A
com.firework.service	common	6.4.0-RC.4		N/A
com.firework.service	common	6.4.0-RC.5		N/A
com.firework.service	common	6.4.0-RC.6		N/A
com.firework.service	common	6.4.0-RC.7		N/A
com.firework.service	common	6.4.0-RC.8		N/A
com.firework.service	common	6.5.0		N/A
com.firework.service	common	6.6.0		N/A
com.firework.service	common	6.6.1-RC.1		N/A
com.firework.service	common	6.6.1-RC.2		N/A
com.firework.service	common	6.6.1-RC.3		N/A
com.firework.service	common	6.6.1-RC.4		N/A
com.firework.service	common	6.6.1-RC.5		N/A
com.firework.service	common	6.6.2		N/A
com.firework.service	common	6.6.2-RC.1		N/A
com.firework.service	common	6.6.3		N/A
com.firework.service	common	6.6.3-RC.1		N/A
com.firework.service	common	6.6.3-RC.2		N/A
com.firework.service	common	6.7.0		N/A
com.firework.service	common	6.7.0-RC.1		N/A
com.firework.service	common	6.7.0-RC.2		N/A
com.firework.service	common	6.7.0-RC.4		N/A
com.firework.service	common	6.7.0-RC.5		N/A
com.firework.service	common	6.7.0-RC.6		N/A
com.firework.service	common	6.7.0-RC.7		N/A
com.firework.service	common	6.7.0-RC.8		N/A
com.firework.service	common	6.7.0-RC.9		N/A
com.firework.service	common	6.7.1		N/A
com.firework.service	common	6.7.1-RC.1		N/A
com.firework.service	common	6.7.2		N/A
com.firework.service	common	6.7.2-RC.1		N/A
com.firework.service	common	6.7.2-RC.2		N/A
com.firework.service	common	6.7.2-RC.3		N/A
com.firework.service	common	6.7.3		N/A
com.firework.service	common	6.7.3-RC.1		N/A
com.firework.service	common	6.7.4		N/A
com.firework.service	common	6.7.4-RC.1		N/A
com.firework.service	common	6.7.4-RC.2		N/A
com.firework.service	common	6.7.4-RC.3		N/A
com.firework.service	common	6.7.6		N/A
com.firework.service	common	6.8.0		N/A
com.firework.service	common	6.8.0-RC.1		N/A
com.firework.service	common	6.8.0-RC.2		N/A
com.firework.service	common	6.8.0-RC.3		N/A
com.firework.service	common	6.8.0-RC.4		N/A
com.firework.service	common	6.8.1		N/A
com.firework.service	common	6.8.1-RC.1		N/A
com.firework.service	common	6.9.0		N/A
com.firework.service	common	6.9.0-RC.1		N/A
com.firework.service	common	6.9.0-RC.2		N/A
com.firework.service	common	6.9.0-RC.3		N/A
com.firework.service	common	6.9.1		N/A
com.firework.service	common	6.9.1-RC.1		N/A
com.firework.service	common	6.9.1-RC.2		N/A
com.firework.service	common	6.9.2		N/A
com.firework.service	common	6.9.2-RC.1		N/A
com.firework.service	common	6.9.3		N/A
com.firework.service	common	6.9.3-RC.1		N/A
com.github.anylogic	alogic-xscript-kvalue	1.6.5-20160826		8ca1d77879eb2069794594f9cf3d5bf783c0e33c
com.github.anylogic	alogic-xscript-kvalue	1.6.6-20170113		3325c6388fc330b721df5a31eeebbcc3b6482d23
com.github.anylogic	alogic-xscript-kvalue	1.6.7-20170315		8f4fe553bb0fc31afe439a87092513d342ce83bc
com.github.anylogic	alogic-xscript-kvalue	1.6.7-20170329		ce4cc09e5204214ec737180342c7691305c72074
com.github.anylogic	alogic-xscript-kvalue	1.6.8-20170512		6d0ae58219679270e7951431d5a4b64eae7c27e3
com.github.anylogic	alogic-xscript-kvalue	1.6.9-20170829		f4f42ce1a321864b6ccd417d3ea83871c3a64fe6
com.github.crawler-commons	crawler-commons	0.10		40a3cb267fd85959902fbbf4a652b6131bc06f8b
com.github.crawler-commons	crawler-commons	0.6		78421faa99a8f158f5ad3fd03dd709f44d9e533e
com.github.crawler-commons	crawler-commons	0.7		0c7c530d3c0e7c53cec34b29925fdd9177e961a0
com.github.crawler-commons	crawler-commons	0.8		31c88ee1706334fb0807e298e7cbc719b137fb0b
com.github.crawler-commons	crawler-commons	0.9		7adb8b473eef9b1a8d5cf796549703d57bf2df9b
com.github.crawler-commons	crawler-commons	1.0		580ae217f8aadf06d907d9f0b3df8221be652196
com.github.crawler-commons	crawler-commons	1.1		97b7552d8892a0ae21c706b46d328d6ba52a3553
com.github.crawler-commons	crawler-commons	1.2		7edf524c1ab208cf30137a17ff75586a44ea2125
com.github.crawler-commons	crawler-commons	1.3		c327a78d30cea2f748c508e314c3ed96d17b2921
com.github.crawler-commons	crawler-commons	1.4		5e1588c42c29ae3a75301b781d66255fce3368a2
com.github.mbiamont	ga-annotations-plugin	1.0.0		ae499ea78f5e065115054c2110b46bdae6fba547
com.github.mbiamont	ga-annotations-plugin	1.1.0		46d61538e1f3f329bf13ffa900e161beb45cac7e
com.github.mbiamont	ga-annotations-plugin	1.1.1		c2a0b20d5e2a3bc3ce1c40293e990b1a7e495064
com.google.code.flex-iframe.examples	CallIFrameFunction	1.4.6		N/A
com.google.code.flex-iframe.examples	CallIFrameFunction	1.5		N/A
com.google.code.flex-iframe.examples	CallIFrameFunction	1.5.1		N/A
com.jwebmp	jwebmp-bootstrap-nya-select4	0.58.0.21-RCTEST		7889838f2515432ac8460a4a9cc1d98454c61d19
com.jwebmp	jwebmp-bootstrap-nya-select4	0.59.0.14		9d6fefade19acab5d2aa3a35121b87f4be0af6a9
com.jwebmp	jwebmp-bootstrap-nya-select4	0.62.0.1		f69d8201857c432cefc9fff007637e7664ebe02b
com.jwebmp	jwebmp-bootstrap-nya-select4	0.63.0.61		9d93881717968a030b03478ebd9577195cdbf3a2
com.jwebmp	jwebmp-bootstrap-nya-select4	0.65.0.2		50eff01022d2a0f378096ef319ae0cafe5a25ff0
com.jwebmp	jwebmp-bootstrap-nya-select4	0.65.0.3		7981b6d82b7efe39976352c923aec4ff803158f3
com.jwebmp	jwebmp-bootstrap-nya-select4	0.66.0.1		500aab6fec3aa7180fd46a0c08124cf5b383179c
com.lacunasoftware.restpki	restpki-core-client	1.0.0		7ee8cf83683e597e60c0a0e232d109f0f970984c
com.lacunasoftware.restpki	restpki-core-client	2.0.1		4e8326caf0304441efa9dafcd0505b9f62aca456
com.lacunasoftware.restpki	restpki-core-client	2.1.0		41f137d2d55693b9909eee75fa28894098d7ba85
com.lacunasoftware.restpki	restpki-core-client	3.0.0		26644ad0e25c552ca6fe270a61df42c0b5f1b6ff
com.lacunasoftware.restpki	restpki-core-client	3.0.1		7eeabb03426ebb9367efd78f6d9b2f6570ed6b41
com.lacunasoftware.restpki	restpki-core-client	3.0.2		b0deefffe291b43ba8b7c18d915a0a5d4a2fa3fc
com.lacunasoftware.restpki	restpki-core-client	3.0.3		551e2b5524d69beee4576f1d203989e1ef9ae9d4
com.lacunasoftware.restpki	restpki-core-client	4.0.0		b72a693e3df462e32786e6e00116bf8070948aa3
com.lerna-stack	lerna-http_2.13	2.0.0		67e07bbe060a5bf4249de998c7ecc5b8e6b198a2
com.lerna-stack	lerna-http_2.13	3.0.0		d54f3f7b5154226d1d0107bd4b2d4239f2bbf28e
com.lerna-stack	lerna-http_2.13	3.0.1		46132afb59dfc370c38a54b2faa8b5dac42a065a
com.lerna-stack	lerna-http_2.13	3.0.2		337e43cf945f524a4e23eab2debe1e4b988e7fa0
com.lerna-stack	lerna-http_2.13	3.0.3		e6ee04094682c0e732d0a97c96b1d7d688e9b1f7
com.lerna-stack	lerna-http_2.13	3.0.4		64b623b15db847bcf80eb5da1fc6e94ac2ba3096
com.liferay	com.liferay.portal.settings.authentication.openid.connect.web	1.0.0		0466fd76de8b7f8d127a26c6ba80fc33fe09062e
com.liferay	com.liferay.portal.settings.authentication.openid.connect.web	1.0.0	jspc	3054ce7ac312b84d045c4a2a9e5f07b63fecf231
com.liferay	com.liferay.portal.settings.authentication.openid.connect.web	1.0.1		146278411359b14ab4b11408a3980ff47235791f
