be.vlaanderen.informatievlaanderen.ldes.ldi.nifi	archive-file-in	2.12.0		N/A
com.ecfront	rpc	0.8		7e366c128965e2afb96f4b4dc1bcf1f1452a062b
com.ecfront	rpc	0.9		6173c03a270ec4ddf85969493a364eba8767c087
com.ecfront	rpc	1.0		119fd77ab0c9eb1ebb2b603719e5b7aa3d1bf411
com.expedia.www	haystack-service-graph-snapshotter	1.0.10		0e2767207c9df828e540b4c969f6283354c947f7
com.expedia.www	haystack-service-graph-snapshotter	1.0.12		3de14c9ac4e4a3ee23748eaae0ac2f65787489c9
com.expedia.www	haystack-service-graph-snapshotter	1.0.13		3e9bd8a15856aee96adb7dfb0919c518e836428e
com.expedia.www	haystack-service-graph-snapshotter	1.0.14		77cb0028bd22e1dee7f22d582a35775c0291a57a
com.expedia.www	haystack-service-graph-snapshotter	1.0.15		776da0d58452aada8cf3013e247e6169049652f8
com.expedia.www	haystack-service-graph-snapshotter	1.0.16		1bf350976f27a2b923cdf5d451d78f5024d36f99
com.expedia.www	haystack-service-graph-snapshotter	1.0.17		4a38b51dcd69b831eee2411f131ff57e553a0a4b
com.expedia.www	haystack-service-graph-snapshotter	1.0.18		544a0dd1bbe7e3807585bd1ecf5ea86286a06160
com.expedia.www	haystack-service-graph-snapshotter	1.0.19		e0bd7f9340c128e5b24203c373208d787d0d5b72
com.expedia.www	haystack-service-graph-snapshotter	1.0.4		1567afeaf0ed8061fbdc746682a6bdda98d9cfba
com.expedia.www	haystack-service-graph-snapshotter	1.0.5		66537eb3a7534686e359b7ebe6304f7e4b8d058d
com.expedia.www	haystack-service-graph-snapshotter	1.0.6		59fdb8710ec0832995c3b5995c16fa4be08f5bf1
com.expedia.www	haystack-service-graph-snapshotter	1.0.7		6cbd4980bfc0d3035d0ab8f67b3ca68f416084b1
com.expedia.www	haystack-service-graph-snapshotter	1.0.8		4b995ae994fe3da3441f13cae93ca917d2b3dba2
com.expedia.www	haystack-service-graph-snapshotter	1.0.9		b75c451901e9d0786bf848073f193ddf8ffdcce6
com.github.bezsias	compact-multimap_2.11	0.1.0		c5703b69717ba2d96281ba502245f34b930a5046
com.github.bezsias	compact-multimap_2.11	0.10.0		f0e4ef039ab33a3760cf3bdbd045b318b4114ade
com.github.bezsias	compact-multimap_2.11	0.11.0		207fac91aa07e51d4dfdfb0d2fbb0afb4eca431f
com.github.bezsias	compact-multimap_2.11	0.12.0		0ffcacde39261b6f099903f54c80d8eb9f85555e
com.github.bezsias	compact-multimap_2.11	0.13.0		5015b8a1e482cfe0d333253df135eb5365351e3a
com.github.bezsias	compact-multimap_2.11	0.14.0		44de25b31a20d96e97c1b0dd6857b62e04ea1d6b
com.github.bezsias	compact-multimap_2.11	0.14.1		ab37ea7bfa1c294c3833bff158b2133649140910
com.github.bezsias	compact-multimap_2.11	0.14.2		4fecfc5bfdca5bb7efa20e3c5402767917454cfa
com.github.bezsias	compact-multimap_2.11	0.14.3		03d7bb9db5ad6df766304f3badf8590731aadcfe
com.github.bezsias	compact-multimap_2.11	0.14.4		6c951deae7a870967fdfe654546bdaec7e29aeed
com.github.bezsias	compact-multimap_2.11	0.3.0		857c22f81156b4e4e09c3d8c6c2f2f8780f65dc9
com.github.bezsias	compact-multimap_2.11	0.4.0		a1e1cac31db791da13dc3b40b1cf41a632d25a9b
com.github.bezsias	compact-multimap_2.11	0.5.0		267e86555375795a927ba865e4a0b4a0e838f12f
com.github.bezsias	compact-multimap_2.11	0.6.0		3a91191b09f92924ea8a7348524e65961efdfbaa
com.github.bezsias	compact-multimap_2.11	0.7.0		8dd1849b92cc7f51624ada9cc9bdb1f418e56e87
com.github.bezsias	compact-multimap_2.11	0.8.0		f2ffdfe3963ef3bfe4b1e20466dbfd79a23557b4
com.github.bezsias	compact-multimap_2.11	0.8.1		e4273e6096f820059c70d167df14a8a7f57a15e5
com.github.bezsias	compact-multimap_2.11	0.9.0		8a2c6bfe5c1878d7ee5700de46ad57d1e3311ee1
com.github.bezsias	compact-multimap_2.11	1.0.0		a9c3c198da05479158f2ea196363604391ef94a8
com.github.jarvisframework	jarvis-tool-core	1.0.0		bbc64f9a9f1b8368e8fc1bed0b92a9df0292c33d
com.github.jarvisframework	jarvis-tool-core	1.0.1		1dd11cca833980b3e80688a3d4f6f1f18885d3e7
com.github.jarvisframework	jarvis-tool-core	1.0.2		810127330801a5b8ec1bd4213d1b1c5f4dd62b34
com.github.jarvisframework	jarvis-tool-core	1.0.3		64a8b38f192720c07d1957968b90d4e5b7ffcdc5
com.github.jarvisframework	jarvis-tool-core	1.0.3.RELEASE		adcff61583db2207dc4a9d9ac4d3bd66910f5167
com.github.jarvisframework	jarvis-tool-core	1.0.5		e6c62819db4acc269395d091c377587c78c715ee
com.github.jarvisframework	jarvis-tool-core	1.0.5.RELEASE		0c4719532a90dc3a2448adc2c1ffad323cad0c22
com.github.mrpowers	bebe_2.12	0.0.1		72ede061100b77d7624f12d31c70eada6855cc62
com.github.mrpowers	bebe_2.12	0.0.2		991c89d30181124902d2be857b5af7917d8dff56
com.github.mrpowers	bebe_2.12	0.1.0		15a35466fe7261c6046673ded3a75271fd914f37
com.github.wpyuan	default-core	0.0.1		ff45d70c8ffd3547d507eed33e8e5533ed675c39
com.github.wpyuan	default-core	0.0.2		a27ebe223c78b8bc5213617952870519f9fa4f7e
com.github.wpyuan	default-core	0.1.0		e68bde52a4d1181432a423c26834b88a37dcfb4b
com.github.wpyuan	default-core	0.2.0		bb573f61d2c92fa900f422084596431a5d51612b
com.github.wpyuan	default-core	0.2.1		dfc0743890457058cb7629d8dffaebdf411a029c
com.github.wpyuan	default-core	0.2.2		8a41347e3d09083d8224f2228262c9c78aedc9d9
com.github.wpyuan	default-core	0.2.3		9f7b2d69388533a109681341be20b025cc00f2b2
com.github.wpyuan	default-core	0.2.4		ecc5e57dc38ffa3d3b14109f89a276b7a565fc6c
com.github.wpyuan	default-core	0.2.5		2af0e8406ecfbfc57c236610ca46e9a4622ce38f
com.github.wpyuan	default-core	0.2.6		2407ebd844d86765f6975e6106de1c5c536db14f
com.github.wpyuan	default-core	0.3.0		1eecf29e9bb3db2fae0e4d7b043e677572be855f
com.github.wpyuan	default-core	0.3.1		45402c8c460ec99c8fff3dc266031776b0c0e4e8
com.github.wpyuan	default-core	0.3.2		031fdfcdd6718822fc74c425963075bdd82283e8
com.github.wpyuan	default-core	0.4.0		b6b3f75d5c39e2fb71658f326a08c444cf343505
com.github.wpyuan	default-core	0.4.1		d5ee1f27d9728a79129feaa082a9c107d2e7da41
com.github.wpyuan	default-core	1.0.1		dcc69baea5785564320f0f112be401297eed4917
com.github.wpyuan	default-core	1.0.2		50d4e48e57fa3ab3b68fdbfc749be363cda81e03
com.github.wpyuan	default-core	1.1.0		318907b18ddcaaa3c867a6813ae3f9868dbd008a
com.github.wpyuan	default-core	1.1.1		bcd2843d34f941fd6ccff74f8d4b7db9217f1616
com.github.wpyuan	default-core	1.2.0		7d62492569fcd417f8063153af2509ecc41304a3
com.github.wpyuan	default-core	1.2.1		53ad16f6e48bf7da4232ea26a146e856a90f03d1
com.github.wpyuan	default-core	1.2.2		5adcec3f0967fb6fe384240a1e876b5af988fa67
com.github.wpyuan	default-core	1.2.3		a72db72a203016cef274df092e7099ff75c275ed
com.github.wpyuan	default-core	1.2.4		21c6020893947e7570aeb7a367b01223224d35f4
com.github.wpyuan	default-core	1.2.5		20a8bbe060795d5a1983dc8a59a8665fdc3eb3be
com.github.wpyuan	default-core	1.2.6		73eafe825f26e168f21bdbf7e3e04266bfd52bd3
com.github.wpyuan	default-core	1.3.0		ba06a217308f0daaac91fafef8e3d6bf459db702
com.github.wpyuan	default-core	1.3.1		163972b0edac88685879aef6b396a3680ff63f02
com.github.wpyuan	default-core	1.3.2		2ef76e72354435ef2b8c884325e53609525fcf93
com.github.wpyuan	default-core	1.3.3		f6c0024bcb47f97984bdd787c0b79ccc60d682fd
com.github.wpyuan	default-core	1.3.4		c1aecfce402b4efe52c3164c911886be1c81badb
com.github.wpyuan	default-core	1.3.5		a37931a6a1bf16771bed3430a100aa1dc8e20760
com.github.wpyuan	default-core	1.4.0		88a488e40e3a489a20fee969ee84cc731c0b1c72
com.github.wpyuan	default-core	1.4.1		55b5268750cabbbc049dd0e51c8e9b0ff8829a7e
com.github.wpyuan	default-core	1.5.0		e658a16bb17cf24d8f347c5ccc84f1794f42adee
com.github.wpyuan	default-core	1.7.0		bedac79d1a715fdde9a2ff593220dff30fe75a76
com.github.wpyuan	default-core	1.7.2		e6fa76fbb674cc655b557372f9c3526368114e9f
com.javiersc.kotlin	kopy-args-linuxx64	0.7.0+2.0.20		N/A
com.kubukoz	debug-utils_3.0.0-RC2	1.1.1		2ceed0604690ef321289416d58a90ffc85630689
com.kubukoz	debug-utils_3.0.0-RC2	1.1.2		13720a69fae83a1cf2416c6d29cb81c2a8edebc3
com.kubukoz	debug-utils_3.0.0-RC2	1.1.3		04a4969654da5eb3e37363ca81b8bc1496301500
com.playtika.testcontainers	embedded-azurite	2.0.20		c6d8c05de50703dabb185ab222403c0853225c73
com.playtika.testcontainers	embedded-azurite	2.1.0		f0cb9a23526a7f7c0f5e7bba49a5dbab037a495c
com.playtika.testcontainers	embedded-azurite	2.1.2		5a11318886a59006556b13fd82dd4f02952ac161
com.playtika.testcontainers	embedded-azurite	2.1.3		7352b1a3dbf5f08256f0983124142dfa7dcc06e1
com.playtika.testcontainers	embedded-azurite	2.1.4		afd67cf51aae8167b7357d67a4ba0b3e512193ef
com.playtika.testcontainers	embedded-azurite	2.1.5		b070f10124ae8c804ff452c8fbe703907dc3917a
com.playtika.testcontainers	embedded-azurite	2.1.7		9d4664ae48c52ad237f59a4a34caf146af9be3d7
com.playtika.testcontainers	embedded-azurite	2.1.8		9c7727de8d8c69741f0aab6bbd0e233095ef19f5
com.playtika.testcontainers	embedded-azurite	2.2.0		14410b0b519e009dcc1af4f8ebaf8f265a3e0d17
com.playtika.testcontainers	embedded-azurite	2.2.1		f961e9e2ac06b60fb4af6641d7ce0736235d3d76
com.playtika.testcontainers	embedded-azurite	2.2.10		8b6e9e344a7a6ab3f87cf9eb6e2ac08032a357eb
com.playtika.testcontainers	embedded-azurite	2.2.11		61e8e0a4971418f31c0724cb1a929e40b1d208b4
com.playtika.testcontainers	embedded-azurite	2.2.12		9eb7d1f4526718c239ec3b72603aee89fecbb10b
com.playtika.testcontainers	embedded-azurite	2.2.13		a409584577c1b0879ca55ca0b1f78e0a26d94f37
com.playtika.testcontainers	embedded-azurite	2.2.14		970e92173b008ad4637c8e74195940c5845c41d6
com.playtika.testcontainers	embedded-azurite	2.2.2		b84f225f334bb5229f76868881ef01d9d57eb96f
com.playtika.testcontainers	embedded-azurite	2.2.3		7a01ba8d50ccb4f297e1ae164fcadf502f33be09
com.playtika.testcontainers	embedded-azurite	2.2.4		f6c1272d5f9b1aff06afb7149ce167f94b29420d
com.playtika.testcontainers	embedded-azurite	2.2.5		15b5666ea0bdd2d93873b0e7fea3acb7fb2c6f87
com.playtika.testcontainers	embedded-azurite	2.2.6		4e56948483dcdc718427b492c540a6948366494b
com.playtika.testcontainers	embedded-azurite	2.2.7		bfecf76cc1e1dda9f2c70f25c133b720c12cdda4
com.playtika.testcontainers	embedded-azurite	2.2.8		decfc875ed6dbb363b4dc889e618ece26b42be31
com.playtika.testcontainers	embedded-azurite	2.2.9		27348c72436e29ee5dad79eabcf80e774ecd29bd
com.playtika.testcontainers	embedded-azurite	2.3.1		a4467c6453cfe02edb35621378ba6cba2b781229
com.playtika.testcontainers	embedded-azurite	2.3.2		bbef49ea5aef1ff93e833e095582620b8f5f2d46
com.playtika.testcontainers	embedded-azurite	2.3.3		5e9ff3e60693296fac9c0872d02884c857f448a8
com.playtika.testcontainers	embedded-azurite	2.3.4		966419ee05bec653656783d28e69181785272cd7
com.playtika.testcontainers	embedded-azurite	2.3.5		49c9011bf213e246fa1d6f45d63300fe96de0996
com.playtika.testcontainers	embedded-azurite	2.3.6		00e3fbae21bc7b836f584f1a9e655813bfbe68b8
com.playtika.testcontainers	embedded-azurite	2.3.7		d72e3ddc12803be1db2c385668c77c0c56935076
com.playtika.testcontainers	embedded-azurite	2.3.8		e71760641bea324551bd93ffdeb0f99be37f47a7
com.playtika.testcontainers	embedded-azurite	3.0.0		649cd92f7bd8235e8f19d0c02e64fc027c280225
com.playtika.testcontainers	embedded-azurite	3.0.0-RC1		23cb976bffb3d965ae85e3b6d980376db72951c3
com.playtika.testcontainers	embedded-azurite	3.0.0-RC2		545cc8ee9439c79a7070cd9907d5b15918b905b4
com.playtika.testcontainers	embedded-azurite	3.0.0-RC3		c3e0193ebc102883a4105c8710e9e65c191b56c7
com.playtika.testcontainers	embedded-azurite	3.0.0-RC4		09083ee8ba8ec58e2f83eb0d2f0dfcb42c05d1c8
com.playtika.testcontainers	embedded-azurite	3.0.0-RC5		279fee7d50e670f15a327b23bca1b0e7d1073789
com.playtika.testcontainers	embedded-azurite	3.0.0-RC6		2708056a1df47296cbfb45c756072ea8e4ce53cd
com.playtika.testcontainers	embedded-azurite	3.0.0-RC7		46cc9b2bf5cc1a9adf61dd94ae6c14a8e44c4c71
com.playtika.testcontainers	embedded-azurite	3.0.0-RC8		f931fefe9a4043139404a7256ed8cc7f051dec16
com.playtika.testcontainers	embedded-azurite	3.0.0-RC9		103f8fad25db993deb16b03816db281c85ad768c
com.playtika.testcontainers	embedded-azurite	3.0.1		48d50f5e021cfc4e3134d042bfe5de97bd3fc01a
com.playtika.testcontainers	embedded-azurite	3.0.3		846fe2790c2e2b14612a2c40b88616c5c3c314cd
com.playtika.testcontainers	embedded-azurite	3.0.4		71571161a671d2cf2091545f913922de90a519aa
com.playtika.testcontainers	embedded-azurite	3.0.5		997957fdaaf7ceb83d2fdd4ea88383dec8ffaeaf
com.playtika.testcontainers	embedded-azurite	3.0.6		232b7c78147bcbf0f0c176254222a4e28841f20b
com.playtika.testcontainers	embedded-azurite	3.0.7		ff30a1623681fa78ab7891af8b5c47305a53300c
com.playtika.testcontainers	embedded-azurite	3.0.8		c6901433b1507f4d4415946ee1aead7d5f10492d
com.playtika.testcontainers	embedded-azurite	3.1.0		56232d1ae62f292d951639f7fd1fef508eb9d5e5
com.playtika.testcontainers	embedded-azurite	3.1.1		b1bc0c9384c64cb5b3276f6dc525067e386b70a7
com.playtika.testcontainers	embedded-azurite	3.1.10		00a5371d90f3c284136faa70a59a0b1913a0d1fa
com.playtika.testcontainers	embedded-azurite	3.1.11		649505e4a7ec17643e3bbdf938fb2f6fda745249
com.playtika.testcontainers	embedded-azurite	3.1.2		6d34821268342c74f70cfa312074745e4ee9d15b
com.playtika.testcontainers	embedded-azurite	3.1.3		c07a985d52b4b4f4b4dae536c31a215ddb841aae
com.playtika.testcontainers	embedded-azurite	3.1.4		b5a55c3a41152d386083e288f91dd27b0886ccb0
com.playtika.testcontainers	embedded-azurite	3.1.5		f5f90d7fddaa4ca6b545bea1e0af95e856f1d47e
com.playtika.testcontainers	embedded-azurite	3.1.6		c79db25c9352f2ab87e9c63be1d44b83b7661c29
com.playtika.testcontainers	embedded-azurite	3.1.7		d5ce6412f8a10817ac76d7e90f0b9174aca54d4a
com.playtika.testcontainers	embedded-azurite	3.1.8		53c20f6b09d0007e62121a63e3ba47daa206f50e
com.playtika.testcontainers	embedded-azurite	3.1.9		b42282fe6a105b92f47e11a3e5209c7f1870f8e3
com.raquo	dombuilder_2.13	0.9.3		203750c80c39275479f846c589989a0189ce50ca
com.wepay.waltz	waltz-demo	0.10.0		09800863d5b2e7f58307b4c1a864c4d3a3e2eb73
com.wepay.waltz	waltz-demo	0.10.0	all	45b13d9f95c1e04068ef5d0a1d51b6eb0ee0691e
com.wepay.waltz	waltz-demo	0.11.0		05a12386b174a5b8e2a970a41b83773fa33c6162
com.wepay.waltz	waltz-demo	0.11.0	all	3686208b9bc440c8b0086a0c9ba734f171c614a9
com.wepay.waltz	waltz-demo	0.11.1		de1ad4ee52617351ea702a649fa7963aafd25f53
com.wepay.waltz	waltz-demo	0.11.1	all	7f007e2580d62a7ee12d409f84efb535406d920b
com.wepay.waltz	waltz-demo	0.11.2		6101d72bda0db04b46a85f5607a8149051d190f0
com.wepay.waltz	waltz-demo	0.11.2	all	b11f55cf59ac51ee9d3840cd5fbf6d24fec6da00
com.wepay.waltz	waltz-demo	0.12.0		8e1b1b261842a449e623c37f25079f4d3aa30dc9
com.wepay.waltz	waltz-demo	0.12.0	all	f8a5614e535e8c10f852afbffe58ece2549e6b28
com.wepay.waltz	waltz-demo	0.12.1		5d20598435465e2943b9dcc92e5f45f41b724792
com.wepay.waltz	waltz-demo	0.12.1	all	191db02797cfeb206dfcf965d32dfd990fd8c6d7
com.wepay.waltz	waltz-demo	0.13.0		976bd07460cabe92eedc425db01d447f895c9b40
com.wepay.waltz	waltz-demo	0.13.0	all	57a373ce1c161bd9967546f83213d618f5ef95ad
com.wepay.waltz	waltz-demo	0.13.1		1c3a754bb23aee6d64c685f265b320f226902a42
com.wepay.waltz	waltz-demo	0.13.1	all	6c6915d9dfdaf9c008c6ea7cd615028b749885dc
com.wepay.waltz	waltz-demo	0.13.2		8fc5149022e82ccf3a1cb84f09e9d9839a42159a
com.wepay.waltz	waltz-demo	0.13.2	all	686561821d7d21d33a93eebe4f86b8e8127e4a75
com.wepay.waltz	waltz-demo	0.4.0		93290a7355fd9a969af84b3910048a0815d7ffc2
com.wepay.waltz	waltz-demo	0.4.1		68fdd090a4dcfe3dc0ed250810cc738b707a421c
com.wepay.waltz	waltz-demo	0.4.1	all	83c4496f93074b466912b10ee1093196904da21e
com.wepay.waltz	waltz-demo	0.4.2		0a4a5fb3f452fda0f06baa04633e90b91040556f
com.wepay.waltz	waltz-demo	0.4.2	all	1ac70d6d479216505a6be79492e84feee0c5340c
com.wepay.waltz	waltz-demo	0.5.0		b1415c5826cd01e1315bd8cc200179670b523b19
com.wepay.waltz	waltz-demo	0.5.0	all	398c05fb4cce9158f90d212157c6046559a7f266
com.wepay.waltz	waltz-demo	0.6.0		a9855d0f5d6eed59396091d95bc158777c8e73ef
com.wepay.waltz	waltz-demo	0.6.0	all	e227eed1986743b124d08d1bc97a5a06ea6a989a
com.wepay.waltz	waltz-demo	0.7.0		2b3f6840b9594dac0e3c9acf4fab0d8029e5df86
com.wepay.waltz	waltz-demo	0.7.0	all	364a7e7821889b922b5c09f08ac5d9c53dd801ea
com.wepay.waltz	waltz-demo	0.8.0		71498496f5a6e2b989149b1ef0707f7f1ac3e7bf
com.wepay.waltz	waltz-demo	0.8.0	all	139b39dc84feb71bd3f6f1302d30b2a1d19ee1e6
com.wepay.waltz	waltz-demo	0.8.1		a7b2832c2cc6ec826b25f6e08cd04591b08cc652
com.wepay.waltz	waltz-demo	0.8.1	all	075770adb8ce2186cd7a851f10ea770b7ce0aea6
com.wepay.waltz	waltz-demo	0.8.2		6f57e1fba33cca49e6eb7e991587fda8154fe6e2
com.wepay.waltz	waltz-demo	0.8.2	all	b1dcfe0759916fbb610d728b225039afb58e1386
com.wepay.waltz	waltz-demo	0.9.0		39b89201f63959c05cc9054a6fbd9d695cf70f62
com.wepay.waltz	waltz-demo	0.9.0	all	92a60bbe590e45ab71a3cb46a0f7c7b0cc8b0c19
com.yuvalshavit	antlr-denter	1.0		4cbfefefeedc720b67ea46316b2fd162de9d60bd
com.yuvalshavit	antlr-denter	1.1		d5d5c395b63d8cf2a86aac8f16628e8d7bcb3881
com.zenvia	zenvia-api-sdk-client-spring	0.9.0		0b94d4e8942fc3f2d2a44a3ed7a5a3495fa183ce
com.zenvia	zenvia-api-sdk-client-spring	1.0.0		3bbb7f713c7b27fc8e26f8388518907e3c9c6860
com.zenvia	zenvia-api-sdk-client-spring	1.1.0		f2cd3008d9ad57b2064126d5d51f6b1ae951571f
de.jensklingenberg.ktorfit	ktorfit-converters-call-mingwx64	1.10.0		N/A
de.jensklingenberg.ktorfit	ktorfit-converters-call-mingwx64	1.10.1		N/A
de.jensklingenberg.ktorfit	ktorfit-converters-call-mingwx64	1.10.2		N/A
de.jensklingenberg.ktorfit	ktorfit-converters-call-mingwx64	1.11.0		N/A
de.jensklingenberg.ktorfit	ktorfit-converters-call-mingwx64	1.11.1		N/A
de.jensklingenberg.ktorfit	ktorfit-converters-call-mingwx64	1.12.0		N/A
de.jensklingenberg.ktorfit	ktorfit-converters-call-mingwx64	1.13.0		N/A
de.jensklingenberg.ktorfit	ktorfit-converters-call-mingwx64	1.14.0		N/A
de.jensklingenberg.ktorfit	ktorfit-converters-call-mingwx64	1.7.0		N/A
de.jensklingenberg.ktorfit	ktorfit-converters-call-mingwx64	1.8.0		N/A
de.jensklingenberg.ktorfit	ktorfit-converters-call-mingwx64	1.8.1		N/A
de.jensklingenberg.ktorfit	ktorfit-converters-call-mingwx64	1.9.0		N/A
de.jensklingenberg.ktorfit	ktorfit-converters-call-mingwx64	1.9.1		N/A
de.jensklingenberg.ktorfit	ktorfit-converters-call-mingwx64	2.0.0		N/A
de.jensklingenberg.ktorfit	ktorfit-converters-call-mingwx64	2.0.0-beta1		N/A
de.jensklingenberg.ktorfit	ktorfit-converters-call-mingwx64	2.0.0-rc01		N/A
de.jensklingenberg.ktorfit	ktorfit-converters-call-mingwx64	2.0.1		N/A
de.jensklingenberg.ktorfit	ktorfit-converters-call-mingwx64	2.1.0		N/A
de.jensklingenberg.ktorfit	ktorfit-converters-call-mingwx64	2.2.0		N/A
de.jensklingenberg.ktorfit	ktorfit-converters-call-mingwx64	2.3.0		N/A
de.jensklingenberg.ktorfit	ktorfit-converters-call-mingwx64	2.4.0		N/A
de.jensklingenberg.ktorfit	ktorfit-converters-call-mingwx64	2.4.1		N/A
de.jensklingenberg.ktorfit	ktorfit-converters-call-mingwx64	2.5.0		N/A
de.jensklingenberg.ktorfit	ktorfit-converters-call-mingwx64	2.5.1		N/A
de.jfachwert	bank	6.0.0		7e9a430eeb6839b3b6c4704c000c90d71d5b31ae
de.jfachwert	bank	6.0.1		7da8034b119f288742f8709cf39a7504d2a85e35
de.jfachwert	bank	6.0.2		869f9ad89330f7f90bacc047bfb59a1da9b2cc08
de.jfachwert	bank	6.1.0		08f1e9c5323071f5e6e77d868878e84f4788e659
de.jfachwert	bank	6.1.1		99392e76d42c296ac25b83014799ca7782600890
es.atrujillo.mjml	mjml-rest-client	1.1.0		942602532b2e65bcd2a20c1a39cdba89261de1f1
es.atrujillo.mjml	mjml-rest-client	1.1.3		38d8654efdfc8ec95124c0c3a80905c061278eef
es.atrujillo.mjml	mjml-rest-client	1.2.2		9051eb162aea040d3d0cfadbb6b061351cdbdae8
es.atrujillo.mjml	mjml-rest-client	1.3.0		4525947699b0a2cffc674694eab8ebd15b891975
es.atrujillo.mjml	mjml-rest-client	1.4.0		634eeaa0bfe39e9f12f8260c254e62d7e8c59ecb
es.atrujillo.mjml	mjml-rest-client	1.4.1		4ccca3091764b8b96ea06f8bac6de001cfb72627
es.atrujillo.mjml	mjml-rest-client	1.4.2		049017121717601101c4cd7fec1b4bbd811d4604
