at.released.weh	filesystem-test-fixtures-linuxarm64	0.1-alpha01		N/A
com.aspectran	aspectran-with-thymeleaf	8.3.2		df43298b25e8395a55c761b74c12459c718e03a2
com.aspectran	aspectran-with-thymeleaf	8.3.3		fd92d9a787926a4b6ef2e011efbb60925d522244
com.aspectran	aspectran-with-thymeleaf	8.4.0		4c6f67874c3135115525b1d45b5e1b8f7bf97914
com.aspectran	aspectran-with-thymeleaf	8.4.1		4bf2d9cd893953d7798726e2359d0e65aa2e6f2d
com.aspectran	aspectran-with-thymeleaf	8.4.2		b381b0a96fe9689dd59e14ef108c15c8bd074f7b
com.aspectran	aspectran-with-thymeleaf	8.4.3		630a1eb4527b9c596a2e0c0b4cfb85252468e2e7
com.bartoszlipinski	recyclerviewheader2	2.0.0		N/A
com.bartoszlipinski	recyclerviewheader2	2.0.1		N/A
com.blackducksoftware.integration	hub-artifactory-common	0.0.1		a6b4cae0dfc37736dee796d9abfc2727278f03cd
com.blackducksoftware.integration	hub-artifactory-common	0.0.10		5b28edc428d550d7f64b3dd72808b184a387f0fa
com.blackducksoftware.integration	hub-artifactory-common	0.0.11		2381c688fc959d1c174fe431af9c772b377bc3b5
com.blackducksoftware.integration	hub-artifactory-common	0.0.12		4082fec31d74feb94bae730a44f2540c7c40ab9a
com.blackducksoftware.integration	hub-artifactory-common	0.0.13		e736e734be277df4fc439ddf8c2623f14f365c7a
com.blackducksoftware.integration	hub-artifactory-common	0.0.14		7c390a01f98251f4ecc389a820bf19930ccced84
com.blackducksoftware.integration	hub-artifactory-common	0.0.15		bdafb83baff20f260a1066cc86938b002f9c23aa
com.blackducksoftware.integration	hub-artifactory-common	0.0.16		b0571109325203b9478a56e760af603338f2c17e
com.blackducksoftware.integration	hub-artifactory-common	0.0.17		5936c75e1cf98483339cb1d099e311d2d899bc12
com.blackducksoftware.integration	hub-artifactory-common	0.0.18		c9bf7d8933c54ddcc61e9ff40494e239c6e513cd
com.blackducksoftware.integration	hub-artifactory-common	0.0.19		30ad961d4fe5b78cc2a20151514b2d4e338aa0f3
com.blackducksoftware.integration	hub-artifactory-common	0.0.2		95d9bb129d9991256d824b3238e10a3ccc2b6506
com.blackducksoftware.integration	hub-artifactory-common	0.0.3		d1cf13ed41b877753a846737752e9ff16f9c6374
com.blackducksoftware.integration	hub-artifactory-common	0.0.4		54f98905e7f7c1b66d64adcb54aa3a076dd71890
com.blackducksoftware.integration	hub-artifactory-common	0.0.5		df456f5a6cab72c090755ec76564b8a20a839bb4
com.blackducksoftware.integration	hub-artifactory-common	0.0.6		de1077e693eb75f9779d06325e2f9745f8a0da12
com.blackducksoftware.integration	hub-artifactory-common	0.0.7		7418cb217a09bc19bb38334402c2c08a33412a47
com.blackducksoftware.integration	hub-artifactory-common	0.0.8		4a0217384516726f914c9c7fc7b25fd06f2823f1
com.blackducksoftware.integration	hub-artifactory-common	0.0.9		a8611a224c1e82c4693140b6ba2b064c95ecc986
com.blackducksoftware.integration	hub-artifactory-common	0.1.0		c7b71bd9033f62888ca3b475910775e440562416
com.blackducksoftware.integration	hub-artifactory-common	0.1.1		4b815217740eec8b7fc736c19eb67bb7e515e33e
com.blackducksoftware.integration	hub-artifactory-common	0.1.2		0ef7b4c6bf61a3bee09e40409fae2012d135193e
com.blackducksoftware.integration	hub-artifactory-common	0.2.0		826167ca3dbdcf392253fe0650d74bf2f7b16a05
com.blackducksoftware.integration	hub-artifactory-common	0.2.1		3badf18a6c8990724a3c25e42c45c13a59e51320
com.blackducksoftware.integration	hub-artifactory-common	0.2.2		189ea104ef1e2a9736b4dde3b6ae91322e615a85
com.brienwheeler.lib	lib-email	1.0-RELEASE		80eba3f2cb70652925f532fb737f5f4d2f38ffd0
com.brienwheeler.lib	lib-email	1.01-RELEASE		5236eceeecb54081b420aa5841f439955191cb60
com.brienwheeler.lib	lib-email	1.02-RELEASE		4e8aa97b26b4a31eaef9b12621e90b5fecca0b60
com.brienwheeler.lib	lib-email	1.03-RELEASE		866a17141e6fe426e3ae7568c0d6b0e941f533e3
com.brienwheeler.lib	lib-email	1.05-RELEASE		4cecaf3395834c0093ee28c96456c3cc16dc15e8
com.brienwheeler.lib	lib-email	1.06-RELEASE		f22f4813cde9250bcb7287ce683ab62a7c15a72d
com.brienwheeler.lib	lib-email	1.07		3f3ecbf4c955801444518fec189aeda1d0d443d4
com.brienwheeler.lib	lib-email	1.07-RELEASE		25248b2a4a8a25a91657ee49e6f7b5b0818928c9
com.brienwheeler.lib	lib-email	1.08		c1ec6667c26e85a18256f4ecfa25e64a63248599
com.brienwheeler.lib	lib-email	1.09		38e708f9af5b34ee455c7aecc6740e616cff65b4
com.brienwheeler.lib	lib-email	1.10		9ebbad094ca82510a3434bc2fe69d91d8d51563b
com.brienwheeler.lib	lib-email	1.11		185c30b448faa14abbeb4728621d0569e954be23
com.buession.springcloud	buession-springcloud-metrics	1.0.1		e7fa357b3237ea59bfbaa12c7becd76dc9aaf39c
com.buession.springcloud	buession-springcloud-metrics	1.1.1		2c763897a2c7828419b361f0c7e9c9d738f0c43a
com.buession.springcloud	buession-springcloud-metrics	1.1.2		cf0f67f0a635b0c4d500d0fa1d9d1f55b3db4169
com.buession.springcloud	buession-springcloud-metrics	1.2.0		54ca36387629d51736832dceb77d5729189394c0
com.buession.springcloud	buession-springcloud-metrics	1.2.1		a4e46d73f749e1bc3b2b3ebaefea6e76621f8e9d
com.buession.springcloud	buession-springcloud-metrics	1.2.2		be12ffd51a5067e32c27a70ad2578b9dd9858862
com.buession.springcloud	buession-springcloud-metrics	1.3.0		b0d34336bc5742dd19b9bcabf2e25a12ce1ead84
com.buession.springcloud	buession-springcloud-metrics	1.3.1		8e6d34e17f75f301185eb187a80675b6099d13d6
com.buession.springcloud	buession-springcloud-metrics	1.3.2		987b83146fd5753a7f9e2c1b469308b08ceefab2
com.buession.springcloud	buession-springcloud-metrics	2.0.0		7886859370041c4295c4d1d9bc4ab26ff9c43929
com.buession.springcloud	buession-springcloud-metrics	2.0.1		15f227f90a6fc1a470a99d4bdcc7997f93e859cd
com.buession.springcloud	buession-springcloud-metrics	2.0.2		80d8e391d1b58bc2fe853ff58821261672fd8125
com.buession.springcloud	buession-springcloud-metrics	2.1.0		c96aaeade607a4b34ebeb4a536febf2f267e6208
com.buession.springcloud	buession-springcloud-metrics	2.1.1		480a4e2883715f3b1bc990147e4bbcfb6a850bd6
com.buession.springcloud	buession-springcloud-metrics	2.1.2		39eb0ffa66cea706e95bdeebb0c7828e13273eca
com.buession.springcloud	buession-springcloud-metrics	2.2.0		242e4086e5b8e537b3de50a7089bba9a8a869e27
com.buession.springcloud	buession-springcloud-metrics	2.2.1		d2fd8e6446603a6caeba8b539d48d054b0c8a849
com.buession.springcloud	buession-springcloud-metrics	2.3.0		76f58bf705a5285e04500a00f8da44cdb86c7da4
com.buession.springcloud	buession-springcloud-metrics	2.3.1		e2e2c08631cc77b1de55129681b64e07ad773a81
com.buession.springcloud	buession-springcloud-metrics	2.3.2		16a958c7fc1e0ed402b13da62f6e5b67a012bd0b
com.buession.springcloud	buession-springcloud-metrics	2.3.3		bb0d7cd36a76ce6e37937224a204d4b874ab76d9
com.danielfrak.code	springdoc-openapi-externalized-documentation	1.0.0		e1ef0d4a529abef45fc2c96a36e5983025201888
com.datadoghq	dd-sdk-kotlin-multiplatform-logs-android	0.0.1		N/A
com.datadoghq	dd-sdk-kotlin-multiplatform-logs-android	0.0.2		N/A
com.datadoghq	dd-sdk-kotlin-multiplatform-logs-android	0.0.3		N/A
com.datadoghq	dd-sdk-kotlin-multiplatform-logs-android	0.4.0		N/A
com.datadoghq	dd-sdk-kotlin-multiplatform-logs-android	0.5.0		N/A
com.datadoghq	dd-sdk-kotlin-multiplatform-logs-android	1.0.0		N/A
com.datadoghq	dd-sdk-kotlin-multiplatform-logs-android	1.1.0		N/A
com.fortysevendeg	fetch-monix_2.10	0.5.0		307527e34019534b120c7809d1c7ad227897657b
com.frontegg.sdk	common	0.0.10		a1a59fcccb2c1533161f146e3bb244a7c0a7332d
com.frontegg.sdk	common	0.0.2		62af3dc3fdd2475da3afde7f640999993d1e88c0
com.frontegg.sdk	common	0.0.24		8d9dd42a930c413ba47bd3c1a81cdd8096768c01
com.frontegg.sdk	common	0.0.25		2e1bb047309e7cf81f4305843767e90ac60d7d07
com.frontegg.sdk	common	0.0.26		8675e24c9f3ff5157b5d7418ebc6758fb0d9afb8
com.frontegg.sdk	common	0.0.27		bcd36357ea58fc6b7d5669aa0c1619a238630149
com.frontegg.sdk	common	0.0.28		c39dd400737d5fe01a7cfe75970fa3d4d0011db1
com.frontegg.sdk	common	0.0.3		dda1a26d3b55a24d8b6b8de85a0b26398a74d75b
com.frontegg.sdk	common	0.0.4		4cb82736f213ecb61a43bb83dbfae9330def9e1d
com.frontegg.sdk	common	0.0.5		c7970b20e957d1dbea843ac875d2f8cf3b0385ba
com.frontegg.sdk	common	0.0.6		2f72edcf73b295cb59e06366a76ad6f2c07dab85
com.frontegg.sdk	common	0.0.7		b780dba5220efada0eafca75209920056f3de809
com.frontegg.sdk	common	0.0.9		b1b443c88c54215320ed4e8e866bafb97e74e672
com.gitee.zodiacstack	zodiac-http-java11-spring-boot-starter	1.7.0		e82adbdc84a58bca4247c9ab5af5ab39729dca4b
com.gitee.zodiacstack	zodiac-http-java11-spring-boot-starter	1.7.1		45a677b1325ec333dfbc2713a3fa6835e48043b2
com.github.czyzby	uedi-core	0.1		3a1deed2d44fae8f9c4299bcf85888be05377a74
com.github.czyzby	uedi-core	0.2		eaf80a91604a251a74907986eebb39d3e2b6d5ec
com.github.dkhalansky	paradisengplugin_2.12.3	0.1.3		2563444e6b556439d6633f0496580512e7e66697
com.github.javaclub	wechat	1.0.0		71a2867ff101d5f0db795aa3523921842dbc011a
com.github.javaclub	wechat	1.0.1		601ebee64727e9706435b8e286aa1e4c330c8f78
com.github.javaclub	wechat	1.0.4		170e612778ef469b3e7e4d47e3a8ac0c528fedb6
com.idealista	format-preserving-encryption	1.0.0		859ed97603e4d1c4fdb456ca6e963a9f26edc0ca
com.inrupt	inrupt-rdf-wrapping-commons	0.1.4		69d54a944fb8d9f6894a6bd5e0665d292ea7fd01
com.inrupt	inrupt-rdf-wrapping-commons	0.2.0		d932c026c4ed14a94aa7242c0a9c62132a72dbd7
com.inrupt	inrupt-rdf-wrapping-commons	0.2.1		b416c46dbbcb89fd123b95d4aa87b60915da497b
com.inrupt	inrupt-rdf-wrapping-commons	0.3.0		c214733dd964f6893102c2932506ef32d97897d0
com.juul.kable	kable-exceptions-iosx64	0.33.0		N/A
com.juul.kable	kable-exceptions-iosx64	0.33.0	metadata	00d1f4e418a6a92b72f2fcbdd0a213612ce87b93
com.juul.kable	kable-exceptions-iosx64	0.33.1		N/A
com.juul.kable	kable-exceptions-iosx64	0.33.1	metadata	cb665d3a5d1d6ad5d86a7418eff4b77e00a7fca1
com.juul.kable	kable-exceptions-iosx64	0.33.2		N/A
com.juul.kable	kable-exceptions-iosx64	0.33.2	metadata	85725ac105935c12d6c19c4adfd6a975b7490266
com.juul.kable	kable-exceptions-iosx64	0.34.0		N/A
com.juul.kable	kable-exceptions-iosx64	0.34.0	metadata	1f148def027b484ca50be8dc4866cf849519ba71
com.nomanr	composables-macosx64	1.1.0		N/A
com.nomanr	composables-macosx64	1.1.0	metadata	93cdddf3759b51986a6cba27db2a87682d4f93ed
com.nrinaudo	kantan.regex-laws_sjs1_2.13	0.5.2		ceb38dce049a0ffde6791708188897d0c8614265
com.nrinaudo	kantan.regex-laws_sjs1_2.13	0.5.3		0e926d1266533692f61724115af767e9e0e83536
com.nrinaudo	kantan.regex-laws_sjs1_2.13	0.6.0		f5c65d39b053c2b01ab60c9a1cfa198652fd5da5
com.parisesoftware	archetypes-user	1.0.4		3178f7c8ecc552d17362b838020896c59085cb1d
com.peterlavalle	libgdx-degen.lwjgl	0.9.6		963c8f4316a7744f16ae19ea675cb29a81bddf19
com.sizebay.kikaha	sizebay-kikaha-memcached	0.1.0		7897e2ed75faa53cf9ef03adac29d7f7127b29e9
com.splendo.kaluga	test-utils-architecture-androidlib-debug	0.5.0		N/A
com.splendo.kaluga	test-utils-architecture-androidlib-debug	1.0.0		N/A
com.splendo.kaluga	test-utils-architecture-androidlib-debug	1.1.0		N/A
com.splendo.kaluga	test-utils-architecture-androidlib-debug	1.2.0		N/A
com.splendo.kaluga	test-utils-architecture-androidlib-debug	1.2.1		N/A
com.splendo.kaluga	test-utils-architecture-androidlib-debug	1.3.0		N/A
com.splendo.kaluga	test-utils-architecture-androidlib-debug	1.3.1		N/A
com.splendo.kaluga	test-utils-architecture-androidlib-debug	1.4.0		N/A
com.sun.grizzly.samples	grizzly-webcontainer-samples	2.0.0-RC1		71c7489f3190ef7aa77473601a2829c8acf26b40
com.tourgeek.tour	com.tourgeek.tour.util	0.8.2		9388b0ab6498db609daaece7005f65a4d8d1d049
com.tourgeek.tour	com.tourgeek.tour.util	0.8.3		4f02faa91ff91a226c9ee3bc2830776a4e6ba739
com.tourgeek.tour	com.tourgeek.tour.util	0.8.4		c5fc44b8e375ddc2ba9b285e9a879ce9bb297e26
com.tourgeek.tour	com.tourgeek.tour.util	0.8.5		bcf7dfecdf83f11c3b3cff586bf1412b206a8af7
com.yanzhenjie.zbar	zbar	1.0.0		N/A
de.beyondjava	angularfaces-2.1.7-documentation	2.1.7		N/A
io.buoyant	linkerd-tls_2.11	0.7.0		b5f74acb65e5c94f04992ee3d2b7bbdabd66b1aa
io.buoyant	linkerd-tls_2.11	0.7.1		48c9e0cae4eb79493c5d32d1b7e600923bc39cd3
io.buoyant	linkerd-tls_2.11	0.7.3		c0f3ba0eca6a951a35dbb6658e826a0bf2db8522
io.buoyant	linkerd-tls_2.11	0.7.4		4e71d1b84e1d5de75aefea80c0d45c85b35554a6
io.buoyant	linkerd-tls_2.11	0.7.5		d0d97dd2af7f9cbe08527b576983d3be1bed14cd
io.buoyant	linkerd-tls_2.11	0.8.0		8d191bc96a86211e597d7f8e130007806dc250cc
io.buoyant	linkerd-tls_2.11	0.8.1		869b1740967e5cf1466431a70cc24d29e52a38bc
io.buoyant	linkerd-tls_2.11	0.8.2		8d7b6b73c1dfa67c2269456485e5c38b38b7db74
io.buoyant	linkerd-tls_2.11	0.8.3		afb0de4a7ea8170400ef4fa7d93ab174b5c68ca8
io.buoyant	linkerd-tls_2.11	0.8.4		7769e8fabfa0046bd48025d4940f8421b9b43885
io.buoyant	linkerd-tls_2.11	0.8.5		3ecf150def964fc6020b9f48197a670907418b98
io.buoyant	linkerd-tls_2.11	0.8.6		7f0816e2f5b4ce3cf6719a062d799a978e500a62
io.buoyant	linkerd-tls_2.11	0.9.0		6f5c50c92683a38eac136f9f1ce8ab1ffc6d16c2
io.buoyant	linkerd-tls_2.11	0.9.1		50d35f511934101b62ef796216905e3d830a449d
io.buoyant	linkerd-tls_2.11	1.0.0		4b2dcdcd8c17be9cd30069478492a5962caade7d
io.buoyant	linkerd-tls_2.11	1.0.2		ef464dec0bbd13e8ec9340862959de56da3bee7f
io.buoyant	linkerd-tls_2.11	1.1.0		31dcdd2d6ff858b6575c81edd1872a137f5d3b7f
io.buoyant	linkerd-tls_2.11	1.1.1		88aa4c24a82e2233af9039f1370529b98f0a6061
io.buoyant	linkerd-tls_2.11	1.1.2		f9a6ea78e13cefdf5731e443d26a9e17321212d4
io.buoyant	linkerd-tls_2.11	1.1.3		74e1fe5fb88180ba74324c787423d3e3f31b405e
io.buoyant	linkerd-tls_2.11	1.3.2		f32291b9ea9757cc0315354431ef3f5b88cc077b
io.cardell	ff4s-flipt-sdk-server_native0.4_2.13	0.0.1		a619d9b365fc0822a3b5265d7741d1de0c307bc0
io.cardell	ff4s-flipt-sdk-server_native0.4_2.13	0.0.1-alpha1		ff01343cbd0e1f278bb3cbc12f167d01df1902a8
io.cardell	ff4s-flipt-sdk-server_native0.4_2.13	0.0.1-alpha2		2608727bd297dfdfd7988f919f4bf37e3fc0313f
io.cardell	ff4s-flipt-sdk-server_native0.4_2.13	0.0.2		055027d3d1719078026a3410dd7e8926c7e198c0
io.cardell	ff4s-flipt-sdk-server_native0.4_2.13	0.1.0		6369d2501539a1aa847e981a45d72aa407b44d88
io.cardell	ff4s-flipt-sdk-server_native0.4_2.13	0.1.1		6480cb2951df4d602162e0b0845c24516c1f625d
io.cardell	ff4s-flipt-sdk-server_native0.4_2.13	0.1.2		a57df6afa7a4d319f138b842ec1cd36c47d96466
io.chrisdavenport	rediculous_native0.4_2.13	0.5.0		fe431056abc4d93e391365303ebbae151f686a57
io.chrisdavenport	rediculous_native0.4_2.13	0.5.1		f97848ea8d7a790d168a53a98212c2a7c012c887
io.chrisdavenport	rediculous_native0.4_2.13	0.6.0-M1		432c5564a71d9d52c77793b208ba11a4ef7f33bb
io.contract-testing.contractcase	contract-case	0.1.0		1cf940e6f206d60c3569aac12ebee0fce88f948a
io.contract-testing.contractcase	contract-case	0.19.0		8a6d8a27c386c44ce319b810fe3d7cccfffd95a9
io.contract-testing.contractcase	contract-case	0.19.1		c1fb9bac135f2317a875fc680803e4e077a45ec5
io.contract-testing.contractcase	contract-case	0.19.2		d2c376b781b9c4fc1d42f1c89202911282f9201b
io.contract-testing.contractcase	contract-case	0.2.3		bb03036d92d93e11600e0a2ca0b93f6ae969a85d
io.contract-testing.contractcase	contract-case	0.20.0		d0eac8eee805f059f47c5b642a757d4f30b8b08f
io.contract-testing.contractcase	contract-case	0.20.1		9a3bc5597416908b25cabdc92fd3bc45297f0ce7
io.contract-testing.contractcase	contract-case	0.21.0		79e2aad99317f089c196544e95add2cf3918947a
io.contract-testing.contractcase	contract-case	0.22.0		d18004677f6feeccdb40ff18638e21a963fac688
io.contract-testing.contractcase	contract-case	0.23.0		6fc4f501aea671775f4df0c1fd24eeebef925952
io.contract-testing.contractcase	contract-case	0.3.0		1d006d896e3fc64ba9f0d75bde506ebffdaf1b91
io.github.ahmad-hamwi	lazy-pagination-compose-wasm-js	1.2.4		N/A
io.github.ahmad-hamwi	lazy-pagination-compose-wasm-js	1.2.5		N/A
io.github.ahmad-hamwi	lazy-pagination-compose-wasm-js	1.3.5		N/A
io.github.ahmad-hamwi	lazy-pagination-compose-wasm-js	1.3.7		N/A
io.github.ahmad-hamwi	lazy-pagination-compose-wasm-js	1.4.0		N/A
io.github.ahmad-hamwi	lazy-pagination-compose-wasm-js	1.5.0		N/A
io.github.ahmad-hamwi	lazy-pagination-compose-wasm-js	1.5.1		N/A
io.github.ahmad-hamwi	lazy-pagination-compose-wasm-js	1.6.1		N/A
io.github.ci-cmg.echofish	echofish-aws-zarr-cruise-accumulator-lambda	1.0.0		eb96bedc98df83e98f4dd38d8863f4d16e55b7d1
io.github.eyesyeager	eyesStorage-spring-boot-starter	1.0.0		b3faf30a4add768c34df0d282a5cb0bbd7fb16fc
io.github.eyesyeager	eyesStorage-spring-boot-starter	1.0.1		8cf0aec92b54f17a2500fdb6a55e59719317f40e
io.github.eyesyeager	eyesStorage-spring-boot-starter	1.0.2		e433fbf69a1ea4d4b1ef3bf14c96244eccbea20e
io.github.eyesyeager	eyesStorage-spring-boot-starter	1.1.0		65085503f1a7ea9b98aa72c6f9a75dfe0851bed9
io.github.eyesyeager	eyesStorage-spring-boot-starter	1.1.1		a5250b02d267988b3412004ab8f18b5b91e79a99
io.github.hjcenry	ktucp-fec	1.1		b956034c3d6c71bc280ac8af538c2ade65598aea
io.github.hjcenry	ktucp-fec	1.2		e69565c8a05ab7ba8e1ab1fa729e0075529a51a7
io.github.hjcenry	ktucp-fec	1.3		09e3a3a9ac10c1f839f0a4e95f88c32f34c7a200
io.github.hjcenry	ktucp-fec	1.3-Alpha		28af36aa36864f921b2b7713231516d91354f838
io.github.kalinjul.kotlin.multiplatform	oidc-core-wasm-js	0.12.3		N/A
io.github.sanyavertolet.jswrappers	i18next-js	0.1.0		N/A
io.github.sanyavertolet.jswrappers	i18next-js	0.2.0		N/A
io.github.szhittech	java-library-test	0.0.3		fef18daa6a9c76d075ce52694cd5c8d24a89f52c
io.github.szhittech	java-library-test	0.0.4		1395b3dd14c4ad443923ca663bafbd94da9e358e
io.github.zj565061763.kmp	compose-wheelpicker-iossimulatorarm64	1.0.0-alpha01		N/A
io.github.zj565061763.kmp	compose-wheelpicker-iossimulatorarm64	1.0.0-alpha01	metadata	8173f00fed16a6df09cfb38e68cc7b0487dcc016
io.kevinlee	extras-string_2.12	0.41.0		93f04bcf39973b9fd3ec921c6667d32daa5e7adb
io.kevinlee	extras-string_2.12	0.42.0		f9f650f969555209fc54964252de1a7c77ec4951
io.kevinlee	extras-string_2.12	0.43.0		0591c3e031b6d42837cd6cf6643fcf7ae3aec887
io.kevinlee	extras-string_2.12	0.44.0		bcea46b38be41f2c6ea19b2781c4b759b3477b84
net.exoego	aws-sdk-scalajs-facade-fms_sjs1_2.12	0.29.0-v2.624.0		6698dff3f1c7885c986935f01221d9df6312ff52
net.exoego	aws-sdk-scalajs-facade-fms_sjs1_2.12	0.30.0-v2.715.0		231c2aa4ce58dfaba099ed4018a7706443588d92
net.exoego	aws-sdk-scalajs-facade-fms_sjs1_2.12	0.31.0-v2.731.0		dc6edcecaac657056250604bbf4358731cd9fe22
net.exoego	aws-sdk-scalajs-facade-fms_sjs1_2.12	0.32.0-v2.798.0		38cec284255672a900f25cdc2103d71e5a3ebaa4
net.exoego	aws-sdk-scalajs-facade-fms_sjs1_2.12	0.33.0-v2.892.0		ac0c39e415bb5717afc0bbbd9c7c0344c074e667
net.obvj	agents	0.1.0		e10afdcfca908aaeb654f41153ae4b4fe19080a5
net.obvj	agents	0.2.0		5c010e295d39472d9ea8bcf45f05fe150e024c6f
net.obvj	agents	0.3.0		4d058d100292000f64e9e996fc2b8833bc8e1ba8
net.obvj	agents	0.3.1		ba9d653a12ed83d5c281d45a5576588698e32ef7
net.obvj	agents	0.3.2		fa3dfd6f69bb319202aab8bb0b919f201508dfce
net.obvj	agents	0.3.3		ab9f0c2fde47255aa22c70c7c0b57fa335e09b84
net.sf.prefixedproperties	pp-core	3.0.0		f533276e7a27b2d433d906f23dbfb6367a680184
net.sf.prefixedproperties	pp-core	3.0.2		0b74f00d6c892e08599e04dbf320c1d69b9efe18
net.sf.prefixedproperties	pp-core	3.1.0		d1a0472687db2d872e6c0a50b5ee3e5330e671f9
net.sf.squirrel-sql.plugins	h2	3.2.0		87f303363477250b8477f076d66e0db12c57ec3c
net.sf.squirrel-sql.plugins	h2	3.2.0-RC1		3cc778f3360bf7032be9fa263f248b755456f57c
net.sf.squirrel-sql.plugins	h2	3.2.1		9a1e23dc8026b5f7e308ea2ddd81434dac975d1e
net.sf.squirrel-sql.plugins	h2	3.2.2		8b9698b6746a49ed29407a39f909d32ac3b14425
net.sf.squirrel-sql.plugins	h2	3.3.0		7098c3d44dbf83cf67f161366f25d768595147f9
net.sf.squirrel-sql.plugins	h2	3.3.0-rc1		4ccf9a19ff5693362ff7380b11fb17d96d930550
net.sf.squirrel-sql.plugins	h2	3.4.0		274d2f4a86367f785d4362a1444f51d3e37d2daf
net.sf.squirrel-sql.plugins	h2	3.5.0		db550590f629fb90d44eaf942b7f170253b90dd8
org.allurefw	allure1-model	1.0		cfd4d328364a7736448e42f088b53b5b8fb1c09d
org.apache.geronimo.configs	uddi-jetty6	2.0.1		N/A
org.apache.geronimo.configs	uddi-jetty6	2.0.2		N/A
org.apache.geronimo.configs	uddi-jetty6	2.1.5		N/A
org.apache.geronimo.configs	uddi-jetty6	2.1.6		N/A
org.apache.geronimo.configs	uddi-jetty6	2.1.7		N/A
org.apache.geronimo.configs	uddi-jetty6	2.1.8		N/A
org.apache.iceberg	iceberg-mr	0.10.0		d9d4a8e22439ef9aa1c63e73b6e20be6090f193b
org.apache.iceberg	iceberg-mr	0.11.0		a8b7087baadeedcf75e1bb9d7545db063a85754d
org.apache.iceberg	iceberg-mr	0.11.1		5e813d10c03b7c59eeaf597b3db51e80542052c9
org.apache.iceberg	iceberg-mr	0.12.0		e2a51bb9c3b7f7f2580ddd31b10f9c38d23561fb
org.apache.iceberg	iceberg-mr	0.12.1		46fc79681d0a40b196e7e3bd96190fa53d26ed88
org.apache.iceberg	iceberg-mr	0.13.0		3e25a57787eb5223f09d2dd7df3658cac77cd7c5
org.apache.iceberg	iceberg-mr	0.13.1		3e25a57787eb5223f09d2dd7df3658cac77cd7c5
org.apache.iceberg	iceberg-mr	0.13.2		3e25a57787eb5223f09d2dd7df3658cac77cd7c5
org.apache.iceberg	iceberg-mr	0.14.0		284f284b4fb77869362b2e15d4c2608471b67a81
org.apache.iceberg	iceberg-mr	0.14.1		655da9fcc2555200a03200a19c71f03d2fd147a8
org.apache.iceberg	iceberg-mr	0.8.0-incubating		abaefa0b7ba4aa97c8399aa6963488d22e7e462a
org.apache.iceberg	iceberg-mr	0.9.0		f7783743df3a564432a0b8d1c0980fbb44989eaa
org.apache.iceberg	iceberg-mr	0.9.1		857e9ce69657adcf856bab6a858777319077be23
org.apache.iceberg	iceberg-mr	1.0.0		0a2c51fd83d9cab2a0480b0033737f4e6b7fb719
