biz.paluch.visualizr	visualizr-parent	1.0		N/A
com.github.tkrs	fluflu-sf_2.11	0.5.11		487707caaba01f9a0762db2216f088ce309a0224
com.github.tkrs	fluflu-sf_2.11	0.5.3		00c6aa1be2d40ff93e69709e19c3cbe7da4a4ebf
com.github.tkrs	fluflu-sf_2.11	0.5.4		a479af35c01771d1eb48006087519d7dd1dbde7b
com.github.tkrs	fluflu-sf_2.11	0.5.5		dcb7835cf171fc8c9f4255beeb68f0f9a343fd40
com.github.tkrs	fluflu-sf_2.11	0.5.6		f35b1b642177eb7ecae0c0d26e704aa892137026
com.github.tkrs	fluflu-sf_2.11	0.5.7		b0b6fdc29d282ebc7a044b32ad6bcb9b614ca751
com.github.tkrs	fluflu-sf_2.11	0.5.8		63ad928b90ea7315de8bc99f0cfc4979e1b86c95
com.github.tkrs	fluflu-sf_2.11	0.5.9		bc00e0869318cf7fae38cfb41d4f4400516ee15a
com.github.valskalla	odin-slf4j_2.12	0.10.0		ccd1ee7c20f8a9c69c032f021c455dc34ccff4e9
com.github.valskalla	odin-slf4j_2.12	0.11.0		d6d9d6c585b64b90fcbeee5619a68a55ef901830
com.github.valskalla	odin-slf4j_2.12	0.12.0		ea20cc610b7d52aa9d63b6cbd7260d7007903a3a
com.github.valskalla	odin-slf4j_2.12	0.13.0		72a67da4153dfc3bbb9f735cedd3c283be5b390f
com.github.valskalla	odin-slf4j_2.12	0.4.0		c7f1bb35d5e851f1738f6640155d45ece0f37787
com.github.valskalla	odin-slf4j_2.12	0.4.1		131e9f0bc5480ad8425d00eca14ed9a8ac88d1fa
com.github.valskalla	odin-slf4j_2.12	0.5.0		51c0963a674a90a897a2c2ed158a053e367d25c3
com.github.valskalla	odin-slf4j_2.12	0.6.0		848b7b2b00fb1ca8a9ef2b4fb44fe76b7843a22c
com.github.valskalla	odin-slf4j_2.12	0.6.1		f354cb2a3fde3f32c49e092ec58379d4bc8eac40
com.github.valskalla	odin-slf4j_2.12	0.7.0		dfc9c886a2b2b72ce873817d566abdae2c084729
com.github.valskalla	odin-slf4j_2.12	0.8.0		a2f4530b3b26fb48b0ef61729fd1d556d4680e63
com.github.valskalla	odin-slf4j_2.12	0.8.1		ff0b5ed5f904f62e5fe5b2ec1b01d0e80faecc5c
com.github.valskalla	odin-slf4j_2.12	0.9.0		a6e95be68ef10381d3de723abc1722b2a3bb0e5d
com.github.valskalla	odin-slf4j_2.12	0.9.1		1296325042951ed97c5c85ac2c39de315d0099da
com.google.api-ads	ad-manager-parent	0.1.0		N/A
com.google.api-ads	ad-manager-parent	0.10.0		N/A
com.google.api-ads	ad-manager-parent	0.11.0		N/A
com.google.api-ads	ad-manager-parent	0.13.0		N/A
com.google.api-ads	ad-manager-parent	0.14.0		N/A
com.google.api-ads	ad-manager-parent	0.15.0		N/A
com.google.api-ads	ad-manager-parent	0.16.0		N/A
com.google.api-ads	ad-manager-parent	0.17.0		N/A
com.google.api-ads	ad-manager-parent	0.18.0		N/A
com.google.api-ads	ad-manager-parent	0.19.0		N/A
