cloud.caroline	caroline-sdk-functions-js	0.0.1		N/A
com.c4-soft.springaddons	spring-addons-webmvc-test	6.1.7		53a4c2e8db81602baf92ffeba74b0028e1106227
com.c4-soft.springaddons	spring-addons-webmvc-test	6.1.8		231ccafd4c55a35d8ba7772073657dfb2201ae82
com.c4-soft.springaddons	spring-addons-webmvc-test	6.1.9		05e9d15d312fba86953d7d2f90f9072950a6a481
com.c4-soft.springaddons	spring-addons-webmvc-test	6.2.0		cea4b232d9f90d248256218e2636207286961c7d
com.c4-soft.springaddons	spring-addons-webmvc-test	6.2.1		19355afd63875870262deba0ed6c072e07849653
com.c4-soft.springaddons	spring-addons-webmvc-test	6.2.2		5dbdc2cc4b8978aa5615d6bd5812e1fa63c8a443
com.c4-soft.springaddons	spring-addons-webmvc-test	6.2.3		5dc26a70520bc0e5a571c6de37fb8107f08683e6
com.covisint.platform.user.core	user-core	1.0.0.RELEASE		c2fcbb552caa8ab9e5d2be8e877ce874a160fd81
com.crashlytics.sdk.android	answers-shim	0.0.4		N/A
com.crashlytics.sdk.android	answers-shim	0.0.5		N/A
com.crashlytics.sdk.android	answers-shim	0.0.6		N/A
com.github.bachelor-thesis-project-gruppun	staticanalyser	1.3.0.0		9dc6a71c5037c9aef654b3d1d089cced9537f0c7
com.github.bachelor-thesis-project-gruppun	staticanalyser	1.3.0.5		73e38836b14b512285283e2043586a71efcfb018
com.github.bachelor-thesis-project-gruppun	staticanalyser	1.3.0.7		24ce191d8942a0c4e257a9a9ce8b68d349cd13b8
com.github.burrunan.multi-cache	com.github.burrunan.multi-cache.gradle.plugin	1.0		N/A
com.github.hypfvieh	dbus-java-transport-tcp	4.0.0		d0d92dba3deed6ad8427426f5f44793383011d9b
com.github.hypfvieh	dbus-java-transport-tcp	4.1.0		c54e1ea59b5d23041019d1a91b846ecdea6d312a
com.github.hypfvieh	dbus-java-transport-tcp	4.2.0		0dfdcf3814ea5708e51edd9956a769c101a94b53
com.github.hypfvieh	dbus-java-transport-tcp	4.2.1		ba5ea1e3e8644670cedbcfda6f2d050457022bdc
com.github.hypfvieh	dbus-java-transport-tcp	4.3.0		77bd889f7034675bff771427b285d83ddc78bfb6
com.github.hypfvieh	dbus-java-transport-tcp	4.3.1		265f4017ca4e700ea9d2de4e330e6cd61336cfd8
com.github.hypfvieh	dbus-java-transport-tcp	4.3.2		a89db98b26edf6b04e83b7c1a146ca2118b08622
com.github.hypfvieh	dbus-java-transport-tcp	5.0.0		9a16bc4aed6baff78718142d68985ce17fbfa742
com.github.hypfvieh	dbus-java-transport-tcp	5.1.0		4378a45c8d9557ff9c1add9c809aef5ed89ca4c5
com.github.hypfvieh	dbus-java-transport-tcp	5.1.1		e59d10075542875b6d4a636b4fb5e715595e64a6
com.github.sideeffffect	zio-io-net_2.13	0.1.0		02934e5492198d7fc3835a2ed1240a9ec6fd774b
com.hanggrian.rulebook	rulebook-codenarc	0.1		9a4b1d81edf89cb7f42a009685a5529c66a1fad8
com.idea-aedi	ext-spring-cache	1.5.12.RELEASE.ALPHA		2fb2fe5e36aea265b9856a55de329a16117de368
com.idea-aedi	ext-spring-cache	1.5.12.RELEASE.BETA		2a920e3212e8268723ac88d3b4745c70bf01900c
com.idea-aedi	ext-spring-cache	1.5.12.RELEASE.DELTA		2a1a396e5cde45947c20207478c285375df32f59
com.idea-aedi	ext-spring-cache	1.5.12.RELEASE.GAMMA		31488b6a5a06b7db36ca83f4817c0b6d65920d67
com.idea-aedi	ext-spring-cache	2.0.0.RELEASE.ALPHA		2239e1eae30c102ac71fc3ade8f457ac4a0b3e5c
com.idea-aedi	ext-spring-cache	2.0.0.RELEASE.BETA		34df080433d6c4fa0951c7a77795acf782f338b1
com.idea-aedi	ext-spring-cache	2.0.0.RELEASE.GAMMA		4da30aab85f26fe925454c906ad14b4abc7bee8f
com.idea-aedi	ext-spring-cache	2.1.0.RELEASE.ALPHA		7d5d2d07cb7a67bfa97dc520f401500f81700037
com.idea-aedi	ext-spring-cache	2.1.0.RELEASE.BETA		ec1d34e8eed946acf0f580218119cfff93be93a2
com.idea-aedi	ext-spring-cache	2.1.0.RELEASE.DELTA		c2b53c58d19ca69220040203424473cf6217db6f
com.idea-aedi	ext-spring-cache	2.1.0.RELEASE.GAMMA		431fb257944490f89b1bc2bba769b793f9303f64
com.idea-aedi	ext-spring-cache	2.2.0.RELEASE.ALPHA		7e43ce6bc29fe451c202e0e3fc39287c172131fe
com.idea-aedi	ext-spring-cache	2.2.0.RELEASE.BETA		0b1b7c75e27ec54d3313364732f55a114f4db88c
com.idea-aedi	ext-spring-cache	2.2.0.RELEASE.GAMMA		55e576e965190c1450cd3031504508e0e0380cac
com.idea-aedi	ext-spring-cache	2.3.4.RELEASE.ALPHA		289cac824ebdc3f3768014c9ffe17f8011ad76a7
com.idea-aedi	ext-spring-cache	2.3.4.RELEASE.BETA		3e29ff6984904bccaf3019e7db2b3f1ad1993408
com.idea-aedi	ext-spring-cache	2.3.4.RELEASE.DELTA		b51585de6cb142e0b6d577410e0a5ccaab3181a1
com.idea-aedi	ext-spring-cache	2.3.4.RELEASE.GAMMA		c696002f7b1549b2affd2de18403ed79e66cea2d
com.idea-aedi	ext-spring-cache	2.6.13.ALPHA		a7312f8c9b151b9d6b624c4d944a0787eb11af85
com.idea-aedi	ext-spring-cache	2.6.13.BETA		b14bdb1e58c340b0fdbcf26289959c0898abfecd
com.idea-aedi	ext-spring-cache	2.6.13.DELTA		51b88ea558f8a61ff4cbe78ce7a663d13a385762
com.idea-aedi	ext-spring-cache	2.6.13.GAMMA		27dafcbfd72376d14e928103a4b43613bf79fe4c
com.idea-aedi	ext-spring-cache	3.0.2.ALPHA		289870c1da8ac51aa133295089e1e703c12ac982
com.idea-aedi	ext-spring-cache	3.0.2.BETA		f3a561367e72219a5a404ed35c26742eea7b522d
com.idea-aedi	ext-spring-cache	3.0.2.GAMMA		e860e5201b82714271cf96f42cd29fbc86ec44d2
com.inrupt.client	inrupt-client-uma	1.0.0		a9f5ee8d625df5e34c82c2d09ab02ff11715f9c4
com.inrupt.client	inrupt-client-uma	1.0.0.Beta2		d2d9e2e29870f94c60298e9137b9a9e8fe50f495
com.inrupt.client	inrupt-client-uma	1.0.0.Beta3		acd87a2a8a14c4c58d7a46556e61c37a8173acc1
com.inrupt.client	inrupt-client-uma	1.0.0.Beta4		9076e52f096331965e372ba707064671e99fa0cf
com.inrupt.client	inrupt-client-uma	1.0.1		f2591c00c767dca2f3c30d5d2be18eccde5d85fd
com.inrupt.client	inrupt-client-uma	1.1.0		62b9d2e356fc5b9e7b735e8018993c45049077d4
com.inrupt.client	inrupt-client-uma	1.1.1		b29cc222b04af26123ea7ab008be2c29c4222e35
com.inrupt.client	inrupt-client-uma	1.2.0		3cba7fed3a69334d882570f2be296177d2826cb8
com.inrupt.client	inrupt-client-uma	1.3.0		37b94d30e80c9b3c7cc61fd666f6cc6ea1fb656d
com.inrupt.client	inrupt-client-uma	1.3.1		86f538397cfa9903cbbbeb82133c86dbec6f2498
com.nikialeksey	jood	0.0.1		580ddcead105dddce9f166eb00b59a2da6700f1a
com.nikialeksey	jood	1.0.0		13d2ac8a7bec64dee7b1804b7b0c22cb0dd84b4f
com.nikialeksey	jood	1.1.0		aecd38377608266f0e0cd92615d9f7c7a74d92de
com.nikialeksey	jood	1.2.0		79f63712f2a355a1ef563278e26eee173c455a01
com.nikialeksey	jood	1.2.1		ae1b1d4b44dd8953d74ca4bb28afc05b30b07393
com.nikialeksey	jood	1.2.2		2092431a857491555d22ac1e98e260a27253553f
com.nikialeksey	jood	1.3.0		044664cb82fcfdc3ca20d7bb21a70068992d53cc
com.nikialeksey	jood	1.4.0		b779ac96fe48dca43544db45d3c841af7da7a2f4
com.nikialeksey	jood	1.4.1		6a20d57f362f4fabf363f41073cd5639195f9920
com.nikialeksey	jood	1.4.2		a8b250da34e811702dd3e98ac514cd65e2c184dc
com.nikialeksey	jood	2.0.0		7731af13eac4a687b9a2744dca18ff90201e183a
com.nikialeksey	jood	3.0.0		af5e80025072c297417113b6d39ba26c2d0c55c9
com.nikialeksey	jood	3.1.0		88c0ae5f76e2c3f1428a80084ca84db12d0208e0
com.nikialeksey	jood	3.1.1		2eb4591ce2a9e7d87793fa3357a07a7f8c488eec
com.nikialeksey	jood	3.1.2		da893d72548aba4a219c7cab28468a8f813b1220
com.oracle.weblogic.rewrite	rewrite-weblogic	0.4.2		e796b91cc4a365277159fc7fd34a8b43592d0a71
com.oracle.weblogic.rewrite	rewrite-weblogic	0.4.5		179336662373d5f51deb283ae1cb97bf8cb0d4c3
com.oracle.weblogic.rewrite	rewrite-weblogic	0.4.8		6729ff33b2619163b40bbb7a9bcea5af46cdfa9f
com.oracle.weblogic.rewrite	rewrite-weblogic	0.6.0		58b8400f053500fafdcc380a5ccf0ab365a0eeab
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.2.10		45c74281f01985bc5114441552dd9632311a1f5f
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.2.11		0f0ea6a203a6c0133e53e51830aaa6810d422129
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.2.12		821a7c918afce4be52168b87f5b6e5d34d710c16
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.2.13		89b0d2d89774b92d3d1859e65240f1d797681244
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.2.4		c70da6c67a423d688a609bf274ffee209180ef8b
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.2.5		2efc0196da9f27fd341dbccc7cdb91d6b5279c6c
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.2.6		488e3558552da6298e1ace20db676d0520228cf2
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.2.7		9237f0b267943a6779d1b40757812208d0e53bb0
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.2.8		805cd1a0bd5d9f195d2af8aa522233868a128ba6
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.2.9		7134730b37542ed6046f97a8605354952087a53d
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.3.0		ce1e2741f4f289151fc589398ac9f33a0a20533f
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.4.0		6992d383b77a94840daec2bb987580545e6567a6
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.5.0		80556d6bc0df9ad3a8b17a2814b89160ddd84e34
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.5.1		0a7802323be867e1339a3074940ca955f89a0191
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.5.4		e5fc5d76418cf35951d8b037ce58f44492efd946
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.5.5		bffc9b258f95740dd257fed53e6f63f10eea6915
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.6.0		fd644b24d67173a59c36ffe6253ac5ca38525205
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.6.1		60daf47a3ff6d33f4d1a41b297bddb450622498e
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.6.2		ccd48c1ae3e7ee52fdc065a1992e470dea0c7b23
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.6.3		2b837ec92a34b38c4028c304ef3015d66eb2d822
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.6.4		d43578cd48b8433c531a64b627cbb498b74c582f
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.7.0		16398ea6ebf3d0d4ffc0e661961f48b9a5150cee
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.7.1		2b010c7b2a6fcb82eb3b9e24fd95dd81f796b08e
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.7.2		f4443e5604c3b171b55203af1ccfa4f8e0cb567a
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.7.3		9ea62911fa363a81fb62ba4e57d00e80422e2a3b
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.7.4		594649f2490642fb1670e818bc68d534e621d65b
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.7.5		b9b9c992fc1432210d81874a25cce0f00a850d00
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.7.6		3b49bab54504c310037b099cb1b75efae030a1f0
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.8.0		f2210a6f035facb40dfabcff1cdf65772b206ffe
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.8.1		5d3381d55a27ee0aa47de4620b4b38245c9afe83
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.8.2		fea6cf33c6d97f01fa9a9518dbaafacc765affed
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.8.3		29f937ea665154020f2bb5aca079318db0a7618e
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.8.4		e7e98a338123c101cb677fa76583520e1dea2dcf
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.8.5		0db8a4a727042d958451ba2048f31637914d87c5
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.9.0		44d94b6bd4de6596787918e761f7ea1d472f6a61
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.9.1		e066039acd0d6a576c647b766bb493c95daab30d
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.9.2		f9fd726df2119f6570b5a4f52af95f20c6bb3bbb
com.softwaremill.sttp.tapir	tapir-zio1_sjs1_2.13	1.9.3		c107251e7a2d8cdf5f8761a2d42fb5b9dc4b4860
com.soywiz	korlibs-charset-linuxarm64	6.0.0-alpha2		N/A
com.splendo.kaluga	scientific	0.2.2		fb958d9d1b83381473f4ac11add7c74a304f1954
com.splendo.kaluga	scientific	0.2.3		62d1788d8141fcc76b888680bfe8ab379201e9cc
com.splendo.kaluga	scientific	0.3.0		afc449d5473e431068b9356a8148212c552167e8
com.splendo.kaluga	scientific	0.3.0	all	7ef2d71e4e809e232ce37528c54fa83a3776b3e9
com.splendo.kaluga	scientific	0.4.0		cbe08a7c21ed46236f190ab0710b34939fd6ef0a
com.splendo.kaluga	scientific	0.4.0	all	a06e0d6c0590982f0d921974af4be50d1175a9f7
com.splendo.kaluga	scientific	0.5.0		a098a61aa84246c7a3f13b6044b02598558fa013
com.splendo.kaluga	scientific	0.5.0	all	5440ae2946585d6dea400ee0e83940155b486026
com.splendo.kaluga	scientific	1.0.0		80edca1c412608d098391ed84b516418e472c64f
com.splendo.kaluga	scientific	1.1.0		80edca1c412608d098391ed84b516418e472c64f
com.splendo.kaluga	scientific	1.2.0		80a0ce387a001ff60fea574527315b1f658f6ccf
com.splendo.kaluga	scientific	1.2.1		80a0ce387a001ff60fea574527315b1f658f6ccf
com.splendo.kaluga	scientific	1.3.0		d49ebe86d3b9fb34f28660ea178251967c26ab74
com.splendo.kaluga	scientific	1.3.1		13becf19970ffca831f2779be0644d2af31fc12d
com.splendo.kaluga	scientific	1.4.0		9bc7fe4d57579be2a9af2e84351cf7d2a95e2858
com.splendo.kaluga	scientific	1.5.0		b505e31f9d505cdcdad7ef8f28455b13be513965
com.splendo.kaluga	scientific	1.5.1		b505e31f9d505cdcdad7ef8f28455b13be513965
com.weibo	motan-core	0.0.1		c64824dac52a1b7c8932de5df08efa53b4dadb1e
com.weibo	motan-core	0.1.0		29a4838a7b71716c362b2872b586f73566bc3e37
com.weibo	motan-core	0.1.1		7c139ee336e921279e96f61016522914807068ed
com.weibo	motan-core	0.1.2		3a54675dd17c9b5534e2e7a2139be998dbdbcd9a
com.weibo	motan-core	0.2.0		774b71486d743d4739734cb4b8f32d167f8597aa
com.weibo	motan-core	0.2.1		cb59e2f4d1e17b72138d8a80adf40f87ed11eb59
com.weibo	motan-core	0.2.2		16edfba1670dda089cca776b9dd71e8383f13aed
com.weibo	motan-core	0.2.3		7ccfccb1790959e7920551cbffce6467e60a6fca
com.weibo	motan-core	0.3.0		2f8b005cdce3cbb839e7c6dc8bf0f92b8d53b295
com.weibo	motan-core	0.3.1		5ad186435bac4e0976d92b58d5d987c413fecc9e
com.weibo	motan-core	1.0.0		5b7e91ba04a9cd28e3401ce70996504374b92153
com.weibo	motan-core	1.1.0		7abc1ea5806a3e24af9dafa786c072fc13c302d0
com.weibo	motan-core	1.1.1		083145aa87ef6e1382d848ae4c05ffafb5253677
com.weibo	motan-core	1.1.10		a0512b2d0b6661610ffb4142dffce181985ab7ba
com.weibo	motan-core	1.1.11		7fa82fa57eed5000eef6d5c7e7e419c5ec80f760
com.weibo	motan-core	1.1.12		6fe8340d72891761fd5386516ae47a0cdef7657b
com.weibo	motan-core	1.1.13		6dbdd167f97c70ae59988adebee64e47c8a18033
com.weibo	motan-core	1.1.14		daa9bc9c2e5d0de3c0d9d42e095dba2055dbf613
com.weibo	motan-core	1.1.2		2c29509a5a8630cadff0068b61cf388e7b311653
com.weibo	motan-core	1.1.3		8897bd666173a93f23b73e8f228a061f4f5b21cd
com.weibo	motan-core	1.1.4		4e69cfe7ac7108a6f4f26691236720e8a559e2aa
com.weibo	motan-core	1.1.5		619c65236213d2aff7ca19532a5384a8e422c22c
com.weibo	motan-core	1.1.6		ccb5ada82a67c6379fd4f7f18d55a2b2f0f01aa2
com.weibo	motan-core	1.1.7		1ed777104768317c887e585bb84a838de758db61
com.weibo	motan-core	1.1.8		0e4fb42630bf7abb435b5e80b903664d3aff6ece
com.weibo	motan-core	1.1.9		562b0c471f3789a889e00bf75f5a0f7a10a57e8c
com.weibo	motan-core	1.2.0		4a54ff4f18f250643e7e0ed755a81366c3b05d62
com.weibo	motan-core	1.2.1		f81680cc1d54854f40d0813e6b21bb459717c446
com.weibo	motan-core	1.2.2		6e87cbca985a2bf7b1c77758564fb732100f444c
com.weibo	motan-core	1.2.3		6ebe40871c9053528f55d4d22d0fc44c021986a6
com.weibo	motan-core	1.2.4		95349fa097a5bb7d9d7126b6932467737ac59b04
com.xenoamess	formatter-maven-plugin	2.18.0.0x		dc4564db51c3c27ecdb69062540298666775a480
com.xenoamess	formatter-maven-plugin	2.18.0.1x		702c916940cd65ef0c8da9537babd490d8e66dcd
de.ontologizer	ontologizerlib-benchmark	0.1		b11962dd7dd91502ce47a48b393df076f381a5b8
dev.langchain4j	langchain4j-qianfan	0.26.0		55cf51db80bf55f2ee0bcc5734c7ba1195a6613a
dev.langchain4j	langchain4j-qianfan	0.26.1		78e7e7ca0282bb7f8773f02678e29300b313cd3f
dev.langchain4j	langchain4j-qianfan	0.27.0		d7f906f2cdfd8b353331153354f8bafc223c1066
dev.langchain4j	langchain4j-qianfan	0.27.1		a1769613fa268555246db5bef5e727a9ae545590
dev.langchain4j	langchain4j-qianfan	0.28.0		52a9d9ea616a7d9c8981bb094a15704fe7917d1a
dev.langchain4j	langchain4j-qianfan	0.29.0		302c5287dbf396a3e0bc788a0ad152bb9360971e
dev.langchain4j	langchain4j-qianfan	0.29.1		d8603932daaac664308643a9ce25bc33ddb3c153
dev.langchain4j	langchain4j-qianfan	0.30.0		ff94a52d41760075b7e716175c8d3dd3bb04bea6
dev.langchain4j	langchain4j-qianfan	0.31.0		172ea1561631c23d9da53290a75e9680698b1c37
dev.langchain4j	langchain4j-qianfan	0.32.0		1b0482b78430d842c6e8088d229612b056f3ea06
dev.langchain4j	langchain4j-qianfan	0.33.0		f3c697571586ff73cc70faa90f5a7464ada11b77
dev.langchain4j	langchain4j-qianfan	0.34.0		e7792fc71b28f2e84144bf4e664fb192c716466a
dev.langchain4j	langchain4j-qianfan	0.35.0		b017139a0b22f197037c3b455b6e31eeda33319d
dev.langchain4j	langchain4j-qianfan	0.36.0		9accde799764c269687e9805cc5a630b450b88f2
dev.langchain4j	langchain4j-qianfan	0.36.1		ffc0d8a482843a457abad0dfcd00578a3f0f2340
dev.langchain4j	langchain4j-qianfan	0.36.2		bbf409f3942ad1f418570f986d15d07d1cc30f12
fish.focus.uvms.plugins.flux.movement	flux-movement-plugin	3.1.12		N/A
fish.focus.uvms.plugins.flux.movement	flux-movement-plugin	3.1.13		N/A
io.ayte.utility.predicate	kit	0.1.0		366affdf610c2011cc11e74f1f037821606469a1
io.esastack	commons-benchmarks	0.0.1		2fc7221f8257a566eebe9e62dc76c1ba3b0527b8
io.esastack	commons-benchmarks	0.1.0		78540fb280580774dcdd7ea005ce91a23f0e6143
io.esastack	commons-benchmarks	0.1.1		e5e31f1ca6961a2c2360f659fddd60b7e9206a99
