at.released.cassettes	cassettes-base-wasm-wasi	0.1-alpha01		N/A
com.facebook.airlift	node	0.203		e70fac8eaddd22b7c6ee26fb7e50fd106712894b
com.facebook.airlift	node	0.204		b11aa5ae4b81b6baedffd3715f7784ac4525379f
com.facebook.airlift	node	0.204-ariel		115082e755fe9ac2eb5bce74ead067b7cdbbbdeb
com.facebook.airlift	node	0.205		e88990610ee5175653caec059c5b0d75d56b87df
com.facebook.airlift	node	0.206		81f0aca144559cebf97924d9eb9553c7c367a81b
com.facebook.airlift	node	0.207		3e067880b66e3f0e471fd07a062abe1be2816544
com.facebook.airlift	node	0.209		55ccaf5359d2c5dc949b3b4cb31df5fa56d44a6f
com.facebook.airlift	node	0.210		51a69bcfb877b467b2053693e811b87ee05738c4
com.facebook.airlift	node	0.211		8e3c9ef7ddeedd414477a3f585d946f1c3d9df96
com.facebook.airlift	node	0.214		fd2bc9878c2674d039bff140ba0a0a20a8cf4366
com.facebook.airlift	node	0.215		1c96a5adaf1ea85516e08245aa67f8218a7390c6
com.facebook.airlift	node	0.216		f22df9d557c5353e6b03c56c93a57ecc32f9d8d1
com.facebook.airlift	node	0.217		ccf0f2e6044f7c492a6a1f0cd3daa42003f208b5
com.facebook.airlift	node	0.218		d8b25f5533c89987fd5ca723d349864e60f4b2dc
com.github.alexarchambault	case-app_2.13.0-RC1	2.0.0-M7		7fbb5770fae73ed2ea6da2724c5c99d1a959f6f7
com.github.alexarchambault	case-app_2.13.0-RC1	2.0.0-M8		19beee27e8959f9d526576e41137ea006b90b9cb
com.github.j5ik2o	akka-persistence-kafka_2.11	1.0.4		b3494bc222047fcf73494a637ebfe388b1f0b158
com.github.j5ik2o	akka-persistence-kafka_2.11	1.0.5		38d937f2a955f1b71eb9150c53ccac78a1035628
com.github.japgolly.nyaya	nyaya-core_sjs0.6_2.11	0.5.10		ffddc3872ddc47aaa5353ab4cc12e6fd6881c59c
com.github.japgolly.nyaya	nyaya-core_sjs0.6_2.11	0.5.11		5a6e1ec39fa7abd5f9d24be450bd4dcfc703a742
com.github.japgolly.nyaya	nyaya-core_sjs0.6_2.11	0.5.2		43ccdea4198e960c1d88ebb3b5e4dfab7b2dba5d
com.github.japgolly.nyaya	nyaya-core_sjs0.6_2.11	0.5.3		2c25c25779c0d227ba2769c5c57b2cb1f1e8b1a8
com.github.japgolly.nyaya	nyaya-core_sjs0.6_2.11	0.5.4		031bb452526faff762565ea218666e0a2461031f
com.github.japgolly.nyaya	nyaya-core_sjs0.6_2.11	0.5.5		eef401272145be52da9cac9393b5c11a1a3b99ee
com.github.japgolly.nyaya	nyaya-core_sjs0.6_2.11	0.5.6		b75dc88de8e9be749bd3da3b199e89a43f00f02f
com.github.japgolly.nyaya	nyaya-core_sjs0.6_2.11	0.5.7		c47a08100924645c50068a6c122ec7e61cef6aaf
com.github.japgolly.nyaya	nyaya-core_sjs0.6_2.11	0.5.8		15c7d2acd6a6ea7f35f0f06c9be5cae179e9d350
com.github.japgolly.nyaya	nyaya-core_sjs0.6_2.11	0.5.9		e46fbc84e531e0422a4d521cb36389c938fc1494
com.github.jmnarloch	hstreams5	1.0.0		bc2320a1f6edd6f8cfbf0f3a735204ca87206374
com.github.yingzhuo	nsq-j	1.0.0		N/A
com.github.yingzhuo	nsq-j	1.0.1		N/A
com.liferay	com.liferay.layout.type.controller.node	1.0.0		db1baec695740da7111deada461b32980eb0d62e
com.liferay	com.liferay.layout.type.controller.node	2.0.0		0e6afbcde6a9b5546c507cd2e2b15ab1faf4cdf9
com.liferay	com.liferay.layout.type.controller.node	2.0.1		ba0552da032afbd5279350696d11f2890871879e
com.liferay	com.liferay.layout.type.controller.node	2.0.10		14191c1b0c025db92759a6b4d4dac55265f220a9
com.liferay	com.liferay.layout.type.controller.node	2.0.10	jspc	a9e39cb25517da5f1729bae49067900dfc1645ad
com.liferay	com.liferay.layout.type.controller.node	2.0.11		cb8a366372064d1496082c612f1f519bd36439b9
com.liferay	com.liferay.layout.type.controller.node	2.0.11	jspc	30a9975df70ab439d8c8ab1401aa582912f9e138
com.liferay	com.liferay.layout.type.controller.node	2.0.12		1f9a9e4c0a24c0fc8fcfc8075381ebb6f3de91c8
com.liferay	com.liferay.layout.type.controller.node	2.0.12	jspc	b5cb655011fa280ad12f95716008776d55f98346
com.liferay	com.liferay.layout.type.controller.node	2.0.13		9251145a62ca2a1f99da93c1de3771a4dd78ab88
com.liferay	com.liferay.layout.type.controller.node	2.0.13	jspc	03c97f5b2686e3375d596546a08f5df41243c55f
com.liferay	com.liferay.layout.type.controller.node	2.0.14		5af0d808c458c9bcfc2a132130f9a267a7731295
com.liferay	com.liferay.layout.type.controller.node	2.0.14	jspc	372ec952b7ee0d04022b5b7257aa17e75f963a3d
com.liferay	com.liferay.layout.type.controller.node	2.0.15		14b892d9d07b4b2c338f958dc58c0ff5d89fbede
com.liferay	com.liferay.layout.type.controller.node	2.0.15	jspc	8eee9c29cfd4573d968fa2e391091425d4c2b7a4
com.liferay	com.liferay.layout.type.controller.node	2.0.16		d9025a4be44e7d540e2a75156c98aed28821596a
com.liferay	com.liferay.layout.type.controller.node	2.0.16	jspc	13a05dc9452791d6c9ee14d8b3bcb4bfeada0459
com.liferay	com.liferay.layout.type.controller.node	2.0.17		017d6f3985255431bad85d0e2f61a8232caa07cc
com.liferay	com.liferay.layout.type.controller.node	2.0.17	jspc	6dd10f9dc21a4ef0111c6693ea967660444afa2e
com.liferay	com.liferay.layout.type.controller.node	2.0.18		9fd420835aff8db4d661608f310fbec30ac1072e
com.liferay	com.liferay.layout.type.controller.node	2.0.18	jspc	33599beeea8ea0dcbc2df6a698948d7803128df4
com.liferay	com.liferay.layout.type.controller.node	2.0.19		c07706324f414b4d9dcf34de2b5008708247733d
com.liferay	com.liferay.layout.type.controller.node	2.0.19	jspc	e23a6889c6c41ea70afc247f242bb56f6ce39e3c
com.liferay	com.liferay.layout.type.controller.node	2.0.2		8f0d0c7acaa56861c2d26606144f84ae369cec6d
com.liferay	com.liferay.layout.type.controller.node	2.0.20		b62565e191929553dcf1ef29504df73363a577df
com.liferay	com.liferay.layout.type.controller.node	2.0.20	jspc	6beaa57c36b165257d2ff117050b5ef3fa3171ad
com.liferay	com.liferay.layout.type.controller.node	2.0.21		28f1b35ac589bcefd50e20e4f66cf79695eca641
com.liferay	com.liferay.layout.type.controller.node	2.0.21	jspc	4c5f6460919f04f9651a7b20ec2c43aa30a51365
com.liferay	com.liferay.layout.type.controller.node	2.0.22		1005d27bb88cab9a77946e0e7f6274459e7b089e
com.liferay	com.liferay.layout.type.controller.node	2.0.22	jspc	c3b815e39140cd43e28c9f56badd3be6aed36998
com.liferay	com.liferay.layout.type.controller.node	2.0.23		ef7f72dcbed61056d142f2b5f33e7b7ed38c9444
com.liferay	com.liferay.layout.type.controller.node	2.0.23	jspc	c86a0613ae98e5861be77253dce03930bd236cf0
com.liferay	com.liferay.layout.type.controller.node	2.0.24		49dcd37ee2d3117d9587be8b20ea61d6901fad13
com.liferay	com.liferay.layout.type.controller.node	2.0.24	jspc	49b16d80d7def1a412115f89b28c1d2ed46c2c77
com.liferay	com.liferay.layout.type.controller.node	2.0.25		fad2f2c3829557379abfe998e98c7fc7867c1f2f
com.liferay	com.liferay.layout.type.controller.node	2.0.25	jspc	93085953a99b25fc20d4fa259b506531cd9ed2df
com.liferay	com.liferay.layout.type.controller.node	2.0.26		8530b8062df9e03dd47b0c533a55abf63ed7c02a
com.liferay	com.liferay.layout.type.controller.node	2.0.26	jspc	6f6e2279a7647c09a48b3e65b706f46ca91ce925
com.liferay	com.liferay.layout.type.controller.node	2.0.27		b7f1fafd41468a30d6f065628c6e2de59d19d97e
com.liferay	com.liferay.layout.type.controller.node	2.0.27	jspc	83e26b274fd779b05983ec1c03264b6645cdbde7
com.liferay	com.liferay.layout.type.controller.node	2.0.28		724857a906360989ea0448c613ba1fb955ad46e1
com.liferay	com.liferay.layout.type.controller.node	2.0.28	jspc	ddd55968987d8253f07d636e0a16f4cfe5485b24
com.liferay	com.liferay.layout.type.controller.node	2.0.29		b113bdf9ebfced18bd8c4caefaed6ad7ed43d30f
com.liferay	com.liferay.layout.type.controller.node	2.0.29	jspc	b95d64ba2f041aef40fad025d15a51a651337baa
com.liferay	com.liferay.layout.type.controller.node	2.0.3		a94a3878704ec4e5a47481c77b41cf501c05be33
com.liferay	com.liferay.layout.type.controller.node	2.0.3	jspc	bee93e95e4368fc5e4c2ecd5c7455605786c321e
com.liferay	com.liferay.layout.type.controller.node	2.0.30		b9225cebb3896b45f4771d5eaa170145d2909b3c
com.liferay	com.liferay.layout.type.controller.node	2.0.30	jspc	83815d22fedb5f59f2b7ae6a7fbe60c07835a3c9
com.liferay	com.liferay.layout.type.controller.node	2.0.4		536f8448a1961120282d49e90dccfe2cbca8dd9a
com.liferay	com.liferay.layout.type.controller.node	2.0.4	jspc	b15426efc77ffb288893e2435de25c836fbb41e9
com.liferay	com.liferay.layout.type.controller.node	2.0.5		9d13faba42eeb04a0151ac8ff555ed4096084fa8
com.liferay	com.liferay.layout.type.controller.node	2.0.5	jspc	b6021c220ff66e9b753e4ef86576344cd3d259ca
com.liferay	com.liferay.layout.type.controller.node	2.0.6		5e5e7b5269e47ec361853012cb0f4596c01b1957
com.liferay	com.liferay.layout.type.controller.node	2.0.6	jspc	1a8b5441288388e842a224acad226d0e7bacc150
com.liferay	com.liferay.layout.type.controller.node	2.0.7		99b502513a8a52597b3a367b1aed976a0ef9e2b3
com.liferay	com.liferay.layout.type.controller.node	2.0.7	jspc	810e3634f2f08441af504e63f1c6be758211d3a0
com.liferay	com.liferay.layout.type.controller.node	2.0.8		822c3b1d14346899817339d8434f9281231da997
com.liferay	com.liferay.layout.type.controller.node	2.0.8	jspc	7629daf65f44c34d008197e97a9dfb164f236642
com.liferay	com.liferay.layout.type.controller.node	2.0.9		c66c9a03ee3b42d3f524ce26e8d0083a7c212592
com.liferay	com.liferay.layout.type.controller.node	2.0.9	jspc	168ac2b535deaf08c50583098769c7a5a53c46b5
com.liferay	com.liferay.layout.type.controller.node	3.0.0		96ba1a4069c59df94ddd20d3fc9b8f3c807718b6
com.liferay	com.liferay.layout.type.controller.node	3.0.0	jspc	ab1265555005956c543f79897eb6c1af28695419
com.liferay	com.liferay.layout.type.controller.node	3.0.1		2b29f2ff09510a4d95fd438646f465354af04958
com.liferay	com.liferay.layout.type.controller.node	3.0.1	jspc	c1be899f8a71ce1143ac26a78c4c6352df6d824c
com.liferay	com.liferay.layout.type.controller.node	3.0.10		00d55a3e3fa57623d9e6d542b8e5e43cbc61b369
com.liferay	com.liferay.layout.type.controller.node	3.0.10	jspc	19c6fcc579a45a925db68375db6071da3d3ecd81
com.liferay	com.liferay.layout.type.controller.node	3.0.11		5592ef59ac8b41d1659517805dc71efeb8395883
com.liferay	com.liferay.layout.type.controller.node	3.0.11	jspc	69d1027f078ef09154300e98339a11025cf5af8a
com.liferay	com.liferay.layout.type.controller.node	3.0.12		a48394e314fc64f1b4fb44a459362afc9c7fef2c
com.liferay	com.liferay.layout.type.controller.node	3.0.12	jspc	89545f6856e5019edb31fd585e66630fd4173618
com.liferay	com.liferay.layout.type.controller.node	3.0.13		04940347f84ecf6f16f7b4d2f0a69abc34ee0f22
com.liferay	com.liferay.layout.type.controller.node	3.0.13	jspc	64f6b3d896ea1dec3750a445066635b88153499a
com.liferay	com.liferay.layout.type.controller.node	3.0.14		cea1e75fe4e4050c9bf2d072890c19c66da15ac8
com.liferay	com.liferay.layout.type.controller.node	3.0.14	jspc	28ba0340bba741223e9cc15821586d54f4c5da59
com.liferay	com.liferay.layout.type.controller.node	3.0.15		0a7f3a86361e737932af9a45d9ffa363312cbd2f
com.liferay	com.liferay.layout.type.controller.node	3.0.15	jspc	49fd12c3ea9a05b21126f6aa198775d35d57365d
com.liferay	com.liferay.layout.type.controller.node	3.0.16		3c123158b44e70f1a7d0ebd1e364a0681b2b1bb6
com.liferay	com.liferay.layout.type.controller.node	3.0.16	jspc	ce9ae4a1cb47d847c1e6a496ff5dbef6c1dd4a37
com.liferay	com.liferay.layout.type.controller.node	3.0.17		058d232f7e7fa466ef489e2339e0200f8dab8523
com.liferay	com.liferay.layout.type.controller.node	3.0.17	jspc	2d1257b1c031bb60e782b6fc36e149338f50cfd3
com.liferay	com.liferay.layout.type.controller.node	3.0.18		56c9786b2230a0f2e7a09f0c589cdd3201d346c8
com.liferay	com.liferay.layout.type.controller.node	3.0.18	jspc	08db76207742448f79ef100e4767afcce74fef34
com.liferay	com.liferay.layout.type.controller.node	3.0.19		c2cad634264ec50413c74cdb6d7d68bdf86500cd
com.liferay	com.liferay.layout.type.controller.node	3.0.19	jspc	779209c8cc0e1678564ae5a952943af9b9be4a4b
com.liferay	com.liferay.layout.type.controller.node	3.0.2		bce49624f7276f7ee39206393aa08ae9d6c8b0ab
com.liferay	com.liferay.layout.type.controller.node	3.0.2	jspc	1d76af6df9c8bb38879f71ace9f2f4422e5a6bde
com.liferay	com.liferay.layout.type.controller.node	3.0.20		dbfabd8d98151c405018876efb6d218b2392ac40
com.liferay	com.liferay.layout.type.controller.node	3.0.20	jspc	1db17429fe61ed5180e4e9ddb6fa08d5f9aabe8b
com.liferay	com.liferay.layout.type.controller.node	3.0.21		6a1f87ff3946820f78c1ebdd79ffcfba5cc3429b
com.liferay	com.liferay.layout.type.controller.node	3.0.21	jspc	309bc5795124ea43c67485a5fe57831b17d63a4d
com.liferay	com.liferay.layout.type.controller.node	3.0.22		92817e426ea36e5f19ca87528c06b6b50b510d92
com.liferay	com.liferay.layout.type.controller.node	3.0.22	jspc	3164a67cbc2248972e23dfb8a9f2cc7232099119
com.liferay	com.liferay.layout.type.controller.node	3.0.23		f0f0e62465bc4230eb5c5d5b762c2cc22e5d550b
com.liferay	com.liferay.layout.type.controller.node	3.0.23	jspc	9280b1913d03ee840b86c45a4b68a260cb66d7d5
com.liferay	com.liferay.layout.type.controller.node	3.0.3		4382c061559224875839275dc440a5c91bbc99b2
com.liferay	com.liferay.layout.type.controller.node	3.0.3	jspc	021db4abf2874b3285642f306d6c68dabf361beb
com.liferay	com.liferay.layout.type.controller.node	3.0.4		525c3fe1afdb3ce05ee744a3a7a36187a211f936
com.liferay	com.liferay.layout.type.controller.node	3.0.4	jspc	51820310e1d16356d3c3b4164e7491a8ffd1d537
com.liferay	com.liferay.layout.type.controller.node	3.0.5		cce47f4304a46c82ef0bbee9fcac4518e329548b
com.liferay	com.liferay.layout.type.controller.node	3.0.5	jspc	9cd3d3322e0bab80ab69c3843a7dbbcbfc31d199
com.liferay	com.liferay.layout.type.controller.node	3.0.6		1ae42dbb951762d283ff2c0dbc28534ff2a06443
com.liferay	com.liferay.layout.type.controller.node	3.0.6	jspc	bea1ec3fce33cee8ab5240dc84f0bbf69ccde719
com.liferay	com.liferay.layout.type.controller.node	3.0.7		aa5b153c2472f664e368c672048e87d590445aa9
com.liferay	com.liferay.layout.type.controller.node	3.0.7	jspc	49a1192af2b96ad30efe2df0189e6ecbaee89d84
com.liferay	com.liferay.layout.type.controller.node	3.0.8		2d3cb5dea997c51a9308180e0cc89c8d1c9f6c46
com.liferay	com.liferay.layout.type.controller.node	3.0.8	jspc	5c514cec618a989f321d910a04f6d2c893b5c8cb
com.liferay	com.liferay.layout.type.controller.node	3.0.9		964bffc80a09bea5a50d4071f382c9a9fd537d33
com.liferay	com.liferay.layout.type.controller.node	3.0.9	jspc	8cf4c8b6b0193be08e65759282bbd0fa8c5f9077
com.liferay	com.liferay.layout.type.controller.node	4.0.0		8cea0272367675fc65a3e12f21268b81e1fb42dd
com.liferay	com.liferay.layout.type.controller.node	4.0.0	jspc	a7492083573cdea8d03f2671a148f0caa08bcf0b
com.liferay	com.liferay.layout.type.controller.node	4.0.1		aca2e58d05f188a601e09fe2660a078fe91b30c1
com.liferay	com.liferay.layout.type.controller.node	4.0.1	jspc	20cac75e14d72e6ddf2476953405f3db33cd736e
com.liferay	com.liferay.layout.type.controller.node	4.0.10		17b13fecf97659c290a1b51fb17ee14fdae3f256
com.liferay	com.liferay.layout.type.controller.node	4.0.10	jspc	b771eab20896a2db93b758a528f04204113afc4e
com.liferay	com.liferay.layout.type.controller.node	4.0.11		ce8b2b0c6760a1a073e6bb6fb73640397b0e5ad7
com.liferay	com.liferay.layout.type.controller.node	4.0.11	jspc	ed5c8613571f3690441accaba2e9e3e2d0e030d9
com.liferay	com.liferay.layout.type.controller.node	4.0.12		70ddb79dc079cb5780d0f3faf92d14c8d28cd249
com.liferay	com.liferay.layout.type.controller.node	4.0.12	jspc	67065e70e6ec60abbc81aa05b5c70a264695cdf5
com.liferay	com.liferay.layout.type.controller.node	4.0.13		daaec290089500a0cc0f00a6233155b8db32f029
com.liferay	com.liferay.layout.type.controller.node	4.0.13	jspc	225c5937e72c8558d816dc0ab7fd09367a0aebef
com.liferay	com.liferay.layout.type.controller.node	4.0.14		9a39569570d45590fbd8192d2123f0b7340dca82
com.liferay	com.liferay.layout.type.controller.node	4.0.14	jspc	dbeec9c14bafe3b44eb18b1ce12132cd7d854977
com.liferay	com.liferay.layout.type.controller.node	4.0.15		c775e22f08fc0a04cd87d889b7d507d233c6b229
com.liferay	com.liferay.layout.type.controller.node	4.0.15	jspc	bd19e8a4e5c1c814fdedb57c333a21ca953c915b
com.liferay	com.liferay.layout.type.controller.node	4.0.16		355c75e89e4cd6eee24b4d8aba12e9c2cf9ed669
com.liferay	com.liferay.layout.type.controller.node	4.0.16	jspc	40c064cf2c988b37b9b63d16e7bee2919ee2ac5f
com.liferay	com.liferay.layout.type.controller.node	4.0.17		dac58301096bac6807f961941c4716e251d89ef2
com.liferay	com.liferay.layout.type.controller.node	4.0.17	jspc	cec4024a219f108768f64806dc1ac1dee1741d7a
com.liferay	com.liferay.layout.type.controller.node	4.0.18		7d3b244065ba34439b85b4aa6cfee65e711a29af
com.liferay	com.liferay.layout.type.controller.node	4.0.18	jspc	b0f4540c81fce1640fe95189e7f21ddb81f9edf6
com.liferay	com.liferay.layout.type.controller.node	4.0.19		4e68d2c27d98ba64d77baa0f71a36fa85d896730
com.liferay	com.liferay.layout.type.controller.node	4.0.19	jspc	e5aa906cca11a69d4ef66e82b66154046d0d9cdd
com.liferay	com.liferay.layout.type.controller.node	4.0.2		894dd4f788e7791dd032a6f17d6cb51539aa6e96
com.liferay	com.liferay.layout.type.controller.node	4.0.2	jspc	c35dbc62a3e38f0a52ef9419e209890067497f06
com.liferay	com.liferay.layout.type.controller.node	4.0.20		7a1ce3ea2f72c97490d42f447cd5d62a0995fc3b
com.liferay	com.liferay.layout.type.controller.node	4.0.20	jspc	5d491ad40d47536b73e4c6602d5112b0a8721e80
com.liferay	com.liferay.layout.type.controller.node	4.0.21		a1f59d3d27ff48676bff657b33880f3e6d501f84
com.liferay	com.liferay.layout.type.controller.node	4.0.21	jspc	85b3bd9fd3daca39ce15714b5b265dee224dcc13
com.liferay	com.liferay.layout.type.controller.node	4.0.22		22b36e411b9028e0734ae7c7d4f72585af8d0884
com.liferay	com.liferay.layout.type.controller.node	4.0.22	jspc	2850c8015ba7f0ffbbd7adf5be39ba9cc7e6a871
com.liferay	com.liferay.layout.type.controller.node	4.0.23		16ba1b04d6bba2e39cb440b3d3a834e3152c7353
com.liferay	com.liferay.layout.type.controller.node	4.0.23	jspc	5f2aa9f2ce77d71b9ba0b04df2994830908c8726
com.liferay	com.liferay.layout.type.controller.node	4.0.24		13241a1b11e62fbce8c4b514ca568bd129abe04a
com.liferay	com.liferay.layout.type.controller.node	4.0.24	jspc	6f8f0f539d2898d876c400cdeabe20fcbeac6530
com.liferay	com.liferay.layout.type.controller.node	4.0.25		0e5dbcdac3b81e278d4f84b1e1bfe19a16a57069
com.liferay	com.liferay.layout.type.controller.node	4.0.25	jspc	4f02d5bbd10d70fc1cc94bded8f3e0bc6f9e6a24
com.liferay	com.liferay.layout.type.controller.node	4.0.26		6b607e4e893233613a7456dc576361bd2d40082f
com.liferay	com.liferay.layout.type.controller.node	4.0.26	jspc	01b9227ed5ec550219ce75ac48c1622fe209708b
com.liferay	com.liferay.layout.type.controller.node	4.0.3		3bf35742973e2995a862d27ae87109a0b1f994d1
com.liferay	com.liferay.layout.type.controller.node	4.0.3	jspc	1b65c60a7d9008d0ed7026f862c2b7f6d992189c
com.liferay	com.liferay.layout.type.controller.node	4.0.4		73d6163813814bfb74e8d7d3b48b532b15e7c8bc
com.liferay	com.liferay.layout.type.controller.node	4.0.4	jspc	9eadca42ecc65cc2738e90d5a89c629187f35f1b
com.liferay	com.liferay.layout.type.controller.node	4.0.5		996cfa40b734684673b2d25dc17b9b4363095ec8
com.liferay	com.liferay.layout.type.controller.node	4.0.5	jspc	0f2f8d3331272059aa472ddfe22567b0aaa995bb
com.liferay	com.liferay.layout.type.controller.node	4.0.6		2038732cf080373c6d82757ad4de3eae9c696c4e
com.liferay	com.liferay.layout.type.controller.node	4.0.6	jspc	71bfd97a0097e4ba82eb44a9f0ca5a51655d0fb0
com.liferay	com.liferay.layout.type.controller.node	4.0.7		0c932d78ad965f4e947093dcfff4598fd93f9f54
com.liferay	com.liferay.layout.type.controller.node	4.0.7	jspc	7f3cbb4d1d2a470d091451549d8a36cc62bc35a8
com.liferay	com.liferay.layout.type.controller.node	4.0.8		ed8a599f628a8656fc66144fbf7760cb64c658f7
com.liferay	com.liferay.layout.type.controller.node	4.0.8	jspc	94dea702c67e135be747b740f71df76f4c46321e
com.liferay	com.liferay.layout.type.controller.node	4.0.9		d1e83ec9276ce3043ca610367d018bae9e99c67b
com.liferay	com.liferay.layout.type.controller.node	4.0.9	jspc	a9fea957d76255c193b3bdfa8cc9d8609ded22f5
com.liferay	com.liferay.layout.type.controller.node	5.0.0		8063cece70b4248341a793812a96fbb9196202f5
com.liferay	com.liferay.layout.type.controller.node	5.0.0	jspc	b5dcc2c232002e65149254e10c074566135b6aad
com.liferay	com.liferay.layout.type.controller.node	5.0.1		2617a8622e82446a70b29e948f0ee3777434c313
com.liferay	com.liferay.layout.type.controller.node	5.0.1	jspc	47c36db8d633c9d3fe22c0b053e6429a9d2a1a33
com.liferay	com.liferay.layout.type.controller.node	5.0.10		50372ee78d8b1b46fa62b7f59bfe71f019890c3e
com.liferay	com.liferay.layout.type.controller.node	5.0.10	jspc	0af4348fc96230a2706e44358391ea48c882f7d6
com.liferay	com.liferay.layout.type.controller.node	5.0.11		a53d1011c35a94e3ab5e438f20c0335af2ef2b48
com.liferay	com.liferay.layout.type.controller.node	5.0.11	jspc	3cb6090c52720276338b975a63ec09272849a352
com.liferay	com.liferay.layout.type.controller.node	5.0.12		62ad641fb4454ae5930f58d3c16624bfa8d29e83
com.liferay	com.liferay.layout.type.controller.node	5.0.12	jspc	ac6c9088c476aecaa163fb95dcc57093113af535
com.liferay	com.liferay.layout.type.controller.node	5.0.13		9d15ca6b5786ae78a8863fdd4dc55154676f9647
com.liferay	com.liferay.layout.type.controller.node	5.0.13	jspc	4b2d95acf7e9f4039438425d195217c70049494f
com.liferay	com.liferay.layout.type.controller.node	5.0.14		041d3196d0ad23a19eaf3b9fc7fe940f5d7e954e
com.liferay	com.liferay.layout.type.controller.node	5.0.14	jspc	8d5abd9349f1095e011cc84fa97145d9cdfec48b
com.liferay	com.liferay.layout.type.controller.node	5.0.15		2ae73d285eb332581b52924c4985a5069cd3fb14
com.liferay	com.liferay.layout.type.controller.node	5.0.15	jspc	03451008da6a42f39bf41ed27f56c57a2f52d7e7
com.liferay	com.liferay.layout.type.controller.node	5.0.16		1e54c7551a89f6375fc5d81c9dba5d4f5f0f1ccc
com.liferay	com.liferay.layout.type.controller.node	5.0.16	jspc	efba9446953d223d5c5046052e38ae483b7a9efa
com.liferay	com.liferay.layout.type.controller.node	5.0.17		decd610aa6774857b972e91747a83ab2e7462cf3
com.liferay	com.liferay.layout.type.controller.node	5.0.17	jspc	343eedaadd61ccd0d976a426a4cdf70873a1229f
com.liferay	com.liferay.layout.type.controller.node	5.0.18		4ee59218223c8fbe0abc4a23774111eabe523ffc
com.liferay	com.liferay.layout.type.controller.node	5.0.18	jspc	2f3ab23f63ded9b15479f413f3233ca4b1023031
com.liferay	com.liferay.layout.type.controller.node	5.0.19		f764d8aef911b836be84b07a7329166733b3e191
com.liferay	com.liferay.layout.type.controller.node	5.0.19	jspc	3cb4af30499316c9486ab61bae33cc2dae840e76
com.liferay	com.liferay.layout.type.controller.node	5.0.2		a7854657ec65352146d105d475e5d471fe148a70
com.liferay	com.liferay.layout.type.controller.node	5.0.2	jspc	7422a4465d67aeb21bf3da75b471c1e71581687a
