com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	2.5		70a81408fa186bcef002bfb4e467bd3df754e80e
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	2.6		3b92faf45fd4c5e7d3c0b02e19c8d39e6b9c0062
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	2.7		07fde0a2fe5cc01f38749bfdd9dce3267df63b1c
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	2.8		15fcb6b4f5c7d9d3bbb7592811b1bb695c1edc38
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	2.9		5541350843028783714799a224150d81d536ec1a
com.fresco-kitchenos	kitchenos-client-sdk.recipe-adaptation-implementation	0.0.2		2fcfb788537392dbe402530ec6b7e90e7803a715
com.github.arturopala	gitignore_2.13	0.1.0		0cced0a36638845e84096c0e461376b4d401e0cb
com.github.arturopala	gitignore_2.13	0.2.0		50b5b981bed207dd76f33a2be6ce72582afef866
com.github.arturopala	gitignore_2.13	0.3.0		4af1e245a62bafa7062a432b74da24b6847963db
com.github.arturopala	gitignore_2.13	0.4.0		b3b543a530d09c6af06994bf76636ca0eb5777c2
com.github.arturopala	gitignore_2.13	0.5.0		eee93f443b85f57069108f55ef3a48956ff3c54c
com.github.arturopala	gitignore_2.13	0.6.0		1858434725723f676626e330f3678d1f74112b38
com.github.felfert	jclouds-shaded	2.3.0		4e9f1057cdd697b9dfbfa397a5dc4a352636d1a3
com.github.felfert	jclouds-shaded	2.4.0		caa5e66cfafad22ac624d88321a20e37079ca612
com.github.gearzero	slick-threeten-mapper_2.11	0.1.0		c7050f1a9bb26828f50174adeea77e4f8ac3b3bb
com.github.kardapoltsev	ast-parser_2.12	3.0.2		43a79aeed28178b9161484aa9df4cd29110bce10
com.github.kardapoltsev	ast-parser_2.12	3.0.3		6e1311e171ce86631df0f547c0d6d1e637c62013
com.github.kardapoltsev	ast-parser_2.12	3.1.0		f5dd6190df0789c8dd791edc812ef89c753aaf7e
com.github.kardapoltsev	ast-parser_2.12	3.1.1		eed7e23c4f7875099acc1a2989cea4b90a4c6fc5
com.github.kardapoltsev	ast-parser_2.12	3.1.10		1984eb3285513fb6459aeb8c4cf3898a8775c9a1
com.github.kardapoltsev	ast-parser_2.12	3.1.11		6ebe96d2e2848311df629b9feebde785d3b8c8dc
