ai.basemind	client	1.0.0		N/A
com.condation.cms	cms-filesystem	7.2.0		8de421275215f79a64207044cd496850c30991c0
com.condation.cms	cms-filesystem	7.3.0		796ee9c37f7888414afc7171803158514e191ec1
com.condation.cms	cms-filesystem	7.4.0		3037bfe107104efa6a23f1ffdd44a722775a13ce
com.condation.cms	cms-filesystem	7.4.1		861aa1d3a1744c752c3bf47335a625e77369792a
com.condation.cms	cms-filesystem	7.4.2		9ea814bb22ad0b9e644dbf6dd167479486e32667
com.condation.cms	cms-filesystem	7.5.0		a1e58b38b9a091bfa53da8558630ce599779042e
com.condation.cms	cms-filesystem	7.6.0		d227722ec893b91e2f2d5b0fd4651581a59a2d7f
com.condation.cms	cms-filesystem	7.6.1		07b866fa891ae2a0d274fe85eeb00f6347f4367f
com.condation.cms	cms-filesystem	7.6.2		61e8d8588b6f306ab2801391cea6468de8746d5a
com.condation.cms	cms-filesystem	7.6.3		5872930f31a9ec982d9a09a1ce6a3e2bcbdccc9f
com.condation.cms	cms-filesystem	7.7.0		a7c84dbc246c88dd9eb575c4e40d34dd633eef77
com.condation.cms	cms-filesystem	7.8.0		eb5ae033aa1e8f43e04c7857a34269d945edb2db
com.excilys.ebi.spring-dbunit	spring-dbunit-servlet	1.4.0		83eec7c4517cf77192b7bb38bf8046e0a91167a8
com.github.dozermapper.tests	dozer-jmh-tests	6.2.0		b9e100c0a9f94fc22cde78ca6afcc5fdab67a67a
com.github.dozermapper.tests	dozer-jmh-tests	6.3.0		d0dd7aeadb2fc377bd356410d0815f3089f4d87c
com.github.dozermapper.tests	dozer-jmh-tests	6.4.0		d85584ea5099b91682608f63db5bd99bd534a6ee
com.github.dozermapper.tests	dozer-jmh-tests	6.4.1		bc87077a5e78141a38b5f7eebc3495a92bb46938
com.github.dozermapper.tests	dozer-jmh-tests	6.5.0		965343aa47236db6934e358d95cc7b8f7973446c
com.github.dozermapper.tests	dozer-jmh-tests	6.5.2		11d293d408e30d26256f375e46b9b4dc75280867
com.github.j5ik2o	reactive-aws-elasticbeanstalk-test_2.11	1.1.0		2dbf00ee36964f97f5db0f0da9e587681965646f
com.github.j5ik2o	reactive-aws-elasticbeanstalk-test_2.11	1.1.1		294d7bed0c0de3a0e610def1debb6d3dc3e95ef8
com.github.j5ik2o	reactive-aws-elasticbeanstalk-test_2.11	1.1.3		91fcb9e1214b0b35e5fda0be088dd581e392febd
com.github.j5ik2o	reactive-aws-elasticbeanstalk-test_2.11	1.1.4		3a8940432d575129474455b53f89cf2db763773a
com.github.j5ik2o	reactive-aws-elasticbeanstalk-test_2.11	1.1.5		f4e45b943f6576fb0e663d12dc23033ed79aea64
com.github.j5ik2o	reactive-aws-elasticbeanstalk-test_2.11	1.1.6		d2c5b88cf18b41eb1f1198d34259413f701f799d
com.github.j5ik2o	reactive-aws-elasticbeanstalk-test_2.11	1.1.7		11129965a67a111b6db0485682e56a52fe095a9c
com.github.j5ik2o	reactive-aws-elasticbeanstalk-test_2.11	1.1.8		4f49c24bd861423a0eee152fec776cf7a3542bff
com.github.j5ik2o	reactive-aws-elasticbeanstalk-test_2.11	1.2.0		46e486a561a73bf8bd2c2fd84f4811725f5e7538
com.github.j5ik2o	reactive-aws-elasticbeanstalk-test_2.11	1.2.1		303e9195eecafb3ef2f389c4cacd289ee5a98f7b
com.github.j5ik2o	reactive-aws-elasticbeanstalk-test_2.11	1.2.3		56cb1921aa52b3994ca4b3606aee8abecb785f5f
com.github.j5ik2o	reactive-aws-elasticbeanstalk-test_2.11	1.2.6		e14142b4ec501578fc23b28edddf27b365af8a2e
com.github.jameszbl	console-util	1.0.2		eb6bfa77e3887330fdb774b60cf7f5a73970bda9
com.github.philcali	sbt-lwjgl-plugin_2.9.2_0.12	3.1.4		99f5f14ac9e40add952452c78092171b54170153
com.github.skydoves	flow-operators-iossimulatorarm64	0.1.1		N/A
com.github.skydoves	flow-operators-iossimulatorarm64	0.1.1	metadata	20ab6587a15ee2ffa516313e159b21771186a3de
com.github.virusdave	zio-stacktracer_2.13	1.0.5b		723c704dc76207e69d2b67176659a665390ffa78
com.github.wuic	wuic-servlet	0.3.0		fb05fda69ef453620c27e7721514aeb5f46d3e83
com.github.wuic	wuic-servlet	0.3.1		69a4c9fe8c1ba82a2640a3a970bbf84cd0de6ddc
com.github.wuic	wuic-servlet	0.3.2		fafceb31a52c5fccd0a1f8c32dcde867b9f7ad78
com.github.wuic	wuic-servlet	0.3.3		523249ecaa3c7f67c8381db5029b3a3133f98a05
com.github.wuic	wuic-servlet	0.3.4		a4ec76543a01a8fc790d75db3584120a3d456386
com.github.wuic	wuic-servlet	0.3.5		d061b60e396e4e21f95b3cd96cafd167387c951a
com.github.wuic	wuic-servlet	0.4.0		73530ca9ad51de6ed37108f6a29c431967abfa3d
com.github.wuic	wuic-servlet	0.4.1.RC1		6c4d5456e7c92f47c457e3ec00f2b6d58b3eb138
com.github.wuic	wuic-servlet	0.4.2		4293d1f7ebbfa80622f8ff42cc7a49ba55a73adc
com.github.wuic	wuic-servlet	0.4.3		4492861933feefc36c1037acf03e727213b2254d
com.github.wuic	wuic-servlet	0.4.3.RC1		490d0eae8210a4a913762792825768320d6c3f77
com.github.wuic	wuic-servlet	0.4.3.RC2		2410114c4d3cc2224ac521e203a1186ce030ac12
com.github.wuic	wuic-servlet	0.4.3.RC3		749acc910f4086d8660c415157c6b7e9be156ef4
com.github.wuic	wuic-servlet	0.4.3.RC4		2389ab0775283dac8a8368b361146106b848cb50
com.github.wuic	wuic-servlet	0.4.4		768560adebcb6e9d935d28450ff6fab3f6250b6a
com.github.wuic	wuic-servlet	0.4.4.RC1		27ce545775f545912eab5e090df21449a710af6f
com.github.wuic	wuic-servlet	0.4.4.RC2		4d78f28644728d5ea0d251ab39da1be3baa0b995
com.github.wuic	wuic-servlet	0.4.5		7d6bcd2cf9a3476cbedb3fb8eb6a2485325ce222
com.github.wuic	wuic-servlet	0.4.5.RC1		0f97abbd2a82d20d4fc7edddc55be83e1432c5af
com.github.wuic	wuic-servlet	0.4.5.RC2		31368480277dee5fae0b99e9ad79686434f9ff18
com.github.wuic	wuic-servlet	0.4.5.RC3		db586c2362a03852f84de77113eb04b732176540
com.github.wuic	wuic-servlet	0.4.5.RC4		3a71d5834a8b720a793b765bc1a03dfdd6c74327
com.github.wuic	wuic-servlet	0.4.5.RC5		c6c7fe3304d2559e69c43cfa33eb7f1a483bd582
com.github.wuic	wuic-servlet	0.5.0		0ba0dcb4d46d88acf81509a5636e39476a7d4204
com.github.wuic	wuic-servlet	0.5.0.RC1		6d7b5ee8e6fd62575450c96607a3ecf46b7dea37
com.github.wuic	wuic-servlet	0.5.0.RC2		2075cc97bc738c5f31383f9b6d5783ce7201cf79
com.github.wuic	wuic-servlet	0.5.0.RC3		603b7bd7c9e8130c38c015216b06a9764d0e2675
com.github.wuic	wuic-servlet	0.5.0.RC4		8c116a2a77884905a6806fb4080b382c27a1c720
com.github.wuic	wuic-servlet	0.5.0.RC5		ffa30829c8902700d905a4f5134846a92dfab70f
com.github.wuic	wuic-servlet	0.5.0.RC6		2968cecb6bad2d9b3c02ccaa242282bc991283fd
com.github.wuic	wuic-servlet	0.5.0.RC7		db88b9918fa207faf81ff3d601f2ecdcef7ac94c
com.github.wuic	wuic-servlet	0.5.1		79e2c3a46fe757b51d785a460034feb4a5aecc67
com.github.wuic	wuic-servlet	0.5.1.RC1		8cdce334680777ba317c0ac6fe6dc0f35b0384c7
com.github.wuic	wuic-servlet	0.5.1.RC2		d4d4a5356eb5631807558e2dc6fcf05daf0e5694
com.github.wuic	wuic-servlet	0.5.2		a72312760c5764ebbf64b516f769fe2355f04a7b
com.github.wuic	wuic-servlet	0.5.2.RC1		a6583bf6fca0cca9c23fb4ad5270a7802cfffc7a
com.github.wuic	wuic-servlet	0.5.2.RC2		ab5514f0196e3f41836c12c27a562e4c56691648
com.github.wuic	wuic-servlet	0.5.2.RC3		985f2ab466baad01a17a8adf6b023a6535b5085d
com.github.wuic	wuic-servlet	0.5.2.RC4		3522321806cc6bb21a08f1372200095a0a4c79fd
com.github.wuic	wuic-servlet	0.5.2.RC5		cfc6a3e4880a6096f0945ce92b27a7e38ada7ea5
com.github.wuic	wuic-servlet	0.5.2.RC6		e63ff76fbb3f1171fd642b6eb128cb89224470eb
com.jakewharton.cite	cite-runtime-iosarm64	0.1.0		N/A
com.jakewharton.cite	cite-runtime-iosarm64	0.1.0	metadata	f70a100bd2c2ce6124d34729e369200f5654c0d4
com.jakewharton.cite	cite-runtime-iosarm64	0.2.0		N/A
com.jakewharton.cite	cite-runtime-iosarm64	0.2.0	metadata	de8f46bfd92eccd55bbd7e757498e6f51a3621b3
com.jakewharton.cite	cite-runtime-iosarm64	0.3.0		N/A
com.jakewharton.cite	cite-runtime-iosarm64	0.3.0	metadata	57469458637db5266c3fe7c8c9486aa2298837ba
com.jakewharton.cite	cite-runtime-iosarm64	0.4.0		N/A
com.jakewharton.cite	cite-runtime-iosarm64	0.4.0	metadata	b37b202cf62875c516c2edf80262521f467428c2
com.juul.kable	kable-exceptions-jvm	0.33.0		dfcc38a558e47f53810e969ca2a6a3393f162a82
com.juul.kable	kable-exceptions-jvm	0.33.1		dfcc38a558e47f53810e969ca2a6a3393f162a82
com.juul.kable	kable-exceptions-jvm	0.33.2		dfcc38a558e47f53810e969ca2a6a3393f162a82
com.juul.kable	kable-exceptions-jvm	0.34.0		a5e17f57479f0e0ade040f197524275fc1edca8d
com.lasmanis.maven.tiles	maven-pmd	0.0.102		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.105		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.109		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.112		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.115		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.122		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.125		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.128		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.131		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.135		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.138		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.141		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.144		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.147		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.153		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.156		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.34		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.37		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.42		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.45		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.48		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.51		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.57		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.61		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.64		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.67		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.70		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.73		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.76		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.79		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.84		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.87		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.90		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.93		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.96		N/A
com.lasmanis.maven.tiles	maven-pmd	0.0.99		N/A
com.lucidchart	scalafmt-impl_2.12	1.10-1.0		6a2d29298b9bf8d2454d76caa9b33d9bac20c157
com.lucidchart	scalafmt-impl_2.12	1.11-1.0		2ef7ea6f69b8a152bd00b6eb392af906088bc02b
com.lucidchart	scalafmt-impl_2.12	1.12-1.0		756efdb2daf97c3dcbabaaa568027e6aa74d5005
com.lucidchart	scalafmt-impl_2.12	1.13-1.0		c573c3b215fd9e5af1d4b52cb230bc710f61758a
com.lucidchart	scalafmt-impl_2.12	1.14-1.0		564aa5598909564d4ed353f96cecefaa2bddd5a0
com.lucidchart	scalafmt-impl_2.12	1.15-1.0		4031042a6b6bc09261aa91d93ddbacf0e08c87ed
com.lucidchart	scalafmt-impl_2.12	1.16-1.5		72bd136ea3ec34d25b6c33a8f63492c58ac8636a
com.lucidchart	scalafmt-impl_2.12	1.16-2.0		f10969be0288df5a105221089fc13f3a04b20839
com.lucidchart	scalafmt-impl_2.12	1.5-1.0		4de00b9e98240d778bb555a08986a0a39e1ec71f
com.lucidchart	scalafmt-impl_2.12	1.6-1.0		f273beb5932ffc27eb7464d59b21bef40cf30dfa
com.lucidchart	scalafmt-impl_2.12	1.7-1.0		f5edb7fb479a75b51629f1443b12243c85e1bf29
com.lucidchart	scalafmt-impl_2.12	1.8-1.0		24d943e8e153234d74596cfd73fec5674be538ff
com.lucidchart	scalafmt-impl_2.12	1.9-1.0		33d5ad8cc000758989cc41d4effe4614ac14d569
com.luketebbs.uniform	core_2.11	0.2.3		734b7ec24966f249155b93110f9f82de4a1da9b9
com.luketebbs.uniform	core_2.11	0.2.4		cb5bc33dcae4a2c04491f7feb53e5af10eb49a39
com.luketebbs.uniform	core_2.11	0.3.0		e85a3c200818d04cab7ae25f8b8bb3fbef65c8cb
com.luketebbs.uniform	core_2.11	0.4.0		e266ca8abcf6aecbc30697e91ce2fb3a129a4163
com.luketebbs.uniform	core_2.11	0.4.1		5aa947ac765138328440c50d06ddf18a2dd71104
com.luketebbs.uniform	core_2.11	0.4.3		8e5a779771e9d51abe21ed0bc49a753ee5fc13ff
com.luketebbs.uniform	core_2.11	0.4.4		d86f92f28bdfae440b4ec4a1775699d956edc11e
com.luketebbs.uniform	core_2.11	0.4.5		a36efff361a1fd2956702455a3ae9c298f49e12c
com.luketebbs.uniform	core_2.11	0.4.6		039ce4e38f08a10a86d3f8869374cf1e9f7c285a
com.luketebbs.uniform	core_2.11	0.4.7		2fa36a6c5f73b4d80e3dc233fb0d0eaa1b797fe0
com.luketebbs.uniform	core_2.11	0.4.8		4743aceceb3a1b3484fd8c03c72252f21a4e819d
com.luketebbs.uniform	core_2.11	0.4.9		9f022e54ccfc9e0e12ffd8a99c6962031de541af
com.luketebbs.uniform	core_2.11	2.5.1		658791315adf6d0f505c6ba09046739aa5bb0d9c
com.luketebbs.uniform	core_2.11	4.0.0		945eb61fbf7d9fd7b838e070095660db6c6b44da
com.luketebbs.uniform	core_2.11	4.1.1		6259e54b4e7c844a2a2be4564313ad26d6cd5045
com.luketebbs.uniform	core_2.11	4.10.0		7606c7f89ceda812e617a3fb039fdbbe7df2f364
com.luketebbs.uniform	core_2.11	4.2.0		f7d5d957a75bd85d9c4f5f3ba06c89fbef24a63f
com.luketebbs.uniform	core_2.11	4.3.0		91786219b0dcc79126afcb396f227e2cabc114cb
com.luketebbs.uniform	core_2.11	4.4.0		e1e75515bb3c004cd2495f52ce01610a65618a03
com.luketebbs.uniform	core_2.11	4.4.1		9ceed0604e52b366885bbfb6fccefefb5ccee50e
com.luketebbs.uniform	core_2.11	4.5.0		41cb01168e1906330463a6c73d37bbfcff2a88aa
com.luketebbs.uniform	core_2.11	4.5.1		591aa73119ea23cd0a4c05d203ec8f8151e5fbf5
com.luketebbs.uniform	core_2.11	4.6.0		3d1b7b424a5e8d423cd64122b6f4afc927e3796c
com.luketebbs.uniform	core_2.11	4.7.0		e68dd41edba48d7ce595ff326ce68550e05c4a36
com.luketebbs.uniform	core_2.11	4.8.0		4c6fb4236c6277e94effc456104c4ab3ba3f59d4
com.luketebbs.uniform	core_2.11	4.8.1		fce9beb792e545b94dd7d505cd77af1fe912005d
com.luketebbs.uniform	core_2.11	4.9.0		2c2cf46058e366a648adf0a69eef9a4c3cd2464b
com.mastfrog	acteur-base	2.5.0		8f86e03b46b60595e79653ca7c784f9f66aac7ed
com.mastfrog	acteur-base	2.6.0		65b3e4f94f4d74d2a253eec97a43f5487c84c60a
com.mastfrog	acteur-base	2.6.1		8081d67b03ad7d4f79698408195c1cb6d17bc082
com.mastfrog	acteur-base	2.6.10		623ca61690f182fb685e35e36135667e16cc88d0
com.mastfrog	acteur-base	2.6.11		1b252ac80ef51f854cd2b9419a85e74af8e212d9
com.mastfrog	acteur-base	2.6.12		140c0806665de69450b04c1b5c09282bdde9be93
com.mastfrog	acteur-base	2.6.13		e5118978fecf7d6cc7e29c0d53a5ebb8f6aba36e
com.mastfrog	acteur-base	2.6.2		e67afacca251dbd544e3876e920c8f4982dc868e
com.mastfrog	acteur-base	2.6.3		2bc48350e1906988a4ada2c2601d0f31ee073fa1
com.mastfrog	acteur-base	2.6.4		b5405637b8794c5a48bd709eadd9309d48c56f04
com.mastfrog	acteur-base	2.6.5		de58b2142f6b75234f464569502af354ea24078f
com.mastfrog	acteur-base	2.6.6		79154e2c27f3dbbc3537531b209df031728e54f6
com.mastfrog	acteur-base	2.6.7		26bb463e152c7f6cddd1479a14e91d5530839be0
com.mastfrog	acteur-base	2.6.8		0834d975d63b5fe9a89a45ee916fa015a0c93f8c
com.mastfrog	acteur-base	2.6.9		9588b5e759f9667347c5c157b5f19e7c82ad405e
com.mastfrog	acteur-base	2.7.0		cb832f8f35ee4655643a582f00fe37ae30064fa0
com.mastfrog	acteur-base	2.7.1		c6d36aa1db159c718a0a37e0ca3eb578127ec568
com.mastfrog	acteur-base	2.7.2		59f0b13666bb99e7991608da7f0ba2de548850b6
com.mastfrog	acteur-base	2.7.3		53a477adbdc282e4ddbfa8ae1a516f91d9a7ed11
com.mastfrog	acteur-base	2.8.0		45867cdda821f1533c996a37626de24870177056
com.mastfrog	acteur-base	2.8.1		a399dfe7b396923ac497e708bf94ca7859cec47a
com.mastfrog	acteur-base	2.8.2		878acab1a7a4ea8f0c2bddf0e70f92a04f67b5a5
com.mastfrog	acteur-base	2.8.3		68e2531891b3c8bdc6878b734a7759d17f0ffe40
com.mastfrog	acteur-base	2.8.4		d6df8cdc54abf6b1cf97c5720c2fb2400b78ae99
com.mastfrog	acteur-base	2.8.5		cfbeb1b450ad4f73f8163831f90f5ea6a5b21c61
com.mastfrog	acteur-base	2.8.6		30840fe308f09ce6d7f8486cef54f3a926ac2368
com.mastfrog	acteur-base	2.8.7		3cbbbeb6b1cbeea2e77d945b45ef94d71bee10e3
com.mastfrog	acteur-base	2.9.0		14e5ee66f5519962f6ca0fcb12e1cfef54184470
com.mastfrog	acteur-base	2.9.1		b37c74f363ff8fc25783da46a0012cf7be7504d0
com.mastfrog	acteur-base	2.9.2		8e085df12d1da21e86a184249273c6f7180c79b8
com.mastfrog	acteur-base	2.9.3		2d35b625eeaa29a46b176183276fead931d7302c
com.mastfrog	acteur-base	2.9.4		33cd44c629129c65f8967aa3c262160855382359
com.mastfrog	acteur-base	2.9.5		dfa37bbfba139484f162432c05a80587db33bd0d
com.mastfrog	acteur-base	2.9.6		fd762171323930a20e11051b21e25a7a22afe065
com.mastfrog	acteur-base	2.9.7		2ba2964bc60acdd847b6aab8097e615cdcff9db4
com.microsoft.azure	synapseml-opencv_2.12_1.0	0.9.3		10d0b50a0d35fc5e660a4eaae76b1be2df23490a
com.netflix.karyon2	karyon-admin-web	2.2.00-ALPHA3		3567d289135626a00b8301917d58c922273f3bb9
com.netflix.karyon2	karyon-admin-web	2.2.00-ALPHA7		78de73d260af5d7a5f29e2d3ccd2168233dff444
com.nryanov.feature4s	feature4s-zookeeper_2.13	0.1.0		58f8dda50a14691284e744b26d7fcd8e8f187226
com.nryanov.feature4s	feature4s-zookeeper_2.13	0.2.0		234e031dce6414df22fd434427634a6bea762d71
com.pchudzik	fluentxpath	1.0.0		67e9086a6109746561baf425842536650b975f8c
com.rallyhealth	play28-json-tests-sc14_2.12	4.4.0		4d659c30a1d377119c611d3d788b6ea40b64f94d
com.slack.circuit	circuit-runtime-screen-linuxx64	0.23.0		N/A
com.slack.circuit	circuit-runtime-screen-linuxx64	0.23.1		N/A
com.slack.circuit	circuit-runtime-screen-linuxx64	0.24.0		N/A
com.slack.circuit	circuit-runtime-screen-linuxx64	0.24.0-alpha01-compose17		N/A
com.slack.circuit	circuit-runtime-screen-linuxx64	0.25.0		N/A
com.slack.circuit	circuit-runtime-screen-linuxx64	0.26.0		N/A
com.slack.circuit	circuit-runtime-screen-linuxx64	0.26.1		N/A
com.slack.circuit	circuit-runtime-screen-linuxx64	0.27.0		N/A
com.slack.circuit	circuit-runtime-screen-linuxx64	0.27.1		N/A
com.softwaremill.clippy	plugin_2.12	0.3.1		a55d895bc3b3cfc32553c1b58be64ea52b4138ee
com.softwaremill.clippy	plugin_2.12	0.3.1	bundle	7234498a0e8987567717a0c10b2a57f36c6c711a
com.softwaremill.clippy	plugin_2.12	0.3.2		713629c564a5f1947284b2557d03812ac90fe940
com.softwaremill.clippy	plugin_2.12	0.3.2	bundle	306ea83cf21c500e2e3892cf6121ada5287f961e
com.softwaremill.clippy	plugin_2.12	0.3.3		7b02de1b76bce90e9c8cbdc1f2ccd09c029dadf7
com.softwaremill.clippy	plugin_2.12	0.3.3	bundle	9e7d24204f1dbe7501ea104913161062dfe97608
com.softwaremill.clippy	plugin_2.12	0.3.4		ded2f949cb53caafe947e72d05a250cb8494c956
com.softwaremill.clippy	plugin_2.12	0.3.4	bundle	141060526cf5774b9f4c769f45fd649d2f14f0b2
com.softwaremill.clippy	plugin_2.12	0.3.5		b7f66ca82be3ad1109a05109d73308622cb65a0d
com.softwaremill.clippy	plugin_2.12	0.3.5	bundle	3d9615bdd38f3161048ced97ed83207a0fe6d267
com.softwaremill.clippy	plugin_2.12	0.3.6		d515da7708df784043f64adc5af88b7ad32c4995
com.softwaremill.clippy	plugin_2.12	0.3.6	bundle	d190de5145ce6f2bc4faf0937105136bf708564e
com.softwaremill.clippy	plugin_2.12	0.4.0		d5b69dfc3fd45fc7e62d366ee0085523841d6fc1
com.softwaremill.clippy	plugin_2.12	0.4.0	bundle	597f5171b96e8ef2195a4f28de0850ae772dc869
com.softwaremill.clippy	plugin_2.12	0.4.1		11adab9833d11a5d2aae8a11342bc7bc8c00dde1
com.softwaremill.clippy	plugin_2.12	0.4.1	bundle	e21647a4b24090ed054146407c1bbf7510318da4
com.softwaremill.clippy	plugin_2.12	0.5.0		0bbbd6361180086ba45e342b22a9536332343d50
com.softwaremill.clippy	plugin_2.12	0.5.0	bundle	798f06123ec7fece18af251499a1c2b8e05e38bc
com.softwaremill.clippy	plugin_2.12	0.5.1		6c15cf13d40acf91276a6742703d5b8a20b673c5
com.softwaremill.clippy	plugin_2.12	0.5.1	bundle	d36b623235d3b8b433bdfeb2ada1142fbc98163b
com.softwaremill.clippy	plugin_2.12	0.5.2		9be9994d8ec95c9f0f2507a65cef0ab82486b459
com.softwaremill.clippy	plugin_2.12	0.5.2	bundle	3aede42dae9f7d93ee618cdeb08b5a458efcda3e
com.softwaremill.clippy	plugin_2.12	0.5.3		54c13de5378aa69c4f35b3a8e6b4d96b4da14fc5
