com.jdcloud.sdk	yundingdatapush	1.0.0		ef7454b7cbaf848a55a7d1110fc67e5dd4da281f
com.jdcloud.sdk	yundingdatapush	1.0.1		04642a6ce98df93e1a1177e2be70288bfa83c5fc
com.jdcloud.sdk	yundingdatapush	1.0.2		7d34fdfcdaca3274d90ba09b027d199326da4302
com.jdcloud.sdk	yundingdatapush	1.0.3		81177ae81d704c66ef156fb6ad20aa85ca44b35e
com.jdcloud.sdk	yundingdatapush	1.0.4		232390f4690c4912d3ac280e9d0964f62c878803
com.jeff-media	MorePersistentDataTypes	2.4.0		c67f6af161b1d0c25d140f3a9662be1983e64e62
com.karadzhov	scala-iso-country-i18n-pt_sjs1_2.12	0.3.0		26cb0d0c73a4a440e44fe8a5623f07f86e5971fa
com.karadzhov	scala-iso-country-i18n-pt_sjs1_2.12	0.3.1		ad2a8db0bebbe26cb5b6afcf511254607694eb59
com.karadzhov	scala-iso-country-i18n-pt_sjs1_2.12	0.4.0		6277e94324f0e3f1ae944fd16f58c8c2b3827cfd
com.karadzhov	scala-iso-country-i18n-pt_sjs1_2.12	0.5.0		28c92065ffce0963ca833cdec01bb8381fd64b92
com.lihaoyi	ammonite-sshd_2.11	1.0.5-25-b3b801e8		26a48d5a21c75b730f8a50f0601cd0869d62081a
com.lihaoyi	ammonite-sshd_2.11	1.1.0-34-b991be4		5b158c8cfe17c94cba022538d64815c87e325f8d
com.mayakapps.rwmutex	library-mingwx64	1.0.0		N/A
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.10.0		8a1a6b1e6b56e1ed6a236e6e49a209f319f0d95e
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.11.0		b7b967da8fb71ad199f22ead5aa53a426c6a0a05
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.12.0		f528329f55d45945f9d617361726634ce1b5164a
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.12.1		d521ba8ee53100423c6d998ef29b26a646924ca1
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.12.10		0126af0ccb888d0d9f329b84e3fdcc7ae738ff70
