activemq	xsdlib	20050407	-	bafe37188ccc6b64e8fd7be6ac362f9fa6a13315
aws.smithy.kotlin	aws-protocol-core	0.29.0	-	e51bd510b4c3d74d00775a9b5dc54f5ea662525f
aws.smithy.kotlin	aws-protocol-core	0.30.0	-	e51bd510b4c3d74d00775a9b5dc54f5ea662525f
aws.smithy.kotlin	aws-protocol-core	1.0.0	-	e51bd510b4c3d74d00775a9b5dc54f5ea662525f
aws.smithy.kotlin	aws-protocol-core	1.0.1	-	e51bd510b4c3d74d00775a9b5dc54f5ea662525f
aws.smithy.kotlin	aws-protocol-core	1.0.10	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.0.11	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.0.12	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.0.13	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.0.14	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.0.15	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.0.16	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.0.17	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.0.18	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.0.19	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.0.2	-	e51bd510b4c3d74d00775a9b5dc54f5ea662525f
aws.smithy.kotlin	aws-protocol-core	1.0.20	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.0.3	-	e51bd510b4c3d74d00775a9b5dc54f5ea662525f
aws.smithy.kotlin	aws-protocol-core	1.0.4	-	e51bd510b4c3d74d00775a9b5dc54f5ea662525f
aws.smithy.kotlin	aws-protocol-core	1.0.5	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.0.6	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.0.7	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.0.8	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.0.9	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.1.0	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.1.1	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.1.2	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.1.3	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.1.4	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.1.5	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.2.0	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.2.1	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.2.10	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.2.11	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.2.12	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.2.13	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.2.14	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.2.15	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.2.16	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.2.17	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.2.18	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.2.2	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.2.3	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.2.4	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.2.5	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.2.6	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.2.7	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.2.8	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.2.9	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.0	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.1	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.10	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.11	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.12	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.13	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.14	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.15	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.16	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.17	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.18	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.19	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.2	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.20	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.21	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.22	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.23	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.24	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.25	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.26	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.27	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.28	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.29	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.3	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.30	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.31	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.32	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.33	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.34	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.4	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.5	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.6	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.7	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.8	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.3.9	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.4.0	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.4.1	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.4.10	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.4.11	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.4.12	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.4.13	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.4.14	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.4.2	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.4.3	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.4.4	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.4.5	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.4.6	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.4.7	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.4.8	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
aws.smithy.kotlin	aws-protocol-core	1.4.9	-	094144f5e7a3d3581613fbdeb6d4102634530e2e
br.com.anteros	br.com.anteros.mqtt.utility	1.2.2	-	448ad821a773cc3eb5dca8566d64ea2dfd96bdc4
br.com.digix	editordedocumento	1.1.8	-	b50d2dc3be591f56d2212b032272b848d61ca144
br.com.digix	editordedocumento	2.0.0	-	17846e977e19ada9b1bcea84c3a7f65bc38e6184
br.com.digix	editordedocumento	2.1.0	-	ff97e2eed20ca51eb6675ba4d97d4baf1ab20f09
br.com.digix	editordedocumento	2.2.0	-	608294c5cd1999cc6b04a1ad4ef7e402f64b9c33
br.com.digix	editordedocumento	2.2.1	-	8096c36f9765102c406e912b656f9677147100a3
br.com.digix	editordedocumento	2.2.2	-	07046f17757de347483afb94effe3284cea09349
br.com.digix	editordedocumento	2.2.3	-	05b3741532808a81dade6f61b01753f9f8e4dd5a
br.com.digix	editordedocumento	2.2.4	-	cf67412a8687cd1fe552e9dc7e1475646fab9d9b
br.com.digix	editordedocumento	2.2.5	-	89b70579de58ac732cef0b96ce3c56ebd3620a1d
br.com.digix	editordedocumento	2.2.6	-	e29bb33cce54865e1fe1f0a6bf3f1ffa36e33557
br.com.digix	editordedocumento	2.2.7	-	c368aaf4ebf20d1163638543019510d2b2630157
br.com.digix	editordedocumento	2.3.0	-	24694714d0ca1aaaa1355aee0ec78037ca07c899
br.com.digix	editordedocumento	2.4.0	-	c8c019e9a2dedb90559523da0e5e02e15ac36b90
br.com.infoglobo.kvalito	kvalito	3.0.0	-	80eb35e3468bedc4534d00258ae6528b854c03dd
br.com.infoglobo.kvalito	kvalito	3.0.1	-	a95ea385da87538ce44af185875659873ef67c8e
br.com.infoglobo.kvalito	kvalito	3.1.0	-	004491ccbc958281627c21dca40f0c1b1321415a
br.com.infoglobo.kvalito	kvalito	3.2.0	-	03d21995548325d7ed88052d4fe1cd0503bcef2c
br.com.infoglobo.kvalito	kvalito	3.3.0	-	3f12dda739f5c4627081c5a43b6d91cacc994e6f
br.com.infoglobo.kvalito	kvalito	3.4.0	-	8e9583f0fe1eebfc4afbfcc7221b3c2bdeb665aa
br.com.infoglobo.kvalito	kvalito	3.5.0	-	12898015236844c1ae7e774d8dc1646159e11e3d
br.com.infoglobo.kvalito	kvalito	3.5.1	-	c84961ffcc7455af04ab5ea2df1bdeffb7f3b457
br.com.infoglobo.kvalito	kvalito	3.6.0	-	f690c591c666da17565a20c850824cdb9a2f1e31
br.com.infoglobo.kvalito	kvalito	3.6.1	-	77d489f4a5da6c3dbde3c3ecbfea93340c470ee5
br.com.swconsultoria	java-nfe	4.00.10	-	f688992c729eff483c89a82404d62fd54e394ef9
br.com.swconsultoria	java-nfe	4.00.11	-	8843248746a29ed9d40f2ea3e214ca0ac94759d2
br.com.swconsultoria	java-nfe	4.00.12	-	b98617e021dc071e612fa6c6eee2c94b65fb26bb
br.com.swconsultoria	java-nfe	4.00.13	-	0f98ab63f65498b7ba0e3ef5de4c48446c2dae02
br.com.swconsultoria	java-nfe	4.00.14	-	dd32233c38a308b240fdecf5f8ff25546fa671cd
br.com.swconsultoria	java-nfe	4.00.15	-	de6d03179e86b104721413eaeeeed272982dcbc3
br.com.swconsultoria	java-nfe	4.00.16	-	920237cd640b119827b407de53ca5d5c4246cb03
br.com.swconsultoria	java-nfe	4.00.17	-	cb8965167f8533b4b444835f5ad81ee16478cd74
br.com.swconsultoria	java-nfe	4.00.18	-	aca2514d29100d5174391d102b8bd327f26353cc
br.com.swconsultoria	java-nfe	4.00.19	-	4359828c66436ee467adc8b4efa535187980ccc2
br.com.swconsultoria	java-nfe	4.00.20	-	c6d8588f83daf2ac8f62d7f0ba74644611d1263a
br.com.swconsultoria	java-nfe	4.00.21	-	e055d675fc7cc3dcc5dc9827d41fa6c4e6ba4800
br.com.swconsultoria	java-nfe	4.00.22	-	c28056839a245f1ce5c04961a544421fc9fdd2af
br.com.swconsultoria	java-nfe	4.00.23	-	52f7f4f89626843aa9155bdf92fb0de9410008a0
br.com.swconsultoria	java-nfe	4.00.24	-	18c59c538b06e46c2fd9150ee246f285d821d4cf
br.com.swconsultoria	java-nfe	4.00.25	-	9fe958ceb13395687ce77ed405cfdf1465e34c3b
br.com.swconsultoria	java-nfe	4.00.26	-	aacabf900beafe3f1d83fbb098608a60b6452024
br.com.swconsultoria	java-nfe	4.00.27	-	68afd1798cbad001d8b3d9f35df9db922378727f
br.com.swconsultoria	java-nfe	4.00.28	-	4011148fe559d8e6d84c1b1ec165551e9cb93f2f
br.com.swconsultoria	java-nfe	4.00.29	-	f4c750710242882f5e9857356c879c029f273fcd
br.com.swconsultoria	java-nfe	4.00.30	-	c8991de19d92961392c92672841f63448f643ffe
br.com.swconsultoria	java-nfe	4.00.31	-	d3501879f156b1bb219a6de471fc9fb8e7fa1fff
br.com.swconsultoria	java-nfe	4.00.32	-	d6372357456334961e6b251b110bdf41348cb279
br.com.swconsultoria	java-nfe	4.00.33	-	3c17bfc92a776177ad4ba2cf7619aafe222eded7
br.com.swconsultoria	java-nfe	4.00.34	-	fbf62e45cdbc5e2dac4ae45889cd8197c4746336
br.com.swconsultoria	java-nfe	4.00.35	-	eaa6198261f61a8f7c2e7ea77c1d595820b603ab
br.com.swconsultoria	java-nfe	4.00.36	-	1ad99cd0074205d4e1ebe2565059c728dca01dcf
br.com.swconsultoria	java-nfe	4.00.37	-	f1a2dc393545274ee7f463dff544c8498f441b22
cc.rbbl.game-of-life	game-of-life-lib-js	0.2.0	-	030a1623607d18871c6d03af4dd1b10fcf4119b5
cc.rbbl.game-of-life	game-of-life-lib-js	0.2.3	-	da05e3068a7ad6c9d6d71856e2c9ff11421d3b4d
cc.rbbl.game-of-life	game-of-life-lib-js	0.2.7	-	350f692e31329b79a580136f06ebd087ba9d468d
cc.scrambledbytes.sse	sse-ktor-stream-provider-watchosx64	0.2.7	0.2.7-metadata	b7103b09c37c5fa004fe7048cbe19efa10eb04d5
cc.scrambledbytes.sse	sse-ktor-stream-provider-watchosx64	0.2.8	0.2.8-metadata	80eb0cdce3cff482ebb50368bd615c50bb4bb212
cc.scrambledbytes.sse	sse-ktor-stream-provider-watchosx64	0.2.9	0.2.9-metadata	b7268e512444f72422054ce297cc8aa11c8591df
cc.scrambledbytes.sse	sse-ktor-stream-provider-watchosx64	0.3.1	0.3.1-metadata	c4fd77c286aac5ae86dc27978702efa594cfdab4
city.smartb.i2	i2-group-f2-create	0.11.0	-	8574ee4b90d9b0de50fbe823787b2493a05ec714
city.smartb.im	organization-domain	0.1.0	-	38291943d05648c659cf13a8263757d8b4039a0f
city.smartb.im	organization-domain	0.12.0	-	4ab148a14dd876b28958f223de453b3906cfff44
city.smartb.im	organization-domain	0.14.0	-	ebc888c83becdfaa68d75101e7957b2cf87a0ad1
city.smartb.im	organization-domain	0.14.1	-	5e3ca1a3c3489f54615d94985da1e3e4e9a4fc7d
city.smartb.im	organization-domain	0.14.2	-	3fcd3855fa211b1e9cd4671c29f145da1b259046
city.smartb.im	organization-domain	0.2.0	-	543b9a7482b2ec704a3bd6942083e06aed6700ac
city.smartb.im	organization-domain	0.4.0	-	4b0221ca736f9b982ac5542115b1bf98cc67e2ef
city.smartb.im	organization-domain	0.4.1	-	a3e2c9bf9510fbd7edd00322535c78ff8d0e79ef
city.smartb.im	organization-domain	0.4.2	-	088ecdd71416dc00186c860fca2a473c1c1c6020
city.smartb.im	organization-domain	0.4.3	-	f7b0a7dec0f33c34ac207eb2fb913526254c438f
city.smartb.im	organization-domain	0.5.0	-	f76691393e7ff909e5b8f9f16cc3b1d6fca7c8dc
cn.belier	jxls-spring-boot-starter	1.1.0	-	7d2ebb0ac6f799fac323ebfd12c0bb6e66fe3f6a
cn.belier	jxls-spring-boot-starter	1.2.0	-	6ef6362bb4564045625c237ef3329d789c4c327f
cn.com.antcloud.api	antcloud-api-ak_ac1ee4e967cf455eb77a2e47cf5abd56	1.0.0	-	1998e74155314735e1b9dbc25dfa4a04810a27c7
cn.com.antcloud.api	antcloud-api-provider-bbp	1.7.10	-	b54708458d13ba234b3bb0e190c4dc19522090fe
cn.com.antcloud.api	antcloud-api-provider-bbp	1.7.26	-	ed0ce4cd1f76982c930413e72e38b8ac8f488df3
cn.com.antcloud.api	antcloud-api-provider-bbp	1.7.28	-	84ae4bf94d10d197e655664671d665f299dabb5c
cn.com.antcloud.api	antcloud-api-provider-bbp	1.7.29	-	cfbae7e80225eac6b8151afbe4cbc47243f13df7
cn.com.antcloud.api	antcloud-api-provider-bbp	1.7.30	-	0b542eefc8f2bbabc71ceaa69fa0ba7bff459b51
cn.herodotus.stirrup	logic-module-bpmn	3.3.0.0	-	d89ee021a5c9af8fc77bb2522523d61f5f4b4f02
cn.herodotus.stirrup	logic-module-bpmn	3.3.0.1	-	4d0ff160ff55c6106abf94d245a9df48f64ed0f5
cn.huangdayu	almanac	20211128	-	5a5c325c318ad4b04e064b7660db305146e8ca7b
cn.huangdayu	almanac	20211224	-	c44175b37fbf6c149f3756dac37e462030aa7f4d
cn.huolala	battryplugin	1.0.0	-	892d2c880cfad2e3d7347dfb6a65316ac0b011ea
cn.huolala	battryplugin	1.0.1	-	892d2c880cfad2e3d7347dfb6a65316ac0b011ea
cn.lzgabel.jaxb	jaxb-core	4.0.0	-	266a9863f20e93adf66911d4ea0e4ca65c7a2fc8
