com.cleveradssolutions	bidmachine	2.4.0.0		N/A
com.jashmore	local-sqs-test-utils	3.0.0-M2		9434a5ddb352c014d8ee387bbdddda9093a52b90
com.jashmore	local-sqs-test-utils	3.0.0-M3		23b7dc2b16fe0851f8799f09ff1d0ec0289300af
com.jashmore	local-sqs-test-utils	3.1.0		1f2bea5b7a285f44192f36b1176c4a5fb2730f6c
com.jashmore	local-sqs-test-utils	3.1.1		b808e97bd899898e995fad343211808b8128032b
com.jirvan	ji-utils	1.0.137		5a9b7843970b9c5818a00c69fb10c0e57db45749
com.jirvan	ji-utils	1.0.138		3560fee8ae91b3b2c7c85460ac56de2eb0b48c9d
com.jirvan	ji-utils	1.0.139		0153af1728b4dc3d600c9270a7927fe512ff3ff4
com.jirvan	ji-utils	1.0.140		b2759b5be19de7295b6167faf6862ed2cf47a61d
com.jirvan	ji-utils	1.0.141		71fe37f28597d9d8025c70c7f7b98e35bfd15e73
com.jirvan	ji-utils	1.0.142		9f88f35364b2f10fb0be15e711ed3904f5fe6065
com.jirvan	ji-utils	1.0.143		12ce340c7996bf9ba182966658408a77223e6b44
com.jirvan	ji-utils	1.0.144		15b19544d2f9520ebdaac25be39f0a586ac41802
com.jirvan	ji-utils	1.0.145		6f3f472b4525d8e82edc56d6b8f603a0b9d1f7dd
com.jirvan	ji-utils	1.0.146		d70bf848cb4b7afee1904ad74b91c945fae0fde6
com.jirvan	ji-utils	1.0.147		4c2e08f345114d09ee6a809adb03313209b34128
com.jirvan	ji-utils	1.0.148		b5cc5dda1888f435d6e24e1ea6186479d935db5d
com.jirvan	ji-utils	1.0.149		8c71ac4ec4e4443a8d85cd566ccc44a5a9b0e1fb
com.jirvan	ji-utils	1.0.150		bd9d89e7b13e3ea29ed95e707517c3ee43c0fc83
com.jirvan	ji-utils	1.0.151		7fc6c334d63bc3dec8ec2f5b3dce8707fe81047d
com.jirvan	ji-utils	1.0.152		e8d462d098c07ace52faa0f378fc14f8886b5093
com.jirvan	ji-utils	1.0.153		98827a2acd693a23720bd5f736db813f2143b380
com.jirvan	ji-utils	1.0.154		691951083e06186260e5133980e8a7aa1e342019
com.jirvan	ji-utils	1.0.155		41633964f90f2ea1ac8b8f6ba43b0e48201eee04
com.jirvan	ji-utils	1.0.156		4f2d7fc0effd355dc60ab15c8e427562a4a1721e
com.jirvan	ji-utils	1.0.157		bf09d5221b46dce6573b27e9099826de12bb3c53
com.jirvan	ji-utils	1.0.158		b3723be597a347e36f794e488d3d93c622bca824
com.jirvan	ji-utils	1.0.159		64e2563503d529835ae1d1dc809897314200a4f6
com.jirvan	ji-utils	1.0.161		ae1ee7f341e4ba5bec2599213d603b7e432cca4f
com.jirvan	ji-utils	1.0.162		7627427e6248ee55e57ff230d54dc3752d7152f3
com.jirvan	ji-utils	1.0.163		95c9d4ea33473e30321d8e2b6060767fe386698a
com.jirvan	ji-utils	1.0.164		cc0a1fa3a4d334668483b2b9f426ec4d5dd50795
com.jirvan	ji-utils	1.0.165		48fb1f82720b1c7b2b47dbe0743212a0f173509b
com.jirvan	ji-utils	1.0.166		4b3f3f68e17d7397c078a31613aec9ffcffe6d83
com.jirvan	ji-utils	1.0.167		7b485637ac78aef367983bb02612d3a74fd96f7b
com.jirvan	ji-utils	1.0.168		2923925aae2c0d6f1e92767b5dd64e538597d962
com.jirvan	ji-utils	1.0.169		08785131cdfa8bb13c8425d91fc6d883a684bb31
com.jirvan	ji-utils	1.0.171		4f9a455adc7609f52e740472cebc0fffaf686712
com.jirvan	ji-utils	1.0.172		955305f63767a31b981fb4fafa7569585e39adf8
com.jirvan	ji-utils	1.0.173		a0636ad8be00cb5a74e6bc38ef0e3dcde26d58d0
com.jirvan	ji-utils	1.0.174		31dc02b94c7e8c8cfc2aa5f8a3689e48654ee51c
com.jirvan	ji-utils	1.0.175		1bec4b4b0c074627bcda00a8944a4b496b2be7a7
com.jirvan	ji-utils	1.0.177		af4ec6f9e833ae6217b880de8d25f876b1be7ee4
com.jirvan	ji-utils	1.0.178		3399f8e978bad040960b6e3d6ddb51bff1603ae3
com.jirvan	ji-utils	1.0.179		f8bb56f18bf39e7e8265d1edcc9c6f1dcf93a386
com.jirvan	ji-utils	1.0.180		a511af873884ba4e77aed480f2d9c258832240b8
com.jirvan	ji-utils	1.0.181		119bfdae180beae72b50fbe854340194312b0066
com.jirvan	ji-utils	1.0.182		0dc917d42dc279d3f2805f823c66ee0ec82a24a5
com.jirvan	ji-utils	1.0.183		652c8aff405abe487fae0d6f75c77e461bca66c9
com.jirvan	ji-utils	1.0.184		4eab6c0e07a56269e2e35abd5d7ed84d44779f9f
com.jirvan	ji-utils	1.0.185		e5600e5828a34a269435565b52539b983ecd53de
com.jirvan	ji-utils	1.0.186		d5c7b9bbb7e2c4c1e6e98becdfaea57d808a7cf3
com.jirvan	ji-utils	1.0.187		4ccd1a6dec5ed56039139390c10e8a4bcb19fb46
com.jirvan	ji-utils	1.0.188		5d5ef7385f61d4e2b9bee9142cf07f0e85b97b2c
com.jirvan	ji-utils	1.0.189		7be2d365ac3c051aebeb3abf6ab32459857713fd
com.jirvan	ji-utils	1.0.190		1d8e39cddd7926986c7eb4e7dd1a878581652870
com.jirvan	ji-utils	1.0.191		73bb1a67a0951099b2dd23af045129643cdf0a63
com.jirvan	ji-utils	1.0.192		f0a04663c0eddee4696675fd5a5cdf180a3931da
com.jirvan	ji-utils	1.0.193		1377c0a70d6d58d2227b22130971dca9a5248e97
com.jirvan	ji-utils	1.0.194		b2857d78a9cce1dc2d76e111cab00e8ed37cf703
com.jirvan	ji-utils	1.0.195		eae30134ef0f7d05f70fa0b3afa9e29f8e692fba
com.jirvan	ji-utils	1.0.196		f01af910f6b667afffbc3753089a062ca603a465
com.jirvan	ji-utils	1.0.197		c1b3a8d40a747c24da462ac7ec9191346ab24223
com.jirvan	ji-utils	1.0.198		3090bdccb7314908583fcbf7abb2b967a804dba2
com.jirvan	ji-utils	1.0.199		99b75d77379bfbef8af5a526439f2cb05598ef57
com.jirvan	ji-utils	1.0.200		c831be981afa1b31f5b0b66024eafc91d6c51036
com.jirvan	ji-utils	1.0.201		0705db92a947423a615234e0c93b85a2b158402a
com.jirvan	ji-utils	1.0.202		289e347cf6895977bfbde02e7f419695b74223aa
com.jirvan	ji-utils	1.0.203		2b04ac08f9c811dc1346df117e830eb65f8ed1ad
com.jirvan	ji-utils	1.0.205		7edcc1018435c65908485a18465810de36a89624
com.jirvan	ji-utils	1.0.206		789cda9d59a201a7fc73ef974ee8dc48a3ef8ee9
com.jirvan	ji-utils	1.0.207		b1c62396e627b675687e350d53ec36e237ca9931
com.jirvan	ji-utils	1.0.208		6ace9e5467cfeb46624cd6ec1952f483bbb2ef36
com.jirvan	ji-utils	1.0.209		2fe67f168a0a72fae75fc41141b9508d7aac0fc9
com.jirvan	ji-utils	1.0.210		bfe1e6dedbd3c5768bffff1dad7910fbd0a4305c
com.jirvan	ji-utils	1.0.211		2f3c9efcddceb39045d38cf5c82cbd35a60feaef
com.jirvan	ji-utils	1.0.212		ff8ee18cc72ebfac5e3f4ec5e2d057dded7a53c6
com.jirvan	ji-utils	1.0.213		394678592826364bceb6519bff4a034cd5b2b60d
com.jirvan	ji-utils	1.0.214		b29fa2407b8b8d195af7e81a86dc00448a29455a
com.jirvan	ji-utils	1.0.215		5d202ffa89e1269d9db1f0e8e05c674060cd334a
com.jirvan	ji-utils	1.0.216		c2fec2200857f0776e3dd364d40a88b394a30781
com.jirvan	ji-utils	1.0.217		5dccd95139fdfc78b5e8cc27da62bec6fb9e7ad1
com.jirvan	ji-utils	1.0.218		ccdb485e2169d298059c4f314769faa29e89576f
com.jirvan	ji-utils	1.0.219		c8cef6bc3ae81078192f3fbada73907798ac1231
com.jirvan	ji-utils	1.0.220		bb0d3ce62e127b3d81ef2b3fcbc7df24da798eb8
com.jirvan	ji-utils	1.0.221		d6ed380a31f10a62576d2bb12ecea419c9522cb7
com.jirvan	ji-utils	1.0.222		cc8e5a2f0779e2bd29ee1b28cbfb512ae41bb799
com.jirvan	ji-utils	1.0.223		ec94d20f81c9d99496b616b6ecdc6981f97ea9c5
com.jirvan	ji-utils	1.0.225		da5c7c2b6013c22b5aea51051fca49f17eaebaa1
com.malliina	util-audio_2.11	2.0.2		5778fc67601640f88cbbcbdd15cbb38206ba8550
com.malliina	util-audio_2.11	2.3.0		bddd3029b835eccf7ce967b4dea4d2e2a968e251
com.malliina	util-audio_2.11	2.3.1		07a91eee88a93a95e236e92af3f337dbba82aa09
com.malliina	util-audio_2.11	2.3.2		3a5cc874cc8e6c1b4eb3461fad004a4e894b126e
com.netease.nim	camellia-tools	1.0.36		ab96d60c270289d872ca95c499acaf20190160bf
com.netease.nim	camellia-tools	1.0.37		d4650daead2f2411768219d8d749a1a712570b84
com.netease.nim	camellia-tools	1.0.38		92ba25864a0ff220a0379aadb28633100a732ad6
com.netease.nim	camellia-tools	1.0.39		1a4696dcc06bea09a98db907169ede600a4764a2
com.netease.nim	camellia-tools	1.0.40		e952442f5ce819584dc12d4e96e9558bef211b39
com.netease.nim	camellia-tools	1.0.41		1fcb76002fe8bd2b593c7fcfc39a957954d052d1
com.netease.nim	camellia-tools	1.0.42		9618916faabec1715fc91205d71794cc66f4c5ae
com.netease.nim	camellia-tools	1.0.43		b48047ac27e5d736fb950170b128f7983cbba671
com.netease.nim	camellia-tools	1.0.44		54a23be3e47725d84e3c2935b767ad5535c2962d
com.netease.nim	camellia-tools	1.0.45		ddd66c636354f4eb5052876fd9a16633734bbd96
com.netease.nim	camellia-tools	1.0.46		da9a7343a1971fac5df2f2962b84ad273f98672f
com.netease.nim	camellia-tools	1.0.47		73ebec47ddc7b9b1a8e02fb93dbe581d5f253a19
com.netease.nim	camellia-tools	1.0.48		03b21903c41135a1309e5c0e05eaa860dfe318e0
com.netease.nim	camellia-tools	1.0.49		07346194dddc3252676d62072af2f745b53c3c67
com.netease.nim	camellia-tools	1.0.50		b8725a3ecdd5436254aec33d61e52259772bc0e5
com.netease.nim	camellia-tools	1.0.51		c2c6579829f5e913e35e9391a01e25affc64bf71
com.netease.nim	camellia-tools	1.0.52		b35a4d9393b97b7740cdd0b4e2c2d7fbebb8cffa
com.netease.nim	camellia-tools	1.0.53		c913d31e2b7e60d7fe282220816a5c0ff843ffe6
com.netease.nim	camellia-tools	1.0.54		1f2a4d3202fa5c69aaa6b5759c20a79bf9148156
com.netease.nim	camellia-tools	1.0.55		ea891f43e171ecad7505a348125ee517f2484391
com.netease.nim	camellia-tools	1.0.56		89254f8cbd8acdce557b39e68b6cf61ae7581fce
com.netease.nim	camellia-tools	1.0.57		010936cb90e620a42ee06411a236f445c3efc37b
com.netease.nim	camellia-tools	1.0.58		e75fb986bc1484a0e4dd1ad993be83b35ab69305
com.netease.nim	camellia-tools	1.0.59		f2aec81b046bdc5df3e9960d3e80c0b532c61ab1
com.netease.nim	camellia-tools	1.0.60		da828824d003e0219862a1c6b85e049a1215e61e
com.netease.nim	camellia-tools	1.0.61		f5826407d83ecf03c688eb5e7e7a611ad7a66e31
com.netease.nim	camellia-tools	1.1.0		88f1c1513f06bc84eb59ec7d121af092a6d0685a
com.netease.nim	camellia-tools	1.1.1		d5e8b9702bc01cc2f29ac9f29698fd59993da98c
com.netease.nim	camellia-tools	1.1.10		e11258c080dd5f35d815e3c5727e23889c597867
com.netease.nim	camellia-tools	1.1.11		1d18cf427e6fa030ffd4f253e4cedb22f47f3052
com.netease.nim	camellia-tools	1.1.12		adeea1f1b341a8b8accd0ac2330777eede9dc630
com.netease.nim	camellia-tools	1.1.13		N/A
com.netease.nim	camellia-tools	1.1.14		79b8437b76ba02f41651e825fa1ec583908bd623
com.netease.nim	camellia-tools	1.1.2		088ebf0baab656dd077938d756fb0489e4f76de1
com.netease.nim	camellia-tools	1.1.3		7800cc4dbddb248c6f7c944fd339e1046c8714d9
com.netease.nim	camellia-tools	1.1.4		53261e8c3d6c64564e0a73803be4d81d95af8a34
com.netease.nim	camellia-tools	1.1.5		373a1630bf38dca2d99253c6171c9201ccd5b8a7
com.netease.nim	camellia-tools	1.1.6		1b747248842937b677f97c9ffeb0a611cdeac880
com.netease.nim	camellia-tools	1.1.7		1dcbcba4d5c458e49c48824bdc913064003aec73
com.netease.nim	camellia-tools	1.1.8		10d01d42805741cdcd04bcd64be087d06d970f89
com.netease.nim	camellia-tools	1.1.9		4c7575aad6ddcbb1e629ab4d57416b9761f65fc2
com.netease.nim	camellia-tools	1.2.0		1d337801539a5a77bf7a94e9897d8c4da53cbad7
com.netease.nim	camellia-tools	1.2.1		0940a6cb6756ae66cf3e04ba085f094d01f883ae
com.netease.nim	camellia-tools	1.2.10		f07807a73e9aee94a919e1226be2baa8f0c44b1c
com.netease.nim	camellia-tools	1.2.11		3999ab3d4b4abd1b28a9dd154ad4cbaf6a63a886
com.netease.nim	camellia-tools	1.2.12		002b8911722aa79aabe8ba5621ce7fa48b4aa740
com.netease.nim	camellia-tools	1.2.13		62ab3aa77abad3baf52eceea8b7bd209a05aacd7
com.netease.nim	camellia-tools	1.2.14		31d1a2e5973b410d2845cf728db61c7146d1085d
com.netease.nim	camellia-tools	1.2.15		b5ec3f4119e83a7abfb70ca3b353ec9bca7f67f8
com.netease.nim	camellia-tools	1.2.16		833f7da6c1ee7b30e9c05e9b0599819fb3f7644e
com.netease.nim	camellia-tools	1.2.17		ea25d5e11232e6aef2e8ebf749545affcd32061d
com.netease.nim	camellia-tools	1.2.18		02d139081c66a20f873f67ffb74f3b13f9e7fef8
com.netease.nim	camellia-tools	1.2.19		ce15c1d3985a8e281c5a6c4569fa298625e2e41e
com.netease.nim	camellia-tools	1.2.2		20749a78de29bfbfa81ffd6f784a8b1d2004b229
com.netease.nim	camellia-tools	1.2.20		2f4ee2ebf0e1a6d6b9ce496c6289284d9ce97813
com.netease.nim	camellia-tools	1.2.21		12d7b6bbb02720ec7c148f098a9d738b1ffe7da7
com.netease.nim	camellia-tools	1.2.22		8ef5a1b4fcb5bccdac00784b00986b3ab27ec476
com.netease.nim	camellia-tools	1.2.23		24bef4fef03adf70fea9b8f6311b2deb7328c31d
com.netease.nim	camellia-tools	1.2.24		9cfdf45f26f47345a1d205b13dd1d219f58f6c04
com.netease.nim	camellia-tools	1.2.25		61aee7577cdd0d38faac6fde08cba79f52c27efc
com.netease.nim	camellia-tools	1.2.26		9208ed1f43b2e0112fbc67be2895c5cc04769a4d
com.netease.nim	camellia-tools	1.2.27		0371af7293b5da641501164b65ef4bc9026788ce
com.netease.nim	camellia-tools	1.2.28		0af41438af025b9fc388ef782206a9a9c670f42a
com.netease.nim	camellia-tools	1.2.29		01c13d6de1ff6e73d2811351fe19508ff62972a7
com.netease.nim	camellia-tools	1.2.3		f8710626a8b85b2a3bdc5aaf0aa61adff2642dce
com.netease.nim	camellia-tools	1.2.30		dd22f36bf185469fb1e9a43fc0d3e6e69954e686
com.netease.nim	camellia-tools	1.2.4		e692770cf1b75d5b32fff3542debbe86e4825da3
com.netease.nim	camellia-tools	1.2.5		4a2b06b593f2989d52c9d812dcae358007c862a2
com.netease.nim	camellia-tools	1.2.6		b6fec7aa44640231466c0a69c767c7314a93f113
com.netease.nim	camellia-tools	1.2.7		04373ba0e3c15cba007e6a2f10920d5078e7bc72
com.netease.nim	camellia-tools	1.2.8		2dcfbc6607be589c406e7ad0f030963f0eb9b518
com.netease.nim	camellia-tools	1.2.9		88c7b06d5b4ca3203001dd3ffebb1fadd99dc520
com.netease.nim	camellia-tools	1.3.0		54b39111fd288114edc84a066ec28c3082f1db9d
com.netease.nim	camellia-tools	1.3.1		adb7d502894d19fe9e16114a3dd8d673f3253ba4
com.netease.nim	camellia-tools	1.3.2		f956e4b241228009f007254537d2594343f6b30f
com.netease.nim	camellia-tools	1.3.3		9f47fdee663c2e03d59a7e3ee5e5b4013f3154a4
com.netease.nim	camellia-tools	1.3.4		8c19157ac9df2765728b0b8457dcf9bdbee00be1
com.netease.nim	camellia-tools	1.3.5		659c72e74c35670939ce737d82f04eefaa7d8740
com.nrinaudo	kantan.codecs-refined-laws_2.13	0.5.1		1bdd6475bf951bebf97e9c5030f951fca534bb98
com.nrinaudo	kantan.codecs-refined-laws_2.13	0.5.2		9ed8434e0f17b5e1fe19b68b843cd66b79fed54c
com.nrinaudo	kantan.codecs-refined-laws_2.13	0.5.3		66c3e950395331d24d79a6ab16e9cb5e06e5c52d
com.nrinaudo	kantan.codecs-refined-laws_2.13	0.6.0		807d10ed06fed4b2c169d98c6438ca167dc6a8d7
