com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.18.0		6bb4519126aa94a30f7ae036c229715002cb57d5
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.19.0		c7ab69c8428bec1d7279eb55b68fbcc43ae89711
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.19.1		45ece497872b2e90d758b0d2dcc007541dfc0d61
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.20.0		5572cad1da286cd1bc12d3ca509d138abefe5638
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.21.0		0267d1803ecf19095fc84fa24acd14b4e13f2e04
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.22.0		88db239e654aa2eeaf3e3f5d8b2e5f1491f5877d
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.23.0		4e8ce33224d43f7772e6c4b997a749089e68ccfa
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.24.0		b3ac45ff360210365cf8e3030d49bd5b59969349
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.25.0		c6b2f1c55a482a9b6e48be92d64cbe7bfbf0176c
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.27.0		aa1bb5a8208bd2fddcdcfdffbe0861a4be883e0f
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.28.0		022986e693b79f9a005a91281c3868c26cb86c89
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.29.0		8c198a4d2e02c2c15699a0b9f1fad6919e813e24
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.30.0		1a85f85ef4f6e0a5a96f9a244e8fe77d04de2d40
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.31.0		62b840949a16aca1a1017aa8d4a5252c8c93a5ea
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.32.0		32c563a3f3d9dafce091c7d6cae75e092149c47d
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.33.0		652d019a5ddb97f33d4b422c83d1f7ca8dc8d435
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.34.0		31092513e0289495474238fb8db76bf7886be1bf
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.35.0		a7a76d8c39c6d0ad60efb47262e01451a9cf7ffc
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.36.0		950a56cb8519fc8c93491104e6c4fe427ffa60d9
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.36.1		b585f308ace843df578550e8b4017ca7431815f8
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.37.0		0b12c0faf4b27c35e9171c37835c3f00fbcd8e50
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.38.0		301d74c5d985e8c8a43b8fcdaafd50c28a9da2a0
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.39.0		a6b742ee492c696038ee874e2b395bc7e40eb3f8
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.40.0		3b123a7cee4abbde430276cfe59ae197d87fa491
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.41.0		74aa021411bf0231f62e43da3debf8b40713605f
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.41.1		a4cabdb7a3309b8a1edc6a339c918037ba6cbc5c
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.42.0		b2a341b2216d384e0183fe14806a0b470250ab0f
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.43.0		9b7edf6cc8c89055021bca8c8dcea502ffcf7be4
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.44.0		c12d644414314b98df3ab34c4ea816109bdf810a
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.45.0		0afe1a30ee4607c147b2ccac56fec6386c819945
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.46.0		bded93cdc065b6c87bfa7492c8e72f4d7310243a
