at.ff-esternberg.sybos	libsybos	0.1-beta1		a67abacb73a56cf12a6c483104c78e707d9bc8bc
com.bidyut.tech.bhandar	bhandar-macosarm64	0.1.0	metadata	fc7a326d4c1b2d374f3bc46616dd5b9b85b47a8b
com.bidyut.tech.bhandar	bhandar-macosarm64	0.2.0		N/A
com.bidyut.tech.bhandar	bhandar-macosarm64	0.2.0	metadata	8bfbebe3b20e0e3f117293dd91dda1edd4350c23
com.ctp.cdi.query	cdi-query-faces	1.0.0.Alpha4		5a4cc22a12111fad8b471fd13b27fdfc163a7a45
com.ctp.cdi.query	cdi-query-faces	1.0.0.Alpha5		8ce388d600d20a77981dfd34e747d0e0faf98d6a
com.dimafeng	testcontainers-scala-presto_3.0.0-RC1	0.39.2		733a251f2dfed046339364190fc80d7d44e51a45
com.dimafeng	testcontainers-scala-presto_3.0.0-RC1	0.39.3		fb6eda5fbf3306f76825b3abff2466357b5c7b6f
com.dimafeng	testcontainers-scala-presto_3.0.0-RC1	0.39.4		db9af57fcff995755315e4edad19a024def61b57
com.github.ArcticLampyrid.KtJsonRpcPeer	KtJsonRpcPeer-native	0.7.0		N/A
com.github.ArcticLampyrid.KtJsonRpcPeer	KtJsonRpcPeer-native	0.8.0		N/A
com.github.ArcticLampyrid.KtJsonRpcPeer	KtJsonRpcPeer-native	0.9.0		N/A
com.github.fangjinuo.langx.security	langx-java-security-pam	4.7.0		3e3411108a4daa35f964594717e5fb56487d0e2c
com.github.fangjinuo.langx.security	langx-java-security-pam	4.7.1		64000106bbdbd75af3ff76472896fa7e5373a969
com.github.fangjinuo.langx.security	langx-java-security-pam	4.7.2		1c83476d7f87061b5a982bd4351e0e84b8a21988
com.github.fangjinuo.langx.security	langx-java-security-pam	4.7.3		f8a8b9faa0413db49fcf5c9950f8249a86c88c49
com.github.fangjinuo.langx.security	langx-java-security-pam	4.7.4		ead659c461ee468ee575df36c94523b979dd783b
com.github.fangjinuo.langx.security	langx-java-security-pam	4.7.5		557970a8085bd061b60ddc904c81a3bfdedc626b
com.github.fangjinuo.langx.security	langx-java-security-pam	4.7.6		2228404886be4aa1a1e92b6cb18e3688957b19d6
com.github.fangjinuo.langx.security	langx-java-security-pam	4.8.0		4a655494c863ff6f75dcb04a6fa4847dc8f03263
com.github.fangjinuo.langx.security	langx-java-security-pam	4.8.1		a3af5f02695bf9e6e62acd1032fdefc80dcb8b04
com.github.fangjinuo.langx.security	langx-java-security-pam	4.8.2		9d9e66f145cdf516c9342a76f5d3240b4cf59343
com.github.japgolly.fork.monocle	monocle-bench_sjs0.6_2.10	1.0.1		5551bd0a294464344c69c9ef9e4c066382070b4e
com.github.japgolly.fork.monocle	monocle-bench_sjs0.6_2.10	1.0.1-2		c954cc758311be0628101904b646569b7b3991c8
com.github.vindell	spring-javassist	1.0.0.RELEASE		5b283fa3477a1d38cb5e44ae287004337aef409b
com.github.vindell	spring-javassist	1.0.1.RELEASE		08eb25a489a568f5230f8b6d06f640536026ac6c
com.github.vindell	spring-javassist	1.0.2.RELEASE		d122f7feb1ae61cb80178465340fba7b1b80b06a
com.github.vindell	spring-javassist	1.0.3.RELEASE		baca5a81efc5b3f0ea3e44a62a048ba6267c05ae
com.github.vindell	spring-javassist	1.0.4.RELEASE		410f123c78acaca80ad0b1a4933f08d517baf4f4
com.github.vindell	spring-javassist	1.0.5.RELEASE		d599fa4ba0488144ce496afc33c80f32c844e5af
com.imwot.distributed	imwot-dschedule	1.0		28f0480a08dc050c108585db83c161ff6027bde8
com.io7m.sombrero	io7m-sombrero-jcpp	0.1.0		a969c3eb67391b31cbdf788c5b714acaf27bc67b
com.io7m.sombrero	io7m-sombrero-jcpp	0.2.0		51ee728d6f155812924a7ef36acc5ec4c5260b4f
com.io7m.sombrero	io7m-sombrero-jcpp	0.3.0		730f7619f45748101bb0f78636c413f0d781de8f
com.leeguoo	qoa-token	1.0.0		f1223138adee8513916183e9a8f7a063f12bafa6
com.michael-bull.kotlin-result	kotlin-result-coroutines-watchosarm64	1.1.17		N/A
com.michael-bull.kotlin-result	kotlin-result-coroutines-watchosarm64	1.1.17	metadata	8f366d7e2bdb6b77a54c840e4fa9736b2f62620d
com.michael-bull.kotlin-result	kotlin-result-coroutines-watchosarm64	1.1.18		N/A
com.michael-bull.kotlin-result	kotlin-result-coroutines-watchosarm64	1.1.18	metadata	2086c9202911381962151ab6ad6a2b2510c527ff
com.michael-bull.kotlin-result	kotlin-result-coroutines-watchosarm64	1.1.19		N/A
com.michael-bull.kotlin-result	kotlin-result-coroutines-watchosarm64	1.1.19	metadata	9451c8cabc9d142bc5aaef37ff1f7a116a0cd4fc
com.michael-bull.kotlin-result	kotlin-result-coroutines-watchosarm64	1.1.20		N/A
com.michael-bull.kotlin-result	kotlin-result-coroutines-watchosarm64	1.1.20	metadata	c1858634bd9941b9f6e4a6cb19106f1f04d19faf
com.michael-bull.kotlin-result	kotlin-result-coroutines-watchosarm64	1.1.21		N/A
com.michael-bull.kotlin-result	kotlin-result-coroutines-watchosarm64	1.1.21	metadata	c3a8dab4ac06ade04c0e23f381bcc07b5ee114be
com.michael-bull.kotlin-result	kotlin-result-coroutines-watchosarm64	2.0.0		N/A
com.michael-bull.kotlin-result	kotlin-result-coroutines-watchosarm64	2.0.0	metadata	e763ee112887e51ec7ef4e0b202cfa429b458e30
com.michael-bull.kotlin-result	kotlin-result-coroutines-watchosarm64	2.0.1		N/A
com.michael-bull.kotlin-result	kotlin-result-coroutines-watchosarm64	2.0.1	metadata	42693143b57dfd2ad55e501812bd483769f2e0ef
com.microsoft.azure.storage.v2018_03_01_preview	azure-mgmt-storage	1.0.0-beta		54fd819acc8fbffbaff543bce60a0c77fe4db460
com.microsoft.azure.storage.v2018_03_01_preview	azure-mgmt-storage	1.0.0-beta-1		5561ab4192cf836df17294c3b2986f67a73245a8
com.mtvnet.boxspring	it	1.0.0		N/A
com.mtvnet.boxspring	it	1.0.0-beta-1		N/A
com.mtvnet.boxspring	it	1.0.0-beta-2		N/A
com.mtvnet.boxspring	it	1.0.0-beta-3		N/A
com.mtvnet.boxspring	it	1.0.0-beta-4		N/A
com.mtvnet.boxspring	it	1.0.0-beta-5		N/A
com.mtvnet.boxspring	it	1.0.0-beta-6		N/A
com.naharoo.commons	ms-toolkit-strategies-starter	0.7.10		bc3750794b542c2203310c703755761e4fa44b45
com.naharoo.commons	ms-toolkit-strategies-starter	0.7.11		329eaecdd69962a21521ff2a847ed122995d8fc0
com.naharoo.commons	ms-toolkit-strategies-starter	0.7.12		7e802f5812034b1333f89775b41f1542a0ca2248
com.outegret	scene-store	1.0.8.RELEASE		755bfd36093dd0cefb480a79c35a4829c60c2cb3
com.outegret	scene-store	1.0.9.RELEASE		17ce9dcb4e5dedcd2465eb3c9a5588ff98e2d861
com.outegret	scene-store	1.1.3.1.RELEASE		1fef7aff58f77511c2831c86a682b4014984f580
com.outegret	scene-store	1.2.9.RELEASE		3bcaf0208fe928c8b11e96d53dc71504fec393f7
com.outegret	scene-store	1.4.2.RELEASE		d8338610eab6af48e2acacda70e253308ff93c3c
com.outegret	scene-store	1.4.3.RELEASE		ff99eaf5d0c67d84d70f44acdd583086a731f280
com.outegret	scene-store	1.4.5.RELEASE		0de98740ab19a9bc3cb358137a5eda16cc33a359
com.outegret	scene-store	1.5.0.RELEASE		3dd60984c0288ab4daf5392e4b452ab2a224e021
com.outegret	scene-store	1.5.1.RELEASE		da70bc7ee8633b23efaea8afecb2ce18d9dfc5d2
com.outegret	scene-store	1.6.0.RELEASE		af7f4d5180cd3f57b9e13931e395ecd225783e36
com.pacificwebconsulting.logging	logging-microservice	1.0.1		5259290ad67198593edba8944d95cf08e32df326
com.pacificwebconsulting.logging	logging-microservice	1.0.2		47f318218c79407b756a566c99ec505dbc51940a
com.pacificwebconsulting.logging	logging-microservice	1.0.3		0e4578e910deddbdf9c5b0f5654e5fc4aa81c786
com.pacificwebconsulting.logging	logging-microservice	1.0.4		7f3587d769b73a22cc9bfc3b4da56ea42cfa329d
com.pacificwebconsulting.logging	logging-microservice	1.0.5		3f53eda38b30224ab9485eacea5cfd777fe90184
com.pacificwebconsulting.logging	logging-microservice	1.0.6		67110960ff6abed1c9b09106e0ad83f787de171e
com.pacificwebconsulting.logging	logging-microservice	1.0.7		f0f5dc658ef34344bf7ba61a0da312b793656897
com.pacificwebconsulting.logging	logging-microservice	1.0.8		b255350031325aba14fccdff92c82aed7022e6a1
com.pacificwebconsulting.logging	logging-microservice	1.0.9		39d7421dddc6608f65752f7be4cee5b05981e26f
com.rogiel.httpchannel.services	httpchannel-service-multiupload	1.0.0		0c3cb43450b402c0de8027590219bae5a9051c13
com.russhwolf	multiplatform-settings-serialization-tvosarm64	0.7		N/A
com.russhwolf	multiplatform-settings-serialization-tvosarm64	0.7.1		N/A
com.russhwolf	multiplatform-settings-serialization-tvosarm64	0.7.2		N/A
com.russhwolf	multiplatform-settings-serialization-tvosarm64	0.7.3		N/A
com.russhwolf	multiplatform-settings-serialization-tvosarm64	0.7.4		N/A
com.russhwolf	multiplatform-settings-serialization-tvosarm64	0.7.5		N/A
com.russhwolf	multiplatform-settings-serialization-tvosarm64	0.7.6		N/A
com.russhwolf	multiplatform-settings-serialization-tvosarm64	0.7.7		N/A
com.russhwolf	multiplatform-settings-serialization-tvosarm64	0.8		N/A
com.russhwolf	multiplatform-settings-serialization-tvosarm64	0.8	metadata	338e4391de6c7e16c279cc12177c4ebe983298d5
com.russhwolf	multiplatform-settings-serialization-tvosarm64	0.8.1		N/A
com.russhwolf	multiplatform-settings-serialization-tvosarm64	0.8.1	metadata	cfa3d09c53622bbcc9d3eb8737e43c8cca5c177c
com.russhwolf	multiplatform-settings-serialization-tvosarm64	0.9		N/A
com.russhwolf	multiplatform-settings-serialization-tvosarm64	0.9	metadata	6b1856d5de6eb67dbf41b2b3ca1469998207e463
com.russhwolf	multiplatform-settings-serialization-tvosarm64	1.0.0		N/A
com.russhwolf	multiplatform-settings-serialization-tvosarm64	1.0.0	metadata	16454900e3e81091b6f9973032f789b28297034e
com.russhwolf	multiplatform-settings-serialization-tvosarm64	1.0.0-RC		N/A
com.russhwolf	multiplatform-settings-serialization-tvosarm64	1.0.0-RC	metadata	6850eb6aba45330e9d95d01d2dd8e3a6b5bc9193
com.russhwolf	multiplatform-settings-serialization-tvosarm64	1.0.0-alpha01		N/A
com.russhwolf	multiplatform-settings-serialization-tvosarm64	1.0.0-alpha01	metadata	ccb744f3f8ee1a56849e93eb70ff7abe27e6e462
com.russhwolf	multiplatform-settings-serialization-tvosarm64	1.1.0		N/A
com.russhwolf	multiplatform-settings-serialization-tvosarm64	1.1.0	metadata	79b0ac467ddba9fac09c258ee6a2bbd8b885088d
com.russhwolf	multiplatform-settings-serialization-tvosarm64	1.1.1		N/A
com.russhwolf	multiplatform-settings-serialization-tvosarm64	1.1.1	metadata	d4317d32ef602ca7d41c8c0eab8bc1f0533bd0d6
com.russhwolf	multiplatform-settings-serialization-tvosarm64	1.2.0		N/A
com.russhwolf	multiplatform-settings-serialization-tvosarm64	1.2.0	metadata	924184f00227515392d52879591a4b9f643ce4b0
com.russhwolf	multiplatform-settings-serialization-tvosarm64	1.3.0		N/A
com.russhwolf	multiplatform-settings-serialization-tvosarm64	1.3.0	metadata	57d10fe450fde1e38fe442c3d289165208404e24
com.ryinex.kotlin	csv-desktop	1.0.0		dabd551f1b3d1767dbe0e69a16cf4f9930d34b30
com.ryinex.kotlin	csv-desktop	1.0.1		f64117068f2c4d6c86d858055421af3c7f4a3509
com.ryinex.kotlin	csv-desktop	1.0.2		baba5cfac5c12add73d8ab8e710fdb5d14b08481
com.ryinex.kotlin	csv-desktop	1.0.3		07c57c5b3e6a625c5a2a3db9021ef22b42f15cba
com.strapdata.elasticsearch.plugin	analysis-kuromoji	2.4.2		06525e77112c98e99482f35f636a326432980674
com.strapdata.elasticsearch.plugin	analysis-kuromoji	2.4.5		14156a70a241666c352b46d1b8fb82ef5a4b4d4f
com.strapdata.elasticsearch.plugin	analysis-kuromoji	6.2.3.11		8b51ab7d448bbb2100f7537a4881fda0339d5ad1
com.strapdata.elasticsearch.plugin	analysis-kuromoji	6.2.3.12		39935c41c0015a8cf607b5493a41fedbd7746d40
com.strapdata.elasticsearch.plugin	analysis-kuromoji	6.2.3.14		416d909ea67a4d9d47e94ddb85870321f7cf0494
com.strapdata.elasticsearch.plugin	analysis-kuromoji	6.2.3.15		05d40b5888029c4a868fd35d46f0717e8bf3a740
com.strapdata.elasticsearch.plugin	analysis-kuromoji	6.2.3.16		f5c25fb0cdb9163728f9643d2be499798cec4a27
com.strapdata.elasticsearch.plugin	analysis-kuromoji	6.2.3.17		4bb73f83202aea7fb553522aa15136c303a92a08
com.strapdata.elasticsearch.plugin	analysis-kuromoji	6.2.3.19		56553d779cb65f60e520b6a730f9550169ccd448
com.strapdata.elasticsearch.plugin	analysis-kuromoji	6.2.3.20		a10f9d1cf0bcf3f15e240b1f684ed9b231a0c158
com.strapdata.elasticsearch.plugin	analysis-kuromoji	6.2.3.24		7e5038a83c1a06e579dc16c1f7d64441467646f3
com.strapdata.elasticsearch.plugin	analysis-kuromoji	6.2.3.25		5e59c970d3c856b6454497efbd99d3fdee22bbe7
com.strapdata.elasticsearch.plugin	analysis-kuromoji	6.2.3.27		b4f9db511ac542da540db5d2e4a3b24706e8e0b2
com.strapdata.elasticsearch.plugin	analysis-kuromoji	6.2.3.28		3c037af7cb6a00ef2796bdf6a068aebcb222468a
com.strapdata.elasticsearch.plugin	analysis-kuromoji	6.2.3.31		28a3af27748850b425a4a41080ed855aca411e1d
com.tencent.tdf	tdf-common	0.0.1-alpha		N/A
com.tencent.tdf	tdf-common	1.0.0		N/A
com.tencent.tdf	tdf-common	1.0.1		N/A
com.thoughtworks.deeplearning	nd4j-linux-ppc64le-native	0.8.0		eae9e439e44cba36a6c35ba2abfdc430d55a3bae
com.thoughtworks.deeplearning	nd4j-linux-ppc64le-native	1.0.0-RC9		4564159c5b44dcb6fd30b41901182fbefe0cbaaa
com.ullink.gradle	gradle-ikvm-plugin	1.1		f53e811710366b45ad2ffdebf97155241dbf82db
com.ullink.gradle	gradle-ikvm-plugin	1.2		a6b3043bb00165a70819a6cbea6fd8e63b594763
com.ullink.gradle	gradle-ikvm-plugin	1.3		a9f86d3bfc14326886f450b2507aa613650bd497
com.ullink.gradle	gradle-ikvm-plugin	1.4		eb8bcb9ef82e835d32b2b3fd0b4fe7e4bf7d3f1c
com.ullink.gradle	gradle-ikvm-plugin	1.5		0f41d2a8da1dd4cb659aad9eb1bc4b394e5cac00
com.ullink.gradle	gradle-ikvm-plugin	2.0		778b78d2fbe3a3da13e1375fe0b7ecc0863c4edc
com.ullink.gradle	gradle-ikvm-plugin	2.1		1116d9455dcffe7f2d8bde27f054fcc7fabefe79
com.ullink.gradle	gradle-ikvm-plugin	2.3		573d10a067652703e002d91f5658134e60a51f8b
com.ullink.gradle	gradle-ikvm-plugin	2.4		e7887bf8a8913737b6fc7b77fd055db6bad36d63
com.ullink.gradle	gradle-ikvm-plugin	2.5		032b1fd6eaaf3f0c5d1fbc82e423fbe8a63cd211
com.ullink.gradle	gradle-ikvm-plugin	2.7		1faf1a28384699214fde9b1d13e408b2bf4eacd8
com.ullink.gradle	gradle-ikvm-plugin	2.8		69365533bf99abd0ecc0d899321dc66875a172f8
com.ullink.gradle	gradle-ikvm-plugin	2.9		a60fea6e7e98ea1b63eebc44f77c9472d5871173
com.vwkit	matrix-boot-starter-jdbc	1.0.0		6e1490de3ee1ff9295979bd385915f451e998982
com.vwkit	matrix-boot-starter-jdbc	1.0.1		f6616da1cebe0bd1246953503f67b43715a61812
com.vwkit	matrix-boot-starter-jdbc	1.1.0		26213cd11637bd9d46541f848740bc70c56d78f3
com.vwkit	matrix-boot-starter-jdbc	1.1.1		c467b5abdda15cc9e2dfd4d6c21b4c4488e27acb
com.vwkit	matrix-boot-starter-jdbc	1.2.0		2c151d596b01204ebe5d66caa483cf54efc48f02
com.vwkit	matrix-boot-starter-jdbc	1.2.1		e8d9cd5e61dd5448417bc80ba83ea029527ab390
com.vwkit	matrix-boot-starter-jdbc	1.2.2		6c45f432bfc72b9396d0006177cfd05b017966c0
com.vwkit	matrix-boot-starter-jdbc	1.2.3		55266d08585a443e3363d6a2ae4ca5a0f85f9b53
com.vwkit	matrix-boot-starter-jdbc	1.2.4		a7df1a1075f2cb92f09ac07beb3d7b7e3c8a7bb2
com.vwkit	matrix-boot-starter-jdbc	1.2.5		c5997f7f9fa7e308c600de6938f8581368f93656
com.vwkit	matrix-boot-starter-jdbc	1.2.6		94108fb8afd7d360291b4a408dd31d1030031370
com.vwkit	matrix-boot-starter-jdbc	1.3.0		048fe7d2fcafef1b20d4b3cf0bddd54c4a78a3ed
com.vwkit	matrix-boot-starter-jdbc	1.3.1		0b22f21916ce7bbbdb9a653063a65681b9c6b199
com.vwkit	matrix-boot-starter-jdbc	1.3.2		f8e776a31f7c797ea85bc2e48a8e27859dcfee20
com.vwkit	matrix-boot-starter-jdbc	1.4.0		7560a0a79cba79348b057f7dea2f33edf3b2d6d7
com.vwkit	matrix-boot-starter-jdbc	1.4.1		647ea4ad99f36065e56b60054294826c13f4ebe4
com.vwkit	matrix-boot-starter-jdbc	1.4.2		5066b5d5d889fe768a88befdabd4f34892b23785
com.vwkit	matrix-boot-starter-jdbc	1.4.3		59f0dc3f8bb4e60887a9a304f2ad4f89e433b0de
com.vwkit	matrix-boot-starter-jdbc	1.5.0		5733bdc2535162d1dc9db25f18ac18556a91d510
com.vwkit	matrix-boot-starter-jdbc	1.5.1		c0f4c94ce33ea315e3350c116ad4776f339003d6
com.vwkit	matrix-boot-starter-jdbc	1.5.2		a263d140b52d32caf3b65486faddfddc207e2dd5
com.vwkit	matrix-boot-starter-jdbc	1.5.3		060885a905616a62c8ecb0b68ff302aa1c96aa92
com.vwkit	matrix-boot-starter-jdbc	1.5.4		dac2b2019eb47e0d24a61c4eccc425f0befeab38
com.vwkit	matrix-boot-starter-jdbc	1.5.5		26dd604dfbac032b366fee1e4bb0e9176967bf01
com.vwkit	matrix-boot-starter-jdbc	1.5.6		c645998d91c9c37f6679e5401810c608cd317d90
com.vwkit	matrix-boot-starter-jdbc	1.6.0		5e95604abdd39cb882762a282656d753f87fdf9b
com.vwkit	matrix-boot-starter-jdbc	1.6.1		8e3357cd92983c2410de062f38a3ab77c91716fa
com.vwkit	matrix-boot-starter-jdbc	1.6.2		3cb3186295aa1ace70f379734e3858ad309f7104
com.vwkit	matrix-boot-starter-jdbc	1.6.3		e0c43afd5bc7b8774014ac813e8315c7831286a9
com.vwkit	matrix-boot-starter-jdbc	1.6.4		cf6e803e8d4f828e62a0c5ca16fa9a62bdc16247
com.vwkit	matrix-boot-starter-jdbc	1.6.5		a721979cab5131a46392a474330ae5d038492b17
com.vwkit	matrix-boot-starter-jdbc	1.7.0		c493003c5a1d017c9a9602573632e4aba5e6b98c
com.vwkit	matrix-boot-starter-jdbc	1.7.1		91c96fa0dc8a722443d8b4fedfd0239511a025c5
com.vwkit	matrix-boot-starter-jdbc	1.7.2		5c1a3daf4feb690b86be142b62d2467b4d03cf0f
com.vwkit	matrix-boot-starter-jdbc	1.7.3		c2e082bccaa0840115648969387581223baa137e
com.vwkit	matrix-boot-starter-jdbc	1.7.4		aaf029b8fa55899b11e38f7c5aeb6f9717cba5f9
com.vwkit	matrix-boot-starter-jdbc	1.7.5		ed9620891f42ebb789ff26bc6f7128ab61b89143
com.vwkit	matrix-boot-starter-jdbc	1.7.6		925d494e60359822857ccd2163c43072ab39a55c
com.vwkit	matrix-boot-starter-jdbc	1.7.7		101bb411fb22f1a77868883e9cec26afa42fe3f0
com.vwkit	matrix-boot-starter-jdbc	1.8.0		c03f71d5362bfc9911badfdca9592b7968663869
com.vwkit	matrix-boot-starter-jdbc	1.8.1		bcd5d81ec5c793a9c235a6d28c5202219ddb786b
com.vwkit	matrix-boot-starter-jdbc	1.8.10		77df21079c19a6b168c41640af9996038815671a
com.vwkit	matrix-boot-starter-jdbc	1.8.2		a2984314a4dd64cd0a05c06bd98871582cb800b8
com.vwkit	matrix-boot-starter-jdbc	1.8.3		4212d8aa9f7eb689319fafc1879b9ce5aef20b39
com.vwkit	matrix-boot-starter-jdbc	1.8.4		b39d6e208020323f08d6ec261a4a6349249df375
com.vwkit	matrix-boot-starter-jdbc	1.8.5		d2669ad2aa18e2e3006bb87ed510206e08b8ccbe
com.vwkit	matrix-boot-starter-jdbc	1.8.6		4613b1ed10138b95f1d7595cf298fc3aac908f83
com.vwkit	matrix-boot-starter-jdbc	1.8.7		0e6d37cd7721c695e71b6c218494d2a436311830
com.vwkit	matrix-boot-starter-jdbc	1.8.8		b2cf043ed4fcaee8a26e8d2352f7569b0837f1f6
com.vwkit	matrix-boot-starter-jdbc	1.8.9		89a59f8413fd7e6c995a1290d51ad0aba542cf63
com.vwkit	matrix-boot-starter-jdbc	2.0.0		ca0a41ae4b4b65ea72b53fced55b7e1b73d2fb30
com.vwkit	matrix-boot-starter-jdbc	2.0.1		6310d06608cf73942da7e4cbe059967cccffba53
com.vwkit	matrix-boot-starter-jdbc	2.0.2		b330f9c61238e376e2f16f4a576cc9e80ad7b23a
com.vwkit	matrix-boot-starter-jdbc	2.0.3		53a1699721cce0a102f518a29a1362488794a5a9
com.vwkit	matrix-boot-starter-jdbc	2.1.0		430c66ffe40bed189d1a97271f3ec6d7cafcff85
com.vwkit	matrix-boot-starter-jdbc	2.1.1		fa389f40e08c8612aae3684f28b033bc8b71f75f
com.vwkit	matrix-boot-starter-jdbc	2.1.10		2e92f30c98cf9e212832f619dd87bc2667ed7132
com.vwkit	matrix-boot-starter-jdbc	2.1.11		72d6f4270ad7deeb10494fb065b5ac8999dcc0f7
com.vwkit	matrix-boot-starter-jdbc	2.1.12		dc0054906e968b8e90f8c4906c47fca449c3d117
com.vwkit	matrix-boot-starter-jdbc	2.1.2		0b381333e0ef643930352348d7ee0fa751bf7a75
com.vwkit	matrix-boot-starter-jdbc	2.1.3		ef4aae86dfced5259f6af8063007739bd4d95b4e
com.vwkit	matrix-boot-starter-jdbc	2.1.4		3c2541b3f02bfdcd5978f1216985490e1a31b645
com.vwkit	matrix-boot-starter-jdbc	2.1.5		5cd674b01793b1f61af42c09955ceb6932ea0fc7
com.vwkit	matrix-boot-starter-jdbc	2.1.6		507c736926b5e575752d53e2e49ba9645b44da2a
com.vwkit	matrix-boot-starter-jdbc	2.1.7		5f61e6d50e0ce7e4ccba4ad1889e245e74d581c7
com.vwkit	matrix-boot-starter-jdbc	2.1.8		1616e5f8570a8d5bb1ec4dd4f50a717eb128a5a4
com.vwkit	matrix-boot-starter-jdbc	2.1.9		2499759c20768bb65bd0c1bc1d13e75b7956442f
com.vwkit	matrix-boot-starter-jdbc	2.2.0		6e4a0b26cbcbbc0731fe2c4dd9281ff985ecc7b7
com.vwkit	matrix-boot-starter-jdbc	2.3.0		bda474fb4bb273cc8e8773e063530bf2432ac11e
com.xmlcalabash	xmlcalabash1-sendmail	1.0.0		0246036749a297f2dd6dd5c5b9b613840305d1da
com.xmlcalabash	xmlcalabash1-sendmail	1.1.0		8030ecaa85d92d92aa5dd903a58a9fa723cc2c4b
com.xmlcalabash	xmlcalabash1-sendmail	1.1.1		c4976b036a859370f198dd86d3a518b8407fa02c
com.xmlcalabash	xmlcalabash1-sendmail	1.1.2		6e69aa7b43851bc2d32dfb3f18724c84bee8b404
com.xmlcalabash	xmlcalabash1-sendmail	1.1.3		7acefa6e0ab71bb96245a20c1a9b71dd818385e5
com.xmlcalabash	xmlcalabash1-sendmail	1.1.4		0b07ffb0bbda0240d279666ab9765ce1712116c9
com.xmlcalabash	xmlcalabash1-sendmail	1.2.0		97e2bdd84efd625b28dbc0c3676f70932de6f90c
crimson	crimson	1.1.3		31e3dac9777abfec809ad9315f8b5d283cd46c40
dev.galasa	dev.galasa	0.10.0		63da60743c6e9d3dda979b91bd97e708103ac1f6
dev.galasa	dev.galasa	0.11.0		c7c50bda8f3f244706a72878f29d7fff61048466
dev.galasa	dev.galasa	0.12.0		417c4826245b4bc0f244d4ab9633cef13fff5176
dev.galasa	dev.galasa	0.13.0		3653a1b549fa94075b0a7d77780ece864a26a20c
dev.galasa	dev.galasa	0.14.0		7f0bf27d34e06f1aec171c516c5232387b439812
dev.galasa	dev.galasa	0.15.0		a5a92452a058cc40d25a1fe3c466a630496fde78
dev.galasa	dev.galasa	0.17.0		2c77be1f14e646bb1d563968de379333f8f84951
dev.galasa	dev.galasa	0.21.0		85c13398ef82ac06af6f5e64ee4135fad49d0947
dev.galasa	dev.galasa	0.3.0		928610918e6b9d7c35651e959f502d297454ef3d
dev.galasa	dev.galasa	0.34.0		2b67ec8c58176b5d545beb1f2751b55007ca21f0
dev.galasa	dev.galasa	0.38.0		47d87763083d97f6845fa7d20f038f5eea980e3f
dev.galasa	dev.galasa	0.39.0		f5afa10ec8e88b557647d40595732f3ef17320b6
dev.galasa	dev.galasa	0.4.0		6a5aa8e3dd9650c1b573c6d8e8a0d90f97f8bf55
dev.galasa	dev.galasa	0.40.0		245d271f4a8bbc1999886cf4b6af8a566d62afef
dev.galasa	dev.galasa	0.41.0		bde0060343a88d33fd1116fa4173cbad9d2c22fa
dev.galasa	dev.galasa	0.5.0		dd1e08f42e8e7b0d764caae2a4cfe5889f77da0c
dev.galasa	dev.galasa	0.6.0		6b234479123b0cd9efcba6dd64add35f159c669a
dev.galasa	dev.galasa	0.7.0		9ebb4286f895cac5c1825764ac78981f00455f5a
dev.galasa	dev.galasa	0.8.0		fd318196f698c399fd93d1c61c5a26a580857857
