app.msign	qrsign-api	0.7		bd15b3d92a8c76c254ac6b6dc60464e501df2196
ch.epfl.lamp	dotty-staging_0.27	0.27.0-bin-20200724-fd18546-NIGHTLY		a95d7492d3266eb57daf587051cbe2875b88c35d
ch.epfl.lamp	dotty-staging_0.27	0.27.0-bin-20200725-89f42f4-NIGHTLY		1d466e2d602167deea990fafbcf78ae002070b75
ch.epfl.lamp	dotty-staging_0.27	0.27.0-bin-20200727-e24a0b7-NIGHTLY		bcfe12c83f381d180b4d5bcca2c9a9398d85d6d7
ch.epfl.lamp	dotty-staging_0.27	0.27.0-bin-20200728-63b84cb-NIGHTLY		3a5a80187410c60c79234da6be570059ee4c6adc
ch.epfl.lamp	dotty-staging_0.27	0.27.0-bin-20200729-86a92e4-NIGHTLY		cd731b5b5202f5cd236a2f9683eee8f06e49e8b0
ch.epfl.lamp	dotty-staging_0.27	0.27.0-bin-20200730-316d218-NIGHTLY		98b68a130cfb06d893e54a9c6efb7b00e953ab69
ch.epfl.lamp	dotty-staging_0.27	0.27.0-bin-20200731-bb23fea-NIGHTLY		7539bebb88e4b37c8ed7bf1aea9277ab3d8916b1
ch.epfl.lamp	dotty-staging_0.27	0.27.0-bin-20200803-0655346-NIGHTLY		07d2399f998b6d69ea6874e10546cb538bf0da5a
ch.epfl.lamp	dotty-staging_0.27	0.27.0-bin-20200804-0cdf13a-NIGHTLY		b91853bc6d43c570f0a09d7e828272e32db18969
ch.epfl.lamp	dotty-staging_0.27	0.27.0-bin-20200805-64cecda-NIGHTLY		578ca915eb1f3a516a0cce8635eb11b84e23f569
ch.epfl.lamp	dotty-staging_0.27	0.27.0-bin-20200806-b8825a2-NIGHTLY		b93ac8963a9fae7c339ead9801b1dc4912991473
ch.epfl.lamp	dotty-staging_0.27	0.27.0-bin-20200807-dfcc0b1-NIGHTLY		fd5d6794b22f9f6f4a96b25f4195e28d7710584c
ch.epfl.lamp	dotty-staging_0.27	0.27.0-bin-20200810-74ba21c-NIGHTLY		ff9feda23b26929b448805c71a0db928eb17580a
ch.epfl.lamp	dotty-staging_0.27	0.27.0-bin-20200811-56c8e7b-NIGHTLY		417b9edd965bb4e7b28a42b9cff911336e9ce452
ch.epfl.lamp	dotty-staging_0.27	0.27.0-bin-20200812-28069b6-NIGHTLY		c1e1890e4ab46123212f1eed5441f59703e936b3
ch.epfl.lamp	dotty-staging_0.27	0.27.0-bin-20200813-550e969-NIGHTLY		f30b9293b34b471d674db0279569fce4940246bc
ch.epfl.lamp	dotty-staging_0.27	0.27.0-bin-20200814-a92473b-NIGHTLY		bd0477de6e5284a135619c638216cfb9388a241f
ch.epfl.lamp	dotty-staging_0.27	0.27.0-bin-20200815-0e67451-NIGHTLY		282f43e54f7bd1653c125be48d023aeee0bcbcf8
ch.epfl.lamp	dotty-staging_0.27	0.27.0-bin-20200816-15a6c8b-NIGHTLY		be0cc06de7b95cfe0c9f5c4248f154244bde00c5
ch.epfl.lamp	dotty-staging_0.27	0.27.0-bin-20200817-15ae0aa-NIGHTLY		67dcf3e0f56996d1627f32c31928fd005a8b5d19
ch.epfl.lamp	dotty-staging_0.27	0.27.0-bin-20200818-64a239f-NIGHTLY		71267a8f7ef904ffa77eb8652b43e58017b70302
ch.epfl.lamp	dotty-staging_0.27	0.27.0-bin-20200819-6e6f67b-NIGHTLY		e47a8fab684f027b3760e322e0472586afe23f48
ch.epfl.lamp	dotty-staging_0.27	0.27.0-bin-20200820-1431be2-NIGHTLY		f287561189ed56c7b5766ee7dfa2ba43f42032e1
ch.epfl.lamp	dotty-staging_0.27	0.27.0-bin-20200821-387c562-NIGHTLY		cc3bda664d7d65e473c415c8c15d9ed5d0862ef9
ch.epfl.lamp	dotty-staging_0.27	0.27.0-bin-20200822-0d36979-NIGHTLY		cd8be6bd965c2b4e9e923ced350134bf4d8594b7
ch.epfl.lamp	dotty-staging_0.27	0.27.0-bin-20200824-239254a-NIGHTLY		6d0b60c0d91622774827512bc6782c1927b196ea
ch.epfl.lamp	dotty-staging_0.27	0.27.0-bin-20200826-2e58a66-NIGHTLY		c3d16aab79b3a0e4c732883ac674d5aafe2783ea
cn.wjybxx.commons	dson-codec	1.1.0		d17d648c46dbf72d37f2a4ca42c3826ec9725326
cn.wjybxx.commons	dson-codec	1.1.1		dc23f39480e899b5e3e8c7001d39d5ab4f525185
cn.wjybxx.commons	dson-codec	1.2.0		56dc0976e45e578929d0eec02a7ea57781dfb083
cn.wjybxx.commons	dson-codec	1.3.0		57ebb702610d47ddba574d4ebf49c748ad5415ff
cn.wjybxx.commons	dson-codec	1.4.0		41856fad60186e2367ed501cbcd2d606a1a04cfe
cn.wjybxx.commons	dson-codec	1.5.0		d54a211df096e55c4f63548dd203b5aeef8eb2cc
cn.wjybxx.commons	dson-codec	1.6.0		db16707c2206e05d3326c84eff4682aaba17316e
cn.wjybxx.commons	dson-codec	1.6.1		77f465c7881ab99f6c4eb9b4126dd906ad9b2afe
com.aliyun	alibabacloud-yundun_bastionhost20191209-async	1.0.0-beta		983f8a8400777a0e9c4f8d46f641232a67bcaed7
com.coiney	akka-mailer-sendgrid_2.10	0.2.0		f315b2b4745fa997991b52ce4524e341d86ce3da
com.composables.ui	menu-js	1.3.0		N/A
com.composables.ui	menu-js	1.4.0		N/A
com.diffplug.osgi	com.diffplug.osgi.extension.sun.reflect	0.0.0		0cd1841dbecc21cdbb2f365555d2d6c90c92cf60
com.gilt	gfc-util_2.10	0.0.1		2ae61801e633a6c96b72acc9875d690d4e905f90
com.gilt	gfc-util_2.10	0.0.2		3207dbb38e5d56679730f9e81d6989ee42c66b15
com.gilt	gfc-util_2.10	0.0.3		bbfc2d1defd254089b4edb88389385825bdd7a01
com.gilt	gfc-util_2.10	0.0.4		e3770d41b40bf5b6013cd2e6f219e2a333586d0e
com.gilt	gfc-util_2.10	0.0.5		c70083fac0c174b068c1e2966d086c180bc49f1b
com.gilt	gfc-util_2.10	0.0.6		533d74a1aa17477419013f3041ad0706a9b931a2
com.gilt	gfc-util_2.10	0.1.0		c820dec96fb97bfe8a3706c29d593c929042052c
com.gilt	gfc-util_2.10	0.1.1		e04efaad1120191d512fd350baa6f117c22410d9
com.gilt	gfc-util_2.10	0.1.2		adea57009911b85943f704be29d451be90f13291
com.gilt	gfc-util_2.10	0.1.3		ae00b381dea7e634a6916f4315c5c45eb2fdd6e3
com.gilt	gfc-util_2.10	0.1.4		0c4e7a0c957760a75955956978aec4c202652fa8
com.gilt	gfc-util_2.10	0.1.5		4929da163684922c3bf2fdc82a40d837ecd94e8e
com.gilt	gfc-util_2.10	0.1.6		ecb625c8babe0f50a6cb3ea2f103fcfde3683b8a
com.gilt	gfc-util_2.10	0.1.7		15546cf3863ff7f1c2e5f3775c590073a802ff34
com.gilt	gfc-util_2.10	0.2.0		ddaa9aac50decc8211a992df1aec11affb547621
com.gilt	gfc-util_2.10	0.2.1		4a7ed0484f7c5a09853a623201546378c39f1ecf
com.gilt	gfc-util_2.10	0.2.2		30091a2a179ffcba97a535863dd354b2273da1c9
com.github.alexarchambault.play22sbt	play-exceptions	2.2.6		3780c721364cf2ad37515faea2c6e0511ab66e15
com.github.andremion	floatingnavigationview	1.0.0		N/A
com.github.andremion	floatingnavigationview	1.0.1		N/A
com.github.andremion	floatingnavigationview	1.1.0		N/A
com.github.andremion	floatingnavigationview	1.1.1		N/A
com.github.andremion	floatingnavigationview	1.2.0		N/A
com.github.andremion	floatingnavigationview	1.3.0		N/A
com.hashicorp	cdktf-provider-gitlab	0.0.0		ee0462976e018a34736b6db91f250bcdeca47ce9
com.hashicorp	cdktf-provider-gitlab	0.0.1		e1f3fcdef181f1abdf95a25e66f1015031be5d33
com.hashicorp	cdktf-provider-gitlab	0.0.10		a641897757f088f2596d68f55fd7cec15527edc9
com.hashicorp	cdktf-provider-gitlab	0.0.11		f22da82e564b8db5577d2af4caee0bd69526cb63
com.hashicorp	cdktf-provider-gitlab	0.0.12		04da2299229a06313831c3b3a4105881503a82cf
com.hashicorp	cdktf-provider-gitlab	0.0.13		df19b946ba0b63a6e9e25d53e21a74a015739756
com.hashicorp	cdktf-provider-gitlab	0.0.14		90241d2ed83162524654991ef5765485a8fd4ac0
com.hashicorp	cdktf-provider-gitlab	0.0.15		9161be1bf2766003a3d8f227bf0064d72a587993
com.hashicorp	cdktf-provider-gitlab	0.0.2		7d1bca87367667d742270cdf5c1f95e78c40c322
com.hashicorp	cdktf-provider-gitlab	0.0.3		7de1cab0f4f54f70e259b59bba7dbb02657e9eb4
com.hashicorp	cdktf-provider-gitlab	0.0.4		30db2849ef6e10f87d3891d28f166cd22fb9c115
com.hashicorp	cdktf-provider-gitlab	0.0.5		2ef533de0fe714bfff0af7ff1e2c8b4c2007c534
com.hashicorp	cdktf-provider-gitlab	0.0.6		a9f6a0c3453f3cf78b88ab281b63a888c7de2a67
com.hashicorp	cdktf-provider-gitlab	0.0.7		b245965bc269d08daaa28eb7556cb96a7e85e9e2
com.hashicorp	cdktf-provider-gitlab	0.0.8		64568ca392b6eb27fb93b2bafadd006cd3bae9d3
com.hashicorp	cdktf-provider-gitlab	0.0.9		f7c1bb8d4029044dcd7b0a86867de564b646fb0d
com.hashicorp	cdktf-provider-gitlab	0.1.1		7dd0eae9de176cc5b4dce74b9306611d64533267
com.hashicorp	cdktf-provider-gitlab	0.1.10		64cacf7746617ccce9f4343e2c805539bb52cfac
com.hashicorp	cdktf-provider-gitlab	0.1.11		4e4ab6c4b64e6aa08b7c48c2d2006abb673ca225
com.hashicorp	cdktf-provider-gitlab	0.1.12		a304dc1ead6275dcb5bb24a40d6431e12994ba27
com.hashicorp	cdktf-provider-gitlab	0.1.13		8e45098e17e4bf566bd816dcfd483b2a78f982d6
com.hashicorp	cdktf-provider-gitlab	0.1.14		27a7cfdbb95c7a8ef35121743dad4a0451075aea
com.hashicorp	cdktf-provider-gitlab	0.1.15		b0448e363369a4f489d1b1f6b2faf46f34568cf2
com.hashicorp	cdktf-provider-gitlab	0.1.16		2f1bd3d62c655e4507f42687dbcfd2a0e80e0154
com.hashicorp	cdktf-provider-gitlab	0.1.17		d3cf45299a03467f4f7a358687f288a70ac2125c
com.hashicorp	cdktf-provider-gitlab	0.1.18		e9bbc9a3b367c4f2e1da0629ceb747164b4f9885
com.hashicorp	cdktf-provider-gitlab	0.1.19		4ed827b5c067efd14f85e0b239f2cb3835512fc4
com.hashicorp	cdktf-provider-gitlab	0.1.2		c3b8ecc21bb09dfc9283d5274a0211e566f36fd0
com.hashicorp	cdktf-provider-gitlab	0.1.20		f7880f296fb80635251a1e0b07d2e373928fc3f6
com.hashicorp	cdktf-provider-gitlab	0.1.21		5f8f5e7cc3e48a8c5535ab4f9bb4d9c5a2e17453
com.hashicorp	cdktf-provider-gitlab	0.1.22		4dc5bc616388bda5d388fe7b4698553058224528
com.hashicorp	cdktf-provider-gitlab	0.1.23		606debe9fbe38d1c12105e69f3a96bde903d4165
com.hashicorp	cdktf-provider-gitlab	0.1.24		aa0e8c37085e0ab0e818d85af44a6ca4df26f4b7
com.hashicorp	cdktf-provider-gitlab	0.1.25		ff7af91056485afa5d3712dc669be80a63aca6b9
com.hashicorp	cdktf-provider-gitlab	0.1.26		efa39791590de3b4be0b8f092990105472ee02ce
com.hashicorp	cdktf-provider-gitlab	0.1.27		54363c00ba76748b3a9f8262b7accabdec2d1c7d
com.hashicorp	cdktf-provider-gitlab	0.1.28		315e6133880050ea2665699ebbe952f62cef254c
com.hashicorp	cdktf-provider-gitlab	0.1.29		6df0cc8c4a048820cef19445c34efb9eea09504c
com.hashicorp	cdktf-provider-gitlab	0.1.3		da9ba62dc957d8ca308c9738fba949d7a7ffa6df
com.hashicorp	cdktf-provider-gitlab	0.1.30		681dfc89110addee0177c118a492049928a89a57
com.hashicorp	cdktf-provider-gitlab	0.1.31		78da815810499ef7d9208d1284207ec5ab77bba8
com.hashicorp	cdktf-provider-gitlab	0.1.32		8cd0d950fa870e743d83b101c0421bb6f1a7ac82
com.hashicorp	cdktf-provider-gitlab	0.1.33		cad14bb3830fe50f55073ebef3577a9ba7afa460
com.hashicorp	cdktf-provider-gitlab	0.1.34		058f893c20b3d1d011856911c81c0d3c619618dc
com.hashicorp	cdktf-provider-gitlab	0.1.35		e74edc938847950c5fc7cba46c39f68b7e376c2a
com.hashicorp	cdktf-provider-gitlab	0.1.36		d2afa2b26eedf494d66c2a94c577c9425292913f
com.hashicorp	cdktf-provider-gitlab	0.1.37		b61ddefebd051c1ef104c41b2684a05f6c739b46
com.hashicorp	cdktf-provider-gitlab	0.1.38		34c7d95d3729c3e8656048323c8e45c24ffeb368
com.hashicorp	cdktf-provider-gitlab	0.1.39		1dc1fc4e4e0132d84d0c2a4253da61f32704dd9b
com.hashicorp	cdktf-provider-gitlab	0.1.4		e046e1094ddf64d51aa97f4f6325a958fcb595ad
com.hashicorp	cdktf-provider-gitlab	0.1.40		3f67412c99a4ac60f44fce7e73199dd2479fb540
com.hashicorp	cdktf-provider-gitlab	0.1.41		b4785512f344760541a1d2ffcaa1ae02d7827c74
com.hashicorp	cdktf-provider-gitlab	0.1.42		6c0444399bc9ec5919ad1e6abcb720e51b03a705
com.hashicorp	cdktf-provider-gitlab	0.1.43		63baa1876183fc255f8f064f6439c8f22daa6171
com.hashicorp	cdktf-provider-gitlab	0.1.44		eeec821f559649ba563cdd853040812195a6bca4
com.hashicorp	cdktf-provider-gitlab	0.1.45		8c20436f252b5dfb9ea7c8ebfff9b9163e976f83
com.hashicorp	cdktf-provider-gitlab	0.1.46		1e39903d8e533f106821c0c160492ca2a08a80e2
com.hashicorp	cdktf-provider-gitlab	0.1.47		595a1bd3d256a2f2a6c959740fd14d6babea3583
com.hashicorp	cdktf-provider-gitlab	0.1.48		6a501a0d166d39dde5c8792c30992d9fa78f3a84
com.hashicorp	cdktf-provider-gitlab	0.1.49		923bd3120fed37672abe279f9677e942eb4d4533
com.hashicorp	cdktf-provider-gitlab	0.1.5		3d841540b0d6161261f994dbe6b8f2e8972af513
com.hashicorp	cdktf-provider-gitlab	0.1.50		10c81c26bac57cb579c76347798dc33b26873ccf
com.hashicorp	cdktf-provider-gitlab	0.1.51		7f52ecbee79f81355624ad44e185e4fe5e9086f9
com.hashicorp	cdktf-provider-gitlab	0.1.52		963132b3d988cd85e194a039b5c01868c850421f
com.hashicorp	cdktf-provider-gitlab	0.1.53		49306d46b7bd3db114b9cb3fc194e2e9d48fbaf7
com.hashicorp	cdktf-provider-gitlab	0.1.54		f08eddaf24c848f80de346c593ef0d77310281f6
com.hashicorp	cdktf-provider-gitlab	0.1.55		25604c4c3c7f6666b1162ff96d7c2ff568d50dce
com.hashicorp	cdktf-provider-gitlab	0.1.56		a8d0a4719e44814182f0c65c3065dac98fdaa604
com.hashicorp	cdktf-provider-gitlab	0.1.57		6938a7a3c24ce0f0f1ba4036a4a4ec5cf03397c4
com.hashicorp	cdktf-provider-gitlab	0.1.58		90939bdb14db10767f044ca5871e540e3cb87946
com.hashicorp	cdktf-provider-gitlab	0.1.59		de322891eca870199d36e9df928363365a968bcf
com.hashicorp	cdktf-provider-gitlab	0.1.6		7b1e678ee3e38fdd2b85c245cdf8d2730b2d7517
com.hashicorp	cdktf-provider-gitlab	0.1.7		1d89a4d78ce0dff6932a459550b3025c6610c19d
com.hashicorp	cdktf-provider-gitlab	0.1.8		4b05d427e38e2aac741a595cbdc138ab3478064b
com.hashicorp	cdktf-provider-gitlab	0.1.9		f59ef5d2b9ff333d4f093d4ce53306cf07e7f8cf
com.hashicorp	cdktf-provider-gitlab	1.0.0		68a446ef983e01be62629f3c825b42f3fb965200
com.hashicorp	cdktf-provider-gitlab	1.0.1		31e5c019c32172538a2f96d93dd51e823ddfb184
com.hashicorp	cdktf-provider-gitlab	1.0.2		49f67f5396d61b7054e651b4404004b8fdff3103
com.hashicorp	cdktf-provider-gitlab	10.0.0		dae79ce782a6d424ebbc00342c1ea80d2274738a
com.hashicorp	cdktf-provider-gitlab	10.0.1		43acd054049a037c32559b029f9ada07c531ca14
com.hashicorp	cdktf-provider-gitlab	10.0.2		686c5fd0332cee927b37d989061e95881dc891ac
com.hashicorp	cdktf-provider-gitlab	11.0.0		9186c1df63061f618f77aef779b5bb505119d402
com.hashicorp	cdktf-provider-gitlab	11.0.1		f863771d3fe0e00c69a2b19068372260331aaa18
com.hashicorp	cdktf-provider-gitlab	11.0.2		533f408afe20a6cf6055d471b74482af57224c89
com.hashicorp	cdktf-provider-gitlab	11.0.3		f33917ada3c8bbf25a7fdc101259b708adbaef6f
com.hashicorp	cdktf-provider-gitlab	12.0.0		6205409c8b777e23401bb643ee2a5eb50f4553b0
com.hashicorp	cdktf-provider-gitlab	12.1.0		bad01b34ba1f527d616c6a024da9b9eefef12001
com.hashicorp	cdktf-provider-gitlab	12.1.1		80b10d006ac1709cc6820fadb2ec5ce1c80185be
com.hashicorp	cdktf-provider-gitlab	12.2.0		ee25a414e37611cc6c4962d453df2f06eea2c0b5
com.hashicorp	cdktf-provider-gitlab	12.3.0		ee27faee27d71b3fb33c7a3a64bc170971078d57
com.hashicorp	cdktf-provider-gitlab	12.4.0		8768b9b7a84681d6e2fb604d5ea3a67384ef981e
com.hashicorp	cdktf-provider-gitlab	13.0.0		db2caca8579a2ac3b6fcfb7dec2268efdd1be8b6
com.hashicorp	cdktf-provider-gitlab	13.0.1		1a3e697b2b858a0bdeda9b1c80f940c129af1605
com.hashicorp	cdktf-provider-gitlab	13.1.0		991bbacbf1645ec3b36dce86a2be376c1b8f8acc
com.hashicorp	cdktf-provider-gitlab	13.10.0		e720eba60ca7b9d1c527c8106741a19abe5fee39
com.hashicorp	cdktf-provider-gitlab	13.2.0		503c6216b3ed974666e6c50c96b593bf9ba576d0
com.hashicorp	cdktf-provider-gitlab	13.3.0		07dddcf6fa6830afe7a0fbc71c26ed2f7790ee8d
com.hashicorp	cdktf-provider-gitlab	13.3.1		009c15099ec181a5a04675f160462bda1a3dc09d
com.hashicorp	cdktf-provider-gitlab	13.4.0		76eae7d020f5f491b4d22541d779bd20b1da8227
com.hashicorp	cdktf-provider-gitlab	13.5.0		801da752495632a69c093ec3d60d1c00f2c449c5
com.hashicorp	cdktf-provider-gitlab	13.6.0		c0ebd70ee8de5c7d12ba55a0e09931ebe7d44888
com.hashicorp	cdktf-provider-gitlab	13.6.1		d98126e9c1d9f80b322338f1cdcee8218139b8a8
com.hashicorp	cdktf-provider-gitlab	13.6.2		d8ece61345fd366d85a7df89f4a5f2ff0113c186
com.hashicorp	cdktf-provider-gitlab	13.6.3		4a332146d3d099a961e8e30cedc3ee350df3cc62
com.hashicorp	cdktf-provider-gitlab	13.7.0		4240114acd56e381145f79a3be15a34bb32a0664
com.hashicorp	cdktf-provider-gitlab	13.8.0		ff47b27cd41196194a985fdb6f7b4b65e92f700f
com.hashicorp	cdktf-provider-gitlab	13.9.0		24bd50f4c8eca2aa6b0a125e7655c5a6c9d31d56
com.hashicorp	cdktf-provider-gitlab	2.0.0		6c0049c8a5920ec31fd64f670bf95ecbab0956b4
com.hashicorp	cdktf-provider-gitlab	2.0.1		ad3b5382e77e2e77c771ac13f2d0cb7eedbb111a
com.hashicorp	cdktf-provider-gitlab	2.0.10		558e5e76b691fba8176e8e2ee4deff8a3298a8fb
com.hashicorp	cdktf-provider-gitlab	2.0.11		a31f252e4ac9f119af5032c6e5cb206d473868de
com.hashicorp	cdktf-provider-gitlab	2.0.12		dc58b846165fc00a634cb4ce8f53ec797ed554e5
com.hashicorp	cdktf-provider-gitlab	2.0.13		e06eeaf7a85f2a0c7ab2dcad4ac9bfc7db760a7f
com.hashicorp	cdktf-provider-gitlab	2.0.14		0f27b871e88a9f7276d27dd3e51effcdc76a1ffe
com.hashicorp	cdktf-provider-gitlab	2.0.15		292d2654234d65a43e0b7cec851b65cc7471904e
com.hashicorp	cdktf-provider-gitlab	2.0.16		83b26283300ad6196803698bb249d1c07c9c015d
com.hashicorp	cdktf-provider-gitlab	2.0.17		3aa60f7986dc5d6648a91ac4821f11db3577ceaf
com.hashicorp	cdktf-provider-gitlab	2.0.18		65f00968986a1af9d4e8e8f00c2cd9fd109858e4
com.hashicorp	cdktf-provider-gitlab	2.0.19		d5af9d526db08e78d2e804d3a75106ec9dac158e
com.hashicorp	cdktf-provider-gitlab	2.0.2		aeb40a45648a775d2f82a7d8d700f62790f5cb6e
com.hashicorp	cdktf-provider-gitlab	2.0.20		524ea86ff758c464a7c783ad22830582e7fa005d
com.hashicorp	cdktf-provider-gitlab	2.0.21		b3a7eb29797f5a087fb24ead1f140d1ef09b42bf
com.hashicorp	cdktf-provider-gitlab	2.0.22		73d11bd941d88ad1997be9b3f3345aab8b8aadf1
com.hashicorp	cdktf-provider-gitlab	2.0.23		a58dc5ea8e3590909220d3e074bc26d5d43786be
com.hashicorp	cdktf-provider-gitlab	2.0.24		dc5ef93abde9d6bc227ee5f3f0f87f75db602625
com.hashicorp	cdktf-provider-gitlab	2.0.25		4981374d702897fb32b1b3830c81c853f661d9b7
com.hashicorp	cdktf-provider-gitlab	2.0.26		0868b4462d9de76a251c8e574255dd733a9af9ee
com.hashicorp	cdktf-provider-gitlab	2.0.27		2e71ce1383032741aa9015b34a379da0e2ae1689
com.hashicorp	cdktf-provider-gitlab	2.0.28		38138a23d39780b69f6b77d04aa1e7ffc2e4fb96
com.hashicorp	cdktf-provider-gitlab	2.0.29		3320399f45567699a50e1090ea7ac325124c3591
com.hashicorp	cdktf-provider-gitlab	2.0.3		d1f584cd703007ffa71f25114c7077e8a4bbff3b
com.hashicorp	cdktf-provider-gitlab	2.0.30		3e707144fee5b4ec52fa1c446f8145e34f11b9c5
com.hashicorp	cdktf-provider-gitlab	2.0.31		5b6dcc56d2503c20aba25f61dde676ddcc0aa54b
com.hashicorp	cdktf-provider-gitlab	2.0.32		28242e061276c49c03f75d1eebc7e42810a5373b
com.hashicorp	cdktf-provider-gitlab	2.0.33		aad19644046a70168aeb2555a8475828612c4ce8
com.hashicorp	cdktf-provider-gitlab	2.0.34		8e6dbeea8687101afac5517ae8960c7738737147
com.hashicorp	cdktf-provider-gitlab	2.0.35		1227a910f866f36a71547416c7a2d2ef5bc098ea
com.hashicorp	cdktf-provider-gitlab	2.0.36		f81f9064ea7e410ff8e3be4213dc6cfb28d4f7e5
com.hashicorp	cdktf-provider-gitlab	2.0.37		02c759d8ac1d35e6d442224696b69befefc2d266
com.hashicorp	cdktf-provider-gitlab	2.0.38		8fe8383ed072452ed86f2f75fdba58e077603698
com.hashicorp	cdktf-provider-gitlab	2.0.39		63925b1a2a209942253a27e8ab24552f6ea7e0b5
com.hashicorp	cdktf-provider-gitlab	2.0.4		c62598e9d6f212910dff368d9f928569d4dd9a5a
com.hashicorp	cdktf-provider-gitlab	2.0.40		ef884425bfca65afc5e140f3f59b908d421693ab
com.hashicorp	cdktf-provider-gitlab	2.0.41		27ada800c870f40efc6f5df482647821621379a5
com.hashicorp	cdktf-provider-gitlab	2.0.42		ef2905ddaaa43cb3568ffc7f270235bcdd8e9d27
com.hashicorp	cdktf-provider-gitlab	2.0.43		f4b163c75646244cc8a51bcc49b4f76a964b3634
com.hashicorp	cdktf-provider-gitlab	2.0.44		52fb93d16aab91b14a8e21a5066b85fc863631d9
com.hashicorp	cdktf-provider-gitlab	2.0.45		2a8a7e8846d581bf2165b107b4e61b60a13b093b
com.hashicorp	cdktf-provider-gitlab	2.0.46		ec10ba72d0043fda417f7e83da9b13da9ae79325
com.hashicorp	cdktf-provider-gitlab	2.0.47		3f9272c28eea4a1529ea4987d9d2358ec11a54ca
com.hashicorp	cdktf-provider-gitlab	2.0.48		2ed12c3804afc1ac066ce9c145dd99ae74fe4c7d
com.hashicorp	cdktf-provider-gitlab	2.0.49		3c4e88cd9b718eb01027358291d4f33c5aa68fb7
com.hashicorp	cdktf-provider-gitlab	2.0.5		1da4d17eea9d9d1a44677a78d320d4447c2e4ca7
com.hashicorp	cdktf-provider-gitlab	2.0.50		20c96b67b8963b59f50adcd2a10800d1dc2e5266
com.hashicorp	cdktf-provider-gitlab	2.0.51		6455ae985157d4fbf969d2540b094054939a141a
com.hashicorp	cdktf-provider-gitlab	2.0.52		12aab69e4f2dc15ff158d5c6760172cf5c45daf7
com.hashicorp	cdktf-provider-gitlab	2.0.53		ccec4ec97b96fb8add15ef0cdc42a282d375b988
com.hashicorp	cdktf-provider-gitlab	2.0.54		c1753ffc265b8f414ae5a5c05086c26dfe54baf3
