black.door	jose-2.13.0-json-play-2.12.8_2.12	0.3.0-M1		3cf282554a222853331fbbff10ef67f380df2e02
com.disneystreaming.smithy	aws-cloudsearch-domain-spec	2023.22.13		a927dd8a128d6ec72567164ffbae5f4bdde13469
com.disneystreaming.smithy	aws-cloudsearch-domain-spec	2023.23.06		db17e98606035d45f6e35f6e570e9255702330cb
com.disneystreaming.smithy	aws-cloudsearch-domain-spec	2023.23.30		e8163256cff2881e8f4bcba66f44795f4d88a56e
com.disneystreaming.smithy	aws-cloudsearch-domain-spec	2025.03.31		38485dc33b57dedd0292ece6513876d4e161c2d9
com.disneystreaming.smithy	aws-cloudsearch-domain-spec	2025.04.08		ecadc661262804b5431c5566cdaa53316bc38d47
com.eventsourcing	eventsourcing-core	0.4.0		3bb13cbd6d6d05a755cf649351c2d58a3c596ace
com.eventsourcing	eventsourcing-core	0.4.1		8c716f733765a004b857fef16ae865bcbd65785f
com.eventsourcing	eventsourcing-core	0.4.2		f2ff9e497e2fde07f0b2a05ebc3222b49d06858d
com.eventsourcing	eventsourcing-core	0.4.3		c929f2b5be9ca79d08ef06a3271432c86b86b18f
com.eventsourcing	eventsourcing-core	0.4.4		459c58d8dba08fb2d16d3356221e858e37328337
com.eventsourcing	eventsourcing-core	0.4.5		80249004dc5cc0c513f03d566b5ddee8e3072435
com.eventsourcing	eventsourcing-core	0.4.6		966bb63e893cfb3e17c640f11d7541bc80f8a904
com.eygraber	ui-rx	'1.1.5'		N/A
com.eygraber	ui-rx	1.1.5		N/A
com.eygraber	ui-rx	1.1.6		N/A
com.eygraber	ui-rx	1.1.7		N/A
com.fallabs	kyotocabinet-java	1.16		a0ad2b53723d59af337fa14c631e7d0c6b0fb5c1
com.fallabs	kyotocabinet-java	1.24		5e3b2d4adf80fa53e7145481222a61750ffa56a3
com.github.almondtools	conmatch	0.1.0		f38d627e739be72f8494ec6e4f01da75c46545e8
com.github.almondtools	conmatch	0.1.1		163a3fbf378fc2ddfd3d6eeb1b67fce4d38722fc
com.github.almondtools	conmatch	0.1.10		6c1636fc55244749940aa87cfd838628f851f76e
com.github.almondtools	conmatch	0.1.11		16188e9e724db6535448d0fecada660ee4eb0df3
com.github.almondtools	conmatch	0.1.12		33978220ca656002c87fbbad46c4d9989790f02a
com.github.almondtools	conmatch	0.1.13		f726d2c438f7a1f3c8352df6c25651be054a62d7
com.github.almondtools	conmatch	0.1.14		902a80dc8032a9bd9fae1b22d1da3e4d59fba6eb
com.github.almondtools	conmatch	0.1.2		4d8d51da89ad514c6167c74cf68812217da4d2f3
com.github.almondtools	conmatch	0.1.3		f65bcf4bd2bdcdc9d74d85ded4df0009c8317400
com.github.almondtools	conmatch	0.1.4		3e792526ad45f68950d664c4ced5cc03b32666c5
com.github.almondtools	conmatch	0.1.5		1ccd6e5e008ba07f48f5bbef8aa91129a3a95393
com.github.almondtools	conmatch	0.1.6		c863a333575b00cd6ce171f6d4392a5e8505bdcd
com.github.almondtools	conmatch	0.1.7		014c81a533beaaa4cda30eb35ba8d6a3d03affbe
com.github.almondtools	conmatch	0.1.8		ce7bd4dc0b0814288beac1968a635d3dd5b83282
com.github.almondtools	conmatch	0.1.9		278aecb925d9e062718c119b9601a23b584781ff
com.github.japgolly.nyaya	nyaya-prop_2.11	0.6.0		bd34875392ea26baa1766700ee2c8e1e2f39f08b
com.github.japgolly.nyaya	nyaya-prop_2.11	0.6.1		9af86ba35faf3a103903e41367c452dbfe36f270
com.github.japgolly.nyaya	nyaya-prop_2.11	0.7.0		052b956e5aca3e6c40fdc6485b9a3cb3e13497f2
com.github.japgolly.nyaya	nyaya-prop_2.11	0.7.1		7d4c8ccb0bcc7abc9562fab6080a0c07c68abe41
com.github.japgolly.nyaya	nyaya-prop_2.11	0.7.2		831afa7a905fd46b7c518f14c31c8824b1db8be5
com.github.japgolly.nyaya	nyaya-prop_2.11	0.7.3		a7da6cc3af9095abcf6e2170719398726442b06b
com.github.japgolly.nyaya	nyaya-prop_2.11	0.8.0		46f724cb254a563bbb991c33d9791c43ad70663e
com.github.japgolly.nyaya	nyaya-prop_2.11	0.8.1		7eddac53c62767faac9320d1f6543f0afadd940d
com.github.lamba92	core-js	1.0.0		N/A
com.github.lamba92	core-js	1.0.0-RC.3		N/A
com.github.lamba92	core-js	1.0.0-RC.4		N/A
com.github.lamba92	core-js	1.0.1		N/A
com.github.lamba92	core-js	1.0.2		N/A
com.github.lamba92	core-js	1.0.3		N/A
com.github.lamba92	core-js	1.0.4		N/A
com.github.liaochong	ratel-tools-validator	1.0.0		0ab63b89c4bea4a0be6cf859733493c1a417eb89
com.github.liaochong	ratel-tools-validator	1.0.0-snapshot		1542bf028b7e7d3497de47b2509f319d14e6d2f6
com.github.mfpdev	mfp-adapters-swagger-codegen	1.0.0		549959ce7d395eea1fe491c62bd3cbf24afc391e
com.github.peteroupc	uriutility	1.0.0		79eaab9e78fb88b2e4421b75016ce655f9b782de
com.github.peteroupc	uriutility	1.0.1		f5921adde347cfca6d270d4ca56fd3ae0e5cab8a
com.goikosoft.textprocessor	textprocessor-dao	0.0.1		d20801cdaf560af9e5c5eb6bfcdc18c576cfc586
com.hypertino	hyperbus-utils_2.12	0.1.0		ea7fe816f942373937f01b91c9ad92b805a80fe5
com.hypertino	hyperbus-utils_2.12	0.2.0		30cc01860908f399eb82dbffefa84926a3e9856d
com.kfyty	kfyty-core	1.0.0		c5b7fa9cd93437deee8226797cb6d28b33cc1557
com.oneops	gslb	1.0.2		3d1d6a318f2eec442bd63482442788b32f2c7292
com.oneops	gslb	1.0.3		aba8b9ceceff82131119e23f679ee4edc8c250cb
com.oneops	gslb	1.0.4		14e1a06c2b19158695511b6d42f50686f6453379
com.oneops	gslb	1.0.5		57e64295afb7d5d209dd1734f0ced5ef531e3506
com.oneops	gslb	1.0.6		a9e57e4e36db39a54644d9a31fd3664329f15962
com.regnosys.rosetta.code-generators	json-schema	0.0.1		e87b52b81ca40b5e9f8372a7c87859c5b8d7b0b3
com.regnosys.rosetta.code-generators	json-schema	11.0.10		b959d75b7b6085949511cf55deedc253bb5f6f40
com.regnosys.rosetta.code-generators	json-schema	11.0.11		0e0bb3cd9bb34b63fbfb14eef5f550ba5aa1a9d8
com.regnosys.rosetta.code-generators	json-schema	11.1.0		92d03bbb96feaa300a325f07b2c7c6d33b2fc3cf
com.regnosys.rosetta.code-generators	json-schema	11.1.1		72056d802babb971477b2f2be8349b9b77effb69
com.regnosys.rosetta.code-generators	json-schema	11.1.2		886a786fa63eaf506b71c56f9a8485b5c3a0d0fd
com.regnosys.rosetta.code-generators	json-schema	11.10.0		7981ad9feb9118fabb219706da8ec2a6c398ed68
com.regnosys.rosetta.code-generators	json-schema	11.10.1		2a09af7dd71db83037cc0b95e09f366c0419dd4c
com.regnosys.rosetta.code-generators	json-schema	11.10.2		8e857b42faac828f0a795ee00607c92488b2e26a
com.regnosys.rosetta.code-generators	json-schema	11.10.3		dd327293835f7646410663ae65715561a81080ce
com.regnosys.rosetta.code-generators	json-schema	11.11.2		e1466325a20e50c4678f380c5e798d2feeada00b
com.regnosys.rosetta.code-generators	json-schema	11.11.3		ed1f68cb928941812a4c09fce3ee9e5a213857ee
com.regnosys.rosetta.code-generators	json-schema	11.11.4		f6c7d8a478859673de18f9bcf8f1c5637536b391
com.regnosys.rosetta.code-generators	json-schema	11.11.5		a21389f493dd999f5c4273cff2d83119d61d308c
com.regnosys.rosetta.code-generators	json-schema	11.11.8		170b0d7b176e2d7d07ec4fd83191a41287c36b2c
com.regnosys.rosetta.code-generators	json-schema	11.12.0		a625e1fda435c93aa4c18c86276eaa75d7cc1a4a
com.regnosys.rosetta.code-generators	json-schema	11.12.1		0a733f329a5b04c3151cc11b222cea5746e5a55b
com.regnosys.rosetta.code-generators	json-schema	11.12.3		58a77f239003595131728f1b32f5b8c5bab102ba
com.regnosys.rosetta.code-generators	json-schema	11.13.0		a64880f333b1664785295dd99744234031ed4379
com.regnosys.rosetta.code-generators	json-schema	11.14.0		c1cfb65e799c315a879e1dde927cd61d7d9c01a6
com.regnosys.rosetta.code-generators	json-schema	11.14.1		f46445c689319a57ad6969532f6e5cfafb364b1f
com.regnosys.rosetta.code-generators	json-schema	11.14.2		adad4feab77f94e54b11a1b4622e598afbee7e8a
com.regnosys.rosetta.code-generators	json-schema	11.15.0		0b66e3251dd3d7dd729c76f8835440c22936dadf
com.regnosys.rosetta.code-generators	json-schema	11.15.1		4dd520735265ac2e213720096b6901f4b6c09939
com.regnosys.rosetta.code-generators	json-schema	11.15.3		ba804057c04c482e8b2c3fdb5d0680a5fe8c6bde
com.regnosys.rosetta.code-generators	json-schema	11.15.4		c779c81cad800c5096f2c1ce369d2c94a1267082
com.regnosys.rosetta.code-generators	json-schema	11.16.0		7295d9a765829f4107afa885a3da260bc44cacdb
com.regnosys.rosetta.code-generators	json-schema	11.16.1		dc81bb693f1aa05510ad609936ab5ab50004c838
com.regnosys.rosetta.code-generators	json-schema	11.16.2		3a331e2e946152f54587ed0d69b780e24e18b100
com.regnosys.rosetta.code-generators	json-schema	11.17.0		c5b422659ff7f86715b12c31edf180781de51797
com.regnosys.rosetta.code-generators	json-schema	11.17.1		5bd4d6586e558bdae3857efbda1892f72c0ea93c
com.regnosys.rosetta.code-generators	json-schema	11.18.0		e763b39f09d6bdfa41e32c95673b81af72ef8419
com.regnosys.rosetta.code-generators	json-schema	11.18.1		4e638031e6f70e05d21487f93f0ac7628f6761fb
com.regnosys.rosetta.code-generators	json-schema	11.18.2		cc1242046810656276e206e059d1a0c323f4b3d6
com.regnosys.rosetta.code-generators	json-schema	11.18.3		e8c35ab66aa2ef8e2605481e9ebb87c6a14c8d72
com.regnosys.rosetta.code-generators	json-schema	11.19.0		cc73b61b8c65767a6283846e40432bffbe42349c
com.regnosys.rosetta.code-generators	json-schema	11.2.0		fb3ce3e5b069a3c44335834d4a28f8093f7a18a4
com.regnosys.rosetta.code-generators	json-schema	11.2.1		66a34d2e34d705b8edf0c9e68658d47b15f23510
com.regnosys.rosetta.code-generators	json-schema	11.20.0		22bb0af15d22992a9f3326f9820e27143c819958
com.regnosys.rosetta.code-generators	json-schema	11.20.1		b371df2345478417d5b8f676f26ca5751f6d5a51
com.regnosys.rosetta.code-generators	json-schema	11.20.2		2b7242bc8a94a635ee6e5f9e3fad2ea50be238ba
com.regnosys.rosetta.code-generators	json-schema	11.21.0		60988ce0f180754de8c7041d24c1a4d13a8f201d
com.regnosys.rosetta.code-generators	json-schema	11.21.1		c9fef73f7705bb2a148d30ec75c1dfa59a457593
com.regnosys.rosetta.code-generators	json-schema	11.21.2		9991d882aa7d5b8993b6190875dcfa0bce5d02ed
com.regnosys.rosetta.code-generators	json-schema	11.22.0		c68739160ea7999067943849a4ccd7c898a81f86
com.regnosys.rosetta.code-generators	json-schema	11.22.1		a9a9fcc068bdadd33ab74071192bbeb75505db11
com.regnosys.rosetta.code-generators	json-schema	11.22.4		0be0d7c09471556f84cceb2ada3b36952db300d5
com.regnosys.rosetta.code-generators	json-schema	11.23.0		960f3bf768d349d7d566831414b5884fe721275a
com.regnosys.rosetta.code-generators	json-schema	11.23.1		f09876ff76b77cfcde86c9d4715b2590fde00faa
com.regnosys.rosetta.code-generators	json-schema	11.23.2		e3c4391f659ed9603945c21ffad7025c65e18b97
com.regnosys.rosetta.code-generators	json-schema	11.24.0		173f62057d7d68499c6d8f2631bc3a1fc379bcf5
com.regnosys.rosetta.code-generators	json-schema	11.24.1		7e09de219e4af55cffac3f4b7ed1ee4fd9855e2c
com.regnosys.rosetta.code-generators	json-schema	11.24.2		b1308fd40ed20c4b69a1b523b1393f0dc9c5c5c0
com.regnosys.rosetta.code-generators	json-schema	11.25.1		a20e991d83cf04e87b79f372bfdd43af96f817bc
com.regnosys.rosetta.code-generators	json-schema	11.26.0		83fd279f0a0412f76755fadfd1c53017c68ad00a
com.regnosys.rosetta.code-generators	json-schema	11.27.0		0a8be7a5ccc895a83662c11e0cb7ff864872691a
com.regnosys.rosetta.code-generators	json-schema	11.27.1		83ed8366387134425cf68816a47e4d97a010c702
com.regnosys.rosetta.code-generators	json-schema	11.27.2		ee19ca7046fb914afe497c6aa6413c1aace2fec7
com.regnosys.rosetta.code-generators	json-schema	11.27.3		2cd2e25381e87259aecc207b231f5003a7761fc2
com.regnosys.rosetta.code-generators	json-schema	11.28.0		f3c5b14a5a035e94838549db950201845d14bca8
com.regnosys.rosetta.code-generators	json-schema	11.29.0		e7ba137a6a6e346183700885cdbbc25628790ca7
com.regnosys.rosetta.code-generators	json-schema	11.29.1		f19cc1e78e580fc6ff8ce14015c647c880a5882c
com.regnosys.rosetta.code-generators	json-schema	11.3.0		c816024dbdf39f9f13690b8240a9ec665206194e
com.regnosys.rosetta.code-generators	json-schema	11.3.1		540d6f4d11d8867c78d2a9b878a5178439a26872
com.regnosys.rosetta.code-generators	json-schema	11.3.2		ad346129271270a1a18d375a91231079fc2f8eec
com.regnosys.rosetta.code-generators	json-schema	11.30.0		b5c2d904c6b927a528168ac46fb582c3e60185dd
com.regnosys.rosetta.code-generators	json-schema	11.31.0		107f7a73cb4ae78050748afc937d896f51d25f91
com.regnosys.rosetta.code-generators	json-schema	11.32.0		a1ede184e00ff2fa8f64cc4dcec5274fbe43c3a9
com.regnosys.rosetta.code-generators	json-schema	11.33.0		25c686f33268273f89ff8d0e233e0269e661d19d
com.regnosys.rosetta.code-generators	json-schema	11.33.1		ac5a4fe11cf810014a88892a38a44652cba4a4f2
com.regnosys.rosetta.code-generators	json-schema	11.34.0		9ee3a4afc0459d75d5fced67630bfe1222e38ff3
com.regnosys.rosetta.code-generators	json-schema	11.34.1		53200792cdd8304aaddb39ed5c5a2541c175ca55
com.regnosys.rosetta.code-generators	json-schema	11.35.1		be2dc511dee4dddd49447b6c919643ecf300a43f
com.regnosys.rosetta.code-generators	json-schema	11.35.2		7b054967883d296fd28ce1849d354d371a66961e
com.regnosys.rosetta.code-generators	json-schema	11.36.0		5fcea8e136cc9a0e07e9ecc53e48899dfafa3a48
com.regnosys.rosetta.code-generators	json-schema	11.37.0		d3e37a7a1474cf85f3c6bf64f35969c6103dbb75
com.regnosys.rosetta.code-generators	json-schema	11.38.0		354099a275de7bcbe62fd0a1d3a2e422005fd20e
com.regnosys.rosetta.code-generators	json-schema	11.38.1		fb260dce94c2bb9e3f7a5c5daf80eb4bcbedab4b
com.regnosys.rosetta.code-generators	json-schema	11.39.0		0beb7ab42f4c16bd37a14aef6624f935f71220ff
com.regnosys.rosetta.code-generators	json-schema	11.4.0		4f7bdb4d1bf43b6cf203d704da661623e79290cb
com.regnosys.rosetta.code-generators	json-schema	11.40.0		b88537f7a1a7e725f232ca1c3355f03accdb6376
com.regnosys.rosetta.code-generators	json-schema	11.41.0		29df84e03d6baedda4986669812ee0e508b64017
com.regnosys.rosetta.code-generators	json-schema	11.42.0		faf67a468d4df5d3a3c3a71a928ac41434c64520
com.regnosys.rosetta.code-generators	json-schema	11.43.0		dbe3c1e626a7d9eceae37718f115a6d32bdf1b0b
com.regnosys.rosetta.code-generators	json-schema	11.44.0		ab9165b45cca2be06c4392ddd3d1dd63ef2f329f
com.regnosys.rosetta.code-generators	json-schema	11.45.0		be1db28c311b395a677c5cee244d937fca01cf38
com.regnosys.rosetta.code-generators	json-schema	11.46.0		592295b222cc27526deee63a63cd2939bd66c478
com.regnosys.rosetta.code-generators	json-schema	11.47.0		24c8e1c128e4178b425fd4a6e324409b2eeeb072
com.regnosys.rosetta.code-generators	json-schema	11.48.0		5a5bf0fcdc980200432e9aa195a98fbde309fc8b
com.regnosys.rosetta.code-generators	json-schema	11.48.1		243ccd0066947bf405d8088827d7fe1624227fc3
com.regnosys.rosetta.code-generators	json-schema	11.48.2		7dde2474391661711b5444725ad1a4d666e49cf4
com.regnosys.rosetta.code-generators	json-schema	11.48.3		c308a8e7f8966367fe2d924a0ed4080f8a0093a1
com.regnosys.rosetta.code-generators	json-schema	11.49.0		be03acbda05e84a28973348a60527060dd4c3c7d
com.regnosys.rosetta.code-generators	json-schema	11.50.0		2a4021d8946a1decca0603deb85d3afa04b051cc
com.regnosys.rosetta.code-generators	json-schema	11.51.4		e75257923fba5d9bbee5f3da17d9971c9d31a613
com.regnosys.rosetta.code-generators	json-schema	11.51.5		7cf6a444d36646f770a7599f623339be1ff0e291
com.regnosys.rosetta.code-generators	json-schema	11.52.0		ee144607ff7c01c303d5e894e9c5b4cdca038f1a
com.regnosys.rosetta.code-generators	json-schema	11.52.1		5dee52eb2d1ff3cd7f14eabf90e64729fabaddc9
com.regnosys.rosetta.code-generators	json-schema	11.53.0		f93f2c18c7fea1a6e9d9459e51248bd92c93ab98
com.regnosys.rosetta.code-generators	json-schema	11.54.0		1dd17797c86c1b5e12f8ce14fda0663ccc77b0d6
com.regnosys.rosetta.code-generators	json-schema	11.55.0		698d83e32cf509c35c2e278842e6179e1aaf77c4
com.regnosys.rosetta.code-generators	json-schema	11.56.0		c73076c9a54fd88bb5fdc756f8a91ca191e0d4f4
com.regnosys.rosetta.code-generators	json-schema	11.56.1		d5b3cd60190cc07bb66ea452efaa4a8a9cb7fb2a
com.regnosys.rosetta.code-generators	json-schema	11.56.2		d03f34078031736fcce95ca326d03e755a488844
com.regnosys.rosetta.code-generators	json-schema	11.56.3		ab32e7c895cbf5a0e77f9082bb941e3188c48394
com.regnosys.rosetta.code-generators	json-schema	11.57.1		b4454ad0cae30a54a42e3d1f0af8d30c699227e4
com.regnosys.rosetta.code-generators	json-schema	11.57.2		5decea65e3352fce66dade404a2cc458cb30f5bc
com.regnosys.rosetta.code-generators	json-schema	11.58.0		0c601467a9e0de03ea437ba61def3a2e62403daf
com.regnosys.rosetta.code-generators	json-schema	11.58.1		f2675768968c7e487f0b2f36b526ca8bf2e520bd
com.regnosys.rosetta.code-generators	json-schema	11.58.2		6be26e74c06288c0dd50f0205748629b2b637b79
com.regnosys.rosetta.code-generators	json-schema	11.59.0		930c8bfde0f4e683d6f1e846ff058c44b2016e43
com.regnosys.rosetta.code-generators	json-schema	11.59.1		a543dd8c29c5439b72e1a64706691bbcdea5b7c6
com.regnosys.rosetta.code-generators	json-schema	11.6.0		6e8d4ead0452ab6ca636cd3cb6767b223f0a5723
com.regnosys.rosetta.code-generators	json-schema	11.6.1		9e4faa936a23ca7ad368a53db540f6c03bd9b017
com.regnosys.rosetta.code-generators	json-schema	11.6.2		c95472469c280352a4103d376cd7612e28be6f11
com.regnosys.rosetta.code-generators	json-schema	11.60.0		91aeb185c2d4936a713c6b02e7d9bb8f2f2a04ba
com.regnosys.rosetta.code-generators	json-schema	11.60.2		b3a5f6d3eb60209b9e11519fbf521b0e55b89ac7
com.regnosys.rosetta.code-generators	json-schema	11.61.1		b5da976879332b18b2039f25ec5e21969a46c631
com.regnosys.rosetta.code-generators	json-schema	11.61.2		1917b3102206913ca63447e5ccafcb32895b779a
com.regnosys.rosetta.code-generators	json-schema	11.7.0		80193b70c1241757dcf300c3269d7eabda10274d
com.regnosys.rosetta.code-generators	json-schema	11.7.1		eeb579eac08beb010c4db7202e0b54a9679231e1
com.regnosys.rosetta.code-generators	json-schema	11.7.4		179fdd40459d048d85d2fce1382a26f65b1fd876
com.regnosys.rosetta.code-generators	json-schema	11.7.5		f6b7266a5a6d3931e68ded08574ded1bbafef7a9
com.regnosys.rosetta.code-generators	json-schema	11.7.6		dbd987f1e10ece66f9da4ff17a1fb21fa42392c7
com.regnosys.rosetta.code-generators	json-schema	11.7.7		980f926c3203d4b32955c5d895a26b1f532d9fba
com.regnosys.rosetta.code-generators	json-schema	11.8.0		431b6ae79dfebe1b874474d58db45dd147a0aae5
com.regnosys.rosetta.code-generators	json-schema	11.9.0		897a3dc42033002ceed2f0cbbf32768f154ca51c
com.softwaremill.macwire	macrospekko_2.12	2.5.9		74fcd0f1bcbc2d85655c007d52f17d6c737ba2c7
com.softwaremill.macwire	macrospekko_2.12	2.6.0		266ee9b27d6e245d873097fcb54f5a09fd9cf2af
com.softwaremill.macwire	macrospekko_2.12	2.6.1		cbe45e71a651c1be2a7d7cfd4eb4d5a3abebc918
com.softwaremill.macwire	macrospekko_2.12	2.6.2		9c1c31dfe227ec052aa3d4e9598d529352e27470
com.softwaremill.macwire	macrospekko_2.12	2.6.3		d3803384a0833c28ffb8aa1b691c70ab964b39f8
com.softwaremill.macwire	macrospekko_2.12	2.6.4		a39739174665329b82dcb128ea73c37fbf66971e
com.softwaremill.macwire	macrospekko_2.12	2.6.5		7e0ba70e868839a494077855373a00f538aad20d
com.softwaremill.macwire	macrospekko_2.12	2.6.6		e2cd8200c5a2ddda21f19ea72c2b546469470a89
com.squareup.workflow1	workflow-ui-core-android	1.0.0		N/A
com.squareup.workflow1	workflow-ui-core-android	1.0.0-alpha.10		N/A
com.squareup.workflow1	workflow-ui-core-android	1.0.0-alpha.11		N/A
com.squareup.workflow1	workflow-ui-core-android	1.0.0-alpha.12		N/A
com.squareup.workflow1	workflow-ui-core-android	1.0.0-alpha.2		N/A
com.squareup.workflow1	workflow-ui-core-android	1.0.0-alpha.3		N/A
com.squareup.workflow1	workflow-ui-core-android	1.0.0-alpha.4		N/A
com.squareup.workflow1	workflow-ui-core-android	1.0.0-alpha.5		N/A
com.squareup.workflow1	workflow-ui-core-android	1.0.0-alpha.6		N/A
com.squareup.workflow1	workflow-ui-core-android	1.0.0-alpha.7		N/A
com.squareup.workflow1	workflow-ui-core-android	1.0.0-alpha.8		N/A
com.squareup.workflow1	workflow-ui-core-android	1.0.0-alpha.9		N/A
com.squareup.workflow1	workflow-ui-core-android	1.0.0-alpha13		N/A
com.squareup.workflow1	workflow-ui-core-android	1.0.0-alpha14		N/A
com.squareup.workflow1	workflow-ui-core-android	1.0.0-alpha15		N/A
com.squareup.workflow1	workflow-ui-core-android	1.0.0-alpha16		N/A
com.squareup.workflow1	workflow-ui-core-android	1.0.0-alpha17		N/A
com.squareup.workflow1	workflow-ui-core-android	1.0.0-alpha18		N/A
com.squareup.workflow1	workflow-ui-core-android	1.0.0-alpha19		N/A
com.squareup.workflow1	workflow-ui-core-android	1.0.0-alpha20		N/A
com.squareup.workflow1	workflow-ui-core-android	1.0.0-alpha21		N/A
com.squareup.workflow1	workflow-ui-core-android	1.0.0-rc1		N/A
com.squareup.workflow1	workflow-ui-core-android	1.0.0-rc2		N/A
com.squareup.workflow1	workflow-ui-core-android	1.1.0		N/A
com.squareup.workflow1	workflow-ui-core-android	1.10.0-beta01		N/A
com.squareup.workflow1	workflow-ui-core-android	1.10.0-beta02		N/A
com.squareup.workflow1	workflow-ui-core-android	1.10.0-beta03		N/A
com.squareup.workflow1	workflow-ui-core-android	1.10.0-beta04		N/A
com.squareup.workflow1	workflow-ui-core-android	1.10.0-beta05		N/A
com.squareup.workflow1	workflow-ui-core-android	1.10.0-beta06		N/A
com.squareup.workflow1	workflow-ui-core-android	1.11.0-beta01		N/A
com.squareup.workflow1	workflow-ui-core-android	1.11.0-beta02		N/A
com.squareup.workflow1	workflow-ui-core-android	1.11.0-beta03		N/A
com.squareup.workflow1	workflow-ui-core-android	1.12.0-beta01		N/A
com.squareup.workflow1	workflow-ui-core-android	1.12.1-beta01		N/A
com.squareup.workflow1	workflow-ui-core-android	1.12.1-beta02		N/A
com.squareup.workflow1	workflow-ui-core-android	1.12.1-beta03		N/A
com.squareup.workflow1	workflow-ui-core-android	1.12.1-beta04		N/A
com.squareup.workflow1	workflow-ui-core-android	1.12.1-beta05		N/A
com.squareup.workflow1	workflow-ui-core-android	1.12.1-beta06		N/A
com.squareup.workflow1	workflow-ui-core-android	1.12.1-beta07		N/A
com.squareup.workflow1	workflow-ui-core-android	1.12.1-beta08		N/A
com.squareup.workflow1	workflow-ui-core-android	1.12.1-beta09		N/A
com.squareup.workflow1	workflow-ui-core-android	1.12.1-beta10		N/A
com.squareup.workflow1	workflow-ui-core-android	1.12.1-beta11		N/A
com.squareup.workflow1	workflow-ui-core-android	1.12.1-beta12		N/A
com.squareup.workflow1	workflow-ui-core-android	1.12.1-beta13		N/A
com.squareup.workflow1	workflow-ui-core-android	1.12.1-beta14		N/A
com.squareup.workflow1	workflow-ui-core-android	1.12.1-beta15		N/A
com.squareup.workflow1	workflow-ui-core-android	1.12.1-beta16		N/A
com.squareup.workflow1	workflow-ui-core-android	1.12.1-beta17		N/A
com.squareup.workflow1	workflow-ui-core-android	1.12.1-beta18		N/A
com.squareup.workflow1	workflow-ui-core-android	1.13.0-beta1		N/A
