ai.vocale	vocale	1.0.0		N/A
aws.sdk.kotlin	codecatalyst-jvm	0.23.0-beta		0ed57cc347d18fc035ae21896fc8c4a54f359853
aws.sdk.kotlin	codecatalyst-jvm	0.24.0-beta		63060be38365b237912a7122a348e540c624a863
aws.sdk.kotlin	codecatalyst-jvm	0.25.0-beta		bed99f616c7bfb701412d126260a7fbd75687b20
aws.sdk.kotlin	codecatalyst-jvm	0.26.0-beta		03c97093140cc20e8b97af20eaf861b37cf819e4
aws.sdk.kotlin	codecatalyst-jvm	0.26.1-beta		77d3f3220f4361b6536029992a57d9edb7e17c4a
aws.sdk.kotlin	codecatalyst-jvm	0.27.0-beta		5bd39cf38a64eb60129737f3da6d75f3d045b2c4
aws.sdk.kotlin	codecatalyst-jvm	0.27.1-beta		2017bed3286f68667450ae1c0c90e97e53318130
aws.sdk.kotlin	codecatalyst-jvm	0.27.2-beta		ad51821e911b11ab5981ea794f2d41d6f8b44140
aws.sdk.kotlin	codecatalyst-jvm	0.28.0-beta		bc9c3aa10e128858bf9c4c20c79c24ba858a90c2
aws.sdk.kotlin	codecatalyst-jvm	0.28.1-beta		207c18894b078a4c735313df61498278f9166cea
aws.sdk.kotlin	codecatalyst-jvm	0.28.2-beta		86201908a07d20a985164296789649c70a76e6da
aws.sdk.kotlin	codecatalyst-jvm	0.29.0-beta		fd903023a237be139175f6fb90476f031fe33463
aws.sdk.kotlin	codecatalyst-jvm	0.29.1-beta		265cbdc4631f3b62f7b81d36ff7b1b80d5317677
aws.sdk.kotlin	codecatalyst-jvm	0.30.0-beta		eb81bc98c29a10fa859e3b589c2a9e621f30ed4b
aws.sdk.kotlin	codecatalyst-jvm	0.30.1-beta		ccd396c6c2920dfe0eb402de9060eca2bbe745a5
aws.sdk.kotlin	codecatalyst-jvm	0.31.0-beta		aac2acb9876722e0a53d79844c9631b4aef0e884
aws.sdk.kotlin	codecatalyst-jvm	0.32.0-beta		7203764a757478b1a35b9d4372ab31f96a18da2b
aws.sdk.kotlin	codecatalyst-jvm	0.32.1-beta		a2d96088e456bc103afee48be59a5184df89f20f
aws.sdk.kotlin	codecatalyst-jvm	0.32.2-beta		e03ece05e1d4049b0f3480369aa3b0d72d042ccb
aws.sdk.kotlin	codecatalyst-jvm	0.32.3-beta		68e10bff3fe7783f7e8f256d1cf22d27e67a8300
aws.sdk.kotlin	codecatalyst-jvm	0.32.4-beta		4a47eed4d9a5552d1cdccb9e5439110d2621337e
aws.sdk.kotlin	codecatalyst-jvm	0.32.5-beta		263018c47868bd5ee270de399201f9037ca9fb27
aws.sdk.kotlin	codecatalyst-jvm	0.33.0-beta		cc016162f22760f8a6c199eb0f9e9d73a62d8394
aws.sdk.kotlin	codecatalyst-jvm	0.33.1-beta		32758cdae0aa0df73215b6477ea8dc6a26015696
aws.sdk.kotlin	codecatalyst-jvm	0.34.0-beta		87d14476304f9d83fe42df901646af97228731fe
aws.sdk.kotlin	codecatalyst-jvm	0.34.1-beta		533b3c91f00db7d1695dc111eb18dd957139abda
aws.sdk.kotlin	codecatalyst-jvm	0.34.2-beta		1487473ff7ca2fc289d8b73a3e52fa6ffb44f57f
aws.sdk.kotlin	codecatalyst-jvm	0.34.3-beta		4c8fbd4e9ca3888cf9ccfc766e3faeaa812dfb0b
aws.sdk.kotlin	codecatalyst-jvm	0.34.4-beta		9990a9e6be219f38d6c90534de81ab44b1373b4e
aws.sdk.kotlin	codecatalyst-jvm	0.34.5-beta		c6671198ee3d68aec2d35b2fafb968c92d4720bd
aws.sdk.kotlin	codecatalyst-jvm	0.34.6-beta		43233d97000bfa9818c0c351c1d3786aa02c5a3b
aws.sdk.kotlin	codecatalyst-jvm	0.34.7-beta		166ba85dc6270d7e6261e8109f1782d88e6a9cdc
aws.sdk.kotlin	codecatalyst-jvm	0.34.8-beta		ed2e57855fd08ecbb088c87a1554dd66009b2166
aws.sdk.kotlin	codecatalyst-jvm	0.34.9-beta		82883ad2e54d370f8ef33dbf70487a4d4c6c0139
aws.sdk.kotlin	codecatalyst-jvm	0.35.0-beta		c854471ef50d3977fcf33b00929796a68e27d5f9
aws.sdk.kotlin	codecatalyst-jvm	0.35.1-beta		7549c943d19a02c1cb30fa133bb67927cf806d2b
aws.sdk.kotlin	codecatalyst-jvm	0.36.0-beta		7d31348dfdae83e56938925421744ce1b2136c26
aws.sdk.kotlin	codecatalyst-jvm	0.36.1-beta		eaacd0136b770111b0b3ec6a7fcc8c8fc7e3ee2d
aws.sdk.kotlin	codecatalyst-jvm	1.0.0		8422c12fff2449000d50e0a6047ac3971e997cf4
aws.sdk.kotlin	codecatalyst-jvm	1.0.1		53d4c3a896aea58965fa28d3715d1d589a45e780
aws.sdk.kotlin	codecatalyst-jvm	1.0.10		84bd4108e651a078ba0b9c6fa63cce06218a048e
aws.sdk.kotlin	codecatalyst-jvm	1.0.11		a7c2a288b8efceaf89fc3f76f0cd85b77270142e
aws.sdk.kotlin	codecatalyst-jvm	1.0.12		0b94186bafab4e1ae57975a4883acd8fa5659be1
aws.sdk.kotlin	codecatalyst-jvm	1.0.13		c86ce02a8440ad0e0e85842ddfcb4e31e6fcad96
aws.sdk.kotlin	codecatalyst-jvm	1.0.14		4483955d87db002ca68ef9e5639eb7bd91d76cd1
aws.sdk.kotlin	codecatalyst-jvm	1.0.15		4eb212c038ddce1acf270e22ff7585e2f0356d00
aws.sdk.kotlin	codecatalyst-jvm	1.0.16		5028ee42050ba0055d69677a3cbb7f3d90f53663
aws.sdk.kotlin	codecatalyst-jvm	1.0.17		25169f6fc53348b28992bdfbc61f5e5dafbc0bb7
aws.sdk.kotlin	codecatalyst-jvm	1.0.18		3244d9da95fe7c39fa26f9a13319f0017c354917
aws.sdk.kotlin	codecatalyst-jvm	1.0.19		c0a074de1ff84676e19635c16ed58c9808f65927
aws.sdk.kotlin	codecatalyst-jvm	1.0.2		dc9d12f08227b0042f06bab0ea2cac4dc9305639
aws.sdk.kotlin	codecatalyst-jvm	1.0.20		b3d01205cf4aca61a3dc676329480ecbbf4f69c4
aws.sdk.kotlin	codecatalyst-jvm	1.0.21		5ecd151c10412367e846ef0978dbe597be906c2b
aws.sdk.kotlin	codecatalyst-jvm	1.0.22		b9dddb21df55618df47fe5249a60a3a48970cb05
aws.sdk.kotlin	codecatalyst-jvm	1.0.23		c830fe114cd7e4204306ea96fde1d4ca8502771f
aws.sdk.kotlin	codecatalyst-jvm	1.0.24		040177846ef6783de8eb7d4fb273720d7e35f144
aws.sdk.kotlin	codecatalyst-jvm	1.0.25		7ca97c885f8e4bfdf94d0939126a6ecacdf3bd04
aws.sdk.kotlin	codecatalyst-jvm	1.0.26		738f5924ee8f4dd564c27c3101161e50c377e0f9
aws.sdk.kotlin	codecatalyst-jvm	1.0.27		1714e4cbaedc15720294c45a9493a979524fb771
aws.sdk.kotlin	codecatalyst-jvm	1.0.28		00bd4631a1852bd48289e3ce67db01a06dd8147f
aws.sdk.kotlin	codecatalyst-jvm	1.0.29		29e2551856537ead6589277f2910aef912ea881d
aws.sdk.kotlin	codecatalyst-jvm	1.0.3		a48adaa6594f6db3e9e7af1fa3dd1f8c80cff8ae
aws.sdk.kotlin	codecatalyst-jvm	1.0.30		9c77a2641dad00a6e872f5fdc95d98cc47b2b7d4
aws.sdk.kotlin	codecatalyst-jvm	1.0.31		e86a85bcaa72d8cdc80328207c127d63acf9213e
aws.sdk.kotlin	codecatalyst-jvm	1.0.32		45d7f95958df6c9a8574ace3c74bbfb13fa97e72
aws.sdk.kotlin	codecatalyst-jvm	1.0.33		85f8d60e8e6f258649f9aae363ef44ae9f325d24
aws.sdk.kotlin	codecatalyst-jvm	1.0.34		93d312b087a62c8b06c5a2c58bef660cecaaafb8
aws.sdk.kotlin	codecatalyst-jvm	1.0.35		c5da89571dbda7ee2e8d4b7d2a752e1a7831ff70
aws.sdk.kotlin	codecatalyst-jvm	1.0.36		92aba268c1d7d4815d445563848a54fb5b0d369d
aws.sdk.kotlin	codecatalyst-jvm	1.0.37		270a9afc7a29ef9fd89a74abc1e1429f4b501188
aws.sdk.kotlin	codecatalyst-jvm	1.0.38		5a14117ea1bc1f8142a342a98e765ec28f4daabb
aws.sdk.kotlin	codecatalyst-jvm	1.0.39		a3d8aa1dc9c98e9923dad6f036a2caf34330a57b
aws.sdk.kotlin	codecatalyst-jvm	1.0.4		ee1b06e3aaafa0faa853ca9d6bfb0f4c583a9da7
aws.sdk.kotlin	codecatalyst-jvm	1.0.40		961f4c7860417cd7ea91ec5bad446e5f3c70bb7b
aws.sdk.kotlin	codecatalyst-jvm	1.0.41		e5f4949293bc043733c4c76052125b0e7151aceb
aws.sdk.kotlin	codecatalyst-jvm	1.0.42		9a341a98c0af8c1b6278a91110de3178af7a5017
aws.sdk.kotlin	codecatalyst-jvm	1.0.43		9c3c18c6181c1d5bd82a080f402d5863d4fca7c9
aws.sdk.kotlin	codecatalyst-jvm	1.0.44		76c85c49b575e53aaef11dc0cbe6172943c64906
aws.sdk.kotlin	codecatalyst-jvm	1.0.45		693d826dca4dc0681b6dafa36b2ab0cbf2207c78
aws.sdk.kotlin	codecatalyst-jvm	1.0.46		f9709b324c30d5842726409b98a0ede8ab70f18c
aws.sdk.kotlin	codecatalyst-jvm	1.0.47		7f21dfccd0092b7adc5634d471205325f822a827
aws.sdk.kotlin	codecatalyst-jvm	1.0.48		ede59b3256a68afbad9d12789f3c5ac283804839
aws.sdk.kotlin	codecatalyst-jvm	1.0.49		213c29f779e2f43bca1fd5beee1b97072b72460e
aws.sdk.kotlin	codecatalyst-jvm	1.0.5		8ec7aff0ed48a29ad0ed616dcbe71079b7b0e6f4
aws.sdk.kotlin	codecatalyst-jvm	1.0.50		caca3ba11d95ffc6b9bfb53a55a83372120c26c9
aws.sdk.kotlin	codecatalyst-jvm	1.0.51		96afccc8589578215478f444de2a0ee2bf714999
aws.sdk.kotlin	codecatalyst-jvm	1.0.52		5bb6337208f60e992fd22d99d96a73059855546c
aws.sdk.kotlin	codecatalyst-jvm	1.0.53		fcacde1665502ea6bc6e48b7216997d12c730396
aws.sdk.kotlin	codecatalyst-jvm	1.0.54		38ab83f025037ad3193032298c655a0bf124aa0f
aws.sdk.kotlin	codecatalyst-jvm	1.0.55		122c9383d7716d5ac91d9b2fbb72ccefd89f7781
aws.sdk.kotlin	codecatalyst-jvm	1.0.56		620f61ba4e90811b457943550ac922c9ff5cdeef
aws.sdk.kotlin	codecatalyst-jvm	1.0.57		2cbb8bdf7e00fcc987fd7b1d67877a141fe2a6c2
aws.sdk.kotlin	codecatalyst-jvm	1.0.58		123e5d7ced7c7071f4dac1436de45d7e492f118a
aws.sdk.kotlin	codecatalyst-jvm	1.0.59		a6b557da54f3780a3def4a21cf825d1c6c6eb1f2
aws.sdk.kotlin	codecatalyst-jvm	1.0.6		40c020ae67e46d840580f4990a86a9f1ea249d9f
aws.sdk.kotlin	codecatalyst-jvm	1.0.60		4cf2be4f4b14f41449c32c0217603608a0df0aaa
aws.sdk.kotlin	codecatalyst-jvm	1.0.61		525a165e7fbd06cbff2fc6129adf42fd9d7ffa0a
aws.sdk.kotlin	codecatalyst-jvm	1.0.62		8ed32b5d9e232bfca4451aa95f72ab6738401e64
aws.sdk.kotlin	codecatalyst-jvm	1.0.63		47ff8f3c25a2dda0972a3924d23e18ac41972a4c
aws.sdk.kotlin	codecatalyst-jvm	1.0.64		b1eaf57d441f4e44ab780cf40a3b659a77a5edb9
aws.sdk.kotlin	codecatalyst-jvm	1.0.65		5c5c0ccbed12f735fc37c8c6e668c4da54c48f67
aws.sdk.kotlin	codecatalyst-jvm	1.0.66		dd037974d1084a51f96b8dea543e6ba971d45957
aws.sdk.kotlin	codecatalyst-jvm	1.0.67		f0466563ac94628d3c96981ff4efd504e2896072
aws.sdk.kotlin	codecatalyst-jvm	1.0.68		a48055dc40b99b17ea3427b75bad34065a389354
aws.sdk.kotlin	codecatalyst-jvm	1.0.69		bfa5ba1effb96058ebc8783234d97d37b13004ab
aws.sdk.kotlin	codecatalyst-jvm	1.0.7		a814b64b5bf286b8bf505d2ff5f4d2e8b7c320d6
aws.sdk.kotlin	codecatalyst-jvm	1.0.70		c27d99674ece169dacd8ed8fb7dec4516d9a2ead
aws.sdk.kotlin	codecatalyst-jvm	1.0.71		44b2dbfb6a94bcf56f8d592b1726d21c9b38b75c
aws.sdk.kotlin	codecatalyst-jvm	1.0.72		f2e58f09c890be05916c928f98190221090e401c
aws.sdk.kotlin	codecatalyst-jvm	1.0.73		9ecf963e735fe0499050260ef841201381c7417c
aws.sdk.kotlin	codecatalyst-jvm	1.0.74		f00117e09a81f26fb05facc61f808fbd805c0ae7
aws.sdk.kotlin	codecatalyst-jvm	1.0.75		ed9e6a0791cf527eea0c2d73a06ac8660e630626
aws.sdk.kotlin	codecatalyst-jvm	1.0.76		ba98f9c4c4dbea364653ab1e788568ff8ca305f2
aws.sdk.kotlin	codecatalyst-jvm	1.0.77		63f4bcc798b39ca26f5622198551835fe56c839d
aws.sdk.kotlin	codecatalyst-jvm	1.0.78		425a66d246e14eb86ebcf73eaf459fa8fe648896
aws.sdk.kotlin	codecatalyst-jvm	1.0.79		e640613278a3d24ab73811f06160abc67f487124
aws.sdk.kotlin	codecatalyst-jvm	1.0.8		94e6d4627f7aa8917bf3fa79101e64be88b62c25
aws.sdk.kotlin	codecatalyst-jvm	1.0.80		7d1b77b8506f263c6a9b01537c12fdb5eb9b392c
aws.sdk.kotlin	codecatalyst-jvm	1.0.9		18a2daa38ef474033babe502035de2c3bfbb5aed
aws.sdk.kotlin	codecatalyst-jvm	1.1.0		a3e55279965972b3a5fee604f070044ad497dfb0
aws.sdk.kotlin	codecatalyst-jvm	1.1.1		2c524c38cc5585b07d4d58cfc72dcb01b6e8d743
aws.sdk.kotlin	codecatalyst-jvm	1.1.10		a7eeaf7318ec0838735b2c525826f187589d2494
aws.sdk.kotlin	codecatalyst-jvm	1.1.11		1fff519c0839a6c81cde3b3087ca77bf7cce619a
aws.sdk.kotlin	codecatalyst-jvm	1.1.12		ac8d3a7b1f81d9276b62ea812c799f225ec7bfa7
aws.sdk.kotlin	codecatalyst-jvm	1.1.13		07671910e08e56350a62bd6e843838bbcd786fba
aws.sdk.kotlin	codecatalyst-jvm	1.1.15		05bb0cb3f3866813201fc8bec029c96f72d7d59f
aws.sdk.kotlin	codecatalyst-jvm	1.1.16		9cb777cc72143a46de5264abc3021f8413751ce2
aws.sdk.kotlin	codecatalyst-jvm	1.1.17		ca6e34fb3d17d0707e0e231a6008c612ab56b895
aws.sdk.kotlin	codecatalyst-jvm	1.1.18		211755ba95eb4eee3785c70d1fab1f3bb7ba2c46
aws.sdk.kotlin	codecatalyst-jvm	1.1.19		67332550408307a4cc9afb1e3f0e0ec8b1459397
aws.sdk.kotlin	codecatalyst-jvm	1.1.2		ff19a7b963417dc5e47d70cceac720b82b8c2265
aws.sdk.kotlin	codecatalyst-jvm	1.1.20		728f19bf8b8bc8db2bce6d0d0ae0bedaf11fb95b
aws.sdk.kotlin	codecatalyst-jvm	1.1.21		697a84df0ac8da9dd4eaba47c1e1142145df00b7
aws.sdk.kotlin	codecatalyst-jvm	1.1.22		5bfb4831be5d927ee56a64302f58470fc9dabbe2
aws.sdk.kotlin	codecatalyst-jvm	1.1.23		44fc8d6ce8ee29ac5487a872a9f2a3fb06e79a46
aws.sdk.kotlin	codecatalyst-jvm	1.1.24		3fb9617b1c43e95050b36aa9f8b6b4ad9736d8de
aws.sdk.kotlin	codecatalyst-jvm	1.1.25		f448e4b56a2133dcc3b5788bda4799fccc3d11a5
aws.sdk.kotlin	codecatalyst-jvm	1.1.26		ab6c13ed11019fa47fc59b950b3a16e7a3aaacf8
aws.sdk.kotlin	codecatalyst-jvm	1.1.27		c3bc41ab63156a5a4867f94cfe837b89588dda74
aws.sdk.kotlin	codecatalyst-jvm	1.1.3		26b42bf5b105f2b01f49207b00fb685a20b5bd7a
aws.sdk.kotlin	codecatalyst-jvm	1.1.4		75a95b78c65a6763f32b333b858c02fa83fce3b2
aws.sdk.kotlin	codecatalyst-jvm	1.1.5		8d701c73fb49d18bf7458b74ed224762a6ac17c6
aws.sdk.kotlin	codecatalyst-jvm	1.1.6		413192030247bed93fe2fc6fc0691c3178b64b9b
aws.sdk.kotlin	codecatalyst-jvm	1.1.7		55878b055bcd1966e37bd61cf616d5b945659697
aws.sdk.kotlin	codecatalyst-jvm	1.1.8		1b17d387da07a6a8b1dd59afb3b35d9a7ff7dfac
aws.sdk.kotlin	codecatalyst-jvm	1.1.9		3f9b6989f78132dcf2a34111fecb6ab544d5582c
aws.sdk.kotlin	codecatalyst-jvm	1.2.0		0e0876becaa32c90948c2ca5df253628b0e396d8
aws.sdk.kotlin	codecatalyst-jvm	1.2.1		9b6b46fc3d4e4e8858e6459164cd14e1bac82eb4
aws.sdk.kotlin	codecatalyst-jvm	1.2.10		c4c80c7e6711c5404a5826e52e7e58c57fe453fd
aws.sdk.kotlin	codecatalyst-jvm	1.2.11		717a68c39c92887c944ba90dcd85ce592b0a128a
aws.sdk.kotlin	codecatalyst-jvm	1.2.12		634cba69ae64512067ebc873bc4da7ccc2a66fca
aws.sdk.kotlin	codecatalyst-jvm	1.2.13		ca7d8235c57f1529e8d18c6f8ee3c91830397294
aws.sdk.kotlin	codecatalyst-jvm	1.2.14		4a79e9aeb2bf084129fc36dfe5a1e947b1454e24
aws.sdk.kotlin	codecatalyst-jvm	1.2.15		2ca5b4d298d86b8bd258b96117725891055d16ae
aws.sdk.kotlin	codecatalyst-jvm	1.2.16		f71c24751aea443b68528d47758223089f7b4836
aws.sdk.kotlin	codecatalyst-jvm	1.2.17		0ef651def17f18d27ada88bdf679e73cff50b4b1
aws.sdk.kotlin	codecatalyst-jvm	1.2.18		c963a9c7796b7e136f7ec8feb82df7315a46aed8
aws.sdk.kotlin	codecatalyst-jvm	1.2.19		0619f1784bec67c5693ebe0189d1921cf9163c20
aws.sdk.kotlin	codecatalyst-jvm	1.2.2		8c3dc66201506aff3de73cc58d1613b38438e56d
aws.sdk.kotlin	codecatalyst-jvm	1.2.20		b90ccb607e8ec4e2f03b05f1d744ce24c11d9309
aws.sdk.kotlin	codecatalyst-jvm	1.2.21		4fadd48efd810a8354da333aadf617ed9a6f3e0b
aws.sdk.kotlin	codecatalyst-jvm	1.2.22		2d897e52b55f2caaf00bd00c032539d1ad2fe403
aws.sdk.kotlin	codecatalyst-jvm	1.2.23		f1af9f8281ce83296f0f11995fde25da955beeb9
aws.sdk.kotlin	codecatalyst-jvm	1.2.24		c9ddb64ea5f605bbd2a4dc590cdd6f225880d696
aws.sdk.kotlin	codecatalyst-jvm	1.2.25		0cd624c0c0a6263fb6a6c66436bf797730f8e91c
aws.sdk.kotlin	codecatalyst-jvm	1.2.26		17b38b8005729d0ac95a1070723b2e2808dbe4d2
aws.sdk.kotlin	codecatalyst-jvm	1.2.27		59061c28c0143bf0ce845286425e9871197cfe61
aws.sdk.kotlin	codecatalyst-jvm	1.2.28		f7d196de1851465d595cecc8a2c0ff17591ce666
aws.sdk.kotlin	codecatalyst-jvm	1.2.29		800311e61a19e6cd15a7ce8c0d5d7a8b39353230
aws.sdk.kotlin	codecatalyst-jvm	1.2.3		da402cf14e754d1bba822fc69f9ca812b4ae45f8
aws.sdk.kotlin	codecatalyst-jvm	1.2.30		068880710a1194a145899bd962a73b0fc5e96de5
aws.sdk.kotlin	codecatalyst-jvm	1.2.31		a98bfe4c4f088c2d23a6bdc34f39c9ce8d634017
aws.sdk.kotlin	codecatalyst-jvm	1.2.32		76a0fa7f0915d9809f7e32214bd11cdaa1a6b2e5
aws.sdk.kotlin	codecatalyst-jvm	1.2.33		90a4e9cb32aa71401208268e512cb2bf1e85cb07
aws.sdk.kotlin	codecatalyst-jvm	1.2.34		40119c1ab6024215f06af889f4faedce80f18fb2
aws.sdk.kotlin	codecatalyst-jvm	1.2.35		88d77d590d88e1c9ed9fcf0fc1113c0a4181bd5a
aws.sdk.kotlin	codecatalyst-jvm	1.2.36		3a98f1ac9fa6482c7de29845443907bc871f184a
aws.sdk.kotlin	codecatalyst-jvm	1.2.37		02ca6243631fc0fc05f7bd0a6802a8ca095cc0a6
aws.sdk.kotlin	codecatalyst-jvm	1.2.38		27a7d913bd604fba47b80cc40f03aec330a07f68
aws.sdk.kotlin	codecatalyst-jvm	1.2.39		3d9692e21d0da2332ef588f5e7953b90093e5f38
aws.sdk.kotlin	codecatalyst-jvm	1.2.4		84e3f5ea616cfc977c4282b861bff9e7cc30b1ea
aws.sdk.kotlin	codecatalyst-jvm	1.2.40		cf41202cf92c848592825dd91d41ce5f281cc28e
aws.sdk.kotlin	codecatalyst-jvm	1.2.41		7b58847fb78e8d8388dd8c34ddf8128ed03f6112
aws.sdk.kotlin	codecatalyst-jvm	1.2.42		e7645d7221921f41f9b37045ff106f88eed19b16
aws.sdk.kotlin	codecatalyst-jvm	1.2.43		99225b4717eb2e9aba9ddc1e62330cb22caf8b60
aws.sdk.kotlin	codecatalyst-jvm	1.2.44		b212af1e031a3b96231cf27ead19da12ac49e1a6
aws.sdk.kotlin	codecatalyst-jvm	1.2.45		7cbd6e762574ee3f7b8e798f4dd347d56443a051
aws.sdk.kotlin	codecatalyst-jvm	1.2.46		436bc75378df513fc501af02b81c418fdde31afa
aws.sdk.kotlin	codecatalyst-jvm	1.2.47		75f1c3c724ab580b470864fb6ddd7eac1606c90c
aws.sdk.kotlin	codecatalyst-jvm	1.2.48		8066c5e64aa7d3196c0adcf983f7cb04b22c0d6c
aws.sdk.kotlin	codecatalyst-jvm	1.2.49		e5212280c93fb8b308c4b85debf3fd70d70920e3
aws.sdk.kotlin	codecatalyst-jvm	1.2.5		9b1c1b0a21f0b5c9927ce6d67b9b14d294620bcb
aws.sdk.kotlin	codecatalyst-jvm	1.2.50		9529778e05d747f1bef3012a0f0deed58aa057e0
aws.sdk.kotlin	codecatalyst-jvm	1.2.51		37cb8a2dc478824a0840f86c7e0f657cb5df6ba2
aws.sdk.kotlin	codecatalyst-jvm	1.2.52		47e534b34256dcbfcfe50a6be6baa939ce07308e
aws.sdk.kotlin	codecatalyst-jvm	1.2.53		58ae5107673ef1391d80ffb88b538fd7477ddc98
aws.sdk.kotlin	codecatalyst-jvm	1.2.54		a72d331b2fe10a461562a8147e2bc0ef58d65c1b
aws.sdk.kotlin	codecatalyst-jvm	1.2.55		d115d56051346e53bf52c848635bc7c013ecda90
aws.sdk.kotlin	codecatalyst-jvm	1.2.56		92784c91f2b150b889eb9863d732e81135088dce
aws.sdk.kotlin	codecatalyst-jvm	1.2.6		d444ac5a2c4a90ed81a4cd78510f3448002fccab
aws.sdk.kotlin	codecatalyst-jvm	1.2.7		bd99091790705476fa2e66cf331a8311633d536a
aws.sdk.kotlin	codecatalyst-jvm	1.2.8		e719a843b48aaf6d387e95a5f932ab41fab5a730
aws.sdk.kotlin	codecatalyst-jvm	1.2.9		0e572a0b1e170a4f76f546fb664307384f3ec922
aws.sdk.kotlin	codecatalyst-jvm	1.3.0		ff1f21483e786e18b84b6d140868b813e78e04e1
aws.sdk.kotlin	codecatalyst-jvm	1.3.1		5000f6ca3cae9fd2791cbf020e6472629cb62d1a
aws.sdk.kotlin	codecatalyst-jvm	1.3.10		a6db1508b3e994b8d76279553a69e547cf601f29
aws.sdk.kotlin	codecatalyst-jvm	1.3.100		7c4b2ec40e4b7596231ab3642a12e08a587c04dd
aws.sdk.kotlin	codecatalyst-jvm	1.3.101		15b97481dd3e6fa5f85f54c270115091ace67f7d
aws.sdk.kotlin	codecatalyst-jvm	1.3.102		ef8ad0e25cefced3b07347b5a202bb6ae31a7ba1
aws.sdk.kotlin	codecatalyst-jvm	1.3.103		14a107a183c5eb75a7a23359162410c5890c7c6b
aws.sdk.kotlin	codecatalyst-jvm	1.3.104		c3fae1462c0c9c1b0c1a22fe7cd097db89174739
aws.sdk.kotlin	codecatalyst-jvm	1.3.105		1b4c80be3ad7f170deff041203a8ac35f3f9489a
aws.sdk.kotlin	codecatalyst-jvm	1.3.106		93456677fc1a31afa4aac1f03bcebc51cb1683a6
aws.sdk.kotlin	codecatalyst-jvm	1.3.107		9cf159ae58aa2b0344277bf8f03c1086a387370c
aws.sdk.kotlin	codecatalyst-jvm	1.3.108		197711080bd4408d9c7c6958d939fa7b6a97e176
aws.sdk.kotlin	codecatalyst-jvm	1.3.109		107f88de89a9b13f45baab6f5345b45b5158e611
aws.sdk.kotlin	codecatalyst-jvm	1.3.11		983a8be54757518b7892f0a02a856419732dcee7
aws.sdk.kotlin	codecatalyst-jvm	1.3.110		847d06c176bddf876db2fc14a8213351431047f9
aws.sdk.kotlin	codecatalyst-jvm	1.3.111		81221d908428e7e2072d54480f67ac845d6f3e64
aws.sdk.kotlin	codecatalyst-jvm	1.3.112		072e7f686b79f76b3ec35bd16e83553c0694ab4d
aws.sdk.kotlin	codecatalyst-jvm	1.3.12		ad02592630fc9dab595283b1d40bcbf08d0fd49a
aws.sdk.kotlin	codecatalyst-jvm	1.3.13		9bb09a4bdf3ca67adad5caefeb8ef1307df24d25
aws.sdk.kotlin	codecatalyst-jvm	1.3.14		f4f4b2847b7a92b71d30560869d3b6cdfd2aea8a
aws.sdk.kotlin	codecatalyst-jvm	1.3.15		72b405a70b8d24318b3a8547925a32a52718044a
aws.sdk.kotlin	codecatalyst-jvm	1.3.16		3cb373da25d7cdd6768d04aee03ab1c70a4c9352
aws.sdk.kotlin	codecatalyst-jvm	1.3.17		c340572f4ec74786cb4206dba8cdbb24ff407d1a
aws.sdk.kotlin	codecatalyst-jvm	1.3.18		56cc84326dda83b3975e78e6b61a302d647559c1
