avalon-cornerstone	avalon-cornerstone	4.0		8831a37d4981f41c71a6682365deb39d4b3ff51c
com.applovin.mediation	fyber-adapter	8.3.6.0		N/A
com.applovin.mediation	fyber-adapter	8.3.6.1		N/A
com.applovin.mediation	fyber-adapter	8.3.7.0		N/A
com.armanbilge	circe-numbers_native0.4_3	0.14.2-158-f15be0d		3d7fed8d08d2ad858b8fcfccae09e9794b3ee723
com.arthurivanets	born2crawl-data-store	1.0.0		09d3b79b7da5616a5d1d5f7e63523ac8528206bd
com.arthurivanets	born2crawl-data-store	1.0.1		16488ea4e955faaf002bba0ce41841581b6c2515
com.arthurivanets	born2crawl-data-store	1.1.0		ffbcc50694518bc9ec684537889f35086d729800
com.azavea.geotrellis	geotrellis-server-stac-example_2.12	4.4.0		85a3c22b95375dda2c5f4ceb1545f310902b3db6
com.azavea.geotrellis	geotrellis-server-stac-example_2.12	4.5.0		8fbac383cbcb878299c4aba401a130c07e7a4794
com.azavea.geotrellis	geotrellis-server-stac-example_2.12	4.6.0		7ebc1f474a264b1154f17b81890a790b274c12ff
com.baidu.mapp	brcc-core	1.1.0		9e449d358ebb238193a09a56a327250f9f0418bc
com.binance4j	binance4j-market	1.0.0		1e77341fb5767bfbf43b66e575892449407f678b
com.binance4j	binance4j-market	1.0.1		2137b526de0ac711dfe90f0378b63346704ee2a2
com.binance4j	binance4j-market	1.0.3		f66353ab410490fe4143b0db9ad6946d131d97c2
com.binance4j	binance4j-market	1.0.4		19043fa15181be37694a6fd4afa2a7baa2ed6b44
com.binance4j	binance4j-market	1.0.5		77ab3eeb836f33c22c9eefa72eb99a90c1209808
com.binance4j	binance4j-market	1.1.0		44b345963e935e98889f0132335294367bdc9de7
com.binance4j	binance4j-market	1.1.1		6f4e8832ca66d14ef072a27378453a32d0676656
com.binance4j	binance4j-market	1.1.2		e900a41a999a688a55d3d728e6e73063874c2d47
com.binance4j	binance4j-market	1.1.3		9af9a3ca4a4321da72e658c3524d966613613536
com.binance4j	binance4j-market	1.1.4		3f85b3f96d1e58418c4fbafb1f514298d3722766
com.binance4j	binance4j-market	1.1.5		53bbc636c8d3eb1a4053b080163c1ab563160a1d
com.binance4j	binance4j-market	1.2.0		20b863320fc014b99b0d98552dcee2c5d4e5ae36
com.binance4j	binance4j-market	1.3.2		1c26bfa875d17dbef4dbaddbcd7e1c5550f9b414
com.binance4j	binance4j-market	1.3.3		45b764c41ddb6f23ede54af3c93467dd9038e8df
com.binance4j	binance4j-market	1.4.0		68531033abbd58456adf086c9766af24e3673b1b
com.binance4j	binance4j-market	1.4.1		41917ad571ebd57bf849c11eee230a9e1ff8d4f7
com.binance4j	binance4j-market	1.4.2		1085560cfa4d987f1e2babfb1108dbe42dbdb7c7
com.binance4j	binance4j-market	1.4.3		6f75c9120b2558410bad2cd6cda2e4ca780fd173
com.binance4j	binance4j-market	1.4.4		7f142396e959efd7968c006e97caba4c41914b86
com.binance4j	binance4j-market	1.4.5		e4c6c7ef0f20ae5166801a57a3b738022b3f026e
com.binance4j	binance4j-market	1.4.6		0d36cc1db3326c7c167f0d8705824910ef5017b5
com.binance4j	binance4j-market	1.6.0		8605cf7621ac32b14a0a23302d68837830502656
com.binance4j	binance4j-market	1.7.0		0213c6d3ec9f6a90d204687391d4ba44fd2c5e8b
com.binance4j	binance4j-market	1.7.1		e4590fbdceb3ab54b8c624a94ba3cf63f33a8bcd
com.binance4j	binance4j-market	1.7.2		1f5c0175b3082dac36c58d6306445c2e9d4bfb60
com.binance4j	binance4j-market	1.7.3		ce42973323f4caab1e3cd959fef97f17fb38f637
com.binance4j	binance4j-market	1.7.4		bb5d98cebabf47554e443a65cd26e86ab94191e1
com.binance4j	binance4j-market	1.7.5		86c9e2ca170e96b2961a71c28ab796d719dad01c
com.binance4j	binance4j-market	2.0.1		781563ff7dd44fb009a176583b27521382fdd3f4
com.binance4j	binance4j-market	2.0.2		c9166ced781d3ed1b5ff8ad8e42872d3d35388dd
com.binance4j	binance4j-market	2.0.3		cd8465c5ac4b6b169d855d2b4a1402cac42736aa
com.binance4j	binance4j-market	2.0.4		74d233c62284d629f72b9b522592701efe0f755f
com.binance4j	binance4j-market	2.0.5		4f324c67bf7f49cb2121a5fbcd6fb233d1bb0053
com.binance4j	binance4j-market	2.0.6		a411aee8105c8339e0972eff63fe4898116c3a80
com.binance4j	binance4j-market	2.0.7		09a3e8dbaa0793f2badcc44816bfb9de8e2d294f
com.binance4j	binance4j-market	2.0.8		6df1ec90adebd2a15817a821a7f1677b8bf81355
com.binance4j	binance4j-market	2.1.0		96ab8f02a8f43a7694528be999389787b7ea5d0d
com.binance4j	binance4j-market	2.1.1		b924f8cb0e8e203a16b367f5332089f9558e8716
com.binance4j	binance4j-market	2.2.0		25eae9c60a8a5be551c4908a4e12d82e285c781c
com.binance4j	binance4j-market	2.3.0		204ee0d9ae3e1ae7b4deba2994963915be60f3e6
com.binance4j	binance4j-market	2.4.0		4bc2181718e3d13a5dfbfaae489942715b612529
com.chinagoods.framework.thinkcloud	think-cloud-starter-ai-vector-redis	4.1.5		4c81d498ac7ee3228d4d42bb906a9703e6ed4cf7
com.chinagoods.framework.thinkcloud	think-cloud-starter-ai-vector-redis	4.2.3		c07e025dce12951e30ad72caebeb0a43211c89b3
com.chinagoods.framework.thinkcloud	think-cloud-starter-ai-vector-redis	4.2.5		9aa395f1ba989b1d793148423225aaf394e55b4e
com.daml	participant-state-index_2.13	0.0.0		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.11.0		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.11.0-snapshot.20210217.6338.0.ba6ba901		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.11.0-snapshot.20210224.6373.0.b0b0b4ea		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.11.0-snapshot.20210224.6385.0.dba114a2		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.11.0-snapshot.20210225.6390.0.0617fbde		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.11.0-snapshot.20210303.6421.0.145ddaa8		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.11.0-snapshot.20210304.6422.0.d3d5042a		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.11.1		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.11.1-snapshot.20210312.6429.0.7cd6380e		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.11.1-snapshot.20210312.6429.1.7cd6380e		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.11.2		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.11.2-snapshot.20210610.6432.0.ac4a2848		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.11.2-snapshot.20210610.6433.0.a08f6ea2		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.11.2-snapshot.20210610.6433.1.a08f6ea2		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.11.3		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.11.3-snapshot.20211110.6439.0.632ba5a7		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.11.3-snapshot.20211111.6441.0.eed4ad32		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.11.3-snapshot.20211123.6448.0.c679b4ab		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.12.0		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.12.0-snapshot.20210309.6463.0.f7abca91		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.12.0-snapshot.20210311.6483.0.5cb857d9		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.12.0-snapshot.20210311.6490.0.8e25227c		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.12.0-snapshot.20210312.6493.0.9a7e2465		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.12.0-snapshot.20210312.6498.0.707c86aa		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.12.0-snapshot.20210316.6523.0.b382fc45		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.12.0-snapshot.20210317.6528.0.493e2154		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.12.0-snapshot.20210323.6567.0.90c5ce70		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.12.0-snapshot.20210330.6619.0.007b8674		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.12.0-snapshot.20210330.6622.0.eef158d6		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.12.0-snapshot.20210331.6626.0.29a68134		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.12.0-snapshot.20210331.6634.0.b98a3881		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.12.0-snapshot.20210331.6640.0.4b807899		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.12.0-snapshot.20210406.6646.0.631db446		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.13.0		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.13.0-snapshot.20210413.6706.0.2dc09ba2		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.13.0-snapshot.20210419.6730.0.8c3a8c04		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.13.0-snapshot.20210426.6770.0.ca66061b		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.13.0-snapshot.20210503.6809.0.ca012c3b		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.13.0-snapshot.20210504.6833.0.9ae787d0		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.13.1		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.13.1-snapshot.20210512.6834.0.5f532380		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.13.1-snapshot.20210512.6834.1.5f532380		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.14.0		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.14.0-snapshot.20210511.6892.0.ca9e89b3		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.14.0-snapshot.20210518.6953.0.a6c7b86a		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.14.0-snapshot.20210526.7024.0.aedb9a82		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.14.0-snapshot.20210601.7081.0.7d716e6d		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.14.0-snapshot.20210602.7086.0.f36f556b		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.14.0-snapshot.20210608.7123.0.3cb8d5c2		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.14.0-snapshot.20210615.7124.0.d1b54ff0		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.14.0-snapshot.20210615.7169.0.adeba206		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.14.1		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.14.1-snapshot.20210706.7133.0.8ec16e94		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.14.2		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.14.2-snapshot.20210708.7135.0.aa297840		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.15.0		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.15.0-snapshot.20210615.7169.0.adeba206		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.15.0-snapshot.20210623.7217.0.5b73813d		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.15.0-snapshot.20210630.7261.0.84e1f3a7		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.15.0-snapshot.20210705.7286.0.62aabcc4		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.16.0		cb281d05ccccf993ae60e89bbd19207df4a65e81
com.daml	participant-state-index_2.13	1.16.0-snapshot.20210713.7343.0.1f35db17		e5e020daec61e925a35213c77e5568f983310a70
com.daml	participant-state-index_2.13	1.16.0-snapshot.20210720.7404.0.b7cf42d1		cb281d05ccccf993ae60e89bbd19207df4a65e81
com.daml	participant-state-index_2.13	1.16.0-snapshot.20210727.7476.0.b5e9d861		cb281d05ccccf993ae60e89bbd19207df4a65e81
com.daml	participant-state-index_2.13	1.16.0-snapshot.20210802.7499.0.5157ad6d		cb281d05ccccf993ae60e89bbd19207df4a65e81
com.daml	participant-state-index_2.13	1.16.0-snapshot.20210805.7501.0.48050ad7		cb281d05ccccf993ae60e89bbd19207df4a65e81
com.daml	participant-state-index_2.13	1.17.0		c46668cd569a5e840d1c4fcdc95b49dc10dd4143
com.daml	participant-state-index_2.13	1.17.0-snapshot.20210811.7565.0.f1a55aa4		cb281d05ccccf993ae60e89bbd19207df4a65e81
com.daml	participant-state-index_2.13	1.17.0-snapshot.20210817.7604.0.0c187853		a189c906168d3d0a12e304187ec8803ab0e3c9ba
com.daml	participant-state-index_2.13	1.17.0-snapshot.20210824.7647.0.640fb683		a189c906168d3d0a12e304187ec8803ab0e3c9ba
com.daml	participant-state-index_2.13	1.17.0-snapshot.20210831.7702.0.f058c2f1		c46668cd569a5e840d1c4fcdc95b49dc10dd4143
com.daml	participant-state-index_2.13	1.17.0-snapshot.20210907.7759.0.35a853fd		c46668cd569a5e840d1c4fcdc95b49dc10dd4143
com.daml	participant-state-index_2.13	1.17.0-snapshot.20210910.7786.0.976ca400		c46668cd569a5e840d1c4fcdc95b49dc10dd4143
com.daml	participant-state-index_2.13	1.17.0-snapshot.20210915.7841.0.b4328b3d		c46668cd569a5e840d1c4fcdc95b49dc10dd4143
com.daml	participant-state-index_2.13	1.17.0-snapshot.20210922.7849.0.49a75801		c46668cd569a5e840d1c4fcdc95b49dc10dd4143
com.daml	participant-state-index_2.13	1.17.1		c46668cd569a5e840d1c4fcdc95b49dc10dd4143
com.daml	participant-state-index_2.13	1.17.1-snapshot.20211006.7852.0.fbc4bc00		c46668cd569a5e840d1c4fcdc95b49dc10dd4143
com.daml	participant-state-index_2.13	1.17.1-snapshot.20211006.7853.0.e05be365		c46668cd569a5e840d1c4fcdc95b49dc10dd4143
com.daml	participant-state-index_2.13	1.17.2-snapshot.20211124.7857.0.b33b94b8		c46668cd569a5e840d1c4fcdc95b49dc10dd4143
com.daml	participant-state-index_2.13	1.18.0		8178378f1cb29862925da2d11d96d3de23813c19
com.daml	participant-state-index_2.13	1.18.0-snapshot.20210921.7889.0.1b473c2b		e27fa4fcc664491af03f571657ffedf52d0b2796
com.daml	participant-state-index_2.13	1.18.0-snapshot.20210921.7889.1.1b473c2b		e27fa4fcc664491af03f571657ffedf52d0b2796
com.daml	participant-state-index_2.13	1.18.0-snapshot.20210922.7908.0.ced4a272		e27fa4fcc664491af03f571657ffedf52d0b2796
com.daml	participant-state-index_2.13	1.18.0-snapshot.20210928.7948.0.b4d00317		e27fa4fcc664491af03f571657ffedf52d0b2796
com.daml	participant-state-index_2.13	1.18.0-snapshot.20211006.8003.0.cfcdc13c		e27fa4fcc664491af03f571657ffedf52d0b2796
com.daml	participant-state-index_2.13	1.18.0-snapshot.20211013.8071.0.514e8b50		27b4c40298b0d709a897b3015fe8a75907c2a452
com.daml	participant-state-index_2.13	1.18.0-snapshot.20211019.8113.0.8ff347d8		b80b414960bc3deb5fb5afe2f3743cac2f4acf2c
com.daml	participant-state-index_2.13	1.18.0-snapshot.20211026.8179.0.e474b2d1		68bae9ba36a9d4e8feb497cf75b0fd3eb4f97ef9
com.daml	participant-state-index_2.13	1.18.0-snapshot.20211102.8257.0.7391a3cd		68bae9ba36a9d4e8feb497cf75b0fd3eb4f97ef9
com.daml	participant-state-index_2.13	1.18.0-snapshot.20211109.8328.0.92181161		38e97fff99ad066527ec85f0486c4172b18a8464
com.daml	participant-state-index_2.13	1.18.0-snapshot.20211110.8337.0.c5a1f0bb		38e97fff99ad066527ec85f0486c4172b18a8464
com.daml	participant-state-index_2.13	1.18.0-snapshot.20211111.8349.0.d938a44c		8178378f1cb29862925da2d11d96d3de23813c19
com.daml	participant-state-index_2.13	1.18.0-snapshot.20211117.8399.0.a05a40ae		8178378f1cb29862925da2d11d96d3de23813c19
com.daml	participant-state-index_2.13	1.18.0-snapshot.20211124.8419.0.39d9afcd		8178378f1cb29862925da2d11d96d3de23813c19
com.daml	participant-state-index_2.13	1.18.0-snapshot.20211206.8423.0.2c945fcb		8178378f1cb29862925da2d11d96d3de23813c19
com.daml	participant-state-index_2.13	1.18.1		8178378f1cb29862925da2d11d96d3de23813c19
com.daml	participant-state-index_2.13	1.18.1-snapshot.20220106.8429.0.ea344666		8178378f1cb29862925da2d11d96d3de23813c19
com.daml	participant-state-index_2.13	1.18.1-snapshot.20220110.8433.0.e8e25a11		8178378f1cb29862925da2d11d96d3de23813c19
com.daml	participant-state-index_2.13	1.18.1-snapshot.20220113.8434.0.1724373f		8178378f1cb29862925da2d11d96d3de23813c19
com.daml	participant-state-index_2.13	1.18.1-snapshot.20220113.8434.1.1724373f		8178378f1cb29862925da2d11d96d3de23813c19
com.daml	participant-state-index_2.13	1.18.2		8178378f1cb29862925da2d11d96d3de23813c19
com.daml	participant-state-index_2.13	1.18.2-snapshot.20220310.8437.1.5221a5d1		8178378f1cb29862925da2d11d96d3de23813c19
com.daml	participant-state-index_2.13	1.18.2-snapshot.20220324.8440.0.5cfb1a21		8178378f1cb29862925da2d11d96d3de23813c19
com.daml	participant-state-index_2.13	1.18.3		8178378f1cb29862925da2d11d96d3de23813c19
com.daml	participant-state-index_2.13	1.18.3-snapshot.20220620.8442.0.c7424302		8178378f1cb29862925da2d11d96d3de23813c19
com.daml	participant-state-index_2.13	2.0.0		b58abc1e248169fc1abb9b6e92a2d848b9c1c36a
com.daml	participant-state-index_2.13	2.0.0-snapshot.20211123.8463.0.bd2a6852		8178378f1cb29862925da2d11d96d3de23813c19
com.daml	participant-state-index_2.13	2.0.0-snapshot.20211201.8538.0.1d0ff3cc		6bdbba45967b1a1a5d203c9b001ade83e75d44fd
com.daml	participant-state-index_2.13	2.0.0-snapshot.20211207.8589.1.85e2fa55		6bdbba45967b1a1a5d203c9b001ade83e75d44fd
com.daml	participant-state-index_2.13	2.0.0-snapshot.20211207.8589.2.85e2fa55		6bdbba45967b1a1a5d203c9b001ade83e75d44fd
com.daml	participant-state-index_2.13	2.0.0-snapshot.20211207.8589.3.85e2fa55		6bdbba45967b1a1a5d203c9b001ade83e75d44fd
com.daml	participant-state-index_2.13	2.0.0-snapshot.20211207.8608.0.c4d82f72		6bdbba45967b1a1a5d203c9b001ade83e75d44fd
com.daml	participant-state-index_2.13	2.0.0-snapshot.20211209.8636.0.0a17087b		6bdbba45967b1a1a5d203c9b001ade83e75d44fd
com.daml	participant-state-index_2.13	2.0.0-snapshot.20211209.8636.1.0a17087b		6bdbba45967b1a1a5d203c9b001ade83e75d44fd
com.daml	participant-state-index_2.13	2.0.0-snapshot.20211210.8653.0.35beb44c		6bdbba45967b1a1a5d203c9b001ade83e75d44fd
com.daml	participant-state-index_2.13	2.0.0-snapshot.20211220.8735.0.606a8ef0		5359f48b3b569b20e2f9f13be81a305573362f40
com.daml	participant-state-index_2.13	2.0.0-snapshot.20211220.8736.0.040f1a93		5359f48b3b569b20e2f9f13be81a305573362f40
com.daml	participant-state-index_2.13	2.0.0-snapshot.20220104.8767.0.d3101e01		5359f48b3b569b20e2f9f13be81a305573362f40
com.daml	participant-state-index_2.13	2.0.0-snapshot.20220105.8777.0.cb15ab5a		5359f48b3b569b20e2f9f13be81a305573362f40
com.daml	participant-state-index_2.13	2.0.0-snapshot.20220110.8812.0.3a08380b		6cf6ad5b1bcf5fa1ce8865e4f522bf407b95d7df
com.daml	participant-state-index_2.13	2.0.0-snapshot.20220111.8828.0.7ec55d7f		6cf6ad5b1bcf5fa1ce8865e4f522bf407b95d7df
com.daml	participant-state-index_2.13	2.0.0-snapshot.20220117.8894.0.502b21f8		6cf6ad5b1bcf5fa1ce8865e4f522bf407b95d7df
com.daml	participant-state-index_2.13	2.0.0-snapshot.20220117.8897.0.36a93ef0		6cf6ad5b1bcf5fa1ce8865e4f522bf407b95d7df
com.daml	participant-state-index_2.13	2.0.0-snapshot.20220118.8919.0.d0813e61		b00ae35a15febe0f1853b612b8389c18bfcce74f
com.daml	participant-state-index_2.13	2.0.0-snapshot.20220119.8939.0.ebd3827c		b00ae35a15febe0f1853b612b8389c18bfcce74f
com.daml	participant-state-index_2.13	2.0.0-snapshot.20220124.8981.0.a150737d		b00ae35a15febe0f1853b612b8389c18bfcce74f
com.daml	participant-state-index_2.13	2.0.0-snapshot.20220125.9008.0.ed33c0d5		b00ae35a15febe0f1853b612b8389c18bfcce74f
com.daml	participant-state-index_2.13	2.0.0-snapshot.20220126.9017.0.159f3847		b00ae35a15febe0f1853b612b8389c18bfcce74f
com.daml	participant-state-index_2.13	2.0.0-snapshot.20220126.9029.0.42cf70b1		b00ae35a15febe0f1853b612b8389c18bfcce74f
com.daml	participant-state-index_2.13	2.0.0-snapshot.20220127.9042.0.4038d0a7		b00ae35a15febe0f1853b612b8389c18bfcce74f
com.daml	participant-state-index_2.13	2.0.0-snapshot.20220127.9049.0.345e2679		b00ae35a15febe0f1853b612b8389c18bfcce74f
com.daml	participant-state-index_2.13	2.0.0-snapshot.20220201.9108.0.aa2494f1		5677033a7ca68b4ed73d2af649c199230619c004
com.daml	participant-state-index_2.13	2.0.0-snapshot.20220204.9165.0.225c58f4		2e53405595444f9e109071033188ca7b52bf458f
com.daml	participant-state-index_2.13	2.0.0-snapshot.20220207.9186.0.f63165aa		223df8ce72fb6bd6e854699d4250de2e7588d796
com.daml	participant-state-index_2.13	2.0.0-snapshot.20220207.9190.0.89c9c5d3		223df8ce72fb6bd6e854699d4250de2e7588d796
com.daml	participant-state-index_2.13	2.0.0-snapshot.20220208.9197.0.8182602f		223df8ce72fb6bd6e854699d4250de2e7588d796
com.daml	participant-state-index_2.13	2.0.0-snapshot.20220208.9207.0.7b70711c		223df8ce72fb6bd6e854699d4250de2e7588d796
com.daml	participant-state-index_2.13	2.0.0-snapshot.20220209.9212.0.b7fc9f57		223df8ce72fb6bd6e854699d4250de2e7588d796
com.daml	participant-state-index_2.13	2.0.0-snapshot.20220210.9222.0.f2797795		e2e34d20fd2003a76b627060add7b5bc7306b23e
com.daml	participant-state-index_2.13	2.0.0-snapshot.20220210.9244.0.6a91fdfe		e2e34d20fd2003a76b627060add7b5bc7306b23e
com.daml	participant-state-index_2.13	2.0.0-snapshot.20220211.9260.0.3dccabf6		67b08a4ee1837ced18b9c95ff9460bda771c541b
com.daml	participant-state-index_2.13	2.0.0-snapshot.20220212.9261.0.3ebd9d7b		67b08a4ee1837ced18b9c95ff9460bda771c541b
com.daml	participant-state-index_2.13	2.0.0-snapshot.20220214.9284.0.dc5f2033		53b17bfa7730d3d93d25c32fe6d28bec52156fe7
com.daml	participant-state-index_2.13	2.0.0-snapshot.20220215.9307.0.55fef9cf		72e77f27298fd169b06ebe72a4c76f442e84863e
com.daml	participant-state-index_2.13	2.0.0-snapshot.20220216.9321.0.eb45a4ce		dca76a017d183818cd46f724705bd1a3241e5131
