com.linkedin.iceberg	iceberg-spark2	0.11.1.16		b048d02ad09522c3a3f66f7d65c6f0c7eeb34dd2
com.linkedin.iceberg	iceberg-spark2	0.11.1.17		b048d02ad09522c3a3f66f7d65c6f0c7eeb34dd2
com.linkedin.iceberg	iceberg-spark2	0.11.1.18		b048d02ad09522c3a3f66f7d65c6f0c7eeb34dd2
com.linkedin.iceberg	iceberg-spark2	0.11.1.19		abd47d0e7915826813ae5180be8730b3c0c815f3
com.linkedin.iceberg	iceberg-spark2	0.11.1.2		b048d02ad09522c3a3f66f7d65c6f0c7eeb34dd2
com.linkedin.iceberg	iceberg-spark2	0.11.1.20		abd47d0e7915826813ae5180be8730b3c0c815f3
com.linkedin.iceberg	iceberg-spark2	0.11.1.22		e953bbdcd7e6a1be6e5345898a96e2eeb3e59a65
com.linkedin.iceberg	iceberg-spark2	0.11.1.23		e953bbdcd7e6a1be6e5345898a96e2eeb3e59a65
com.linkedin.iceberg	iceberg-spark2	0.11.1.24		e953bbdcd7e6a1be6e5345898a96e2eeb3e59a65
com.linkedin.iceberg	iceberg-spark2	0.11.1.25		e953bbdcd7e6a1be6e5345898a96e2eeb3e59a65
com.linkedin.iceberg	iceberg-spark2	0.11.1.26		5cf7e6cefc2467b1362d6a61c6b6cf21a4c147ad
com.linkedin.iceberg	iceberg-spark2	0.11.1.27		5cf7e6cefc2467b1362d6a61c6b6cf21a4c147ad
com.linkedin.iceberg	iceberg-spark2	0.11.1.28		5cf7e6cefc2467b1362d6a61c6b6cf21a4c147ad
com.linkedin.iceberg	iceberg-spark2	0.11.1.29		5cf7e6cefc2467b1362d6a61c6b6cf21a4c147ad
com.linkedin.iceberg	iceberg-spark2	0.11.1.3		b048d02ad09522c3a3f66f7d65c6f0c7eeb34dd2
com.linkedin.iceberg	iceberg-spark2	0.11.1.30		5cf7e6cefc2467b1362d6a61c6b6cf21a4c147ad
com.linkedin.iceberg	iceberg-spark2	0.11.1.31		5cf7e6cefc2467b1362d6a61c6b6cf21a4c147ad
com.linkedin.iceberg	iceberg-spark2	0.11.1.32		5cf7e6cefc2467b1362d6a61c6b6cf21a4c147ad
com.linkedin.iceberg	iceberg-spark2	0.11.1.33		5cf7e6cefc2467b1362d6a61c6b6cf21a4c147ad
com.linkedin.iceberg	iceberg-spark2	0.11.1.4		b048d02ad09522c3a3f66f7d65c6f0c7eeb34dd2
com.linkedin.iceberg	iceberg-spark2	0.11.1.8		b048d02ad09522c3a3f66f7d65c6f0c7eeb34dd2
com.linkedin.iceberg	iceberg-spark2	0.11.1.9		b048d02ad09522c3a3f66f7d65c6f0c7eeb34dd2
com.netflix.graphql.dgs	dgs-starter-test	10.0.0		988076923d4efaf3c3aec8548f44968d1606b124
com.netflix.graphql.dgs	dgs-starter-test	10.0.1		250fefc577f507266251dc8c3bb84827692cde3a
com.netflix.graphql.dgs	dgs-starter-test	10.0.2		f95aec901d70dbec974f4f9c602ec15e87d9ddd6
com.netflix.graphql.dgs	dgs-starter-test	10.0.3		3953bdea4b232103ae894d4b61b170e3512ce847
com.netflix.graphql.dgs	dgs-starter-test	10.0.4		36de44141b5388849735b126c8fd118a56d44512
com.netflix.graphql.dgs	dgs-starter-test	10.1.0		4a55dddedf8603f81a6eec75c83bb931c3c368a9
com.netflix.graphql.dgs	dgs-starter-test	10.1.1		546841876850a628206a383975fdd5d4644afd0c
com.netflix.graphql.dgs	dgs-starter-test	10.1.2		a199373f15eeedcc2b0aab5be6e3554abe811019
com.nrinaudo	kantan.xpath-laws_2.10	0.1.0		2177218d2d6dcfff5eeeb34b16d7e5e1b753c619
com.nrinaudo	kantan.xpath-laws_2.10	0.1.1		5ee980af2b626328a5d1945d12536554cf286d69
com.nrinaudo	kantan.xpath-laws_2.10	0.1.10		0149b19c0863d5347258dc70c477db3f0e6cb3b0
com.nrinaudo	kantan.xpath-laws_2.10	0.1.2		e9eea1a00d84a7e1641cdf244560475a789a5893
com.nrinaudo	kantan.xpath-laws_2.10	0.1.3		209f37887d0b7aa5e7dd7c5a9ec7ee5df4b23c2b
com.nrinaudo	kantan.xpath-laws_2.10	0.1.4		e91f052c189d403ea31d09baecd5548aee6c6dca
com.nrinaudo	kantan.xpath-laws_2.10	0.1.5		d024b8911efa52629ce3807a5ac1ab88c1d3d387
com.nrinaudo	kantan.xpath-laws_2.10	0.1.6		d45d777b63ebcd2a36de511bd1c2f6a7d30cfa36
com.nrinaudo	kantan.xpath-laws_2.10	0.1.7		1722e6120dead79d39350171d6c0b5b2dcbcdfd9
com.nrinaudo	kantan.xpath-laws_2.10	0.1.8		60999dfb4f4e3eed04fb60f2a65e6ebc81d80d55
com.nrinaudo	kantan.xpath-laws_2.10	0.1.9		1d53cb2ba958cbaab94985847893797949cca74b
com.nrinaudo	kantan.xpath-laws_2.10	0.2.0		7a301eea113d9256eb1aee74ab60990790137879
com.prezi.pride	pride-core	0.10		6e3c88a9684d86e7a51bdffeb6835b4c226d9fa6
com.prezi.pride	pride-core	0.11		fdd6f03b2e7614a76bb23bed2f9bd3df5c79297f
com.prezi.pride	pride-core	0.11-rc-1		2f39679efb55cb3b0bfcb5e2bae8026700abed6b
com.prezi.pride	pride-core	0.12.2		89ec018dc04562c7a6feedd80cba6498436fd975
com.prezi.pride	pride-core	0.12.3		f6d9c1a01eeaaed0fa853d049de985ca3f014b1e
com.salesforce.servicelibs	grpc-contrib	0.6.1		392ecf42a606b3bfb7b4f20e1949f2a787a996fd
com.salesforce.servicelibs	grpc-contrib	0.7.0		0edc9b3b1f43d8056d8200fb11548ab9eb4be91a
com.salesforce.servicelibs	grpc-contrib	0.7.1		038a812edefd444fd3fff5a8686bd262a9bebc0a
com.salesforce.servicelibs	grpc-contrib	0.8.0		4504fb24324b7c35420948fe641a54228ce23235
com.salesforce.servicelibs	grpc-contrib	0.8.1		15f172548a208c43997cb76c3bfea1b26b38e72e
com.sun.xml	jaxws-tools	2.0EA3		0657800db8f8e85a5d642b7e937b122c457655ce
com.tinesoft	gwt-dialogs-showcase	1.0.0		N/A
com.typesafe.play	play-test_2.13.0-M5	2.7.0		c826c8467f67b3cb18932c6ffecdc82d821847a9
com.typesafe.play	play-test_2.13.0-M5	2.7.1		40f28369da5ebdf76a596e75887d9974712c6af9
com.typesafe.play	play-test_2.13.0-M5	2.7.2		6d445b414c8a1f3da0596e34dff9b15fa9a89c0c
com.wizzdi	auditing-service	1.0.1		54d830948467663c4a2145f6b2457bd4a4b5bfd9
cool.klass	klass-maven-archetype	0.1.0		609b872a57a375949410b21acf0f7fb988c9e95d
cool.klass	klass-maven-archetype	0.2.0		dc5063080519d55827c3fb4ec3d113354e505dbd
cool.klass	klass-maven-archetype	0.3.0		cecb3113ce166fcd1de2453cb310a056312b7d12
cool.klass	klass-maven-archetype	0.4.0		fa5984a4b0ec712efb91a3a9dc3fe17c6cb457c6
cool.klass	klass-maven-archetype	0.5.0		138dba73ff0ebc122ff6a2114e44398131441e88
de.hglabor	notify	1.0.2		0a38a31282594831fc7d073ab651b11d480913fc
de.hglabor	notify	1.0.3		08fbacb84593383bf1487cd8d70ea6ac243d7058
de.hglabor	notify	1.0.4		aa7adf8ce227a17d47aacc9bf13d933ee9407727
de.hglabor	notify	1.0.6		710ab2e888dacbbaa8aea9ef981a1888a64ffdfc
de.hglabor	notify	1.1.0		be7f99d7558e53ca9e040cc3cf042e2d2a32564a
de.hglabor	notify	1.1.1		614ea0eb7b51f094460b6024f4c0c3fc5ba93430
de.hglabor	notify	1.1.2		84a94e11cdbb85026e0769bfd810c58326ca698f
de.hglabor	notify	1.1.3		def075ddb206e048fe51d411ff72c5eb90991169
de.hglabor	notify	1.2.2		59953386ee778fd9a37ed213e5e1fc87ef12dd2f
de.hglabor	notify	1.3.0		b9750ee5d14213842925b4940ad995ee4ba0bb68
dev.icerock.moko	mvvm-livedata-mingwx64	0.12.0		N/A
dev.icerock.moko	mvvm-livedata-mingwx64	0.13.0		N/A
dev.icerock.moko	mvvm-livedata-mingwx64	0.13.1		N/A
dev.icerock.moko	mvvm-livedata-mingwx64	0.14.0		N/A
dev.icerock.moko	mvvm-livedata-mingwx64	0.15.0		N/A
dev.icerock.moko	mvvm-livedata-mingwx64	0.16.0		N/A
dev.icerock.moko	mvvm-livedata-mingwx64	0.16.1		N/A
dev.jordond.compass	autocomplete-geocoder-mapbox-wasm-js	0.1.10		N/A
dev.jordond.compass	autocomplete-geocoder-mapbox-wasm-js	1.0.0		N/A
dev.jordond.compass	autocomplete-geocoder-mapbox-wasm-js	1.1.0		N/A
dev.jordond.compass	autocomplete-geocoder-mapbox-wasm-js	1.2.0		N/A
dev.jordond.compass	autocomplete-geocoder-mapbox-wasm-js	1.2.1		N/A
dev.jordond.compass	autocomplete-geocoder-mapbox-wasm-js	1.2.2		N/A
dev.jordond.compass	autocomplete-geocoder-mapbox-wasm-js	1.2.3		N/A
dev.jordond.compass	autocomplete-geocoder-mapbox-wasm-js	1.2.4		N/A
dev.jordond.compass	autocomplete-geocoder-mapbox-wasm-js	2.0.0		N/A
dev.jordond.compass	autocomplete-geocoder-mapbox-wasm-js	2.0.1		N/A
dev.zio	zio-macros_native0.4_3	1.0.16		a3384a9679b8d6f588cac6548ae5d670035421cc
dev.zio	zio-macros_native0.4_3	1.0.17		18e9cd36846c59c37fac7d7d813ecbcce1072e80
dev.zio	zio-macros_native0.4_3	1.0.18		cee3f5ab32492968581f6e3a1cf5bb5b6b72db64
dev.zio	zio-macros_native0.4_3	2.0.1		6fa5d4dff2ffcb13f533716b4dba6792d2c71f3f
