ch.sbb.maven.archetypes	iib9-maven-projects	1.0		53e3f6bbfcdb30e55cd64e1e0a206f77bec9155a
com.alexecollins.docker	docker-java-orchestration-model	2.11.9		c8e4b3490c4d6bb9272628d9cae5a04b2177be30
com.alexecollins.docker	docker-java-orchestration-model	2.2.0		bb72b5ecfc07230ee4b27a384d4d51281009ee70
com.alexecollins.docker	docker-java-orchestration-model	2.3.0		d572cea065b7e5af7fbc3252ef855ffefe497396
com.alexecollins.docker	docker-java-orchestration-model	2.3.1		f657969c0cb37f9e98efcef1666f73bb0999bfd1
com.alexecollins.docker	docker-java-orchestration-model	2.4.0		8009b4a74b4c669d3ac024bd795eb323680c4f92
com.alexecollins.docker	docker-java-orchestration-model	2.5.0		ba821172e7976167d3d79d9bb54f18f951093471
com.alexecollins.docker	docker-java-orchestration-model	2.6.0		389587b8e589a6be23ccf84077e166cfdeca302a
com.alexecollins.docker	docker-java-orchestration-model	2.7.0		d2819d2ae7d283472d442c247eb4ecd7bcf43095
com.alexecollins.docker	docker-java-orchestration-model	2.8.3		15f92c2df1d5d7bb3d8640bb11b5ac37a37dd438
com.alexecollins.docker	docker-java-orchestration-model	2.8.4		f3f2a6f070286465fa39eef683740e7014311cc4
com.alexecollins.docker	docker-java-orchestration-model	2.8.5		8391a2d348647bf309df74a587086073fb932978
com.alexecollins.docker	docker-java-orchestration-model	2.9.0		91195fd35b5290970870399cade1a7bf14ae5a64
com.alexecollins.docker	docker-java-orchestration-model	2.9.1		81f7aa61472c0d0b7144e7e6579ae78ddf44f0c8
com.alexecollins.docker	docker-java-orchestration-model	2.9.2		a0aa35ce8ab07c4b65b3ce04a847e1e0853f6365
com.alexecollins.docker	docker-java-orchestration-model	2.9.3		16e0a982cb29b5dbec7d9b0a1f7b34b82ca89acb
com.anrisoftware.globalpom	globalpomutils-reflection	2.10		01240a131f7c3a7274b5045fc7bdaef816aa122d
com.anrisoftware.globalpom	globalpomutils-reflection	2.11		b4c0fff22c56cdc22c9fc3802a2d7a9a1242adad
com.anrisoftware.globalpom	globalpomutils-reflection	2.12		3fc67d24235b5958a5174328f0679fd8c1514fb9
com.anrisoftware.globalpom	globalpomutils-reflection	2.13		8b781860e51023581c62da6cd6718bbe6c30d5d2
com.anrisoftware.globalpom	globalpomutils-reflection	2.14		50efb70db0197698a76c10e98c977be0569a9e18
com.anrisoftware.globalpom	globalpomutils-reflection	2.2		aa6a46932f51bf31b2ea8a30914b6f1e79305e86
com.anrisoftware.globalpom	globalpomutils-reflection	2.3		543109b93d8e6f5c4ddb4be598c7ff8710d69eb5
com.anrisoftware.globalpom	globalpomutils-reflection	2.9		33738b92435c0eaf9c2bed85d2e97af2a8988537
com.anrisoftware.globalpom	globalpomutils-reflection	3.0		62f94b661afa33cc3217f0b1d5a1f6dd35264e37
com.anrisoftware.globalpom	globalpomutils-reflection	3.1		dc21bca4f92494c072c2d0f391b085310d2b6123
com.anrisoftware.globalpom	globalpomutils-reflection	4.5.0		f9d094d0571eadbf959308843c6ae1cab58794a1
com.anrisoftware.globalpom	globalpomutils-reflection	4.5.1		3441a643165f872e50f085eac612fb5de112ff1e
com.anrisoftware.globalpom	globalpomutils-reflection	4.5.2		1e8436eef80a5eff36fcfd393389632918a52322
com.anrisoftware.globalpom	globalpomutils-reflection	4.6.0		99f4b0992353fe6e9dbdc4dfdede84ab27897d90
com.anrisoftware.globalpom	globalpomutils-reflection	4.6.1		c39c3dbac5e184458e55e01aafb67ca32598d855
com.anrisoftware.globalpom	globalpomutils-reflection	4.6.2		1ed5d89bbc7adfd8058861ba773387c69f799488
com.anrisoftware.globalpom	globalpomutils-reflection	4.6.3		fdebaf1863f44e053fae9544abb349a1e9d7f50b
com.anrisoftware.globalpom	globalpomutils-reflection	4.7.0		04952c918486abca5ee39454f610a36b32da321f
com.anrisoftware.globalpom	globalpomutils-reflection	4.8.0		af4614a2c6d527d7fc0ab7daae03baf3fb5a292f
com.armanbilge	fs2-io_sjs1_3	3.0-134-b2d8d32		e444f4149d8fb2ae9fcb5081eab916d87d7985d4
com.armanbilge	fs2-io_sjs1_3	3.0-135-4e7a1a7		b5d1ab58c5523cf088956edc50e1bc0f0302073a
com.armanbilge	fs2-io_sjs1_3	3.0-136-4a257e0		9e75bb99610cec9c3831193d74fc52bcd691a201
com.codbex.kronos	kronos-releng-kyma	0.1.0		N/A
com.codbex.kronos	kronos-releng-kyma	0.1.1		N/A
com.codbex.kronos	kronos-releng-kyma	0.1.2		N/A
com.codbex.kronos	kronos-releng-kyma	0.1.3		N/A
com.computinglaboratory	fileswatcher	0.1		e5c9edb00dfc3b2fefe0dddb44085f6166989ee9
com.computinglaboratory	fileswatcher	0.3		7ac32bbdec9eade2e7ade7d22b0054d3fd041307
com.connorgarvey.gradle	gradle-grails-wrapper	0.3		ffe4910c952e2e2d4ac8a03b1ed7fcb1a83afaf8
com.connorgarvey.gradle	gradle-grails-wrapper	0.4		a35c0f83d35a584f6743f6f52a46c42ade9756e4
com.connorgarvey.gradle	gradle-grails-wrapper	0.4.1		18c33e450440fc3beb75dd6ff898a7e71dbdf876
com.connorgarvey.gradle	gradle-grails-wrapper	1.0		8f265906128741cec17d0f5a98641979dc5c9aa2
com.connorgarvey.gradle	gradle-grails-wrapper	1.0.1		e872cdc015a4a9098d661dc13ab6dc6681f27ce0
com.dimajix.flowman	flowman-plugin-sftp	0.28.0		2f40dc26a81db5a661acdc1e236b79c0eb0fdce4
com.dimajix.flowman	flowman-plugin-sftp	0.28.0-cdh6-spark2.4-hadoop3.0		2765cc124113f7a3a329618d6d9b9ab95a62ec9b
com.dimajix.flowman	flowman-plugin-sftp	0.28.0-cdp7-spark2.4-hadoop3.1		ca946480f8cc9ed32c46f63bf4c9781ad5b6acd0
com.dimajix.flowman	flowman-plugin-sftp	0.28.0-oss-spark2.4-hadoop2.6		6bdd3a09b04965d60c6beffc408db07a4fb007bb
com.dimajix.flowman	flowman-plugin-sftp	0.28.0-oss-spark2.4-hadoop2.7		48cf1107ed8b87ef693e3f933ad5f48179f92cc1
com.dimajix.flowman	flowman-plugin-sftp	0.28.0-oss-spark3.0-hadoop2.7		fc46356e29c4587100ff05039ad533abe9c0d63b
com.dimajix.flowman	flowman-plugin-sftp	0.28.0-oss-spark3.0-hadoop3.2		f865c9bea67033a3c9678b2b96fcd45619c198e4
com.dimajix.flowman	flowman-plugin-sftp	0.28.0-oss-spark3.1-hadoop2.7		1a9893eb0a400a57129997b078f997c9a5c58621
com.dimajix.flowman	flowman-plugin-sftp	0.28.0-oss-spark3.1-hadoop3.2		403630e4ccda3d3b54023765ebfd8864776329ca
com.dimajix.flowman	flowman-plugin-sftp	0.28.0-oss-spark3.2-hadoop2.7		8b778af8ae27e555543da1a7c35be2587ba49082
com.dimajix.flowman	flowman-plugin-sftp	0.28.0-oss-spark3.2-hadoop3.3		3aff57cdb53f174f6a90f8144d56a370bad689a5
com.dimajix.flowman	flowman-plugin-sftp	0.28.0-oss-spark3.3-hadoop2.7		db712aa864dfd1c397c056bbd261b71c51652d99
com.dimajix.flowman	flowman-plugin-sftp	0.28.0-oss-spark3.3-hadoop3.3		5ba24706c48f0e0d2c897dd7b13062ec186f1448
com.dimajix.flowman	flowman-plugin-sftp	0.29.0		45308812e7f1618a117dc04a91981a9fc4dd4374
com.dimajix.flowman	flowman-plugin-sftp	0.29.0-cdh6-spark2.4-hadoop3.0		3def29a7a2abbe8d9a87de4e50c676a6acc4d974
com.dimajix.flowman	flowman-plugin-sftp	0.29.0-cdp7-spark2.4-hadoop3.1		8d6bf69cbe40dfb8fa95465592b6e86e7b9f621a
com.dimajix.flowman	flowman-plugin-sftp	0.29.0-emr6.8-spark3.3-hadoop3.2		2432357f2de2c01d94f9f55660cabcf24f8a1ad1
com.dimajix.flowman	flowman-plugin-sftp	0.29.0-oss-spark2.4-hadoop2.6		7e99abc5d563de59426dbc6c1f5e73ea8f3df4f8
com.dimajix.flowman	flowman-plugin-sftp	0.29.0-oss-spark2.4-hadoop2.7		c6460814f7ad295a4560f80a8f3d1b2bdfd29d86
com.dimajix.flowman	flowman-plugin-sftp	0.29.0-oss-spark3.0-hadoop2.7		121422ed12be9ba79b2b8e91db835c0a11de83c6
com.dimajix.flowman	flowman-plugin-sftp	0.29.0-oss-spark3.0-hadoop3.2		afb6546f5b221273838ba5449817070d7cd74aa7
com.dimajix.flowman	flowman-plugin-sftp	0.29.0-oss-spark3.1-hadoop2.7		4b32320abcc4b0694ebc23439dc95a7f24da6b84
com.dimajix.flowman	flowman-plugin-sftp	0.29.0-oss-spark3.1-hadoop3.2		fe26a23611d933ae069dcd40cbf604e287022e3a
com.dimajix.flowman	flowman-plugin-sftp	0.29.0-oss-spark3.2-hadoop2.7		f4dda1fb0f2a1a533d39d21118fb6a6d24515a78
com.dimajix.flowman	flowman-plugin-sftp	0.29.0-oss-spark3.2-hadoop3.3		d4c5131863ea30503ad980b899db7ac36510f34e
com.dimajix.flowman	flowman-plugin-sftp	0.29.0-oss-spark3.3-hadoop2.7		e0756c9d59dcc85a3c586091f88869a225d0c36c
com.dimajix.flowman	flowman-plugin-sftp	0.29.0-oss-spark3.3-hadoop3.3		77f55cdc6f6cc26c50ee626c8d22e1671caefa65
com.dimajix.flowman	flowman-plugin-sftp	0.30.0		218bfeac1233d5fca9c113cbf7eae31ab61cf954
com.dimajix.flowman	flowman-plugin-sftp	0.30.0-cdh6-spark2.4-hadoop3.0		722c6035484e6018321c24114f5fdece55aa4928
com.dimajix.flowman	flowman-plugin-sftp	0.30.0-cdp7-spark2.4-hadoop3.1		69c4a0220ac52553d8e6c0a15b8509df750fd652
com.dimajix.flowman	flowman-plugin-sftp	0.30.0-cdp7-spark3.2-hadoop3.1		befed78085406911ee668ad9d99e39815556fc23
com.dimajix.flowman	flowman-plugin-sftp	0.30.0-emr6.9-spark3.3-hadoop3.3		96245127f9b1011555aef713def75e95c5e6f3e6
com.dimajix.flowman	flowman-plugin-sftp	0.30.0-oss-spark2.4-hadoop2.6		d7c04485efa205e1aa0bf66360a11f48a3495094
com.dimajix.flowman	flowman-plugin-sftp	0.30.0-oss-spark2.4-hadoop2.7		66a7ba67be9e79c902c5671d9b9e8280a8296a29
com.dimajix.flowman	flowman-plugin-sftp	0.30.0-oss-spark3.0-hadoop2.7		303a4f821fc8b4bfa0455290091f1cb8f3d871c2
com.dimajix.flowman	flowman-plugin-sftp	0.30.0-oss-spark3.0-hadoop3.2		33f6b99c70b11797609d1bfdb5e918fdd4c2ba66
com.dimajix.flowman	flowman-plugin-sftp	0.30.0-oss-spark3.1-hadoop2.7		e355bf83f2eae6ce6c956146ea296b08758f9c1a
com.dimajix.flowman	flowman-plugin-sftp	0.30.0-oss-spark3.1-hadoop3.2		e97843791b255d4285edbd5d98c9c27b75bf4d71
com.dimajix.flowman	flowman-plugin-sftp	0.30.0-oss-spark3.2-hadoop2.7		f630ccc1184331264b131006cd488866574172b0
com.dimajix.flowman	flowman-plugin-sftp	0.30.0-oss-spark3.2-hadoop3.3		5ab552238aca45c632d78371387679a639250a0d
com.dimajix.flowman	flowman-plugin-sftp	0.30.0-oss-spark3.3-hadoop2.7		a2760aac44d43bd8ff813f96649edadda6eecd67
com.dimajix.flowman	flowman-plugin-sftp	0.30.0-oss-spark3.3-hadoop3.3		035d0d34d74c86864cd167d785fd2bd14f2928e7
com.dimajix.flowman	flowman-plugin-sftp	1.0.0		731844a8f890b554c148107c9c07134691707d8e
com.dimajix.flowman	flowman-plugin-sftp	1.0.0-cdh6-spark2.4-hadoop3.0		9321a39b444ca39e20baa069f6b145c2deb344b1
com.dimajix.flowman	flowman-plugin-sftp	1.0.0-cdp7-spark2.4-hadoop3.1		03032a2a84fa2906040f78e7f605795dac4d807b
com.dimajix.flowman	flowman-plugin-sftp	1.0.0-cdp7-spark3.2-hadoop3.1		cdb236979f587330a0ab3bbce88aabdea6a4c37b
com.dimajix.flowman	flowman-plugin-sftp	1.0.0-cdp7-spark3.3-hadoop3.1		e54c0561dc3b312c40ca0e908d1e517c1d4e8d19
com.dimajix.flowman	flowman-plugin-sftp	1.0.0-emr6.10-spark3.3-hadoop3.3		e2887a4e3ee94df677120425c13e99fca404ea05
com.dimajix.flowman	flowman-plugin-sftp	1.0.0-oss-spark2.4-hadoop2.6		bb8f3bf134e11801a62c61d725c6b6e5f21dbcdf
com.dimajix.flowman	flowman-plugin-sftp	1.0.0-oss-spark2.4-hadoop2.7		975397b1347365ed595b7a9a1c1574d28366d180
com.dimajix.flowman	flowman-plugin-sftp	1.0.0-oss-spark3.0-hadoop2.7		467cf6a9991dacf147793d3695e97765f3fb04cf
com.dimajix.flowman	flowman-plugin-sftp	1.0.0-oss-spark3.0-hadoop3.2		514bb124f2e85d8469dfa70185dfbdeb5e0821db
com.dimajix.flowman	flowman-plugin-sftp	1.0.0-oss-spark3.1-hadoop2.7		d05a10802d631b000bc14784d1b6c0d9178eef24
com.dimajix.flowman	flowman-plugin-sftp	1.0.0-oss-spark3.1-hadoop3.2		c5fb8776cd9abaa25d12fa160747bbf71fdbaa4d
com.dimajix.flowman	flowman-plugin-sftp	1.0.0-oss-spark3.2-hadoop2.7		debd5df8e1daab23311f33c051a35c0a7476e6cc
com.dimajix.flowman	flowman-plugin-sftp	1.0.0-oss-spark3.2-hadoop3.3		dc9c930b134ddc17edc7b5d073f2867199c28d24
com.dimajix.flowman	flowman-plugin-sftp	1.0.0-oss-spark3.3-hadoop2.7		a22e05d21e009c8020ad86e7170b26f068a5447c
com.dimajix.flowman	flowman-plugin-sftp	1.0.0-oss-spark3.3-hadoop3.3		5ef1cf498e921171b7500420698d160347c34175
com.dimajix.flowman	flowman-plugin-sftp	1.0.0-synapse3.3-spark3.3-hadoop3.3		0e11ae22aec0b449ba9acc054743d9909e9176a0
com.dimajix.flowman	flowman-plugin-sftp	1.1.0		a2496a5d09bc67a773b7aee6b3ea23d869e71977
com.dimajix.flowman	flowman-plugin-sftp	1.1.0-cdh6-spark2.4-hadoop3.0		f7480c7c3163069c094313a2d98a5d5323978500
com.dimajix.flowman	flowman-plugin-sftp	1.1.0-cdp7-spark2.4-hadoop3.1		19ab7c7d41b02d470ce0c4d928db2b517e3f91ae
com.dimajix.flowman	flowman-plugin-sftp	1.1.0-cdp7-spark3.2-hadoop3.1		97bf7bbf2f009bf46e3eceb594ccf81996810d63
com.dimajix.flowman	flowman-plugin-sftp	1.1.0-cdp7-spark3.3-hadoop3.1		5b35b3c96cdddb4284873165bc2f332825c2da46
com.dimajix.flowman	flowman-plugin-sftp	1.1.0-emr6.12-spark3.4-hadoop3.3		9c911218f5e81b34e116d9e2a1b53c97c97df948
com.dimajix.flowman	flowman-plugin-sftp	1.1.0-oss-spark2.4-hadoop2.6		b3bd947929f6cc584683788d8d4875d6f3ca0eee
com.dimajix.flowman	flowman-plugin-sftp	1.1.0-oss-spark2.4-hadoop2.7		d779977682d15dbc23c96ebdf33b2f89d36bb47e
com.dimajix.flowman	flowman-plugin-sftp	1.1.0-oss-spark3.0-hadoop2.7		da7d378aea1e86500740076b3900852934aca3f8
com.dimajix.flowman	flowman-plugin-sftp	1.1.0-oss-spark3.0-hadoop3.2		29651db5b819017d9f0b6d07846ba12546485a7c
com.dimajix.flowman	flowman-plugin-sftp	1.1.0-oss-spark3.1-hadoop2.7		1bb5cad6311f0d6e3d71b3bf8ac32f1f314bf3eb
com.dimajix.flowman	flowman-plugin-sftp	1.1.0-oss-spark3.1-hadoop2.7-oss-spark3.1-hadoop2.7-oss-spark3.1-hadoop2.7		59af73a3f2c6f725dbc7855cd626da786edf3db3
com.dimajix.flowman	flowman-plugin-sftp	1.1.0-oss-spark3.1-hadoop3.2		3f77872b0b643ae591a68787a913c6f3c1df88aa
com.dimajix.flowman	flowman-plugin-sftp	1.1.0-oss-spark3.2-hadoop2.7		16af852364acbf4bc4934400430e053ff50f5686
com.dimajix.flowman	flowman-plugin-sftp	1.1.0-oss-spark3.2-hadoop3.3		74e3e37617d0757440c7f0652c17339a92cfaef8
com.dimajix.flowman	flowman-plugin-sftp	1.1.0-oss-spark3.3-hadoop2.7		71f691ea3261f787ecf7b6120c3ce041a03cc43e
com.dimajix.flowman	flowman-plugin-sftp	1.1.0-oss-spark3.3-hadoop3.3		655491fab9ce7ac9f6f23c86e88a0f835dafd8ae
com.dimajix.flowman	flowman-plugin-sftp	1.1.0-oss-spark3.4-hadoop3.3		689161f93a0c17e8206c9b95774011c3f6db2a2b
com.dimajix.flowman	flowman-plugin-sftp	1.1.0-synapse3.3-spark3.3-hadoop3.3		045149109099cf95a443dafda2fab30fabb105c6
com.dimajix.flowman	flowman-plugin-sftp	1.2.0		6a4866521959e073f1bf2c4fd2dc389bebc19d5a
com.dimajix.flowman	flowman-plugin-sftp	1.2.0-cdh6-spark2.4-hadoop3.0		c3175f57a4d9d5cda3ffd324a1186c1b5aaf7bef
com.dimajix.flowman	flowman-plugin-sftp	1.2.0-cdp7-spark2.4-hadoop3.1		4725d6be20e130b935f99fad204d2ae633569d18
com.dimajix.flowman	flowman-plugin-sftp	1.2.0-cdp7-spark3.2-hadoop3.1		ae0bf79ff8dcdb782238ed179ed3b6d9b2b8964d
com.dimajix.flowman	flowman-plugin-sftp	1.2.0-cdp7-spark3.3-hadoop3.1		b2cfa66675187cc48771598afea6667d495cb945
com.dimajix.flowman	flowman-plugin-sftp	1.2.0-emr6.12-spark3.4-hadoop3.3		cda4095eb8d83fe6531d70a6e02668989aee316e
com.dimajix.flowman	flowman-plugin-sftp	1.2.0-oss-spark2.4-hadoop2.6		57945c977125dd7e00a694d7923ae8f526c1ba3c
com.dimajix.flowman	flowman-plugin-sftp	1.2.0-oss-spark2.4-hadoop2.7		b125572c90a49ea9cd15f3841a5decb95619db97
com.dimajix.flowman	flowman-plugin-sftp	1.2.0-oss-spark3.0-hadoop2.7		c419123c3ead4eac125e71114743061c0f77bf57
com.dimajix.flowman	flowman-plugin-sftp	1.2.0-oss-spark3.0-hadoop3.2		ff63865ae409448cc1bf726ef3d787856f3780e5
com.dimajix.flowman	flowman-plugin-sftp	1.2.0-oss-spark3.1-hadoop2.7		5492470637d8eacd71da71c3888bd3de53a6d1cf
com.dimajix.flowman	flowman-plugin-sftp	1.2.0-oss-spark3.1-hadoop3.2		4cb3639505eec6c4ec70669d9f58f77dc6da519f
com.dimajix.flowman	flowman-plugin-sftp	1.2.0-oss-spark3.2-hadoop2.7		164b23b8904d06efbe20feb4e43d99d22ad975ca
com.dimajix.flowman	flowman-plugin-sftp	1.2.0-oss-spark3.2-hadoop3.3		c2466656c273a9476bef5aa9b50692b32966f883
com.dimajix.flowman	flowman-plugin-sftp	1.2.0-oss-spark3.3-hadoop2.7		67a2f5458a7cab8723d77414aaf170d5055c631b
com.dimajix.flowman	flowman-plugin-sftp	1.2.0-oss-spark3.3-hadoop3.3		4774ea3afa9a49def2eaa0216294dce5bae697ed
com.dimajix.flowman	flowman-plugin-sftp	1.2.0-oss-spark3.4-hadoop3.3		d0e9186f49ed03767644e6d917530cb3800e59ef
com.dimajix.flowman	flowman-plugin-sftp	1.2.0-oss-spark3.5-hadoop3.3		3eb31a09cd0083e151434e692f44ed85a57fc933
com.dimajix.flowman	flowman-plugin-sftp	1.2.0-synapse3.3-spark3.3-hadoop3.3		435544732ac974b9c3f4612097d96400da961006
com.emsoft	emsoft-data-hibernate	1.0.0		ae8cbfe954ae3f10f363fdf7a644317eb246e138
com.emsoft	emsoft-data-hibernate	1.1.0		e1d43a24d61066e6bb349241e33ef3a6c71bfd4f
com.github.adedayo.eclipse.sdk	org.eclipse.equinox.launcher.win32.win32.x86_64	1.1.300		7fb977d85e6aebac972c1e2781ba76778c466bca
com.github.cowwoc.requirements	requirements-guava	11.0		39068f9db7c00680f9ba4e798e304eb10413dc6b
com.hotels.road	road-parent	6.0.1		N/A
com.hotels.road	road-parent	6.0.10		N/A
com.hotels.road	road-parent	6.0.11		N/A
com.hotels.road	road-parent	6.0.12		N/A
com.hotels.road	road-parent	6.0.13		N/A
com.hotels.road	road-parent	6.0.14		N/A
com.hotels.road	road-parent	6.0.15		N/A
com.hotels.road	road-parent	6.0.16		N/A
com.hotels.road	road-parent	6.0.17		N/A
com.hotels.road	road-parent	6.0.18		N/A
com.hotels.road	road-parent	6.0.2		N/A
com.hotels.road	road-parent	6.0.20		N/A
com.hotels.road	road-parent	6.0.21		N/A
com.hotels.road	road-parent	6.0.3		N/A
com.hotels.road	road-parent	6.0.4		N/A
com.hotels.road	road-parent	6.0.5		N/A
com.hotels.road	road-parent	6.0.6		N/A
com.hotels.road	road-parent	6.0.7		N/A
com.hotels.road	road-parent	6.0.8		N/A
com.hotels.road	road-parent	6.0.9		N/A
com.huaweicloud.dubbo-servicecomb	dubbo-servicecomb	0.0.1		N/A
com.huaweicloud.dubbo-servicecomb	dubbo-servicecomb	1.1.0		N/A
com.huaweicloud.dubbo-servicecomb	dubbo-servicecomb	1.1.1		N/A
com.huaweicloud.dubbo-servicecomb	dubbo-servicecomb	1.1.2		N/A
com.huaweicloud.dubbo-servicecomb	dubbo-servicecomb	1.1.3		N/A
com.huaweicloud.dubbo-servicecomb	dubbo-servicecomb	1.3.0		N/A
com.huaweicloud.dubbo-servicecomb	dubbo-servicecomb	1.3.1		N/A
com.huaweicloud.dubbo-servicecomb	dubbo-servicecomb	1.3.2		N/A
com.huaweicloud.dubbo-servicecomb	dubbo-servicecomb	1.3.3		N/A
