br.com.objectos.finos	cvm	0.1.0		N/A
ch.epfl.lamp	dotty-compiler_0.22	0.22.0-bin-20200127-f00fa72-NIGHTLY		3368b271c696924dea660e8a3c1ed114d75b5ca9
ch.epfl.lamp	dotty-compiler_0.22	0.22.0-bin-20200128-e7a0f80-NIGHTLY		46d24435a1dfe97996c754f090d617c997e56d91
ch.epfl.lamp	dotty-compiler_0.22	0.22.0-bin-20200129-c1612fa-NIGHTLY		352fe3d71f21939fc1ea5e52b886164460181773
ch.epfl.lamp	dotty-compiler_0.22	0.22.0-bin-20200201-c4c847f-NIGHTLY		332df3cdae43634f8728a466884b8c1a5e3e0b13
ch.epfl.lamp	dotty-compiler_0.22	0.22.0-bin-20200202-c2478a3-NIGHTLY		abf68fdb5fbddbfb4f8af0f486aee0ebe5fff75d
ch.epfl.scala	bloop-native-bridge-0-5_2.12	1.5.16		f57ab911e1bb50de4c5853e1036d52cbd72a97ad
ch.epfl.scala	bloop-native-bridge-0-5_2.12	1.5.17		b232285ced345cab804411104de2e76c5ceb9356
ch.epfl.scala	bloop-native-bridge-0-5_2.12	1.5.18		87a29c8c4c5b8f53206744e99fa1b6c353e071a7
ch.epfl.scala	bloop-native-bridge-0-5_2.12	1.6.0		b179c059efc67c0a0827355db20f8264e717a0ff
ch.epfl.scala	bloop-native-bridge-0-5_2.12	2.0.0		c5a39fc4f0b25153afc95733ce5266298764791c
ch.epfl.scala	bloop-native-bridge-0-5_2.12	2.0.0-RC1		a660c1f28a0d4f18baea50cfd97068647e620730
ch.epfl.scala	bloop-native-bridge-0-5_2.12	2.0.1		9be26f42f26263a7f383aa7076e2395b6bceb55d
ch.epfl.scala	bloop-native-bridge-0-5_2.12	2.0.2		35b0ffe41ee0d53573c220c4341493af70169f75
ch.epfl.scala	bloop-native-bridge-0-5_2.12	2.0.3		40207a913f590547589c63919e8dfdee389b3c28
ch.epfl.scala	bloop-native-bridge-0-5_2.12	2.0.4		d059048d691fca34c9912808c2e55df05fe63c90
ch.epfl.scala	bloop-native-bridge-0-5_2.12	2.0.5		bd9bbd6f73ef5b734903ad22f7bf648914f0be7b
ch.epfl.scala	bloop-native-bridge-0-5_2.12	2.0.6		792570c49c70d87e72dd34bfb38f1e78ef6f4a38
ch.epfl.scala	bloop-native-bridge-0-5_2.12	2.0.7		28a0fd897fe080df14b47edfe11298cdb04d02ea
ch.epfl.scala	bloop-native-bridge-0-5_2.12	2.0.8		b83450cb14222e514b354cf39642a8d13bf5ab71
ch.epfl.scala	bloop-native-bridge-0-5_2.12	2.0.9		2b0520dc17347388c5413b1c625899c173c92625
com.amdelamar	jhash	2.2.0		94e11232ed327c3e7c74d7845f4abb3759ebaa75
com.cedarsoft.wicket	components	1.1		deeb54f10baeb1b744749853ebd9bf6feaee596d
com.cedarsoft.wicket	components	1.1.1		3e4e629154d654a84c7b3ada1a9bbf386ebcdb14
com.cedarsoft.wicket	components	1.1.2		3a6944d31007aa14001d4bbc92af72cd18d526d3
com.cedarsoft.wicket	components	1.2.0		ae172c7849ac62adaaa8fec5f73c7a0c812c6e4f
com.cedarsoft.wicket	components	1.2.1		b61f0d5a3c6f5d6cbec4a200584084c4cdfc94b9
com.cedarsoft.wicket	components	1.2.2		255f99ed719723b4a77765061d9e788d171111a9
com.ethlo.clackshack	clackshack	1.0.0		9ce697ee4b5fc079c5754186044c0bbe550cc819
com.ethlo.clackshack	clackshack	1.0.1		821ea4c96bd867bda61534d684ff925dd02acdab
com.ethlo.clackshack	clackshack	1.0.2		05db9f772996bfb1a112b4f873d78b01e3ef8a5d
com.ethlo.clackshack	clackshack	2.0.0		ab153827525f8b12b02568f0dd9721055eaf5f11
com.ethlo.clackshack	clackshack	2.1.0		d92a9cee5df4b328ab1f9ad35f417b48a6669937
com.ethlo.clackshack	clackshack	2.1.1		766c64d1ad8492c80b22a81718a67c622bf01207
com.ethlo.clackshack	clackshack	3.0.0		3493eff94a02c41996232e632a960570bc8b697f
com.ethlo.clackshack	clackshack	3.0.1		aba223a5bbfbc4154936e5de461a023fe1ec8831
com.ethlo.clackshack	clackshack	3.1.0		2c5665b86a23873e24b8ee7be0d2f91032d34344
com.ethlo.clackshack	clackshack	3.2.0		3132e2cd128050eb9fead322cfa1e1987d96e6ee
com.ethlo.clackshack	clackshack	4.0.0		8e61da3ec502d2bb0469f876e131008365c8702f
com.ethlo.clackshack	clackshack	4.0.1		fa92ee1397d79fa195b7b4eb383eb375687d95ac
com.ethlo.clackshack	clackshack	4.1.0		85b8efe6aa855808f2e5c3b173f46a79b7feb710
com.ethlo.clackshack	clackshack	4.2.0		8cb33846bbc4737cf72ce51b2b4c0c3922378077
com.facebook.presto	presto-kudu	0.209		925214ce06208d9b8aab09b9953237a16c814476
com.facebook.presto	presto-kudu	0.210		4fde60b9a87ecee342e7ed9418c7c1ee1ec7f019
com.facebook.presto	presto-kudu	0.211		38a9785ba219e635ec9bd8979592605a830e5068
com.facebook.presto	presto-kudu	0.212		439aac15ed359211d028e99e0c7581a1497d255d
com.facebook.presto	presto-kudu	0.213		5e85c93271481d67b8549cbb1061e7def5327bf3
com.facebook.presto	presto-kudu	0.214		4b596b05a09030bd6ef3c48a593c0ae06a34ac88
com.facebook.presto	presto-kudu	0.215		7472641b2911407a24ad2d761e4dd64c41c40c0a
com.facebook.presto	presto-kudu	0.216		396d1a9c408af9791a7feac0c1a6d3988c0f1b2f
com.facebook.presto	presto-kudu	0.217		fe01225cbeec52d7722060ab61e2ede214969ec5
com.facebook.presto	presto-kudu	0.218		e5aff987d7e43fbd962721aec9f021762a823fe6
com.facebook.presto	presto-kudu	0.219		1c009b552217e87d9221b32de4e157c98e16c771
com.facebook.presto	presto-kudu	0.220		af821460d3c46bdee873f00afb1e4ea40675ea77
com.facebook.presto	presto-kudu	0.221		94f9288af81289473c4ebbe3a938a5fd67d30a1c
com.facebook.presto	presto-kudu	0.222		bad2434f44bde6aa02633c73845ee6d3ce09c366
com.facebook.presto	presto-kudu	0.223		395ec11c01550485ada83a01cd630a4a852a0609
com.facebook.presto	presto-kudu	0.223.1		6c99ef497e6a96792134c716c5a7553f64cb2cf4
com.facebook.presto	presto-kudu	0.224		36b27133e39b6658f7b18dc8a37d81558ff01171
com.facebook.presto	presto-kudu	0.225		6c9f2fb1580f156d701c7bf3bfd6254edb3b2e07
com.facebook.presto	presto-kudu	0.226		c6b2e25a23cabe275e6ba093aaee5e1ae028dde0
com.facebook.presto	presto-kudu	0.227		d407a3caef2509221c9562316afff2be6a9935da
com.facebook.presto	presto-kudu	0.228		c442581f0c52b69f6eaaf7d9027ba4ca11f8e8d4
com.facebook.presto	presto-kudu	0.229		7b25ba129de4a5cfd7f356daa74800b01c4d0fb2
com.facebook.presto	presto-kudu	0.230		ed163756fbc1d7b151128dfe63cbd24640ce9717
com.facebook.presto	presto-kudu	0.231		00e6b9dcd0fd1b9798e6debf87fdce863037a413
com.facebook.presto	presto-kudu	0.231.1		41dee7d14796b6cd47f58b609353cdcb998f96c0
com.facebook.presto	presto-kudu	0.232		292f319dcf19a29a63371717b90d5651f872be51
com.facebook.presto	presto-kudu	0.233		61f6ec4c6acebeabacae76641cc00628c118de6f
com.facebook.presto	presto-kudu	0.233.1		5e512d5f5d7c7608e8b2ef812a4ad73430d7de29
com.facebook.presto	presto-kudu	0.234		58b37020328fafe34a0f9b8a5e68bd8f4e244ecb
com.facebook.presto	presto-kudu	0.234.1		1e8d518101a9e73ba466bd79d6334daf17907dde
com.facebook.presto	presto-kudu	0.234.2		ba28f032ced0ba4abdf53e239619a31367247e9d
com.facebook.presto	presto-kudu	0.234.3		b35df36c538ddfa5e902030dbbd5713e2e99094c
com.facebook.presto	presto-kudu	0.235		c5ff022a2b8129597223f5fa4d2c966382a6179e
com.facebook.presto	presto-kudu	0.235.1		f046d68a1cdcbb80ba565ef640a22b114244b166
com.facebook.presto	presto-kudu	0.236		30772094aca9fa0259834a932aedabd4f64803a1
com.facebook.presto	presto-kudu	0.236.1		300a04b1c2618118a8b9c04d8e78fcca0a8ff6d1
com.facebook.presto	presto-kudu	0.237		3207c995d7b271d184a6447141780345668feda8
com.facebook.presto	presto-kudu	0.237.1		0d8a33fcafb092249d3877ee5d0177317338d0d5
com.facebook.presto	presto-kudu	0.237.2		421a5c9c5d138a17822d562674c16153ceb1331e
com.facebook.presto	presto-kudu	0.238		4e841f6b61bb8168bec909c946674f92d3b0946f
com.facebook.presto	presto-kudu	0.238.1		81b5476c8428666ee677870c417fde51448537cd
com.facebook.presto	presto-kudu	0.238.2		e01db447e54656abae2e52edb87a9f28fc1892a3
com.facebook.presto	presto-kudu	0.239		e32161323e9506766f41ce0ce5df703caec4e3b6
com.facebook.presto	presto-kudu	0.239.1		d8ac4ec672b914290fd53c0a79c378948a680024
com.facebook.presto	presto-kudu	0.239.2		c8e78029472de1fccd1ff629e80d45ab73a2b7d5
com.facebook.presto	presto-kudu	0.239.3		9382ba425e466b6f73284b698bebd04d6d590b4c
com.facebook.presto	presto-kudu	0.240		3a11b29b3b99be9da8d44d32a1d17951f059471b
com.facebook.presto	presto-kudu	0.240.1		604311522a558ec39198288d56a67c854333ba5f
com.facebook.presto	presto-kudu	0.241		6226c94f52b2992aaa3ae11a77450edbc8e9adc6
com.facebook.presto	presto-kudu	0.242		ac0c1e7a59d53a02cf034471fe854e073245849a
com.facebook.presto	presto-kudu	0.242.1		6e827b4f8182f8514aebca19fea3b47fe1589761
com.facebook.presto	presto-kudu	0.243		103bd8bf7e7d63ffdf79e33fd34f44b6b923d4fa
com.facebook.presto	presto-kudu	0.243.1		3de9e0327372252b8f1f5a16d3247b7a71207e10
com.facebook.presto	presto-kudu	0.243.2		fa3e1d698e76f5a3fe0ce32782a6d8084d2f3b88
com.facebook.presto	presto-kudu	0.243.3		9dd434dc37c1153e4d570738b9f7b9c5d7111618
com.facebook.presto	presto-kudu	0.243.4		fd2fc6ca94ae30f0e36f32e783260695c41531da
com.facebook.presto	presto-kudu	0.244		f45b4fdd0119a015b6fcec2a0bed30752cb54e27
com.facebook.presto	presto-kudu	0.244.1		ef45ec1df5a3977cba086f0f46ee64c10344a997
com.facebook.presto	presto-kudu	0.245		030a1363b722d094b6f2e7ae634664951b35ed9e
com.facebook.presto	presto-kudu	0.245.1		179370c8ea9dd28a4a8eb4debf5be2de9b621230
com.facebook.presto	presto-kudu	0.246		f0d015844183184b88eb685a1903c0b438c4e328
com.facebook.presto	presto-kudu	0.247		835896fe5f38b224c7c523a87c44e2a817fa6000
com.facebook.presto	presto-kudu	0.248		356520a1f2c3e20ea5343dbe4b1f692da66e57a2
com.facebook.presto	presto-kudu	0.248.1		89f7b094c13711cdc682f50913fd88ebc433bfd1
com.facebook.presto	presto-kudu	0.249		bdf51b471e223e522bfa0f35133c227b6e9f2368
com.facebook.presto	presto-kudu	0.249.1		54eed46ca7847ffcf8334d54f44cebe077200b0e
com.facebook.presto	presto-kudu	0.250		add39295cca967687d74c16b0d9e955ee4d6a153
com.facebook.presto	presto-kudu	0.251		bcc13ecdfe51bba12d66c89aa166f1d9af32e108
com.facebook.presto	presto-kudu	0.251.1		7d4ce771618d44a0ee337c7254f684f6817bfbe8
com.facebook.presto	presto-kudu	0.252		f2dacb71daec6d6281eed8314fefaac75a872a29
com.facebook.presto	presto-kudu	0.253		f5554871d23a06f921376711ca0fe027581bc437
com.facebook.presto	presto-kudu	0.253.1		2e3052f65cf62163b2775d6f66938dedbebc233b
com.facebook.presto	presto-kudu	0.254		a13453b2fdaa6f4ae98bfcd93320a92d57227c2c
com.facebook.presto	presto-kudu	0.254.1		2ae84cabcd163fb69f7ee35136ee84d9fcb5f07d
com.facebook.presto	presto-kudu	0.255		40938b0b6b1471b435b22a4b453c5ae23a9b98a6
com.facebook.presto	presto-kudu	0.256		2100827246e118e8919af859a6d7d43bce0b7bb6
com.facebook.presto	presto-kudu	0.257		6cc669db41991a43a675fccfdafbf8aeda4d55d0
com.facebook.presto	presto-kudu	0.258		ca683a28b59d31c0b0e8e452a433a1c7585f04f7
com.facebook.presto	presto-kudu	0.259		8b41ad9930ea9ab8a597753bb60d52077368ca50
com.facebook.presto	presto-kudu	0.259.1		5e592fce7a1c2005ec327b212525b01e4afba6c9
com.facebook.presto	presto-kudu	0.260		cd7ac8810e8c924564b44898ba535946867cb2c1
com.facebook.presto	presto-kudu	0.260.1		e5b3ec8c6fd62bfdd4772fc4cae1a29f529982b4
com.facebook.presto	presto-kudu	0.261		42b3f58e1d4e7e918744d66103eb41b0481c7cb6
com.facebook.presto	presto-kudu	0.262		1ecad92b75f5b1b2ec87438f0244fad13933b22c
com.facebook.presto	presto-kudu	0.263		5be184c264b72a48e137f131a5860431ef7ab8a6
com.facebook.presto	presto-kudu	0.263.1		aaed177af5403af04f8d60adbf6d88f8a5dc54a3
com.facebook.presto	presto-kudu	0.264		7a534dcb0e357f9b9cb9c2df635976a6c443cbb5
com.facebook.presto	presto-kudu	0.264.1		ba568ac2a59e0da6e7b6213824e55ef377c14035
com.facebook.presto	presto-kudu	0.265		2ce4f5dd59ff215efce3afe257d00db8ef130e1d
com.facebook.presto	presto-kudu	0.265.1		c46a22c07d1e770407b020bc7fd590674bcbcb4c
com.facebook.presto	presto-kudu	0.266		8e2a2df34fda7ae0e4cbbca83cfef768093fa986
com.facebook.presto	presto-kudu	0.266.1		84a5fdd2b967b42a4e743d6d6d5409c647701f85
com.facebook.presto	presto-kudu	0.267		ff33760f0fdaee743f839dbf876cec0a8d1d676c
com.facebook.presto	presto-kudu	0.268		ad5725709b46c568c5d84026d8ee5f3d77743e09
com.facebook.presto	presto-kudu	0.269		1aed200a918c6f9c6e67e9833ac912361b1fc800
com.facebook.presto	presto-kudu	0.270		668eb47b3b5287c470a8f07eea6d42d02a48ca6c
com.facebook.presto	presto-kudu	0.271		85f4443c8cf5a0faf2659580d1149b787c695154
com.facebook.presto	presto-kudu	0.271.1		78e14a48a7b96171a83c2be213a2e642eaddc8d9
com.facebook.presto	presto-kudu	0.272		1d9fcabd941a6f727a61f9df1e27a7791db6e405
com.facebook.presto	presto-kudu	0.272.1		87217bf3acb7bec6249e70e14fee0798b3204fd1
com.facebook.presto	presto-kudu	0.273		c78511a00b0dd8a3a8518744ba17366680bb6716
com.facebook.presto	presto-kudu	0.273.1		46fc982c339236c0e42e2fd12878dffe50003f49
com.facebook.presto	presto-kudu	0.273.2		6d323f3a2867fa7cf0f455a19c232d9d818fc169
com.facebook.presto	presto-kudu	0.273.3		8585cd86dcc09267a7503fd9bf27a020ada2715c
com.facebook.presto	presto-kudu	0.273.4		77dacb71d727a6ae960135ef0adbbd9ca8add095
com.facebook.presto	presto-kudu	0.274		07904a39fc374d8f207580cab5456d907170b9aa
com.facebook.presto	presto-kudu	0.275		b57cac3aa959549e5320c087d052f870e0c3ac10
com.facebook.presto	presto-kudu	0.276		37afda32f0f48e61d89da774b5a2bf6b3f84fb23
com.facebook.presto	presto-kudu	0.276.1		22323149778bf43700c744fdba3b540bbbb407a9
com.facebook.presto	presto-kudu	0.276.2		d3c1845fa744b86f553d14ced349ca99597d66ae
com.facebook.presto	presto-kudu	0.277		d9746b2438fa46c203d0aa29c52649d65b33226b
com.facebook.presto	presto-kudu	0.278		0a391a5f7dcd076269248d8fff7ed855a49f13ed
com.facebook.presto	presto-kudu	0.278.1		987da86dba52bc13f557eed98ac0c00b1be9fff9
com.facebook.presto	presto-kudu	0.279		58762c202f78fcf9c5b2af63381adf3f97207b4f
com.facebook.presto	presto-kudu	0.280		3a6c6bef383603f0fec519b56670512825e94153
com.facebook.presto	presto-kudu	0.281		da38bc36cc65c6a34b7dc5ec58d0bcffc4ad8ed4
com.facebook.presto	presto-kudu	0.282		2c3a6a2b80963297f952306df143de9763fcea31
com.facebook.presto	presto-kudu	0.283		6f0f355aa7b26027ebf1bac59c3104dadbbaeff0
com.facebook.presto	presto-kudu	0.284		3ce828e3f2deee71ff2e512fd2512447bf166d89
com.facebook.presto	presto-kudu	0.285		fe920ea4bd16f4a74407bb98a2b82ef12048c347
com.facebook.presto	presto-kudu	0.285.1		39166459b51e8c9a24fa0c3e06e0aba08db5c1e9
com.facebook.presto	presto-kudu	0.286		9a1d4ad1158d439034a2a52b917bbf91ee543001
com.facebook.presto	presto-kudu	0.287		7907ab80c90111333b8aafa01fd706bf2a4fd555
com.facebook.presto	presto-kudu	0.288		dcf261568092011099cc1de156b7c2fd2e8d8bf0
com.facebook.presto	presto-kudu	0.288.1		f4b2cab5474edae75ee03800e33cb180a667a62d
com.facebook.presto	presto-kudu	0.289		496dac095c0f002d37beda3d758443b770e48707
com.facebook.presto	presto-kudu	0.290		cc51a2a975dc7dac1d46bceb55c1e42162f806da
com.facebook.presto	presto-kudu	0.291		aae03f539e65f837c36971059b8b21e2c29e18c1
com.facebook.presto	presto-kudu	0.292		5d8899810041e31c57cb2148c50e8bc234dd1c48
com.feiniaojin.ddd.ecosystem	pie	1.0		ff5cfdb06cd269696adb34978d07adffeb4fbe2b
com.github.seishin.rxmvp	library	0.0.1		N/A
com.github.thiagonego	alfred	1.4.0		f4877a20b271222af2e49fc03c3acfd51c699500
com.googlecode.funcito	funcito	1.0.1		b3ccb2bd6e8848ddba72a38841a5752eefabba8a
com.googlecode.funcito	funcito	1.0.2		2fde846f2c6d3c159de7d9c4798338f807a5ced0
com.googlecode.funcito	funcito	1.1.0		b7ed5fc1b4a0052a41d9561a64ab5fc1970677d2
com.googlecode.funcito	funcito	1.2.0		d956e96758e61abc3fc49fb32fca5ebbb491b04e
com.googlecode.funcito	funcito	1.3.0		b1f83d9b13bfed844a3815fcdff45adb3e848509
com.googlecode.funcito	funcito	1.3.1		63f05f2fd3aa11221937944f252ab53251f684c3
com.googlecode.json-simple	json-simple	1.1		5e303a03d04e6788dddfa3655272580ae0fc13bb
com.googlecode.json-simple	json-simple	1.1.1		c9ad4a0850ab676c5c64461a05ca524cdfff59f1
com.goyeau	mill-scalafix_2.12	0.1.0		8a68c1dfc593ddfe3d4bf52a491bc156e8f569c0
com.goyeau	mill-scalafix_2.12	0.1.0-1-74be415		28aa5d623233283bf344f10b222cf5841b50446e
com.goyeau	mill-scalafix_2.12	0.1.1		a9dbfb6676353578cd96bff01f840de4b57fbd80
com.goyeau	mill-scalafix_2.12	0.1.1-1-fabc27d		e11a4e0e9b869438ce154c5d8d4245fbc50ff319
com.goyeau	mill-scalafix_2.12	0.1.1-2-b1f8b10		a34368b739ae1f31bd9f2089043dc955c3aa3495
com.goyeau	mill-scalafix_2.12	0.1.1-3-46917dc		12962c7e80b809a83d1773e02d0e48e47ad13df2
com.goyeau	mill-scalafix_2.12	0.1.1-4-529beb1		148d48a169cea8edafc85479b348c4c6e60c98cc
com.goyeau	mill-scalafix_2.12	0.1.2		d2b65c3265e6dee5ffcd9c19561a27e28f115995
com.goyeau	mill-scalafix_2.12	72d5ca0		a3f78148737a77354c1806b3a7092915f23af05b
com.goyeau	mill-scalafix_2.12	7e87736		f317c8bd87ba9f73a8c847227d3ac632b7ac095a
com.goyeau	mill-scalafix_2.12	8515ae6		2394a8198e59f3daa6d39782c1a3cb716d1ed0f1
com.goyeau	mill-scalafix_2.12	8974b57		a1ca526b528a5de03a0acc1193ad1922fb9d47d4
com.goyeau	mill-scalafix_2.12	8c0e7c8		c882c07bf4c53e8fc0017a7acbcbdd25dd6b686b
com.goyeau	mill-scalafix_2.12	bf3e2eb		14e2eabcd4b19defe154919f149fb855462178c7
com.goyeau	mill-scalafix_2.12	c71a533		ac24f728fe748bdd9f84718fd7630be419e30ad6
com.goyeau	mill-scalafix_2.12	d12bd7c		d7bde31fad7a710e669204d4991b01c9739f3bae
com.goyeau	mill-scalafix_2.12	f3074d3		56f3af062980ce9f6b89fadc00ad6fb3d157fdbc
com.helger	ph-jaxb-pom	1.0.0		N/A
com.helger	ph-jaxb-pom	1.0.1		N/A
com.helger	ph-jaxb-pom	1.0.2		N/A
com.helger	ph-jaxb-pom	1.0.3		N/A
com.helger	ph-jaxb-pom	1.1.0		N/A
com.helger	ph-jaxb-pom	1.2.0		N/A
com.helger	ph-jaxb-pom	1.2.1		N/A
com.helger	ph-jaxb-pom	1.2.2		N/A
com.helger	ph-jaxb-pom	2.0.0		N/A
com.helger	ph-jaxb-pom	2.0.1		N/A
com.helger	ph-jaxb-pom	2.0.2		N/A
com.helger	ph-jaxb-pom	2.0.3		N/A
com.helger	ph-jaxb-pom	2.0.4		N/A
com.io7m.jequality	io7m-jequality-documentation	1.0.0		27ea17880711b2adab2436fbde50e73efd6768eb
com.io7m.jequality	io7m-jequality-documentation	1.0.1		ed47c54738e9246ae361340ac4c464322fd8e363
com.io7m.jequality	io7m-jequality-documentation	1.0.2		02f4fdb57d3c6a9bc87e45c4a9dfbd23877c01c9
com.io7m.jequality	io7m-jequality-documentation	1.0.3		014b6f86b77954f92b0b102d7d95082bf0706052
com.io7m.jequality	io7m-jequality-documentation	1.0.4		059b1ebd8f6dc29595145c6da05c8f19a1603512
com.javiersc.kotlin	kotlin-test-macosarm64	0.1.0-alpha.9		N/A
com.javiersc.kotlin	kotlin-test-macosarm64	0.1.0-alpha.9	metadata	179969a39077e76cdc3d38a0f74137f2599cb9d4
com.javiersc.kotlin	kotlin-test-macosarm64	0.5.0		N/A
com.javiersc.kotlin	kotlin-test-macosarm64	0.5.0	metadata	0eb5f7116bf444bf69c5779207f54284ff23d4b2
com.javiersc.kotlin	kotlin-test-macosarm64	0.6.0		N/A
com.javiersc.kotlin	kotlin-test-macosarm64	0.6.0	metadata	af6e1ac5be05f99ecee3f9177eb436ae0f0f276a
com.juhuasuan	osprey	1.0.0		1ae2a817bd16335ffef81d1326f37b9c229c9b50
com.juhuasuan	osprey	1.0.1		b4e8d3bde239fd3a99397fdac4318ed1b74f6471
com.malinskiy	materialicons	1.0.0		N/A
com.malinskiy	materialicons	1.0.1		N/A
com.malinskiy	materialicons	1.0.2		N/A
com.malinskiy	materialicons	1.0.3		N/A
com.netcetera.girders.demos	girders-demos	5.0.18		N/A
com.netcetera.girders.demos	girders-demos	5.0.19		N/A
com.netcetera.girders.demos	girders-demos	5.0.20		N/A
com.netcetera.girders.demos	girders-demos	5.0.21		N/A
com.netcetera.girders.demos	girders-demos	5.0.22		N/A
com.netcetera.girders.demos	girders-demos	5.0.23		N/A
com.netcetera.girders.demos	girders-demos	5.1.0		N/A
com.netcetera.girders.demos	girders-demos	6.0.0		N/A
com.netcetera.girders.demos	girders-demos	6.0.0-M2		N/A
com.netcetera.girders.demos	girders-demos	6.0.0-M3		N/A
com.netcetera.girders.demos	girders-demos	6.0.0-RC1		N/A
com.netcetera.girders.demos	girders-demos	6.0.0-RC3		N/A
com.netcetera.girders.demos	girders-demos	6.1.0		N/A
com.netcetera.girders.demos	girders-demos	6.2.0		N/A
com.netcetera.girders.demos	girders-demos	6.2.1		N/A
com.netcetera.girders.demos	girders-demos	6.2.2		N/A
com.netcetera.girders.demos	girders-demos	6.3.0		N/A
com.netcetera.girders.demos	girders-demos	6.4.0		N/A
com.netcetera.girders.demos	girders-demos	6.5.0		N/A
com.parisesoftware	archetypes-parent	1.0.4		N/A
com.progressoft.brix.domino	vertx-domino-event-bus-backend	1.0-rc.1		6f750e08767745620c9461171e2b211c6df06303
com.puresoltechnologies.purifinity.server	common.utils	0.4.0		90e7ec1ce38cfb563e4e20d02139c97b11dabe2f
com.puresoltechnologies.purifinity.server	common.utils	0.4.1		01b1f61880ac7b18c758513605b8608684251b84
com.qiwi.featuretoggle	featuretoggle-datasource-debug	0.1.0		N/A
com.qiwi.featuretoggle	featuretoggle-datasource-debug	0.1.1		N/A
com.qiwi.featuretoggle	featuretoggle-datasource-debug	0.1.2		N/A
com.qiwi.featuretoggle	featuretoggle-datasource-debug	0.1.3		N/A
