ai.swim	swim-js	3.10.0		716721be9201abafcb0a77c3b0edf7e5f0f7edfb
com.liferay	com.liferay.portal.security.auth.verifier	2.2.30		2e1bb5eeced07f467d6c02bb51026e730e20f9e9
com.liferay	com.liferay.portal.security.auth.verifier	2.2.31		2e40d4aec3ec1ad76ad77686d22256901336a8bc
com.liferay	com.liferay.portal.security.auth.verifier	2.2.32		57a2ed1d2813e83173d19ef8034fda677b7b6d46
com.liferay	com.liferay.portal.security.auth.verifier	2.2.33		6414c62467817a4dae8bfef263b8cb13a0d9bdd1
com.liferay	com.liferay.portal.security.auth.verifier	2.2.4		4deb93fe13def001fe0a851e0d9adaeb952b2b9d
com.liferay	com.liferay.portal.security.auth.verifier	2.2.5		dec090ee24798d81b2456eb11bfab82a956407e9
com.liferay	com.liferay.portal.security.auth.verifier	2.2.6		cd70dcd282df7e6fba9f3530d4e5e3c670b7240c
com.liferay	com.liferay.portal.security.auth.verifier	2.2.7		9a6c5358fe478e4f20c48f32ad77fc7661583659
com.liferay	com.liferay.portal.security.auth.verifier	2.2.8		29ac139882ad6ca3f6337e46bc1cb2e98d302076
com.liferay	com.liferay.portal.security.auth.verifier	2.2.9		806c2095bdbcac3d603aed963b5b799c807e355c
com.liferay	com.liferay.portal.security.auth.verifier	3.0.0		0098db062634b788e16e9d796d0413b52e99a0ef
com.liferay	com.liferay.portal.security.auth.verifier	3.0.1		af4949a2d184f3a8974ff3d94b1f72ae9e946026
com.liferay	com.liferay.portal.security.auth.verifier	3.0.10		a358fe8bb14478d4613e03e8c2f4d54ecef696f7
com.liferay	com.liferay.portal.security.auth.verifier	3.0.11		944f2db015ee6ce44a01ad3192177338b99d42d2
com.liferay	com.liferay.portal.security.auth.verifier	3.0.12		af49364385eb720fc8005d1c2522d5463c73b025
com.liferay	com.liferay.portal.security.auth.verifier	3.0.13		a507451e761b04a22c2de3c2a6f08e357398df52
com.liferay	com.liferay.portal.security.auth.verifier	3.0.14		5853415b02b063562fa341cbb39accf14aa9913f
com.liferay	com.liferay.portal.security.auth.verifier	3.0.15		5463f03f46beb0cd1eda4778d199c7b4f20069a8
com.liferay	com.liferay.portal.security.auth.verifier	3.0.16		63059521ebb0a192d610b5c5e1b8e5eb1767e005
com.liferay	com.liferay.portal.security.auth.verifier	3.0.17		12dfda6b60888791ab73d757d961ea0b167a9f05
com.liferay	com.liferay.portal.security.auth.verifier	3.0.18		67b9c1d9656f06f338cdb4836dfc93ed2962d715
com.liferay	com.liferay.portal.security.auth.verifier	3.0.19		231072e0b26841bf59b0f03e67c07142b7d2e6a0
com.liferay	com.liferay.portal.security.auth.verifier	3.0.2		d9cfaba6ac01c82e53370e55eb18f3c4cdc50551
com.liferay	com.liferay.portal.security.auth.verifier	3.0.20		a10f251b9ab8d18fef520d0ee3ef317e3384d98a
com.liferay	com.liferay.portal.security.auth.verifier	3.0.21		650d8d4fd6a216cf78bc9ce1f8ec00ae17c94849
com.liferay	com.liferay.portal.security.auth.verifier	3.0.22		53818a60f63f763193fc58c06b4c00f7260855b8
com.liferay	com.liferay.portal.security.auth.verifier	3.0.23		fc18d1e66356618a9424af6c248204768c3a9843
com.liferay	com.liferay.portal.security.auth.verifier	3.0.24		237cd8d7e9c564ca12312a75108cf34c80afbc10
com.liferay	com.liferay.portal.security.auth.verifier	3.0.25		10d9924ccf80a7cc18fbc18cb438c04f43e10b41
com.liferay	com.liferay.portal.security.auth.verifier	3.0.26		1bf0ba9713dbde789e39ebf65d87076a42c0df7a
com.liferay	com.liferay.portal.security.auth.verifier	3.0.27		f6c1865a5b06a353941509ca8a48db1cdccc5355
com.liferay	com.liferay.portal.security.auth.verifier	3.0.28		aaa1442adb8e3dd633e1289b1deb3431ed25a3f9
com.liferay	com.liferay.portal.security.auth.verifier	3.0.29		458d343dfc74ed70542152b72afd9e57d0c71a2a
com.liferay	com.liferay.portal.security.auth.verifier	3.0.3		a78844d701bde0692d479a95717bb0fa31a3f566
com.liferay	com.liferay.portal.security.auth.verifier	3.0.4		ac78ffcd95688310b0084388c74cadb5bd204ae4
com.liferay	com.liferay.portal.security.auth.verifier	3.0.5		7efcc325ede80e800bed8e797589d49fe182c93c
com.liferay	com.liferay.portal.security.auth.verifier	3.0.6		232ba208b1792f4576f8ec7b9c0c3e467d5c769c
com.liferay	com.liferay.portal.security.auth.verifier	3.0.7		1f1f6bdb5c482a60cd58ea17df8ee46db1aa5e69
com.liferay	com.liferay.portal.security.auth.verifier	3.0.8		cd530793e71032797920ad3294a0dc1f7ba97e22
com.liferay	com.liferay.portal.security.auth.verifier	3.0.9		280251eef9361a4a813cfc8a649c1839a5f3ffd3
com.liferay	com.liferay.portal.security.auth.verifier	4.0.0		8c54f8504a311e9abe866acd737ec1a6f96264c5
com.liferay	com.liferay.portal.security.auth.verifier	4.0.1		36463e3f6d75a1d4958d88456e3592dbbf237549
com.liferay	com.liferay.portal.security.auth.verifier	4.0.10		49a986bf22dd980fb8142ff7de011da7106cac76
com.liferay	com.liferay.portal.security.auth.verifier	4.0.11		33effb02eee6d4298144dd9254e5ef94c6c24c63
com.liferay	com.liferay.portal.security.auth.verifier	4.0.12		f431043797514ed0f1f1212be94c86605a2fbb9f
com.liferay	com.liferay.portal.security.auth.verifier	4.0.13		8d28b8220153fa524663987a56b6ea58c2f6b528
com.liferay	com.liferay.portal.security.auth.verifier	4.0.14		30fb6b9df207e6c05043a308cc08186fa4fbc286
com.liferay	com.liferay.portal.security.auth.verifier	4.0.15		ddae131d1f4b0b18abada545e04a5d14372c5319
com.liferay	com.liferay.portal.security.auth.verifier	4.0.16		f7734c041b7597e6879a5123a8634f923b974f24
com.liferay	com.liferay.portal.security.auth.verifier	4.0.17		9370e49271eb6c0fc1c4f52379edb11428b387de
com.liferay	com.liferay.portal.security.auth.verifier	4.0.18		09c20c7980c8019597c4215fd54f6643ab486a7e
com.liferay	com.liferay.portal.security.auth.verifier	4.0.19		e9b0d492ed0bcfd779bdb0c0f1218aea217ef73c
com.liferay	com.liferay.portal.security.auth.verifier	4.0.2		23151851690d2622a11f67bb0bee421b7106842b
com.liferay	com.liferay.portal.security.auth.verifier	4.0.20		edf0bc5b3b6ae69ef673df77095cf47f1fd24156
com.liferay	com.liferay.portal.security.auth.verifier	4.0.21		34227b8f839be2ed17ec13d07c3d01d746eb0a9f
com.liferay	com.liferay.portal.security.auth.verifier	4.0.22		16f19c61f0c6fc3128813e8f28a8133e640151f8
com.liferay	com.liferay.portal.security.auth.verifier	4.0.23		e38af0394f58961568e7d3e84e63cdc484db1580
com.liferay	com.liferay.portal.security.auth.verifier	4.0.24		95ee140d9ddfe447a4e2cda1578588d6faf13802
com.liferay	com.liferay.portal.security.auth.verifier	4.0.25		fe373d8493ac5176990242af779420d23e74463c
com.liferay	com.liferay.portal.security.auth.verifier	4.0.26		3fdd0e275fb20048f5b9c2ea78d07157146918a9
com.liferay	com.liferay.portal.security.auth.verifier	4.0.27		1dab27681493f8c713157cdf069468fea4f8b5ff
com.liferay	com.liferay.portal.security.auth.verifier	4.0.28		b3ffe838d2b58c464f99930d98cc31c888eda127
com.liferay	com.liferay.portal.security.auth.verifier	4.0.29		7e7837efaf7bc2b4f02947ded362780bc9ad4fb3
com.liferay	com.liferay.portal.security.auth.verifier	4.0.3		26cf060aa99d8c25de5035412e8526d3c0701f31
com.liferay	com.liferay.portal.security.auth.verifier	4.0.30		9a747efbbc77eda888a0bbeb0d95571d01190fbc
com.liferay	com.liferay.portal.security.auth.verifier	4.0.31		66f0f1db2964b1e383f204977c6dfb55c0f25a58
com.liferay	com.liferay.portal.security.auth.verifier	4.0.32		766e54d99efa662764277005e7628476b2292568
com.liferay	com.liferay.portal.security.auth.verifier	4.0.33		b151dd7309839780e7aa5f666b6149db3c9a5627
com.liferay	com.liferay.portal.security.auth.verifier	4.0.34		aa14af610cf81725691a92488bcf74571609e459
com.liferay	com.liferay.portal.security.auth.verifier	4.0.35		0e49ed1f97d81d9e5882112afb1b600b418bf8e0
com.liferay	com.liferay.portal.security.auth.verifier	4.0.36		0516cce03a1f66797f5149929bf201d7ee00f02e
com.liferay	com.liferay.portal.security.auth.verifier	4.0.4		8f7494516fca46f7b24099b240c6febc84b60ce4
com.liferay	com.liferay.portal.security.auth.verifier	4.0.5		681fd32c0749eb2d4ce5c32e2509680093a5354e
com.liferay	com.liferay.portal.security.auth.verifier	4.0.6		ce0cb6dfd59d7b88e0358984a3c941c638223c54
com.liferay	com.liferay.portal.security.auth.verifier	4.0.7		dc1f9021c1661a5356ee40c5d920dd63c7078c93
com.liferay	com.liferay.portal.security.auth.verifier	4.0.8		b1b183ecc129ce1837928ddf7c27fcb70959eb12
com.liferay	com.liferay.portal.security.auth.verifier	4.0.9		cb1c068861d9881e00505d7ef2497a5df1aed30e
com.liferay	com.liferay.portal.security.auth.verifier	5.0.0		1641bce6946e8c46342649139b08854f8ff165dd
com.liferay	com.liferay.portal.security.auth.verifier	5.0.1		bebbd94b8c766b79bd025339b7cc47f64daed5dd
com.liferay	com.liferay.portal.security.auth.verifier	5.0.10		7f509420d1641b82926910074ea6624055081c24
com.liferay	com.liferay.portal.security.auth.verifier	5.0.11		aefb9da684aa721a05a018660aa743a74eba5377
com.liferay	com.liferay.portal.security.auth.verifier	5.0.12		017e0ee5692afdc63f54763a5f2d667878617c73
com.liferay	com.liferay.portal.security.auth.verifier	5.0.13		3da2fc4d2dce908e53206e8ad7dd212418e8fb7a
com.liferay	com.liferay.portal.security.auth.verifier	5.0.14		9426baf019302d8d908ce8783daed33d0414ee2c
com.liferay	com.liferay.portal.security.auth.verifier	5.0.15		74790c503a6fe286ed6070fc4593f8bc7bf196d3
com.liferay	com.liferay.portal.security.auth.verifier	5.0.16		9cc08eb8d267c25b54272623365789afb7e948e6
com.liferay	com.liferay.portal.security.auth.verifier	5.0.17		d0a01ce99b718a67aa71b55469fd092a8d9cd512
com.liferay	com.liferay.portal.security.auth.verifier	5.0.18		8b41a7b9f4592c21428b9c822a8e4fd99f5271b2
com.liferay	com.liferay.portal.security.auth.verifier	5.0.19		648e31da975a465e1a0e5759b0dcfac4729d3cd9
com.liferay	com.liferay.portal.security.auth.verifier	5.0.2		6df9e09af29208712d445040dd1f0644a355a5fc
com.liferay	com.liferay.portal.security.auth.verifier	5.0.20		3edbd3984b46bc43296fb73397c2da6f1fd97d3a
com.liferay	com.liferay.portal.security.auth.verifier	5.0.21		2be11a73868eaec984594d1550f8712de4aec41c
com.liferay	com.liferay.portal.security.auth.verifier	5.0.22		aa63260da0beaffb7cbeede25fa6558a96a6fd4c
com.liferay	com.liferay.portal.security.auth.verifier	5.0.23		94a721f6e0bc97b327f961216e2d0733d03b3933
com.liferay	com.liferay.portal.security.auth.verifier	5.0.24		7c795c91e1a04c27f7e2d22cd1b01cec4b94e461
com.liferay	com.liferay.portal.security.auth.verifier	5.0.25		a99c4b92e31550a13e9490b765b3fc7bd29187ad
com.liferay	com.liferay.portal.security.auth.verifier	5.0.26		ee92f14d4b295977063477c8b28ddc997d39fb3e
com.liferay	com.liferay.portal.security.auth.verifier	5.0.27		3371d3ee3d485570424faef02a1c042be344fbb2
com.liferay	com.liferay.portal.security.auth.verifier	5.0.28		95a64701044be03d8b51da61da82804ffcd75d5f
com.liferay	com.liferay.portal.security.auth.verifier	5.0.29		d5f37de090bdb5ae61c1c104bb7b81dc16b0dfa7
com.liferay	com.liferay.portal.security.auth.verifier	5.0.3		765f2a0c8110a47ac8598d1347ee99ad2543106f
com.liferay	com.liferay.portal.security.auth.verifier	5.0.30		35ad9bf8e80c70a513ce9f1e8935f80e069f8f8d
com.liferay	com.liferay.portal.security.auth.verifier	5.0.31		ccf70b5171603afabadfed037f31cdbc5bb36203
com.liferay	com.liferay.portal.security.auth.verifier	5.0.4		136ab0ff78e5c053ea15d1ff1cea6fe925a8925f
com.liferay	com.liferay.portal.security.auth.verifier	5.0.5		cf649d9de3b4289c6405487078f4bd88a2b2b9ce
com.liferay	com.liferay.portal.security.auth.verifier	5.0.6		84ec812b3267088ac10c1b6cf94bf910b741e2dc
com.liferay	com.liferay.portal.security.auth.verifier	5.0.7		78556c488d413f943316e9557164b36b1903c31a
com.liferay	com.liferay.portal.security.auth.verifier	5.0.8		53aeb8d674b67dd77517170bd0ce8d576a6995d9
com.liferay	com.liferay.portal.security.auth.verifier	5.0.9		42e8e85c4fb8b7fb438315751f771f1d384c58f8
com.liferay	com.liferay.portal.security.auth.verifier	6.0.0		a866b1f48459becf0e5af40ebd6c82d02b316cde
com.liferay	com.liferay.portal.security.auth.verifier	6.0.1		ec13784c0b2a1c7e08f45b0297100826a07dbb6d
com.liferay	com.liferay.portal.security.auth.verifier	6.0.10		9ec53b9f4dc8b78c492c813c3f16614b27e30147
com.liferay	com.liferay.portal.security.auth.verifier	6.0.11		8604f9c61b7b1740e34878f187d7850d572900d7
com.liferay	com.liferay.portal.security.auth.verifier	6.0.12		a8b56ef9c321bfbef9a68615d5086d6d8e765a12
com.liferay	com.liferay.portal.security.auth.verifier	6.0.13		6ecff0ba91255245bf1312a51b920ed77e96a952
com.liferay	com.liferay.portal.security.auth.verifier	6.0.14		bbc79c9bcb87e1d96df1d4688af00bf7c73534a3
com.liferay	com.liferay.portal.security.auth.verifier	6.0.15		333914cf0de7ee1a1c2c0969007f08be660fb91e
com.liferay	com.liferay.portal.security.auth.verifier	6.0.16		dd6bf3df571215a6515b5401bbcdce9257025c71
com.liferay	com.liferay.portal.security.auth.verifier	6.0.17		e43b6da56ea658ca4ad99d54fd3f2f2690a789de
com.liferay	com.liferay.portal.security.auth.verifier	6.0.18		58b4cb79f7e499cf11d9d0692b80ddca663fd230
com.liferay	com.liferay.portal.security.auth.verifier	6.0.19		b516b65acc6897c96f31cf44a30e76a814c7f0e4
com.liferay	com.liferay.portal.security.auth.verifier	6.0.2		1274a7a1fa22425bd7d50da40e69fff746e81c38
com.liferay	com.liferay.portal.security.auth.verifier	6.0.20		6a8c6d34cea5102d476229023020031a63568b32
com.liferay	com.liferay.portal.security.auth.verifier	6.0.21		9578f3b49c4de4fcac436c9f0fc71887f4f35ee6
com.liferay	com.liferay.portal.security.auth.verifier	6.0.22		b4934d5dea1478d99c5cb3ff7578e6c368a81ba0
com.liferay	com.liferay.portal.security.auth.verifier	6.0.23		28ea5a0a47cfd996801e5c9daf20506a04b64707
com.liferay	com.liferay.portal.security.auth.verifier	6.0.24		f7d55996d0c0578f765a06bb52ed7466bd077d89
com.liferay	com.liferay.portal.security.auth.verifier	6.0.25		31fd8f51a5157cf7621a772fe995d4954ddfb938
com.liferay	com.liferay.portal.security.auth.verifier	6.0.26		50a73e3e168ea4e83fca6c82720c89c149ed1470
com.liferay	com.liferay.portal.security.auth.verifier	6.0.27		5da9777355f13f5f970010d1d413065fa04a478d
com.liferay	com.liferay.portal.security.auth.verifier	6.0.28		f67dd00b894411582ff2bf737e3b7141be0bc283
com.liferay	com.liferay.portal.security.auth.verifier	6.0.29		378aab35a97b44b97da46f5b093ab8df38fc3758
com.liferay	com.liferay.portal.security.auth.verifier	6.0.3		52f07869bb91cf27c7e0844427d37c57b68de133
com.liferay	com.liferay.portal.security.auth.verifier	6.0.30		67460939f289e2c478e78c5f12013080c5c4bf8c
com.liferay	com.liferay.portal.security.auth.verifier	6.0.31		59b40aec959fe9a8e0bba90fa52f3a3e1610067a
com.liferay	com.liferay.portal.security.auth.verifier	6.0.32		fa207860864ddb60452681fef475cad1fa1231da
com.liferay	com.liferay.portal.security.auth.verifier	6.0.33		b6c55a4b92d6cf7627c087b2a1f7a3abd7d0d965
com.liferay	com.liferay.portal.security.auth.verifier	6.0.34		315552702eb77db4e50e0e25b15488f742a7a535
com.liferay	com.liferay.portal.security.auth.verifier	6.0.4		0d7fba45bc4c6458ff9eef7a2967b36a443f05d7
com.liferay	com.liferay.portal.security.auth.verifier	6.0.5		c1a677fc0ae9b6df34d95053fcffe04ec3bccba4
com.liferay	com.liferay.portal.security.auth.verifier	6.0.6		ab6e212f1aa86aa0d4e5db52546ee756a64a274d
com.liferay	com.liferay.portal.security.auth.verifier	6.0.7		3702c45a231be8f751812b85280a24ccb4b6de32
com.liferay	com.liferay.portal.security.auth.verifier	6.0.8		7a1c84afd52af8fe49e9e0fb1f6c6067cda91921
com.liferay	com.liferay.portal.security.auth.verifier	6.0.9		00e69cbd96d9f8a2a4e07cdf68be57c6f1ccbdee
com.louiscad.splitties	splitties-experimental-iosx64	3.0.0		N/A
com.louiscad.splitties	splitties-experimental-iosx64	3.0.0	metadata	73561837496bf5cd7fc3121659682539dc96c355
com.louiscad.splitties	splitties-experimental-iosx64	3.0.0-beta02		N/A
com.louiscad.splitties	splitties-experimental-iosx64	3.0.0-beta02	metadata	c971c687d97c20f748c5b23ff8dc582f3c08137c
com.louiscad.splitties	splitties-experimental-iosx64	3.0.0-beta03		N/A
com.louiscad.splitties	splitties-experimental-iosx64	3.0.0-beta03	metadata	e495d928c1735c9b24cc8ae2688c83248d8c15b8
com.louiscad.splitties	splitties-experimental-iosx64	3.0.0-beta04		N/A
com.louiscad.splitties	splitties-experimental-iosx64	3.0.0-beta04	metadata	34ecf502a8cbcb7a76a605f986330cb600e8d971
com.louiscad.splitties	splitties-experimental-iosx64	3.0.0-beta05		N/A
com.louiscad.splitties	splitties-experimental-iosx64	3.0.0-beta05	metadata	44969493a50f455cd4e35ffe08db76b8e4005341
com.louiscad.splitties	splitties-experimental-iosx64	3.0.0-beta06		N/A
com.louiscad.splitties	splitties-experimental-iosx64	3.0.0-beta06	metadata	2085591f20eb57551fcc5b5a06a102b804c7e3de
com.louiscad.splitties	splitties-experimental-iosx64	3.0.0-rc01		N/A
com.louiscad.splitties	splitties-experimental-iosx64	3.0.0-rc01	metadata	0b8e7f75b8b6c61122123387b2b4f9e4500a0929
com.louiscad.splitties	splitties-experimental-iosx64	3.0.0-rc02		N/A
com.louiscad.splitties	splitties-experimental-iosx64	3.0.0-rc02	metadata	cd28a18f48963aa7d56c4b607be6aea3fd2b3678
