at.rseiler.spbee	spbee	1.0		N/A
co.verisoft	test-api	1.0.0-RC4		0ff63b836343f6ae86720cd85bc69dbbca745f46
co.verisoft	test-api	1.0.1		6f5d108838e480da9a951f90e21a9a392d410597
co.verisoft	test-api	2.0.0		f9aeba58897fb128ebcb7058ce3eebeda08805bb
co.verisoft	test-api	2.0.1		ec8af9a4a6058826341ad1c9ac05e3d59592aca7
co.verisoft	test-api	2.0.2		57c83a69d6528f4d749fb6321c139c25c083f8ae
co.verisoft	test-api	2.0.3		270637f4d48839ecafc3975fa2374b91a1668363
co.verisoft	test-api	2.0.4		9519b08ad508f7299335c45bb96ade9328e5f988
co.verisoft	test-api	2.0.4.1		fe4c8e2040ef5082863f432c6fc401100217f26d
co.verisoft	test-api	2.0.5		d67b2088527ef3c910c230938230e15f507033a4
co.verisoft	test-api	2.0.6		21f84914677e69707f8197ee25c617adee12d953
co.verisoft	test-api	2.0.7		b88b3285b5d0078270f8bff0d0c5de286aae5087
co.verisoft	test-api	2.0.7.3		c2c07a4703f0ddd491b58b4970c1c4496acdf40a
co.verisoft	test-api	3.0.0		cf33e88356dab3045d6d6d04abfccc70d0a76cb8
com.acooly	acooly-component-jpa	5.2.0		816fb99d4111fbae6dfa91434b8de5a4a4f91d62
com.acooly	acooly-component-jpa	5.2.1		7af8c6ab24dcf62c2e7f02403758a9501570d00f
com.augustnagro	java-async-await	0.1.0		1fb4eda59f4b82be93c3505fc220ce533099b3e9
com.augustnagro	java-async-await	0.2.0		50a622ab726197083372f68ecc87e26bc3f51db0
com.augustnagro	java-async-await	0.2.1		df5419aec5b8f76e2053660f5ffce46c5a98f994
com.augustnagro	java-async-await	0.3.0		48ed9a139afb7c74f7c5299cc0984c9023f31c7d
com.busymachines	pureharm-core-identifiable_2.12	0.0.2		e61cdc22a4188a0d78617509d6d42219ef6ea4ba
com.busymachines	pureharm-core-identifiable_2.12	0.0.2-M10		399208d3569a6d43cd12c6cf139abbd367e21634
com.busymachines	pureharm-core-identifiable_2.12	0.0.2-M11		2d26212dbff1919e7aed9bd9e0e7bca4e5cf7c84
com.busymachines	pureharm-core-identifiable_2.12	0.0.2-M12		9d0fc3a8b7e14fc3ea4db55080acf216d5369b92
com.busymachines	pureharm-core-identifiable_2.12	0.0.2-M13		96ddd7954b5535fad26ebe2cfddb4658c0aec746
com.busymachines	pureharm-core-identifiable_2.12	0.0.2-M13_scala_2.12		8c903b15a8c2983d2d9eed54c55707ad74e99b5f
com.busymachines	pureharm-core-identifiable_2.12	0.0.2-M14		1a546dab124e240efe47e571b7bc91105a3f1f5a
com.busymachines	pureharm-core-identifiable_2.12	0.0.2-M15		fffec33e8061fc44ca164ec77540729bd861ddce
com.busymachines	pureharm-core-identifiable_2.12	0.0.2-M16		a7e5d87dfc33d2ab9f8be4c9dce01960ef81f616
com.busymachines	pureharm-core-identifiable_2.12	0.0.2-M17		0394ac6af53600eda6cfa2106cfdc5b6450ef702
com.busymachines	pureharm-core-identifiable_2.12	0.0.2-M18		a178511aedbb27cc3dafa7ba9ba9c1fe187dfe73
com.busymachines	pureharm-core-identifiable_2.12	0.0.2-M19		70797deb6068eb61b50e3a50a5c6e260f4d995da
com.busymachines	pureharm-core-identifiable_2.12	0.0.2-M4		d2ea559f39911ddc85e2cf59463891b17719e8f8
com.busymachines	pureharm-core-identifiable_2.12	0.0.2-M5		9fd77f90a68dcaf7bcd874cafdbc1a88caba7284
com.busymachines	pureharm-core-identifiable_2.12	0.0.2-M6		1af94ab06ddbcaef7f65a1299337cbff8436ad50
com.busymachines	pureharm-core-identifiable_2.12	0.0.2-M7		a01749cfa946f35bc146612f091b9ac899bc7f3b
com.busymachines	pureharm-core-identifiable_2.12	0.0.2-M8		eb4c4d5883db4de09f667f01dce0e42441a22182
com.busymachines	pureharm-core-identifiable_2.12	0.0.2-M9		f284f39c0e5c957fa3d749a40c9e1f77eb0bc178
com.busymachines	pureharm-core-identifiable_2.12	0.0.2-RC1		94cfce1497e52a394a01fabc1214fada811bcca3
com.busymachines	pureharm-core-identifiable_2.12	0.0.2-SNAP15		a3bc41d932e0dc75491a0938ecb5d9efec4744ea
com.busymachines	pureharm-core-identifiable_2.12	0.0.3		6ff30290cced9d50b57a309b377f65921127eea1
com.busymachines	pureharm-core-identifiable_2.12	0.0.4		743cc0ab1ffc81daa170c6b8a67eceebd8f38470
com.busymachines	pureharm-core-identifiable_2.12	0.0.5		9aec17cfd2bf5630399e96b98fe2068d5af05422
com.busymachines	pureharm-core-identifiable_2.12	0.0.5-RC1		8162c7f18c48cad623493688eecdaa285d1ff014
com.busymachines	pureharm-core-identifiable_2.12	0.0.5-RC2		59a118f9eeb6e301eed5753631788272fc566b67
com.busymachines	pureharm-core-identifiable_2.12	0.0.6		cb5d0c584b38bd9ed22c48a7b5b3cf9129402782
com.busymachines	pureharm-core-identifiable_2.12	0.0.6-M1		1c4a1a9fc890ebf9877d1ffee7832daed43928a6
com.busymachines	pureharm-core-identifiable_2.12	0.0.6-M2		d955b6bf1039b7914d6f0917b7829313b9403b96
com.busymachines	pureharm-core-identifiable_2.12	0.0.6-M3		7af1c054ded7e764671cb18c992783c3316775eb
com.busymachines	pureharm-core-identifiable_2.12	0.0.6-M4		7628197a4844eac32be4ca7d7f131ba67c883746
com.busymachines	pureharm-core-identifiable_2.12	0.0.6-M5		d83de4eb924a8345fbcac0af6baf40d423504bf9
com.busymachines	pureharm-core-identifiable_2.12	0.0.6-M6		4e59ec92baa218357e3fbf9fe9b5595b83535875
com.busymachines	pureharm-core-identifiable_2.12	0.0.6-M7		e940db04b49ff568c833a72d3fb1cbfca35ef602
com.busymachines	pureharm-core-identifiable_2.12	0.0.6-RC1		0872f07e5c9c22531f720326ea12e03bd41cee71
com.disneystreaming.smithy	aws-appintegrations-spec	2023.02.09		b92de39d545bcf5609ec6748f5bb6b9265484427
com.disneystreaming.smithy	aws-appintegrations-spec	2023.02.10		6ab4d6977d6bb842db6867ab464236bb10d23dcc
com.disneystreaming.smithy	aws-appintegrations-spec	2023.09.22		a159dc668cd613a0e83526139a23192975c10988
com.disneystreaming.smithy	aws-appintegrations-spec	2023.14.24		d80b07393e15476acadef77acc7da8284bef559e
com.disneystreaming.smithy	aws-appintegrations-spec	2023.22.04		7aae00e8f1887f3d86fe5e0ef0811e1c077212ce
com.disneystreaming.smithy	aws-appintegrations-spec	2023.22.13		be54a0239bcffb8c2d319cd824c5519b885f3b5f
com.disneystreaming.smithy	aws-appintegrations-spec	2023.23.06		cd723d047901dc6e597a71af483d286e5a5b5b2b
com.disneystreaming.smithy	aws-appintegrations-spec	2023.23.30		13e295e398da5c2df323a9be69b452598cc423a1
com.disneystreaming.smithy	aws-appintegrations-spec	2025.03.31		84b4f0214f5b827aa037e260cf2932fd02ef86fd
com.disneystreaming.smithy	aws-appintegrations-spec	2025.04.08		322ec1bd7ccd54122b50f6570395cacbd2ac628e
com.enioka.jqm	jqm-test-helpers	1.1.6		5bdc6fa159adf99870504e904a88c751549b84d6
com.enioka.jqm	jqm-test-helpers	1.2.1		5511937d0e63cd8f615d8aa663026a3f2fdadd8e
com.enioka.jqm	jqm-test-helpers	1.2.2		54584964b52adf21900aaba840e282a3261bddb3
com.enioka.jqm	jqm-test-helpers	1.3.1		6d31381d2a44a9056217cb47d5f1cb2a0e21b1d1
com.enioka.jqm	jqm-test-helpers	1.3.2		891aff3ff889d2c1405ae48584908e5df37dfda2
com.enioka.jqm	jqm-test-helpers	1.3.3		ad160ff7ebe7a46aebb6c51c44ddbf01077ec5ba
com.enioka.jqm	jqm-test-helpers	1.3.4		6cf848ff69f6a2b033eb72cb0827ac6fbf7da6b5
com.enioka.jqm	jqm-test-helpers	1.3.5		b5c0f35de27a777b9d4206b6e97bbb6d6df64fb5
com.enioka.jqm	jqm-test-helpers	1.3.6		56b33a9c9d4101d61714e3589d94f25bcd59b088
com.enioka.jqm	jqm-test-helpers	1.3.7		b4c61ce1f1e823e983b9effc2f90772664ba827e
com.enioka.jqm	jqm-test-helpers	1.4.1		885cebd850a4877bff7964b7edb717cecb4705bf
com.enioka.jqm	jqm-test-helpers	1.4.2		5e0b712d3bf642223de3e3679b2947cd8e05c991
com.enioka.jqm	jqm-test-helpers	2.0.0		3d4a6b2b8f951e218f1307fb57ef6d513c9dce98
com.enioka.jqm	jqm-test-helpers	2.1.0		e5c14e09cb8ea40bd39a9a51a5d1c76acfc561fe
com.enioka.jqm	jqm-test-helpers	2.2.0		5e51d01d5ffa438cf79cb6495f2324d01cf970a9
com.enioka.jqm	jqm-test-helpers	2.2.1		34ac0db7876df14be81ef5405da8f4156fd0e1ee
com.enioka.jqm	jqm-test-helpers	2.2.2		34281bc58138ec89f5ccd41a89f538953f7e82c4
com.enioka.jqm	jqm-test-helpers	2.2.3		2649e85e6023c56f6c0edc3e00bbb3aa2e00d5fd
com.enioka.jqm	jqm-test-helpers	2.2.4		1e3ed887ca363460f7daf021d71a467a496d2c3b
com.enioka.jqm	jqm-test-helpers	2.2.5		09e87e89761dd7ae73f17afdb504f4ef243bd7be
com.enioka.jqm	jqm-test-helpers	2.2.6		ccff535a2db6fe659cb529f4fac99d22b1081941
com.enioka.jqm	jqm-test-helpers	2.2.7		4dda47ffd135b5167cbe84f9c875a5f1199d224b
com.enioka.jqm	jqm-test-helpers	2.2.8		0ce89801d95a9ae6360c0768e25a19fc58ff7c25
com.enioka.jqm	jqm-test-helpers	2.2.9		cf08ebef831f4ff65150e16565c3565d25a458ae
com.enioka.jqm	jqm-test-helpers	3.0.0		e45c6f7dc8626912b1a178cde3c7596f27725367
com.ethlo.time	chronograph	1.0.0		336a48b6f99ffc8345c4fdedcbdd4eec9c2494e4
com.ethlo.time	chronograph	1.0.1		4ffcdc8661042e0da620085886d219e8e7b935b3
com.ethlo.time	chronograph	1.1.0		a1f35337e6b75eee67258d4b45bb987c44352a2b
com.ethlo.time	chronograph	1.2.0		71f189800340b4a4a570bae6588f7eb9554e39f1
com.ethlo.time	chronograph	1.3.0		ec7538e9b335989028968920ee6a7e71e54e5c38
com.ethlo.time	chronograph	1.4.0		2e7e1a41a8b23533049785119134a21b1fb005c9
com.ethlo.time	chronograph	1.4.1		be5d170d03d045a41af5d10056131c52d3e95a14
com.ethlo.time	chronograph	1.4.2		124143e0f610778ff45e42a4ddefe9b921b73c21
com.ethlo.time	chronograph	2.0.0		f806c9f140850a3feda34216654a77dbb2db7753
com.ethlo.time	chronograph	3.0.0		a4a3ee5f5d17e2d211f8c2f57c8d3e967ab837bc
com.ethlo.time	chronograph	3.1.0		157818d6d4c1580ab26b293e1bbc25474fbb42ef
com.ethlo.time	chronograph	4.0.0		c034f306c3c731281bb0324be0c9d5ebf365b8aa
com.ethlo.time	chronograph	5.0.0		6bd1744fc04bfbe5f6015542ede3c4ea9bbf8f31
com.github.amado-saladino	Excelizer	1.0.0		65d37497b706e531a96eb6381377215c5b6adebd
com.github.georgeosddev	play-xgettext_2.11	0.1		2428c706fe5650a94161298866cca88a4e9aadc1
com.github.ghik	recons-server_3.4.2	0.1.0		579263c78a40abad33ebd7102e6ffb4a6c0c9cba
com.github.ghik	recons-server_3.4.2	0.1.1		bbb74f1a49ca15a48745143fec4f5f2536012d90
com.github.hoary.ffmpeg	JavaAV-FFmpeg	1.0		N/A
com.github.jbapple	libfilter	0.1.0		2aea48e1ac2ad77aa891d46237f1062eac796780
com.github.kokorin	jebml	2.2		e01af284bf4aca1818e69270ecbaf93645bd51db
com.github.kokorin	jebml	2.3		37ae21a12dbe3eb1abde151fb74c4cfadc5f1818
com.github.kokorin	jebml	2.3.1		6095b7450709b1ef7835ea74cd5acc6b1ca2f8a3
com.github.marcioos	bgg-client	1.0		dfb75109d0f0bc721b98f06cd2d9db9633b5bf7e
com.github.penfeizhou.android.animation	awebpencoder	2.10.0		N/A
com.github.penfeizhou.android.animation	awebpencoder	2.11.0		N/A
com.github.penfeizhou.android.animation	awebpencoder	2.12.0		N/A
com.github.penfeizhou.android.animation	awebpencoder	2.13.0		N/A
com.github.penfeizhou.android.animation	awebpencoder	2.14.0		N/A
com.github.penfeizhou.android.animation	awebpencoder	2.15.0		N/A
com.github.penfeizhou.android.animation	awebpencoder	2.16.0		N/A
com.github.penfeizhou.android.animation	awebpencoder	2.16.1		N/A
com.github.penfeizhou.android.animation	awebpencoder	2.17.0		N/A
com.github.penfeizhou.android.animation	awebpencoder	2.17.1		N/A
com.github.penfeizhou.android.animation	awebpencoder	2.17.2		N/A
com.github.penfeizhou.android.animation	awebpencoder	2.18.0		N/A
com.github.penfeizhou.android.animation	awebpencoder	2.20.0		N/A
com.github.penfeizhou.android.animation	awebpencoder	2.21.0		N/A
com.github.penfeizhou.android.animation	awebpencoder	2.22.0		N/A
com.github.penfeizhou.android.animation	awebpencoder	2.23.0		N/A
com.github.penfeizhou.android.animation	awebpencoder	2.24.0		N/A
com.github.penfeizhou.android.animation	awebpencoder	2.25.0		N/A
com.github.penfeizhou.android.animation	awebpencoder	2.26.0		N/A
com.github.penfeizhou.android.animation	awebpencoder	2.27.3		N/A
com.github.penfeizhou.android.animation	awebpencoder	2.28.0		N/A
com.github.penfeizhou.android.animation	awebpencoder	2.29.0		N/A
com.github.penfeizhou.android.animation	awebpencoder	2.8.0		N/A
com.github.penfeizhou.android.animation	awebpencoder	2.9.0		N/A
com.github.penfeizhou.android.animation	awebpencoder	3.0.0		N/A
com.github.penfeizhou.android.animation	awebpencoder	3.0.0-alpha.1		N/A
com.github.penfeizhou.android.animation	awebpencoder	3.0.1		N/A
com.github.penfeizhou.android.animation	awebpencoder	3.0.2		N/A
com.github.penfeizhou.android.animation	awebpencoder	3.0.3		N/A
com.github.penfeizhou.android.animation	awebpencoder	3.0.4		N/A
com.github.philcali	lmxml-core_2.8.2	0.1.1		105ce18b92b5a4fbfbcc67a776fc6077cdbd8916
com.github.philcali	lmxml-core_2.8.2	0.1.2		3eb2eb5ad7f43577b25eddd3e10c06c32ed8e05b
com.github.yuyenews	mars-start	2.1.0		N/A
com.github.yuyenews	mars-start	2.1.1		N/A
com.github.yuyenews	mars-start	2.1.2		N/A
com.github.yuyenews	mars-start	2.1.3		N/A
com.github.yuyenews	mars-start	2.1.5		N/A
com.helger	peppol-directory-businesscard	0.1.0		375797cf33aa3470dd2a386fd225e1fb4e0c905e
com.helger	peppol-directory-businesscard	0.2.0		bc64fce136f5d41399a420a650a361a5f25a4b1a
com.helger	peppol-directory-businesscard	0.3.0		88abcbf7e96e6228ac435ed30ce70a71718a757c
com.helger	peppol-directory-businesscard	0.4.0		5cff53348eac16c701190ced6948c0e6dc32e787
com.helger	peppol-directory-businesscard	0.5.0		f159ad560dac0beccb43239b77c3636050f35ef4
com.helger	peppol-directory-businesscard	0.5.1		876d88f82b5d8f199f47984be4e71bb1d6d2e558
com.helger	peppol-directory-businesscard	0.6.0		b6a99e3ec8dc5c0cfa5c2acb5c244fb8f351cfc5
com.helger	peppol-directory-businesscard	0.6.0-b2		3a2049b4e68ce170ce38e6b2589975c7bfca710d
com.helger	peppol-directory-businesscard	0.6.1		f332e3ae07a40745aa89f6a6e30b2e777261f934
com.helger	peppol-directory-businesscard	0.6.2		94f0bb423dd9ca0a5d6912b439cf7497516069ed
com.helger	peppol-directory-businesscard	0.7.0		f6ecc1f00a77b62f32311f5e7d741797d5f1a00e
com.helger	peppol-directory-businesscard	0.7.1		c8740d337235f33f0875a12bb530706dfb1045b4
com.helger	peppol-directory-businesscard	0.7.2		618832765dc72a14bbeb5a258993b8f2180dfbbb
com.inkapplications.regolith	time-machine-js	0.2.3		N/A
com.inkapplications.regolith	time-machine-js	0.3.0		N/A
com.inkapplications.regolith	time-machine-js	0.4.0		N/A
com.inkapplications.regolith	time-machine-js	0.5.0		N/A
com.inkapplications.regolith	time-machine-js	1.0.0		N/A
com.inkapplications.regolith	time-machine-js	1.0.1		N/A
com.inkapplications.regolith	time-machine-js	1.1.0		N/A
com.inkapplications.regolith	time-machine-js	1.1.1		N/A
com.inkapplications.regolith	time-machine-js	1.2.0		N/A
com.inkapplications.regolith	time-machine-js	1.2.1		N/A
com.inkapplications.regolith	time-machine-js	1.3.0		N/A
com.inkapplications.regolith	time-machine-js	1.4.0		N/A
com.inkapplications.regolith	time-machine-js	1.5.0		N/A
com.inkapplications.regolith	time-machine-js	1.6.0		N/A
com.liferay	com.liferay.friendly.url.taglib	1.0.0		7550c15d4ebb1bc6d96ea4788d9e40ce4527e424
com.liferay	com.liferay.friendly.url.taglib	1.0.0	jspc	d285e30717b139a4028c334871a5c612d01801c6
com.liferay	com.liferay.friendly.url.taglib	1.0.0	taglibdoc	8f61ce8a0ef2c1dfdfd66784fe8ad2443e064244
com.liferay	com.liferay.friendly.url.taglib	1.0.1		48ad60e052af924f24db75e0e96134c0a5561391
com.liferay	com.liferay.friendly.url.taglib	1.0.1	jspc	c7ef821f8b53d8608bcd6c9450e8150eec7a7bfb
com.liferay	com.liferay.friendly.url.taglib	1.0.1	taglibdoc	cc57d1cda593738fb986872507018677bd8cbf27
com.liferay	com.liferay.friendly.url.taglib	1.1.0		4c860c2440275833e81bf3e419eed7c7583202ff
com.liferay	com.liferay.friendly.url.taglib	1.1.0	jspc	d975dca43b09842009feec7bffc3c5f048cb554d
com.liferay	com.liferay.friendly.url.taglib	1.1.0	taglibdoc	88f43a9d9e0c3db5231f8928d59011e99f35f284
com.liferay	com.liferay.friendly.url.taglib	1.1.1		4fc93435b5a91f6e6f9b8bc73b28c5748551474d
com.liferay	com.liferay.friendly.url.taglib	1.1.1	jspc	56f7909210cb2686dd7fbf040db7c4b0b93e2ac2
com.liferay	com.liferay.friendly.url.taglib	1.1.1	taglibdoc	dfe1311ed5791d26b0f29affda49013c64dc7958
com.liferay	com.liferay.friendly.url.taglib	1.2.0		684226e1e45f585c45fe19e2b749ef437cf09013
com.liferay	com.liferay.friendly.url.taglib	1.2.0	jspc	495c072486c353b751fd279d58b7341e549757a3
com.liferay	com.liferay.friendly.url.taglib	1.2.0	taglibdoc	3281b265f455e87b0f8dcb3ac9f18595472b83e5
com.liferay	com.liferay.friendly.url.taglib	1.2.1		8d00955ebc8e2b884faf3c537c81dfa664fa8f5f
com.liferay	com.liferay.friendly.url.taglib	1.2.1	jspc	cb8e4139131f8d3cc15b8b1b2259ab4be69872a0
com.liferay	com.liferay.friendly.url.taglib	1.2.1	taglibdoc	3e03471d444eab2e293b7599bb4fa40d65b3b612
com.liferay	com.liferay.friendly.url.taglib	1.2.2		af951f188557eaad0eef3939d542a39b7f19d3bd
com.liferay	com.liferay.friendly.url.taglib	1.2.2	jspc	e3c18fb72fdc708a5b76ad3751374697ea5c2255
com.liferay	com.liferay.friendly.url.taglib	1.2.2	taglibdoc	dd55367c2da303e7beff4b937010c26473ba5fd8
com.liferay	com.liferay.friendly.url.taglib	1.2.3		de427b5b549c1b523b4c38b296f5c29122858943
com.liferay	com.liferay.friendly.url.taglib	1.2.3	jspc	e51e2a0b9c1c79d60eec3a13d0fe5994bdbf81d8
com.liferay	com.liferay.friendly.url.taglib	1.2.3	taglibdoc	916f179d09721643eb8ac611b5186b26abd8db16
com.liferay	com.liferay.friendly.url.taglib	1.2.4		87fc992320ac990d514e0ea109ea1fa17c5280c7
com.liferay	com.liferay.friendly.url.taglib	1.2.4	jspc	0711ad86f1be57b78e4def9d1dba9a0fbdb81084
com.liferay	com.liferay.friendly.url.taglib	1.2.4	taglibdoc	378c0bd8bd1d40305ebaa74802d9898893c83c5c
com.liferay	com.liferay.friendly.url.taglib	1.3.0		61d6a870db82ad297007fac7b6d360820c3821d5
com.liferay	com.liferay.friendly.url.taglib	1.3.0	jspc	42903d6ec9769b1662ec541f934879833d7d88f8
com.liferay	com.liferay.friendly.url.taglib	1.3.0	taglibdoc	8ee4ae9d25dee591b9d07bbea3b560b4da75f94c
com.liferay	com.liferay.friendly.url.taglib	1.3.1		666669455f268f07f432c6becea0be27d3f42250
com.liferay	com.liferay.friendly.url.taglib	1.3.1	jspc	159027f455acb76c3fc36b0d10ce4a6f40682ce7
com.liferay	com.liferay.friendly.url.taglib	1.3.1	taglibdoc	48997316ea319de69d79bf3b7ab3ba15a964dfd5
com.liferay	com.liferay.friendly.url.taglib	1.3.10		0d29af7f86fe7440633fb8387ed9967158fbf121
com.liferay	com.liferay.friendly.url.taglib	1.3.10	jspc	0fe6820c1eef0cb1958378ad8900a761a209871c
com.liferay	com.liferay.friendly.url.taglib	1.3.10	taglibdoc	814e034d07fc5af982f17a47d404b1ae64be4d22
com.liferay	com.liferay.friendly.url.taglib	1.3.11		6f35acc2b0527b543a6fe6648b921bf25bed36fc
com.liferay	com.liferay.friendly.url.taglib	1.3.11	jspc	abc5f0f0c2714f1f62fba3d506bfc6214b099ef6
com.liferay	com.liferay.friendly.url.taglib	1.3.11	taglibdoc	0c3727bf424e3d593ecee8446ddc461310c6d3ab
com.liferay	com.liferay.friendly.url.taglib	1.3.12		e6a17c9820f32784f8dfd3e29596cc8810d66dfd
com.liferay	com.liferay.friendly.url.taglib	1.3.12	jspc	dbd6b2bf46182d80f8a235a82291b581fdff6ce5
com.liferay	com.liferay.friendly.url.taglib	1.3.12	taglibdoc	2dd84ae50b6d0d4c25e62c6333cb7d22d9447dd3
com.liferay	com.liferay.friendly.url.taglib	1.3.13		399faabda988d43a23581f96b5a63cbeabb90874
com.liferay	com.liferay.friendly.url.taglib	1.3.13	jspc	1dc26adfe011c2e5191d8436be35eef6473decbe
com.liferay	com.liferay.friendly.url.taglib	1.3.13	taglibdoc	35f97d4e6d093b0bafdf252570ab951d625922b4
com.liferay	com.liferay.friendly.url.taglib	1.3.14		e98efdd1c66deb0a14d8dec57f253361ecffa8df
