au.com.agiledigital	agile-scrooge-generator_2.10	0.1		fec0af63fee0cae77ca1a0191750592e12e14b6b
cn.herodotus.engine	oauth2-sdk-authorization	2.7.16.Final		9529d50402b54a85a82474b60c70df0e13845248
cn.herodotus.engine	oauth2-sdk-authorization	2.7.18.Final		d2fa49790756e008fc05922a11d208c4a3c26567
cn.herodotus.engine	oauth2-sdk-authorization	2.7.2.0		c62ffd3eafc2a635928da2a53501b7cd88e22e08
cn.herodotus.engine	oauth2-sdk-authorization	2.7.2.1		1c641f53807667b70e4e137eea857b6a16002bd9
cn.herodotus.engine	oauth2-sdk-authorization	2.7.2.2		b1f56e120cc83b6c2d90e0680625b3f2b64e0ed4
cn.herodotus.engine	oauth2-sdk-authorization	2.7.2.3		5805c1a9ba6475309b1004d36ffa6aed95f7d7d8
cn.herodotus.engine	oauth2-sdk-authorization	2.7.2.4		4437aafaf683b20077f59ca80c4e3743ce42e200
cn.herodotus.engine	oauth2-sdk-authorization	2.7.2.5		1c1442298830fef03b7a60cdad906e879e52fd9f
cn.herodotus.engine	oauth2-sdk-authorization	2.7.2.6		74d6add61126c43199e5811ebb22734bb4e10576
cn.herodotus.engine	oauth2-sdk-authorization	2.7.3.0		2e2ecb46f8cb600a176b727538dd059167af139b
cn.herodotus.engine	oauth2-sdk-authorization	2.7.3.1		c1d64862ed657e0080465e95e948b3ce79e0c04f
cn.herodotus.engine	oauth2-sdk-authorization	2.7.3.2		c8a2e2b0f3473ef656b52d9db9c645141f81cbd5
cn.herodotus.engine	oauth2-sdk-authorization	2.7.3.3		c4889aeb251f5c0cbb1980c50b5e8d160d5e9ba0
cn.herodotus.engine	oauth2-sdk-authorization	2.7.3.4		04f42f3a35ea9dbdf1e37bee275fd63fb424dd31
cn.herodotus.engine	oauth2-sdk-authorization	2.7.3.5		29587c5dc4e5c09bf76f151d32c279ff725d394c
cn.herodotus.engine	oauth2-sdk-authorization	2.7.3.6		5875cff273c72756cb94cfbbebd30fb053f4aa5d
cn.herodotus.engine	oauth2-sdk-authorization	2.7.4.0		39eb0ae553b7823ab9980098bf6f28da18427a30
cn.herodotus.engine	oauth2-sdk-authorization	2.7.4.1		45810bd32c119246b743da506f444e5d3f806f3f
cn.herodotus.engine	oauth2-sdk-authorization	2.7.4.2		783e7b4a527cc9d76a3776f07364cb1cea82b571
cn.herodotus.engine	oauth2-sdk-authorization	2.7.4.3		6461b756b763ee02c16a9c4edd7497ca6bce3db9
cn.herodotus.engine	oauth2-sdk-authorization	2.7.4.4		a314287f1a3fac41d7616e457910c6b02bc7fae2
cn.herodotus.engine	oauth2-sdk-authorization	2.7.4.5		e835d57ad81934363825c8489b635883a82349f0
cn.herodotus.engine	oauth2-sdk-authorization	2.7.5.0		1439170888d657c58769374521ad7389daf135d7
cn.herodotus.engine	oauth2-sdk-authorization	2.7.5.1		d11c79c829db01f5ceddf9e9f3c8b4f536860634
cn.herodotus.engine	oauth2-sdk-authorization	2.7.5.2		2a1e890935b1b8cfd29779561f48418f7791c805
cn.herodotus.engine	oauth2-sdk-authorization	2.7.5.3		5ba167e6fafaa5a90d2813866605cb8a65f8ff88
cn.herodotus.engine	oauth2-sdk-authorization	2.7.6.0		eb7790d3bfd3f0b79a16292e100b3f1312a6b497
cn.herodotus.engine	oauth2-sdk-authorization	2.7.6.1		fe40da72550474e93ff2c627e00788f4cf7b9d2a
cn.herodotus.engine	oauth2-sdk-authorization	2.7.7.0		8a6f470a3b20aa83ab16b4c7a316877069473245
cn.herodotus.engine	oauth2-sdk-authorization	2.7.7.1		b89c6a483b956b92f7c4fb0adf2223320d5e5b9f
cn.herodotus.engine	oauth2-sdk-authorization	2.7.7.2		f3abefac71849341eb3ad9df7989dfdba277cf55
cn.herodotus.engine	oauth2-sdk-authorization	2.7.7.3		6fbdd4e672c58a0008b23a7a2dd8adfff5e08b57
cn.herodotus.engine	oauth2-sdk-authorization	2.7.7.4		0497c3e603e92d051466f2cb6098edb1014f57cf
cn.herodotus.engine	oauth2-sdk-authorization	2.7.7.5		aef558ac36f0b39bef313402d522c1b7a8a4696d
cn.herodotus.engine	oauth2-sdk-authorization	2.7.8.0		2a409eabb9cad823680b5652c11a0570733145e9
cn.herodotus.engine	oauth2-sdk-authorization	2.7.8.1		fa3adbb694078225cb4d6ffe6c6325682a10223e
cn.herodotus.engine	oauth2-sdk-authorization	2.7.9.0		ea2b78a8b3968b5efaeeaff6bd30545be8538823
cn.herodotus.engine	oauth2-sdk-authorization	2.7.9.1		3887f3e4f87953e2ba1ffaad4292d0452d6834d8
cn.herodotus.engine	oauth2-sdk-authorization	2.7.9.2		cfed54edacfe1ec07134bf983a1bb77ebbc04425
cn.herodotus.engine	oauth2-sdk-authorization	3.0.0-M1		b77b9f027334c2a23c472d91b743e2db92336a8f
cn.herodotus.engine	oauth2-sdk-authorization	3.0.0-M2		44dd921300ae9a64608cd3bc05ee2ffb6d1e9019
cn.herodotus.engine	oauth2-sdk-authorization	3.0.0-M3		3387c27097a162e76bbd5aae8cc6f61d64129d57
cn.herodotus.engine	oauth2-sdk-authorization	3.0.0-M5		111f669f943048d25a45024e9ce24c0e080140dd
cn.herodotus.engine	oauth2-sdk-authorization	3.0.0-RC1		0ee2f3159a116ee69ba534f55271eb718a028eb9
cn.herodotus.engine	oauth2-sdk-authorization	3.0.0-RC2		0c9dee01c874d15811919fa90822050310f28459
cn.herodotus.engine	oauth2-sdk-authorization	3.0.0-RC3		9fdd3c5df2f6aba6838986e0860aa0541638b52c
cn.herodotus.engine	oauth2-sdk-authorization	3.0.0.0		c1626f62b2154fbb59b53c217837b112c3dc474d
cn.herodotus.engine	oauth2-sdk-authorization	3.0.1.0		e3b7261afe52851dbc9cd342877019db59445bdd
cn.herodotus.engine	oauth2-sdk-authorization	3.0.2.0		cf7d0d76b09ebf0d0bdcf5b520004c668df4b46c
cn.herodotus.engine	oauth2-sdk-authorization	3.0.2.1		6241384e4a5a3a0cc15be53274a5db5ce804f42b
cn.herodotus.engine	oauth2-sdk-authorization	3.0.2.2		34b939374ae3ac38a1ca52190ffd09893d1a18c0
cn.herodotus.engine	oauth2-sdk-authorization	3.0.2.3		35fb7b5950adeb921d30225eecc4b6a884363fd5
cn.herodotus.engine	oauth2-sdk-authorization	3.0.3.0		4f83422d327943ebd22e63c40e635053ae31fb7b
cn.herodotus.engine	oauth2-sdk-authorization	3.0.4.0		8b7338e6008f9632ed7d8eb8101c463934af7f24
cn.herodotus.engine	oauth2-sdk-authorization	3.0.4.1		74979a54b55705c9f5361345a761954e44c50477
cn.herodotus.engine	oauth2-sdk-authorization	3.0.4.2		71c556369aead27ce4e71272eec5c5eccdfceb88
cn.herodotus.engine	oauth2-sdk-authorization	3.0.5.0		6b8da59b401c6615a4cac0de72c7e9d0c297947e
cn.herodotus.engine	oauth2-sdk-authorization	3.0.5.1		0e00190f1922df84dffeb2b60801bc27e8e51b4a
cn.herodotus.engine	oauth2-sdk-authorization	3.0.5.2		0bcf0b2007f301a07da470b6301f8e90f6e4ccf9
cn.herodotus.engine	oauth2-sdk-authorization	3.0.5.3		4dfe82ca710a6ebff05c50264c0697c136709969
cn.herodotus.engine	oauth2-sdk-authorization	3.0.5.4		e4ffa7954d7ca81d7b707053633189e69520fefc
cn.herodotus.engine	oauth2-sdk-authorization	3.0.5.5		f12b89a6b74f6ec254b0f9673e09906833b3bb97
cn.herodotus.engine	oauth2-sdk-authorization	3.0.6.0		b05265a06764fe4ed6d4f197852ec1cc2ef808a9
cn.herodotus.engine	oauth2-sdk-authorization	3.0.6.1		29e6bd4bfefd99b635163b004fbb4b60fe795a1f
cn.herodotus.engine	oauth2-sdk-authorization	3.0.6.2		b6badd17494e327ec0d018ee29410ed8217fea20
cn.herodotus.engine	oauth2-sdk-authorization	3.0.6.3		b196e18f35cb6260a95cc5423c398d379dcc86b9
cn.herodotus.engine	oauth2-sdk-authorization	3.0.6.4		c70c0802694da72acd7bef37b57536699db5c934
cn.herodotus.engine	oauth2-sdk-authorization	3.0.7.0		b2faef356968e1705b19c2e8e1bf362855ba3c19
cn.herodotus.engine	oauth2-sdk-authorization	3.1.0.0		6abebcb1c47d7b54531cab730c908d8d2bb6bf4f
cn.herodotus.engine	oauth2-sdk-authorization	3.1.0.1		fae909d78bfb85a16f906ab66f2b2d875d490b9e
cn.herodotus.engine	oauth2-sdk-authorization	3.1.0.2		ad699e164b5e73410df7a4ceef520c5d263169c3
cn.herodotus.engine	oauth2-sdk-authorization	3.1.0.3		80676e0a2028e0381c309b4e694b8660766456ce
cn.herodotus.engine	oauth2-sdk-authorization	3.1.0.4		fbddeceb5e94fd36cc916b79d695537f44e2549c
cn.herodotus.engine	oauth2-sdk-authorization	3.1.0.5		b209eddcf718c2b47aa021fef4e468e609a6f708
cn.herodotus.engine	oauth2-sdk-authorization	3.1.0.6		5d72ca1f963ce131b87a9da5a114ebcc8b2e9ddf
cn.herodotus.engine	oauth2-sdk-authorization	3.1.0.7		5cfd7097583839e8338c85d90bde6c8a8f0a1db5
cn.herodotus.engine	oauth2-sdk-authorization	3.1.0.8		22535360528ac9dc3fa20167360e487ff1018dff
cn.herodotus.engine	oauth2-sdk-authorization	3.1.1.0		a0b4c42cb5d0f0b0aec3f9dd73c15877debe37a1
cn.herodotus.engine	oauth2-sdk-authorization	3.1.1.1		71c53736f2d13f983b43738634e6ea7541318e46
cn.herodotus.engine	oauth2-sdk-authorization	3.1.1.2		51786c777081fd0ee4d2f0164ae5a67dfce0bd0f
cn.herodotus.engine	oauth2-sdk-authorization	3.1.1.3		042b2ecdcac092fb9ba0592ca6ab8bfa60b253fb
cn.herodotus.engine	oauth2-sdk-authorization	3.1.10.0		eaa9c532576fddb567136029a6b18fe6f24661d6
cn.herodotus.engine	oauth2-sdk-authorization	3.1.10.1		f208cdc3d9e15d3b9bea1c0fc78b3b887e7a13b1
cn.herodotus.engine	oauth2-sdk-authorization	3.1.10.2		725585db0380a6d888057afbed4f15a38543299f
cn.herodotus.engine	oauth2-sdk-authorization	3.1.11.0		9e05681702cbfc0305d7ccc3170fdfb97380b31a
cn.herodotus.engine	oauth2-sdk-authorization	3.1.11.1		a2e131801db06a8dc32937b4a09b5d78ddba249a
cn.herodotus.engine	oauth2-sdk-authorization	3.1.11.2		838b967c6a99a8069ef6d097979f07529804812d
cn.herodotus.engine	oauth2-sdk-authorization	3.1.11.3		972b439408b490e1cc6332136d19f7c827458578
cn.herodotus.engine	oauth2-sdk-authorization	3.1.12.0-Final		4e5240f74d954df632576d407cb747702cd89205
cn.herodotus.engine	oauth2-sdk-authorization	3.1.2.0		b885ee6c79cf4290a94126b3359c4d78c8458902
cn.herodotus.engine	oauth2-sdk-authorization	3.1.2.1		19894cfc29e2f1eb2bf3c922bbe5d9c44f159769
cn.herodotus.engine	oauth2-sdk-authorization	3.1.2.2		9e8cbc2ffe5d13e9e98d68c84b8a32f2df9c88bb
cn.herodotus.engine	oauth2-sdk-authorization	3.1.2.3		5a5782ecf55d48c1dbf5161317068f6d33e54e95
cn.herodotus.engine	oauth2-sdk-authorization	3.1.2.4		d886367fb3bf8620302308f73a340325a53cff65
cn.herodotus.engine	oauth2-sdk-authorization	3.1.3.0		b1c97424eaf65fe67f1e356f4ef227ac162191de
cn.herodotus.engine	oauth2-sdk-authorization	3.1.3.1		81949ef301d616118e9433a5e338c3a21e952c41
cn.herodotus.engine	oauth2-sdk-authorization	3.1.3.2		2068f12dad88e2d3e454197eddf461f314054ea4
cn.herodotus.engine	oauth2-sdk-authorization	3.1.3.3		930d215380d035d08773be91588ddf7478aeb8b2
cn.herodotus.engine	oauth2-sdk-authorization	3.1.3.4		01f7d4a929310f1c28b9a926a5df62b16754f77b
cn.herodotus.engine	oauth2-sdk-authorization	3.1.3.5		2b1d4064bd77394cdf0d9c567a989724af5a82c1
cn.herodotus.engine	oauth2-sdk-authorization	3.1.3.6		1b4b6839955c29f22f60efc13df3f79e7945c219
cn.herodotus.engine	oauth2-sdk-authorization	3.1.4.0		c67a437c56119d3a05ebbd1695629a9729272027
cn.herodotus.engine	oauth2-sdk-authorization	3.1.4.1		e371bef4aedf42b4c8c52d95006120634d0fb224
cn.herodotus.engine	oauth2-sdk-authorization	3.1.4.2		fec38785111901e86246701a5585f9c27e13a2a4
cn.herodotus.engine	oauth2-sdk-authorization	3.1.4.3		5bc63e50b906083e9fcbcb58d7a103478810f75f
cn.herodotus.engine	oauth2-sdk-authorization	3.1.5.0		410a7007867206f10d6ae62a6ffe23b2982216fd
cn.herodotus.engine	oauth2-sdk-authorization	3.1.5.1		ec5b25d4496aca428bb21973d760d4ee705edd93
cn.herodotus.engine	oauth2-sdk-authorization	3.1.5.2		77fff5d41cf091c27bf321874dad359939db0a1d
cn.herodotus.engine	oauth2-sdk-authorization	3.1.5.3		35e88616b9b5704428d5cc4d4482b70b4da45536
cn.herodotus.engine	oauth2-sdk-authorization	3.1.5.4		ed8bce88afad5b8b8f50fbfc1cfbe714ff6fae8c
cn.herodotus.engine	oauth2-sdk-authorization	3.1.5.5		243ea6555a28c7f555cb1491a4f76495b479dfd5
cn.herodotus.engine	oauth2-sdk-authorization	3.1.5.6		f2d4539fdac299efeaaafe4597b6e8233d6eaaa7
cn.herodotus.engine	oauth2-sdk-authorization	3.1.5.7		370da01af7dff708fd0c9ed84f2ee50902da9c54
cn.herodotus.engine	oauth2-sdk-authorization	3.1.5.8		adcd5796b40f7ec7e9aab4b513a4a97fec0c3b08
cn.herodotus.engine	oauth2-sdk-authorization	3.1.6.0		42302e76faab9f0dfe60151af9e57c8831943a05
cn.herodotus.engine	oauth2-sdk-authorization	3.1.6.1		d7dfdeba1471b3950c6a1e0b08e67dccf61f1a15
cn.herodotus.engine	oauth2-sdk-authorization	3.1.6.2		6d92a5346d09416e64978528815fd332c17bd563
cn.herodotus.engine	oauth2-sdk-authorization	3.1.6.3		a594665c31f5b281945be868235a57bec65d6064
cn.herodotus.engine	oauth2-sdk-authorization	3.1.7.0		d4bd2d2d62f4fb836bf1c5dec61d25e30352e0a2
cn.herodotus.engine	oauth2-sdk-authorization	3.1.7.1		8f353cdfa8d4c2dac1b58c9ac788d6a7fbc4c469
cn.herodotus.engine	oauth2-sdk-authorization	3.1.7.2		22a298081644f136c3576381c266c68209fa5bf6
cn.herodotus.engine	oauth2-sdk-authorization	3.1.7.3		fc29bf9ba37a53bdafb60d2004eb78fe3003ecd9
cn.herodotus.engine	oauth2-sdk-authorization	3.1.7.4		f927d23e0ed7e9e88114d892a80b876599661c79
cn.herodotus.engine	oauth2-sdk-authorization	3.1.7.5		329efb87c6ec6d4270cf2b6d750d84f0e888a641
cn.herodotus.engine	oauth2-sdk-authorization	3.1.8.0		089edc13908631109c473592394f5c40e23baf7a
cn.herodotus.engine	oauth2-sdk-authorization	3.1.8.1		69810ee75aa4ca001ce5a70999c688ed98007397
cn.herodotus.engine	oauth2-sdk-authorization	3.1.8.2		c6a18e0c64cf43c6d336fdddd13fbceaac210ec1
cn.herodotus.engine	oauth2-sdk-authorization	3.1.8.3		7e7aed4aeeb542e6e478f26171d992c84cce5880
cn.herodotus.engine	oauth2-sdk-authorization	3.1.8.4		17fc24325298dff66cd1d19734b3b48f6239d1bf
cn.herodotus.engine	oauth2-sdk-authorization	3.1.9.0		dd79e5caa49099352f9498effcd2aceae4d4d525
cn.herodotus.engine	oauth2-sdk-authorization	3.1.9.1		8d84d37aacf149e0d24d2718ddddb5964fa732c9
cn.herodotus.engine	oauth2-sdk-authorization	3.1.9.2		14a1f6753e7ce455c015216baf63a5e6eb0cea51
cn.herodotus.engine	oauth2-sdk-authorization	3.2.0-RC1		0dfe9fc9fe832d5dbbfd85fb22e9541665a2e3b7
cn.herodotus.engine	oauth2-sdk-authorization	3.2.0-RC2		5b088ea7e3d90ae210af70fe7777bfee61625bb3
cn.herodotus.engine	oauth2-sdk-authorization	3.2.0-RC3		f8e6b0b1f83c57f7185ddd34ac21fb13e48f4774
cn.herodotus.engine	oauth2-sdk-authorization	3.2.0.0		c398aadf56a5441f5affab394fcf430edcc7198f
cn.herodotus.engine	oauth2-sdk-authorization	3.2.0.1		e27c1a9a1ee32ef1ef4a8228ea304b7ab821c5b0
cn.herodotus.engine	oauth2-sdk-authorization	3.2.0.2		d6ed6d2ed731ac6e7ded19464398eb54540fbb8d
cn.herodotus.engine	oauth2-sdk-authorization	3.2.1.0		a381597a88faedda5eba5d22eda23ad8f2ff9c5c
cn.herodotus.engine	oauth2-sdk-authorization	3.2.1.1		f7e7c92f4e31435519a5cccade3bf5a1bce89a11
cn.herodotus.engine	oauth2-sdk-authorization	3.2.1.2		4186ac6b65638b452fad6eaa12db828cfcc2ba5d
cn.herodotus.engine	oauth2-sdk-authorization	3.2.1.3		c0e7b5407daeab4067f570d19ad8f7944e2eaabf
cn.herodotus.engine	oauth2-sdk-authorization	3.2.1.4		139382a1357b15904c57b067eaab5bb591e879b3
cn.herodotus.engine	oauth2-sdk-authorization	3.2.1.5		f749564ec64c8c7c0a0d90e54a707b2524b24516
cn.herodotus.engine	oauth2-sdk-authorization	3.2.1.6		5a4b995a07513616127c8b21a0ad8438afda18b6
cn.herodotus.engine	oauth2-sdk-authorization	3.2.1.7		91d6662299f9480b63414c5f78d6abae68821f64
cn.herodotus.engine	oauth2-sdk-authorization	3.2.2.0		5c227ffc4de79b1e6c827caccadb699a70b86c7f
cn.herodotus.engine	oauth2-sdk-authorization	3.2.2.1		b7f696b31862f5b4dc71ec56644131930b3480af
cn.herodotus.engine	oauth2-sdk-authorization	3.2.2.2		8728d7c03ba7cc6cd0f83e0de78af6e5220a8fef
cn.herodotus.engine	oauth2-sdk-authorization	3.2.2.3		14926e9fd91476ee3a2a9b7ecd1ce0c1c49dcdaf
cn.herodotus.engine	oauth2-sdk-authorization	3.2.3.0		4db3f6569ffd67f2a5f09ed2d1b532d7f080633f
cn.herodotus.engine	oauth2-sdk-authorization	3.2.3.1		6641c547474176b2aef0d07bf2225101ca9656cd
cn.herodotus.engine	oauth2-sdk-authorization	3.2.3.2		dc65f9b9831a69747e36114cdbff89d53d505e2c
cn.herodotus.engine	oauth2-sdk-authorization	3.2.3.3		27297481cf4afd070218ddf7e1c7151939962de7
cn.herodotus.engine	oauth2-sdk-authorization	3.2.4.0		832e134547e1ab91536b3ed9a54957095ac79dfe
cn.herodotus.engine	oauth2-sdk-authorization	3.2.4.1		9c074fdb14976692b29df2a3e083af15bed564bb
cn.herodotus.engine	oauth2-sdk-authorization	3.2.4.2		81393065cb7ecc9cc04d3c9d2ab3dd3b58b1b32e
cn.herodotus.engine	oauth2-sdk-authorization	3.2.4.3		7131ad05fd8e54c5a41c22aae9cd29576c637cfe
cn.herodotus.engine	oauth2-sdk-authorization	3.2.5.0		17516641e8790afb7cc611559f87f7eb5f8998a2
cn.herodotus.engine	oauth2-sdk-authorization	3.2.5.1		f126226b1dec1b31f847d0c58be60ebc3fd1db9e
cn.herodotus.engine	oauth2-sdk-authorization	3.2.5.2		d89304a5f599bde58e63586d8658d318c3a8fba5
cn.herodotus.engine	oauth2-sdk-authorization	3.2.5.3		56f410af68e8ff80879c69685738288d5c941b0e
cn.herodotus.engine	oauth2-sdk-authorization	3.2.5.4		362fc43faf2be6ef3b1b77f570c3affb8a1c4c0b
cn.herodotus.engine	oauth2-sdk-authorization	3.2.6.0		82a1e592c3995ffbe21dba138766582ed69d8f8a
cn.herodotus.engine	oauth2-sdk-authorization	3.3.0.0		5b245ce39bc44c6d76c97a483c24551bebf53287
cn.herodotus.engine	oauth2-sdk-authorization	3.3.0.1		64f822cf8295782e6ab43fd26b5ca5d0502cb449
cn.herodotus.engine	oauth2-sdk-authorization	3.3.0.2		0f0d17d50aaddd3ab1693ef7534ae39e888c1d5b
cn.herodotus.engine	oauth2-sdk-authorization	3.3.0.3		42dee97a8dee62e1838ce1aa70de4e731f7d88c4
cn.herodotus.engine	oauth2-sdk-authorization	3.3.0.4		7acd21d08d67c67a213d61ca0146e1bab31cb26a
cn.herodotus.engine	oauth2-sdk-authorization	3.3.0.5		942cee892281f1fa5378d35e8022b2dd6f36c43f
cn.herodotus.engine	oauth2-sdk-authorization	3.3.0.6		fd176426e6cb74ef854509c56c31e0efb021eca7
cn.herodotus.engine	oauth2-sdk-authorization	3.3.1.0		9260e8fdf298b4fdfba3421bc5374328014580b6
cn.herodotus.engine	oauth2-sdk-authorization	3.3.1.1		bbc4697ebedd64d2a0b78b07ca8ba865a461d4c6
cn.herodotus.engine	oauth2-sdk-authorization	3.3.1.2		643d4d82236450784bf5d21b08d675099cfc0dc4
cn.herodotus.engine	oauth2-sdk-authorization	3.3.1.3		2e6d84731cfa821b675e56e705765cce6dc62a5f
cn.herodotus.engine	oauth2-sdk-authorization	3.3.2.0		b8f0dae29f72e4bbaba14775614a0cce64730d4b
cn.herodotus.engine	oauth2-sdk-authorization	3.3.2.1		bf259df57aeb10f0c37e273a90f1d7ff0ff861b8
cn.herodotus.engine	oauth2-sdk-authorization	3.3.2.2		5e441b80d01e9873f9f09689e027c8cd0c734d79
cn.herodotus.engine	oauth2-sdk-authorization	3.3.3.0		2a3e443820e57abb2460c53fa180f5e7cbf735ff
cn.herodotus.engine	oauth2-sdk-authorization	3.3.3.1		50286e250787aac72f78bb33165e82b58457e145
cn.herodotus.engine	oauth2-sdk-authorization	3.3.3.2		c09a9ca63f81917ed5bbcc8a717cb5ac7595b164
cn.herodotus.engine	oauth2-sdk-authorization	3.3.4.0		de1d89031657010f36b614bd3e11fcc760d813d2
cn.herodotus.engine	oauth2-sdk-authorization	3.3.4.1		20a918834cf9041630b552111774068e1a887e2e
cn.herodotus.engine	oauth2-sdk-authorization	3.3.4.2		85ac1f7456d814951cc639e90ec6a4186f284cea
cn.herodotus.engine	oauth2-sdk-authorization	3.3.4.3		70fbd8c4b3877d1da7aaa530f60cbeca3cf7db92
cn.herodotus.engine	oauth2-sdk-authorization	3.3.5.0		88dd098cb82f13bfd26be470741c0f8dd5d150f6
cn.herodotus.engine	oauth2-sdk-authorization	3.3.5.1		ff841d16a2f4ea8dbd2de97253da08f491b730e1
cn.herodotus.engine	oauth2-sdk-authorization	3.3.6.0		851755a38f6753e7c39748e4c121cf810fcebf5a
cn.herodotus.engine	oauth2-sdk-authorization	3.3.6.1		0fc0524e9bbd610487c0cbe1c7712cecb5808c86
cn.herodotus.engine	oauth2-sdk-authorization	3.4.0.0		379c18570ec12b31b4331ecfae92b8ef333bb79a
cn.herodotus.engine	oauth2-sdk-authorization	3.4.0.1		7d96c1d2a88edc6c4cd6f6c5f2006253c12a2e7f
cn.herodotus.engine	oauth2-sdk-authorization	3.4.1.0		07d7ce4e648b34b5fb97309bde5c32c154843299
cn.herodotus.engine	oauth2-sdk-authorization	3.4.1.1		963f133104a7dec24a6d7c279b76a0af167db1e0
cn.herodotus.engine	oauth2-sdk-authorization	3.4.1.2		9334c59b5177e03370fdd1e147734e03caf504f9
cn.herodotus.engine	oauth2-sdk-authorization	3.4.2.0		a75671cb11298064ade1618db73a935d66c64a7d
cn.herodotus.engine	oauth2-sdk-authorization	3.4.2.1		cafde2339a75c9a6f8aa5b81f78c135859c164dc
cn.herodotus.engine	oauth2-sdk-authorization	3.4.2.2		6dd2fd9c717da6cb9e4226c64c013292317b1dfa
cn.herodotus.engine	oauth2-sdk-authorization	3.4.3.0		2de076340034f2cbefe4e52d5520ca4060ee491d
cn.herodotus.engine	oauth2-sdk-authorization	3.4.3.1		3ee5a39552fbc51bcacbae0f7011c3f92460f93e
cn.herodotus.engine	oauth2-sdk-authorization	3.4.3.2		1e56a371dc5b100cbbbcaaa86b7723b60228cb0d
cn.herodotus.engine	oauth2-sdk-authorization	3.4.3.3		1f958cefc22652287c21ef4c6b5267fcd55cbf59
cn.herodotus.engine	oauth2-sdk-authorization	3.4.4.0		03943aaf5b7d931704bf5e9a8a691e51303e9af4
cn.herodotus.engine	oauth2-sdk-authorization	3.4.4.1		c1d3d557e5f2bbb554b9aaab0e64fb24a6f73324
cn.herodotus.engine	oauth2-sdk-authorization	3.4.4.2		449d18d1c98331eb5c4d77f63e3d60f63c85dba3
cn.herodotus.engine	oauth2-sdk-authorization	3.4.5.0		aebf23e47904c0a5645a63b0c919e9cc34b3568a
cn.stylefeng.roses	kernel-s-dict	7.0.0		N/A
cn.stylefeng.roses	kernel-s-dict	7.0.1		N/A
cn.stylefeng.roses	kernel-s-dict	7.0.2		N/A
cn.stylefeng.roses	kernel-s-dict	7.0.3		N/A
cn.stylefeng.roses	kernel-s-dict	7.1.0		N/A
cn.stylefeng.roses	kernel-s-dict	7.1.0.Final		N/A
