africa.shuwari	version-zio-prelude_native0.5_3	0.5.0	-	265f4efeabe0ba0fad4cba7c52e11c063fbc069c
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.4.11	pact-jvm-provider-sbt-2.4.11	6b32c97756392403b64d3dc484564ad55979b02a
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.4.12	pact-jvm-provider-sbt-2.4.12	b040e3f5a0ef4ce4c4f5d703512c7fc6e8d2c62a
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.4.13	pact-jvm-provider-sbt-2.4.13	49442cfdd1a4241ad73cac3b64937c201c1d7918
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.4.14	pact-jvm-provider-sbt-2.4.14	98f9a76dd77155b3f28b6a05b5847a78437ff367
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.4.16	pact-jvm-provider-sbt-2.4.16	c3cd67793330cb01806c603bb5504133b436089e
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.4.17	pact-jvm-provider-sbt-2.4.17	9835d57b2d992e7997dd8a104c713b17125427e3
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.4.18	pact-jvm-provider-sbt-2.4.18	21fbd576ffecafffe8e304584cd993ddd8ce8d58
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.4.19	pact-jvm-provider-sbt-2.4.19	5e50fc7bf3675c46995a0125c03af818cb2d720e
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.4.2	pact-jvm-provider-sbt-2.4.2	129cfd32f6122a651e498f851e042dde7d611941
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.4.3	pact-jvm-provider-sbt-2.4.3	be81c22459873fc4f6189c3803a9935a441d10b1
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.4.4	pact-jvm-provider-sbt-2.4.4	145e17091620d6734a3c9e117ea5c6ffea0ded77
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.4.5	pact-jvm-provider-sbt-2.4.5	21d07a1a4b0b88dd6c4b0359848905c799fdc16b
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.4.6	pact-jvm-provider-sbt-2.4.6	6301015e0563f6af1337bc6ed0c50472365b31fd
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.4.7	pact-jvm-provider-sbt-2.4.7	af8340c66d8a1a4f86cee7160738e6dd4027ff06
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.4.8	pact-jvm-provider-sbt-2.4.8	eaa70057583b7ae359fc016afcc5aa898747c3ef
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.4.9	pact-jvm-provider-sbt-2.4.9	d8569985657f16276f10aa6e40e16f7007b77d31
au.gov.nehta	schematron-check	1.1.0	-	747d4be5cb0aa78cb9be1f835ef5dbe185714e34
au.id.tmm.probability-measure	probability-measure-cats_2.12	0.0.1	-	eaf3faca080850f3d06fb07af67c4dda7a447e7f
au.id.tmm.probability-measure	probability-measure-cats_2.12	0.0.2	-	d2b36f373bd14953ee6740c0be719b487e3310d8
biz.aQute.bnd	bnd	2.1.0	-	6f15fd39ebab36ccb93bb910169be2e3254e6937
biz.aQute.bnd	bnd	2.2.0	-	cebeb2d2e7ed42c3cc0ec50aedf24545cf1dd811
biz.aQute.bnd	bnd	2.3.0	-	c0dcfcfe9ba49a4a485f54ef2ccb02400e7f7313
biz.aQute.bnd	bnd	2.4.0	-	3ab5ada7f0987d31237eb2a52b5c1191eb500716
br.com.anteros	Anteros-Mail	1.0.0	-	1ea8b36f28299e9b2cfbe4a3344be80498b9b8a6
br.com.anteros	Anteros-Mail	1.0.1	-	b98ed56ccb943318fc8ba66272edfcb3f140f21d
br.com.anteros	Anteros-Mail	1.0.11	-	0c60e94da2066ad04b0fe3e04e51efbb5fe21aa5
br.com.anteros	Anteros-Mail	1.0.12	-	f5726e8d93d937d2e4e202728415b5f96851ff76
br.com.anteros	Anteros-Mail	1.0.14	-	4db5128184325813341c7f8ee7d0990f3329e632
br.com.anteros	Anteros-Mail	1.0.5	-	6f30ed869490382ff6648cea27c5793d562c58a1
br.com.anteros	Anteros-Mail	1.0.6	-	c90cda69506fb5366b1e48a7684446ba9e980b77
br.com.anteros	Anteros-Mail	1.0.7	-	a64aa8902193fede30766b2f1d021ff5334a6eb1
br.com.anteros	Anteros-Mail	1.0.9	-	2a2c048ddc926f5bb851ff8e000e92ae57f01a0e
br.com.crazycrowd	logback-json-core	0.1.6	-	364ac4ce2f037d6b6a0dcd94a08231d5f555c8f8
br.com.objectos	testable-guava	0.1.0	-	94d5b0eb57715a2aba6ecee17000ec07ce58962f
br.com.objectos	testable-guava	0.2.0	-	157c19e159f6b3154900a5b37472981e465bbd4e
br.com.objectos	testable-guava	0.3.0	-	2be7ceb8f644874c75fdd47df87df4b0dd31cff6
br.com.objectos	testable-guava	0.4.0	-	345a642e548068c374efda4045e7575db4182461
br.com.objectos	testable-guava	0.4.1	-	cf07cd02b8a459755de518cf1ae1494aa86c4137
br.com.objectos	testable-guava	0.4.2	-	07ce55ee0bca95f546c472276bf2fc79f6f5776b
br.com.objectos	testable-guava	0.4.3	-	c823e148ff1501925213f69615e0f6db82d34b6f
br.com.objectos	testable-guava	0.7.0	-	dd9a8301bd3243367c3da06b7ac4dc73a2b552ec
br.com.objectos	testable-pojo-plugin	0.2.0	-	969cbcfc77d41b0e981b616773ba62c49ec5dbe7
br.com.objectos	testable-pojo-plugin	0.3.0	-	1f3310da3ff268c06f608d28197ec34039737dda
br.com.objectos	testable-pojo-plugin	0.4.0	-	1db29709c4d9c3d31a444fd6895c4a9cbe727e09
