at.bestsolution.fx.test	at.bestsolution.fx.test.rcontrol.sample	0.0.1		968f23c73fcd9dc19ae069436e67cc24affa0544
com.charleskorn.kaml	kaml-jvm	0.74.0		abeffe03e958d06cfa6496ecf7c3be9e566c33cf
com.charleskorn.kaml	kaml-jvm	0.75.0		abeffe03e958d06cfa6496ecf7c3be9e566c33cf
com.charleskorn.kaml	kaml-jvm	0.76.0		abeffe03e958d06cfa6496ecf7c3be9e566c33cf
com.charleskorn.kaml	kaml-jvm	0.77.0		abeffe03e958d06cfa6496ecf7c3be9e566c33cf
com.charleskorn.kaml	kaml-jvm	0.77.1		77fee41e34be3cbf6b096d48b739a6c9fe8d3ee8
com.chinagoods.framework.thinkcloud	think-cloud-starter-manager	2.0.1.RELEASE		acc5c40a5d1922fc8f08618c07f0eca6a99c15fd
com.chinagoods.framework.thinkcloud	think-cloud-starter-manager	3.0.1.RELEASE		6758d8490b68acdc8062a875393007df017bb776
com.chinagoods.framework.thinkcloud	think-cloud-starter-manager	3.0.2.RELEASE		65ccf0718307f2fad6b057ef9d316abef91c6dd4
com.chinagoods.framework.thinkcloud	think-cloud-starter-manager	3.1.0.RELEASE		2aa44d4d23e145513383e33e6aad12eff0fa9853
com.chinagoods.framework.thinkcloud	think-cloud-starter-manager	3.1.2.RELEASE		030b952081be1733eb6c7d11139c948d0f811215
com.chinagoods.framework.thinkcloud	think-cloud-starter-manager	3.1.5.RELEASE		447a3dde87f2313fa89621301d489ec3e8489fbf
com.chinagoods.framework.thinkcloud	think-cloud-starter-manager	3.1.7.RELEASE		a2a4f4e020b8eab62109db272e64fce673ca0fad
com.chinagoods.framework.thinkcloud	think-cloud-starter-manager	4.0.5		65f0bf0560773c65bc787e3c14305e8b136d6cbe
com.chinagoods.framework.thinkcloud	think-cloud-starter-manager	4.1.5		7d1bb288251766e01f62161562b22231debc259b
com.chinagoods.framework.thinkcloud	think-cloud-starter-manager	4.2.3		b66b8acc1e1a757087ebe29c050b5dc7171b453f
com.chinagoods.framework.thinkcloud	think-cloud-starter-manager	4.2.5		b36a5fd57d6917981e36b4632314abc78208ae76
com.composum.platform	composum-platform-workflow-bundle	1.1.2		54811f59875a4c2b7145f84e5fb3d819c14631e4
com.composum.platform	composum-platform-workflow-bundle	1.1.3		b85c6f0cff0e91db07c2810b886a87314646c817
com.composum.platform	composum-platform-workflow-bundle	1.2.0		5c1e8462c85cc9b0c55f1c7e9e3cf08f81d1b7ed
com.coralogix.sdk.appenders	log4j2-appender	1.2		769da2849de81279e631ac8da8f0e22d6ffe3d49
com.coralogix.sdk.appenders	log4j2-appender	1.2.1		f9b651d20a68c8eed6bf0ac1c5de752cf36f4216
com.coralogix.sdk.appenders	log4j2-appender	1.2.2		ba27da359fabdab9bc67f622c18e3049d98ae9cf
com.coralogix.sdk.appenders	log4j2-appender	1.2.3		b208e7f2e52d775f688ee45da07e2c2cab18bcad
com.coralogix.sdk.appenders	log4j2-appender	1.2.4		5134ed9c6bc5129f81a2da412e09c127c12600ea
com.coralogix.sdk.appenders	log4j2-appender	1.2.5		5c1c458651d1e00dfd45444d6da7fba6a64ec227
com.coralogix.sdk.appenders	log4j2-appender	1.2.6		e09ddf03054b8294ee3db36122056df175a0c557
com.coralogix.sdk.appenders	log4j2-appender	1.2.7		9d48b6b4d1497d47bb8701f33a368579a1196bde
com.datastax.oss.simulacron	simulacron-driver-3x	0.10.0		21ac431a862efc6a9cdf6ef1a99f84fb4a3545b2
com.datastax.oss.simulacron	simulacron-driver-3x	0.11.0		e65491349d92502821abef6d159b085493a1f8b1
com.datastax.oss.simulacron	simulacron-driver-3x	0.12.0		868eb6d6a3f0b8cb6ea5c6412b4bd0f124a98ef7
com.datastax.oss.simulacron	simulacron-driver-3x	0.5.0		8501f9ec38efe851f70fe3adfe1cb07dfed6196d
com.datastax.oss.simulacron	simulacron-driver-3x	0.5.1		9c16bf060d29ca5e701090da212cc8b3a0cff155
com.datastax.oss.simulacron	simulacron-driver-3x	0.5.2		e9b71eb6a6829e7f30774f20a49705d601a5c56d
com.datastax.oss.simulacron	simulacron-driver-3x	0.5.3		df1bfa254621ac24a81c09feeb8c1d7dcbd5c7c0
com.datastax.oss.simulacron	simulacron-driver-3x	0.5.4		9d7d77774bb504d1e4f8e5a6d365d24df66345b2
com.datastax.oss.simulacron	simulacron-driver-3x	0.5.5		2ef989294a9c8ee4c4291d7cef6d6c9d685e3ea0
com.datastax.oss.simulacron	simulacron-driver-3x	0.5.6		da7ef887d4a2a8c3103c0757bb152f84ff82500f
com.datastax.oss.simulacron	simulacron-driver-3x	0.6.0		3a4acd5b10a8d63c61fbe4278177e90be42827f7
com.datastax.oss.simulacron	simulacron-driver-3x	0.7.0		2355c471265309cbeab85280abe9323eaefc86b6
com.datastax.oss.simulacron	simulacron-driver-3x	0.8.0		f1d08a92edd2303e75893307e8e5cdafd7656cc7
com.datastax.oss.simulacron	simulacron-driver-3x	0.8.1		3b6eb18b5c1c0b1e791593b1c1ce7a32537dc6b8
com.datastax.oss.simulacron	simulacron-driver-3x	0.8.10		4372ac576cc438350845e01fa0b0b98dced619ae
com.datastax.oss.simulacron	simulacron-driver-3x	0.8.2		9559dc308fcdbcd9bfb5dbecd4f291663c6f3a4c
com.datastax.oss.simulacron	simulacron-driver-3x	0.8.3		905b44ad6a81145bfb9d7be485424bc4b5462bd1
com.datastax.oss.simulacron	simulacron-driver-3x	0.8.4		4ad5fbc370930e4ff90560fdf848fb0120994ee5
com.datastax.oss.simulacron	simulacron-driver-3x	0.8.5		f351dbd5d6b21f132fd4274748d31f2f0891f4b1
com.datastax.oss.simulacron	simulacron-driver-3x	0.8.6		9683352c8a223d522f5fac222d508822e3edd350
com.datastax.oss.simulacron	simulacron-driver-3x	0.8.7		276d3804f8a4366d4dd0977588a9eeb6f33bfebf
com.datastax.oss.simulacron	simulacron-driver-3x	0.8.8		2ca22478668cccf449d52f0863ff63224be3e911
com.datastax.oss.simulacron	simulacron-driver-3x	0.8.9		13cfb0b9ca5d87ef15ce4104d3a926981560eff4
com.datastax.oss.simulacron	simulacron-driver-3x	0.9.0		b74d4f7c43837f461d419f72cc13ed114aae5c3e
com.github.adedayo.eclipse.sdk	org.eclipse.equinox.security.macosx	1.100.200		0172c9f74ec93be8345e1dd620ba7cb883165dd4
com.github.houbb	image	1.0.0		796f6f29d9efc572a9cd56aeee539a77ad92144d
com.github.houbb	image	1.1.0		adb129b29e5aa5d19976fe1db403ca2dc4265f9e
com.github.music-of-the-ainur	http-almaren_2.11	0.0.1-2.4		ec2c94878d4be7cc5b0ecc0d095d4f7e4eb2a16c
com.github.music-of-the-ainur	http-almaren_2.11	0.1.0-2.4		2df7d8e4c6c2c902c3a878494922ed321bb04ee9
com.github.music-of-the-ainur	http-almaren_2.11	0.1.1-2.4		a7f0c9cb8bfe2e59b1eadb4bd4dcdee3bd42a066
com.github.music-of-the-ainur	http-almaren_2.11	0.1.2-2.4		57daba7592ab3889cbdd8a4d311b5b0507c82a99
