com.apollographql.apollo3	apollo-api-tvosx64	4.0.0-beta.1	metadata	fc4a1ed7901eef81e16f6f00959ba5e3973ea452
com.apollographql.apollo3	apollo-api-tvosx64	4.0.0-beta.2		N/A
com.apollographql.apollo3	apollo-api-tvosx64	4.0.0-beta.2	metadata	5b88a4e131b77fc877a6f563aee4c855ba94d5ec
com.apollographql.apollo3	apollo-api-tvosx64	4.0.0-beta.3		N/A
com.apollographql.apollo3	apollo-api-tvosx64	4.0.0-beta.3	metadata	19e3be7ae0f3ed0d173d489ef05446e4c73fee29
com.apollographql.apollo3	apollo-api-tvosx64	4.0.0-beta.4		N/A
com.apollographql.apollo3	apollo-api-tvosx64	4.0.0-beta.4	metadata	c0a2338027957cc17963cf497a0634e49f8c1fc4
com.apollographql.apollo3	apollo-api-tvosx64	4.0.0-beta.5		N/A
com.apollographql.apollo3	apollo-api-tvosx64	4.0.0-beta.5	metadata	620e2518aa83fde5cc291b4b77aed4107855aa59
com.apollographql.apollo3	apollo-api-tvosx64	4.0.0-beta.6		N/A
com.apollographql.apollo3	apollo-api-tvosx64	4.0.0-beta.6	metadata	7a3c766215de99b9af1e82f8d15f674741bcf2dc
com.apollographql.apollo3	apollo-api-tvosx64	4.0.0-beta.7		N/A
com.apollographql.apollo3	apollo-api-tvosx64	4.0.0-beta.7	metadata	e730fa887d80ccff9e03326d0fbcb2e0e0f26f01
com.atlassian.stash	stash-java-client-bamboo-specs	2.1.0		8a2fb982eeb9fdd25c7169fe3c49c79ad63114d8
com.atlassian.stash	stash-java-client-bamboo-specs	2.3.11		e123cfe5f1b61d1aced3ff3835a3bde1740b4d21
com.atlassian.stash	stash-java-client-bamboo-specs	2.3.12		8859c0dcd615b58a610481665e8421a4d21049da
com.consol.citrus	citrus-db-server	0.1.0		82d3e37d7540abdc738bf73f63b48042e2969825
com.consol.citrus	citrus-db-server	0.1.1		7f7306bb0ee27b4381fa2816e8e2ec0572c7911d
com.consol.citrus	citrus-db-server	0.1.2		b0dbdc0209d9fcbbc6fe58a85030e0db9f21574c
com.consol.citrus	citrus-db-server	0.1.3		9efcb8980cdabca7fb82de85a1ba5d01488b84c2
com.consol.citrus	citrus-db-server	0.1.4		18b46dfac6a991cc5b7d7eca67595ccd40b46cfb
com.cyngn.ambient	ambientsdk	1.4.0		N/A
com.cyngn.ambient	ambientsdk	1.5.10		N/A
com.cyngn.ambient	ambientsdk	1.5.11		N/A
com.cyngn.ambient	ambientsdk	1.5.2		N/A
com.cyngn.ambient	ambientsdk	1.5.3		N/A
com.cyngn.ambient	ambientsdk	1.5.4		N/A
com.cyngn.ambient	ambientsdk	1.5.5		N/A
com.cyngn.ambient	ambientsdk	1.5.8		N/A
com.cyngn.ambient	ambientsdk	1.6.0-147069776-39fe2d07		N/A
com.disneystreaming.smithy	aws-worklink-spec	2023.02.09		672d6ca249460d44a31b7a016a9591d9e7de09d3
com.disneystreaming.smithy	aws-worklink-spec	2023.02.10		6ea2ca7ef029bcdde44db731558dce45a67f5a5a
com.disneystreaming.smithy	aws-worklink-spec	2023.09.22		dbaa5a49eaa8878dac7699b55050ed9a8b5b847d
com.disneystreaming.smithy	aws-worklink-spec	2023.14.24		7d0e2d28d10d91e110e1bc5791d21c980fd0f94f
com.disneystreaming.smithy	aws-worklink-spec	2023.22.04		062dd45d0800ef0b6d4f5a7ab63454c56e5fce5a
com.disneystreaming.smithy	aws-worklink-spec	2023.22.13		82684130fced641abf7f154b5e59196c32b1dc5e
com.disneystreaming.smithy	aws-worklink-spec	2023.23.06		b776294c5bf45f791489acd5267b1938a06c74c5
com.disneystreaming.smithy	aws-worklink-spec	2023.23.30		9729de3d5a7ef75351abedc70f728f70b9bbe593
com.dlazaro66.qrcodereaderview	qrcodereaderview	2.0.1		N/A
com.dlazaro66.qrcodereaderview	qrcodereaderview	2.0.2		N/A
com.firework.android.exoplayer	exoplayer-extractor	2.16.1		N/A
com.firework.android.exoplayer	exoplayer-extractor	2.16.1.6		N/A
com.firework.android.exoplayer	exoplayer-extractor	2.16.1.7		N/A
com.github.alterego7	alphabet-soup_sjs1_2.13	0.4.0		9d2e6147c46a9b7e09e24ab0cf02fb3f63826823
com.github.calimero	calimero-core	2.1		d26eec82b446a2a7110f5ef98421e931663093c5
com.github.calimero	calimero-core	2.2		3245c7f03d6b3183d7f446da66f1024e6d03c1de
com.github.calimero	calimero-core	2.2-beta		27c36d940e89d9cbbc1d711e2c482ce464a1cb91
com.github.calimero	calimero-core	2.2.1		1f21015a4416dccd65f9f1d281e968ef0d1456ee
com.github.calimero	calimero-core	2.2.1-beta		c8d5edc0a7a81ba06e6a75d3c6b69068e12f8dd2
com.github.calimero	calimero-core	2.3		9eec53e84b3ac44c39fa779035739da20ac336f5
com.github.calimero	calimero-core	2.3-beta		8d99d106de7ab961c58222c118f13333b59f2426
com.github.calimero	calimero-core	2.4		81c2d7425f5af29982b3deef2ec9607672c66a19
com.github.calimero	calimero-core	2.4-rc1		a3ddbdb3c00c385f2646f5488250f61a5d37843b
com.github.calimero	calimero-core	2.4-rc2		90e35ed017f1296fa0868ecc2c107bc41b1af79c
com.github.calimero	calimero-core	2.5		402ba29eef9b872af45dcad8092b2713056604c8
com.github.calimero	calimero-core	2.5-M1		245fd8ea7474e121eaed6ccf080c09a751349b69
com.github.calimero	calimero-core	2.5-rc1		2f3957eb7b63d641d4c44455b0677ace06841288
com.github.calimero	calimero-core	2.5-rc2		36bbf4b7a80fd3a771ba6b6c0a1f7847b89fab14
com.github.calimero	calimero-core	2.5.1		6f5ba1352e3a8488aa39f726bb422f5ecf705c11
com.github.calimero	calimero-core	2.6-rc1		c7c7709b1a6fb29e679613e3504c8bc33d0f635f
com.github.calimero	calimero-core	2.6-rc2		068839e5864ed0f48228aae5d383106e8e23d775
com.github.pjfanning.elastic4s	elastic4s-client-aws_2.13	7.1.3		864c3e310dd32dcd707c6021260137e77c3d3300
com.github.torresmi.remotedata	remotedata-tvosarm64	2.0.0		N/A
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.0.10		549e7a54b7c61aea7ddf288439a26f9c0d7b8502
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.0.11		771c91c8ebe4b220ffb3f47884bbb120c1dac520
