cc.rbbl.kozy.plausible	plausible-ktor-plugin	1.0.0		c13c6f2eb55e3a60a70ab556db985e548ef499fc
com.bbossgroups.rpc	bboss-rpc	5.8.1		75f0b67dc23df1ef549537763222dd133f89077c
com.bbossgroups.rpc	bboss-rpc	5.8.2		136652c93f42a3b04748d17ac2a7db5a895c284b
com.bbossgroups.rpc	bboss-rpc	5.8.3		bdb1a7b5f4c265665ec018a2de538451448e510a
com.bbossgroups.rpc	bboss-rpc	5.8.5		fd17ad0bd8b71f4fbe75a475972aff6dc7777b4b
com.bbossgroups.rpc	bboss-rpc	5.8.6		24340161ec0d607ebbf2f22edaa22d5d28a95080
com.bbossgroups.rpc	bboss-rpc	5.8.8		331737ec32b412563e6d232cd04e944a33641668
com.bbossgroups.rpc	bboss-rpc	5.8.9		285dd24e86707e2190caa25567a7a920115b9629
com.bbossgroups.rpc	bboss-rpc	5.9.0		3d4511dcee4aded2d4950d7bed9ae1300061ac9a
com.bbossgroups.rpc	bboss-rpc	5.9.2		b225c2a529da3374b497c1de5775161e9cd2aef1
com.bbossgroups.rpc	bboss-rpc	5.9.3		e71e4a1622e885a47f580e02e047c30a9555928e
com.bbossgroups.rpc	bboss-rpc	5.9.5		ead9b00920ca77a702eebe632e47df721ef11b0f
com.bbossgroups.rpc	bboss-rpc	5.9.6		29c4c112ace80bff875708f2fbd8b562c4b5f86d
com.bbossgroups.rpc	bboss-rpc	5.9.7		d01c764e2f3de35aec027f121493cbff8c7dd94e
com.bbossgroups.rpc	bboss-rpc	5.9.8		52a90936fc1ea503c2c3c78271db5c1ba8dea647
com.bbossgroups.rpc	bboss-rpc	5.9.9		0d8165ffd1ee372731b5f605a8a202db94ed3910
com.bbossgroups.rpc	bboss-rpc	6.0.0		60c6c1b7b511a72506b6ada174a8d5dca1b564f1
com.bbossgroups.rpc	bboss-rpc	6.0.1		1d286b3d394bdda5541b9de4b4314fd962c00a54
com.bbossgroups.rpc	bboss-rpc	6.0.2		9fe91b29f7c57c93184addc0c1e3e35b6eb8e3ca
com.bbossgroups.rpc	bboss-rpc	6.1.0		2993b6fde21a869aa0c56c966d1fd61f80bb845d
com.bbossgroups.rpc	bboss-rpc	6.1.2		1d055a97b8fecc1467325ead7349c863fcc016a5
com.bbossgroups.rpc	bboss-rpc	6.1.3		5c763ff8ae7d52b71e4d8f64175c4896b9d8ca99
com.bbossgroups.rpc	bboss-rpc	6.1.5		5503938958ed8baa1b0f83186af90bf5a7a6787c
com.bbossgroups.rpc	bboss-rpc	6.1.6		f8085b50f56528310524b96e74eb1c10a3be5570
com.bbossgroups.rpc	bboss-rpc	6.1.7		88011345932e9ea1bb054c35ad294bb99e71b5db
com.bbossgroups.rpc	bboss-rpc	6.1.8		186d5f90c2ec19b2e2b2b422148989bff1360887
com.bbossgroups.rpc	bboss-rpc	6.2.2		f49c37501da0cf52d474ed6b324c8c7dc5355c66
com.bbossgroups.rpc	bboss-rpc	6.2.3		cd6ea3d317b207320b503aa747eabd5484c3ef1d
com.bbossgroups.rpc	bboss-rpc	6.2.5		87720e770a387c47d219e1a440491a8d3794b24b
com.bbossgroups.rpc	bboss-rpc	6.2.6		7a7ff4a63b6ad9ccb83673c631a6e63a017b4217
com.bbossgroups.rpc	bboss-rpc	6.2.7		05ec1392df4ce9659c3ce2e9c59fe78093195ca1
com.bbossgroups.rpc	bboss-rpc	6.2.8		2d9db2ece93132683e020f4fb8f6526d7bf59179
com.bbossgroups.rpc	bboss-rpc	6.2.9		72c91c5797607123a822c14795392d5381de9ea4
com.bilal-fazlani	jslt-parser_3	0.0.1		5f48d9a877297f2f0cc6595996641b9d40e6b5cc
com.bilal-fazlani	jslt-parser_3	0.0.2		703b412cd5382469cd494878648dcef6715aa32c
com.bilal-fazlani	jslt-parser_3	0.0.3		0d914b1bbb783215d1fbe455f8f75a12d1fa10bc
com.bilal-fazlani	jslt-parser_3	0.0.4		506f0b15c7693de5ef47dcaea948752a9ed7ee8e
com.bilal-fazlani	jslt-parser_3	0.0.6		a8a19866627a57b7281a5c04d7e7672a14785115
com.bilal-fazlani	jslt-parser_3	0.0.7		98c7662fcc5eaa007d9dba0c3656feb15448aa56
com.bilal-fazlani	jslt-parser_3	0.0.8		1f08d318b29b03298288b708cadb4bd30f43c11f
com.blue-veery	spring-rest2ts-jackson-js	1.4.0		8757be149ff8834a6d8fcc8af6678059bee8dd5a
com.blue-veery	spring-rest2ts-jackson-js	1.5.0		665202bf766ab3d7eb4b866f94483ad367eadfe8
com.blue-veery	spring-rest2ts-jackson-js	1.5.1		4fed5b36dcac257afd2b714370e7a13379bdbf95
com.github.akarnokd	rxjava2-swing	0.1.0		1c07d2c02b5e6a0346bfeb3afbc394b6f26d8e1d
com.github.akarnokd	rxjava2-swing	0.1.1		bdfd07fd02f8a6beff20588e8b63f0085631de6b
com.github.akarnokd	rxjava2-swing	0.1.2		da934469be42223d70b8d574f270353c5f6f270c
com.github.akarnokd	rxjava2-swing	0.2.0		9bfb408931bc52c51d1c19651955518b6e7dab43
com.github.akarnokd	rxjava2-swing	0.2.1		7ea07109ea512209554fee26924ea50363f87b06
com.github.akarnokd	rxjava2-swing	0.2.10		7813b59bf86051f4e0bcfc2be549fee9893870d1
com.github.akarnokd	rxjava2-swing	0.2.11		d3f38d2189a10bd4236af3f22d72743aa08d7c67
com.github.akarnokd	rxjava2-swing	0.2.12		bf46eab5ba86f0b70dc84338c5c0024a4da39394
com.github.akarnokd	rxjava2-swing	0.2.13		83382fb754b7b4ddd7949422a8cb674a658565b3
com.github.akarnokd	rxjava2-swing	0.2.14		815a1c6551464ba98a62def5003d5f0e2086aa76
com.github.akarnokd	rxjava2-swing	0.2.15		79dd608e96c3f2d28397cd77f118bf9af332968d
com.github.akarnokd	rxjava2-swing	0.2.16		32f6ab150ef84c872710bcae29fa0ee2fef8a2c3
com.github.akarnokd	rxjava2-swing	0.2.2		778c9f4fdc3b7de086714d56f803ee08cb37d983
com.github.akarnokd	rxjava2-swing	0.2.3		1e53b6ed72dc888b3c2fd7ca3eac3b12a5652435
com.github.akarnokd	rxjava2-swing	0.2.4		d76c7dcb2c4f8e100556fdb12e9172427112a1c5
com.github.akarnokd	rxjava2-swing	0.2.5		a40f5cec1750deba33949aa8317830f2bb18221e
com.github.akarnokd	rxjava2-swing	0.2.6		5bc76af1adb99210966b1b1ad663cd50c1a79309
com.github.akarnokd	rxjava2-swing	0.2.7		bd8d4b9f1bad3edab8a69133208322428903c371
com.github.akarnokd	rxjava2-swing	0.2.8		1ffc7d46f661b0257ff94a27010cb76aaa0d0fd1
com.github.akarnokd	rxjava2-swing	0.2.9		d319cd46478a2a25b39b5dae6b7d6e077d0bec4f
com.github.akarnokd	rxjava2-swing	0.3.0		494c8e8e00874c37ff12f7c024c80ee6bb240de4
com.github.akarnokd	rxjava2-swing	0.3.1		520a679bc0ef42ad8e886c671d15125a53ca4c76
com.github.akarnokd	rxjava2-swing	0.3.2		92df7c0908baa6ac423ab95667f9f459c8fc0cc8
com.github.akarnokd	rxjava2-swing	0.3.3		5f30e940b09b00f3ce035bcf7efcaa9be5663daa
com.github.akarnokd	rxjava2-swing	0.3.4		4e03c044166dbc8dfd01a5f4f229e999fe1feadb
com.github.akarnokd	rxjava2-swing	0.3.5		e67d5210dead60178fb2d093f6b5d6dd9a62e4a3
com.github.akarnokd	rxjava2-swing	0.3.7		8125d5df8165fe56e81b8885dcb89e74a743a783
com.github.lalilou	flink-datalake-landing	0.1.5		102f8130d6f13bcb5939701a21e3fcd31e635fa6
com.github.lolgab	snunit-async_native0.4_2.13	0.0.10		bad4ce9a45ce470f0de81bb008e5be90de5aad8a
com.github.lolgab	snunit-async_native0.4_2.13	0.0.11		a2219db4aa93b110a241858da884e3e224ec6484
com.github.lolgab	snunit-async_native0.4_2.13	0.0.12		18e22752715884b6582d0afbbf079247a5efee38
com.github.lolgab	snunit-async_native0.4_2.13	0.0.13		e91225757baab54a5bdaff14d2a7bf1bada352ec
com.github.lolgab	snunit-async_native0.4_2.13	0.0.14		7fbdd98453d92007ef694a2d4008b85cee048735
com.github.lolgab	snunit-async_native0.4_2.13	0.0.15		a4b253a01d43eee70b386c3ce4a01cf0a7731424
com.github.lolgab	snunit-async_native0.4_2.13	0.0.16		06d3a4f0ac076ac009d72777e33a25bd3cb77d89
com.github.lolgab	snunit-async_native0.4_2.13	0.0.17		7a3f8a564163b3cb7f427ebfde93e65180e28e53
com.github.lolgab	snunit-async_native0.4_2.13	0.0.18		57920427254d97466f781fde2ffb5ec7bfc2f1b5
com.github.lolgab	snunit-async_native0.4_2.13	0.0.19		983f28c39dbb01a27e60c0262f6981ca09df7055
com.github.lolgab	snunit-async_native0.4_2.13	0.0.20		c19b0b8a80428aa2305738f279168f3d6ad21d86
com.github.lolgab	snunit-async_native0.4_2.13	0.0.21		30c978d2126e3f827e71c95f5aa227e91bb734bf
com.github.lolgab	snunit-async_native0.4_2.13	0.0.22		9065ed4bdbb6cd5d6dbd0b5b85bb02af024fdbdd
com.github.lolgab	snunit-async_native0.4_2.13	0.0.23		6f8b19dbcf9cfb7d98c5051c2ae479c74fa60e80
com.github.lolgab	snunit-async_native0.4_2.13	0.0.24		aa1b035b1ff2b1898e205183a42896f7abb2dc42
com.github.lolgab	snunit-async_native0.4_2.13	0.0.25		e0fc82e463374eb5daf96b7baa5a86ca97eb6337
com.github.lolgab	snunit-async_native0.4_2.13	0.0.5		10cb0948d567219e9a412bf4a4dcd966198661b5
com.github.lolgab	snunit-async_native0.4_2.13	0.0.6		fd8dd66d9e69c42d487763cc09b879683e96e1e6
com.github.lolgab	snunit-async_native0.4_2.13	0.0.7		a86d53c5b894d71dbe8f1a962dc7aada0f28fba3
com.github.lolgab	snunit-async_native0.4_2.13	0.0.8		ca48d6fb4aa9b4b0593f236a855b82fe270e5cf1
com.github.lolgab	snunit-async_native0.4_2.13	0.0.9		589de179a48fd0e9bd39b129cddfd3d3125379e3
com.github.lolgab	snunit-async_native0.4_2.13	0.1.0		9c7032024f3a84421b99ffa83287fb83f8769f60
com.github.lolgab	snunit-async_native0.4_2.13	0.1.1		b2a142f81da6595b3c86246ea4b64401e753d3cd
com.github.tkrs	orcus-core_3	0.27.2		168df4f289e829bb332805e92b8234e6bbda216f
com.github.tkrs	orcus-core_3	0.27.3		af5211671ce0897e48cff55039a85f7ccac5c628
com.github.tkrs	orcus-core_3	0.27.5		22159c55364e5e0bc366930d5a0c4312a3577f1d
com.github.tkrs	orcus-core_3	0.27.6		b29882a628fd5c27f74515a889336ae484a35af4
com.github.tkrs	orcus-core_3	0.28.0		8dcd1aeb722ccf573a0e1fb6fdd5159a9b58a50a
com.github.tkrs	orcus-core_3	0.28.1		392ca2a536732446f95a171cbb322b08ee76bca4
com.github.tkrs	orcus-core_3	0.28.10		c61d5ca8553d70fa2b48caf4ca60b450d6829c9d
com.github.tkrs	orcus-core_3	0.28.11		a6bb387d20b48881e98874e03796c6463dec8798
com.github.tkrs	orcus-core_3	0.28.2		4fcae667a196e5a85fa84b7c9aa2cff3646098ae
com.github.tkrs	orcus-core_3	0.28.3		8c810339ef03d05731e03fefa3b75dc389200bb9
com.github.tkrs	orcus-core_3	0.28.4		ac864e7ca618a39124b3b0b9a33ea5a0d26641c3
com.github.tkrs	orcus-core_3	0.28.5		fcd2b9759619d0897aeba1e8541abc4515ad3251
com.github.tkrs	orcus-core_3	0.28.6		24fda4456374480581214fb67a3c8fee8171f366
com.github.tkrs	orcus-core_3	0.28.7		37b613cdf810220aac947aa5591fa304ce1c7aa3
com.github.tkrs	orcus-core_3	0.28.8		0e007a348881dbfee292e7abf9c5fefcf31c245c
com.github.tkrs	orcus-core_3	0.28.9		9d3280b59510393d2e48c3a6f16c4886397c09be
com.github.zhangquanli	spring-security-extension-jwt	0.1.0		81b4d104a1349e9eb69fc57f64f3ecb471f36ddf
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	0.39		91b277afcb18c52fa38a6b0478284e9cf0f4c6ce
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	0.40		a378351ace6b0ab202cb729caf0c9578400ba0a4
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	1.0.0		ec58e9822300478739897ff11925b74aff51f538
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	1.0.1		3cd4f7e29439f3bf2cfd3b8093b21e5c949f85c6
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	10.0.0		69f0637b0f6494dbb068c06ed64c130d3c654237
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	10.1.0		4ec9a40393ee1172471ce1c07c3b205c3d7bdf62
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	10.1.1		c0adda8cf9e6c14a4abbc8b5311c9d8ae821dc67
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	10.2.0		a28145265919f0591a63c14c9953cc04a5eeef9e
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	11.0.0		01ceeefa13d2345fcf364f95a0673eaa2ee43063
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	11.1.0		9c8346547102e7398b819de2e0a40b795cdfc13b
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	11.1.1		08c3e4bf473b634150d21f4c9e31b64089d626e4
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	11.2.0		ca3a062336cc262c539055edb950219da8ca83bd
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	11.3.0		881afb1f003b43c017f0355586030b398babaf3d
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	11.3.1		345257536f2b4024423a77ded034bf4f6142553c
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	11.3.2		d9ea30b380f5aaa9ce4efcecf214b77a09c2d6ac
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	11.3.3		e9dad1bb2a982a6326d6a1e2cdd4ab3c210ee8cc
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	11.3.4		d2d27aa46386da3ce3ad0b08eab94e9f7aa76fc6
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	11.3.5		e7fdf0143c7530911f60b3016a18cd4693f8fbcb
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	11.3.6		0ace0e5c72b90b7dd6d491359a17be93ba39d1dd
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	11.3.7		550b71782323ecbb5696e4619c43ba7facc43ff0
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	11.3.8		2f77b9d50e47d62210d9c523cb011fc47be3407e
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	12.0.0		9059eaf8b2a30e9cf9f701a9a9d08e48e490a668
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	13.0.0		e96f734de7c92810e6e0a5b7ec97abd38f990cf8
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	13.1.0		f7951980e999d993c68d514d2b7ac16292ff1576
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	13.1.1		2d1822946257d6c30df02287355a5bdc0d73d8b7
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	13.1.2		fadb2fbc4c65a0227a4b39ca2501d577a85913f1
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	13.2.0		133f674d50f69b72bad8a8c725cb6df462d33502
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	14.0.0		4bc9dac5d47a833fce2a8c5592090a1cac29eb73
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	14.0.1		ac57139df5b0b8401612bd1388f267c4abbd5632
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	14.0.2		1e2cfafe06c4bb840fb8409f63f13cc9068d53ee
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	14.1.0		ff3338ef10f4f67166f8732b0e2e2d0d2ad02843
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	14.2.0		60cfd87369883f37a6dfd22bda60a9419e3d4afe
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	14.2.1		a4b380f44b67b34439706dc83791181600553444
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	14.2.2		91afa696bc87d28fbf3109b7a466f5843c5e7f8f
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	14.3.0		a0685d0dc4af561dad65cab353c2d804ae08a4bc
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	15.0.0-PREVIEW.kcrtno-secret.2025-04-10T1320.e3391ad4		cda1632287f846ca9ca43c8bc87ea1f0080d0cc7
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	2.0.0		67f0f08b02ba29af4b3cc7b5bda42a642e241f24
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	3.0.0		21e408bb7b1047a52060867da088ee39c9c63096
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	4.0.0		fa158d598f34a505953143c05b6400577eb084b5
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	5.0.0		013a481ec6a38c50890db282959f16b872964493
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	6.0.0		4eb1dde7fd237814ab9b28ae560b5b394df91bd0
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	6.0.1		6c99131fa5a0ee110ffa807e592dcaa9503713cf
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	6.0.2		2db7c39098d6a4e3a874c5199a82180dc19ad5f9
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	6.0.3		61e8a9173078782eb8417fd1ca3d2cb67aad577b
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	6.0.4		424bbdec7b504b591ea3cc4dbd826fa56da0f851
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	6.0.5		0590aaa79d6d3285338225fa27133c12b9f2e220
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	6.0.6		75714fdd169ed3cd62f9e3354d40afcc1133c564
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	6.0.7		9651ef2ce2a47832dccaa31fddec80a446dc93e1
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	6.0.8		9f77fb752f524734fafcfe327aeb167976a93aaa
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	7.0.0		065675d797a9445e937ee4ecf409b57e6afe48cd
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	7.0.1		3f9c7a991e340829741b9da1cbd289e43eec7974
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	7.1.0		5bf84200d60fcb5c322aa0ea0157d89c2bffcfef
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	7.1.1		b0173f9dd1ee1b274368591141a9acefac7204a7
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	8.0.0		02557e29093783213411380047ee37d9dd891997
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	8.0.0-PREVIEW.fix-forgotten-CSRFTokenSigner.2024-04-03T1117.eca69ca4		d99e84ac5d1d3177ed3456ffaf6a09abe31cadfc
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	8.1.0		06ccf93d1614ac368f07168f64d92769fc6a32d3
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	8.1.1		2bb5f558fc5f34470624a6d61821b59af4c589ff
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	8.2.0		797d3731f9e00ed5d1dc480536fcf2d419780e62
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	8.2.0-PREVIEW.fix-forgotten-CSRFTokenSigner.2024-04-03T1534.859d8077		856183650bacc83c6d68e600124ba44602b7f2e2
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	8.2.0-PREVIEW.fix-forgotten-CSRFTokenSigner.2024-04-03T1615.96d3afc6		8611d7f3c71bf7cce4e426abc54b735a3a6e2180
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	8.2.0-PREVIEW.fix-forgotten-CSRFTokenSigner.2024-04-04T1033.6be2ecaa		c4b2cf3c5ceada72d7910c6694324223cd3587ec
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	8.2.1		3f261d277da5edc82ab7ec4d2db6b4f55ffa2ba5
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	8.2.1-PREVIEW.fix-dropping-play-27.2024-04-09T1528.d1a385ed		75b90007e4938256f292e5784266092a7ce980b9
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	8.3.0		ce5aa3b2c4fdca70327422cfda5a0bd48d8ac44e
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	8.3.1		b98fe77b6cfd0a3fd39fcbc1b95199b83c133ab7
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	8.4.1		e5bf77ee8274be0c7c7e706a59497093f1506a2c
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	8.4.2		18e56f4a8b0e7e2a3f0712b2947acce5c98a1548
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	8.4.4		6f57029889f64df5585ad115c3f1d7edff7ce86d
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	8.4.5		9c585c6fb2d88d5bbd78f305f264fe7e92615eb6
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	9.0.0		b29e008379b31490d715987d0193d39f4e874bf2
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	9.0.0-PREVIEW.try-to-fix-dropping-play-27.2024-04-09T1434.cd295225		4d412d32314995d50a20e1af947df53785ceae78
com.gu.play-secret-rotation	aws-parameterstore-sdk-v1_3	9.0.1		ba63f4358fa7a2146d7541dcf5c88673695598b3
com.jakewharton.rxbinding3	rxbinding	3.0.0		N/A
com.jakewharton.rxbinding3	rxbinding	3.0.0-alpha1		N/A
com.jakewharton.rxbinding3	rxbinding	3.0.0-alpha2		N/A
com.jakewharton.rxbinding3	rxbinding	3.1.0		N/A
com.jasonernst.icmp_lib	icmp_common	0.0.8		239f8b18cb411f14101e6ea55999fa1d4f85c444
com.lihaoyi	geny_native0.4_2.11	0.6.10		1e2a9049f7ee8d56c7bf5e32e972afffb24aed65
com.lihaoyi	geny_native0.4_2.11	0.6.11		38c12b58087679603990ace3241d5ace3c2747a7
com.lihaoyi	geny_native0.4_2.11	0.6.7		55e89daab791d3a010c55e7569cb61c0c6b33e73
com.lihaoyi	geny_native0.4_2.11	0.6.8		9d62fae3a6a1b4c914a51b136e5ce0f29d8861c4
com.lihaoyi	geny_native0.4_2.11	0.6.9		99a894cb6c88ad5ea77f618c022f56be495afe67
com.lihaoyi	geny_native0.4_2.11	0.7.0		01674e18d44dd37bba04d6d55fa4ea1923916737
com.lihaoyi	geny_native0.4_2.11	0.7.1		b9472cc3de440f16d6f58f3cf2710187cc176513
com.lihaoyi	geny_native0.4_2.11	1.0.0		504ee26be334a2717e3ddd0ae48d73bc7cbdba2a
com.quantarray	skylark-measure-spark_2.11	0.14.0		f4145965c8838e267e969a159ea02b25d6ff7993
com.quantarray	skylark-measure-spark_2.11	0.14.1		1e6bd2e097f121c92a6735919a3500034976b348
com.quantarray	skylark-measure-spark_2.11	0.14.2		e563f55f09e839fa9b69f48a6136b00f2109d600
com.quantarray	skylark-measure-spark_2.11	0.14.3		8c3548921a882e3de4c268df98da058e0097663b
com.quantarray	skylark-measure-spark_2.11	0.14.4		dc6b10158303e9af0f1b77e38c0d27d54332e277
com.quantarray	skylark-measure-spark_2.11	0.15.0		96b517f556f68c0f13d98895070580e1e1fe72e8
com.quantarray	skylark-measure-spark_2.11	0.15.4		82f756e34677144aaa5db059120cc9102d34bf55
com.rbmhtechnology.vind	analysis-report	1.1.1		b604e97807aeb85c77168bb1040500788c4be36d
com.rbmhtechnology.vind	analysis-report	1.1.2		5416a3f1f827bfef83c2825ad549e0161fa9171d
com.rbmhtechnology.vind	analysis-report	1.1.3		263012702d4c89009ff1fd0b2470ff0436e93a80
com.rbmhtechnology.vind	analysis-report	1.1.4		bc97d04f23a41de28a3f2f7ade02f9528a8f8243
com.rbmhtechnology.vind	analysis-report	1.2.0		4e0f3dc4c3704776b084168a294b06d419b33c74
