biz.netcentric.aem.ops.healthchecks.migration	hc-migration-better-deployment-handling-package	1.0.0		N/A
com.liferay	com.liferay.segments.content.targeting.upgrade	1.0.12		aae6b988625fd5ff8c118d11e7a42eea90dc4a93
com.liferay	com.liferay.segments.content.targeting.upgrade	1.0.13		eea33a81a231b109d241b5e63943a7773eef5370
com.liferay	com.liferay.segments.content.targeting.upgrade	1.0.14		a616c0118f1ddf3aa8145bd787cb3c6d160dd03b
com.liferay	com.liferay.segments.content.targeting.upgrade	1.0.15		4f7b1682ef90fe292e9c9866a8d1c58ab4b2692c
com.liferay	com.liferay.segments.content.targeting.upgrade	1.0.2		9ee859a77a5b2dc23a5b8112add2b6af429e93d6
com.liferay	com.liferay.segments.content.targeting.upgrade	1.0.3		7d59d67dc8f1f6036b8a8b52fc0770405535e4df
com.liferay	com.liferay.segments.content.targeting.upgrade	1.0.4		9164cae28f3414b0cfbbfb071b2b23817f3af4ee
com.liferay	com.liferay.segments.content.targeting.upgrade	1.0.5		7754497eb0d901c9433eb679829011f445909175
com.liferay	com.liferay.segments.content.targeting.upgrade	1.0.6		9c43f153e5d80a4a97786d6f0711700b519fb139
com.liferay	com.liferay.segments.content.targeting.upgrade	1.0.7		d333269ed5b2db7b22176b850edbd1c36403405f
com.liferay	com.liferay.segments.content.targeting.upgrade	1.0.8		5548bc3918c7b213790485c8a770affa0c307ecd
com.liferay	com.liferay.segments.content.targeting.upgrade	1.0.9		65fdf8c50b2e06423869c8f3c099494f292ca0b5
com.liferay	com.liferay.segments.content.targeting.upgrade	2.0.0		d1a94b4b4317db1eb2514fe77f564293930579e2
com.liferay	com.liferay.segments.content.targeting.upgrade	2.0.1		5b420e8d8428234c140036f4edb15cf1677487c6
com.liferay	com.liferay.segments.content.targeting.upgrade	2.0.10		784a0863fdc292e351d7c6e92b25b95484444ace
com.liferay	com.liferay.segments.content.targeting.upgrade	2.0.11		ed62af7aa65cd0c00d46e9cffb9ae7b4c2d17304
com.liferay	com.liferay.segments.content.targeting.upgrade	2.0.12		b864c11dd1f95b949d4a0b892944bf3a9efb9636
com.liferay	com.liferay.segments.content.targeting.upgrade	2.0.13		1eacb233ef4c3516af64dee300c8858f96fb98c3
com.liferay	com.liferay.segments.content.targeting.upgrade	2.0.14		ef41d3c7e677272a0c582212dfcfe7e81840751b
com.liferay	com.liferay.segments.content.targeting.upgrade	2.0.15		d8178e19204f2870c4064aeffb5d514ce3f7f80d
com.liferay	com.liferay.segments.content.targeting.upgrade	2.0.2		34907cdb20e94931e25650b053dd5cb4114217c8
com.liferay	com.liferay.segments.content.targeting.upgrade	2.0.3		f1f9da3b585a9572ca815855022273a3f91e5ca8
com.liferay	com.liferay.segments.content.targeting.upgrade	2.0.4		2a9eb649e024ac54e9b9945bec3cff23523593b7
com.liferay	com.liferay.segments.content.targeting.upgrade	2.0.5		b9176b1561fd33e7398f7b244b0d615f9b8a82af
com.liferay	com.liferay.segments.content.targeting.upgrade	2.0.6		04358780ade9d9bd03a02a26da2d77d3903b4dcb
com.liferay	com.liferay.segments.content.targeting.upgrade	2.0.7		50d799ec7aa43ea301a4476f9328caf379b3bedb
com.liferay	com.liferay.segments.content.targeting.upgrade	2.0.8		254d7ec0108e4862295a24d41ba13e7f96f0d7d2
com.liferay	com.liferay.segments.content.targeting.upgrade	2.0.9		0f0dd60b36443582790121ac007e98e221ddd7aa
com.liferay	com.liferay.segments.content.targeting.upgrade	3.0.0		35083da3cfedb83d7a7faa57a8ea0fd91ce212ac
com.liferay	com.liferay.segments.content.targeting.upgrade	3.0.1		fc541ae05ab54c8e288c3f628dd6d712d3546b2f
com.liferay	com.liferay.segments.content.targeting.upgrade	3.0.10		89e0c3b346d57a0586e12c94e923eabca4a4338d
com.liferay	com.liferay.segments.content.targeting.upgrade	3.0.11		729cf13de42a9af5f046d282889a43e7287babb2
com.liferay	com.liferay.segments.content.targeting.upgrade	3.0.12		492415add6b8ee36393cfb19cb6b64f3592a3180
com.liferay	com.liferay.segments.content.targeting.upgrade	3.0.13		e57d36d439bc8c5df355b29c0c28896212e06928
com.liferay	com.liferay.segments.content.targeting.upgrade	3.0.14		5733d02f26f39cdf9c495e2a67b7ee663737de70
com.liferay	com.liferay.segments.content.targeting.upgrade	3.0.15		87734ebe07709ae6866ee8ce67e6aa9b3d3ced66
com.liferay	com.liferay.segments.content.targeting.upgrade	3.0.16		5876388d1531f6bbf26e90b5401d37bd76149c94
com.liferay	com.liferay.segments.content.targeting.upgrade	3.0.17		81b051c75f30840acd1074f6ef6e497175c65c8f
com.liferay	com.liferay.segments.content.targeting.upgrade	3.0.18		f7d97f3c834d7c32b8b60b95405c74462f50360f
com.liferay	com.liferay.segments.content.targeting.upgrade	3.0.19		f30f9f47860072a62a18979a56720b77c5663a7c
com.liferay	com.liferay.segments.content.targeting.upgrade	3.0.2		9fa2cff75c3d94df23ffaad4aa5bcd7090bae1f5
com.liferay	com.liferay.segments.content.targeting.upgrade	3.0.20		537aee974f3c7c63014908f5837a589702aab5cb
com.liferay	com.liferay.segments.content.targeting.upgrade	3.0.21		169070d66a53e85d93ac35575ad468dcb598879e
com.liferay	com.liferay.segments.content.targeting.upgrade	3.0.22		1f314c157cd0038f86338a98054ed8122fd97636
com.liferay	com.liferay.segments.content.targeting.upgrade	3.0.23		f8c18b536e6a15b254cc04522e926393cfd49d89
com.liferay	com.liferay.segments.content.targeting.upgrade	3.0.24		26371e0f330cf2479df961550816923d3cccfbaa
com.liferay	com.liferay.segments.content.targeting.upgrade	3.0.25		ccf5e7f1bdc031357995805246f9603a62db9a26
com.liferay	com.liferay.segments.content.targeting.upgrade	3.0.26		973abd3a754e7e950e1eb78ca3b6a993849a977f
com.liferay	com.liferay.segments.content.targeting.upgrade	3.0.3		148f1cb598e3d802528e7991dd5b14cf685ac28f
com.liferay	com.liferay.segments.content.targeting.upgrade	3.0.4		e95a789fd4c2ba7df03ada7cc049dfeaaca52af5
com.liferay	com.liferay.segments.content.targeting.upgrade	3.0.5		56bcb60a1708a1c8acd01626fb9ccc37ad6cdc96
com.liferay	com.liferay.segments.content.targeting.upgrade	3.0.6		58cc9252e65d3a88078d61b1f220671bb7a8ba6f
com.liferay	com.liferay.segments.content.targeting.upgrade	3.0.7		dea67b8be641787714a5245a465bfbcc8033e42f
com.liferay	com.liferay.segments.content.targeting.upgrade	3.0.8		67ccb6c8dd55da3db1a2d39a90224863de556d57
com.liferay	com.liferay.segments.content.targeting.upgrade	3.0.9		0ebd09c74793915c7fdcafc0fcdcd42ff33f50b5
com.liferay.faces.test	com.liferay.faces.test.bridge.tck.flows.portlet	5.0.0		N/A
com.liferay.faces.test	com.liferay.faces.test.bridge.tck.flows.portlet	6.0.0		N/A
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	0.10		80be7fa8bed498a45e41864f2f9c55fb436c4a3a
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	0.11		7ca7d57d7ee48b49cba7af323eb41982b62694ec
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	0.12		33e8182a51917148f6349e8fc78e7c75e26cfb8b
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	0.13		0c39972b8dec28e7c828044c3fe949e9d07b229e
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	0.14		d9a0b5c847e57920057c1c6a2e4bc066c8483be1
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	0.15		58361839a9379db54f264280606408c4ba9504e7
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	0.15.1		22f7b391d3b3a8a39d18d68634610d944442a2df
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	0.16		7f9d1f8aa0183f0a7fa039e4623965c65878318f
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	0.17		2f478670e4b3f5cbb2aa3645eccad1a2f4bcb002
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	0.18		476f93d657f764cf7e052486cef712b7bcedeeb5
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	0.19		01c7fae2fc366a5c7c36f370a0970615f38d969c
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	0.20		e289349e00ed39e9998b4480654d3d387062745f
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	0.8		54234a1fa7df488c41f963997d39f60beee62340
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	0.9		c5a712881a4b60ca4690104cf63c4675e9a8303b
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	1.0-M1		add2e39fc3999bc3cf2511b64d75c6fdc8cac3ed
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	1.0-M2		1432cf1a8225813d23a52d5c849568755fd26ddb
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	1.0-M3		d91d82df892679c18df5b20481510f0e636481b2
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	1.0-RC1		ddceb00c8b99cc87d0587c54ccabe5d7a40ce752
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	1.0.0		374ad63519b87fae122c0981d6ba2ed63c3fe0d7
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	1.0.1		8e31aeb43dffda11694f46c39e4c65d6bf0e2b90
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	1.0.2		b62d8b00837cb439cac79a1fc91547ec7510eab0
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	1.1.0		a3c6d356b3b9461afad96f8094aff6d4892d917b
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	1.1.1		33feebee0dbdfbfa20d3015baa2323a46890372a
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	1.1.2		9076dd3dcb7ad00ca02379d9002d7b786b7be027
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	2.0.0		760ff97951f70f0425cd5f5ba6e1bfd79d07f487
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	2.0.0-M1		a4b22d962ec62e964db4b416f6cddea9afcedb2e
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	2.0.0-M2		81d443ba773e1f36d56241287a896de33644acc6
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	2.0.0-M3		ccc5aff9d13504d0fed9681c8ab2d31a36164535
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	2.0.0-RC1		bdc219027b9b5276eba4bc8d58a6ab6278d1b0ce
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	2.0.0-RC2		432efc5282b2222a7dbe4a58d2b17ab1d5265194
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	2.0.1		07933bc372fcfc66522cab0c9e171382f07feaf9
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	2.0.2		84bfbfb508b6363f2e3321680f8aeb8d054d2afd
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	3.0.0		cc379d7446daae11481e31b939845df216434454
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	3.0.0-M1		2e1ebaf885bc799ba052c2cef379b5308cf91b73
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	3.0.1		14fd08be714c48f8daf309b51a41c407e43f2e4c
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	3.0.2		353372dcc53b294f62b35e1520a9a359f8469632
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	3.0.3		2a4fb0850b900ad4205d006983476473ec99453e
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	3.0.4		e9b9d73f9a21a8eb20207d36ef936c739d17ffce
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	5.0.0		45451a3b955581af2ea9b0b15a0e322fcca10eab
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	5.0.0-M1		f3e5c52fc4e66af4fd9b4c48d12abf123d20e8f0
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	5.0.0-M2		fa7599b097450c10bbfa4f8c1009e8dae634950b
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	5.1.0-M1		5d8dc8e415195f624302153064945ca8d1abe5fa
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	6.0.0		b39adefe3fd222b76183c4182c2f32529075c46d
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	6.0.1		fa3f0d4161de10bb5b4b9cf83de94c48e6023ad2
com.lightbend.akka	akka-stream-alpakka-ironmq_2.12	6.0.2		fb713007d5c0fae955e623ac45679f864642d450
com.microsoft.azure	spring-cloud-azure-appconfiguration-config	1.1.0		a7c61d124deeb16e66111035182e2718d32ce238
com.microsoft.azure	spring-cloud-azure-appconfiguration-config	1.1.0.M1		6c84777a4676aa1afceb4bef23f961ed9ec08f8b
com.microsoft.azure	spring-cloud-azure-appconfiguration-config	1.1.0.M2		863326dfd99fffbebcf5e1c264249c95a7f96b7b
com.microsoft.azure	spring-cloud-azure-appconfiguration-config	1.1.0.M3		8a443ece714ccb812292cee84d9344713d1d5c2a
com.microsoft.azure	spring-cloud-azure-appconfiguration-config	1.1.0.M4		6a5f7663360d8475bd188d436b0ab3e6359577c4
com.microsoft.azure	spring-cloud-azure-appconfiguration-config	1.1.0.M5		d7d77af7d947db01c3b10df813aa1decd128e975
com.microsoft.azure	spring-cloud-azure-appconfiguration-config	1.1.0.M6		2c75ac53244db2975a9d48ddd683418b6c6e808f
com.microsoft.azure	spring-cloud-azure-appconfiguration-config	1.1.1		b895559ff84de162ddfe29b725108feebc4bba1e
com.microsoft.azure	spring-cloud-azure-appconfiguration-config	1.1.2		77ebf6251ec0053ab595d0eb205be420f188cdd3
com.microsoft.azure	spring-cloud-azure-appconfiguration-config	1.1.3		16711bffe037dc7af768e7c580d006994e8088de
com.microsoft.azure	spring-cloud-azure-appconfiguration-config	1.1.4		d43ed2d424c58b6e972b29d4389976177a6e7e16
com.microsoft.azure	spring-cloud-azure-appconfiguration-config	1.1.5		764ff106b0fd2c0a18bcb60437138046694f39f4
com.microsoft.azure	spring-cloud-azure-appconfiguration-config	1.2.1		3c2b42b8d0d8b9b7e38445b5aa3c7dea0afa139a
com.microsoft.azure	spring-cloud-azure-appconfiguration-config	1.2.2		54e6f1435b4788a0a079d9b6f30f91137d20ad12
com.microsoft.azure	spring-cloud-azure-appconfiguration-config	1.2.3		5f50f1f2300871e121d3739eb73bb5d1d1137762
com.microsoft.azure	spring-cloud-azure-appconfiguration-config	1.2.4		ca19d2da1726f2cc7c189267c6e1c122b8ce3225
com.microsoft.azure	spring-cloud-azure-appconfiguration-config	1.2.5		801f59782deaa486b80e0a6ff938fdc49abecf3a
com.microsoft.azure	spring-cloud-azure-appconfiguration-config	1.2.6		f995ca110a1941c2fb909050240d4ee8702a067d
com.microsoft.azure	spring-cloud-azure-appconfiguration-config	1.2.7		ad78fae6e3d2ca8d92b670cef2b966b2ad1104fb
com.microsoft.azure	spring-cloud-azure-appconfiguration-config	1.2.8		aee1be39c71845b231f77b1f4c4ba361ad9f0a4e
com.microsoft.azure	spring-cloud-azure-appconfiguration-config	1.2.9		bc58ce40b3762cb20f1871d1bd36cd2fa7817870
com.microsoft.azure	spring-cloud-azure-appconfiguration-config	1.3.0		5b1f80b8f50c0d163450e506ecc36358cb6c5bcd
com.natural-transformation	korolev-monix_3	1.17.0		10221e1a536bb541fb1a44a0590fdec581312499
com.natural-transformation	korolev-monix_3	1.17.1		9efeade503cc2ebfcd1643fbc7be9ed5177a6618
com.natural-transformation	korolev-monix_3	1.17.2		b26a1340245ec17cd659d3a96b615845186b06a1
com.piesocket.java-sdk	piesocket	1.0.0-beta1		N/A
com.salesforce.aptspring	AptSpringParent	1.0.0		N/A
com.salesforce.aptspring	AptSpringParent	1.1.0		N/A
com.salesforce.aptspring	AptSpringParent	2.0.0		N/A
com.salesforce.aptspring	AptSpringParent	2.0.1		N/A
com.salesforce.aptspring	AptSpringParent	2.0.2		N/A
com.salesforce.aptspring	AptSpringParent	2.0.3		N/A
com.salesforce.aptspring	AptSpringParent	2.0.4		N/A
com.salesforce.aptspring	AptSpringParent	2.0.5		N/A
com.salesforce.aptspring	AptSpringParent	2.0.6		N/A
com.salesforce.aptspring	AptSpringParent	2.0.7		N/A
com.sap.research.security.vulas	shared	3.1.10		0537e2d839170e654bf87004b8f724ed13227195
com.sap.research.security.vulas	shared	3.1.11		d946fa20b802cabb7eea3176dc46a871430ccf72
com.sap.research.security.vulas	shared	3.1.12		44a456be05368f736b95d4f2368082eacd3d9cfc
com.sap.research.security.vulas	shared	3.1.13		2864f1a4a705fbf5cef2836ba52cf25d25291786
com.sap.research.security.vulas	shared	3.1.14		b715cc33a6aa9332a93c5683ba9de51bac4bf398
com.sap.research.security.vulas	shared	3.1.15		9d8d72680e1fc34854f04e60ade201bfaea22aa0
com.sap.research.security.vulas	shared	3.1.6		2552d7e0c61ae75c7fab43f2805f786491aca4c8
com.sap.research.security.vulas	shared	3.1.7		dab5948ffe04ac102752d87b2f8c91ffe1eddb0c
com.sap.research.security.vulas	shared	3.1.8		ee4c084ff948231239bda20cbd09eb489f882d70
com.sap.research.security.vulas	shared	3.1.9		b881f060fab13e0e527bb169d869e5e76fdd3919
com.soywiz.korlibs.korau	korau-iosx64	2.0.11		3541901cb322e30c5b6e1cfc0ff2f93787089367
com.soywiz.korlibs.korau	korau-iosx64	2.1.1		5a790e800f3d9f74443b9677f5254e4c36c69be9
com.soywiz.korlibs.korau	korau-iosx64	2.2.0		1cf5b6c358f73bbe5f916f1643246b087d4bcbd1
com.soywiz.korlibs.korau	korau-iosx64	2.2.1		36ffc9cdbad08e46d2f7b506709c23f6416e20fe
com.soywiz.korlibs.korau	korau-iosx64	2.3.0		N/A
