ai.themsp	inmobi-adapter	0.1.0		N/A
com.github.kyriosdata.saep	saep-dominio	1.0.1		e14aa9a20cf010dca5b1b466e499032945cbd5a1
com.github.kyriosdata.saep	saep-dominio	1.0.2		b5adada549a3185186458136ca81ef9ee40b5cbc
com.github.kyriosdata.saep	saep-dominio	1.0.3		53a601b045e940800273a232179d4ae17a091a3b
com.github.kyriosdata.saep	saep-dominio	1.0.4		f65eb0afc418c82c413c112e15f97aac39a751c6
com.github.kyriosdata.saep	saep-dominio	1.0.5		40ffa448eee272e7bc0e06d7f7781755c717db76
com.github.kyriosdata.saep	saep-dominio	1.0.6		a543e03cbb250a1f99ee55c2fac26512afbfbc06
com.github.squirrelgrip	scientist4k-application-common	0.10.0		cbd38678dfa9303b88c31996e8bcf469c28684cc
com.github.squirrelgrip	scientist4k-application-common	0.10.1		e4eec5c11e300d4aa4e18c8ab40b75a77cc7eb81
com.github.squirrelgrip	scientist4k-application-common	0.10.2		1d6e5d46fa39eb1a6ebae902491babbcb25556aa
com.github.squirrelgrip	scientist4k-application-common	0.10.3		129432a30888859878ba72374b22b51499f3cbbe
com.github.squirrelgrip	scientist4k-application-common	0.10.5		af3f89fa958b5dcb24152159c1c7c1eddd3c51f2
com.github.squirrelgrip	scientist4k-application-common	0.9.3		2d875dcda5ab348558f1e8c50be143b56c80bba6
com.google.cloud.opentelemetry	exporter-metrics	0.10.0		a406e6559c0fb3a5fe5ee6c0454a8c277a978fb0
com.google.cloud.opentelemetry	exporter-metrics	0.10.1		101a10a9fc13456db75767d5e920f43fc9bfd3fd
com.google.cloud.opentelemetry	exporter-metrics	0.11.0		01ab1b65eaf6ed305eec591ff53f8b2f9cff93e4
com.google.cloud.opentelemetry	exporter-metrics	0.14.0-RC1		26906d4bcfb4123186730eb62c8bf222a9efeb8a
com.google.cloud.opentelemetry	exporter-metrics	0.14.0-alpha		6f2c11c93fd771b2106774a17e8f9b3c554f5d69
com.google.cloud.opentelemetry	exporter-metrics	0.15.0-alpha		2be17c891776ffb23e22cb1c326f5548b4eb2c41
com.google.cloud.opentelemetry	exporter-metrics	0.16.0-alpha		7f320542a3607826c23e731c17ac36bd6c6a2571
com.google.cloud.opentelemetry	exporter-metrics	0.16.1-alpha		167bd3c4dbca062baa5d3c19b46f078513274888
com.google.cloud.opentelemetry	exporter-metrics	0.17.0-alpha		3c6f918edd9cdf42c7efa476321e8975c8cf743f
com.google.cloud.opentelemetry	exporter-metrics	0.18.0-alpha		47504f67a35621aca6c4a811050dc0dcc35e3675
com.google.cloud.opentelemetry	exporter-metrics	0.18.1-alpha		8fccd8e69245c1fffc58a47aa0a55d28f904452e
com.google.cloud.opentelemetry	exporter-metrics	0.19.0-alpha		f14a86776d04b1b87bfb1f28b34a755f426a7103
com.google.cloud.opentelemetry	exporter-metrics	0.20.0-alpha		b3f892449dba57cc6cc0d4f974ec989d11cb4ae9
com.google.cloud.opentelemetry	exporter-metrics	0.21.0-alpha		733f1d024dfc6a57ac06c8a679e759e9662c3d18
com.google.cloud.opentelemetry	exporter-metrics	0.22.0-alpha		25d88c1a12d71329a904771d3d70191dac566aaf
com.google.cloud.opentelemetry	exporter-metrics	0.23.0		308fff802e253cb8b315f06872c3b576af81788c
com.google.cloud.opentelemetry	exporter-metrics	0.24.0		3673821babc0db939a83760a9becca0984ed496b
com.google.cloud.opentelemetry	exporter-metrics	0.25.0		c053cf59efb0e604e50c789999d4ec784f61da20
com.google.cloud.opentelemetry	exporter-metrics	0.25.1		04c77d6698ffaeddec1aeaf41245c0f3fdd37f12
com.google.cloud.opentelemetry	exporter-metrics	0.25.2		6f24ad086c6f9b8fb17345b83e61885cfad7cb9f
com.google.cloud.opentelemetry	exporter-metrics	0.26.0		5a197fb141d099b47c939f06900dac0b3b385d4b
com.google.cloud.opentelemetry	exporter-metrics	0.27.0		7efa65a33f34d190d7c5ab2318744b3da0d86442
com.google.cloud.opentelemetry	exporter-metrics	0.28.0		1733d252df906aa2136b8554f9535cf0bf972319
com.google.cloud.opentelemetry	exporter-metrics	0.29.0		72ced938571bbcfac522ffc43b6f5dea0e5feadc
com.google.cloud.opentelemetry	exporter-metrics	0.30.0		b1ded5fc79f9bfa75c422c12d6f06be36e899696
com.google.cloud.opentelemetry	exporter-metrics	0.31.0		8dca0caa514737b28724ef1688c8341425476d94
com.google.cloud.opentelemetry	exporter-metrics	0.32.0		867ac8f7ea7784a912a2277a90b714aad9ef4d07
com.google.cloud.opentelemetry	exporter-metrics	0.33.0		6f0cd9f1481cf92e566478140aa4d26e159b5ad8
com.google.cloud.opentelemetry	exporter-metrics	0.34.0		2d1d8db419b48ddfb905395ac1104583d7cd26a8
com.google.cloud.opentelemetry	exporter-metrics	0.9.1		10bd3a0cf962a475c84d52a094629c43e6bc190f
com.hinadt.hicloud.android	HinaCloudSDK	0.0.1		N/A
com.hinadt.hicloud.android	HinaCloudSDK	1.0.0		N/A
com.hinadt.hicloud.android	HinaCloudSDK	1.0.1		N/A
com.hinadt.hicloud.android	HinaCloudSDK	3.8.1		N/A
com.hinadt.hicloud.android	HinaCloudSDK	3.8.2		N/A
com.hinadt.hicloud.android	HinaCloudSDK	3.8.3		N/A
com.hinadt.hicloud.android	HinaCloudSDK	3.8.4		N/A
com.hinadt.hicloud.android	HinaCloudSDK	3.8.5		N/A
com.hinadt.hicloud.android	HinaCloudSDK	3.9.0		N/A
com.hinadt.hicloud.android	HinaCloudSDK	3.9.1		N/A
com.hinadt.hicloud.android	HinaCloudSDK	4.0.0		N/A
com.hinadt.hicloud.android	HinaCloudSDK	4.0.1		N/A
com.hinadt.hicloud.android	HinaCloudSDK	4.0.2		N/A
com.hinadt.hicloud.android	HinaCloudSDK	4.1.0		N/A
com.hinadt.hicloud.android	HinaCloudSDK	4.1.1		N/A
com.hinadt.hicloud.android	HinaCloudSDK	4.1.2		N/A
com.hinadt.hicloud.android	HinaCloudSDK	4.1.3		N/A
com.hinadt.hicloud.android	HinaCloudSDK	4.1.4		N/A
com.hinadt.hicloud.android	HinaCloudSDK	4.1.5		N/A
com.hinadt.hicloud.android	HinaCloudSDK	4.1.6		N/A
com.hinadt.hicloud.android	HinaCloudSDK	4.1.7		N/A
com.hinadt.hicloud.android	HinaCloudSDK	4.1.8		N/A
com.infotel.seleniumRobot	seleniumRobot-grid4	5.0.10		8dc99c7ab8b57c501fe791125879580c2511c4b0
com.infotel.seleniumRobot	seleniumRobot-grid4	5.0.11		3f68a7d7e9bfc348d67fdad962a6cb91773a1ce4
com.infotel.seleniumRobot	seleniumRobot-grid4	5.0.12		ecf6a96f1f0ea8634bdbd732fdb3b4eb04d41a30
com.infotel.seleniumRobot	seleniumRobot-grid4	5.0.13		135ab1ff92ddbdddb5541930c1193dae4525a3c5
com.infotel.seleniumRobot	seleniumRobot-grid4	5.0.14		cc123cf286f3538030ab3fbba409575df4d1fafd
com.infotel.seleniumRobot	seleniumRobot-grid4	5.0.15		0158c52f1a850c9475eadb8333c7721700ec9871
com.infotel.seleniumRobot	seleniumRobot-grid4	5.0.16		ac518fd43578aa6d9f15c88af3b26a4bcb2b4d33
com.infotel.seleniumRobot	seleniumRobot-grid4	5.0.17		3409e1a0d224f129e3726e2f878990e7540793a2
com.infotel.seleniumRobot	seleniumRobot-grid4	5.0.18		cacfd1675715f7ecee2d31f9d94f6c8778ffcc25
com.infotel.seleniumRobot	seleniumRobot-grid4	5.0.19		4a2978c13bb675969396aabb416bb04216cc71a9
com.infotel.seleniumRobot	seleniumRobot-grid4	5.0.21		5b26dc78110c43aba9fce98cef0a3590c01a6f18
com.infotel.seleniumRobot	seleniumRobot-grid4	5.0.22		372e72510373df954ee94c851ea6dcf376aecdeb
com.infotel.seleniumRobot	seleniumRobot-grid4	5.0.23		c7c48dbc39b994feda0d175d9a3cd57272616ed4
com.infotel.seleniumRobot	seleniumRobot-grid4	5.0.25		78e30248bc4b3320047128d12a1f9e9829d4e583
com.infotel.seleniumRobot	seleniumRobot-grid4	5.0.26		e9940a3fe653e3e5349aa7907c2e0719d946105e
com.infotel.seleniumRobot	seleniumRobot-grid4	5.0.27		b8e2084a3cd586de2afa40bc347c2ac1fd85a98b
com.infotel.seleniumRobot	seleniumRobot-grid4	5.0.28		7f38d75f246c9eb006493d1a7393dd4d6bce36b4
com.infotel.seleniumRobot	seleniumRobot-grid4	5.0.29		4cda51abe6d6162712f5648fecb67cc929ea6f67
com.infotel.seleniumRobot	seleniumRobot-grid4	5.0.5		0b0331a764b6fcc1dd307dfcdd092cc780b5ef96
com.infotel.seleniumRobot	seleniumRobot-grid4	5.0.6		13b9d0028c05e87de0cd395cf45a4939fa96bbdb
com.infotel.seleniumRobot	seleniumRobot-grid4	5.0.7		a6ee2b38acdda9388446cc367fd7991d21cd4d06
com.infotel.seleniumRobot	seleniumRobot-grid4	5.1.0		c62cf05aecb51552586fe59b9c82e17d9d022fee
com.infotel.seleniumRobot	seleniumRobot-grid4	5.1.10		9e0fc83d0249f43f7eed65a01d22e4b0ec3c7381
com.infotel.seleniumRobot	seleniumRobot-grid4	5.1.11		31b7fa33f2712c4cc92bce7dcdf8b0aa589cd7f7
com.infotel.seleniumRobot	seleniumRobot-grid4	5.1.12		746a07b7310f3516cf9c70e871894cc7fe2d21b2
com.infotel.seleniumRobot	seleniumRobot-grid4	5.1.13		719e7d72de4e1b1735acc9d365331d39bc85f48d
com.infotel.seleniumRobot	seleniumRobot-grid4	5.1.14		44f9c2cbaec7fb4a5d9ed1f67579205de82da5eb
com.infotel.seleniumRobot	seleniumRobot-grid4	5.1.15		f3ce9e7a18576fdaa4c30552e25ea2a6f6e20625
com.infotel.seleniumRobot	seleniumRobot-grid4	5.1.16		44e9f4ddf694b5dd58d1b13e5b26c25cf023763d
com.infotel.seleniumRobot	seleniumRobot-grid4	5.1.2		388aeec8a0f59c60db8c38f1431c4313d367ce6c
com.infotel.seleniumRobot	seleniumRobot-grid4	5.1.3		6a7e68391e7aed4c71eff37e5f78e43043533070
com.infotel.seleniumRobot	seleniumRobot-grid4	5.1.4		01799269006b0f3cd47a777e19fc2ab1504d93a5
com.infotel.seleniumRobot	seleniumRobot-grid4	5.1.9		d6369007a9898e81b07a0185eb7994c68cf8500b
com.javaguns.roses	security-sdk-allow-cors	8.1.2.1		0f70869a330c7faf75db66754cc99e157f96f7ec
com.javaguns.roses	security-sdk-allow-cors	8.1.8		36d0d2a4c748a2bc52552d072f16efe1f5f501b0
com.javaguns.roses	security-sdk-allow-cors	8.3.0		a2cc6c9a7288112282c11171bc1ab7cdfdfd8a9f
com.javaguns.roses	security-sdk-allow-cors	8.3.1		411ec4e9f3f4e5fd37d1e5bec740e508c5321f66
com.javaguns.roses	security-sdk-allow-cors	8.3.2		c013762862054bf4d8e4f178425c000107a5c551
com.javaguns.roses	security-sdk-allow-cors	8.3.3		285604e1259652db061fd1af15d27cc1fc2ec617
com.javaoffers	brief-sqlite	3.6.6		eb575f41957b8fac74c6ba925d9038f35f643b6c
com.javaoffers	brief-sqlite	3.6.8		c23c7f5820516ce805675f04355bbc494167b125
com.kubukoz.playground	core_2.13	0.1.5		445c22657437749d8cc715e7d3a9e968d59d4962
com.kubukoz.playground	core_2.13	0.2.0		3ec2bbddb0ea042575c9d212381a447263e6df4c
com.kubukoz.playground	core_2.13	0.2.1		8169e5abdb4120d0de77b929507c9e7a4af1bf3c
com.kubukoz.playground	core_2.13	0.2.2		c0823e22c6bd096c14271e0ad35a079124b5f1a3
com.kubukoz.playground	core_2.13	0.3.0		343cf0aa5ff163e303f66315a45d6d0965020503
com.kubukoz.playground	core_2.13	0.3.1		463aacd1338894b2b39e516ae83cd53bac00f9aa
com.kubukoz.playground	core_2.13	0.3.2		af0e487775c9eb4f8e1945a1b6de3bf978fb724d
com.kubukoz.playground	core_2.13	0.3.3		07c56f47f36f2173bdaa8027adcb61e8d632d129
com.kubukoz.playground	core_2.13	0.3.4		21d526f268fcff07e156896987d80f3e3a5d4208
com.kubukoz.playground	core_2.13	0.3.5		3eb88a088c398476ecedae126b5c34dadeb0ef25
com.kubukoz.playground	core_2.13	0.3.6		ab4bfc24f84cc23a6eb8d973dc7083139c093ccb
com.kubukoz.playground	core_2.13	0.3.7		e7b62b503ccf8ea1e337e3686193b33f81eee91b
com.kubukoz.playground	core_2.13	0.3.8		e61275ab0c2ccb41a3813a6516d14c2a385bcd9f
com.kubukoz.playground	core_2.13	0.3.9		d921b95849b98ad508ceecb83b51d2ae2ab547b5
com.kubukoz.playground	core_2.13	0.4.0		f9c8c23968dc11733df68735d4dc489999711c2e
com.kubukoz.playground	core_2.13	0.4.1		28062d71033541ff0ca8ea8ad9aa1a54fc31a2dd
com.kubukoz.playground	core_2.13	0.5.0		85bb3f7d871fb30c0ef7700104951848bb0bfd7f
com.kubukoz.playground	core_2.13	0.5.1		d214498822e429554968b3bf5b9595eb1469fa13
com.kubukoz.playground	core_2.13	0.5.2		c7b946552d253a19ecd266fd430ddc7cfa6e3a6b
com.kubukoz.playground	core_2.13	0.5.3		3e1b509c8785496583d6d3ae8f686deed71b0f1a
com.kubukoz.playground	core_2.13	0.6.0		efadf602d5b84f68448f92fe9728bbb049af6efc
com.kubukoz.playground	core_2.13	0.6.1		f3187a6898f1599e0b074c3fd46348ca756f0ee2
com.kubukoz.playground	core_2.13	0.7.0		e3dc7e7e475f8e32823d56a7461c38a9c10fe1c0
com.kubukoz.playground	core_2.13	0.7.0-M1		6e6649439356c6b6c93fdda63c7ab6566ecb3c4b
com.kubukoz.playground	core_2.13	0.7.0-M2		06949cb75fd18ff594e33b21fca71d9d0b306418
com.kubukoz.playground	core_2.13	0.7.0-M3		c4a47d2f3fcb2bf9b6122fc9e047100fa8ba68ce
com.kubukoz.playground	core_2.13	0.7.0-M4		d7cc8f2f5fbbcf51c21692ee95d1022ef8cecb08
com.kubukoz.playground	core_2.13	0.7.0-M5		fdd92f292bff0407d46b0045a96f6c0f173f8406
com.kubukoz.playground	core_2.13	0.7.0-M6		ea31433e01d663e7b7839ff1b84e562859ca771c
com.kubukoz.playground	core_2.13	0.7.1		c73bb3f2327ac49e6de10c5d5403c04549285ad0
com.kubukoz.playground	core_2.13	0.7.2		a4c569d267a8d0590ed23488e780fa14389987a3
com.kubukoz.playground	core_2.13	0.7.3		9b4f6e90d8d4862661143189a5e817708863a643
com.liferay	javax.servlet.jsp	2.3.3-b02.LIFERAY-PATCHED-1		4f70c64b1e8f6f91f3a1ee4fb8457e6f7c9b3cb6
com.liferay	javax.servlet.jsp	2.3.3-b02.LIFERAY-PATCHED-10		62e3ca96202d829c85cbf0445eb316a3d9a6e8b9
com.liferay	javax.servlet.jsp	2.3.3-b02.LIFERAY-PATCHED-2		59c5a8dde60c39eceb05d30022ea1d066ab7258f
com.liferay	javax.servlet.jsp	2.3.3-b02.LIFERAY-PATCHED-3		7f136798898ef73fc32aada4604dd2fdb75a5aee
com.liferay	javax.servlet.jsp	2.3.3-b02.LIFERAY-PATCHED-4		0866a9f990c8d5748425ab7bb7b38607b344530e
com.liferay	javax.servlet.jsp	2.3.3-b02.LIFERAY-PATCHED-5		8ab0d39add46a5609bd37cb17affe843a2bd55ca
com.liferay	javax.servlet.jsp	2.3.3-b02.LIFERAY-PATCHED-6		3c11e6d39e103e26d28439327a3b56518f897d4a
com.liferay	javax.servlet.jsp	2.3.3-b02.LIFERAY-PATCHED-7		6b777e61b3a116c5f8b51f145046878915925603
com.liferay	javax.servlet.jsp	2.3.3-b02.LIFERAY-PATCHED-8		cd30d3e2208a0bf4d80efdcb63a8badd32db7d3b
com.liferay	javax.servlet.jsp	2.3.3-b02.LIFERAY-PATCHED-9		a57548e69147cbf199cd45d8c084bbc74d1af23c
com.lihaoyi	ammonite-sshd_3.4.2	3.0.0		56a962e95051e5e51d59b11c6eefc8d84ee720da
com.lihaoyi	ammonite-sshd_3.4.2	3.0.0-2-6342755f		83e982981c0fb31dbe3c9e89dc5b8416fc871818
com.lihaoyi	ammonite-sshd_3.4.2	3.0.0-M2-10-f6e2c001		00fba6cbbc6a72d40eb652a798ca9ce1eefdf5e4
com.lihaoyi	ammonite-sshd_3.4.2	3.0.0-M2-11-713b6963		66ea5058a2107c6ba9d9ce9fe31c6a4e16f832d8
com.lihaoyi	ammonite-sshd_3.4.2	3.0.0-M2-12-951bbc1e		393c795d22ceab9e392dd5fbf72abae026087e95
com.lihaoyi	ammonite-sshd_3.4.2	3.0.0-M2-13-23a8ef64		2ececb2233c6a3cfeed5134c347894bc31598f1e
com.lihaoyi	ammonite-sshd_3.4.2	3.0.0-M2-14-23a07fdf		b99648a0a17a3dbcd95cc4758b62ecf42d3002e5
com.lihaoyi	ammonite-sshd_3.4.2	3.0.0-M2-15-9bed9700		2b0c6bdbec8c3514ffb98ed598694d7e7c4cea57
com.lihaoyi	ammonite-sshd_3.4.2	3.0.0-M2-30-486378af		01dd8a32e833c6aa1528ef819ef9cf8b6e34a3f6
com.lihaoyi	ammonite-sshd_3.4.2	3.0.0-M2-9-88291dd8		9bc27c6d659d6ecc7e9bc3b32b6b56b64b28a629
com.lihaoyi	ammonite-sshd_3.4.2	3.0.1		fc349cf53227750c80a45c96e26374ba98d47506
com.lihaoyi	ammonite-sshd_3.4.2	3.0.2		58228a364e6c5850d71abbdc0a893e22e88c8209
com.lihaoyi	ammonite-sshd_3.4.2	dev-0-5b8ba21		7040aec5bc9646c64d7116620da897b4d44ed06b
com.lihaoyi	ammonite-sshd_3.4.2	dev-0-c7a1191		1550f8f048c3f125c02afb152edf85171a1a0591
com.lihaoyi	mill-scala-compiler-bridge_2.12.19	0.0.1		fcbaa3c4ede0ecb0a48c9feac4d213c7f880f2fc
com.microsoft.azure	spring-data-cosmosdb	2.0.3		a35a8a4801a6ef9390d45cbd2dcd354083f2edfe
com.microsoft.azure	spring-data-cosmosdb	2.0.4		420d49a69e036872833a7995eaf90eadb2e805ff
com.microsoft.azure	spring-data-cosmosdb	2.0.5		e998b5f545490598d76011f322965d13dba2f692
com.microsoft.azure	spring-data-cosmosdb	2.0.6		c24f9be86b97a41bde40ae75f6bc4d48a017aac7
com.microsoft.azure	spring-data-cosmosdb	2.0.7		73915fbfd00f0923c172e606f4371d598e881e00
com.microsoft.azure	spring-data-cosmosdb	2.1.0		b19f50db0bdb7bf7ab64de474abf900716ad0096
com.microsoft.azure	spring-data-cosmosdb	2.1.0.FIX1		ec5bbd57af7cfa74c02150fb23919f7bec65970a
com.microsoft.azure	spring-data-cosmosdb	2.1.1		e8ac8510f9d63ac853e57c5ce2fb1abb13289823
com.microsoft.azure	spring-data-cosmosdb	2.1.10		ef54ff09ca042ff604f680c2ad9a8395b50db205
com.microsoft.azure	spring-data-cosmosdb	2.1.2		cb9cee6e52337e3ecca2b6a8e8e94955a7c667f8
com.microsoft.azure	spring-data-cosmosdb	2.1.2.FIX1		88cdc623ce243992634288efe85bb4f955c6c89e
com.microsoft.azure	spring-data-cosmosdb	2.1.7		160309f0315bfd335c35cea88158ed19a9c1bcf3
com.microsoft.azure	spring-data-cosmosdb	2.1.8		2d09d1e2022a4c57d2c3e14e0146753f3933756c
com.microsoft.azure	spring-data-cosmosdb	2.1.9		335643d767d833de9da1859b54d76dbe049cb569
com.microsoft.azure	spring-data-cosmosdb	2.2.0		76dd28ba5b725285535ff6fc619461f29b0e1a8c
com.microsoft.azure	spring-data-cosmosdb	2.2.0.M1		0dfcd689d6aed2c7a41f90357e4b63b949c4101f
com.microsoft.azure	spring-data-cosmosdb	2.2.1		a686df0f225b13a436e77d2ad7657b3638e02eb3
com.microsoft.azure	spring-data-cosmosdb	2.2.1.M1		8d6030e4302d465789f7135d9ef9a863d4f91609
com.microsoft.azure	spring-data-cosmosdb	2.2.2		f6447dab178d017171e5429a1c93bde9848b6191
