aspectwerkz	aspectwerkz-tutorial	TSS		N/A
com.cognitect.aws	location	811.2.958.0		4bdf7e2177270c8d36f228ded18085c2f533decb
com.cognitect.aws	location	814.2.1008.0		c3803a70889c82309f18d1ec9e49a055e6ea7726
com.cognitect.aws	location	814.2.1053.0		459777629f79ad91f472c4f843c00e17534a97bf
com.cognitect.aws	location	814.2.1066.0		4ada28c7b6697820fb86b4a458664bc368a0c751
com.cognitect.aws	location	820.2.1096.0		378903dfd4e06b8a62f0420f048f04343c2b2f95
com.cognitect.aws	location	820.2.1101.0		7dd1ed99face90e0fcb11a8c9129fdf7161830a8
com.cognitect.aws	location	821.2.1107.0		835200c14a645abcda3ec3c3e7c43f404e925808
com.cognitect.aws	location	822.2.1145.0		824722cf38cfcbbc347ee0360f057671cad83344
com.cognitect.aws	location	822.2.1193.0		7b4e907b5f99ad63b63c89500cfbc266797d4fa6
com.cognitect.aws	location	825.2.1233.0		1e634e2a96060e64fab70b2c288d74e8cd3a21de
com.cognitect.aws	location	825.2.1250.0		8f474012002d5502de7bf97d56702d066c5dcbcb
com.cognitect.aws	location	825.2.1283.0		3ec9e4898aa4d59b7276d1c8c628a99a8e01cf33
com.cognitect.aws	location	835.2.1307.0		7f0153f587a4ac6a82316c1e969cd89e20dd69e4
com.cognitect.aws	location	836.2.1323.0		f06955303fb419a3891cd4d99ede30589f8f0e19
com.cognitect.aws	location	845.2.1345.0		eae3936ede20cc0b5e9bd34da578fbf86c0b20fc
com.cognitect.aws	location	847.2.1365.0		90d0d39ebe3e88331738e7c182ce95f29a6afaa6
com.cognitect.aws	location	847.2.1387.0		f171f6a339c001e0aa5991deb3bb4510b791deda
com.cognitect.aws	location	847.2.1398.0		e0f5c23ea1c3b667b4cda6af09059ab6b58e2ece
com.cognitect.aws	location	848.2.1413.0		f33bce84ab8acd7c626cb6956415cf025c830fd3
com.cognitect.aws	location	857.2.1574.0		177384554a428a16779fcfc4ff2723d12801cd48
com.cognitect.aws	location	869.2.1687.0		335ecf4eee37cc2983b1c4f8c8771abfa2776c34
com.cognitect.aws	location	871.2.29.35		dcd7fe446f64c0481817cd6f82d8795c014e2535
com.cognitect.aws	location	871.2.31.23		6932e78a91799ca4adc8d353de089d2f3eba1123
com.darylteo.vertx	vertx-promises-java	1.1.0		9c0c118684986336f46506c6903c549550400a09
com.darylteo.vertx	vertx-promises-java	1.2.0		798353d5ffae146e9315cde436a2548ae81cddd5
com.darylteo.vertx	vertx-promises-java	1.2.1		4ced69e0108cf9689b5d9dcdac06d23fb63e7beb
com.expedia.apiary	apiary-receiver-sqs	1.4.0		4a043210147e905edfb5af552609d6c50283c1f4
com.expedia.apiary	apiary-receiver-sqs	2.0.0		c5eb06d1562d49f42a7fe34ebce9528e49074f0a
com.github.IndiscriminateCoding	api4s-codegen_2.13	0.1.0		ac7d15f9d9ee97b5086096b706e9713d56cfc4a7
com.github.IndiscriminateCoding	api4s-codegen_2.13	0.1.1		4c4c1bf5ddc0a65c9e7b8cd91fc01eaadd643286
com.github.IndiscriminateCoding	api4s-codegen_2.13	0.1.2		42fcaf959c570b42793f7b6ac853289581deb2e6
com.github.IndiscriminateCoding	api4s-codegen_2.13	0.1.3		8789064fc3dbac5a83cd1298e4965680bd09e0d4
com.github.IndiscriminateCoding	api4s-codegen_2.13	0.2.0		caf74865d6a2339a3e41f1695acbb6d2d00f67be
com.github.IndiscriminateCoding	api4s-codegen_2.13	0.2.1		ff8cbeced3aae507f92af185e6e54579eb01cdfd
com.github.IndiscriminateCoding	api4s-codegen_2.13	0.2.2		58b7e616dd2de3d4a20d7649980e66ff9ec349a4
com.github.IndiscriminateCoding	api4s-codegen_2.13	0.2.3		f4d4f0c3d1f5eadd793913d44e11c10bf12318a1
com.github.IndiscriminateCoding	api4s-codegen_2.13	0.2.4		42e871beac67fce9f32ff6370d0c84f343159c60
com.github.IndiscriminateCoding	api4s-codegen_2.13	0.2.5		555e8c278b46e9e7d9ffb86db0f3ca9aea629c84
com.github.IndiscriminateCoding	api4s-codegen_2.13	0.2.6		0b8ced31cc0c5b937ba729bd553ba6bfc7475680
com.github.IndiscriminateCoding	api4s-codegen_2.13	0.2.7		7eeacba779f7e406fee6d3a9143abfb456bfc077
com.github.IndiscriminateCoding	api4s-codegen_2.13	0.2.8		9d3b836a8e9b0d6aa0062ea7d0aa77f38d4d5eb6
com.github.IndiscriminateCoding	api4s-codegen_2.13	0.3.0		7c1f75e6c33b1b5aac214983a5ed6994943ccc2a
com.github.IndiscriminateCoding	api4s-codegen_2.13	0.3.1		166df245773105dbfa31d6b6f7562048f271b1ef
com.github.IndiscriminateCoding	api4s-codegen_2.13	0.3.1.1		5adc27334c58ded0cf4983ab6982965a1a66ed73
com.github.jalasoft	HttpClient	1.0.0		61450ea4f3fd5b7058b7078f3dca985026474368
com.github.jalasoft	HttpClient	1.0.2		65bbb83c921733eba761d8cba24a36a972542b1b
com.github.jalasoft	HttpClient	1.0.3		cf7184a459f28ab112e2efe0f408791dd973b45c
com.github.jalasoft	HttpClient	1.0.4		b53eb50003a512782a36ef0edaa8783c41349f0b
com.github.jalasoft	HttpClient	1.0.5		c617f7186c98db52d4a9c04ef5dc0fd4d02f6df7
com.github.japgolly.microlibs	macro-utils_sjs1_2.13	2.3		02299386186a56e25b0df463a9a345bbeac04a08
com.github.japgolly.microlibs	macro-utils_sjs1_2.13	2.4		0080b9b51a360df7382c5050cc0f05da26471ced
com.github.japgolly.microlibs	macro-utils_sjs1_2.13	2.5		d180ab090d471131579e7d4be057beabcb974830
com.github.japgolly.microlibs	macro-utils_sjs1_2.13	2.6-RC1		db4d1dddbffba645fb0f4bbb52c00ad3c9090eda
com.github.japgolly.microlibs	macro-utils_sjs1_2.13	2.6-RC2		92a74d033f1fa7bb652d36f0057bae61f4cb31df
com.github.japgolly.microlibs	macro-utils_sjs1_2.13	2.6-RC3		cfe0afa555ea06832d732ddd5b799e89088804f4
com.github.luues	boot-pom	1.0.0.RELEASE		N/A
com.github.luues	boot-pom	1.0.2.RELEASE		N/A
com.github.luues	boot-pom	1.0.5.RELEASE		N/A
com.github.luues	boot-pom	1.1.0.RELEASE		N/A
com.github.luues	boot-pom	1.2.0.RELEASE		N/A
com.github.luues	boot-pom	1.2.1.RELEASE		N/A
com.github.shynixn.blockball	bukkit-nms-117R1	6.25.0		a3016d6ba85a0d44f0bd4d28d878c928cd2df076
com.github.shynixn.blockball	bukkit-nms-117R1	6.25.1		472f7553d0cc37574bd57cdd21fa2fba51480258
com.github.shynixn.blockball	bukkit-nms-117R1	6.25.2		d22bd4f5944c60684ce5f21dd9c57532f8fd76f4
com.github.shynixn.blockball	bukkit-nms-117R1	6.25.3		ee15b3830f97cd3edb66fab44627c2c877ce419c
com.github.shynixn.blockball	bukkit-nms-117R1	6.25.4		be62a4d1391df0d8ad5f48a0c7029775ddcc9432
com.github.shynixn.blockball	bukkit-nms-117R1	6.26.0		e2551890457e80a0df08fec4b5f46ce451cd3edb
com.github.shynixn.blockball	bukkit-nms-117R1	6.27.0		43089756b7786780c24da7eec2468b44a64f5a71
com.github.shynixn.blockball	bukkit-nms-117R1	6.28.0		08c01112f07e6fada9f394d1825eb4168f03b06c
com.github.taccisum	test	0.1.1		a5a6d20a5ce6cffd701540a8917ff890757f96ef
com.gitlab.cdc-java.deps	cdc-deps-java	0.0.10		b4701d51ba1507980452885d738edabe849a89c1
com.gitlab.cdc-java.deps	cdc-deps-java	0.0.11		a3707f54e3c529a22b73fe9046742314f396276c
com.gitlab.cdc-java.deps	cdc-deps-java	0.0.11.2		24af0b55ccda9a649abdf428aa7a4b52a5e271be
com.gitlab.cdc-java.deps	cdc-deps-java	0.0.11.3		b2611d5bd5e728d97441313ad232e9259b5a66b9
com.gitlab.cdc-java.deps	cdc-deps-java	0.0.11.4		4aa0055f07c7c17371e36c6f85efe6a7adb82c8f
com.gitlab.cdc-java.deps	cdc-deps-java	0.0.12		b82a3d49daa38d880619100b7babf40b5c0a3f31
com.gitlab.cdc-java.deps	cdc-deps-java	0.0.14		d77efe8628730a9af1a75a946039ed7a72c8891d
com.gitlab.cdc-java.deps	cdc-deps-java	0.0.15		ab72d92a94a598fd3a00a8fbac8b4df01ce7afd8
com.gitlab.cdc-java.deps	cdc-deps-java	0.0.17		16259de023005d62ce3831d3b8f14d6dc9ded1b1
com.gitlab.cdc-java.deps	cdc-deps-java	0.0.18		8fc5717009dc0b16dd75b0989b23332e26051e8d
com.gitlab.cdc-java.deps	cdc-deps-java	0.0.19		1a1cc75735d48436f59be75f5babdde480bcb776
com.gitlab.cdc-java.deps	cdc-deps-java	0.0.20		4050b4703345d8ad065830828e857298c1d26add
com.gitlab.cdc-java.deps	cdc-deps-java	0.0.21		18165f569fb1531e596a9506c4d523aa36f064f9
com.gitlab.cdc-java.deps	cdc-deps-java	0.0.22		69478b7af65e9c3d751558a91d6c2263a4b43726
com.gitlab.cdc-java.deps	cdc-deps-java	0.0.8		3c4152f9d0d00cd9238b78941022bd813c14acf0
com.gitlab.cdc-java.deps	cdc-deps-java	0.0.9		dd388682c6eeb40bbadf2dd7503ea9b2bb7ad8a9
com.gitlab.cdc-java.deps	cdc-deps-java	0.1.0		f1cda06679474b42c8259478d182da965b7838a5
com.gitlab.cdc-java.deps	cdc-deps-java	0.1.1		e8d74717633fd1054132afe9ad1f43b409d9b076
com.gitlab.cdc-java.deps	cdc-deps-java	0.10.0		838c32e13ab836974b7fe423ecbeaa6edf7106d7
com.gitlab.cdc-java.deps	cdc-deps-java	0.10.1		6557703f8fd437302fdc64669745bbb022288002
com.gitlab.cdc-java.deps	cdc-deps-java	0.10.2		93f8d3330c2f1da7803ace6fd7f6e60f840578e4
com.gitlab.cdc-java.deps	cdc-deps-java	0.2.0		672fd09a27bfab2dabf543095d31c070d677bc12
com.gitlab.cdc-java.deps	cdc-deps-java	0.20.0		c27df5023618f518e0800de91768ef5632028bae
com.gitlab.cdc-java.deps	cdc-deps-java	0.21.0		ed35b8c21abf3bbd73a53282fc49e346ad2448a8
com.gitlab.cdc-java.deps	cdc-deps-java	0.21.1		fa935ff7e09d867e6015d5f189c70c6518b4ce67
com.gitlab.cdc-java.deps	cdc-deps-java	0.21.10		1c0fcbab2b97b812d9c2ed9611237c57cc477640
com.gitlab.cdc-java.deps	cdc-deps-java	0.21.11		87b09176675d3d70b65d3742d3a7a406ec8fe276
com.gitlab.cdc-java.deps	cdc-deps-java	0.21.12		d465a682a09005aa1957976517e3778faf04dc10
com.gitlab.cdc-java.deps	cdc-deps-java	0.21.2		aeacd646cf46e0e155e8a2431cec594d8daaf6fc
com.gitlab.cdc-java.deps	cdc-deps-java	0.21.3		711b5de925e58eef0387f3e266cd7c3f46404ed1
com.gitlab.cdc-java.deps	cdc-deps-java	0.21.4		9b5bbddd4608a97eece60c75fc73f0fe9b8e1471
com.gitlab.cdc-java.deps	cdc-deps-java	0.21.5		07a11bbd556d5844cbf4b71d4cc236269599e592
com.gitlab.cdc-java.deps	cdc-deps-java	0.21.6		59d24920c4259ba2665a20d6c84ea6d0fc8b1cff
com.gitlab.cdc-java.deps	cdc-deps-java	0.21.7		ec1d8275e2b06b3522098df75908ffcaa8375f31
com.gitlab.cdc-java.deps	cdc-deps-java	0.21.8		893bffa757cda5acf228b37d3e38d303b9380ffb
com.gitlab.cdc-java.deps	cdc-deps-java	0.21.9		369d74cba5a8033ea925e63a7807db8255232a8b
com.gitlab.cdc-java.deps	cdc-deps-java	0.3.0		339877f24c06b39ce3fb3ca0b8142821e3a00f96
com.gitlab.cdc-java.deps	cdc-deps-java	0.4.0		3e8b9c36a6048a8565a70edd27f0b27b7d51d6cc
com.gitlab.cdc-java.deps	cdc-deps-java	0.5.0		fe78f1e033f38c3e5561d3028c5d5bb9a7ebf98e
com.gitlab.cdc-java.deps	cdc-deps-java	0.50.0		fa70a7be675758939b513781fb18953f0d32990e
com.gitlab.cdc-java.deps	cdc-deps-java	0.51.0		484738238ce640ee197225d142393c56b7f97464
com.gitlab.cdc-java.deps	cdc-deps-java	0.52.0		4f88c12e1f4fd3243092b7e682b69d0ac500f110
com.gitlab.cdc-java.deps	cdc-deps-java	0.52.1		5beb42b560eed5ed95cc943fbdd3c2243a0979de
com.gitlab.cdc-java.deps	cdc-deps-java	0.52.2		b5d57a1a0d46df9643a437da3a7e388d3e6f563a
com.gitlab.cdc-java.deps	cdc-deps-java	0.52.3		6b7fce14cb22d2498847804fdcbd1a8d324c006f
com.gitlab.cdc-java.deps	cdc-deps-java	0.53.0		42b99816a2c4dce50215c9c66923681e364677ac
com.gitlab.cdc-java.deps	cdc-deps-java	0.6.0		55964089124a8affa843ec78bf25f175522972d1
com.gitlab.cdc-java.deps	cdc-deps-java	0.7.0		1811d4cbcab7ac7013994c43ae8d9ab78e52ba11
com.gitlab.cdc-java.deps	cdc-deps-java	0.8.0		3f42028db080d32de5bf58d16d061c321c774e29
com.gitlab.cdc-java.deps	cdc-deps-java	0.9.0		fc7c8d4ff0ad880284ea78bfbd326064ed2d29b7
com.google.caliper	caliper-worker-jvm	1.0-beta-3		6effd0e6790668f38011e72aa31d5d936b07150f
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.10.0		fd7f5ed02c62f85906b2c83baecd29cce89024ea
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.11.0		25bc35d6caceeaaabad444f1483b9e27205d521e
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.11.1		23cc3fa47e40097fcb0c870d5ee1522decce7874
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.11.2		6c4a6b3ccd2ac02f8579ddaac59cfea4edbfe7ab
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.12.0		8af70dafef13b73a02dbacd122ff300fb031c2d7
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.13.0		4b8bbb4f07d8e9a232236600462e63e66682eeab
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.13.1		9de3147ef8646401487026ced6ec2ed85649fe64
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.14.0		cbfc56a0ac95b858b04555d74e8ad28e1c9e3229
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.14.1		36c8079513adeb43e633d8b2084a142b53c86be1
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.15.0		a837e0b1e82a3db122d16e8f3a3dc60c1763f2f7
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.15.1		ec7cafc0ed6908bdd72ed858db423edb4363c18e
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.15.2		6cdaf31311674833757a6cbfdf61b67c0a3a2f87
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.16.0		b127eed61bb7abdd71a16b6d3bc17b4b60845dd4
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.17.0		8cb4000293985cbe0e5f94ffe2471efb60b1a307
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.17.1		74abcf4e38e0c0f1e4f83943e315d1fe09c420c9
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.18.0		f1d5146509139686890b873bf02ee91785bc9a35
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.18.1		413c69052ca556b78b82d85d6b559035c8589026
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.19.0		28be3612a5a8957a811e27ca36f365a59f26f1e6
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.19.1		4704c0952f7ac56aa9dcfc017b6a444eb1837cd8
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.2.0		a1bfa0d5ec32605fb27c135fe02f151c6060d876
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.2.1		8d7a77629ddaf7fdf62e69647e6e54bbfe680071
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.2.2		3feac8a28b9d163ce6cbf289503dd07825b714f2
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.2.3		882eb9a11603953f43ad58fad62d19a3f88eedce
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.20.0		1f0f0f11e8faf3615bb654f493bdb72059214da5
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.20.1		832af4e3fb7e30c20b67eab58d7d78e1edf6ead6
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.21.0		0a5c1463c939a44de1ab92915f7b4034e456d94f
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.21.1		af560b33ce439e6a718e32d5db2d337ad3c02166
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.21.2		0037f930dd630bbb0be90fd9e5352e18fc6818ff
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.22.0		78df21b780d2e3d4dcbe33682eab31ae7e711957
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.23.0		02be3f322778d13a9bfe84985f16026203c5a587
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.23.1		8837be0b9434faf7b0db1c54673dbcd7d6216412
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.24.0		b987984277a7ae425699b0b93390d759f45ad784
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.24.1		a6bc6d2c31b32a4b52eb158cc6ca7cfe0f3410d8
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.24.2		6ff5281a819af64734ec4b82190add6f004e9714
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.25.0		67081ca9c1a12788878fa1e386c646f0df1fdf3e
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.3.0		5189481c2082666acaa2bebdc1ec50693cc2aa6d
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.3.1		74c4d65448c86517e918df002bb3d8f82d2d8f1c
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.3.2		fb4f4283a9942ee6bc41f4d114a2a3a7910b01ac
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.3.3		ebe22191e1b633a327e49cb01229b168fc13280f
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.3.4		8de3d0b4b72dd1f84322d957087cbf0a3f67fbbb
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.4.0		75d8ece9c61357fbbe379d51bfbb1f12313cde74
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.4.1		bbeb84e9fa1407c2cd028d81c4e3a3e969ab574e
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.4.2		a9b39e42548a0ff71f85e42e91b053f192eb16e0
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.4.3		0992e3e1a345d14cb7b643e3a35e2c2e88cc5e4e
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.4.4		fd7013aa978fdf697cfd64f4e75345a05d88021e
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.5.0		8a44bedd6a3e3dc6b27cba18653b10912df84684
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.6.0		6bb683ce0f2cfb1916a34a1a718dc65c238812b0
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.6.1		be8867e8244ca6e8183f47f5b21f9a19e9fcc19d
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.6.2		79916f3589124ca43ecff5e05e101b9c133409f2
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.6.3		53b664c1c23dedebbde01e53d9af69553902416d
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.7.0		54e0d877a7795f8f27d0832d32d4e0fc705e599d
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.7.1		85ee582985b834818a6d474b5e1c21c44ae1f674
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.7.2		dfce648961833925ac310137a52986fcd1c859c7
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.8.0		eecf3a68a2121f50b897f56e79c9e374adf73606
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.8.1		6e824f33c985e155b708225462a8b97926a32c6c
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.8.2		6451518eb08edcadd3a72213911d6f3e937b7e18
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.8.3		53bcbf5f8c110087b8f2a765b7297e83cd36ee80
com.google.cloud.sql	cloud-sql-connector-jdbc-sqlserver	1.9.0		45aba01c1e7d48be7b13b4845a547cf2d2ab4829
com.helger	ph-oton-bootstrap3	5.0.0		396982190e86305e50351cfb4e90d511c6eb08c9
com.helger	ph-oton-bootstrap3	5.1.0		672cc037f1c3bb84c5e2ab35a5b914db3881490b
com.helger	ph-oton-bootstrap3	5.1.1		4210166fcb70718d84d708db411d3bccd1e7b73c
com.helger	ph-oton-bootstrap3	5.2.0		c13269f32b2a2785aaee9bb53fc6fdfb72e24f7b
com.helger	ph-oton-bootstrap3	6.0.0		64ae2b99506f1b6e09ea8c3fffdc7ef1b3fe6286
com.helger	ph-oton-bootstrap3	6.1.0		86563da48ab8e13912cdeca9609d2f24341bb6ea
com.helger	ph-oton-bootstrap3	6.2.0		c97afb2a78beb7616a61f5259fcb06a0d8de78c0
com.helger	ph-oton-bootstrap3	7.0.0		5a0e9bc335c854f2081bafbc9ed7a76405eec963
com.helger	ph-oton-bootstrap3	7.0.0-b1		2750eef53044285005fc81abca492203d9aea9db
com.helger	ph-oton-bootstrap3	7.0.0-b2		99899940b3c81d285127fce1d59303de58b1204b
com.helger	ph-oton-bootstrap3	7.0.0-b3		df51c7175892f2307f95828a699d0683511d34e0
com.helger	ph-oton-bootstrap3	7.0.1		4ca744c4fb022d84d8fc20a496420a88431845c3
com.helger	ph-oton-bootstrap3	7.0.2		e3a04fa138267dd8940fc7c18aadfaeee3f286ac
com.helger	ph-oton-bootstrap3	7.0.2-b2		2cb9e9213e78634de7900c12fb83bf31dfe726e3
com.helger	ph-oton-bootstrap3	7.0.2-b3		10a1bd9999ec35800fba1ec57e6f420cbf36c413
com.helger	ph-oton-bootstrap3	7.0.3		3f273ede44bdc7b2f7ec20862cd7f84eefa5a6a1
com.helger	ph-oton-bootstrap3	7.0.4		0ecdbf4771a78def3f7e6edbf0b9668336b3f0e4
com.helger	ph-oton-bootstrap3	7.0.5		d233842dde71c519affa6e28def4093d72078d2e
com.helger	ph-oton-bootstrap3	7.1.0		963effe5824b7e6c1760da6d56690de0a9d8fb0d
com.helger	ph-oton-bootstrap3	7.1.1		93c43d19811ef667953eb7f536830f13eaa74917
com.helger	ph-oton-bootstrap3	7.1.2		b146ee3144fd745fe225304f89366d906f4f0028
com.helger	ph-oton-bootstrap3	8.0.0		ee6100046db84015fe8788cc4a349e76d2938fe3
com.helger	ph-oton-bootstrap3	8.0.0-b1		6ca38a006107823e42c06d72a04d3d1fdaecfe7c
com.helger	ph-oton-bootstrap3	8.0.0-b2		e0e275e611c20119d3c7f50871f3c6d1b1be762d
com.helger	ph-oton-bootstrap3	8.0.1		cb0413996e3ec239cbc5d0a8da667b2dfc407b78
com.helger	ph-oton-bootstrap3	8.0.2		b50862dc2e155b151e71822c3636cdffdee3cbbd
com.helger	ph-oton-bootstrap3	8.1.0		30dc4cca6769861f45ca93bf4b39cb421aa04daf
com.helger	ph-oton-bootstrap3	8.1.1		9538bbf209cde578cf17ce3a60000ee464c8163e
com.helger	ph-oton-bootstrap3	8.1.2		96efb7bdfa6c47af03a45258937af90811df08c2
