com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.3.0	shadowJar	a53fa138e82e72f6a0abbf087c5c3097cd37a9c2
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.4.0		d99924f73e52c5623444f5969c80612d334fecb5
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.4.0	shadowJar	d99924f73e52c5623444f5969c80612d334fecb5
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.5.0		4cba5cd074db62dd4acf5a9cbad744fc03e43a95
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.5.0	shadowJar	4cba5cd074db62dd4acf5a9cbad744fc03e43a95
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.6.0		ea67f6fbe3c618011a9e80f15e62c61dc0737a43
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.6.0	shadowJar	ea67f6fbe3c618011a9e80f15e62c61dc0737a43
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.7.0		3ebe0f0001af40aea6598da890d3cf8487e048f7
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.7.0	shadowJar	3ebe0f0001af40aea6598da890d3cf8487e048f7
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.8.0		e0b36b4b27fd8afe1ad29f80bbb2c83e1b23f8e8
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.8.0	shadowJar	e0b36b4b27fd8afe1ad29f80bbb2c83e1b23f8e8
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.9.0		a7cb78cf03da1195b5f874bc7c86fa3680d2daee
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.9.0	shadowJar	a7cb78cf03da1195b5f874bc7c86fa3680d2daee
com.github.skydoves	flexible-core-iosarm64	0.1.1		N/A
com.github.skydoves	flexible-core-iosarm64	0.1.1	metadata	e41670b44c441a78b25966f490f28bfde7089184
com.github.skydoves	flexible-core-iosarm64	0.1.2		N/A
com.github.skydoves	flexible-core-iosarm64	0.1.2	metadata	fb439a39cfe3ecf2ddfdb39a79b82b30b3ea4675
com.github.skydoves	flexible-core-iosarm64	0.1.3		N/A
com.github.skydoves	flexible-core-iosarm64	0.1.3	metadata	570067f3310362ceb1ffcd6a0b7fa761f726d727
com.github.skydoves	flexible-core-iosarm64	0.1.4		N/A
com.github.skydoves	flexible-core-iosarm64	0.1.4	metadata	2c5a6100583c50f7554ed9467150b2f7b0cba4ca
com.github.skydoves	flexible-core-iosarm64	0.1.5		N/A
com.github.skydoves	flexible-core-iosarm64	0.1.5	metadata	296a05fdbb1f06c06946a14366f913f923415e17
com.github.zengfr.platform	rest-core	2.7.2.6		4c3a9dab736c85f502080edc1328162e647248b7
com.github.zhongl	akka-stream-netty-all_2.13	0.1.10		8ef2b8ad176526461bbe133b1fcf05bc0a9a704d
com.github.zhongl	akka-stream-netty-all_2.13	0.1.11		7d4b9c8bf877076e2ae068c14a6da94bb67dce2f
com.github.zhongl	akka-stream-netty-all_2.13	0.1.12		342fd33ea49ab2550deb3953fc49b19cf51f78e3
com.github.zhongl	akka-stream-netty-all_2.13	0.1.13		736d433c942b3d79b8753851cfe8eaf0b296f3a3
com.github.zhongl	akka-stream-netty-all_2.13	0.1.14		ebbfae6cd815b20e0d6e801be529b173d131db6e
com.github.zhongl	akka-stream-netty-all_2.13	0.1.15		cfcb692706b05c07765994b8dc775229e60b1912
com.github.zhongl	akka-stream-netty-all_2.13	0.1.16		815400c27bbda0c924f95180aad2bc1f4a18a45a
com.github.zhongl	akka-stream-netty-all_2.13	0.1.17		ae384035d51563106285dea627742ac642755016
com.github.zhongl	akka-stream-netty-all_2.13	0.1.18		7506afe16be2e8264f33be012a449b7b22b5acb6
com.github.zhongl	akka-stream-netty-all_2.13	0.1.4		a207a9dde49d5c3c19b79160653585426a5a2109
com.github.zhongl	akka-stream-netty-all_2.13	0.1.5		34e47c5c8fc4053a9c15095ba5096a41db5bade3
com.github.zhongl	akka-stream-netty-all_2.13	0.1.6		7e38d3dd4ff99aa83b1ecf80de515f2de6903011
com.github.zhongl	akka-stream-netty-all_2.13	0.1.7		23755db74ddbc5923076d0a36aeff6fa63fef540
com.github.zhongl	akka-stream-netty-all_2.13	0.1.8		32c57970588cb8c1272f47002567c6e461c4eb83
com.github.zhongl	akka-stream-netty-all_2.13	0.1.9		82dd30f6fbf7bd27752ca883930f41e3489a8243
com.gomyck	trans4j-ext-rest-api	2.0.3-RELEASE		dc3bafc56a32012345c0e917b4a5e96ce5b25d2b
com.gregmarut.resty	resty	1.1-RELEASE		1faacd8abe73bdb7a1d400a08622be8ba835b100
com.gregmarut.resty	resty	1.2-RELEASE		1b2744e74adf7ca558cf8198fdaf1432b1fd4cb5
com.gregmarut.resty	resty	1.4.0		N/A
com.gregmarut.resty	resty	1.4.2		N/A
com.gregmarut.resty	resty	1.4.4		N/A
com.gregmarut.resty	resty	1.5.0		N/A
com.inneex.www.customfonts	customfonts	1.0.0		N/A
com.ionspin.kotlin	bignum-serialization-kotlinx-watchossimulatorarm64	0.3.10		N/A
com.ionspin.kotlin	bignum-serialization-kotlinx-watchossimulatorarm64	0.3.10	metadata	90d162b0062e502ced73b415c93ab3b16116e7ad
com.ionspin.kotlin	bignum-serialization-kotlinx-watchossimulatorarm64	0.3.3		N/A
com.ionspin.kotlin	bignum-serialization-kotlinx-watchossimulatorarm64	0.3.4		N/A
com.ionspin.kotlin	bignum-serialization-kotlinx-watchossimulatorarm64	0.3.5		N/A
com.ionspin.kotlin	bignum-serialization-kotlinx-watchossimulatorarm64	0.3.6		N/A
com.ionspin.kotlin	bignum-serialization-kotlinx-watchossimulatorarm64	0.3.6	metadata	8b9b304e13d4b88a905134cab1fbf94e5d5640c9
com.ionspin.kotlin	bignum-serialization-kotlinx-watchossimulatorarm64	0.3.7		N/A
com.ionspin.kotlin	bignum-serialization-kotlinx-watchossimulatorarm64	0.3.7	metadata	6ec046b44df37a53b22447296e84d96786463e8a
com.ionspin.kotlin	bignum-serialization-kotlinx-watchossimulatorarm64	0.3.8		N/A
com.ionspin.kotlin	bignum-serialization-kotlinx-watchossimulatorarm64	0.3.8	metadata	3b9c54d6d3adb50e00f05d32ca8c990f60f6d3cb
com.ionspin.kotlin	bignum-serialization-kotlinx-watchossimulatorarm64	0.3.9		N/A
com.ionspin.kotlin	bignum-serialization-kotlinx-watchossimulatorarm64	0.3.9	metadata	480e84d0b743f8695bcae95c264bbf5ef66d7b70
com.liferay	com.liferay.headless.admin.site.api	1.0.0		b35964432e7d9bcbc4062d1179339cb53896e146
com.liferay	com.liferay.headless.admin.site.api	1.0.1		9c302d2307c576725aecbc46bd5392e4d2a74cf0
com.liferay	com.liferay.headless.admin.site.api	2.0.0		3700110ed6dd2b12d149cc2ec53aff94f9d04807
com.liferay	com.liferay.headless.admin.site.api	2.1.0		d3ffa3a696bc56ff14045d7106efe9117b3ec91b
com.liferay	com.liferay.headless.admin.site.api	3.0.0		c5ef770d1fc837ff360863b034c4ce2b0b4fc406
com.liferay	com.liferay.headless.admin.site.api	4.0.0		8ba1b0de232df2f8a75d4a44712c0c1f1afe6211
com.liferay	com.liferay.headless.admin.site.api	5.0.0		2f7256d48f86f9a1d1a15cbde6f6f9b8be1d3831
com.liferay	com.liferay.headless.admin.site.api	6.0.0		f778cd95806aac947237b0f9e8c92326740d0421
com.liferay	com.liferay.headless.admin.site.api	7.0.0		a9deb7953906119eae0d2834d57f07e57fd03a3c
