at.released.tempfolder	tempfolder-sync-wasm-js	0.1		N/A
com.github.pureconfig	pureconfig-zio-config_2.13	0.17.1		81d3e501c3511eaa252468dd65c498b11263c1d9
com.github.pureconfig	pureconfig-zio-config_2.13	0.17.2		28b157f1b0ec25aec128759b0c9fbad6ee120115
com.github.pureconfig	pureconfig-zio-config_2.13	0.17.3		028c35a25ade09db6120648ff39e57a68b5b250b
com.github.pureconfig	pureconfig-zio-config_2.13	0.17.4		70f4dedaf038deaa1c28c31bee445b4da5ded92d
com.github.pureconfig	pureconfig-zio-config_2.13	0.17.5		a35975dbe71074a715b1462c5b8f1b263fb5973d
com.github.pureconfig	pureconfig-zio-config_2.13	0.17.6		2dd381c9a61bf59fa36d5cc9501cdc5550f94659
com.github.pureconfig	pureconfig-zio-config_2.13	0.17.7		a21a974ed5d0a0e4325b1000c26f364c2db95821
com.github.pureconfig	pureconfig-zio-config_2.13	0.17.8		71edbfe4e314b1003f48f481a270a856119fb3b2
com.github.pureconfig	pureconfig-zio-config_2.13	0.17.9		81124bd4a2b9dae73b51058e115cdf26efc68969
com.github.weisj	darklaf-theme	2.0.0		26685226ed16f3cf0574dc653204f1671f419b1d
com.github.weisj	darklaf-theme	2.0.1		fcc9564c2c4a73eb21a172526a80cc2b213510a6
com.github.weisj	darklaf-theme	2.0.2		35e1963376ee64ed863cbeb9388abd333110d9cd
com.github.weisj	darklaf-theme	2.0.3		f7654e64ad466bea03f4ea0cbb01097d3b62ad59
com.github.weisj	darklaf-theme	2.1.0		31dd3a747094bfd166d481fc6d15af8b633a8802
com.github.weisj	darklaf-theme	2.1.1		ca14b0f212858efcfbd0e8649f1ac806208af34f
com.github.weisj	darklaf-theme	2.2.0		edd5e2f87e06b426fe646b7245b04c6022796d57
com.github.weisj	darklaf-theme	2.2.1		ff4685ae8bb7eedf41c2604f045dfd1cf5d49371
com.github.weisj	darklaf-theme	2.2.2		72716732bb5b97b0182fbeee88a835417985ce86
com.github.weisj	darklaf-theme	2.2.3		18bfe28c14133a25c60bebd904346e22080792c7
com.github.weisj	darklaf-theme	2.3.0		08491c35a847a0b9c9a6729240d3cfe3626bdb63
com.github.weisj	darklaf-theme	2.4.0		09edb8bbef71a84a0cc57706d6329b9ba77934fb
com.github.weisj	darklaf-theme	2.4.1		f40bea35dba27afd08305cb8410979de712a02f3
com.github.weisj	darklaf-theme	2.4.10		968b44197c7408e81df316793cb7126c440ffa9d
com.github.weisj	darklaf-theme	2.4.2		6214bcbf0a855c9fa669e2917730760d70a73df1
com.github.weisj	darklaf-theme	2.4.3		b9bd841cdcde18f18388404cd5d49160991293d8
com.github.weisj	darklaf-theme	2.4.4		d12eb9e8fb25244ab535ba044afcad95f0b681c8
com.github.weisj	darklaf-theme	2.4.5		e4cdbe4d18482e3531a8ef5fa7064323f6f3bf56
com.github.weisj	darklaf-theme	2.4.6		b04cf98a2041ab387fc46eeffb216cbca4eefe3e
com.github.weisj	darklaf-theme	2.4.7		b2065f20b16909fda75267c82a869a4e96afa517
com.github.weisj	darklaf-theme	2.4.8		13eebe177efe23d0040be7f6bbfcd52027f57334
