br.com.anteros	java-parent	1.2.2		N/A
com.amazonaws	aws-java-sdk-docdb	1.11.1015		ee1c42a2a9a2c84fc45b6a70124729be06c14e39
com.amazonaws	aws-java-sdk-docdb	1.11.1016		7a4bbea635bf3c32def231ce82f6c340a7e8847a
com.amazonaws	aws-java-sdk-docdb	1.11.1017		75b5e6e3b4bcb85f55c69123fed83c7b0ccf298a
com.amazonaws	aws-java-sdk-docdb	1.11.1018		2a2b4b2110bd9162c821b81cced42e209df15809
com.amazonaws	aws-java-sdk-docdb	1.11.1019		d58dd336c03cb68bac5a01d633ad9c22c672a786
com.amazonaws	aws-java-sdk-docdb	1.11.1020		822ce853aa1b5db91c95833ea1ae072aff99bfca
com.amazonaws	aws-java-sdk-docdb	1.11.1021		648a215503b5fbbb091d9d9ba18355f08e7127ec
com.amazonaws	aws-java-sdk-docdb	1.11.1022		b71b62fcabc82c1ea916d557e6a5882a1b24d16b
com.amazonaws	aws-java-sdk-docdb	1.11.1023		c5ea849173b9881fb3c1fd4bfd3c2050661ae395
com.amazonaws	aws-java-sdk-docdb	1.11.1024		41bea3db1f62f03428854e0e13e78a75f5bfd2ec
com.amazonaws	aws-java-sdk-docdb	1.11.1025		c2f0ca090b4a3373bbfe99adb5d9fb6c8cd6e057
com.amazonaws	aws-java-sdk-docdb	1.11.1026		ac69f967a4b86e85eebf75b022ef0f4f2effe677
com.amazonaws	aws-java-sdk-docdb	1.11.1027		4d6223c924b0978435853416e8ede20146d3ba96
com.amazonaws	aws-java-sdk-docdb	1.11.1028		114df2dfbf5bbf229f613b8d788802ebcfbdceeb
com.amazonaws	aws-java-sdk-docdb	1.11.1029		a3f0ec7fa13f85dda202f58f5d7a5b1a90564238
com.amazonaws	aws-java-sdk-docdb	1.11.1030		b43f75097602ee21b8123e09169dd19581aa2c69
com.amazonaws	aws-java-sdk-docdb	1.11.1031		eefccc9a32a3df99ce0ae05aa0c87b671dad6ebd
com.amazonaws	aws-java-sdk-docdb	1.11.1032		df5062bc620aa748664b6d84e27e34c9197f0746
com.amazonaws	aws-java-sdk-docdb	1.11.1033		24101f5e83f759c5410d4314d4ccda7a724d25cb
com.amazonaws	aws-java-sdk-docdb	1.11.1034		ef5fbf068fb931a5fafa8284745b22920ec110d7
com.amazonaws	aws-java-sdk-docdb	1.11.480		3a332e093922c548037f03ac896b443eb65e6e5a
com.amazonaws	aws-java-sdk-docdb	1.11.481		33e87934833143f6af2938adf5d4e326dee24e24
com.amazonaws	aws-java-sdk-docdb	1.11.482		691d865522e50fdf5f12f4cf358c5225deda3b66
com.amazonaws	aws-java-sdk-docdb	1.11.483		68b9f9239d256b5444061e3418370a6cd252e944
com.amazonaws	aws-java-sdk-docdb	1.11.484		7155f99a358178eaaa389b292b1f8d3b0795b7b5
com.amazonaws	aws-java-sdk-docdb	1.11.485		b9e2079d3c0dc805cae27de85804d749e05e546f
com.amazonaws	aws-java-sdk-docdb	1.11.486		d980322308ede724df4f1c68146721dc218d0beb
com.amazonaws	aws-java-sdk-docdb	1.11.487		eff02d881a4952f677b6060b032a424bebf28b1c
com.amazonaws	aws-java-sdk-docdb	1.11.488		c1cb36f0a186af7ef227b4c20b7c633160b6a85c
com.amazonaws	aws-java-sdk-docdb	1.11.489		5f66c449f8f4ee48f0f0769288d2bce1d5b23e42
com.amazonaws	aws-java-sdk-docdb	1.11.490		5ddd3c62005cb0dfb0200f5f72510f19bd30236d
com.amazonaws	aws-java-sdk-docdb	1.11.491		84e2e3f2cbba8311a898ff71b5910ac2106d039e
com.amazonaws	aws-java-sdk-docdb	1.11.492		30fb84f5022ac07f4ce1c659185f75427c34f067
com.amazonaws	aws-java-sdk-docdb	1.11.493		a21cf43d112ff619a6b8c008e18ed39432a0d69d
com.amazonaws	aws-java-sdk-docdb	1.11.494		0571b35cc1eaabd907464d9ef74ac9b2f6e34bb6
com.amazonaws	aws-java-sdk-docdb	1.11.495		f52fc676649fbec0ee13106501219e24e9bd9bfb
com.amazonaws	aws-java-sdk-docdb	1.11.496		7cf9432619ef1d6dfc00565f99ca460fed36cc66
com.amazonaws	aws-java-sdk-docdb	1.11.497		579e55b7a206f9e0c537c17846eccc60e9d308c6
com.amazonaws	aws-java-sdk-docdb	1.11.498		00592a20da583400f894de99217ad15a27325b0b
com.amazonaws	aws-java-sdk-docdb	1.11.499		cd3703eeccc916e6203fe5cdc7d44871dc330ae2
com.amazonaws	aws-java-sdk-docdb	1.11.500		a2a5669d3caef912aa4d549883e82c90d9917272
com.amazonaws	aws-java-sdk-docdb	1.11.501		d329b148c3ca9622f186c2032b42a516f5d67d17
com.amazonaws	aws-java-sdk-docdb	1.11.502		8a1cdbb7d1a28f710fd6abfe4006feaf335ea24c
com.amazonaws	aws-java-sdk-docdb	1.11.503		567f7c511eef66ac7803e59bbc7429226aac9c2b
com.amazonaws	aws-java-sdk-docdb	1.11.504		5c8a7ec62b637bb1c742721763c4f7d0057c1b78
com.amazonaws	aws-java-sdk-docdb	1.11.505		e72f3ff3e1804de7fc064bb6b8fae3867c730e47
com.amazonaws	aws-java-sdk-docdb	1.11.506		f389787cf9705aad7702f5790d89a2bf23278184
com.amazonaws	aws-java-sdk-docdb	1.11.507		26b90064c4132164b5f9b81537d09db0fa50a1ce
com.amazonaws	aws-java-sdk-docdb	1.11.508		e9cc1b0c403145c1c0bfb5476bf79e1d04a114e5
com.amazonaws	aws-java-sdk-docdb	1.11.509		7988943c178a9c4ca980b088b9b3b06a727d5912
com.amazonaws	aws-java-sdk-docdb	1.11.510		a94276d44541d162ed471688e5e7aaadf4f60201
com.amazonaws	aws-java-sdk-docdb	1.11.511		9c3feac07560e7fad3348838d25f8e652d153825
com.amazonaws	aws-java-sdk-docdb	1.11.512		50d3323d574f7132bb7c6c8dcd8ee7fb3dbf7572
com.amazonaws	aws-java-sdk-docdb	1.11.513		a938cd7f5c69cc87637881591ebc688c55cd0bb2
com.amazonaws	aws-java-sdk-docdb	1.11.514		80b46ef4d95d1bbb09758eb9d253123b672bb581
com.amazonaws	aws-java-sdk-docdb	1.11.515		3d602eb01bab71982a14f472e8a2c7b6f312301e
com.amazonaws	aws-java-sdk-docdb	1.11.516		157d7cd7fb7e711d8de78f60bbac7314ae362d47
com.amazonaws	aws-java-sdk-docdb	1.11.517		6a0dfb87e3f60b80056746ece68e732eb12b8ddb
com.amazonaws	aws-java-sdk-docdb	1.11.518		b97938f8423196d35cee1d418ffa080180280f46
com.amazonaws	aws-java-sdk-docdb	1.11.519		a3c55691c1c480bf5c19cd9a9cf056bce4340bf7
com.amazonaws	aws-java-sdk-docdb	1.11.520		7fb9e830a2f76c167c5b855314fe65c38ecccbc2
com.amazonaws	aws-java-sdk-docdb	1.11.521		0184291844ddb91bddc716955748844266fd885c
com.amazonaws	aws-java-sdk-docdb	1.11.522		ccc18f38d0f8ca8f80b4999b0650372ad5e8db9c
com.amazonaws	aws-java-sdk-docdb	1.11.523		406423d950554341c18df20eb1480d45064fbbc9
com.amazonaws	aws-java-sdk-docdb	1.11.524		63f860891feb8e5bd0facbbef80617c757a28984
com.amazonaws	aws-java-sdk-docdb	1.11.525		29bdd9e043eab4ab64a0a04fa9de220ea8d990b1
com.amazonaws	aws-java-sdk-docdb	1.11.526		101cf043dae3a6e44a2901c8e4c759bfb11ff2e1
com.amazonaws	aws-java-sdk-docdb	1.11.527		64297f84c89932dfbb0acbc239c410e3cf68b3e5
com.amazonaws	aws-java-sdk-docdb	1.11.528		d32627b60199618ee078727e602f643b45f3aa48
com.amazonaws	aws-java-sdk-docdb	1.11.529		77f036b879a7720baabfda3068871c7d77b56152
com.amazonaws	aws-java-sdk-docdb	1.11.530		aaa7da074597c5df4263eac27299fa271f648758
com.amazonaws	aws-java-sdk-docdb	1.11.531		d6ad3cb22853bcca76b1872c72ec15281705a799
com.amazonaws	aws-java-sdk-docdb	1.11.532		639bf918b21a5e236c91438f8029c06b44d9a92d
com.amazonaws	aws-java-sdk-docdb	1.11.533		ae492c36a217e82c4b7996c85379b7a3c4d2b16c
com.amazonaws	aws-java-sdk-docdb	1.11.534		eb6236e8bbfe6f5e6a36e41ac6c6f485438ac055
com.amazonaws	aws-java-sdk-docdb	1.11.535		1824820bd879e0bb1bb6336083d0ec9c3bf254d0
com.amazonaws	aws-java-sdk-docdb	1.11.536		edd67dcaf06ba1c4ba63332445dd41cba3ebd1b9
com.amazonaws	aws-java-sdk-docdb	1.11.537		cd21e20944d3937dcb9dfee48ef98c4620698026
com.amazonaws	aws-java-sdk-docdb	1.11.538		67c522e015bcf1aa3f3caa2e00fdb4dd06f172bb
com.amazonaws	aws-java-sdk-docdb	1.11.539		2bd4b11e99d6e993f699d5ef61e48d4d1a722a48
com.amazonaws	aws-java-sdk-docdb	1.11.540		946683afef77ea01cf4c17236425467b79e95c8d
com.amazonaws	aws-java-sdk-docdb	1.11.541		4ac3574662ec08d8701adf0ae589f6730678d87d
com.amazonaws	aws-java-sdk-docdb	1.11.542		b9b045febda762d915aef4dd1e0cfbb9a3f54af9
com.amazonaws	aws-java-sdk-docdb	1.11.543		013e3b9533f83a968b680cffcda4dd8a72619596
com.amazonaws	aws-java-sdk-docdb	1.11.544		367637cbff2448f23b205c7efb3bbda0e21db8eb
com.amazonaws	aws-java-sdk-docdb	1.11.545		1cbf227d431eb004df4edcef197a0e1c6d140211
com.amazonaws	aws-java-sdk-docdb	1.11.546		70965be958d93c9b04831e6dc9b4c4e41e8fb74c
com.amazonaws	aws-java-sdk-docdb	1.11.547		abb4738770a9e104f5ccbaac74d500288cd4cf74
com.amazonaws	aws-java-sdk-docdb	1.11.548		fe165394ff9effd8bbe01a61757d8d1b8bc017f0
com.amazonaws	aws-java-sdk-docdb	1.11.549		7b0d9b6b7b886317f5acc29133b1603b88335638
com.amazonaws	aws-java-sdk-docdb	1.11.550		d94b6b7056650652fa65259a9d73db8500257b71
com.amazonaws	aws-java-sdk-docdb	1.11.551		8bb585d148104c133b3fad0151332a62042a790c
com.amazonaws	aws-java-sdk-docdb	1.11.552		bec3da4c101a6ba6a331b618a00f9e61509b4d80
com.amazonaws	aws-java-sdk-docdb	1.11.553		95fcac516573a020fd461698f84b8f4b2415ca66
com.amazonaws	aws-java-sdk-docdb	1.11.554		7e0f586147ee83cd84d17644bc4b7946687e485c
com.amazonaws	aws-java-sdk-docdb	1.11.555		1ab6b155e019b966068338da78c8a294f663f3e0
com.amazonaws	aws-java-sdk-docdb	1.11.556		7d17c6bca3a2c5f3c0d2e428e486c4bb79db9b56
com.amazonaws	aws-java-sdk-docdb	1.11.557		f175ddca2087580237dc72a197990db3004272ca
com.amazonaws	aws-java-sdk-docdb	1.11.558		0da45380acbd2c96b96f79f172bd12bc26f73315
com.amazonaws	aws-java-sdk-docdb	1.11.559		92d31ef71ea893baabcb2555eadff6f1e21e30f2
com.amazonaws	aws-java-sdk-docdb	1.11.560		5a5f3fdac1872e1aaee6415168b99d5a2c72299b
com.amazonaws	aws-java-sdk-docdb	1.11.561		f196ef4e2dbcddd7590d305b9db069d4953d8d4d
com.amazonaws	aws-java-sdk-docdb	1.11.562		082a9773ce55e904ba3062a40b325e42039d2d15
com.amazonaws	aws-java-sdk-docdb	1.11.563		fad925c195acc8eaefa91f49b8ac6d16237e0537
com.amazonaws	aws-java-sdk-docdb	1.11.564		3682502d34c39f5cc0e2f87e944fa25789f0bfc8
com.amazonaws	aws-java-sdk-docdb	1.11.565		fea2aa3095569cf8e5452ff8d16201859aa3b115
com.amazonaws	aws-java-sdk-docdb	1.11.566		adb22f0f80aabfb1485bce06087685312b32efa2
com.amazonaws	aws-java-sdk-docdb	1.11.567		cea7ea3d845a2622b81d483025dc19c0117ca98b
com.amazonaws	aws-java-sdk-docdb	1.11.568		cbede80c401660256033365e27c1a5aaa96e3a2d
com.amazonaws	aws-java-sdk-docdb	1.11.569		293773ca38af1e6859426747846b9908ecfbe715
com.amazonaws	aws-java-sdk-docdb	1.11.570		acd02a673485e441993af54fe7460b3028eb23fe
com.amazonaws	aws-java-sdk-docdb	1.11.571		4f132b09e9187c1c955a37b3c063e9ca6b17ee14
com.amazonaws	aws-java-sdk-docdb	1.11.572		e49890594fc9fa146431ffc5c91fad6d3c19f450
com.amazonaws	aws-java-sdk-docdb	1.11.573		5f7039b5fef516400250615e96842f2998ced818
com.amazonaws	aws-java-sdk-docdb	1.11.574		e49db87d9bd18692e1d407d1e0f21e43fee895a1
com.amazonaws	aws-java-sdk-docdb	1.11.575		7fd43a2de065d3d4cec01bc4f9ec04ba2af0cf16
com.amazonaws	aws-java-sdk-docdb	1.11.576		e6442e343aaa88da23431afece3fea59810bcbe2
com.amazonaws	aws-java-sdk-docdb	1.11.577		461dfedd8c132340b0e743df3d2ce35e1c6b22da
com.amazonaws	aws-java-sdk-docdb	1.11.578		7725f34803799a88eece8aeecafe8909a84bd6ac
com.amazonaws	aws-java-sdk-docdb	1.11.579		6f71d63be97319b7e3de46bce2b2a1f323334308
com.amazonaws	aws-java-sdk-docdb	1.11.580		a049d4ebe6d18874746d98635820cea5ecbe59ad
com.amazonaws	aws-java-sdk-docdb	1.11.581		1373484ce9d3d59964dde8b326b5dc19865a7057
com.amazonaws	aws-java-sdk-docdb	1.11.582		439713a3ff0043cd7ba4665c9f1b47efaaa21e1c
com.amazonaws	aws-java-sdk-docdb	1.11.583		ebae3a7ecc31e528570f04aff9c289fe503908a8
com.amazonaws	aws-java-sdk-docdb	1.11.584		e479e20388410eb4992a380e4c1054b2e91fbd28
com.amazonaws	aws-java-sdk-docdb	1.11.585		5ab46d40d5f0e294b1d0457d2236abb7daaff613
com.amazonaws	aws-java-sdk-docdb	1.11.586		63f6808d7bc119f926c45a17bd1ed54e903f41cc
com.amazonaws	aws-java-sdk-docdb	1.11.587		27579d1f37f93bed2cb3d8a63bd04a4c20eb1de3
com.amazonaws	aws-java-sdk-docdb	1.11.588		5e49daff110fab8a010e2d3d5c058f08aadf26cf
com.amazonaws	aws-java-sdk-docdb	1.11.589		53a79a0e39c2bb304992329dd046d4fa241926fa
com.amazonaws	aws-java-sdk-docdb	1.11.590		f38b3268dc98cd43638af1cae2bb2e181c74bce9
com.amazonaws	aws-java-sdk-docdb	1.11.591		350c1431286fbc6e887e5929bd071de45f029346
com.amazonaws	aws-java-sdk-docdb	1.11.592		0f54750d8118af07c60218bfd64accb8878942c2
com.amazonaws	aws-java-sdk-docdb	1.11.593		f6c8709868925fcc34b05c51e5d63d3117039214
com.amazonaws	aws-java-sdk-docdb	1.11.594		3ee43a71eaf8d36d5ff00e8a7ce93588ab7cb6db
com.amazonaws	aws-java-sdk-docdb	1.11.595		9b26b893d55ad2276db3db0723e4ed76fe2615a9
com.amazonaws	aws-java-sdk-docdb	1.11.596		2055fe952ee21fb5250261b6e6651fae71ee6655
com.amazonaws	aws-java-sdk-docdb	1.11.597		78f429357f47e0c0333c186fca2050c2bce93de2
com.amazonaws	aws-java-sdk-docdb	1.11.598		8589f7b540ad311ba0be07d0b499d4795111122f
com.amazonaws	aws-java-sdk-docdb	1.11.599		ba5587dfd0d6c03a4da0e08a33145758df5f6dc0
com.amazonaws	aws-java-sdk-docdb	1.11.600		45ae23f11c566cc27e3e0372cf997840998369c3
com.amazonaws	aws-java-sdk-docdb	1.11.601		d261d572b0b3f52e38eecaf724135a284ecd30b3
com.amazonaws	aws-java-sdk-docdb	1.11.602		1b5e1c9440762b5831832d8e7817ae8c6a2e4a0f
com.amazonaws	aws-java-sdk-docdb	1.11.603		b083c8e48240710573846d274552084d035ca2c6
com.amazonaws	aws-java-sdk-docdb	1.11.604		0d723c5f9d9819833e4376dbc7b7f8b473dadc14
com.amazonaws	aws-java-sdk-docdb	1.11.605		1cb532cc6890e2160c796f0320bba0d32c97301f
com.amazonaws	aws-java-sdk-docdb	1.11.606		014f7c67a163e076fbfdba25769386105d281c8e
com.amazonaws	aws-java-sdk-docdb	1.11.607		9c491d9d320857333a8e3543de102811400759e1
com.amazonaws	aws-java-sdk-docdb	1.11.608		b40175391ae65e576dcf1ab4c9c2ea3dda1b7b83
com.amazonaws	aws-java-sdk-docdb	1.11.609		4c286108c3a88bc1f731e30d9f9816b8902e7099
com.amazonaws	aws-java-sdk-docdb	1.11.610		4054679088ecd4945057c45053d7621276500f2f
com.amazonaws	aws-java-sdk-docdb	1.11.611		4ffdee2e295cd588dd508222a429dc28e89e17da
com.amazonaws	aws-java-sdk-docdb	1.11.612		25b67293cd687c460d4b54e37d5a7c8736ae8a16
com.amazonaws	aws-java-sdk-docdb	1.11.613		08331feaefbffd9b6f34587171e95a404450f0e0
com.amazonaws	aws-java-sdk-docdb	1.11.614		9574c7bcfa4b6da61e63a6d33d4eaedb404084b5
com.amazonaws	aws-java-sdk-docdb	1.11.615		e4fee6e1d3cb8babe8704c625bc5c89eccdfb0b2
com.amazonaws	aws-java-sdk-docdb	1.11.616		4c0b9cf315522782e95f12ee813825037078ffb6
com.amazonaws	aws-java-sdk-docdb	1.11.617		de9bcab50f4f94806ade35c26495cfcefb350d22
com.amazonaws	aws-java-sdk-docdb	1.11.618		d234a067941b42b0b33e03360acbb6545cdb28fa
com.amazonaws	aws-java-sdk-docdb	1.11.619		f97c8047b00e36909cd14542d2d504287aa41b62
com.amazonaws	aws-java-sdk-docdb	1.11.620		04bfa41b90b5fc07ca6b86e6725aa10d2aaec4a2
com.amazonaws	aws-java-sdk-docdb	1.11.621		9f3dd5ce83edad17952e81e49097aa2f5945c162
com.amazonaws	aws-java-sdk-docdb	1.11.622		5a1e3fdce240aaf5dd035722dc6eb8019a822a83
com.amazonaws	aws-java-sdk-docdb	1.11.623		543b6916d22cd09a0998d8e43aa1cdea4b561f33
com.amazonaws	aws-java-sdk-docdb	1.11.624		5c119b9f43bcabb925bd44a6671aeeb546de876c
com.amazonaws	aws-java-sdk-docdb	1.11.625		284d84eca310a3741a28cda879502e21a1b16aa9
com.amazonaws	aws-java-sdk-docdb	1.11.626		cc574722832bc0ec0768af8fbbc6aa190b264436
com.amazonaws	aws-java-sdk-docdb	1.11.627		0d478cb9b3f4d1536c4e0ba66dd5380279302643
com.amazonaws	aws-java-sdk-docdb	1.11.628		7da9f043f05cdc32b63eed80627e32fecc62f637
com.amazonaws	aws-java-sdk-docdb	1.11.629		686ff9efe6d424b84b64a61764b1a634a7ef08e3
com.amazonaws	aws-java-sdk-docdb	1.11.630		041e9cc38c42b494e7b8d3c73212caf369c971ea
com.amazonaws	aws-java-sdk-docdb	1.11.631		d36586e6ee5270a155c3847011f134e50fc23186
com.amazonaws	aws-java-sdk-docdb	1.11.632		d9dcc8d74add346edf31d810de1882e6edf94b0a
com.amazonaws	aws-java-sdk-docdb	1.11.633		d56d856c26719121dc31c1df5f58f38246ad8861
com.amazonaws	aws-java-sdk-docdb	1.11.634		4a04183b0d0596e78c45ba6d4be44d9ac4493997
com.amazonaws	aws-java-sdk-docdb	1.11.635		d96d82742da3c6b2b3cca55c5b5701ee7579e8b5
com.amazonaws	aws-java-sdk-docdb	1.11.636		625ed3686300866f94564283c89b9470257c7b1f
com.amazonaws	aws-java-sdk-docdb	1.11.637		e023bf8c412d18cef73e0040a5eb3470a541d668
com.amazonaws	aws-java-sdk-docdb	1.11.638		d7b2f435a595a4f59a7021c69ff5d616e130c899
com.amazonaws	aws-java-sdk-docdb	1.11.639		0345d050d2eecb2587c6d18d4d541b0b59fa9f61
com.amazonaws	aws-java-sdk-docdb	1.11.640		4af792f7e740a34e57e3473df314a7caaf79d497
com.amazonaws	aws-java-sdk-docdb	1.11.641		7673ea00af8082bb566ec67bdc52f9048cf2b4f4
com.amazonaws	aws-java-sdk-docdb	1.11.642		c900537afcf5f8f938f2a9716894b6cd7e75d788
com.amazonaws	aws-java-sdk-docdb	1.11.643		31d9086d2e96c354fdd9453a9a60718287652af5
com.amazonaws	aws-java-sdk-docdb	1.11.644		718bc1fd79d07ae4a67f6f16ae95509dcad50f90
com.amazonaws	aws-java-sdk-docdb	1.11.645		0ce1e2d8aeaef194851b4fc389c637bf58a9acb4
com.amazonaws	aws-java-sdk-docdb	1.11.646		5aaf33f40fcfa13b75a93158e7d09d94405729bc
com.amazonaws	aws-java-sdk-docdb	1.11.647		2e4fdda4a460ccdee7461916dd6b3de45e8901fb
com.amazonaws	aws-java-sdk-docdb	1.11.648		4724d2d1c8fac2d3b501073d786ff70539e74b16
com.amazonaws	aws-java-sdk-docdb	1.11.649		bf9093177b317e8c9e80dadbf480e3e65789774a
com.amazonaws	aws-java-sdk-docdb	1.11.650		5a04b908f244af7323abef77a97377d016c4760c
com.amazonaws	aws-java-sdk-docdb	1.11.651		893c427ba5816118492ed306d4acb21683c07246
com.amazonaws	aws-java-sdk-docdb	1.11.652		8c05f443bbdf1af0ff0edc82503939df6510f693
