axis2	soapmonitor	1.0		N/A
com.alipay.sofa.koupleless	arklet-core	2.1.2		7594840e91ab48b8f64b5aa4469359868d3b3359
com.alipay.sofa.koupleless	arklet-core	2.1.3		efa9c5e9fdcc8efa5bb93c431f2eec238015fa07
com.alipay.sofa.koupleless	arklet-core	2.1.4		7e8ec8ad0d5dda187694944623b14939b709aa95
com.alipay.sofa.koupleless	arklet-core	2.1.5		ac5838f10ce0504ea7ef7a11ad6a910db8b827aa
com.alipay.sofa.koupleless	arklet-core	2.1.6		678dde5aef67c2596f5326130d0dfae3f169e1a0
com.alipay.sofa.koupleless	arklet-core	2.1.7		7af9f4f2d5164f0626fb708dc99e5d6d12c98dc0
com.alipay.sofa.koupleless	arklet-core	2.1.8		49a1ea8131098b723e9132f7ba6246d7662dbeee
com.alipay.sofa.koupleless	arklet-core	2.1.8.rpa		c9cf4fea81707060474d052d56f11483ec7b2c6d
com.alipay.sofa.koupleless	arklet-core	2.1.9		bea2530bf707e5979e77056ba9da456a077b163b
com.aliyun	alibabacloud-captcha20230305	1.0.0		672b623c86a652fcbdd8fa13d5b0ab1158d9a1a9
com.aliyun	alibabacloud-captcha20230305	1.0.1		ba8f86eb2ef171bc05783ff73ff96a06992f0d85
com.asbestosstar	AssistMerger	1.0		0c5b3ad763954eae7f2c352125fa11f207c81710
com.azavea.geotrellis	geotrellis-stac_2.13	4.6.0		376a51741062c65f135441d5bb55b0641c7124db
com.bilal-fazlani	zio-ulid_sjs1_3	1.3.0		b6f3c3491a6f39715db258149cf420eeca90d88f
com.bilal-fazlani	zio-ulid_sjs1_3	1.3.1		fbe7e13f639b8689d3411d23b5683d1b99143309
com.clean-arch-enablers	cae-mapped-exceptions	1.0.0		615f03499be41768ab946bb3089c360233f5bd5d
com.exadatum.xsuit.xmaven	pig-maven-plugin	1.0.2		5a1438f7c0affd0e5d4932dc1d32089211c531d9
com.gitee.chinasoft_ohos	PinEntryEditText	1.0.0		N/A
com.github.kedzie.supportanimator	support-v4-animator	13.0.0		N/A
com.github.kedzie.supportanimator	support-v4-animator	19.0.0		N/A
com.github.kedzie.supportanimator	support-v4-animator	19.0.1		N/A
com.github.sarxos	lti-civil-no-swt	20070920-1721		ee2c110883555c1be3381e337e5a2379076a8df1
com.github.seaframework	sea-monitor-boot-starter-demo	1.0.0		2530cea0940a6bdab2f1b2319a0727eb5aa68ff3
com.github.seaframework	sea-monitor-boot-starter-demo	1.1.0		5062cbc45e6fb3b5b1c3883ce7ff5266f00c063e
com.github.seaframework	sea-monitor-boot-starter-demo	1.2.0		9ec7272b2e677393913b7fdcb0e7337cf8186763
com.github.seaframework	sea-monitor-boot-starter-demo	1.3.1		3921ee9262fd4ec3654f4cb9ce2726be39b1a0df
com.github.stephenc.connectors	redmine-java-api	1.11.0		f4e3493aa76be7ba764e1e313cfc6cec7f80681e
com.github.stephenc.connectors	redmine-java-api	1.14.0		614b661c153f6777179dfaebc2afd4bce49af809
com.github.stephenc.connectors	redmine-java-api	1.15.0		2f46696ac684b600692be9477897cf5acfe2d237
com.github.stephenc.connectors	redmine-java-api	1.9.0		4232a1b2796c1df3bfad32ae85eca9dc48c7dd2f
com.github.troxid	vrepapiscala_2.11	0.2		0cb087938da6da5666712e645ce9b8b4214c7189
com.github.troxid	vrepapiscala_2.11	0.2.1		8a7c6ce6e004431bb357abbe56edc9dd9fb36253
com.github.troxid	vrepapiscala_2.11	0.3.6		41298b309340502f68ea33642874cdef44e6b1f0
com.google.api	api-common	0.0.1		a418a970b677818a6830542194e4a6fe3230e2fb
com.google.api	api-common	0.0.2		41e3cb921d7b342783658a2f06f73dd6d3d5a520
com.google.api	api-common	0.1.0		8ff4ac465cdb129291b73e9386dc97d07c55dfef
com.google.api	api-common	0.2.0		d59fcf64bb87f4c9098df2fa8a4fd4741df67811
com.google.api	api-common	1.0.0		c850c6ad8fc6cd0b8cc25c75bfe9dd7b37ac2707
com.google.api	api-common	1.0.0-rc1		2e5ff0421f3988e0c628d7512b34723f48d82b65
com.google.api	api-common	1.0.0-rc2		1797a2c2cfed6c072baf3ff7bd623c5e6271f1e6
com.google.api	api-common	1.1.0		14733901500ad0744cebf7adf73045a466ce1a11
com.google.api	api-common	1.10.0		9b07f44e0b3f2c90f4a068785dcee42c6ca9dc0a
com.google.api	api-common	1.10.1		d157681b5909cf959a9fa60ced9bed9da741ffef
com.google.api	api-common	1.10.1-sp.1		9cdf4002b0afea9eff218afcb7aabf4ce545e07b
com.google.api	api-common	1.10.3		335c23ca1023dc03893cac48bd069614434b1805
com.google.api	api-common	1.10.4		650904f378415673cfc581fe5720ea9026dfd62d
com.google.api	api-common	1.10.6		ab8f2f5d00703890b66817c7c044c5fd49c9e29d
com.google.api	api-common	1.2.0		ac251a3623e19c4eb0a7dbb503ca32a0515f9713
com.google.api	api-common	1.3.0		5262bea1ac635b089b7bca4154fd5e4db53801a3
com.google.api	api-common	1.4.0		86c3c71f6fb57c5d72f443113d4dd8ee343d6d29
com.google.api	api-common	1.5.0		7e537338d40a57ad469239acb6d828fa544fb52b
com.google.api	api-common	1.6.0		fea8ce6b7d8629f1646641e07a3ab712b56b901e
com.google.api	api-common	1.7.0		ea59fb8b2450999345035dec8a6f472543391766
com.google.api	api-common	1.8.0		6edf629662432a72b98ba7dca5f4d903ae5b86fe
com.google.api	api-common	1.8.1		e89befb19b08ad84b262b2f226ab79aefcaa9d7f
com.google.api	api-common	1.9.0		b725b503e66f9c1f6ae41bdaa2f96c71f5aef6aa
com.google.api	api-common	1.9.1		a67dda71e668e8146dbecc3ecae035ad22c2927a
com.google.api	api-common	1.9.2		0e951d9f4f64df2bec077c7ae632a2037c7159b5
com.google.api	api-common	1.9.3		2c962139edb24b4877d90648fad8d8d72ca944ad
com.google.api	api-common	2.0.0		d6b0bfd36cfba1b8c742982bbd6dc47189164acc
com.google.api	api-common	2.0.1		12f35f49a91ebaa8aef10a6a810780f04c5679f5
com.google.api	api-common	2.0.2		d640515a0216e2143ad08fa7dece2653db4cc030
com.google.api	api-common	2.0.4		8d4ee5dde8ffd433bf171cafa88b5b6c66957cbe
com.google.api	api-common	2.0.5		64d530d5595a3c1d755955583aa82fb6d33fce20
com.google.api	api-common	2.1.0		035407df3033855b0d2a777b356942ac22e28851
com.google.api	api-common	2.1.1		2eef95ab13b5bf7915408df2e3bc4c73736cd42c
com.google.api	api-common	2.1.2		eff20f72b42843d48d01c19099d4a22e8da773fa
com.google.api	api-common	2.1.3		dd99b85655281139640b3479311856fc0c386a55
com.google.api	api-common	2.1.4		bb38de03d7df61167f5c37338d9cf384502592d2
com.google.api	api-common	2.1.5		856fe2e1cafce0314ba0916affb5744d5b6e7425
com.google.api	api-common	2.10.0		4c8c35a4ec37706bdb005a4aa468aa93de79a2fa
com.google.api	api-common	2.11.0		aca8a34fc276b197ea09761ccbda25e67af47ddf
com.google.api	api-common	2.11.1		6eeccbe67f09b0dc8d40e303b8be59584738f37d
com.google.api	api-common	2.12.0		6022f93e9ab205e5804b8e1f6208cf7cce140a87
com.google.api	api-common	2.13.0		38b98535d01d4713c363301de82ac17a4cc546f8
com.google.api	api-common	2.14.0		dd29c91531af580ce64ee7e6a73361ac40b4c1df
com.google.api	api-common	2.14.1		49de12d1288748b132932d60c8a5d38ec89ed8c9
com.google.api	api-common	2.15.0		a27ac24b2ced072969ece7da753d8d9826b0a346
com.google.api	api-common	2.16.0		95ff9321582d6e85b1630ce8ab89abc37d39eecd
com.google.api	api-common	2.17.0		d205bce9ca4e46da1fe80090956e1326d0beade7
com.google.api	api-common	2.17.1		5244a58b705ae00dd223df1613be676b704fa673
com.google.api	api-common	2.18.0		130214a3ee3629345a007381cad5e98968138166
com.google.api	api-common	2.19.0		2a13fd63b848a9652824a0e63a9c56890db78d42
com.google.api	api-common	2.2.0		ef0d2b84d48ae52db42f5cc2207b23e984c40b2c
com.google.api	api-common	2.2.1		9eb62c522f96befccfbd8c92bafc952eed4417a8
com.google.api	api-common	2.2.2		10e72653c48ade84837eae0334dbd363d2acd1b9
com.google.api	api-common	2.20.0		ca773f9985c9f4104d76028629026c69c641923c
com.google.api	api-common	2.21.0		d3129c250647ed34be2f7a491f8a6a19ee21dd63
com.google.api	api-common	2.22.0		aa361ba6bb854952c2e5f398c659704a2c5702bd
com.google.api	api-common	2.23.0		83ac994ff4ec69d77c0e5f8967f4b801c9a7c065
com.google.api	api-common	2.24.0		c8322960916a528ba7947cb8973feb072a8cb802
com.google.api	api-common	2.25.0		936ca18d22d9578050922b397ec6b5f95a7bc368
com.google.api	api-common	2.26.0		faa30346f961188c1f3b48aadcd61140b81b93f9
com.google.api	api-common	2.28.0		eec53ae90269554d0c435e553b7cf30c5e536a5f
com.google.api	api-common	2.29.0		84217e513c9dfa5b18a64227b2da0c24f6d6dfa5
com.google.api	api-common	2.29.1		d33f23888132e9824288f40035ce308ba11edb99
com.google.api	api-common	2.3.1		8952987b4d791f06cc5dab99a832b2ed270aae78
com.google.api	api-common	2.30.0		c0621415b79825a4745d57b9f0610be202ef4255
com.google.api	api-common	2.31.0		a559a225c748f2b1f488d0bacb8f28c5d6791295
com.google.api	api-common	2.31.1		34d0afb534049f6a0d980db7650530bfc672fa34
com.google.api	api-common	2.32.0		350ae37dd5f0418bfa7388fc88de9e6aec9668a7
com.google.api	api-common	2.33.0		346c93a59fd450ae2239de57b40cd13c4086854e
com.google.api	api-common	2.34.0		b7b81be382525ed4327cbb1224461754d11606de
com.google.api	api-common	2.35.0		f49aebbe9e5217a0e884353c85733c3a0f65cd05
com.google.api	api-common	2.36.0		1da1fbd51b7d2e3e1c84b05aab23bef4fbafce79
com.google.api	api-common	2.37.0		1da2824bfe5428f4dbf9d0d819ab63f3aaf3dd2a
com.google.api	api-common	2.37.1		acec45abb74844f4fc06f9e53668e565235773de
com.google.api	api-common	2.38.0		6d0bf6cd35a9f9caa196a0d5844c24288f1d53bb
com.google.api	api-common	2.39.0		f236539e053f2c72bb24eab9b6d868e82e55ef7b
com.google.api	api-common	2.4.0		1e49904e7a7f8d7c28ab03a057993af5b668279c
com.google.api	api-common	2.40.0		5e4274c3e865795de36ad117d1b461abbe565e03
com.google.api	api-common	2.41.0		9ab62394ad6b974ab91522efdf4f418a3aa06687
com.google.api	api-common	2.42.0		a9744c414125b7c0cbd38506e1bf71b33c474b98
com.google.api	api-common	2.42.1		4cc88716081f71f1e67ed9bc44b39139d9c912f9
com.google.api	api-common	2.43.0		963d97d95e9bf7275cc26f0b6b72e2aa5b92c6fd
com.google.api	api-common	2.44.0		a409196ffbc31b53269b8ac45223fc6d7613df08
com.google.api	api-common	2.45.0		de482ba30f33a918c5782e24de38438aaba4fda1
com.google.api	api-common	2.46.0		01140f0cb64b596aa4e3836c8c6452747cd90b45
com.google.api	api-common	2.46.1		b38a684c734963a72c204aa208dd31018d79bf3a
com.google.api	api-common	2.47.0		9fd4583bad4898fea8603a83febee4e525df82f9
com.google.api	api-common	2.47.1		44a126e5e9f6b7ee088f6c216d7631f74b2f8d35
com.google.api	api-common	2.47.2		7248fc6ad6f21235b190e953363c7627254fb5f3
com.google.api	api-common	2.47.3		89433f3e6b732d67e1d0534e5149abaef73d25d8
com.google.api	api-common	2.5.0		7382447882082612ca7099ff353ae6cc25158ec0
com.google.api	api-common	2.6.0		5e89d21ff03f9c2ea896c1551c582b8955e54bdf
com.google.api	api-common	2.6.1		bd1a861ef1e57335ebddc633e7880ad4406d93e8
com.google.api	api-common	2.6.2		8c0b9ac62eb6740796c429a5e1fe642080f9fdc1
com.google.api	api-common	2.6.3		b47c8a2c25005b94c4c43884e0a78bf965de17d8
com.google.api	api-common	2.7.0		207192eed1183e25a9731067874968cd45872de4
com.google.api	api-common	2.8.0		0048a1eb228d6f7b47b372804cf1e169d359611e
com.google.api	api-common	2.9.0		549017ecec77083249e62dd73e9f69be90c604bd
com.google.api.grpc	grpc-pubsub-v1	0.0.0		660a2ba24357a899df114e2613eca61c823a21dd
com.google.api.grpc	grpc-pubsub-v1	0.0.1		93efd8b680815d9302a09921b4d42feffc2d0003
com.google.api.grpc	grpc-pubsub-v1	0.0.2		54660367d734faecc548d9ae73fe274c72607441
com.hoioy	diamond-security	0.0.1		d57073596e56c4300257c45a750969cef3dab808
com.inkapplications.shade	scenes	2.1.0		6a7555fce954d152abb68688faa9471f7173d0b3
com.inkapplications.shade	scenes	2.2.0		888c57b63561ad97d72a14b6e94270dcbe71d245
com.inkapplications.shade	scenes	2.2.1		409ff67ea0b33760d77c2f9451f0a929919a9110
com.inteligr8.wildfly	wildfly-module-plugin	1.0.1		c59534adaf841582b3dd4b052e9cdfbfa7422198
com.inteligr8.wildfly	wildfly-module-plugin	2.0.0		c4f36fe5f84d8e32f5754da4511032c15620ac30
com.inteligr8.wildfly	wildfly-module-plugin	2.0.1		b72e54830fbe555a09b00535ca53cc1add49f288
com.inteligr8.wildfly	wildfly-module-plugin	2.0.2		22743493b1266b5590839105d168944861000324
com.inteligr8.wildfly	wildfly-module-plugin	2.0.3		77df197fd8429fb4ee56d424b886abdb8c0e8921
com.inteligr8.wildfly	wildfly-module-plugin	2.0.4		3729696a6382462aba72beee1f01c1398941380b
com.jd.joyqueue	joyqueue-toolkit	4.1.0		4d6ad94b371da7c53a722137284ccc29e25068c8
com.joom.grip	grip	0.8.0		fb2e274d79b00e2f464f0ea802121c6141c1eac5
com.joom.grip	grip	0.8.1		8e935d594ec930f3b7013a53b1c90db3df59611e
com.joom.grip	grip	0.8.2		61a28ca26bb2550f5122d1b341184e71032e7a77
com.joom.grip	grip	0.8.3		f647cb9c03cc0fd498b6b62f1460988f8dc76d0d
com.joom.grip	grip	0.9.0		be04c083cf05d81f2bdd2bd99d610dc5b05161e6
com.joom.grip	grip	0.9.1		3a53a14a481bdadf7a2dc6823d4c20f25ca0bd32
com.kitakkun.backintime	core-runtime-iosx64	0.0.1-alpha01		N/A
com.kitakkun.backintime	core-runtime-iosx64	0.0.1-alpha01	metadata	226537a8a9ad1d41e22cefcff24968782f3e767e
com.kitakkun.backintime	core-runtime-iosx64	0.0.1-alpha02		N/A
com.kitakkun.backintime	core-runtime-iosx64	0.0.1-alpha02	metadata	a409687763fe5fe859b8fd69d2f0d4488ba883ac
com.kitakkun.backintime	core-runtime-iosx64	0.0.1-alpha03		N/A
com.kitakkun.backintime	core-runtime-iosx64	0.0.1-alpha03	metadata	c6d2268d9986d6e50363b931941e4fdfaa7991b6
com.linkedin.testbutler	test-butler-library	2.2.1		N/A
com.michaelpollmeier	scala-repl-pp-server_3	0.0.21		0143670756691104d4c9221a30a32667248a630d
com.michaelpollmeier	scala-repl-pp-server_3	0.0.22		b0d0b0554b14d036db193aa991bb09014f478549
com.michaelpollmeier	scala-repl-pp-server_3	0.0.23		4534460ff9a2930f96af714144d25ca24436c46a
com.michaelpollmeier	scala-repl-pp-server_3	0.0.24		d37df9935d077236f91c192d0d766d3d149a09e2
com.michaelpollmeier	scala-repl-pp-server_3	0.0.25		33e94275ba2a94a29329b654e881e91332273aea
com.michaelpollmeier	scala-repl-pp-server_3	0.0.26		3db7a5a5395ec11ce0558c158cbb4aea08d6e93b
com.michaelpollmeier	scala-repl-pp-server_3	0.0.27		aa0889e7965c3b3ac0dcbf7d716edc186944d2b1
com.michaelpollmeier	scala-repl-pp-server_3	0.0.28		9db2e38e699ecbdb5550ce413e0e8ce92a8dc393
com.michaelpollmeier	scala-repl-pp-server_3	0.0.29		2d052ebe2b4e4909f03fbdf6a6ac8550cd7f2d14
com.michaelpollmeier	scala-repl-pp-server_3	0.0.30		3ade4f7086a8ee949ebd1678e8ed698610fc1608
com.michaelpollmeier	scala-repl-pp-server_3	0.0.31		4300dca6b7f5cdde5d74504941d8dd8538c49681
com.michaelpollmeier	scala-repl-pp-server_3	0.0.32		557920a40a3cf230009a88dcad1c394dbec77171
com.michaelpollmeier	scala-repl-pp-server_3	0.0.33		8a0c13e4195a1cd9d34dbd49ff44b69159477ff1
com.michaelpollmeier	scala-repl-pp-server_3	0.0.34		5600c9dea526f19940215e09c7248f3c0dd943fe
com.michaelpollmeier	scala-repl-pp-server_3	0.0.35		15468da01a8099396cdfe37f6e94d68c9db77130
com.michaelpollmeier	scala-repl-pp-server_3	0.0.36		d686174d0867ad85e3b3b9c37ac984b00d496500
com.michaelpollmeier	scala-repl-pp-server_3	0.0.37		e5da7eaeffb5b1029cc4d511511d752e8f042229
com.michaelpollmeier	scala-repl-pp-server_3	0.0.38		6f0bdaccb1f2a478b7deb25264fea70eecc95362
com.michaelpollmeier	scala-repl-pp-server_3	0.0.39		c925c8d10417318f09078bb4aa4fe24bdd49cf9b
com.michaelpollmeier	scala-repl-pp-server_3	0.0.40		2d43b91a27e790a520727560bd3da7ca8f2d0e4c
com.michaelpollmeier	scala-repl-pp-server_3	0.0.41		5ebed33c6ab893084e872d82023129d99433ff4d
com.michaelpollmeier	scala-repl-pp-server_3	0.0.42		309396a0caeb14441f38dc822c8d59ee2782090e
com.michaelpollmeier	scala-repl-pp-server_3	0.1.1		9d7addd878c64806323ca35150ed9c5cef462aec
com.michaelpollmeier	scala-repl-pp-server_3	0.1.10		fae0835886d65d0a38048c0ed01314247d4acca0
com.michaelpollmeier	scala-repl-pp-server_3	0.1.100		084e6145bffa0613605e0e3aae140c4c10e74bbe
com.michaelpollmeier	scala-repl-pp-server_3	0.1.101		3e1cba3f1e9a6ff504cad132c9927edc9cc5378d
com.michaelpollmeier	scala-repl-pp-server_3	0.1.11		05fbec2f3e3dba79afc25f973cb02bee7ab1fb6b
com.michaelpollmeier	scala-repl-pp-server_3	0.1.12		2013a1e1c66d8d39d8c34402bfa6d3519d21fa25
com.michaelpollmeier	scala-repl-pp-server_3	0.1.13		0026ec85fcde844b5afe77b837021879bdce4f6e
com.michaelpollmeier	scala-repl-pp-server_3	0.1.14		577d3a9ecea7c7a29289b15a329aa6fb2ff90e1b
com.michaelpollmeier	scala-repl-pp-server_3	0.1.15		f87b4a05acf1eef730e0b320bee41618bf78b028
com.michaelpollmeier	scala-repl-pp-server_3	0.1.16		01c54377980c6b12ff5e41bb6ebe62ed2ee96274
com.michaelpollmeier	scala-repl-pp-server_3	0.1.17		47d0f11542d44a4b7d2f8beefbef31972ea0d8e8
com.michaelpollmeier	scala-repl-pp-server_3	0.1.18		bea404ca7f54318a9df0fd2300f6fa30b13e9c49
com.michaelpollmeier	scala-repl-pp-server_3	0.1.19		96c72a5be111612ad8c3b57ed10bc5e4ac531d5d
com.michaelpollmeier	scala-repl-pp-server_3	0.1.2		53dd5cef9eeaf0410d1b54230c6fcb979429f79e
com.michaelpollmeier	scala-repl-pp-server_3	0.1.20		7943362515553dba0991df2e72fca091cf91edf6
com.michaelpollmeier	scala-repl-pp-server_3	0.1.21		1dc8b6b9bbed9604a6a129c7883f7e0b08e19834
com.michaelpollmeier	scala-repl-pp-server_3	0.1.22		c862c2913b2ca5463e2ae4879d34118b90af6542
com.michaelpollmeier	scala-repl-pp-server_3	0.1.23		20b783b288ddd95ec1e67631eb302c0a2f8da909
com.michaelpollmeier	scala-repl-pp-server_3	0.1.24		7b603a3f21d4c8a9cd27c4c5bafb59c18dde2bfc
com.michaelpollmeier	scala-repl-pp-server_3	0.1.25		c17cfe88855b81252bbd6cf71608f6f6c426eed9
com.michaelpollmeier	scala-repl-pp-server_3	0.1.26		9a522cf9e337682a113fee72194089a4c4241ce8
com.michaelpollmeier	scala-repl-pp-server_3	0.1.27		538fd16eef87ba15f4a14e63d2dc2c1fe971b40c
com.michaelpollmeier	scala-repl-pp-server_3	0.1.28		df652a601034d7647972ff52a9635646e610b5f4
