at.a-sit	grapheme-clusters-js	0.0.1		N/A
com.azure	azure-communication-sms	1.0.0-beta.1		761a366136be022294074a1b0824998176653686
com.azure	azure-communication-sms	1.0.0-beta.2		0a5ab770f4e4ba8e78f7c8ce78b3d31a760aece7
com.azure	azure-communication-sms	1.0.0-beta.3		f943602e1deb3ac908c01a24b4fb30af8c3356ea
com.azure	azure-communication-sms	1.0.0-beta.4		e79c2c0d37ed1d43a74bb6fe3482c762d96e1342
com.azure	azure-communication-sms	1.0.1		5fa4f61a3f15147e208d5303e9c94968047b9206
com.azure	azure-communication-sms	1.0.2		71b0e4e8954a70413b6ae10a26cae05d6ce58efc
com.azure	azure-communication-sms	1.0.3		749e211dce6e2f1ab72f930db56f1077876ae531
com.azure	azure-communication-sms	1.0.4		0b686ad03a6452713276a2eb416013d6648e8699
com.azure	azure-communication-sms	1.0.5		54b446216c98b79a39e75729037d9f77546d98df
com.azure	azure-communication-sms	1.0.6		0f7094e35418a7b66787600166a346e1ca9fb478
com.azure	azure-communication-sms	1.0.7		314971930b1fc2b3e73ed01ea0d9a53d1be2cd98
com.azure	azure-communication-sms	1.0.8		88794656919030bba75660b9e1fee9f214d8d6a2
com.azure	azure-communication-sms	1.1.0		c070d49a158c089d663b72fc7c3e99618bcc650d
com.azure	azure-communication-sms	1.1.1		e721ede2c57fc692d37bbff538c30699c6dbb5f6
com.azure	azure-communication-sms	1.1.10		03763d465a106cbd4461e2f25d555e119f578994
com.azure	azure-communication-sms	1.1.11		bd531522dc91d5cfad0d69db55f152562d64183e
com.azure	azure-communication-sms	1.1.12		2a0c716391bd24fceab23fe2e5be8b98f9876efc
com.azure	azure-communication-sms	1.1.13		ac3a908e2ce229cbdf2d549bf41a4eb141e5a988
com.azure	azure-communication-sms	1.1.14		b021992a836da1007458151463def83e3fa2fe2d
com.azure	azure-communication-sms	1.1.15		9fc21431332f442677bdf545c2f71ddaca6be1eb
com.azure	azure-communication-sms	1.1.16		5bba72ea77b65624ee2901455dd098fbec928e1d
com.azure	azure-communication-sms	1.1.17		704021e487e037135171f18bde0e0785ebf9503c
com.azure	azure-communication-sms	1.1.18		1886c94a72b39678efe7f9730b7efbbdaba01102
com.azure	azure-communication-sms	1.1.19		70d167fcf459aa8ae01d66556eafb078ce0adff0
com.azure	azure-communication-sms	1.1.2		8994f8ec6c65013eda2dd3d72fb9a636c9606895
com.azure	azure-communication-sms	1.1.20		199e6428886cf088665adf5ba36ea64f7a003209
com.azure	azure-communication-sms	1.1.21		5040645c5006aeb90a42af54cbf760ceaf223f22
com.azure	azure-communication-sms	1.1.22		f1e1ef25f9004621630f49959f950950d0d69b25
com.azure	azure-communication-sms	1.1.23		7489550d542c9fe722b27c9c9c288b6813a9c00e
com.azure	azure-communication-sms	1.1.24		f594a565185bd5fdb04c73168e405ecc2abd275b
com.azure	azure-communication-sms	1.1.25		d07bc304508c142c62490c95e7516bc8db982ce3
com.azure	azure-communication-sms	1.1.26		edf7894223e0a0bde2be5cd3f02e72822af00ddb
com.azure	azure-communication-sms	1.1.27		63708f2024062c14514db69592fdeb7f7740794a
com.azure	azure-communication-sms	1.1.28		5fc5fb0cb8854e68dac15f560b3682405b88835e
com.azure	azure-communication-sms	1.1.29		1305b85ac710b5a126e46d53dc244f68960ba524
com.azure	azure-communication-sms	1.1.3		9e020f4b26e5aaf2672948de6a97e3530c220a0d
com.azure	azure-communication-sms	1.1.30		3e48c88886d05196ce1a01470cf3dae72ebd420b
com.azure	azure-communication-sms	1.1.31		65b9dd81132e7ea2cc1f2e17bea3f68e71613463
com.azure	azure-communication-sms	1.1.32		7a1f3178af6c9f6afc11e7618b0783c8c825a9e8
com.azure	azure-communication-sms	1.1.4		317a3128c4b075cb20b836767f5b2152437f8770
com.azure	azure-communication-sms	1.1.5		76458d1e7bdc9ffcee8e8b3d0c0b1a21974c3251
com.azure	azure-communication-sms	1.1.6		bf95d1117d3a97d6e1dd1dc1c9cd40ed1ee1471f
com.azure	azure-communication-sms	1.1.7		914f01520fbc6d22b05f4abc4a1f3082362f2200
com.azure	azure-communication-sms	1.1.8		8c83ba2b6578cfc33fc32dc139c89992d9347de7
com.azure	azure-communication-sms	1.1.9		9d251b7ad892f097b29d26e652ceff308d736c48
com.btmatthews.atlas	atlas-jcr-oak	1.0.2		19485845a7a72d6485162d787a38d98eceec4282
com.dongxiguo	scala-junction_2.10.0-M2	0.1.0		74535446f37ac9666e889a6f2fb6d5512e59ba9d
com.fastjrun.codeg	sdkg-parent	2.0		N/A
com.fastjrun.codeg	sdkg-parent	2.0.1		N/A
com.fastjrun.codeg	sdkg-parent	2.1		N/A
com.fastjrun.codeg	sdkg-parent	2.1.1		N/A
com.fastjrun.codeg	sdkg-parent	2.1.2		N/A
com.fastjrun.codeg	sdkg-parent	2.1.3		N/A
com.fastjrun.codeg	sdkg-parent	2.1.4		N/A
com.fastjrun.codeg	sdkg-parent	2.1.5		N/A
com.fastjrun.codeg	sdkg-parent	2.1.6		N/A
com.fastjrun.codeg	sdkg-parent	3.0		N/A
com.fastjrun.codeg	sdkg-parent	3.1		N/A
com.fastjrun.codeg	sdkg-parent	3.2		N/A
com.fastjrun.codeg	sdkg-parent	3.2.1		N/A
com.fastjrun.codeg	sdkg-parent	3.2.2		N/A
com.fastjrun.codeg	sdkg-parent	3.2.3		N/A
com.fastjrun.codeg	sdkg-parent	3.2.4		N/A
com.fastjrun.codeg	sdkg-parent	4.0		N/A
com.fastjrun.codeg	sdkg-parent	4.0.1		N/A
com.fastjrun.codeg	sdkg-parent	4.0.2		N/A
com.fastjrun.codeg	sdkg-parent	4.0.3		N/A
com.fastjrun.codeg	sdkg-parent	4.0.4		N/A
com.fastjrun.codeg	sdkg-parent	4.1		N/A
com.fastjrun.codeg	sdkg-parent	4.1.1		N/A
com.fastjrun.codeg	sdkg-parent	4.2		N/A
com.fastjrun.codeg	sdkg-parent	4.2.1		N/A
com.fastjrun.codeg	sdkg-parent	4.2.2		N/A
com.fastjrun.codeg	sdkg-parent	4.2.3		N/A
com.fastjrun.codeg	sdkg-parent	4.2.4		N/A
com.fastjrun.codeg	sdkg-parent	4.2.5		N/A
com.fastjrun.codeg	sdkg-parent	4.4.0		N/A
com.fastjrun.codeg	sdkg-parent	4.4.0.1		N/A
com.fastjrun.codeg	sdkg-parent	4.5		N/A
com.fastjrun.codeg	sdkg-parent	4.5.1		N/A
com.github.allantl	jira4s_2.11	0.0.2		a02fd901692d1358293bb1ac20fa809dfa55470c
com.github.allantl	jira4s_2.11	0.0.3		f33a498879305d90f81c02022699b47ed523a93d
com.github.allantl	jira4s_2.11	0.1.0		ac6e73b4f24979af2555f6e85936380d19aaf83d
com.github.chivorns	datetimeoptionpicker	1.0.0		N/A
com.github.emc-mongoose	mongoose-load-step-weighted	4.0.0		f6fe8711fdcdecd9713e1049fb5adfa72a79c71a
com.github.emc-mongoose	mongoose-load-step-weighted	4.0.1		b4d275418e3d3e4408190eef467676e16c8be2ee
com.github.emc-mongoose	mongoose-load-step-weighted	4.0.2		b99c45c15ae3ea5f67d1f38f79e54ff6c86ac682
com.github.emc-mongoose	mongoose-load-step-weighted	4.1.0		b6520fb01d78f09d127c7df777ba48bc729da398
com.github.emc-mongoose	mongoose-load-step-weighted	4.1.1		d444590f81d1405912a92effcec555bf9d293350
com.github.emc-mongoose	mongoose-load-step-weighted	4.1.4		40afcdb2c63a3d3b86b72cad29e97fbd7077a6f9
com.github.emc-mongoose	mongoose-load-step-weighted	4.2.0		95a2478338f60d9499a76876fdf530209a32e0a8
com.github.emc-mongoose	mongoose-load-step-weighted	4.2.1		979f8ac2ef8e6a7a95436a446e8d35815f65ab4c
com.github.emc-mongoose	mongoose-load-step-weighted	4.2.10		91b25585fbfb9c571bb70e15d0e952c0f48b8878
com.github.emc-mongoose	mongoose-load-step-weighted	4.2.11		544ebd993de3ed343db8baabab3e2d1f3aab8fcd
com.github.emc-mongoose	mongoose-load-step-weighted	4.2.12		31ed2ee15147c00b8753962df94a9d694f77dead
com.github.emc-mongoose	mongoose-load-step-weighted	4.2.13		c46d7580d67b813fbc4baf515d530fd3495e939d
com.github.emc-mongoose	mongoose-load-step-weighted	4.2.2		1eb49bafe5a0215f6116f64ed1f7437bb6ba422e
com.github.emc-mongoose	mongoose-load-step-weighted	4.2.3		db3a88d9701e7f38900ff0559af3a57bc843a941
com.github.emc-mongoose	mongoose-load-step-weighted	4.2.5		64def07d355cec2d0bda013c350d48bc603917dc
com.github.emc-mongoose	mongoose-load-step-weighted	4.2.6		0487e7506d24a541d295198d011a09e621bc0ff0
com.github.emc-mongoose	mongoose-load-step-weighted	4.2.7		ab4a74b7b83af675545a226219a21b11b1c134d4
com.github.emc-mongoose	mongoose-load-step-weighted	4.2.8		b1542dad2b6da2014439fd58cd36a143da7d1025
com.github.emc-mongoose	mongoose-load-step-weighted	4.2.9		602e999023bc67cf5afead644a4a243cc167dac1
com.github.hiwepy	tencentapi-spring-boot-starter	1.0.0.RELEASE		3b67508447e488ea07856b631dd41993c4dc8ea6
com.github.hiwepy	tencentapi-spring-boot-starter	1.0.1.RELEASE		60f7b8272944c1ebe74bf298c29e007ed7312c15
com.github.hiwepy	tencentapi-spring-boot-starter	1.0.2.RELEASE		c5ccbf14bb5c965086cd4ba45f83d0a9afadd47f
com.github.hiwepy	tencentapi-spring-boot-starter	1.0.3.RELEASE		021e46d029f4a1126b0cd5f62826be5b30e98dbc
com.github.hiwepy	tencentapi-spring-boot-starter	1.0.4.RELEASE		c082b2276456a4089a9a5bf5c06354372d5ec981
com.github.hiwepy	tencentapi-spring-boot-starter	1.0.5.RELEASE		38c23309dd2a507e037bad0c92c9ba16e5963ad7
com.github.hiwepy	tencentapi-spring-boot-starter	1.0.6.RELEASE		d335ed05011adbc12b210e98aa4fd52449aad4e7
com.github.hiwepy	tencentapi-spring-boot-starter	1.0.7.RELEASE		dc1d324cb307f1de0367c5db99ae658c3528014d
com.github.hiwepy	tencentapi-spring-boot-starter	1.0.8.RELEASE		50850aeabea4ab13e4732d7c6fb60774067aa26f
com.github.hiwepy	tencentapi-spring-boot-starter	1.0.9.RELEASE		0e2f6f15d4490bca28c54dd1f288e839094612f6
com.github.hiwepy	tencentapi-spring-boot-starter	2.0.0.RELEASE		06f154f42d304d26559a08e62cf7bc8616e863da
com.github.hiwepy	tencentapi-spring-boot-starter	2.3.x.20240823.RELEASE		f6c786c9bcf42dc32f70f3e8e3ea441a0b513c7f
com.github.hiwepy	tencentapi-spring-boot-starter	2.7.x.20240823.RELEASE		625db5fcc40d26eff8d2d62e12bf7610edc0f032
com.github.hiwepy	tencentapi-spring-boot-starter	3.3.x.20240823.RELEASE		176ca7339b1baf826af0d36e82b971ecf209c8d9
com.github.httl	httl	1.0.10		06c32d16ea17ec1517b4ed6789effe7baf66c9e5
com.github.httl	httl	1.0.11		c02c7a9f2da44feeeca2106a16d57e801f9cb311
com.github.jcustenborder.kafka.connect	kafka-connect-maprdb	0.1.1		7395456a95208553e45ff7693fe74f15839e8525
com.github.jcustenborder.kafka.connect	kafka-connect-maprdb	0.1.2		b0d7f9cd4b18db9f177d9d98b6c7e1cc47b5598d
com.github.jcustenborder.kafka.connect	kafka-connect-maprdb	0.1.3		f4d2c25e66ed9a64d95dcef205192645db62c854
com.github.jcustenborder.kafka.connect	kafka-connect-maprdb	0.1.4		e36ae53f2072d67beb7d1878bbea089ecc77584b
com.github.lamba92	kotlin-leveldb-iosarm64	0.0.1-RC.5		N/A
com.github.lamba92	kotlin-leveldb-iosarm64	0.0.1-RC.5	metadata	3e1bca637581fd06e0c06639796da8565a1fff2d
com.github.lamba92	kotlin-leveldb-iosarm64	1.0.0		N/A
com.github.lamba92	kotlin-leveldb-iosarm64	1.0.0	metadata	3e52623d91c9540d4d05bd8df3439432be9883a3
com.github.lamba92	kotlin-leveldb-iosarm64	1.0.0-RC.1		N/A
com.github.lamba92	kotlin-leveldb-iosarm64	1.0.0-RC.1	metadata	b7267c3508da514aebe33e3f41d4992f61ffc67f
com.github.lamba92	kotlin-leveldb-iosarm64	1.0.0-RC.2		N/A
com.github.lamba92	kotlin-leveldb-iosarm64	1.0.0-RC.2	metadata	7cebcae844ee7679ab0aad91263de5ca21b1987e
com.github.lamba92	kotlin-leveldb-iosarm64	1.0.0-RC.4		N/A
com.github.lamba92	kotlin-leveldb-iosarm64	1.0.0-RC.4	metadata	b772efee479f9176365d58683557f8864784f9e6
com.github.lamba92	kotlin-leveldb-iosarm64	1.0.0-RC.6		N/A
com.github.lamba92	kotlin-leveldb-iosarm64	1.0.0-RC.6	metadata	9273c055408a4fefc01e1fa4b763f0ed78e7d806
com.github.lamba92	kotlin-leveldb-iosarm64	1.0.1		N/A
com.github.lamba92	kotlin-leveldb-iosarm64	1.0.1	metadata	7d0bac1ea212f6933214af545ce2d084b083244f
com.github.lamba92	kotlin-leveldb-iosarm64	1.0.2		N/A
com.github.lamba92	kotlin-leveldb-iosarm64	1.0.2	metadata	44ea24b7e003e948455895bb33e780cc1f62fdc5
com.github.yingzhuo	carnival-spring-boot-starter-datasource	1.3.7		c6aba383d3c43b6ec8bcbd58066c1ede16351b49
com.github.yingzhuo	carnival-spring-boot-starter-datasource	1.4.0		622485a8de4609bdf19a209205452dc6cd9d19aa
com.github.yingzhuo	carnival-spring-boot-starter-datasource	1.4.0-1		c5b5a76071952ee2322c602e74eaa3cbf97b60ae
com.github.yingzhuo	carnival-spring-boot-starter-datasource	1.4.1		a67a0dff82b2622544f88bd5dfe83fead64dbf25
com.github.yingzhuo	carnival-spring-boot-starter-datasource	1.4.10		da830aacd8c6f1be85484e80b454fc5c112fb7a2
com.github.yingzhuo	carnival-spring-boot-starter-datasource	1.4.11		d8b2a03ad8defd3bdce4197eae54d82b627aff9e
com.github.yingzhuo	carnival-spring-boot-starter-datasource	1.4.2		ff6cbb85a2330f349ab9d539d118711526a82fcf
com.github.yingzhuo	carnival-spring-boot-starter-datasource	1.4.3		812e6583042cb295f411933a293d8b785753ea45
com.github.yingzhuo	carnival-spring-boot-starter-datasource	1.4.4		1fb61e538847474b6e70a4c77a639f533b33892d
com.github.yingzhuo	carnival-spring-boot-starter-datasource	1.4.5		eb99417ebf3064322f7b536927e875badc899931
com.github.yingzhuo	carnival-spring-boot-starter-datasource	1.4.6		5c35611e9fca333cf7894c51074eba599da51e0d
com.github.yingzhuo	carnival-spring-boot-starter-datasource	1.4.7		c8bb2e33be5023e7cb2c9491dc65ad7c6c22b5b0
com.github.yingzhuo	carnival-spring-boot-starter-datasource	1.4.8		26367c433801a282b2c04e88b6239bbfc08cf567
com.github.yingzhuo	carnival-spring-boot-starter-datasource	1.4.9		23a2293cb7a8ac515c1abed857f6bb7eb3967edd
com.github.yingzhuo	carnival-spring-boot-starter-datasource	1.5.0		8624b66e4ea2354dcdcd4a1915383e09bf48baa8
com.github.yingzhuo	carnival-spring-boot-starter-datasource	1.5.1		4cf6502dbd77d936ec2392dc32503ef5ca6e43c6
com.github.yingzhuo	carnival-spring-boot-starter-datasource	1.5.2		fb3b6d3d24367f7104da5788ea79e759fd287530
com.google.android.apps.common.testing.accessibility.framework	accessibility-test-framework	1.0		28162aae36f8ba5903adadfb570313e1f1be852e
com.google.android.apps.common.testing.accessibility.framework	accessibility-test-framework	2.0		7837f95bdff9f797003454247fef02b78d49ae75
com.google.android.apps.common.testing.accessibility.framework	accessibility-test-framework	2.1		c2d6267c3ad0435ddf9e27a94a0e0af4ca3fdfbb
com.google.api.grpc	proto-google-cloud-servicehealth-v1	0.1.0		6c71e6524755e6e6a2fb97cfa457c4c030a7b86c
com.google.api.grpc	proto-google-cloud-servicehealth-v1	0.10.0		63e47a94926de84f260b00cfafd1efc9e6fac6ca
com.google.api.grpc	proto-google-cloud-servicehealth-v1	0.11.0		1d433e1cf8761f1d5292a0e4a73182288e8d8ad2
com.google.api.grpc	proto-google-cloud-servicehealth-v1	0.12.0		b88af7e9fea4f0905e0db659666129ca49120dd7
com.google.api.grpc	proto-google-cloud-servicehealth-v1	0.13.0		97c20490191adc9e36f0e1f094213ccd8850bb48
com.google.api.grpc	proto-google-cloud-servicehealth-v1	0.14.0		e600cd97b2b7278649172d7699aec7ecc4502e50
com.google.api.grpc	proto-google-cloud-servicehealth-v1	0.15.0		d1c4d13f0aa59c1c61372c06ba2a6bf3d1c75a89
com.google.api.grpc	proto-google-cloud-servicehealth-v1	0.16.0		81b756ad8eee750492b4cb9cdb14559a2d1e54fe
com.google.api.grpc	proto-google-cloud-servicehealth-v1	0.18.0		233d49d8e1e2120f886766e0d24794c6f1a1420e
com.google.api.grpc	proto-google-cloud-servicehealth-v1	0.19.0		422a4376bc7f33997c114761573a890d47fdfd79
com.google.api.grpc	proto-google-cloud-servicehealth-v1	0.2.0		e95305e2a9f34a54a6bd79218c952f34388cdabb
com.google.api.grpc	proto-google-cloud-servicehealth-v1	0.20.0		3997c010f9fe23e252a9111251b08c656927ed0a
com.google.api.grpc	proto-google-cloud-servicehealth-v1	0.21.0		02d5b559f5118f6696e5083a2274ef85e98b6a95
com.google.api.grpc	proto-google-cloud-servicehealth-v1	0.22.0		90cb0025943eb49f2b353ab87251c63a5994dd94
com.google.api.grpc	proto-google-cloud-servicehealth-v1	0.23.0		d84f02bf8ad3f00a5cc1417b24afb3da4f025778
com.google.api.grpc	proto-google-cloud-servicehealth-v1	0.24.0		1a4143cb0de96800ff9b8e92f7734b25f7c3782b
com.google.api.grpc	proto-google-cloud-servicehealth-v1	0.25.0		0be194033dee53390c5ddc8b957335c0537ff3ef
com.google.api.grpc	proto-google-cloud-servicehealth-v1	0.26.0		dcc9691a5ca92b6da6eea73509c3ec21051c6b84
com.google.api.grpc	proto-google-cloud-servicehealth-v1	0.27.0		6c18e473197c65718884c7e6bdbc3128d29cdfe5
com.google.api.grpc	proto-google-cloud-servicehealth-v1	0.28.0		6658ea6c983c260d50b8d4271b3d3823d4a1bd30
com.google.api.grpc	proto-google-cloud-servicehealth-v1	0.3.0		45c182604a40adbcf88f6f4cf2cae0d372ab6989
com.google.api.grpc	proto-google-cloud-servicehealth-v1	0.4.0		6e900f32c9e5b3b74c2b9c7e77679ed09c9475d2
com.google.api.grpc	proto-google-cloud-servicehealth-v1	0.5.0		89d9b8fef783dec3fc2ec9fd8c8bdba11e23f9e1
com.google.api.grpc	proto-google-cloud-servicehealth-v1	0.6.0		d4e3d699e9bfe84a75979e7e929c541ad6d086e8
com.google.api.grpc	proto-google-cloud-servicehealth-v1	0.7.0		6b8e4895a90241bf22ad7d766e4e2f17a1809665
com.google.api.grpc	proto-google-cloud-servicehealth-v1	0.8.0		6cc8ec84fd57c31ffbc2a4df8a64d23116ff97b5
com.google.api.grpc	proto-google-cloud-servicehealth-v1	0.9.0		0f06379e73ccc70236956065de0a7d4ad11a8b4d
com.intel.qpl	qpl-java	1.0.0		fe91143d336ff2280496807b38de6568b96b4db8
com.marcoeckstein	autoannotator-maven-plugin	0.0.1		adf013cade4d9ec0090d66d9f4f247a853bada59
com.marcoeckstein	autoannotator-maven-plugin	0.0.1	jar-with-dependencies	6105c08c617d29ee0e83e374d4053cbdb053c4f7
com.marcoeckstein	autoannotator-maven-plugin	0.0.2		c4e850bee756678991553f895368035733ad1a63
com.marcoeckstein	autoannotator-maven-plugin	0.0.2	jar-with-dependencies	0550d42faf6b7d7cc108350d0a65851ee03440e1
com.marcoeckstein	autoannotator-maven-plugin	0.0.3		dd00f9572e37526917fcff1590974898fe22922e
com.marcoeckstein	autoannotator-maven-plugin	0.0.3	jar-with-dependencies	72f7853964b0d5d31a57927204b4168da1539779
com.microsoft.azure.labservices.v2018_10_15	azure-mgmt-labservices	1.0.0-beta		e5867f9d4391c36140bc4734a6f16352c67d645d
com.moriatsushi.compose.stylesheet	compose-stylesheet-appbar-desktop	0.0.3		a895354bf452cf2009555b94721117ead54b8ae3
com.netflix.turbine	turbine-web	0.3		N/A
com.netflix.turbine	turbine-web	0.4		N/A
com.netflix.turbine	turbine-web	0.5		N/A
com.netflix.turbine	turbine-web	1.0.0		N/A
com.pallycon	widevine	3.1.0		N/A
com.pallycon	widevine	3.2.0		N/A
com.pallycon	widevine	3.3.0		N/A
com.pallycon	widevine	3.4.0		N/A
com.pallycon	widevine	3.4.1		N/A
com.pallycon	widevine	3.4.2		N/A
com.pallycon	widevine	3.4.3		N/A
com.pallycon	widevine	3.4.4		N/A
com.pallycon	widevine	3.4.5		N/A
com.pallycon	widevine	3.4.6		N/A
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.17.0		e197d6c9984aa2a3e5b2931b5626a2c5c3b97280
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.17.0-M10		36be24d8f352231c02f83a98c45aa04235bb215b
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.17.0-M11		2373da1802a8945cba9ad9a9424eb6d3013593a3
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.17.0-M9		bfba6b6bd4fed1d3aa13ec643123bf776f5fdf2e
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.17.1		c26f8bf891909bcb445b5fc10fe181d3e12e3ad6
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.17.10		1345d6a6e38d915afba6ea29168157b9fb0ae0be
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.17.11		088834625e5e49f4ac3ed595e4c77d0c5a27edc7
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.17.12		7dad52d8501ba120f7d68ad666b08ab06fc5c160
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.17.13		f05b5e57f8a0fa1b2c922458c686c8a2ed81b5c2
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.17.14		775763ae1b6f7e67b15d1cf6f3f60f71319fd948
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.17.15		93a9e16d12135f7c54460b4e6e337477a3522e38
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.17.16		13ee31f15f76f61eddfe255c8d4039eed11e8c9f
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.17.18		f13aba43d84a8ac326b5a3b9d7df460ef970d92d
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.17.19		ab20a8b24ee9bf07e3ce20441931fc50b21769b1
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.17.2		7d047b74fa35000b62d583d7c6429a5039f1e5bf
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.17.20		5ca7da0e17ef0c38685a40b6e4a20f2d7771e9bf
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.17.3		bd10f5d8f84366dbde42a4bb3b899fbdab604c2d
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.17.4		4df85534428f1922c3e8fc7a2bf0e273cabedfd4
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.17.5		bb25f70c3ffcf088e42b52b5a27b94c8fb009c29
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.17.6		81b1ce7fc96d861b6a66b5d973cb15747f54858d
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.17.7		6151cd1eb7b54a7328ab8ac089288a2579105ccc
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.17.8		294cef42738123ca62929cb9aef1b01e531df1f7
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.17.9		a7c0d9c99b12f1c6980d926151c5ffe55b7445f9
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.18.0		ec029f102e51c9eee0433977933ba623f1e98db8
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.18.0-M1		3941a0cebab3ec21fc932f10f8f4a65b3c996eee
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.18.0-M10		2765187b0860b6dfb998261059b304f80c635eae
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.18.0-M11		1c58e35471130eb2d6603d3b2d4c1df397bd0014
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.18.0-M15		e1876fc8a83f9491a8a3902b80e8ee0cd3b0aeed
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.18.0-M17		571f618d0899633bca4142272f183da024cb1828
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.18.0-M18		45110d393581cbf87b310ce554d1bc28086820c6
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.18.0-M2		9c6eedcf3dcafb74fb89809c348f3f6a61af42d8
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.18.0-M4		74eabd27bd09d55a7bc8d4c7469517a9909b0473
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.18.0-M5		836271e2a2b78f4546f45a13ea7d1ae3fb6d980f
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.18.0-M7		e3d3923c1b307444b7b5f7bd6dd02a49f4d7c8d1
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.18.0-M8		0db7ba55fe9e66a5098a7781216e244dc36d6b99
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.18.0-M9		90f48520ac2deb93f4bfc1a17e50a36475a27b58
com.softwaremill.sttp.tapir	tapir-json-upickle_sjs1_2.12	0.18.1		f27ea4347bd164c0ebe23b2e9d974778cf546910
