be.vlaanderen.informatievlaanderen.ldes.ldi.nifi	archive-file-out	2.12.0		N/A
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.2		dbbb2b930b0f684c3b0c555e8a11e42396225d8e
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.2	all	578eb4b2429cea46da040c316074ee1a791ed5e6
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.2	all-sources	7df793a63ddc87497959ffa36e48015744599f42
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.2	http	f6ded4021d54f4ce304690afb04dd6e3c3b97876
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.2	http-sources	5dc2e7d0ee6515090bfc31b70e7ec702b4aba355
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.3		f54f99eebb210fd8c8ff99c8424ede55beaae3da
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.3	all	fda0eeb8849bb76906ab18187ebb8bd850d5614b
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.3	all-sources	5bfa1b6d2cd831fae7fa84908e92b9042285d7e7
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.3	http	e30d73d0cdfa697183b91f9b8891209fb2baed9e
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.3	http-sources	b3e89ab91fb07ee02dd189d56470ab18bd5ec6f4
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.4		25d39c20ddacb925e7bd48d6d8e8072117109c72
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.4	all	d041efb30c530df395116dd6af14b858be9f587c
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.4	all-sources	c902cb4c8dc330699c6eafd4370f5bd952403f88
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.4	http	79b135c6ba63e132507b77d74e66a5a90a387578
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.4	http-sources	ef68c69264abefa5b40fdb62be6ae310186306bc
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.5		e17251ffe76850cabc7ec2dd0eda55521b0a5bd1
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.5	all	4a46ba837832a1d767e3d07ec2d7a3105657fbd1
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.5	all-sources	35d72384e513cf90e36d71593405f008a18c38fe
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.5	http	5af60a15c956762595cf1f9b48c1918e96a70e15
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.5	http-sources	35d72384e513cf90e36d71593405f008a18c38fe
com.clickhouse	clickhouse-r2dbc_0.9.1	0.7.0		2a02eed411381bda78ef5e2b58ce06a29e6ef8ef
com.clickhouse	clickhouse-r2dbc_0.9.1	0.7.0	all	756949ddf38d16f11c53b0cb186b55884cc3b465
com.clickhouse	clickhouse-r2dbc_0.9.1	0.7.0	all-sources	a36c2ef5f0cdf8c2139d30d5f03d6c99bc5177cc
com.clickhouse	clickhouse-r2dbc_0.9.1	0.7.0	http	4bddd9b557e29b3890de7832b940f0987c9a4fa1
com.clickhouse	clickhouse-r2dbc_0.9.1	0.7.0	http-sources	a36c2ef5f0cdf8c2139d30d5f03d6c99bc5177cc
com.clickhouse	clickhouse-r2dbc_0.9.1	0.7.1		720db28dd285a6a4123497981ee33e91f33e7b2c
com.clickhouse	clickhouse-r2dbc_0.9.1	0.7.1	all	fc99f597eb24bc4cfe86687a60c219641d02c0f7
com.clickhouse	clickhouse-r2dbc_0.9.1	0.7.1	all-sources	1e72dd3d7da1022a6a68dfb5e71d8327f5496cf6
com.clickhouse	clickhouse-r2dbc_0.9.1	0.7.1	http	46bd92fa58e963f555b55c6dd923b0b40e1bc819
com.clickhouse	clickhouse-r2dbc_0.9.1	0.7.1	http-sources	43c987c431ddda5d9b16a80a001dba83557c1367
com.clickhouse	clickhouse-r2dbc_0.9.1	0.7.1-patch1		238b68b31a519f9a0897f78fe17b96790af40aad
com.clickhouse	clickhouse-r2dbc_0.9.1	0.7.1-patch1	all	95873ce4a9469c97b20027169ad41d6e27f5580e
com.clickhouse	clickhouse-r2dbc_0.9.1	0.7.1-patch1	all-sources	28b714ed98fe7822986b6459cf404dc56ee3a0df
com.clickhouse	clickhouse-r2dbc_0.9.1	0.7.1-patch1	http	e9ddd8a99118281c302fdc8fd1858dcc5a76eddb
com.clickhouse	clickhouse-r2dbc_0.9.1	0.7.1-patch1	http-sources	abbd4e68b910bddaea3ababefa2db4e7a0cefb73
com.clickhouse	clickhouse-r2dbc_0.9.1	0.7.2		4257fb49bf39c88547d7f758c688ff2e0595a388
com.clickhouse	clickhouse-r2dbc_0.9.1	0.7.2	all	9cb64a6952bb0cc3f3dc201d3430512e36ef72b3
com.clickhouse	clickhouse-r2dbc_0.9.1	0.7.2	all-sources	9762d2dedea3a21c557804992da43832d34b528b
com.clickhouse	clickhouse-r2dbc_0.9.1	0.7.2	http	f67c159f4dad04aa9f0f02ffced6150b8632bf5a
com.clickhouse	clickhouse-r2dbc_0.9.1	0.7.2	http-sources	4d4cdc6ef2865a827e88543aa2c549671dc75575
com.clickhouse	clickhouse-r2dbc_0.9.1	0.8.0		cf83f5640a5fe354e30f62b54197be38c01b6425
com.clickhouse	clickhouse-r2dbc_0.9.1	0.8.0	all	4f5396794422d5f2cef7c08621bae8e618458408
com.clickhouse	clickhouse-r2dbc_0.9.1	0.8.0	all-sources	7008bdf6a20bb25bcda328f324a2f9043ace7a3f
com.clickhouse	clickhouse-r2dbc_0.9.1	0.8.0	http	231dc724d83d3582c5be98a7bef24138d8a02611
com.clickhouse	clickhouse-r2dbc_0.9.1	0.8.0	http-sources	638a3e1304da7dd7d0d9477847e40339dd47c38c
com.clickhouse	clickhouse-r2dbc_0.9.1	0.8.1		3b77540597fc1ed1e4c1c1dee4a25980b36125a2
com.clickhouse	clickhouse-r2dbc_0.9.1	0.8.1	all	638ae5e7271c11ccd4a2d7508001ef72ff7a5f3b
com.clickhouse	clickhouse-r2dbc_0.9.1	0.8.1	all-sources	27384aabca6b1f12ce1e076817c6d23dde6d3901
com.clickhouse	clickhouse-r2dbc_0.9.1	0.8.1	http	00b9cdd5bffe58fa7f2df1f620b1a5d62edf3c7a
com.clickhouse	clickhouse-r2dbc_0.9.1	0.8.1	http-sources	8ce6b8f266f5fc9a16d9e25ce84f7991838053a7
com.clickhouse	clickhouse-r2dbc_0.9.1	0.8.2		7f3df1849f756675f50a958a85e44e98c1d080bf
com.clickhouse	clickhouse-r2dbc_0.9.1	0.8.2	all	9f24ee65269b526801ed6af32a2c25269d9e81e6
com.clickhouse	clickhouse-r2dbc_0.9.1	0.8.2	all-sources	5f763b7c05fc3c736908f5fd3bbdf591b5d7f07d
com.clickhouse	clickhouse-r2dbc_0.9.1	0.8.2	http	b9fed916d2a453f36067d7f25223d6df1d2ef502
com.clickhouse	clickhouse-r2dbc_0.9.1	0.8.2	http-sources	16f6b0186a165e9cb55d23e8808923a346c830dd
com.clickhouse	clickhouse-r2dbc_0.9.1	0.8.3		44d488d7698225a2f7a80b95615af48ec7456636
com.clickhouse	clickhouse-r2dbc_0.9.1	0.8.3	all	2611e93c559f082af10dd18ea757022f80331fc8
com.clickhouse	clickhouse-r2dbc_0.9.1	0.8.3	all-sources	301e6d2b7eba4fb2df130c683bfb0c0e218ce36d
com.clickhouse	clickhouse-r2dbc_0.9.1	0.8.3	http	10875b8c4ca172470883e7a8a4ae489deeb65ce1
com.clickhouse	clickhouse-r2dbc_0.9.1	0.8.3	http-sources	e71a2c28e2384e3253bf881761974e8deab61104
com.clickhouse	clickhouse-r2dbc_0.9.1	0.8.4		9c75954903fb9b768e623df46ad81572151e872c
com.clickhouse	clickhouse-r2dbc_0.9.1	0.8.4	all	b38b21180ed2dc06bef21657ed0ee78803b81200
com.clickhouse	clickhouse-r2dbc_0.9.1	0.8.4	all-sources	cdec02e86365831a255a5eb1824cdecfcc362c72
com.clickhouse	clickhouse-r2dbc_0.9.1	0.8.4	http	7500a8766a8315516eec34c04838fa208529dca4
com.clickhouse	clickhouse-r2dbc_0.9.1	0.8.4	http-sources	7e807210258d1ee74acdf0052df81c1a6697bca8
com.clickhouse	clickhouse-r2dbc_0.9.1	0.8.5		9ec31e21be183664924a52c8b0f3943fafd44074
com.clickhouse	clickhouse-r2dbc_0.9.1	0.8.5	all	af860ec34302146605a72d4f9a7979c074ba53be
com.clickhouse	clickhouse-r2dbc_0.9.1	0.8.5	all-sources	e9804eebf4541abadec444de045197f686dd8c4d
com.clickhouse	clickhouse-r2dbc_0.9.1	0.8.5	http	ddadf6eb24ec3a189cb1373c9c455db2692405f5
com.clickhouse	clickhouse-r2dbc_0.9.1	0.8.5	http-sources	b51a8b4f6c86bc73c96f17cd0df20ec53d61a04a
com.clickhouse	clickhouse-r2dbc_0.9.1	0.8.6		6febdb5a20b55fc0fe335ed34c403d7540276aa7
com.clickhouse	clickhouse-r2dbc_0.9.1	0.8.6	all	812aa54af3f24e2ac72406f75e23816f4d9c07dc
com.clickhouse	clickhouse-r2dbc_0.9.1	0.8.6	http	b9670ec4c7858330d7db615abf4c36e0dadf7fed
com.com2us.android.hive	hive-iapv4-market-amazon	23.0.0		N/A
com.com2us.android.hive	hive-iapv4-market-amazon	23.0.1		N/A
com.com2us.android.hive	hive-iapv4-market-amazon	23.1.0		N/A
com.com2us.android.hive	hive-iapv4-market-amazon	23.2.0		N/A
com.com2us.android.hive	hive-iapv4-market-amazon	23.2.1		N/A
com.com2us.android.hive	hive-iapv4-market-amazon	23.2.2		N/A
com.com2us.android.hive	hive-iapv4-market-amazon	23.2.3		N/A
com.com2us.android.hive	hive-iapv4-market-amazon	23.3.0		N/A
com.com2us.android.hive	hive-iapv4-market-amazon	23.4.0		N/A
com.com2us.android.hive	hive-iapv4-market-amazon	23.5.0		N/A
com.com2us.android.hive	hive-iapv4-market-amazon	23.5.1		N/A
com.com2us.android.hive	hive-iapv4-market-amazon	24.0.0		N/A
com.com2us.android.hive	hive-iapv4-market-amazon	24.1.0		N/A
com.com2us.android.hive	hive-iapv4-market-amazon	24.1.1		N/A
com.com2us.android.hive	hive-iapv4-market-amazon	24.1.2		N/A
com.com2us.android.hive	hive-iapv4-market-amazon	24.1.3		N/A
com.com2us.android.hive	hive-iapv4-market-amazon	24.2.0		N/A
com.com2us.android.hive	hive-iapv4-market-amazon	24.3.0		N/A
com.com2us.android.hive	hive-iapv4-market-amazon	24.4.0		N/A
com.com2us.android.hive	hive-iapv4-market-amazon	24.5.0		N/A
com.com2us.android.hive	hive-iapv4-market-amazon	24.5.1		N/A
com.com2us.android.hive	hive-iapv4-market-amazon	24.5.2		N/A
com.com2us.android.hive	hive-iapv4-market-amazon	25.0.0		N/A
com.com2us.android.hive	hive-iapv4-market-amazon	25.0.1		N/A
com.com2us.android.hive	hive-iapv4-market-amazon	25.1.0		N/A
com.com2us.android.hive	hive-iapv4-market-amazon	25.1.1		N/A
com.com2us.android.hive	hive-iapv4-market-amazon	25.1.2		N/A
com.com2us.android.hive	hive-iapv4-market-amazon	25.1.3		N/A
com.com2us.android.hive	hive-iapv4-market-amazon	25.1.4		N/A
com.com2us.android.hive	hive-iapv4-market-amazon	25.2.0		N/A
com.devpira.colorlibrary	AndroidColorPicker	1.0.0		N/A
com.fleeksoft.io	io-jvm	0.0.1		30c4528041a4edced5bdbdce46f780ae3ff9d667
com.fleeksoft.io	io-jvm	0.0.2		e27ae022b8ceda742fb07598d6e98686997cf424
com.fleeksoft.io	io-jvm	0.0.3		58312af62c5e6db58951ba822b1943fdb5b7598f
com.fleeksoft.io	io-jvm	0.0.4		84f67c483b172b5903aa27da230d28bb6ddc20f9
com.github.albfernandez	juniversalchardet	2.0.0		28c59f58f5adcc307604602e2aa89e2aca14c554
com.github.albfernandez	juniversalchardet	2.0.1		c0dfabaeabeadb754d78bb8de6bd86e8ace7b516
com.github.albfernandez	juniversalchardet	2.0.2		fe1037dff7ae64005dd31737b77f04dd2860c602
com.github.albfernandez	juniversalchardet	2.0.3		feae12f4dc12363425e35fbe5338058411764a2d
com.github.albfernandez	juniversalchardet	2.0.4		52ba70aa7e9d159f0f5207deff9da601c3a91413
