com.github.mreutegg	laszip4j	0.9		f095777673768c46082f966eb90d40952e4d8233
com.github.sarxos	webcam-capture-driver-jmf	0.3.10		2a02dee3b64882d599787e10ce5d93ec931db6b4
com.github.sarxos	webcam-capture-driver-jmf	0.3.11		b7a9fe75095684d28b06dd2191bfff34ba650391
com.github.sarxos	webcam-capture-driver-jmf	0.3.12		ae04953efe39e47ec6c89465ee3142bf1a4e7b4d
com.github.sarxos	webcam-capture-driver-jmf	0.3.5		0a41c9f305934fccf2443f8b9cf27660666307ce
com.github.sarxos	webcam-capture-driver-jmf	0.3.6		59f38490a8a8eb6ddf6e2cd7fb59683c4f914ec3
com.github.sarxos	webcam-capture-driver-jmf	0.3.7		2df77b963e575b7dc3e97aa2afc0a04e24a6de6d
com.github.sarxos	webcam-capture-driver-jmf	0.3.8		0c8edd0541b3234ab670e8f0e76c61cd20d8bda3
com.github.sarxos	webcam-capture-driver-jmf	0.3.9		2d2f86de6b30e25d7bd05a632e05cee3c2a9c388
com.github.t3t5u	common-http	1.0.0		8bc15503c273abbf9f0110b84f512151c96f5f6f
com.google.cloud	google-cloud-service-management-bom	0.1.0		N/A
com.google.cloud	google-cloud-service-management-bom	0.1.1		N/A
com.google.cloud	google-cloud-service-management-bom	1.0.0		N/A
com.google.cloud	google-cloud-service-management-bom	1.0.1		N/A
com.google.cloud	google-cloud-service-management-bom	1.1.0		N/A
com.google.cloud	google-cloud-service-management-bom	1.1.1		N/A
com.google.cloud	google-cloud-service-management-bom	1.1.2		N/A
com.google.cloud	google-cloud-service-management-bom	2.0.0		N/A
com.google.cloud	google-cloud-service-management-bom	2.0.1		N/A
com.google.cloud	google-cloud-service-management-bom	2.0.2		N/A
com.google.cloud	google-cloud-service-management-bom	2.1.0		N/A
com.google.cloud	google-cloud-service-management-bom	2.1.1		N/A
com.google.cloud	google-cloud-service-management-bom	2.1.2		N/A
com.google.cloud	google-cloud-service-management-bom	2.1.3		N/A
com.google.cloud	google-cloud-service-management-bom	2.1.4		N/A
com.google.cloud	google-cloud-service-management-bom	2.1.5		N/A
com.google.cloud	google-cloud-service-management-bom	2.1.6		N/A
com.google.cloud	google-cloud-service-management-bom	2.1.7		N/A
com.google.cloud	google-cloud-service-management-bom	3.0.0		N/A
com.google.cloud	google-cloud-service-management-bom	3.0.1		N/A
com.google.cloud	google-cloud-service-management-bom	3.0.2		N/A
com.google.cloud	google-cloud-service-management-bom	3.1.0		N/A
com.google.cloud	google-cloud-service-management-bom	3.1.1		N/A
com.google.cloud	google-cloud-service-management-bom	3.1.2		N/A
com.google.cloud	google-cloud-service-management-bom	3.1.3		N/A
com.google.cloud	google-cloud-service-management-bom	3.1.5		N/A
com.google.cloud	google-cloud-service-management-bom	3.1.6		N/A
com.google.cloud	google-cloud-service-management-bom	3.1.7		N/A
com.google.cloud	google-cloud-service-management-bom	3.10.0		N/A
com.google.cloud	google-cloud-service-management-bom	3.11.0		N/A
com.google.cloud	google-cloud-service-management-bom	3.12.0		N/A
com.google.cloud	google-cloud-service-management-bom	3.13.0		N/A
com.google.cloud	google-cloud-service-management-bom	3.14.0		N/A
com.google.cloud	google-cloud-service-management-bom	3.15.0		N/A
com.google.cloud	google-cloud-service-management-bom	3.16.0		N/A
com.google.cloud	google-cloud-service-management-bom	3.17.0		N/A
