app.cash.paparazzi	native-win	4.1.0-ae77d65		8d02cf07931a2d86bea59a44f7dbbd81d8bc65f8
com.btmatthews.ldapunit	ldapunit	1.1.0		63ae62b7a6fe5bcbc4be1900f63eb4816cf37b15
com.btmatthews.ldapunit	ldapunit	1.1.1		8feabe5a00ab7b9d780acc1723b6067e0a3e023e
com.btmatthews.ldapunit	ldapunit	1.1.2		fffdc0215c40ef8d099fb6fb20b03c0b7c9ef6b4
com.btmatthews.ldapunit	ldapunit	1.1.3		4c62d7183abfe864890135eca54f7236aaf3f0a5
com.btmatthews.ldapunit	ldapunit	2.0.0		e500e130e6c51898dab60f67d69dedeeeb256773
com.btmatthews.ldapunit	ldapunit	2.1.0		9d3b83592863c421e121b2634b04e47e874c3857
com.buschmais.jqassistant.core	jqassistant.core	1.0.0		N/A
com.buschmais.jqassistant.core	jqassistant.core	1.0.0-M1		N/A
com.buschmais.jqassistant.core	jqassistant.core	1.0.0-M2		N/A
com.buschmais.jqassistant.core	jqassistant.core	1.0.0-M3		N/A
com.buschmais.jqassistant.core	jqassistant.core	1.0.0-M4		N/A
com.buschmais.jqassistant.core	jqassistant.core	1.0.0-RC1		N/A
com.buschmais.jqassistant.core	jqassistant.core	1.1.0		N/A
com.buschmais.jqassistant.core	jqassistant.core	1.1.0-RC1		N/A
com.buschmais.jqassistant.core	jqassistant.core	1.1.0-RC2		N/A
com.buschmais.jqassistant.core	jqassistant.core	1.1.1		N/A
com.buschmais.jqassistant.core	jqassistant.core	1.1.2		N/A
com.buschmais.jqassistant.core	jqassistant.core	1.1.3		N/A
com.buschmais.jqassistant.core	jqassistant.core	1.1.4		N/A
com.codingapi.leaf	springboot-starter-leaf-parent	0.0.1		N/A
com.github.cameroncan	cachemanifest-maven-plugin	1.0.1		a0f7384d1a8fbcfa86de60c7aae642d681e3e04c
com.github.dapeng-soa	dapeng-container	2.0.5		N/A
com.github.dapeng-soa	dapeng-container	2.1.0		N/A
com.github.dapeng-soa	dapeng-container	2.1.1		N/A
com.github.dapeng-soa	dapeng-container	2.1.1-final		N/A
com.github.dapeng-soa	dapeng-container	2.2.0		N/A
com.github.dapeng-soa	dapeng-container	2.2.1		N/A
com.github.dapeng-soa	dapeng-container	2.2.2		N/A
com.github.fedorov-s-n.graphs	graphs	1.0		6967ed7b9f9b869d2e9c58fdca8171e4a60cb18f
com.github.fedorov-s-n.graphs	graphs	1.0.1		b469c71e57819e2db33c9dd5b3505c9def4a891c
com.github.gvr	metius_2.12	0.1.4		5d5bff2fdfef38e1084597a8e51f70d680c30560
com.github.gvr	metius_2.12	0.1.5		831fad3b5954e7d6a3cfa71e4ca5d387993b8e9c
com.github.jarlakxen	play-prerender_2.10	1.1		9dc85521f92bbba973e77f677aeed99088cd8c50
com.github.jstumpp	uups	0.1.0		f0294ee89df3fe699d04063af0b9af2a65f462bb
com.github.jstumpp	uups	0.1.1		c317b8004b780bf68fc947ce9635d471fb76c54b
com.github.kristofa	brave-spancollector-http	3.5.0		6cba41e5f069e19d8ef2f791461a1821a639ae1e
com.github.kristofa	brave-spancollector-http	3.6.0		8f7b2e1d64ffe143bd141152e6cc6bbaa8058224
com.github.kristofa	brave-spancollector-http	3.7.0		437af9d26787a87e830b46a14d53a17ff380519d
com.github.tanob	pixeldiff-sample	1.0.1		b4350be0cba4755506ba0e8bd7c7c85817f4ef54
com.google.cloud	google-cloud-phishingprotection	0.1.0		0b7365ed9fb3608bbc218624175186407bba7413
com.google.cloud	google-cloud-phishingprotection	0.10.0		d661ead88b6f000ebada16a05f02f0a57a81c62c
com.google.cloud	google-cloud-phishingprotection	0.11.0		3a884418ba64c82c38c1e6cd49adee8becb3892c
com.google.cloud	google-cloud-phishingprotection	0.12.0		1f77caffc9a750f33b26e9535654fa60195ee33a
com.google.cloud	google-cloud-phishingprotection	0.13.0		caf42772a29910f0a5bfc7b7c0168a34bbd0f16c
com.google.cloud	google-cloud-phishingprotection	0.14.0		736b4145b44ba6e4cce1b241ce19c10c3be3992c
com.google.cloud	google-cloud-phishingprotection	0.15.0		65ef43c216db2049cdcf80598be930f4c44e45e1
com.google.cloud	google-cloud-phishingprotection	0.16.0		d7937533c1bf312d93e01058ac96c342adcca62d
com.google.cloud	google-cloud-phishingprotection	0.17.0		3557b23fdee3c0dbb8fe82050d19067e5eb1ea2a
com.google.cloud	google-cloud-phishingprotection	0.18.0		f49b60310782dc86056034fa1f30762d542a5359
com.google.cloud	google-cloud-phishingprotection	0.19.0		5c13c12c5147cfde752c28b21849e72b5859db6a
com.google.cloud	google-cloud-phishingprotection	0.2.0		6cffb4e0fe6bae6a73c28249dc27d3b71ea3fe1b
com.google.cloud	google-cloud-phishingprotection	0.20.0		e5a566142df1202c69cb593143478a50a76f4266
com.google.cloud	google-cloud-phishingprotection	0.21.0		5b794781f6b8cc0bf47d08724b16e3df6fea8055
com.google.cloud	google-cloud-phishingprotection	0.22.0		391b7a481fb80ae4eece57d924827cedbe593aef
com.google.cloud	google-cloud-phishingprotection	0.25.0		3d91f15f4e9a8b4c976964bae3d5ab9e929398e6
com.google.cloud	google-cloud-phishingprotection	0.26.0		eac8bccfb76fbc526a3a24a59c41b20e2e9ae5f2
com.google.cloud	google-cloud-phishingprotection	0.27.0		42a8252117459cd35419c653ddb6dafc763f601d
com.google.cloud	google-cloud-phishingprotection	0.28.0		fbf8742718e1b7ff6685ca8bf305daea4fd30dda
com.google.cloud	google-cloud-phishingprotection	0.28.1		01c3afd98055e85ec866e4ecb23fb7dd7ed0f004
com.google.cloud	google-cloud-phishingprotection	0.28.2		ce4fb764f0c612b01acbe2768226b3ded5c21937
com.google.cloud	google-cloud-phishingprotection	0.28.3		21f59036230ada32b829d03e31b2b10df942c113
com.google.cloud	google-cloud-phishingprotection	0.28.4		a817f18b1bbd66c49430ca065634d5ad27cd2b4c
com.google.cloud	google-cloud-phishingprotection	0.29.0		4d5ae560cee76a5aa73b9cc1a240520373adb542
com.google.cloud	google-cloud-phishingprotection	0.29.1		8f4ef8ccfe142b86abfb2f2850bf8b7e396b317a
com.google.cloud	google-cloud-phishingprotection	0.29.11		536dfde3332e4797655497c006c1f57c245380bd
com.google.cloud	google-cloud-phishingprotection	0.29.12		e0ff4dfa341fe293920cd5a1eab87bb0e7662872
com.google.cloud	google-cloud-phishingprotection	0.29.13		3f9eb860aaf0906efa9cf7367f5079d335455f4f
com.google.cloud	google-cloud-phishingprotection	0.29.14		cb99e6c9656814a519f5eaf3b0c3af178cf9a7dc
com.google.cloud	google-cloud-phishingprotection	0.29.15		5a02e473e6bf6dd31859fb28e0db701a6eb6cc53
com.google.cloud	google-cloud-phishingprotection	0.29.16		1d3f892f8d0b6c335fb17780a1fa6a0fa976df03
com.google.cloud	google-cloud-phishingprotection	0.29.17		f5ba428adca958c8cd26abb84cee36290d0bf019
com.google.cloud	google-cloud-phishingprotection	0.29.18		1c00f5564759e16ec10767837569e8d69de57382
com.google.cloud	google-cloud-phishingprotection	0.29.19		f44200d50baae713e82412af79bfb703580e93e2
com.google.cloud	google-cloud-phishingprotection	0.29.2		5b4b3401a6aff431ca9df9cfbb9b9a4e31fae26c
com.google.cloud	google-cloud-phishingprotection	0.29.3		e0558635126c2ef19cf6ec5ea76dbbf2e8cc186f
com.google.cloud	google-cloud-phishingprotection	0.29.5		49a1b4beb56bee46f062cf4585f32ab1ba2a8160
com.google.cloud	google-cloud-phishingprotection	0.29.6		7d95f65765f0c5e1f99f243fb99d0da64d18b258
com.google.cloud	google-cloud-phishingprotection	0.29.7		a28c8f49520a702a678218f0e082b6fdb9dcd875
com.google.cloud	google-cloud-phishingprotection	0.29.8		8b890f79ee823dd7887794614793b5342de618ff
com.google.cloud	google-cloud-phishingprotection	0.29.9		9bf2c5aac62ae059638a9b8f1029809f1519aba6
com.google.cloud	google-cloud-phishingprotection	0.3.0		e268f018b22c351b586dd2bfcdcc3395d9713881
com.google.cloud	google-cloud-phishingprotection	0.30.0		7a5d82ea84fd331f1a7e803fa763e01585cff436
com.google.cloud	google-cloud-phishingprotection	0.30.1		59e5ad41e6fa9f6866586e97e5b425676993ec56
com.google.cloud	google-cloud-phishingprotection	0.30.2		b29a797a981830884147867c9c6cad89acfeb43a
com.google.cloud	google-cloud-phishingprotection	0.31.0		7db4237b0e024dcb7add7e9271e7903789e0ab74
com.google.cloud	google-cloud-phishingprotection	0.31.1		eb18e49846bdbd50924f50297b109bd436875092
com.google.cloud	google-cloud-phishingprotection	0.31.2		4790164562b38c143bc553139d0887aaa0d15981
com.google.cloud	google-cloud-phishingprotection	0.32.0		1cd5caffffe7d2839b947549ba5874aad320e638
com.google.cloud	google-cloud-phishingprotection	0.32.1		a7223fd7784ac9edb0af4c30caae5035aa232573
com.google.cloud	google-cloud-phishingprotection	0.32.10		e7b7746462e9196e66bbb0f646d60db7efc60f6b
com.google.cloud	google-cloud-phishingprotection	0.32.11		13c7e18502042b090d616bb85fdc4358db83f1fe
com.google.cloud	google-cloud-phishingprotection	0.32.2		ef5af7f58d516ef013dc8409dd110a534cf5c003
com.google.cloud	google-cloud-phishingprotection	0.32.3		dc176b79c5e0bf10f4bde65b432a70c8937da9e7
com.google.cloud	google-cloud-phishingprotection	0.32.4		eac38ad73eeafb7d5e2e71d0f2dc344ce1b22dc8
com.google.cloud	google-cloud-phishingprotection	0.32.5		2aca6813f9b3063db253c458833ad73734ef7b80
com.google.cloud	google-cloud-phishingprotection	0.32.6		efe281513c3c41bd98f4891441654e111d0b2b87
com.google.cloud	google-cloud-phishingprotection	0.32.7		401629c5ac637ccb67571a80f2566bc2687393be
com.google.cloud	google-cloud-phishingprotection	0.32.8		08e7dc382b9d7770f68fc509201bff0d345f5c82
com.google.cloud	google-cloud-phishingprotection	0.32.9		47354732da5ae2f3317708c589166353c3560634
com.google.cloud	google-cloud-phishingprotection	0.33.0		16702ebb57e9499042ca22492c32c2aa41e109b6
com.google.cloud	google-cloud-phishingprotection	0.33.1		b1efc5ef6d722329f5f1e3c02eb67a5d7be3da1a
com.google.cloud	google-cloud-phishingprotection	0.34.0		972be12102fdd15e8d673a74fbe90ab4b12f9daf
com.google.cloud	google-cloud-phishingprotection	0.34.2		3f39b764286adbe0641c07c8c011c1ab356b01d3
com.google.cloud	google-cloud-phishingprotection	0.34.4		8385b4dcb6c6cbe92c1c04782976963305ce04f8
com.google.cloud	google-cloud-phishingprotection	0.34.6		28dc433fda14fd4e545c43b3bc0607d6060657c3
com.google.cloud	google-cloud-phishingprotection	0.35.0		fdfb5456db33f6ef67b7ec090f8280bc5f5db7d6
com.google.cloud	google-cloud-phishingprotection	0.36.0		6a888e0d80295c4b8e667e2b34f7e1ce292f0eed
com.google.cloud	google-cloud-phishingprotection	0.37.0		21a314b7775905a85de40d41d1183c5025f34b26
com.google.cloud	google-cloud-phishingprotection	0.38.0		6dc2dd45c3cc6a8a33fa70cc9b303878b7cbdfb2
com.google.cloud	google-cloud-phishingprotection	0.39.0		13c0eb0a682d9aab593404282fec3fd97a596b79
com.google.cloud	google-cloud-phishingprotection	0.4.0		f953520939de982ec97739e4e44908f2f642bbcd
com.google.cloud	google-cloud-phishingprotection	0.40.0		2ead2f8a75cbb0fe04a36de2d30b05a310d02473
com.google.cloud	google-cloud-phishingprotection	0.41.0		fd8ecd2f512fd26f9aa0e5b215d118a3313f477a
com.google.cloud	google-cloud-phishingprotection	0.42.0		944f0f8c0ec6c8f36ac2998931d53afeab856b78
com.google.cloud	google-cloud-phishingprotection	0.43.0		ca25afd7d27b12bd5710da97d8bbacb558dfb429
com.google.cloud	google-cloud-phishingprotection	0.44.0		d8ba6c39b85969212b6c453bfbaa6fe2b289ac67
com.google.cloud	google-cloud-phishingprotection	0.45.0		5be649a7d77fa1d120290e9b369a3f8164c74254
com.google.cloud	google-cloud-phishingprotection	0.46.0		1d21681405f612f6464d475d0037da5ce16e4295
com.google.cloud	google-cloud-phishingprotection	0.47.0		cdde85f2706241a7e4c819e19df722889d8aafeb
com.google.cloud	google-cloud-phishingprotection	0.48.0		81f8cabf53b9cde9f01b7eaea2b0f570b6c120fc
com.google.cloud	google-cloud-phishingprotection	0.49.0		1242c3c78474170245719ad12d366b36105af0e4
com.google.cloud	google-cloud-phishingprotection	0.5.0		15bfc6196e44ae3ff871f295882dbbe2be892bdc
com.google.cloud	google-cloud-phishingprotection	0.50.0		600cc6d7f264d32a69500c1d67e9e44dfbffc29c
com.google.cloud	google-cloud-phishingprotection	0.51.0		02564b9d3a07fc4cfa45594fb8438b3b38f79b3e
com.google.cloud	google-cloud-phishingprotection	0.52.0		288b7d645bb60c268ff5d52fbd06d020dcd73ccd
com.google.cloud	google-cloud-phishingprotection	0.53.0		7a77f05f34b6796e78372d67e27d18fe3d5c8c12
com.google.cloud	google-cloud-phishingprotection	0.54.0		dc25274ccce23b88c2c815971bd49e6d2180f468
com.google.cloud	google-cloud-phishingprotection	0.55.0		aa8589a6d2d628459ccdabe852b1d660255b2101
com.google.cloud	google-cloud-phishingprotection	0.58.0		2040a26729fa42a715b9716254a53ed28bcb747e
com.google.cloud	google-cloud-phishingprotection	0.59.0		3bf7f883ac7788d6b88043997419f6b60ae32921
com.google.cloud	google-cloud-phishingprotection	0.6.0		ec22066481eafbdf679ffe409cda6f16ee8a8c9d
com.google.cloud	google-cloud-phishingprotection	0.60.0		2130eab97b56003405ff7c40c811285071fdc600
com.google.cloud	google-cloud-phishingprotection	0.61.0		5c2a6f77e43967f2e0c93cb273300d5f5abd486d
com.google.cloud	google-cloud-phishingprotection	0.62.0		4e650b556804faad3c0508da0c5873dba04b89e9
com.google.cloud	google-cloud-phishingprotection	0.63.0		1a40fa6a5d377cf59f5f4f912a7d2f94904d6a15
com.google.cloud	google-cloud-phishingprotection	0.64.0		9cfd732783232d4ad6512dd77b2c3f71aeb7a0b8
com.google.cloud	google-cloud-phishingprotection	0.65.0		28713e8f8952e12c814fa538e809bb4b6da5af4e
com.google.cloud	google-cloud-phishingprotection	0.66.0		540b8182c8ae2f0eb307faf5d7224ccee5d4f8a0
com.google.cloud	google-cloud-phishingprotection	0.67.0		55999b227a1d7bb67c4853e302647b258f88efe1
com.google.cloud	google-cloud-phishingprotection	0.68.0		3ba9bb8be70f59934c864852426a4f3c099034d1
com.google.cloud	google-cloud-phishingprotection	0.69.0		e8fcdbb6251727b7efbcb36022d7dd6b50c8da4e
com.google.cloud	google-cloud-phishingprotection	0.7.0		cdb56837a0d37c8a6b4289a7cc3f1ffb91cc6772
com.google.cloud	google-cloud-phishingprotection	0.70.0		534bd83daebf92b60479a0c6de428fa6f2efff73
com.google.cloud	google-cloud-phishingprotection	0.71.0		bfb094e6bec08c476d8f02f3397b308496cb9538
com.google.cloud	google-cloud-phishingprotection	0.72.0		f4e787de38dd8457ed462e8e9084fd8163ce1479
com.google.cloud	google-cloud-phishingprotection	0.73.0		ba410b193ada5794f3e8ee2aa04528c5ec323cd2
com.google.cloud	google-cloud-phishingprotection	0.74.0		bc5da621e5c401bee11748c9580cc7af7a37c505
com.google.cloud	google-cloud-phishingprotection	0.75.0		1f8ce8311a7e213b590c25fe8121c87d27e2bb35
com.google.cloud	google-cloud-phishingprotection	0.76.0		610f287a372ea623b6077aa5d6c2543c361928f0
com.google.cloud	google-cloud-phishingprotection	0.77.0		0f401da366732185de52ff3750d58edc66d38265
com.google.cloud	google-cloud-phishingprotection	0.78.0		2c34a46bad8c6b31752e1ff9737985d0315abd98
com.google.cloud	google-cloud-phishingprotection	0.79.0		8a66b97a323b977879ed8f7b2e4d2b8597362b48
com.google.cloud	google-cloud-phishingprotection	0.8.0		870afc537d3ab4b652ba15f629bed7c10c044aa2
com.google.cloud	google-cloud-phishingprotection	0.80.0		b0eb871adfbf3b6a6ba4ce0110779c904efc889f
com.google.cloud	google-cloud-phishingprotection	0.82.0		608022f1b5134df2c7e2b5b4101f76a76698269f
com.google.cloud	google-cloud-phishingprotection	0.83.0		f1fda0191891a2cb4211ebe1d1f80ce97b526834
com.google.cloud	google-cloud-phishingprotection	0.84.0		591c6e91869e1fa659f64c2e0977a9b8384ff831
com.google.cloud	google-cloud-phishingprotection	0.85.0		9bc4ba753248596d70694d5154ff5f570fe562bf
com.google.cloud	google-cloud-phishingprotection	0.86.0		bbf38b40646eb71a9bdfc977d608670b01fcab03
com.google.cloud	google-cloud-phishingprotection	0.87.0		37c8c3c904ea4fc82cfeddf46470b725e6e94028
com.google.cloud	google-cloud-phishingprotection	0.88.0		cc1af1e534aafaf581b3fd107e6e7b89d8002f3e
com.google.cloud	google-cloud-phishingprotection	0.89.0		48901dbaa0ddff82ef863749dfafb868b3972650
com.google.cloud	google-cloud-phishingprotection	0.9.0		56e45d200c5332e2ccc6bf271c6a7ba672e29d6b
com.google.cloud	google-cloud-phishingprotection	0.90.0		04cbdf7b3ee8d77eff9c74e34263de6fd8db42c1
com.google.cloud	google-cloud-phishingprotection	0.91.0		e90280c9acf456240c2168054d53bde1730f8e7e
com.google.cloud	google-cloud-phishingprotection	0.92.0		bfef9588e5fd0b394dd0119ee1dda0b5cfa2676f
com.harana	scalajs-react-color_sjs0.6_2.12	1.0.0		f89f5e5f14af08b7bd31d3c4ca8b39a097be6c72
com.harana	scalajs-react-color_sjs0.6_2.12	1.1.0		f6955174fb30c76796892d824e682b7b45d2baa7
com.huaweicloud.sermant.examples	sermant-examples-archetype	0.0.1		ff9fac6c700957d20de603e1a7192720bb5958bb
com.huaweicloud.sermant.examples	sermant-examples-archetype	0.0.2		5f09e4b407c08a3cf51b591b95316133c7a5205a
com.hubspot	BaragonWatcher	0.1.10		0c36b0660bbab304ea1f8c7fab43fabe888a01ad
com.hubspot	BaragonWatcher	0.1.11		877eb50dcd94ae484f0909f7dd6eafbb1ea0a265
com.hubspot	BaragonWatcher	0.1.12		853bfbf79f096e8dd5b388b78ee7732917e0fec1
com.hubspot	BaragonWatcher	0.1.5		81979cf059f4aeffd967a5a6c2af3e2dfa49f126
com.hubspot	BaragonWatcher	0.1.6		645444cf0a78cfe65521b466a80038f1c6750393
com.hubspot	BaragonWatcher	0.1.7		b49713c9a088cc5b89f366df7ad95dda421afb4f
com.hubspot	BaragonWatcher	0.1.8		1d29d200162344fb8f22b553a3b8060110d4525c
com.hubspot	BaragonWatcher	0.1.9		eeed99b612a8d5fd4a9840d44a70575f6adc73fa
com.hubspot	BaragonWatcher	0.2.0		12be739720550023c49ef14f1766e732f588eefd
com.hubspot	BaragonWatcher	0.2.1		23cb89859a21a428abd243ad0d52b9d472d2df70
com.hubspot	BaragonWatcher	0.3.0		395388023e89ec1faf369d301a45a40701d35ec8
com.hubspot	BaragonWatcher	0.4.0		e92bc24a6fd1d94a9cd3e036d466dad9ef3e0ed6
com.hubspot	BaragonWatcher	0.5.0		8f133eb0f71261ae4f707c323e8122b4c98a424c
com.hubspot	BaragonWatcher	0.6.0		839cf06af84cf3c54d8b9cc4d87516071ba91d00
com.hubspot	BaragonWatcher	0.6.1		369e519d47049f72394c4532a353db4097290d64
com.hubspot	BaragonWatcher	0.6.2		fab3bdf89130c936a59c939f16623ad716ccb8c0
com.hubspot	BaragonWatcher	0.7.0		f603b6989bde1e39c5e998a600f015a5d2b21cfb
com.hubspot	BaragonWatcher	0.8.0		658cb89e90543de8aaec4ee6083a3682e31ba289
com.hubspot	BaragonWatcher	0.9.0		ccb7c10d1d1192466f235d804d2c4dee7f289889
com.kosdev.kos.app.ddk	ddk.core	1.3.4		31133eebb572cd67a277114e8b256f5dfc142f89
com.kosdev.kos.app.ddk	ddk.core	1.3.7		492dd173327e43c3f6b4ad5f5f090ef9a299f53a
com.linecorp.armeria	armeria-spring-boot	0.46.0		9d1f9a5fa393d2c330ad90b9a5a3c051f553dc52
com.linecorp.armeria	armeria-spring-boot	0.46.1		489b83cc9483101e674c2778a05733a03b05303a
com.linecorp.armeria	armeria-spring-boot	0.46.2		e63102ec813489656b4dbe22a61dfac08f8291ee
com.linecorp.armeria	armeria-spring-boot	0.46.3		122cf9453e963879f343a6508501cdfa01b621ef
com.linecorp.armeria	armeria-spring-boot	0.46.4		5e2cb1cee539e458c71744cf90079cb2d939c15e
com.linecorp.armeria	armeria-spring-boot	0.47.0		497ece6770557bbddb36a89bdb7eebf68265acc2
com.linecorp.armeria	armeria-spring-boot	0.48.0		93f6d02cd9f5276c9a65f65eabf2b63b0fb491d6
com.linecorp.armeria	armeria-spring-boot	0.49.0		c8bca48b439e4addf8374f69b2dc777ed8704a9e
com.linecorp.armeria	armeria-spring-boot	0.50.0		98f981825b3ff73dbffaedcc289956d55dbddaf6
com.linecorp.armeria	armeria-spring-boot	0.51.0		c6f351d973d00dc531530a785d26fda733aeb6fd
com.linecorp.armeria	armeria-spring-boot	0.52.0		e751c90240957c3384c5c5bb2dc0a3ce762ee838
com.linecorp.armeria	armeria-spring-boot	0.52.1		44b5da16e7e71b811f3ada9589e072aeeb700326
com.linecorp.armeria	armeria-spring-boot	0.53.0		c213ea37bdf71daea2ebb5265547423021f4eed2
com.linecorp.armeria	armeria-spring-boot	0.53.1		8c1d5bc84934d5378f74ae904795beeac0b81281
com.linecorp.armeria	armeria-spring-boot	0.53.2		9c30ea9385b84e7ce10e175b80119f0477c7429a
com.linecorp.armeria	armeria-spring-boot	0.54.0		5d390b528612e6c647d608202c17251d049e29b3
com.linecorp.armeria	armeria-spring-boot	0.54.1		16db4cced95154a9558e98bdb6159b9ac196d3cf
com.linecorp.armeria	armeria-spring-boot	0.54.2		38a7bab968ff74c088e748c023ff9f2cea08de07
com.linecorp.armeria	armeria-spring-boot	0.55.0		67dc8c5ccf931e86f0f64ef8d9661c9f3c5a99f6
com.linecorp.armeria	armeria-spring-boot	0.55.1		206954d0634dac9e0c771a8dccc9cbb7b3042182
com.linecorp.armeria	armeria-spring-boot	0.56.0		5dc6a6e816c2b49929fc90d5b8ac9d27debe8c88
com.linecorp.armeria	armeria-spring-boot	0.56.1		a0e505b4ca8727e0f0740f4e16d8d957b7bbe94d
com.soywiz	korlibs-checksum-macosarm64	6.0.0		N/A
com.soywiz	korlibs-checksum-macosarm64	6.0.0	metadata	d63b86de0237dd9a973d56504761298375332f29
com.soywiz	korlibs-checksum-macosarm64	6.0.0-alpha2		N/A
com.soywiz	korlibs-checksum-macosarm64	6.0.0-alpha2	metadata	d8f31622322b5230d2daaeb4d4d1cb74762cf5e8
com.soywiz	korlibs-checksum-macosarm64	6.0.0-alpha3		N/A
com.soywiz	korlibs-checksum-macosarm64	6.0.0-alpha3	metadata	14fb3526c4dcf4d10d13ac7ddd139eeb63f26059
com.soywiz	korlibs-checksum-macosarm64	6.0.0-alpha4		N/A
com.soywiz	korlibs-checksum-macosarm64	6.0.0-alpha4	metadata	fa5b3b6a6a69ed31f446c68d41596444958f7d35
com.soywiz	korlibs-checksum-macosarm64	6.0.0-alpha5		N/A
com.soywiz	korlibs-checksum-macosarm64	6.0.0-alpha5	metadata	91b145f5d59badb15c62337af0978e8f9941393e
com.soywiz	korlibs-checksum-macosarm64	6.0.0-alpha6		N/A
com.soywiz	korlibs-checksum-macosarm64	6.0.0-alpha6	metadata	0be0e61d220d6bc96f60f3ee37f3d1c74e1e58b6
com.soywiz	korlibs-checksum-macosarm64	6.0.0-alpha7		N/A
com.soywiz	korlibs-checksum-macosarm64	6.0.0-alpha7	metadata	37ab654cdbad2a99cd33ef405de7955dec6d702b
com.soywiz	korlibs-checksum-macosarm64	6.0.0-alpha8		N/A
com.soywiz	korlibs-checksum-macosarm64	6.0.0-alpha8	metadata	41e2b3007e15a036a61ff40ba6772a5f41d57831
com.soywiz	korlibs-checksum-macosarm64	6.0.0-alpha9		N/A
com.soywiz	korlibs-checksum-macosarm64	6.0.0-alpha9	metadata	f5f999aacb855d6f198400d495338e2cfc7b773f
com.specdevs	specgine_2.10	0.1		41d614aa53384637cab70ef296c0a34799d4d80a
com.specdevs	specgine_2.10	0.1.1		3e04d586d7d458ed23cad2947817d83dce489ab9
com.testvagrant	testvagrant-observability-sdk	0.0.1		b24e82cca25aaec6f7a843edbe7b5072d6dc1240
com.tomergoldst.android	progress-circle	1.0.2		N/A
com.vertispan.gwtsupport.org.dmfs	rfc5545-datetime	0.2.4-1		39c416d94e69a485d39224e71c02a52fff3bd1c8
