cc.concurrent	config-parent	0.1		N/A
com.github.finagle	finagle-oauth2_2.12	18.7.0		d5fd4371a2e8f4c1a7a3765d39a5c488c260f16b
com.github.finagle	finagle-oauth2_2.12	18.8.0		b9246fdde3c1e49e05abaaf4438ba5a33bd345c9
com.github.finagle	finagle-oauth2_2.12	19.1.0		1270866e012691cd5c513dcbf132b82a9e934120
com.github.finagle	finagle-oauth2_2.12	19.2.0		773fd6bc34fc229c4fe96da5908fb87bd40b13ea
com.github.finagle	finagle-oauth2_2.12	19.3.0		22ef63e4061e6de7a35a5b0f51ea2bca8ac8fa4f
com.github.finagle	finagle-oauth2_2.12	19.4.0		79d5130a4a5f63c5d22ba307d52a7c7c4aaa53f8
com.github.finagle	finagle-oauth2_2.12	19.5.1		79526afd86a13bb574e3c3aad727da5e437a2aa7
com.github.finagle	finagle-oauth2_2.12	19.6.0		fe4ddcc07a1af8e5c446b500c3c207d04d48cca7
com.github.finagle	finagle-oauth2_2.12	19.7.0		f1f603e986ab420e5180cf6b9c0140678f259a73
com.github.finagle	finagle-oauth2_2.12	19.8.0		ffc39d8450fe4e10c09d7c55407d188abe3b25ca
com.github.kushsaini10	connectivity-idling-resource	1.0.0		N/A
com.github.ldaniels528	scalajs-angularjs-nvd3_sjs0.6_2.11	0.2.3.1		b39c50244be1e4d02c7d0841020952e81f430273
com.github.ldaniels528	scalajs-angularjs-nvd3_sjs0.6_2.11	0.2.3.2		f5d33ce57a846fb9424b283287045ed03b7e7509
com.github.lolgab	scalasql_native0.5_3	0.1.15		fcbef57b3c7d082f3ef6fdf3612b8338a1439e11
com.github.xujiaji.erupt	erupt-cloud-common	1.12.17		dfbd9748dd26860d92d7572c88c9d38a1dcec972
com.github.xujiaji.erupt	erupt-cloud-common	1.12.3		6cadbd2bbf89e661c1c2e46f62d5fa31f6d5b888
com.github.xujiaji.erupt	erupt-cloud-common	1.12.4		0fa45d2bd74b8a51e71338a690b1f4c825190cea
com.kohlschutter.jdk.compiler	standalone	1.0.0		N/A
com.kohlschutter.jdk.compiler	standalone	1.1.0		N/A
com.kohlschutter.jdk.compiler	standalone	1.1.1		N/A
com.kohlschutter.jdk.compiler	standalone	1.1.2		N/A
com.kohlschutter.jdk.compiler	standalone	1.1.3		N/A
com.lephix	easy-spring-boot-starter	1.0		ac791f01f30ec6408ef51c238e38d10d2da653de
com.lephix	easy-spring-boot-starter	1.1		f429a7086e013feecb1964dfdf239b038c9431ec
com.liferay	com.liferay.portal.tools.java.parser	1.0.0		7335f67692d9562bf0c71d5ba822cb73d0e68f92
com.liferay	com.liferay.portal.tools.java.parser	1.0.1		626f0a011f4b4dae6043fdebb858cdb078e50248
com.liferay	com.liferay.portal.tools.java.parser	1.0.10		d3a14b62f8bf7cf2c19dbd06f1a5b49c8ec9b1a4
com.liferay	com.liferay.portal.tools.java.parser	1.0.11		75beb536bf0160ccae393e19148d8156e95d5d09
com.liferay	com.liferay.portal.tools.java.parser	1.0.12		0324a59de79bf6887bb3449d1ff5da190f451205
com.liferay	com.liferay.portal.tools.java.parser	1.0.13		79564b553ce7b38c861a3c8914862ee8ef269358
com.liferay	com.liferay.portal.tools.java.parser	1.0.14		90d399e7fe71e47c0fd7931d578adeda54988f60
com.liferay	com.liferay.portal.tools.java.parser	1.0.15		447b5188205b75c0959d675400b818fcb84e3598
com.liferay	com.liferay.portal.tools.java.parser	1.0.16		2ec4b84bfb8d93bce4e73241eb76eff90a17ef1e
com.liferay	com.liferay.portal.tools.java.parser	1.0.17		57ace61a87f98b5bbbd0b666b211145801247217
com.liferay	com.liferay.portal.tools.java.parser	1.0.18		3b40520fed9c2a7ae6cafd9a8c9286011505370a
com.liferay	com.liferay.portal.tools.java.parser	1.0.19		1cd6954c5dc378119ac5df5590d618e6b7664846
com.liferay	com.liferay.portal.tools.java.parser	1.0.2		cbdd19f0aa7625721737a358ee36fa3f6d25df8c
com.liferay	com.liferay.portal.tools.java.parser	1.0.20		2fa0fdb64e49fcd34ae65798459b0c80c0c04e0c
com.liferay	com.liferay.portal.tools.java.parser	1.0.21		17d97cbe7438cee40d8727dd7a4fd1522aedad1e
com.liferay	com.liferay.portal.tools.java.parser	1.0.22		761eeaa4890ada899db7927a945484674a33271b
com.liferay	com.liferay.portal.tools.java.parser	1.0.23		379470a85283410f1ceb315ff5fe439e1e659e75
com.liferay	com.liferay.portal.tools.java.parser	1.0.24		97dcb2832a44dbb0c8bbfab223f1d73d59583f1b
com.liferay	com.liferay.portal.tools.java.parser	1.0.25		5fa41df12b597fe0aedd69eb0ca744e08d238f9e
com.liferay	com.liferay.portal.tools.java.parser	1.0.26		b46c5bd39f24169b1f841f96e3623276424a904a
com.liferay	com.liferay.portal.tools.java.parser	1.0.27		f3abaf7efa4866cebe81ecd26b5f3de2e6adba1d
com.liferay	com.liferay.portal.tools.java.parser	1.0.28		ab31e19a110cad38482f5bc190893a56d6865d1b
com.liferay	com.liferay.portal.tools.java.parser	1.0.29		b672ca9e249b0f35ab44589f95eb66800d46153c
com.liferay	com.liferay.portal.tools.java.parser	1.0.3		af983ef372dce6fe18ec2de605285de0f2019d5f
com.liferay	com.liferay.portal.tools.java.parser	1.0.30		0c869f43000a3725276a480a7ab19a21745df8f0
com.liferay	com.liferay.portal.tools.java.parser	1.0.31		d94e0b33151d784799aa9e926c86cfaae2f0ee4f
com.liferay	com.liferay.portal.tools.java.parser	1.0.32		0bbdb61e5759b8ebe67c9d51d2a7d6ed2ea7f8f2
com.liferay	com.liferay.portal.tools.java.parser	1.0.33		2335776a935d4bf65a08b515f0354825a3c9d561
com.liferay	com.liferay.portal.tools.java.parser	1.0.34		7c94a4a18595dd2eb0f226cbc3de468601a80de9
com.liferay	com.liferay.portal.tools.java.parser	1.0.35		aad077d32efb3f598d7d56c9e0bfbf808056009a
com.liferay	com.liferay.portal.tools.java.parser	1.0.36		c9116da4488b31d46ce0bd4c3de3e5866c4b88b8
com.liferay	com.liferay.portal.tools.java.parser	1.0.37		af739348e70b32e8e75b56f8cb63af95d4a2ae55
com.liferay	com.liferay.portal.tools.java.parser	1.0.38		1ae97b3fa2cf4db8590a39b46b61549923c87520
com.liferay	com.liferay.portal.tools.java.parser	1.0.39		e3ffcf166b4815a68e062f255f455db567bad6f4
com.liferay	com.liferay.portal.tools.java.parser	1.0.4		fab60f6e0b6f5662dddf4f39ee2cf1ee869ba6f4
com.liferay	com.liferay.portal.tools.java.parser	1.0.40		048fbb75be97ab734206eb87664aacf2ef39e7b8
com.liferay	com.liferay.portal.tools.java.parser	1.0.41		1643cfcb405efbe6f6792a2cebdc60e6e2180e65
com.liferay	com.liferay.portal.tools.java.parser	1.0.42		6a5e2eb42c713a652666b6fb5dec5e0e9ecc23cb
com.liferay	com.liferay.portal.tools.java.parser	1.0.43		8c616089562459fb3a8b84fdee71ad3d3e089a61
com.liferay	com.liferay.portal.tools.java.parser	1.0.44		bba899f1d1d62a2670fce8a51567ebb93ca48f3f
com.liferay	com.liferay.portal.tools.java.parser	1.0.45		37d9e387fabbd8d5710f756204ab91e39791f702
com.liferay	com.liferay.portal.tools.java.parser	1.0.46		3a69237c566b193c0ee069e28a06b91ef86fe48f
com.liferay	com.liferay.portal.tools.java.parser	1.0.47		14ad6271ebe7d5ba39ab18c3693cb513bbee99e7
com.liferay	com.liferay.portal.tools.java.parser	1.0.48		538744e0b45b68557069e32dfeca3c4e4593d986
com.liferay	com.liferay.portal.tools.java.parser	1.0.49		a3209e1e34ebe1204017e126e2486afc97bd4528
com.liferay	com.liferay.portal.tools.java.parser	1.0.5		abe82081c84e5516a74b376a123b1a0a429f4b72
com.liferay	com.liferay.portal.tools.java.parser	1.0.50		caaf2b7daa7098ad0d1d5a9c51fd8a413707a471
com.liferay	com.liferay.portal.tools.java.parser	1.0.51		fdfdb11c069e46133c42b08e51e5293655542e3b
com.liferay	com.liferay.portal.tools.java.parser	1.0.52		00e5249e3dd1ccb15b4c9567df0bf8526da6992f
com.liferay	com.liferay.portal.tools.java.parser	1.0.53		ef1a6d326b6d185f199295069c4974ae739e26c2
com.liferay	com.liferay.portal.tools.java.parser	1.0.54		b23c0b4895dd0e4840d0b9c82d4504e2195965ba
com.liferay	com.liferay.portal.tools.java.parser	1.0.55		3127c24630cabe15140183c58227996528f47290
com.liferay	com.liferay.portal.tools.java.parser	1.0.6		81b57787e3d4fd1f0643d2a7786b3edf0cfa2636
com.liferay	com.liferay.portal.tools.java.parser	1.0.7		a143b1581fc303928684a90020726dce4e293b7b
com.liferay	com.liferay.portal.tools.java.parser	1.0.8		89c3d9f9d1a286b45e80d4d2196c16b1d10f57e0
com.liferay	com.liferay.portal.tools.java.parser	1.0.9		fa6ed0bb39b526c310cac32e3e87ca9f50108f1e
com.liferay	com.liferay.scr.reference.dynamic.greedy.test.impl	1.0.0		1523491267099313a598ac0684667cde00cb7a53
com.lihaoyi	acyclic_2.12	0.1.5		39bfba3a5b00c35267ac4a2691fc07910c24dc11
com.lihaoyi	acyclic_2.12	0.1.6		84529196b99c8d6ccd02015c39eed1c781089e3b
com.lihaoyi	acyclic_2.12	0.1.7		c0f08b6ef3df51543b64f6bdb3fe9e58531f44e8
com.lihaoyi	acyclic_2.12	0.1.8		417ff8dfd83e4136f088b2f68fd99359fb032051
com.lihaoyi	acyclic_2.12	0.1.9		54ed2ed1ba61d56e6ef14fa6be79df6a42d0b7b4
com.lihaoyi	acyclic_2.12	0.2.0		9e2b96e27c11b9bc3accf40d03a8ee0b7f8887ce
com.lihaoyi	acyclic_2.12	0.2.1		29fdbd60430777188c207cdb344359955b6176ab
com.lihaoyi	cssparse_sjs0.6_2.13	2.1.3		b0f6b2df028cd4377246287ab64728a3a460aec4
com.lihaoyi	cssparse_sjs0.6_2.13	2.2.0		ba897597c07485c0950d939f940ae70abe3cc952
com.lihaoyi	cssparse_sjs0.6_2.13	2.2.1		b81593380b5d2e35bcbc009c594048f1d38479b2
com.lihaoyi	cssparse_sjs0.6_2.13	2.2.2		722ff3729a114b8e7ca18414ebf621eb30989314
com.lihaoyi	cssparse_sjs0.6_2.13	2.2.3		d8bc6dd8dd807a1c62e09644ee7eeaaedfe07bc0
com.lihaoyi	cssparse_sjs0.6_2.13	2.2.4		868a0c40c87444d39d85a423b94a007dc2abe728
com.lihaoyi	cssparse_sjs0.6_2.13	2.3.0		ea513291984ff3a446ff23799b94e61008dca700
com.mayakapps.kache	file-kache-okio-only-watchosarm32	2.0.0-rc01		N/A
com.mayakapps.kache	file-kache-okio-only-watchosarm32	2.0.0-rc01	metadata	5b2bd028b4385ead56915e609fe16296ec687d10
com.mayakapps.kache	file-kache-okio-only-watchosarm32	2.0.0-rc02		N/A
com.mayakapps.kache	file-kache-okio-only-watchosarm32	2.0.0-rc02	metadata	c6a802966745d983d026b25ea8a7c4efbcaa44f2
com.merkle.oss.magnolia	magnolia-dynamic-builder-common	1.5.10		9a6881ce34ed6749526fe3281ae1d74b740bee8e
com.merkle.oss.magnolia	magnolia-dynamic-builder-common	1.5.11		0c4eb7731d32fff2d63b9cd5d973186d08a20d1d
com.merkle.oss.magnolia	magnolia-dynamic-builder-common	1.5.12		5ad0c7bfa50baeeb0c00e2d82bc16bf5c674c81e
com.merkle.oss.magnolia	magnolia-dynamic-builder-common	1.5.5		60ffc9f5051503d98ad110b321ab31b39a2fcd44
com.merkle.oss.magnolia	magnolia-dynamic-builder-common	1.5.6		daa6830683d98063ee3df4c6bc4824557bac44ad
com.merkle.oss.magnolia	magnolia-dynamic-builder-common	1.5.7		f5f63d420e8989a6c948037a16225d3e6d13df25
com.merkle.oss.magnolia	magnolia-dynamic-builder-common	1.5.8		9b2f1ee68b414a4cfc87b8d130c295e44f73e7b9
com.merkle.oss.magnolia	magnolia-dynamic-builder-common	1.5.9		68926604dde32cf910fee92bd0072d529d039eec
com.merkle.oss.magnolia	magnolia-dynamic-builder-common	1.6.0		ccb1dc26729f26354c2b588c9e9f70a6a5515ca4
com.merkle.oss.magnolia	magnolia-dynamic-builder-common	1.6.1		8b56da9fd9732f80b460e2796f004658aac67374
com.merkle.oss.magnolia	magnolia-dynamic-builder-common	1.6.2		3401ca473ccf733fde005a3efb3b84a5f50d62bc
com.mofeejegi.alert	alert-banner-compose-android	0.1.0-alpha01		N/A
com.mofeejegi.alert	alert-banner-compose-android	0.1.0-alpha02		N/A
com.mofeejegi.alert	alert-banner-compose-android	0.1.0-alpha03		N/A
com.offbynull.coroutines	maven-plugin	1.0.0		5884ae18f1abbcf8d8e96266576d0c4ac4cb5912
com.offbynull.coroutines	maven-plugin	1.0.1		47d2121eaffd0306f56b15be29fcb1ea2e8d7836
com.offbynull.coroutines	maven-plugin	1.0.2		03e6a145ae56caaa7c7a61b3b497fc7487142c02
com.offbynull.coroutines	maven-plugin	1.0.3		392279af4d57ec85d9ad936e445536bbf74990b2
com.offbynull.coroutines	maven-plugin	1.0.4		a9cd9ed1a5b7bc0f91e3202ea815cf9de67a3a05
com.offbynull.coroutines	maven-plugin	1.1.0		f910da20808c052397acdb38e332419d5f292172
com.offbynull.coroutines	maven-plugin	1.1.1		2e3f6d8fe373a1f6a00f6e9afc5df75df638a372
com.offbynull.coroutines	maven-plugin	1.2.0		dae44b811117d01fc1926e143bc4fd30d6885688
com.offbynull.coroutines	maven-plugin	1.2.1		166342aae727adf0c21921c0013150863d0d81ae
com.offbynull.coroutines	maven-plugin	1.2.2		aa6f3a8ee080984bb8297d29719925fb9083c034
com.offbynull.coroutines	maven-plugin	1.2.3		2eca4cf4eb1eb5953e4f438954e75bcf451f19ea
com.offbynull.coroutines	maven-plugin	1.3.0		f6244df01e7c905320950c1246caa10efe6724c5
com.offbynull.coroutines	maven-plugin	1.4.0		dbdbfd230f41039d509e74733ec663b8edb876ab
com.offbynull.coroutines	maven-plugin	1.4.2		7b926a875ab0fe2d5a6aee8a6c3f07c28c2c47f6
com.offbynull.coroutines	maven-plugin	1.5.0		8f62b03adc884fc69972a22cfc9ef614ec2037bc
com.offbynull.coroutines	maven-plugin	1.5.1		3065a37d77532c7005043ecfc05a8bcda6010a2d
com.offbynull.coroutines	maven-plugin	1.5.2		02d86d61e8945ec3eb5aed415495eb87e98187b1
com.offbynull.coroutines	maven-plugin	1.5.3		4538b91e35f714549a09f4d9e93bcee7814309b4
com.osmerion.kotlin	kotlin-base32-macosx64	0.1.0		N/A
com.osmerion.kotlin	kotlin-base32-macosx64	0.1.0	metadata	bf9bd646766cf3ec14402802670d2c3c2d19876b
com.peteraraujo.articapi	articapi-client-mingwx64	1.0.0		N/A
com.peteraraujo.articapi	articapi-client-mingwx64	1.0.1		N/A
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.0		N/A
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.0	metadata	53ef155219c5c6e3cd6debc4a32acf641df761ed
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.1		N/A
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.1	metadata	98047e415a3d9b63b3b6822eb26d5e455babcfe5
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.10		N/A
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.10	metadata	28a3cd2ef9e88800eae9f640083b13c313da6413
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.11		N/A
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.11	metadata	5091913834423aa4e9620d51800cbcd137afa0b4
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.12		N/A
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.12	metadata	d22c1ccf64b31b801f4263efe6b5367ec6e764cc
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.13		N/A
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.13	metadata	434054ed414867d12f393358ebfc562b72db1242
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.14		N/A
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.14	metadata	952150aadd914d05915bef6ae28885c0a87da31f
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.15		N/A
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.15	metadata	dcc5790df0ee4317a0080cc53315988d5eb80829
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.15-kotlin-2.0.0-Beta1		N/A
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.15-kotlin-2.0.0-Beta1	metadata	71b2b91eaafe7d0ec206eb3f74f2154808afe0aa
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.15-kotlin-2.0.0-Beta2		N/A
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.15-kotlin-2.0.0-Beta2	metadata	c3b7e03c751546006c1b0aa5e1eb54756218a81a
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.16		N/A
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.16	metadata	1bdcc472e5b94dcd92bdd48033e429bd234d1b07
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.17		N/A
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.17	metadata	16b6332a41b92d483d47fe31eeac835c98ca293f
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.17-kotlin-2.0.0-Beta3		N/A
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.17-kotlin-2.0.0-Beta3	metadata	8c9e62b56b3c6a06ed04b2c68d4469cef88e5e02
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.2		N/A
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.2	metadata	5ed010b168bee892d4596787169ec52cdb80e15a
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.3		N/A
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.3	metadata	8457fefbf6be7be33e2f5231ed46c87c25aac33a
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.4		N/A
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.4	metadata	76bdba3558ed6283ef7c94338bf752f8fb47c2e3
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.5		N/A
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.5	metadata	9f441cc522e5985d7345cef8a6990ca2e315920f
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.6		N/A
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.6	metadata	215d146e2df2ae92fa6d9b4112af2a501befb15c
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.7		N/A
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.7	metadata	164e6affa1405177626cbdd8ec535157bd49f47e
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.7-kotlin-1.9.0-Beta		N/A
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.7-kotlin-1.9.0-Beta	metadata	40500b4468628d1e5d3e1d1e7043ad8e636b7540
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.7-kotlin-1.9.0-RC		N/A
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.7-kotlin-1.9.0-RC	metadata	763f93f92daf0cc98eb977a831cb24c5ec2e6335
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.8		N/A
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.8	metadata	8950c26b0429a5fa33350e7dabc0c215f768f100
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.9		N/A
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	0.1.9	metadata	3de837e486e7131edcbc57215b81f1bbad0fecbc
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	1.0.0-BETA-1		N/A
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	1.0.0-BETA-1	metadata	da8f072f3d13ab7a739fa0ecdb42876a02e7b551
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	1.0.0-BETA-1-kotlin-2.0.0-Beta4		N/A
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	1.0.0-BETA-1-kotlin-2.0.0-Beta4	metadata	07b130f17b10e7a90b6d01527e7ea39c16e6897a
com.rickclephas.kmp	nsexception-kt-sentry-watchosarm64	1.0.0-BETA-10		N/A
