cn.bingoogolapple	bga-menu	1.0.0		N/A
co.touchlab.skie	configuration-annotations-1.9.0-androidnativex64	0.9.0-RC.5		N/A
co.touchlab.skie	configuration-annotations-1.9.0-androidnativex64	0.9.1		N/A
co.touchlab.skie	configuration-annotations-1.9.0-androidnativex64	0.9.2		N/A
co.touchlab.skie	configuration-annotations-1.9.0-androidnativex64	0.9.3		N/A
co.touchlab.skie	configuration-annotations-1.9.0-androidnativex64	0.9.4		N/A
co.touchlab.skie	configuration-annotations-1.9.0-androidnativex64	0.9.5		N/A
com.abubusoft	kripton-arch-integration	4.0.0		2c92b0ffa209f1ef93cad86058a7735d4bc4c727
com.abubusoft	kripton-arch-integration	4.0.0-rc.1		1e537e5b55783c541604cc99668eada43199ae9f
com.abubusoft	kripton-arch-integration	4.0.0-rc.10		11618fffdb3352629d6c36b7d0f7deac0f2d6adf
com.abubusoft	kripton-arch-integration	4.0.0-rc.11		734aef87a0b9d1e43a6ec5e69391407c659057af
com.abubusoft	kripton-arch-integration	4.0.0-rc.12		357bd66d025282daf7226519c4e88a29795fd927
com.abubusoft	kripton-arch-integration	4.0.0-rc.14		9cf03ef555001df5c00cd190a44c0d2a66eb1c42
com.abubusoft	kripton-arch-integration	4.0.0-rc.18		4a660ea271e538ff894c7f9153551f59a26f2021
com.abubusoft	kripton-arch-integration	4.0.0-rc.19		0a5de22c75da5bffddc8ad0b9bb6ff3ed5f2631e
com.abubusoft	kripton-arch-integration	4.0.0-rc.2		e09b209d204ce340ebb6eae687692807a6d4a875
com.abubusoft	kripton-arch-integration	4.0.0-rc.20		77ca73c4ecd597b06478f1e8738d8564adb482e0
com.abubusoft	kripton-arch-integration	4.0.0-rc.22		d6753fab8065fd7f897a06e451bbe6a921947573
com.abubusoft	kripton-arch-integration	4.0.0-rc.3		d8771c78c89ba138ab96147610d476b3de6e993e
com.abubusoft	kripton-arch-integration	4.0.0-rc.4		19410c8fbbc99ca4e619bdad3085c4743e24e954
com.abubusoft	kripton-arch-integration	4.0.0-rc.5		4594265728a81ae08ab39b7788ee16afa548577b
com.abubusoft	kripton-arch-integration	4.0.0-rc.6		fe89e99fc0ac1a766d41dd542e800372679908f8
com.abubusoft	kripton-arch-integration	4.0.0-rc.7		7f65c9aa0478a22627eb3a56a957e32086bfa920
com.abubusoft	kripton-arch-integration	4.0.0-rc.8		e1e0bddb613f147c95b32a3d9519a34cc385c59a
com.abubusoft	kripton-arch-integration	4.0.0-rc.9		5993b56025d78dcb67336d2ed49a08e6100fee7a
com.abubusoft	kripton-arch-integration	4.1.0-rc.1		64021c7353c7070a2daa88912dff3b6cddacc346
com.abubusoft	kripton-arch-integration	4.1.0-rc.10		4495cde8002992ab7e6ad7cf47417de7d697beb6
com.abubusoft	kripton-arch-integration	4.1.0-rc.11		caa6095ca6cd5361a0db4182e94cf9528b2d992c
com.abubusoft	kripton-arch-integration	4.1.0-rc.12		40476a15ce076ab77df72c08c316984ad669c9e1
com.abubusoft	kripton-arch-integration	4.1.0-rc.13		eb779eb64b6b118763bb3693dedda44a4bb9aab1
com.abubusoft	kripton-arch-integration	4.1.0-rc.2		8dc337955189805529223605a08f650f10c10f4c
com.abubusoft	kripton-arch-integration	4.1.0-rc.5		eb6466010142ddbaa3d836df7fcdfc85d5dcd8fe
com.abubusoft	kripton-arch-integration	4.1.0-rc.6		dd1d11db16a6bffcc62501116d6c0ee52b2e740f
com.abubusoft	kripton-arch-integration	4.1.0-rc.7		d1d1ffcc4184c7c994587b9c1c571d26b53559d1
com.abubusoft	kripton-arch-integration	4.1.0-rc.8		51cab4e7fd1e7b197ceb86f1209c881f9ea27198
com.abubusoft	kripton-arch-integration	4.1.0-rc.9		6785f487fa74ee663b83a73ecc85ba5717ed5ab2
com.abubusoft	kripton-arch-integration	5.0.0		7bef9c8f93560a6f9ae123177885430772ae269b
com.abubusoft	kripton-arch-integration	5.0.0-rc.1		2f5e649e18e4494b1a9a3bb0da250443f5089a76
com.abubusoft	kripton-arch-integration	5.0.0-rc.3		efd18aa58673b8e8146f572eac9c5e465e9b0d8f
com.abubusoft	kripton-arch-integration	5.0.0-rc.4		086c74f94c6e0fe0c8b70331d05fc091f210a20f
com.abubusoft	kripton-arch-integration	5.0.0-rc.5		6564b79dd0432854f07e9ddce20533ba678450b9
com.abubusoft	kripton-arch-integration	5.1.0-rc.1		69c8ac73f91fe3ab74d839c54c87923d23cd06e7
com.abubusoft	kripton-arch-integration	5.1.0-rc.2		2c306d56d604307a5492176b31a85e05d09d4bdb
com.abubusoft	kripton-arch-integration	5.1.0-rc.3		053d0215f59e937dbb7e97e797c31138b1ceeaac
com.abubusoft	kripton-arch-integration	6.0.0		11f80b6a5b891d9d089c583892618a26a071187d
com.abubusoft	kripton-arch-integration	6.0.0-rc.1		54e6b0f4cb4052ecb233b1b59ee9666f433ed3c3
com.abubusoft	kripton-arch-integration	6.0.0-rc.2		e11bd3e560d12a2ada6e8b2965a0f951dbfe5e2e
com.abubusoft	kripton-arch-integration	6.0.0-rc.3		d26568491c602f40008db9b0296267f41d55b61e
com.abubusoft	kripton-arch-integration	6.0.0-rc.4		b3ca97371e90fc77c53281a81e6dfbc0e3c59490
com.abubusoft	kripton-arch-integration	6.0.0-rc.5		6abc43e876a065ba522bc26fe336d37f769fc797
com.abubusoft	kripton-arch-integration	6.0.0-rc.6		0c438665dd95ac5ee2ad98d2ea3a0eba60f9c82e
com.abubusoft	kripton-arch-integration	6.0.0-rc.7		757d44d84d95782450e8a2912a4984e7ae9a5f56
com.abubusoft	kripton-arch-integration	7.0.0		51e960b3ea12f8b4297ec8e920c911648b9b9bbf
com.abubusoft	kripton-arch-integration	7.0.0-rc.3		48bb31201d9cc0c93c804f268404bafb5ee093f2
com.abubusoft	kripton-arch-integration	7.0.0-rc.4		6d5c0a835b1cc9e3677ecd4b6920b2a6cb63ccaa
com.abubusoft	kripton-arch-integration	7.0.0-rc.6		dc54a3b0efd7eaa26ce0c78d69e2d98fb5d05b0b
com.abubusoft	kripton-arch-integration	7.0.0-rc.7		14169bd5f23be99f6274df4918e5205fff830fa3
com.abubusoft	kripton-arch-integration	7.0.0-rc.8		17c09bd88e10607bd69fe8f517946f53cbf92f8f
com.abubusoft	kripton-arch-integration	8.0.0-rc.1		3f6b20a9ee1cdab2f416d19a0f101eb4c3568585
com.abubusoft	kripton-arch-integration	8.0.0-rc.2		1390cc2dfbaa81543ea27629e12dc4a343fac00b
com.abubusoft	kripton-arch-integration	8.0.0-rc.3		ebaf42d973d8a1b5de60c42c874b27a3e294b87e
com.abubusoft	kripton-arch-integration	8.0.0-rc.4		18f4e2bf5795d8db0cdc6d13da9ffbf69c84a18b
com.abubusoft	kripton-arch-integration	8.0.0-rc.6		b2a44efb28bf0ab2e29906d0a676a8a78a799d18
com.abubusoft	kripton-arch-integration	8.1.0		2d8eccd7f5d45b664ebd53cab9f0af467149c645
com.abubusoft	kripton-arch-integration	8.1.0-rc.1		f8e9e3e1180ac9c98c91ff845c3fd43f141a4511
com.abubusoft	kripton-arch-integration	8.1.0-rc.3		cae557a449b6739562963249979f4a26f314df57
com.abubusoft	kripton-arch-integration	8.2.0-rc.1		1e2f7fed3bcb6302f75bbfb27e97e289c56210d4
com.abubusoft	kripton-arch-integration	8.2.0-rc.2		92c746b3994556d2d16f95b27c3712142e4f2d72
com.abubusoft	kripton-arch-integration	8.2.0-rc.3		873111d55ee398e40c9c4eda7f6e3c670b9ddec3
com.abubusoft	kripton-arch-integration	8.2.0-rc.4		d113f2442a21ba95f9de3aa515ba959828f70460
com.adyen.checkout	entercash	4.0.0		N/A
com.adyen.checkout	entercash	4.0.0-beta03		N/A
com.adyen.checkout	entercash	4.1.0		N/A
com.adyen.checkout	entercash	4.1.1		N/A
com.adyen.checkout	entercash	4.10.0		N/A
com.adyen.checkout	entercash	4.11.0		N/A
com.adyen.checkout	entercash	4.12.0		N/A
com.adyen.checkout	entercash	4.12.1		N/A
com.adyen.checkout	entercash	4.13.0		N/A
com.adyen.checkout	entercash	4.13.1		N/A
com.adyen.checkout	entercash	4.13.2		N/A
com.adyen.checkout	entercash	4.13.3		N/A
com.adyen.checkout	entercash	4.13.4		N/A
com.adyen.checkout	entercash	4.13.5		N/A
com.adyen.checkout	entercash	4.13.6		N/A
com.adyen.checkout	entercash	4.2.0		N/A
com.adyen.checkout	entercash	4.3.0		N/A
com.adyen.checkout	entercash	4.4.0		N/A
com.adyen.checkout	entercash	4.5.0		N/A
com.adyen.checkout	entercash	4.6.0		N/A
com.adyen.checkout	entercash	4.6.1		N/A
com.adyen.checkout	entercash	4.7.0		N/A
com.adyen.checkout	entercash	4.7.1		N/A
com.adyen.checkout	entercash	4.8.0		N/A
com.adyen.checkout	entercash	4.9.0		N/A
com.adyen.checkout	entercash	4.9.1		N/A
com.adyen.checkout	entercash	5.0.0		N/A
com.adyen.checkout	entercash	5.0.0-alpha01		N/A
com.adyen.checkout	entercash	5.0.0-alpha02		N/A
com.adyen.checkout	entercash	5.0.0-beta01		N/A
com.adyen.checkout	entercash	5.0.1		N/A
com.adyen.checkout	entercash	5.1.0		N/A
com.adyen.checkout	entercash	5.10.0		N/A
com.adyen.checkout	entercash	5.2.0		N/A
com.adyen.checkout	entercash	5.3.0		N/A
com.adyen.checkout	entercash	5.3.1		N/A
com.adyen.checkout	entercash	5.4.0		N/A
com.adyen.checkout	entercash	5.5.0		N/A
com.adyen.checkout	entercash	5.6.0		N/A
com.adyen.checkout	entercash	5.7.0		N/A
com.adyen.checkout	entercash	5.7.1		N/A
com.adyen.checkout	entercash	5.8.0		N/A
com.adyen.checkout	entercash	5.9.0		N/A
com.adyen.checkout	entercash	5.9.1		N/A
com.alibaba.ververica	ververica-connector-swift	1.15-vvr-6.0.2-3		e7b73772887f236fa658e0c34d770b9c78b968e9
com.alibaba.ververica	ververica-connector-swift	1.15-vvr-6.0.2-3	jar-with-dependencies	e708c8276e4fbc12a72655f959c111bb0d80e3dd
com.antgroup.antchain.openapi	openapi-ak_bb3e5638866e4c77aa9ae8ac5c14e933	1.0.2		ba3288366d8772d9240a8884d6e92d4275945784
com.antgroup.antchain.openapi	openapi-ak_bb3e5638866e4c77aa9ae8ac5c14e933	1.0.3		7d4e8ba8c4d3fc7cf962f4cae7007e5c53ea4bf8
com.antgroup.antchain.openapi	openapi-ak_bb3e5638866e4c77aa9ae8ac5c14e933	1.0.5		2d5f178aee961daf42ac63c148f03c6eeeb2d3b2
com.azure.android	azure-core-test	1.0.0-beta.10		N/A
com.azure.android	azure-core-test	1.0.0-beta.11		N/A
com.azure.android	azure-core-test	1.0.0-beta.12		N/A
com.azure.android	azure-core-test	1.0.0-beta.13		N/A
com.azure.android	azure-core-test	1.0.0-beta.14		N/A
com.azure.android	azure-core-test	1.0.0-beta.4		N/A
com.azure.android	azure-core-test	1.0.0-beta.5		N/A
com.azure.android	azure-core-test	1.0.0-beta.6		N/A
com.azure.android	azure-core-test	1.0.0-beta.7		N/A
com.azure.android	azure-core-test	1.0.0-beta.8		N/A
com.azure.android	azure-core-test	1.0.0-beta.9		N/A
com.baidu.lbsyun	BaiduMapSDK_Location-testtest	1.0.0		N/A
com.baidu.lbsyun	BaiduMapSDK_Location-testtest	1.0.2		N/A
com.bugtags.library	rewrite-agent	1.1.0		6293bd94d9f71d70c6ca3bb1fa958ca6ec786bda
com.bugtags.library	rewrite-agent	1.2.0		9c78fcb736eb7bdd182dcb2e9a865000953bf843
com.bugtags.library	rewrite-agent	1.2.1		8f3cdd982e1f80c4a748973066f5098e08f6d90b
com.bugtags.library	rewrite-agent	1.2.4		cf49bebe96e0db772d6b9db50a2b72cf28ce62f2
com.bugtags.library	rewrite-agent	1.2.5		4a88617f68d4660769156ab000cc5488db7271b9
com.bugtags.library	rewrite-agent	1.2.6		73de4e8773fa829684a2e11b56084f92c5b8622b
com.bugtags.library	rewrite-agent	1.3.0		9ec233e739c3bdc60eedf0e8f34f23126a1ebeb1
com.bugtags.library	rewrite-agent	2.0.0		c7c2b6094302cc0c29cf25b30768ddfc8435ea2e
com.bugtags.library	rewrite-agent	2.1.1		b5e3137fe70824e3528aaa9caccbc7f1238a52c3
com.darkrockstudios	SymSpellKtFdic	3.0.8		48533df4199ea70e42178d010a410010d624e2a7
com.datastrato.gravitino	spark-runtime-3.4	0.5.1		c6f845187c140af64eade318835b222331cc4114
com.datastrato.gravitino	spark-runtime-3.4	0.5.1	empty	1c12bd96793d0366222a5f379c094ec885777ac1
com.forceai.glide	okhttp3-integration	4.11.0.10		725701672a7e49a338bc940b6d0211af09208c02
com.github.1991wangliang	weixin-api-service	1.0.2		e89b2eeeb6014b1ec3d132e84d5e5efcc5e32601
com.github.1991wangliang	weixin-api-service	1.0.3		3a16c1cbd9d8195cebe88722af085e3648b27651
com.github.choppythelumberjack	optionals	1.0.0		c52cdbb3a549baea7561926ea6785d5819323c94
com.github.kentyeh	browserslist	1.0.0		62e13f788f5ad036c2c727052981b64badf26f71
com.github.tanshion	response-result	1.0.0		7bc7d31a76d38e80f9f14a2a2415d6886ddc8859
com.io7m.jwhere	io7m-jwhere-documentation	0.4.0		5fac6c9b864736229e2a9c4bbdc7703f78db1b18
com.javaguns.roses	security-sdk-guomi	8.1.8		540e7810a886061845313f5e5151d393e15af525
com.javaguns.roses	security-sdk-guomi	8.3.0		57e002f74c7ed041e26fa35e641be2d2527f61a1
com.javaguns.roses	security-sdk-guomi	8.3.1		a4251f9faac6e051e6957537ebcddea3df6e9df9
com.javaguns.roses	security-sdk-guomi	8.3.2		211b1110bfead0f59b5aff7997f9b19ed04d325c
com.javaguns.roses	security-sdk-guomi	8.3.3		cb00c4cc163d6ae508462aaadae433d0c9942563
com.liferay.commerce	com.liferay.commerce.theme.minium.login.web.fragment	1.0.0		bbc4a43b36c07eb39a2416ac4e178e0b59b401df
com.liferay.commerce	com.liferay.commerce.theme.minium.login.web.fragment	1.0.0	jspc	f76f8206d13d4864703685d6bd2431802cdab8b1
com.liferay.commerce	com.liferay.commerce.theme.minium.login.web.fragment	1.0.1		ff34dbcc3f890f90ddf6e624a0c00f137eeb54b4
com.liferay.commerce	com.liferay.commerce.theme.minium.login.web.fragment	1.0.1	jspc	e0de03ad9182aa0179d6929e7e92123bbd45b7a0
com.liferay.commerce	com.liferay.commerce.theme.minium.login.web.fragment	1.0.2		ac9b3251e4510cf8b72499efb0bb533597cc3840
com.liferay.commerce	com.liferay.commerce.theme.minium.login.web.fragment	1.0.2	jspc	d809cc2afec48a10a0532132c47f49d1209299e9
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	1.0.0		2933c8ad70f925155217c2e4cf82cf1ac6211f47
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	1.1.0		b3ba0d6275dbf728733833dcab56258cdebb2340
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	1.10.0		87733fe296533c398d58fe2f9d083ffe520ab7a5
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	1.11.0		273464d4d17d8db92343c5ea712fa72eca3a4841
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	1.11.1		d8a41db8ffc2274179e01137aecb1923bafa04fc
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	1.11.2		1211d1449eb0c4a1126095f1d5fe975d923159e0
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	1.2.0		15ef8bb9e09a38ecae06dd38b8192e766c7c42ce
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	1.3.0		96a5fc9c8b102b63799c57b8ea5a0f36cef26fee
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	1.3.1		aa9ab25ba22e533bb58120d79095d2fe4fce08ee
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	1.3.2		0a1f7c43386d9abf3b45e0acf738dbbb1ea9d00d
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	1.3.3		7464eed0578ba1dddd19e709a9d7615b4412c2c1
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	1.3.4		b2f9679bad96a7bec7847bcb24e6f0df973d74e7
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	1.4.0		ae315d61ac16558532894a47bccbb891cf2e229b
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	1.5.0		cd5fee0e79038ddc4f6191792144dc44f5728642
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	1.6.0		63824bda22326d0492413f2c8d77b8e9b702b052
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	1.7.0		c0c83134077103e8147f254afd4520289a07a1e2
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	1.7.1		0737a04f9fb58227d6cbe1d86bceb50330d9415b
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	1.8.0		4a1244a23d6577cf98de1088ffe8de5350e22c4c
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	1.8.1		02a69a21f65e6edd142424c973bcf6150ecd1aa7
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	1.8.2		7eed290796a9bd508a12c1de09c758ed6d678383
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	1.8.3		9e4c5c8222d9a814ba4a2d8ae499e11bcdc94b11
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	1.8.4		a0ab20be3e02a6cbb8919d2ab3aaba39e526c0a0
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	1.8.5		f9d1fafd97588b4d44d94ab1dd029af30450a3ff
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	1.8.6		89db7533b05e410f68af4af9355ec9439422ac16
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	1.8.7		cc9df0579cee9c5b931be736a38d778a08b4512b
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	1.8.8		ec5662fb315fa69124f103eebe67dcb795338b23
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	1.9.0		6957ee314e2e6e4aa50484d022c4b353ee93aa26
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	2.0.0		9fa87cae237bf50c421e8ec8408dbc795109a3ce
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	2.0.0-preview-001		3cb288252f5c4fd6003269421655eac8b4be00dc
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	2.0.0-preview-002		6b9a67782a579fe8e5af55533fe4e5a5407de1f9
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	2.0.1		416dbef233ef467cdaf31890df1207aba2afe427
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	2.0.2		627d65ec43bc1d5209aedadc2ff9394bac16ecdd
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	2.0.3		f89a1656ff70c98af9504dc6e15b2e649df478d0
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	2.1.0		873c13d77999c5d15478774b1199a4b3554f2eee
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	2.1.1		ae88de734163bf223c04a035d4c1a0a156a9ae0b
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	2.1.2		92459d697ee31c9ae2f48cffb2150620735e5120
com.microsoft.azure.sdk.iot.provisioning	provisioning-device-client	2.1.3		158a716ff5fe6949d1959b7b5b2d36728d795672
com.mobaijun	minio-spring-boot-starter	1.1.3		6d5fdec27145b911e688c7c9986b769c0461d738
com.mobaijun	minio-spring-boot-starter	1.1.4		6ff53935361461b6473dda86415ce63dd8b4ef34
com.mobaijun	minio-spring-boot-starter	1.1.5		e441e534b103ba084e07411fc276a2d871a6d978
com.mobaijun	minio-spring-boot-starter	3.0.0		f76938e5ab66fa00e72fa78d76821e3881a5b9fb
com.mobaijun	minio-spring-boot-starter	3.0.1		f5385029a4fd2161ea02c37e1d43ff59003d7af1
com.mobaijun	minio-spring-boot-starter	3.0.10		34e74ca2f71226605a8b87a8c143d8daca0c9916
com.mobaijun	minio-spring-boot-starter	3.0.11		49778ae4228ffbae9771075ee7371bd7d40df432
com.mobaijun	minio-spring-boot-starter	3.0.12		131c95b373889b95672e186ce9c1564e08ac6392
com.mobaijun	minio-spring-boot-starter	3.0.13		90f2d9ca1d41fdc0019d3b70dc094eba8c29d560
com.mobaijun	minio-spring-boot-starter	3.0.14		2d880b0be5d50860f300aaefb6959e7ce02ae5c1
com.mobaijun	minio-spring-boot-starter	3.0.15		1646a6a2c76dee8302eae2558d1daa22af4b1276
com.mobaijun	minio-spring-boot-starter	3.0.16		639f636925a7f3c006c8be1727182a88ca3308e6
com.mobaijun	minio-spring-boot-starter	3.0.17		5a4ede0b9a2863f57fc87beb91ecf8f07de44ac7
com.mobaijun	minio-spring-boot-starter	3.0.18		2efb5ed0579f47c72c3a12f9c024db385fdba284
com.mobaijun	minio-spring-boot-starter	3.0.19		0890291616daa1dbab25d9bef2dd6d606d571b0f
com.mobaijun	minio-spring-boot-starter	3.0.2		34dad31afc6a677dd40830585b3b1b46537e743e
com.mobaijun	minio-spring-boot-starter	3.0.20		08ec003d62997f5c37274032529996ee653f97f1
com.mobaijun	minio-spring-boot-starter	3.0.3		849c8f10cb8ac8c18d0bbb55d827077810327541
com.mobaijun	minio-spring-boot-starter	3.0.4		874443f012b533dca0117dc7a658c1e9977565c1
com.mobaijun	minio-spring-boot-starter	3.0.5		c585ae770a02ed2c4124adbb6a6e71679035bfcb
com.mobaijun	minio-spring-boot-starter	3.0.6		247435f21ca5fd49daa17036a0071d558899ff87
com.mobaijun	minio-spring-boot-starter	3.0.7		590ab3f45e4a2ccf9fa2234d4f2e76bfba0495a8
com.mobaijun	minio-spring-boot-starter	3.0.8		b997902d397bdcb75884c18b0691068a0a6f8731
com.mobaijun	minio-spring-boot-starter	3.0.9		13ce615b8ce8ebff22daf38aa9c9a69fcbcc03de
com.pragmatickm	pragmatickm-password-style	1.3.4		c650ed6f634f06284c672cf5a2b3177b93bf7e94
com.pragmatickm	pragmatickm-password-style	1.3.5		db1690bf056cffae3295833bdb6016a34d2dd537
com.pragmatickm	pragmatickm-password-style	1.4.0		4f8eedaf8ff2b5a6021a3313d993ba317e421a7a
com.pragmatickm	pragmatickm-password-style	1.5.0		9de74c82b03ca3a393d55257927583c4c2ef434b
com.samskivert	pom-util_2.10	0.5		21f651baa31a5b306a99d452a98b6c419b4cf844
com.samskivert	pom-util_2.10	0.6		e1821662602753596e678c4f0831f0cdfe505994
com.softwaremill.sttp.client3	circe_native0.4_3	3.8.16		8a7b67e530098e3d99a4f1db63e0a0dde0fa10d4
com.softwaremill.sttp.client3	circe_native0.4_3	3.9.0		0547de2cb495853686acc88eb6f89cf23eb9a0d9
com.softwaremill.sttp.client3	circe_native0.4_3	3.9.1		a530b291510e91518d4d2e5baa622cefa8029bc0
com.softwaremill.sttp.client3	circe_native0.4_3	3.9.2		02518df3203d9f194043eef0b4185f1eab36933e
com.softwaremill.sttp.client3	circe_native0.4_3	3.9.3		619992bde46c2865b563a5b6c85cc0c36089ed71
com.softwaremill.sttp.client3	circe_native0.4_3	3.9.4		ce285921ce6615f866b3375b0d55f8e47c2babbe
com.softwaremill.sttp.client3	circe_native0.4_3	3.9.5		f25c9b70e72316780c912fcb0965656349815e52
com.softwaremill.sttp.client3	circe_native0.4_3	3.9.6		665de91036637535cc72eb346c9346e0cc8adabb
com.softwaremill.sttp.client3	circe_native0.4_3	3.9.7		856f99dfef517775765868adf1fe1da0442bbe51
com.softwaremill.sttp.client3	circe_native0.4_3	3.9.8		f0ff845f92f1d283ec762ed8889009df4a0fc40d
com.tecacet	jquotes	0.1.0		0f04f8a08d99a9a6c8cbe4595ea02288bf7e22b5
com.weavechain	curve25519-elisabeth	0.1.2		4a2ca91b0e2f752303c9cb96ef04dcf17b098b80
com.weavechain	curve25519-elisabeth	0.1.3		918d9db1face8ef8ad5ceb33664399a8a4701e45
com.weavechain	curve25519-elisabeth	0.1.4		d3c7b71f6df3003b8de7f1d85cbb458e92963325
com.weavechain	curve25519-elisabeth	0.1.5		df42f4c58a8dca2c343ee40187aa157e55ce7b3f
com.wichell	framework-core	1.0.0		684863abfc75b95879e5fb8cad6c3e43b4346cce
de.telekom.eni	horizon-core	4.0.0		9180ad34cab8d0a0b00126300d3f6cb4cc3ae4f0
de.telekom.eni	horizon-core	4.0.1		97ba9816c3bd3158d15dfe91e47e9a14dcfaccb6
