com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.3.1	metadata	7db06ab3464daeac305bde4d0d97655eab9ca3f3
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.3.2		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.3.2	metadata	28218e1502c3fb35cf7882fdd3538d1b74359fc9
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.3.3		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.3.3	metadata	092b67d1d85858fdbd473680afe927bed166c142
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.4.0		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.4.0	metadata	1576819e8c2b3a50a25cfdbf2c09e9a16dfc82a1
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.4.1		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.4.1	metadata	68aac6b0cb0e95d2037a1ff1190471f1359c443e
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.5.0		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.5.0	metadata	c43a5548fcc325fb3626bb68c6c3c078c310a903
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.6.0		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.6.0	metadata	bc6ab325c23287633a9c4465795f218967c73176
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.6.1		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.6.1	metadata	118c5c2a77ed0919ab6d2ffda03e4506f36d251e
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.6.2		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.6.2	metadata	1dd20aefb94814a9b44d8c8be014005fbf5e3c62
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.6.4		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.6.4	metadata	6ba8c7f4e45be1ba4e233751082f6a2834f589fd
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.7.0		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.7.0	metadata	129041e9164aa038d29fa46924e63383f151c264
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.8.0		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.8.0	metadata	2a01c8003360800886bc2a027223fc699303aaab
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.9.0		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.9.0	metadata	4f382a6648275e60b5ad9efc23f6052239ae3534
com.aliyun	oosops20190601	1.0.0		b629f66ff1c4ef72622607f0ce12e7092502526e
com.aliyun	oosops20190601	1.0.0	shaded	a40a3d7f3cdd7bf1f2094067c12becb7c3921b31
com.aliyun	oosops20190601	1.0.1		fd57b6133162f6e07875cfe0b97bb52aaed4a91b
com.aliyun	oosops20190601	1.0.1	shaded	4f1e0e866134ddbc223e4f71add4703a19e16e47
com.aliyun	oosops20190601	1.0.2		570bc4fa7a0d7453d7b46e811a8c5b6f6ba42e3d
com.aliyun	oosops20190601	1.0.2	shaded	92ebd349981baf0c89fca2e2a0ebc299bb9c03e6
com.aliyun	oosops20190601	1.0.3		c79d18cb789c5dea4d67cbd46fd3be384356c3f9
com.aliyun	oosops20190601	1.0.3	shaded	e6ee72f0f3277592b5cb5a2a33258b5e9170683a
com.aliyun	oosops20190601	1.0.4		48da531777abc5a41fd39fc88d8d618d8723f880
com.aliyun	oosops20190601	1.0.4	shaded	729185eb04702a73f41887a10927c5ed1612fe32
com.aoapps	ao-io-buffer	4.0.0		36b263de60da4fae2b61265372e08a0de60d1c4d
com.aoapps	ao-io-buffer	4.1.0		160bb41c150dd9948bf425a582000d825dda21d3
com.avito.android	deeplink-generator	2022.12		fb54ce56786f094d7a1f91da33ea8d0cc95ce0e0
com.avito.android	deeplink-generator	2022.14		afa8b82160c77e62cbdf5a021d4d41b07d510f9d
com.avito.android	deeplink-generator	2023.15		c5e79963781b277c6968edad766970c5dbbac09f
com.avito.android	deeplink-generator	2023.19		51aa830207b72466fb3e6e3015fc55da1d6bc810
com.avito.android	deeplink-generator	2023.2		c5687370cf2f3378d0f3c8e87b1c408860dfac14
com.avito.android	deeplink-generator	2023.20		b00f99e86736b45bf223f5691c6bb09525202483
com.avito.android	deeplink-generator	2023.22		e57cd0c660305770a1674895db23853c9d76cbe1
com.avito.android	deeplink-generator	2024.32		b331fa490fc71487caa3fe47437e67dfe9c8d5c5
com.bradcypert	Ginger	1.1.0		78f7e9f966940720361ad9db707040528aa9936c
