au.csiro	elk-cli	0.5.0		e2f8556204f8c33fcd7505239758bbed905dfac0
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.4.1		N/A
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.4.1	metadata	233ce20540a1dd02b694767da7f12e532d5a526a
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.4.2		N/A
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.4.2	metadata	7534215f329cd5ad91ced9d292c3683f4b2f0ce6
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.5.0		N/A
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.5.0	metadata	8e76316e5125775fb324202f5f910a4ce6c75236
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.5.1		N/A
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.5.1	metadata	303bdef72d1462f97e1a590bc523795ecc51be81
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.5.2		N/A
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.5.2	metadata	25e3727cf75ccf3c8c4e0bfce4a72393abae535b
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.5.3		N/A
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.5.3	metadata	a5020e2b83bf0187554899f5a7780c4b4e24488d
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.5.4		N/A
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.5.4	metadata	55797a7791857a0b39e2c2c5786bf967c9de7313
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.5.5		N/A
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.5.5	metadata	ba43b81e6ebd9df01144b0012b514f91a97b7a5d
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.5.6		N/A
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.5.6	metadata	21268d9ace845a4df926350825e3482ce1061fee
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.5.7		N/A
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.5.7	metadata	21515b26b917557f9a6b1bf96f1b7ae71812724f
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.6.0		N/A
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.6.0	metadata	da7e9cf6b64be67ea36e5ec4ed2702a255d33aed
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.7.0		N/A
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.7.0	metadata	11ef075b78f30833e07d7c0702d39902fc5a7590
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.8.1		N/A
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.8.1	metadata	43a77b49f6c3e6a452086edcaefc24d58a0a6bf1
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.9.0		N/A
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.9.0	metadata	cf70c9a822ebd3f3fe5818606bd4666fd07530af
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	6.0.0-preview.1		N/A
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	6.0.0-preview.1	metadata	75bf52bda1979112480a234c302d8d24f8199ca9
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	6.0.0-preview.2		N/A
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	6.0.0-preview.2	metadata	a42422f63441a4175f518a872ac065f77fcaa90b
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	6.0.0-preview.3		N/A
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	6.0.0-preview.3	metadata	2754964c005e3ca95ce801d5b79c8da6bfca8bc3
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	6.0.0-preview.4		N/A
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	6.0.0-preview.4	metadata	4054a17684baf939f037855fb30166ed4542cbc9
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	6.0.0-preview.7		N/A
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	6.0.0-preview.7	metadata	b1350df9e6458ddf1130b840c5f070e614851e64
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	6.0.0-preview.8		N/A
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	6.0.0-preview.8	metadata	e5c5bc7095fb26773d4eafdeece3ff2def86cb92
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	6.0.0-preview.9		N/A
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	6.0.0-preview.9	metadata	9ba0db7f83b33933d376f2f38855a95aca8fbfee
com.fhs-opensource	easy-trans-solon-plugin	1.0.0		c22ac1ef4d375e72f0d0b508691ed9e0b0557a88
com.fhs-opensource	easy-trans-solon-plugin	1.0.1		d825068243cb6bb35f1418bb177e64beca4f5b3f
com.fhs-opensource	easy-trans-solon-plugin	1.1.0		742cbecf913e7d5618b0f79a2fadc242c1d1e529
com.fhs-opensource	easy-trans-solon-plugin	1.1.1		f1c3bb62922f957eb822ecca47c22cd5a51999a3
com.fhs-opensource	easy-trans-solon-plugin	1.1.2		c3e463ea6c12856691b275fbfb0e46ff3ff6e934
com.fhs-opensource	easy-trans-solon-plugin	1.1.3		b1f4f2264448d3cc3d54eb5f791da6d331d3e404
com.fhs-opensource	easy-trans-solon-plugin	1.1.3-M1		5594e322e60bf8cbb84b176bdaa12c34b993eba3
com.fhs-opensource	easy-trans-solon-plugin	1.2.0		972c7b0b4107e6ebebdf036d9766c40b2dad2dd5
com.fhs-opensource	easy-trans-solon-plugin	1.2.0-RC		0fe319d23f3e5aa374fdc1b3106f42b91878190a
com.fhs-opensource	easy-trans-solon-plugin	1.3.0		cd52d67cba72eeb268b2b8e0444f0e9b54a2233a
com.fhs-opensource	easy-trans-solon-plugin	1.3.1		870b74c5f6ee8c78aa71d4f9a36631d254bc73b4
com.fleeksoft.ksoup	ksoup-engine-okio-tvossimulatorarm64	0.1.6		N/A
com.fleeksoft.ksoup	ksoup-engine-okio-tvossimulatorarm64	0.1.6	metadata	d9ca09abb7e0f18166b5dbea74612963af425916
com.fleeksoft.ksoup	ksoup-engine-okio-tvossimulatorarm64	0.1.7		N/A
com.fleeksoft.ksoup	ksoup-engine-okio-tvossimulatorarm64	0.1.7	metadata	60e3addb5857d2bcd5a4254d96d8fb75ff13043a
com.fleeksoft.ksoup	ksoup-engine-okio-tvossimulatorarm64	0.1.8		N/A
com.fleeksoft.ksoup	ksoup-engine-okio-tvossimulatorarm64	0.1.8	metadata	9b932bba3c3bec5bd333d6f135de27c3d4ff1e55
com.fleeksoft.ksoup	ksoup-engine-okio-tvossimulatorarm64	0.1.9		N/A
com.fleeksoft.ksoup	ksoup-engine-okio-tvossimulatorarm64	0.1.9	metadata	50f0bf74396d3589113e1a0ae02446883d5f9e91
com.fleeksoft.ksoup	ksoup-engine-okio-tvossimulatorarm64	0.2.0		N/A
com.fleeksoft.ksoup	ksoup-engine-okio-tvossimulatorarm64	0.2.0	metadata	8de77af552923d51fa72c21c564fa5797eca4a84
com.g2forge.joint	jo-ui	0.0.1		aa471a6bca86fe788496532eb5bed56086169d43
com.g2forge.joint	jo-ui	0.0.2		63c2cf4f635403e351f7e731af85a52aadc8e135
com.g2forge.joint	jo-ui	0.0.3		2c78a3596c35d6340ad1e03ec4f548530e2d1c15
com.g2forge.joint	jo-ui	0.0.4		ee0ef6472a481a5324943f18f7f04178764bc2da
com.github.adedayo.eclipse.sdk	org.eclipse.core.net.win32.x86_64	1.0.100		d2ee22eb9ad668bbf0da86c293f6ccea3cdfa8aa
com.github.alexarchambault	argonaut-shapeless_6.2_sjs0.6_2.11	1.2.0		24525d2328eb079de29df89a9011a9993fe54d7c
com.github.alexarchambault	argonaut-shapeless_6.2_sjs0.6_2.11	1.2.0-M10		88cb7a8d0d7f8e95ba5086dc41d611174aee93f2
com.github.alexarchambault	argonaut-shapeless_6.2_sjs0.6_2.11	1.2.0-M11		7f8b856db4b1aa1f0b3f40bab15d6baadf20c19a
com.github.alexarchambault	argonaut-shapeless_6.2_sjs0.6_2.11	1.2.0-M12		84064a9548d5aec13a9b91769690f405f4df26f2
com.github.alexarchambault	argonaut-shapeless_6.2_sjs0.6_2.11	1.2.0-M8		0d8bf0ec882dcf01b6ac010c40230b5b9ef73f28
com.github.alexarchambault	argonaut-shapeless_6.2_sjs0.6_2.11	1.2.0-M9		c649db48d83b433ebffdc592c367dd4aed51c71d
com.github.clarkstore	os-mybatis-spring-boot-starter	0.17.0		4b70f69033ba08777bf13e6600ad3086f019a2cf
com.github.clarkstore	os-mybatis-spring-boot-starter	0.17.1		1d40bea171c87e7a0be7ff497a37a9486a92f567
com.github.clarkstore	os-mybatis-spring-boot-starter	0.17.10		e5845e803168e0930e45943e1383739b916f7f3a
com.github.clarkstore	os-mybatis-spring-boot-starter	0.17.11		aabf74cd0120eee36cb7e7cd3e6008dd9283be73
com.github.clarkstore	os-mybatis-spring-boot-starter	0.17.12		9a6aaeed81a57f67e7bf07852000b690f2092c16
com.github.clarkstore	os-mybatis-spring-boot-starter	0.17.13		28822d35d94c5ed6ebc82a7dd1144a0d9f2e0612
com.github.clarkstore	os-mybatis-spring-boot-starter	0.17.15		cfe55302a495e14ad3e50e8b7711090860f12f13
com.github.clarkstore	os-mybatis-spring-boot-starter	0.17.2		35cadf8ad1b754771ebffdb3994c68f171758dcc
com.github.clarkstore	os-mybatis-spring-boot-starter	0.17.3		fb567a91765312ada7527350509a0ef40c60015c
com.github.clarkstore	os-mybatis-spring-boot-starter	0.17.4		170eca25ddf9f178bad6944704854ecd90f35442
com.github.clarkstore	os-mybatis-spring-boot-starter	0.17.5		7d0f4fb4b691f227bc6edfc3c0c62a0bc3896254
com.github.clarkstore	os-mybatis-spring-boot-starter	0.17.6		387420c60abcb33f565421161841b39ac7b863b0
com.github.clarkstore	os-mybatis-spring-boot-starter	0.17.7		5c78efae40796927e27dbe8887be9764cbd4fcd4
com.github.clarkstore	os-mybatis-spring-boot-starter	0.17.8		5f59473495d3c1b604591ff5934b93d496fd90b6
com.github.clarkstore	os-mybatis-spring-boot-starter	0.17.9		c13caa13dac54aff47d086a04f6e2a65b783b18b
com.github.clarkstore	os-mybatis-spring-boot-starter	0.3.10		f174a4610abfe6b308d0ed192638db540efce664
com.github.clarkstore	os-mybatis-spring-boot-starter	0.3.11		dd53b3dca092f24885246d63871a2a938ce7b21a
com.github.clarkstore	os-mybatis-spring-boot-starter	0.3.12		da7ac46fbeee066287dce8eb33c8265bddc37b90
com.github.clarkstore	os-mybatis-spring-boot-starter	0.3.13		2b0408fa8ce7f99d0e98a5220c1f9ed8cc3c8dc3
com.github.clarkstore	os-mybatis-spring-boot-starter	0.3.14		ea47676c0fd43ad65585cdcd1f1a39d6e07a20b4
com.github.clarkstore	os-mybatis-spring-boot-starter	0.3.15		3ed3a32dc270786fdff4f2cb1efa4df32403a841
com.github.clarkstore	os-mybatis-spring-boot-starter	0.3.16		a66fe55d7f34e8d9688c4dfc9db6a4933d3f6045
com.github.clarkstore	os-mybatis-spring-boot-starter	0.3.17		ad6d064f2e03f31a95869278a1b1ff20fe65b729
com.github.clarkstore	os-mybatis-spring-boot-starter	0.3.18		8d30762fd09b9b6b0cb3257a7fb625a88567faa3
com.github.clarkstore	os-mybatis-spring-boot-starter	0.3.19		e0b84ba696cfd5a2f690b570fe8e6470e95cf980
com.github.clarkstore	os-mybatis-spring-boot-starter	0.3.20		24e7e1440e974c7563635f4312416d93335745d5
com.github.clarkstore	os-mybatis-spring-boot-starter	0.3.21		4b86f4efa83ed8a68b57dd2c719c31c9146666b6
com.github.clarkstore	os-mybatis-spring-boot-starter	0.3.24		4d9541a3853396e2f3353560a3b38192f829ce55
com.github.clarkstore	os-mybatis-spring-boot-starter	0.3.25		c4dbfaae94985d090383bf953c8d43933ffe04b2
com.github.clarkstore	os-mybatis-spring-boot-starter	0.3.27		fb425cfe4c5345b0a98601099d6e93ccae49c2fb
com.github.clarkstore	os-mybatis-spring-boot-starter	0.3.3		5ae223e90d19e97f8242f7ace72ed43eb7fb0c6c
com.github.clarkstore	os-mybatis-spring-boot-starter	0.3.4		442fa0aa87b028b5359d01f092eaf0c0606bb430
com.github.clarkstore	os-mybatis-spring-boot-starter	0.3.5		c170a3a6721cdb207ef0c33e8490cab7e1728e38
com.github.clarkstore	os-mybatis-spring-boot-starter	0.3.6		248f245fd2e247ad035fc5dfa38df1be595abb5b
com.github.clarkstore	os-mybatis-spring-boot-starter	0.3.7		6b1b977d9492121a24db7ccc0649adef3177cbff
com.github.clarkstore	os-mybatis-spring-boot-starter	0.3.8		9979dd682cfc0da03ec7383593dfdc7740c15e93
com.github.clarkstore	os-mybatis-spring-boot-starter	0.3.9		85891e23068445603b9d0d3d88a2afc9720fe3f2
com.github.clarkstore	os-mybatis-spring-boot-starter	0.4.0		a3d72d35e783bededb39cbb887fac6ca120877c5
com.github.clarkstore	os-mybatis-spring-boot-starter	0.4.1		f355d883c0d4babe49f44cb88e5992681f5b173c
com.github.clarkstore	os-mybatis-spring-boot-starter	0.4.10		377e03995b8c4db5f441906343d450f0170b762a
com.github.clarkstore	os-mybatis-spring-boot-starter	0.4.11		db03b0c97fb5a138b63bf3a2a5506e6cee3c0af0
com.github.clarkstore	os-mybatis-spring-boot-starter	0.4.12		dbbf77c5e03f91367d836f2a892cac6af8e48869
com.github.clarkstore	os-mybatis-spring-boot-starter	0.4.13		c76f39953a4b8439d58f93bccae3e28abb57b419
com.github.clarkstore	os-mybatis-spring-boot-starter	0.4.15		99b43a629fde31e4edcbcad3b83559b026290326
com.github.clarkstore	os-mybatis-spring-boot-starter	0.4.16		99bb95774b28a4170a8fc6d0493b805048b6181d
com.github.clarkstore	os-mybatis-spring-boot-starter	0.4.17		6b4f9294fe347712b702f9e11e294e4c71427ddd
com.github.clarkstore	os-mybatis-spring-boot-starter	0.4.18		8c35de10ce7a24af3fb597e60a045d97aeab632a
com.github.clarkstore	os-mybatis-spring-boot-starter	0.4.19		52616f9adac7da8c136b67838ed79c7aaacfdd8a
com.github.clarkstore	os-mybatis-spring-boot-starter	0.4.2		d662043c7446d7d283354e252d82b79fb0feb7bd
com.github.clarkstore	os-mybatis-spring-boot-starter	0.4.3		d1c992667e9fe09bce52c351f0d65e1b15a64806
com.github.clarkstore	os-mybatis-spring-boot-starter	0.4.4		dc109af5dbc08f669158aebb13c9387681a41468
com.github.clarkstore	os-mybatis-spring-boot-starter	0.4.5		a5ffbf6a46d71e3b720c0d86e32b94e494d8bb53
com.github.clarkstore	os-mybatis-spring-boot-starter	0.4.6		598c4eb9df6e7268230af3b92188ff6a867c0bf9
com.github.clarkstore	os-mybatis-spring-boot-starter	0.4.7		bd04e154d3881f3b3a19a5eff190df39143fad72
com.github.clarkstore	os-mybatis-spring-boot-starter	0.4.8		9626788e10b9cd989f139a2a2fa8c6b663966dd1
com.github.clarkstore	os-mybatis-spring-boot-starter	0.4.9		4663345041309fec99221101f6d1146caa515717
com.github.clarkstore	os-mybatis-spring-boot-starter	0.5.0		a676f455e2af1c57c43d9344bd6372206e3487f9
com.github.clarkstore	os-mybatis-spring-boot-starter	0.5.1		7b58e499b1d1fa3a6d394a807b4d5d534b1d9fdd
com.github.clarkstore	os-mybatis-spring-boot-starter	0.5.10		e1d87c36b1ae2a6d732bbe1d3fe7a48e2bea103f
com.github.clarkstore	os-mybatis-spring-boot-starter	0.5.11		1b22687d57131be0574609b5d21a933cb95980d0
com.github.clarkstore	os-mybatis-spring-boot-starter	0.5.12		35135e66a4586d22b95bd19c0e600b95506f7d25
com.github.clarkstore	os-mybatis-spring-boot-starter	0.5.13		b4149cc8544ef3fde49735f28d5e4aefc8e65d69
com.github.clarkstore	os-mybatis-spring-boot-starter	0.5.15		aeeee11150857d7f5c0aa3b3a1a95ff6c2a59133
com.github.clarkstore	os-mybatis-spring-boot-starter	0.5.16		3d467568d03b098d489f031ae773e786ccb7d630
com.github.clarkstore	os-mybatis-spring-boot-starter	0.5.2		95d998744ccdc3df417439919d497fd0e14ee169
com.github.clarkstore	os-mybatis-spring-boot-starter	0.5.3		3d8aa4a55c07319da1019bf37e04fa63b8ca8338
com.github.clarkstore	os-mybatis-spring-boot-starter	0.5.4		1f02deaeb2b9aff504a9e5162db22bb0b55385e5
com.github.clarkstore	os-mybatis-spring-boot-starter	0.5.5		3bc14f98a6fe55c8f84346f150d201530206bad9
com.github.clarkstore	os-mybatis-spring-boot-starter	0.5.6		30f8990708adda5a2e24f028413555df7fcbd2c5
com.github.clarkstore	os-mybatis-spring-boot-starter	0.5.7		f5cbf9ce28fd4b3e65c430e2d3b66e515c8644fe
com.github.clarkstore	os-mybatis-spring-boot-starter	0.5.8		9872e72b0622d2d455cb491a85920db56d24b03d
com.github.clarkstore	os-mybatis-spring-boot-starter	0.5.9		d01bd3c770be950f1aaa5f4f56398b644275b350
com.github.clarkstore	os-mybatis-spring-boot-starter	0.6.0		32eb5b0d25870c66f542a338941a68868274cb9b
com.github.clarkstore	os-mybatis-spring-boot-starter	0.6.1		ae3b4c850d297a1d886218a34792360301c6e988
com.github.clarkstore	os-mybatis-spring-boot-starter	0.6.10		85d735d6ae0b105dac85b72f2b7a38da1a5c94cc
com.github.clarkstore	os-mybatis-spring-boot-starter	0.6.11		bcd27889df65762e2e37deaa51557b980332b2d3
com.github.clarkstore	os-mybatis-spring-boot-starter	0.6.12		902be79a365e0e609631975c9f9c805365742d9b
com.github.clarkstore	os-mybatis-spring-boot-starter	0.6.13		a85e5a244c35741223e044e84cfa1927476e8d76
com.github.clarkstore	os-mybatis-spring-boot-starter	0.6.14		26a9c5109868a6f22577e93a157aebaab4702c09
com.github.clarkstore	os-mybatis-spring-boot-starter	0.6.15		f2ce6e892e49798d01d1c4e8ce9bb7f1628f1bc1
com.github.clarkstore	os-mybatis-spring-boot-starter	0.6.16		10cb20257fb142c4219999b3aaf5e1dce408c88f
com.github.clarkstore	os-mybatis-spring-boot-starter	0.6.17		1ee1202ab815fa18910b281f270b8b248ea81ef5
com.github.clarkstore	os-mybatis-spring-boot-starter	0.6.18		029ed1100dc33224ae1b227794df8b496ee2500e
com.github.clarkstore	os-mybatis-spring-boot-starter	0.6.19		4f51a7d5570c9ad1f3c63ba2f242d5009764e73f
com.github.clarkstore	os-mybatis-spring-boot-starter	0.6.2		8b9fad8eb33dc549967f1995445bf2ea58a8f309
com.github.clarkstore	os-mybatis-spring-boot-starter	0.6.20		9f6aa43e8ecea22fe282b01e13130e112145739e
com.github.clarkstore	os-mybatis-spring-boot-starter	0.6.21		cfe19d75fd2c9aa4096ab7acd4e713393814794e
com.github.clarkstore	os-mybatis-spring-boot-starter	0.6.22		ffca3c09ca2ff64edd9019fe3bd2af4d3548a556
com.github.clarkstore	os-mybatis-spring-boot-starter	0.6.23		db842d8d65a1a0f9529a1d2725e5d8ce266c2ee3
com.github.clarkstore	os-mybatis-spring-boot-starter	0.6.24		d41ca9f193e481b82b168d1b6368266946575d79
com.github.clarkstore	os-mybatis-spring-boot-starter	0.6.25		5526e7c5e09725339f4bf43d17d205f655cbd295
com.github.clarkstore	os-mybatis-spring-boot-starter	0.6.26		c87f29ae32eb8d8ab16d764722f0b332d0f2515e
com.github.clarkstore	os-mybatis-spring-boot-starter	0.6.27		6dfa791a34dc0c1368c0af321240ac3b57e0a9de
com.github.clarkstore	os-mybatis-spring-boot-starter	0.6.28		10be7090e7e8b2efd13ab38bccac631da5e303c6
com.github.clarkstore	os-mybatis-spring-boot-starter	0.6.29		b5cc0b8f3dfc1bbca2502beedeed33d12e57d86a
com.github.clarkstore	os-mybatis-spring-boot-starter	0.6.30		46f811252471a3ddb25e87790dfc65267377e5e2
com.github.clarkstore	os-mybatis-spring-boot-starter	0.6.32		cf25ecf067ae804364810b64f9d912831f4a319e
com.github.clarkstore	os-mybatis-spring-boot-starter	0.6.4		9df28c9309af7affd7b612848ab5ea8b57aada9a
com.github.clarkstore	os-mybatis-spring-boot-starter	0.6.5		0ba70b945f169729c3948739a4dbb693fe688575
com.github.clarkstore	os-mybatis-spring-boot-starter	0.6.6		4e7eba072a78e6b4c36b0da5efa1fb49254c3469
com.github.clarkstore	os-mybatis-spring-boot-starter	0.6.7		108ffa42359003acf9e35b744283d65cbaab554b
com.github.clarkstore	os-mybatis-spring-boot-starter	0.6.8		ed36199f295a5b8d487670fb86192b5a045095ef
com.github.clarkstore	os-mybatis-spring-boot-starter	0.6.9		400659f362e567d1a20c735368741afae337f146
com.github.clarkstore	os-mybatis-spring-boot-starter	0.8.0		e80469ea568de21ccaea54822cbd556eb4ebcf3e
com.github.clarkstore	os-mybatis-spring-boot-starter	0.8.1		074e38525e83454aa7cc5725cc0c73ff506339b9
com.github.clarkstore	os-mybatis-spring-boot-starter	0.8.10		8c4fc3567c9cec0a556d7d00418f069528240ae9
com.github.clarkstore	os-mybatis-spring-boot-starter	0.8.2		05338afd55088ce8917c60ac090801b271494152
com.github.clarkstore	os-mybatis-spring-boot-starter	0.8.3		caa23623cb4c214b4e4cb6c52eeb56d05beb1952
com.github.clarkstore	os-mybatis-spring-boot-starter	0.8.4		a7877a5cd84306ff22881b5b11e53f9fecab6aac
com.github.clarkstore	os-mybatis-spring-boot-starter	0.8.5		0e0aee14e064882b355166eb58471bca4b61822f
com.github.clarkstore	os-mybatis-spring-boot-starter	0.8.6		eb73c613f58cd87bfdf11b37d621c9ccc13ce1b4
com.github.clarkstore	os-mybatis-spring-boot-starter	0.8.7		a38ee560c45c73b6738214d22dbedde002dbda3b
com.github.clarkstore	os-mybatis-spring-boot-starter	0.8.8		0f726c42f555673fb6a6bda5c7f1fcc41f73eb99
com.github.clarkstore	os-mybatis-spring-boot-starter	0.8.9		caae0b3360fd360772cafac657581abf7e025b9d
com.github.cormoran-io.pepper	pepper-spark_2.11	2.1		6b670056270d4bd646be03b6cd983798b2d95a23
com.github.cormoran-io.pepper	pepper-spark_2.11	2.2		10ae1033ad63307648659fd88a9fded4d0b362a4
com.github.groupon.monsoon	monsoon-collector-http	2.0		c969921453cfa22d26aa1edc16d9339c528c1012
com.github.groupon.monsoon	monsoon-collector-http	2.1		1c028af305b24ffd2deb8b518bb291a5f0812b2a
com.github.groupon.monsoon	monsoon-collector-http	2.1.1		321bc239414373988840d7062d28bf6797a28d33
com.github.groupon.monsoon	monsoon-collector-http	2.2		83d7eed160e97575cbcb47583fdfbe313b82cc25
com.github.groupon.monsoon	monsoon-collector-http	2.2.1		df9376992ff0795c7192a7be3d0a5a5ffc26b002
com.github.groupon.monsoon	monsoon-collector-http	2.3		6dd9191db2d73f9bf32ef939e6a8a9fe12db7cbf
com.github.groupon.monsoon	monsoon-collector-http	2.3.1		5d0492f86dc6abf24d3f8c4522448c92ceede7c0
com.github.sviperll	chicory-cli	0.1		0658025f54c583d5ae407231174955a4e7604431
com.github.sviperll	chicory-cli	0.10		e3845fb536cbc9a48c5ac84d9c68f35c3670ee4a
com.github.sviperll	chicory-cli	0.11		313bde6ef27fdf9e5e87528ae1861bd4da9369c8
com.github.sviperll	chicory-cli	0.12		b2289155ce89ffd6bc3fb6fb048c4d710f841d53
com.github.sviperll	chicory-cli	0.13		fe3f17723a8e2c4db3ef6b642a64d3bfa64fa3ef
com.github.sviperll	chicory-cli	0.14		5fbde7d03496e09f4b1b4625d6f131e4a11c4590
com.github.sviperll	chicory-cli	0.15		ba11945f2a5863e068c305eb7fc60f75f31753d3
com.github.sviperll	chicory-cli	0.16		8e1a7161eb990a3259032ec67941b83ac12d12a8
com.github.sviperll	chicory-cli	0.3		1672b4de04a05981821ff9e580ceea505678e006
com.github.sviperll	chicory-cli	0.4		4fb1f4a54a49f42354063fb0ab01737df988f057
com.github.sviperll	chicory-cli	0.5		d65af248b909904441cd4e4053374b66de091cac
com.github.sviperll	chicory-cli	0.6		015b968eb2bb76b707ebbe788294b12914bab55c
com.github.sviperll	chicory-cli	0.7		08c1fe6e220910ad2550a0afb875057b27127016
com.github.sviperll	chicory-cli	0.8		e3f1e95166e11809f4ecbcd724b432be3dfc2280
com.github.sviperll	chicory-cli	0.9		c1cfc27879c05e7e66ac1813c0f244cebac9753f
com.github.sylphlike	framework-amoeba	1.0.0-SYLPHLIKE		3023299aed50aecd09da8ea9b4a22b63095d21a4
com.norconex.commons	norconex-commons-lang	1.10.0		f3c17df8d80b83c06ab044388d7abc7c276d11b9
com.norconex.commons	norconex-commons-lang	1.11.0		f2c657913357f826f242b0d767679230aeb8139a
com.norconex.commons	norconex-commons-lang	1.12.0		0ccdfeaa652bff089c61ef8573aef3663e374017
com.norconex.commons	norconex-commons-lang	1.12.1		65b6fdf2a79600a46d49e83026118b55b601ce86
com.norconex.commons	norconex-commons-lang	1.12.2		644ab23a46eeba05fd73447dbb1ca97f344eb320
com.norconex.commons	norconex-commons-lang	1.12.3		341abe52d8a2e2bc7284b54b3b1f3c066c5752d1
com.norconex.commons	norconex-commons-lang	1.13.0		985cdb8acf19b5bb5a36249fa5bd3a8450698c55
