ai.scandoc	scandocsdk	1.0.0		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.10-spa		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.12		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.14		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.15-cf		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.16		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.18		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.2		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.26		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.31-cf		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.32		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.34		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.36		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.38		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.4		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.40		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.42		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.44		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.46		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.48		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.49-fragment		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.50		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.52		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.54		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.56		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.6		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.60		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.62		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.64		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.66		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.68		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.7-spa		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.70		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.72		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.74		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.76		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.78		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.8		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.80		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.82		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.84		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.86		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.88		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.90		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.90-restB004		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.92-eds		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.94-eds		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.96-eds		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.98-eds		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.0		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.10		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.100		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.100-xfaB002		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.102		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.104		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.106		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.12		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.14		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.16		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.18		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.2		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.2-eds		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.2-edsB002		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.2-edsB004		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.20		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.22		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.24		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.26		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.28		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.30		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.32		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.34		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.4		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.40		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.44		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.48		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.50		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.52		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.54		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.56		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.58		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.6		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.6-edsB004		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.64		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.66		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.68		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.70		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.72		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.74		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.76		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.8		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.80		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.82		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.84		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.86		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.90		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.92		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.94		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.96		N/A
com.adobe.aem	core-forms-components-examples-reactor	3.0.98		N/A
com.attentive	attentive-android-sdk	0.4.0		N/A
com.attentive	attentive-android-sdk	0.4.1		N/A
com.attentive	attentive-android-sdk	0.4.2		N/A
com.attentive	attentive-android-sdk	0.4.3		N/A
com.attentive	attentive-android-sdk	0.4.4		N/A
com.attentive	attentive-android-sdk	0.4.5		N/A
com.attentive	attentive-android-sdk	0.4.6		N/A
com.attentive	attentive-android-sdk	1.0.0		N/A
com.attentive	attentive-android-sdk	1.0.0-beta01		N/A
com.attentive	attentive-android-sdk	1.0.0-beta02		N/A
com.attentive	attentive-android-sdk	1.0.1		N/A
com.attentive	attentive-android-sdk	1.0.1-rn.1		0c9492775380872a54490c67166d6e8b92fdd7b3
com.attentive	attentive-android-sdk	1.0.1-rn.2		f7cf8fc3a0a51e25c28f53afbe523962498b5fae
com.attentive	attentive-android-sdk	1.0.1-rn.3		ee5ac639681b5f32e0acdd7501f1734fc6c5a4c2
com.attentive	attentive-android-sdk	1.0.1-rn.4		44d9d9e1acc499cd5e468f59cc8aaec476f86cc9
com.attentive	attentive-android-sdk	1.0.1-rn.5		cb8ab20308563ca277483047b5b5db449a93f20f
com.attentive	attentive-android-sdk	1.0.1-test		95f7ea9937477c922d2cbc37c77ec7a3a63fa746
com.attentive	attentive-android-sdk	1.0.1-test2		f5c966ad7c3794a479717984a0dfb418842ce01c
com.attentive	attentive-android-sdk	1.0.2-beta.1		65267cd09ca11f2af8586683028bc535c7e5be80
com.attentive	attentive-android-sdk	1.0.2-beta.10		5b9f4bb7559de225a16140eb96df09efb470ad97
com.attentive	attentive-android-sdk	1.0.2-beta.2		bfb2b2edead0378da470ea6da49e0e5ea59b4b52
com.attentive	attentive-android-sdk	1.0.2-beta.3		4442a0290f2842363c99c4b1749f366667c8aa8c
com.attentive	attentive-android-sdk	1.0.2-beta.4		fe23d713457ad395701ff2cc623727f2957be9b0
com.attentive	attentive-android-sdk	1.0.2-beta.5		cc75d9223a68d38569307e6d9c41dc030b6f72d3
com.attentive	attentive-android-sdk	1.0.2-beta.6		2bd0fe2b12b2873de08fceed4066e82365b1be09
com.attentive	attentive-android-sdk	1.0.2-beta.7		9308ed073fa04640e3fd99a3bcf1b38c5ff29ab7
com.attentive	attentive-android-sdk	1.0.2-beta.8		583a6be099caa890559e27610d4c5cb6866b2120
com.attentive	attentive-android-sdk	1.0.2-beta.9		ccc4bea968c37bbebd5274bb003fc8e86e89e35f
com.belladati	sdk-java	0.9.1		05fa934a7a2b7009e2e4aad55768d84cc2d289d8
com.belladati	sdk-java	0.9.10		510fcd4f06653ae3b0cec9b51bf03750c9d652e7
com.belladati	sdk-java	0.9.11		d860308781316c7c8234ac7a8770a170e0473691
com.belladati	sdk-java	0.9.12		4abbb777671664eed45b675ecd092b1d47ceb888
com.belladati	sdk-java	0.9.13		985ed6dbb09ffea1f759cc5248a90eb9398e255d
com.belladati	sdk-java	0.9.14		1e8fdbe330bfe800ad6bc643ad2f549958d9df4c
com.belladati	sdk-java	0.9.14.1		2c5e94c19c7b42bd073de1f4ea3247752df8d19a
com.belladati	sdk-java	0.9.15		f4d678e1abc75a22bb53b8cffd184f5ddffeb426
com.belladati	sdk-java	0.9.15.1		626aafebdc6c6fb2880171b3a11c7566cf5b7aa7
com.belladati	sdk-java	0.9.15.2		8a66ba1dff7f8034b19279d9aa78976818b05f12
com.belladati	sdk-java	0.9.15.3		e30f132baf0c814041bb8e3780129138bf2b8265
com.belladati	sdk-java	0.9.2		d0ef459ddb78ad40b10897003fb80a814b448eb4
com.belladati	sdk-java	0.9.3		0a0393c92c73a9085ffc29239556921accd892fa
com.belladati	sdk-java	0.9.4		52a4a767a70161da941d73115257ac6f9f2dd67f
com.belladati	sdk-java	0.9.5		e85760bdfa0669a71b527e341f34fa043e0ebdb8
com.belladati	sdk-java	0.9.6		7071869bd1af6d7e6d24ce3820d50e04a3b7878f
com.belladati	sdk-java	0.9.7		e6008bb353fb9710f8153649fbffa71b6045d7ec
com.belladati	sdk-java	0.9.8		9928c9dabcf2129fbf7faa80911e388f39dd02e5
com.belladati	sdk-java	0.9.9		234014a8cd81120a17cfee80085e442b6f0bb6a9
com.day.cq.dam	cq-dam-scene7	5.5.0		a7cf6a1932e583754067353b38a82162fe8ef1c6
com.day.cq.dam	cq-dam-scene7	5.5.4		c215f87a513fc6846433485de54d23e0ca28bb82
com.day.cq.dam	cq-dam-scene7	5.6.18		fbdf992c0035a7106f793e6fe9265d908350353e
com.day.cq.dam	cq-dam-scene7	5.6.20		ef094360cf06367878771921a57b750d951fab85
com.dorkbox	Version	1.0		37287d1d2a87f537e859c77c08c00fb9945aedb8
com.dorkbox	Version	1.1		2396dfe0ce6089a577595f4c38ae2ad3d08aa212
com.dorkbox	Version	1.2		ab5c593b0703cec73b2bc3dee40d719f8a0824fa
com.dorkbox	Version	2.3		5cbe98458d012158a4da0c56ad1b670d596b201b
com.dorkbox	Version	2.3.1		1b413614ff476d0e00ce4f5f175e0227f01c29b1
com.dorkbox	Version	2.4		2201812ce5bc64fbc488ef8282acda8818c2c532
com.dorkbox	Version	3.0		53fc6c597e00ece198b4bc73efec9d4b96c77c5b
com.dorkbox	Version	3.1		712f1ee3e0e6ec985c2be8230b99c8d5da2820eb
com.dyuproject.protostuffdb	protostuffdb-core	0.10.0		9cf5bf6979fd45e30d3b103da47c34329f39abe1
com.dyuproject.protostuffdb	protostuffdb-core	0.10.1		b0875154411ac6649e7a91bb73586f17c3018267
com.dyuproject.protostuffdb	protostuffdb-core	0.10.2		205d9abfd2fc2add746fc6479e5532b42b716eb5
com.dyuproject.protostuffdb	protostuffdb-core	0.10.3		0f4004c719129405c367cbc62c5e4ec48a064100
com.dyuproject.protostuffdb	protostuffdb-core	0.11.0		f3c56d1ae3cc3d5d6265a137edea1338fd0265c8
com.dyuproject.protostuffdb	protostuffdb-core	0.12.0		d6d3e8a88b0acf02cd212c9cfa542f53c8faeacc
com.dyuproject.protostuffdb	protostuffdb-core	0.13.0		278ac92f11f9d6747c26ee0e46b22bbdfc9b14c4
com.dyuproject.protostuffdb	protostuffdb-core	0.14.0		9efc0d59beb938ac7d37baa696ec7fe2d8ddaadb
com.dyuproject.protostuffdb	protostuffdb-core	0.15.0		7c12422324431fe02d707eb829308a1492f5ddb8
com.dyuproject.protostuffdb	protostuffdb-core	0.16.0		b24bb34672e9877178144f40f732c1c738d2e86a
com.dyuproject.protostuffdb	protostuffdb-core	0.17.0		087354c311fc307b1c1bdafe00d3147046f26c1b
com.dyuproject.protostuffdb	protostuffdb-core	0.18.0		76aabce449b643b8606088ede604f325a4e13d06
com.dyuproject.protostuffdb	protostuffdb-core	0.19.0		780c7f6a00f7341848911aceab621379e2fc5448
com.dyuproject.protostuffdb	protostuffdb-core	0.19.1		1a16c6fbd2f1b4cab26e589acb45d19fccaadc4f
com.dyuproject.protostuffdb	protostuffdb-core	0.20.0		5c9831c163b339d16d4a8a9e0653e563cf8b7908
com.dyuproject.protostuffdb	protostuffdb-core	0.9.10		72d9992ec49dc1af41a273e166879b5238871765
com.dyuproject.protostuffdb	protostuffdb-core	0.9.4		22880f5c2fc53f16133bdf0c2c31743381e2696a
com.dyuproject.protostuffdb	protostuffdb-core	0.9.5		f315540d9a44e517c8ece1071e00bcf05b49a225
com.dyuproject.protostuffdb	protostuffdb-core	0.9.6		1970325642aa05a0e8870d50799897909a6e9d0e
com.dyuproject.protostuffdb	protostuffdb-core	0.9.7		7401864c3852f49a064e80f7939420ff123c8b70
com.dyuproject.protostuffdb	protostuffdb-core	0.9.8		1a5b153b40ef95f5ff800146b1c6ea17769ac7df
com.dyuproject.protostuffdb	protostuffdb-core	0.9.9		9e87d1152304ef693d2497208340acfe0114aa47
com.github.darkice1	easy-wordpress	0.0.1		1d3da652b377017861e30d04cb74352c6ae916cd
com.github.leeonky	view-mapper	0.0.1		4f654840afd4bf46069bcff4e89cff8868f08354
com.github.leeonky	view-mapper	0.0.10		7fc02e0c2a82e1654469b81ccd5d446c9f0a712f
com.github.leeonky	view-mapper	0.0.11		6c91d91114e8362ccd73f44862b8451cb6191b89
com.github.leeonky	view-mapper	0.0.12		d74809e77a671a52edf35d8ba0441b211211a84a
com.github.leeonky	view-mapper	0.0.13		7729cc5ad9f0aa10e0869a6f00275dd3f95003c0
com.github.leeonky	view-mapper	0.0.14		1966bc7993ebdbc3caf1898554ae47327b44ce4a
com.github.leeonky	view-mapper	0.0.15		1f7381f76c9c0c082f560806b2527108369c126f
com.github.leeonky	view-mapper	0.0.16		28092a8131a67ea9ca658122f061be69edd8d6ec
com.github.leeonky	view-mapper	0.0.17		115126fe93d2dda2d5d625f4cffda1feaf41f072
com.github.leeonky	view-mapper	0.0.19		fbb497ecf2b1da656f24b6b019e1e4697336896e
com.github.leeonky	view-mapper	0.0.2		f6ad78fbdcb525e8b65cd4dcabfb170c2aba2a07
com.github.leeonky	view-mapper	0.0.20		fba87b2c08b0fff030f827db443b01957a5cb4ef
com.github.leeonky	view-mapper	0.0.21		f9f986d45d33318df3cb49812df3c1e99e470dfd
com.github.leeonky	view-mapper	0.0.22		a1c4d824e29259ba353b2c12dcfb71585b87fb3d
com.github.leeonky	view-mapper	0.0.23		1a234ba565c905c402de6c1910b0c67387a934e2
com.github.leeonky	view-mapper	0.0.24		e5b0e7947501cfe32a82a9e43750e40338b110e4
com.github.leeonky	view-mapper	0.0.25		8b61cf8af121ce20d1661767fce1aae53b0b0132
com.github.leeonky	view-mapper	0.0.26		9fa4f311c6283e8fef1e284e5a363d65ce8891d1
com.github.leeonky	view-mapper	0.0.27		0dfe95d731bb5f2673a6c999ba1f6cf41d3c91d9
com.github.leeonky	view-mapper	0.0.28		0e90705818aa0217013c25d461e336104730e9cd
com.github.leeonky	view-mapper	0.0.3		e50ef16347707b618126a4255b7db2dd9cbbaed0
com.github.leeonky	view-mapper	0.0.4		6b90836728a208f1ba171771740d0e65a9bead52
com.github.leeonky	view-mapper	0.0.5		bca4b561cdf7721fb3d2f1768ac20f5fb855013b
com.github.leeonky	view-mapper	0.0.6		da943470df0a0cfe279cbd357ea8578bd3d39250
com.github.leeonky	view-mapper	0.0.7		46f1c42d0f1447eaafb9a399545d52cf004c6ecf
com.github.leeonky	view-mapper	0.0.8		eeb7d070a62e2dc053a2edca86348deed9351537
com.github.leeonky	view-mapper	0.0.9		28690595734dabba0a54ca16556e3ad74922a029
com.github.leeonky	view-mapper	0.6.7		472326c8bd8b492f476fe8cc2a81d5b34592cf9f
com.github.leeonky	view-mapper	0.6.8		770d54de2ff3da5ae68bda188f7745857398314d
com.github.leeonky	view-mapper	0.7.0		3b71a43ef7a34661285ddb32e5b1f060bdca6b95
com.github.leeonky	view-mapper	0.7.1		d1011a6c55d1b09f84fdb2e760dbb23603cf1f5d
com.github.leeonky	view-mapper	0.7.2		b0ef5055bf0425aab47acabab026182e6b53624e
com.github.leeonky	view-mapper	0.7.3		d771a63bd043dea29ec36bc129914b8e37dd3687
com.github.leeonky	view-mapper	0.7.4		942a096c7312ebc57396dfb8959f99f3d19f08a9
com.github.leeonky	view-mapper	0.7.5		5b0655a63676a5d3c8fd8a165b8e53ac13a96bd1
com.github.leeonky	view-mapper	0.8.1-alpha		635300669eab6ae30ab184e61d1f7acbd22b73b5
com.github.leeonky	view-mapper	0.8.1-alpha.10		ed182bfc6aba665d90861fdcf27dcacd86f79cb7
com.github.leeonky	view-mapper	0.8.1-alpha.11		f269216e1364e973584ef967b2638b6e9d844083
com.github.leeonky	view-mapper	0.8.1-alpha.12		bca8918e5f96500f71da30b30ffaae25340b7058
com.github.leeonky	view-mapper	0.8.1-alpha.13		305b76b44e051ae88ef1104c98240880d71b7827
com.github.leeonky	view-mapper	0.8.1-alpha.14		2ae090502ec11788abf344ef2f393c2babc87d24
com.github.leeonky	view-mapper	0.8.1-alpha.2		cf5bffe013017e9d50f09c9d5a2ecd11cac34f19
com.github.leeonky	view-mapper	0.8.1-alpha.3		879fd19386ddc769a82c69dfa42eb4674f5a3750
com.github.leeonky	view-mapper	0.8.1-alpha.4		121676f5f1758944e98f0a9505cb21cf8087bb3d
com.github.leeonky	view-mapper	0.8.1-alpha.5		56aec419c5130d889db218a313003468eb305c36
com.github.leeonky	view-mapper	0.8.1-alpha.6		e59fe702ae3635868c153ea356706c7fb3da2360
com.github.leeonky	view-mapper	0.8.1-alpha.7		1840f67a7840e0849eb69ee51d0c9d8f4b9bc5dc
com.github.leeonky	view-mapper	0.8.1-alpha.8		eec93807bfae80c173a5cc676f326ff3c71ece9b
com.github.leeonky	view-mapper	0.8.1-alpha.9		c7be27af09ed02aa585dd107095ab5c3193f5522
com.github.marschall	3rdpartyjandex-maven-plugin	1.0.0		796ec1442575ed087f4c79a68a425d68148a0581
com.github.ngorongoro	habilis-cli_2.11	0.2.0		49226c34ddcade00358234fb15f9a1fb70c5e501
com.gwtplatform	gwtp-carstore	1.0		N/A
com.gwtplatform	gwtp-carstore	1.0-RC-3		N/A
com.gwtplatform	gwtp-carstore	1.0-RC-3.1		N/A
com.gwtplatform	gwtp-carstore	1.0.1		N/A
com.gwtplatform	gwtp-carstore	1.0.2		N/A
com.gwtplatform	gwtp-carstore	1.0.3		N/A
com.gwtplatform	gwtp-carstore	1.1		N/A
com.gwtplatform	gwtp-carstore	1.1.1		N/A
com.gwtplatform	gwtp-carstore	1.2		N/A
com.gwtplatform	gwtp-carstore	1.2.1		N/A
com.hivemq	hivemq-edge-extension-sdk	2023.1		caa40caeb22d25eae1a45c3573939648b2f8ce31
com.hivemq	hivemq-edge-extension-sdk	2023.2		af9ca6769785b80f6fdda86e5429683bb871785d
com.hivemq	hivemq-edge-extension-sdk	2023.3		3146a75747a2129d8f45695f368f7f9ddfd94781
com.hivemq	hivemq-edge-extension-sdk	2023.4		ccb86896a6782f04417d36a08d04043c4a269509
com.hivemq	hivemq-edge-extension-sdk	2023.5		9af15c41516eb71f41a4ce8f15e82f8c1a28b32a
com.hivemq	hivemq-edge-extension-sdk	2023.6		ec22f8c567f6cc56f6ba492d76e37177eb41faad
com.hivemq	hivemq-edge-extension-sdk	2023.7		4050677c765e8075a2c9b491d0b2edf8675712ad
com.hivemq	hivemq-edge-extension-sdk	2023.8		c06df080648b937bfab6cdb3d2ce5258b77376d5
com.hivemq	hivemq-edge-extension-sdk	2023.9		786405285d6a31d822236155fd0dcd02c026bf57
com.hivemq	hivemq-edge-extension-sdk	2024.1		319df14a001f9bf45aa77c8aea1d19685acaf634
com.hivemq	hivemq-edge-extension-sdk	2024.2		f7c4714228982adf48fa1514227d301389b8dff1
com.hivemq	hivemq-edge-extension-sdk	2024.3		a4d12b192e4499e4c3ce322e97798993ebd71dd6
com.hivemq	hivemq-edge-extension-sdk	2024.4		c399df768ad006a9a73b94b9809fbe8fb1265749
com.hivemq	hivemq-edge-extension-sdk	2024.5		56c2e0594fc7089e593f97faea8a8cd2083ebdf6
com.hivemq	hivemq-edge-extension-sdk	2024.6		3a10d543631d1da3ac43e0f29d083a4d20cb9ae0
com.hivemq	hivemq-edge-extension-sdk	2024.7		7cd366dbfd592bf3bcd680109fa01b23995a0291
com.hivemq	hivemq-edge-extension-sdk	2024.8		0c9b9a0c91ce384db49e72b5e94ee9b1ae766750
com.hivemq	hivemq-edge-extension-sdk	2024.9		903ee096ed4c72c120a753c348ee9182ef6ab918
com.hivemq	hivemq-edge-extension-sdk	2025.1		ced496a547f1feaf46c44466d212a21ecbbdfeff
com.hivemq	hivemq-edge-extension-sdk	2025.2		cdf9f68dc33c98e2f8cbefdc8a6a3e8a0092110b
