avalon	avalon-composition	1.0		d5ca3eccc560c3d94b18f3ab800df4c48f6a3709
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.5.0-Alpha4		4a0a2c53b9ff1ef0faf5d3c0c1ccbd666283a04b
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.5.0-Alpha5		d2646b1691542126c0b48834e60d93677615f12e
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.5.1		2988c4e442cfb671f7ea0e728eb407aab242856a
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.6.0		4c6530570c011ee5b5fd4b1ea9579bbe999b885c
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.6.0-Alpha1		d02aa101e38ec07e6b45a7318973444fec7f9af0
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.6.0-Alpha2		7fb55fb10bab3f7ea15d571425417897b3d865a9
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.6.1		33c4f0dc89ff9c61879eccb63bd9d652ea225dac
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.6.10		7cf50ff1693f9f237840552955231a424a76add9
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.6.11		6c8503ee57bbbaa8ace9da1f40b3bb222d73f1c4
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.6.12		ad4d79da36299d3a5cd5004593c5fd557b024801
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.6.13		a4919161d659f0f1d8fc0692cf7611a75557f73e
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.6.14		3fdc8aa92de201f08f46b00f1d9de576b4bfc0e5
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.6.15		be44fe84307d5d47a84d6b61073e0d4fc8c19304
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.6.2		8518289aec40af62a38ee20b62cd5c86f147ea4e
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.6.3		a58e9c6e962b3ce621219b4d179819276b658b7d
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.6.4		3f6344610b0ff66dbf558eec54717254311676e2
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.6.5		b16a4bb02c204a02835d6e0e4dfdf41ca79355c1
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.6.6		0f2bffb283b0fb912a4c58b7cb44b7829ab0addf
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.6.7		e44dbc03756884632ac0c1bcdfef705094e1f017
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.6.8		04862ead15b06c1d86bb786e371d2654bda8e8d1
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.6.9		fbcf57d6ca684af3cbbc2188e72ccefe96727359
com.datastrato.gravitino	web	0.3.0		7b430f6ff1f5795012f4635250dbdca7dd0c2a94
com.datastrato.gravitino	web	0.3.1		2ac854bc2194f5a488a5f634d3fef74b076f63de
com.datastrato.gravitino	web	0.4.0		4bb2121397def0f41d4c890da5a17b7f6981e49e
com.datastrato.gravitino	web	0.5.0		e47dcba99114a0e523418c408957b6b143deffe8
com.datastrato.gravitino	web	0.5.1		9da452d3e856016fdd8b4e1632ef551fff875f23
com.effectiveosgi	_index	0.0.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-recipe-api-iossimulatorarm64	0.0.3		N/A
com.fresco-kitchenos	kitchenos-client-sdk-recipe-api-iossimulatorarm64	0.0.3	metadata	027277a4daa0e4d8efb45a202aa866fc723b8144
com.fresco-kitchenos	kitchenos-client-sdk-recipe-api-iossimulatorarm64	1.26.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-recipe-api-iossimulatorarm64	1.26.0	metadata	49ecaa4c770099d26b5982a4180a770828ce8a03
com.fresco-kitchenos	kitchenos-client-sdk-recipe-api-iossimulatorarm64	1.26.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-recipe-api-iossimulatorarm64	1.26.1	metadata	63e735003369ddf00d3f4a6e3bdccd52d8d58225
com.fresco-kitchenos	kitchenos-client-sdk-recipe-api-iossimulatorarm64	1.27.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-recipe-api-iossimulatorarm64	1.27.0	metadata	848636573776afc40db0792e16a9f6cdb82cf46b
com.fresco-kitchenos	kitchenos-client-sdk-recipe-api-iossimulatorarm64	1.27.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-recipe-api-iossimulatorarm64	1.27.1	metadata	57d4fdecfa4f98383216bd5b86107a63e751e4aa
com.fresco-kitchenos	kitchenos-client-sdk-recipe-api-iossimulatorarm64	1.27.2		N/A
com.fresco-kitchenos	kitchenos-client-sdk-recipe-api-iossimulatorarm64	1.27.2	metadata	9ca48906e4fba899a2ef6706844ec0f93adddf7a
com.fresco-kitchenos	kitchenos-client-sdk-recipe-api-iossimulatorarm64	1.28.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-recipe-api-iossimulatorarm64	1.28.0	metadata	b0cd57e073f3740fb7d0551068bc5d37a42169d4
com.fresco-kitchenos	kitchenos-client-sdk-recipe-api-iossimulatorarm64	1.29.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-recipe-api-iossimulatorarm64	1.29.0	metadata	eec61ff56d86ed2139ff5a0ed08b178adcbaefdf
com.fresco-kitchenos	kitchenos-client-sdk-recipe-api-iossimulatorarm64	1.29.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-recipe-api-iossimulatorarm64	1.29.1	metadata	aa31210fe324854c48487a997e936f839893962e
com.fresco-kitchenos	kitchenos-client-sdk-recipe-api-iossimulatorarm64	1.29.2		N/A
com.fresco-kitchenos	kitchenos-client-sdk-recipe-api-iossimulatorarm64	1.29.2	metadata	8ab359c4597736e31f4e245526ea0bfc6f9d1e98
com.fresco-kitchenos	kitchenos-client-sdk-recipe-api-iossimulatorarm64	1.30.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-recipe-api-iossimulatorarm64	1.30.0	metadata	6696f989b59289bf7fd7e12a79ac6e72de2f37e9
com.fresco-kitchenos	kitchenos-client-sdk-recipe-api-iossimulatorarm64	1.30.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-recipe-api-iossimulatorarm64	1.30.1	metadata	4439d08095464fed73d490b5b4cb069b93428b16
com.fresco-kitchenos	kitchenos-client-sdk-recipe-api-iossimulatorarm64	1.31.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-recipe-api-iossimulatorarm64	1.31.0	metadata	6469c3cffdafd97b0a7067fbe329b2bd3a22f409
com.fresco-kitchenos	kitchenos-client-sdk-recipe-api-iossimulatorarm64	1.31.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-recipe-api-iossimulatorarm64	1.31.1	metadata	ceef98fceb39a9da52be712b241ba06ff4a28517
com.fsryan.tools	logging-test-watchosx86	0.4.2		N/A
com.fsryan.tools	logging-test-watchosx86	0.4.2	metadata	64858f5f3e314cbc4902087555bd204af819ca4a
com.fullfacing	keycloak4s-admin-monix_2.13	1.2.2		93413b1d125e0e1607f054a26a11c86a771b7804
com.fullfacing	keycloak4s-admin-monix_2.13	1.2.3		e35d0f6b8048b31f833120dbe76b3ebd779fb7b4
com.fullfacing	keycloak4s-admin-monix_2.13	1.2.4		7a57aff4eee731d5e7d6ec06c6adb197c8f4c4f8
com.fullfacing	keycloak4s-admin-monix_2.13	1.2.5		cdc944069d2ff311a5b5aacc8f447c078b7e0fc8
com.fullfacing	keycloak4s-admin-monix_2.13	1.2.6		89971492cba56ebaaa5bd6215ca1df3c56bc4b22
com.fullfacing	keycloak4s-admin-monix_2.13	2.0.0		5f01f0034e1e844e38311cf7f794cdff8c3f5bc0
com.fullfacing	keycloak4s-admin-monix_2.13	2.0.1		c2e046b9ab77bf8e6c5ebb122c5e67af309cc029
com.fullfacing	keycloak4s-admin-monix_2.13	2.0.2		bb200bb3a33fb2b42ada5d2728eb4b198ae47cc9
com.fullfacing	keycloak4s-admin-monix_2.13	2.1.0		794e7f377123a010c33b1bcc741610c7ea8ef18a
com.fullfacing	keycloak4s-admin-monix_2.13	2.2.0		dff18583cf74fd31dd6a8c466f33b0827def022b
com.fullfacing	keycloak4s-admin-monix_2.13	2.2.1		1746de6920b62baee0787e0dd72dc98b471d35f6
com.fullfacing	keycloak4s-admin-monix_2.13	2.2.2		ff0d1808899cd6d5d7da7483d71b1b35bf126e2c
com.fullfacing	keycloak4s-admin-monix_2.13	2.2.3		11e9834c6d912e5c017088aed7c45f32f45e34b1
com.fullfacing	keycloak4s-admin-monix_2.13	2.2.4		8714a80722eeee5e868b4b8819863b213107bd0d
com.fullfacing	keycloak4s-admin-monix_2.13	2.2.5		e1400e4ffa1e8d9e865d4f37710b53183d35b736
com.fullfacing	keycloak4s-admin-monix_2.13	2.2.6		19fd04e26625d46a6c3070d2e460d33ce26d4592
com.fullfacing	keycloak4s-admin-monix_2.13	2.2.7		0a84c17946befdca3db84f75649bb2b10ef0d1a1
com.fullfacing	keycloak4s-admin-monix_2.13	2.2.8		7618d7480c98172494d84fc6b5ba0fe392d33e16
com.fullfacing	keycloak4s-admin-monix_2.13	2.2.9		b181e44cb5ad1dfdca2cddba155fa23b10d61c6a
com.fullfacing	keycloak4s-admin-monix_2.13	2.3.0		c4c292172f7e742b5554423675d913e9088143f8
com.fullfacing	keycloak4s-admin-monix_2.13	2.4.0		238975dbf1d6396263129c11b58af352c5c9ea1d
com.fullfacing	keycloak4s-admin-monix_2.13	2.4.1		87c3a45c926ad769ec3176431ad7417c5d20222b
com.fullfacing	keycloak4s-admin-monix_2.13	2.5.0		b2d771692a61e55986efcf957e79afaca841d36e
com.fullfacing	keycloak4s-admin-monix_2.13	2.6.0		9af9af65bf49971a1e100c6884a8a14afb8d277b
com.fullfacing	keycloak4s-admin-monix_2.13	3.0.0		0e0ce824b0f6f7e273af6f2afd6aadc2e4db5fc7
com.fullfacing	keycloak4s-admin-monix_2.13	3.1.0		064edad223726d61cd32803d33c947da0f03bf4b
com.fullfacing	keycloak4s-admin-monix_2.13	3.1.1		29452bceece4b20be5d88a66ffe1c60aeaebc0c4
com.fullfacing	keycloak4s-admin-monix_2.13	3.2.0		bb6fd6148b5512a65a9e797002df993ef4bb7005
com.fullfacing	keycloak4s-admin-monix_2.13	3.2.2		54489f9a1e6b4614528e37470200435d8ab7c855
com.fullfacing	keycloak4s-admin-monix_2.13	3.2.4		3fe94938b40b55405f789eb26111d4fba339634d
com.gitee.hengboy	spring-boot-starter-job	0.0.1.RELEASE		N/A
com.github.diagnal	engage	1.1.6		N/A
com.github.lewissk	hornetq-component	0.1		792d589d82762908943bcb56ff44012ed98024f4
com.github.ljtfreitas	java-restify-spring-reactive	2.0.0		458abac2d12f7295068df7f59ff5853aa550c905
com.github.ljtfreitas	java-restify-spring-reactive	2.1.0		bcd9c89c3a09f96439f37b13246aaa47bb456da6
com.github.norwae	oriana-liqibase_2.12	1.1.0		266befb4caf00e6223774a5db2b9ceae314dd66c
com.github.sebhoss.utils	generic-types	1.0.0		be12152cbc8076a6e9d6784b4910acc8f3333124
com.google.code.flex-iframe.examples	SimpleHtml	1.4.4		N/A
com.google.code.flex-iframe.examples	SimpleHtml	1.4.5		N/A
com.google.code.flex-iframe.examples	SimpleHtml	1.4.6		N/A
com.google.code.flex-iframe.examples	SimpleHtml	1.5		N/A
com.google.code.flex-iframe.examples	SimpleHtml	1.5.1		N/A
com.healthy-chn.cloud	healthy-oauth2-authorization-resource	1.3.8		877712dd42013e51163845929cf6839a56e59942
com.healthy-chn.cloud	healthy-oauth2-authorization-resource	1.3.8.M1		3a8a3fa57982ab297134c23faa253b04ee663114
com.healthy-chn.cloud	healthy-oauth2-authorization-resource	1.3.8.M2		2b153508bc66b434f0ce42872d815b3ff7630741
com.healthy-chn.cloud	healthy-oauth2-authorization-resource	1.3.8.M3		ae7db394feae7a7e08285b1aeb7db6e5b4247667
com.healthy-chn.cloud	healthy-oauth2-authorization-resource	1.3.8.M4		f08002f1f04ecb8ff0f8739429e9c331ed139dba
com.healthy-chn.cloud	healthy-oauth2-authorization-resource	1.3.9		b223800e1143fe6df0f34132baa0c1f37823e473
com.healthy-chn.cloud	healthy-oauth2-authorization-resource	1.3.9-M1		afd233843641081c9f11cad2f50206a8d7ba666c
com.healthy-chn.cloud	healthy-oauth2-authorization-resource	1.3.9-M2		70610f178853697b396624a9f7cfedb52d68d299
com.healthy-chn.cloud	healthy-oauth2-authorization-resource	1.3.9-M3		fd144a18a6b58975b0425f4a5022fe47a4c28e8b
com.healthy-chn.cloud	healthy-oauth2-authorization-resource	1.3.9-M4		a762b3ee06038fd2754cd161c8f3f2073fd25874
com.healthy-chn.cloud	healthy-oauth2-authorization-resource	2.0.0-M1		15408c70b0bc52511b3f7c2e7007432083f01389
com.healthy-chn.cloud	healthy-oauth2-authorization-resource	2.0.0-M2		e4b865e1c8bfeb04e919f5d9a89224450905dd93
com.khubla.pragmatach	pragmatach-hibernate	1.40		444475bfa27eafba7c81eab615f9c8472a9b87c9
com.landasource	wiidget	0.1.0		8ce626d8e1a96a5cbe12536515cd4d8d5ae2e1b5
com.landasource	wiidget	0.1.1		c72b2411b812009652306ec433c99b0ccf507e63
com.landasource	wiidget	0.1.2		a3f24b4953f32f8915b2dbed620978c77f76e7ee
com.landasource	wiidget	0.1.4		826912598346c7e4a3162f731bf02c664608b4b8
com.landasource	wiidget	0.1.5		118873322c38dd4ee5bb61d2bfb55bd63e5157a9
com.landasource	wiidget	0.1.6		29118f185978b9712a2f1cc6fe01fe96ac08cd56
com.landasource	wiidget	0.1.7		043b5e06cafa54769bd220ffbb4bca7014e29545
com.mayakapps.kache	file-kache-okio-watchosarm32	2.0.0-rc01		N/A
com.mayakapps.kache	file-kache-okio-watchosarm32	2.0.0-rc01	metadata	79211e4249cfdf6554593b81316fef068c283a8c
com.mayakapps.kache	file-kache-okio-watchosarm32	2.0.0-rc02		N/A
com.mayakapps.kache	file-kache-okio-watchosarm32	2.0.0-rc02	metadata	edc9b69ef886328999e0eb3691c0d4eedd61dbb0
com.monkopedia	sdbus-kotlin	0.1.0		e895e6a14e2c73bac15dc9968dc8a0b037db873c
com.monkopedia	sdbus-kotlin	0.2.0		c611ad720e345f29db00d46624b01ef7b1b66031
com.monkopedia	sdbus-kotlin	0.2.1		93091fdbac238df42275ba2942760f9c59570380
com.monkopedia	sdbus-kotlin	0.3.0		adf3e6defe528eef700e8ea6132e788aca34fdcb
com.monkopedia	sdbus-kotlin	0.3.1		df152d534451f7bb94b8483ceb9ebf8b2f153762
com.monkopedia	sdbus-kotlin	0.3.2		383ff8c3cb8531bf2ede90b73e4c9baed9d18bfb
com.monkopedia	sdbus-kotlin	0.3.3		383ff8c3cb8531bf2ede90b73e4c9baed9d18bfb
com.moz.kiji.delegation.kiji-delegation.3.0.0.com.moz.kiji.rest	kiji-rest-lib	3.0.0		be2c6f96322930ed59e5a2ccb29c6a49162508a5
com.senspark.ee	iron-source-mediation	2.10.0		N/A
com.senspark.ee	iron-source-mediation	2.10.1		N/A
com.senspark.ee	iron-source-mediation	2.10.2		N/A
com.senspark.ee	iron-source-mediation	2.10.3		N/A
com.senspark.ee	iron-source-mediation	2.7.0		N/A
com.senspark.ee	iron-source-mediation	2.7.1		N/A
com.senspark.ee	iron-source-mediation	2.7.2		N/A
com.senspark.ee	iron-source-mediation	2.7.3		N/A
com.senspark.ee	iron-source-mediation	2.7.4		N/A
com.senspark.ee	iron-source-mediation	2.8.0		N/A
com.senspark.ee	iron-source-mediation	2.8.1		N/A
com.senspark.ee	iron-source-mediation	2.9.0		N/A
com.senspark.ee	iron-source-mediation	2.9.2		N/A
com.sshtools	forker-pty	1.5		9884425fdac1bd09667f52d652535881ea321750
com.sshtools	forker-pty	1.6		8d0261bccb2f51f746f0460bd228bc9c1441f4c1
com.sshtools	forker-pty	1.6.1		8834210b7085293d5bce66227cd2a98eecb9f72b
com.sshtools	forker-pty	1.6.3		58cf691c587ebe06c56cdd3e1f34affaa5cf8622
com.sshtools	forker-pty	1.6.4		73c81eed41e6eb467c6494b22df7129308ae5b3d
com.tethys-json	tethys-derivation_2.13.0-M2	0.7.0		cdfa357710fc644217863fc63edbff5844642966
com.tethys-json	tethys-derivation_2.13.0-M2	0.7.0.1		2350c58fa2690675adcee15c1b92c126e1ee4a66
com.tethys-json	tethys-derivation_2.13.0-M2	0.7.0.2		f2e73e4d59cad356f1b38c84cf11d22801b2487e
com.tethys-json	tethys-derivation_2.13.0-M2	0.8.0		2f37b66c6cc35c1952b545399016511e91d9eca4
com.tethys-json	tethys-derivation_2.13.0-M2	0.8.0.1		e3f90fd09aec6f712a62e841b7b45fbe5e88b4c1
com.tethys-json	tethys-derivation_2.13.0-M2	0.9.0		412820387fd238d4785ceb95803c45f2378b5f33
com.tethys-json	tethys-derivation_2.13.0-M2	0.9.0.1		a3ff25e1a2ab08d919ff52fc1d072edab4599990
com.thesamet.scalapb	scalapb-validate-cats_2.12	0.10.10-preview3		f9e5059e231d3c0a09a0d26150be70cf935722dc
com.thesamet.scalapb	scalapb-validate-cats_2.12	0.2.0		0c905510ea1a04400b8ef8eacc162a6815aaf620
com.thesamet.scalapb	scalapb-validate-cats_2.12	0.2.0-preview1		dff5fb50144aa9e03fd2dce3b0f950d495d66ba1
com.thesamet.scalapb	scalapb-validate-cats_2.12	0.2.0-preview11		893f1f87b06f293777eafccb690d4b16e5c1b8c1
com.thesamet.scalapb	scalapb-validate-cats_2.12	0.2.0-preview14		3122fc51004b4bc72b3782f02fe253e295721e1c
com.thesamet.scalapb	scalapb-validate-cats_2.12	0.2.0-preview2		e88d41e0907775a4ea89c31759cacbbea3ca2cc8
com.thesamet.scalapb	scalapb-validate-cats_2.12	0.2.0-preview3		409cca597a6f5e4a6277b37a9bff577ab9aac5b3
com.thesamet.scalapb	scalapb-validate-cats_2.12	0.2.0-preview4		50bc8eb846bdfb39c610ecdeed2e974eb3681952
com.thesamet.scalapb	scalapb-validate-cats_2.12	0.2.0-preview5		a09019457fc65c88c5701c37da2298fc08a34c2b
com.thesamet.scalapb	scalapb-validate-cats_2.12	0.2.0-preview6		7a3e07bbb89a05c54872bf08d889861e591c3db8
com.thesamet.scalapb	scalapb-validate-cats_2.12	0.2.0-preview8		6b892ebea1cc656e39672947dbfddfa47fac5200
com.thesamet.scalapb	scalapb-validate-cats_2.12	0.2.1		ce83e03b04b083e703b192daa9b0287742bc74b9
com.thesamet.scalapb	scalapb-validate-cats_2.12	0.2.2		cb6edbb56d5339042c7e9d2d04dd593992113779
com.thesamet.scalapb	scalapb-validate-cats_2.12	0.3.0		54d953853ac3a69b362a7e53742f8f082d381af3
com.thesamet.scalapb	scalapb-validate-cats_2.12	0.3.0-M1		740b6ab4a111ad9b2a002f42551ab9a62cdfb8d1
com.thesamet.scalapb	scalapb-validate-cats_2.12	0.3.1		10b1ac83dd8869c62197415a58c520ed2b0957ec
com.thesamet.scalapb	scalapb-validate-cats_2.12	0.3.2		9701e99f2277e1d274f131a8ee76c3d127f8e290
com.thesamet.scalapb	scalapb-validate-cats_2.12	0.3.3		e803791e62435615fec1eb2854b1c4033eae7c7b
com.thesamet.scalapb	scalapb-validate-cats_2.12	0.3.4		fe9d50fc58711109668aafecf50cbedab5d9fd1c
com.thesamet.scalapb	scalapb-validate-cats_2.12	0.3.5		e2041bc7f636284f6d560ff3d8f5a5fa5a1bb2c5
com.thesamet.scalapb	scalapb-validate-cats_2.12	0.3.6		576bab1c11850cd77a697be08db47289d3910dff
com.thoughtworks.feature	unidoc_2.11	1.0.0		N/A
com.thoughtworks.feature	unidoc_2.11	1.1.0		N/A
com.thoughtworks.feature	unidoc_2.11	2.0.0-RC0		N/A
com.thoughtworks.feature	unidoc_2.11	2.0.0-RC1		N/A
com.thoughtworks.feature	unidoc_2.11	2.0.0-RC2		N/A
com.thoughtworks.feature	unidoc_2.11	2.0.0-RC3		N/A
com.thoughtworks.feature	unidoc_2.11	2.0.0-RC4		N/A
com.thoughtworks.feature	unidoc_2.11	2.0.0-RC5		N/A
com.thoughtworks.feature	unidoc_2.11	2.0.0-RC6		N/A
com.thoughtworks.feature	unidoc_2.11	2.0.0-RC7		N/A
com.thoughtworks.sde	sde_2.11	0.6.0		f0ecf8694135598cc1172cc522f43589ee380560
com.trendyol	medusa	0.10.0		N/A
com.trendyol	medusa	0.10.1		N/A
com.trendyol	medusa	0.10.3		N/A
com.trendyol	medusa	0.10.4		N/A
com.trendyol	medusa	0.11.0		N/A
com.trendyol	medusa	0.12.0		N/A
com.trendyol	medusa	0.12.1		N/A
com.trendyol	medusa	0.12.2		N/A
com.trendyol	medusa	0.9.0		N/A
com.ucasoft.komm	komm-processor-jvm	0.1.8		590796bb4bb4e7553c12ee20b0354b2dcca6473a
com.ucasoft.komm	komm-processor-jvm	0.10.3		418106eb4f72e28d276f80f28060d9656d15c6ab
com.ucasoft.komm	komm-processor-jvm	0.2.0		52b7da85e694a0e72beb1ffe32a5205058aa065d
com.ucasoft.komm	komm-processor-jvm	0.2.2		c1b46a801ec1a195c11f976e98eaf307fbba2dff
com.ucasoft.komm	komm-processor-jvm	0.20.2		328a5bcf755a552177b38b1039a791278b16bea1
com.ucasoft.komm	komm-processor-jvm	0.22.8		328a5bcf755a552177b38b1039a791278b16bea1
